Country Name,countryName,EFConsPerCap,HDI,Population
Guinea-Bissau,Guinea-Bissau,1.45,0.46,1861280
Timor-Leste,Timor-Leste,0.74,0.62,1296310
Eritrea,Eritrea,0.51,0.43,5068830
Qatar,Qatar,14.72,0.85,2639210
Zimbabwe,Zimbabwe,1.03,0.55,16529900
Romania,Romania,3.4,0.81,19679300
Rwanda,Rwanda,0.67,0.53,12208400
Russian Federation,Russian Federation,5.48,0.82,143990000
Saint Lucia,Saint Lucia,2.5,0.74,178844
Saint Vincent and Grenadines,Saint Vincent and Grenadines,4.63,0.73,109897
Sao Tome and Principe,Sao Tome and Principe,1.62,0.6,204327
Saudi Arabia,Saudi Arabia,5.77,0.86,32938200
Senegal,Senegal,1.16,0.51,15850600
Sierra Leone,Sierra Leone,1,0.44,7557210
Slovenia,Slovenia,4.9,0.9,2079980
Slovakia,Slovakia,4.41,0.85,5447660
Singapore,Singapore,5.87,0.93,5708840
South Africa,South Africa,3.16,0.7,56717200
Spain,Spain,4.03,0.89,46354300
Suriname,Suriname,2.76,0.72,563402
Tajikistan,Tajikistan,0.97,0.65,8921340
Eswatini,Eswatini,1.88,0.6,1367250
Sweden,Sweden,6.08,0.94,9910700
Switzerland,Switzerland,4.47,0.94,8476000
Syrian Arab Republic,Syrian Arab Republic,1.16,0.54,18269900
Turkmenistan,Turkmenistan,5.22,0.71,5758080
Tanzania, United Republic of,Tanzania, United Republic of,1.17,0.52,57310000
Thailand,Thailand,2.58,0.76,69037504
Togo,Togo,1.09,0.51,7797690
Tonga,Tonga,3.24,0.72,108020
Trinidad and Tobago,Trinidad and Tobago,8.23,0.8,1369120
Oman,Oman,7.29,0.83,4636260
Tunisia,Tunisia,2.15,0.74,11532100
Turkey,Turkey,3.51,0.81,80745000
United Arab Emirates,United Arab Emirates,8.95,0.86,9400140
Uganda,Uganda,1.04,0.52,42863000
United Kingdom,United Kingdom,4.2,0.92,66181600
Ukraine,Ukraine,2.66,0.75,44222896
United States of America,United States of America,8.04,0.92,324459008
Burkina Faso,Burkina Faso,1.12,0.43,19193400
Uzbekistan,Uzbekistan,2,0.71,31910600
Venezuela, Bolivarian Republic of,Venezuela, Bolivarian Republic of,2.28,0.74,31977100
Viet Nam,Viet Nam,2.24,0.69,95540800
Ethiopia,Ethiopia,1.01,0.47,104957000
Samoa,Samoa,2.52,0.71,196440
Yemen,Yemen,0.61,0.46,28250400
Congo, Democratic Republic of,Congo, Democratic Republic of,0.75,0.46,81340000
Zambia,Zambia,0.97,0.59,17094100
Belgium,Belgium,6.6,0.92,11429300
Luxembourg,Luxembourg,12.79,0.91,583455
Serbia,Serbia,2.75,0.79,8790570
Montenegro,Montenegro,4.09,0.81,628960
Sudan,Sudan,1.33,0.51,40533300
State of Palestine,State of Palestine,0.81,0.69,4920720
China,China,3.71,0.75,1441129984
World,World,2.77,0.73,7550260224
