Country,type,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bahrain,Countries,,,,,,,,,32.91781,32.35802,31.18085,,42.14423,31.58125,27.60317,32.83415,29.83529,27.92542,27.35016,30.18121,,26.32558,26.25581,27.3619,25.87931,24.91634,27.34298,,23.89161,21.30909,20.94364,21.14047,21.18046,20.88432,,14.70264,15.94626,,15.74856,15.9,15.51218,15.65318,15.02748,14.61631,15.21667,14.98916,14.32013,13.76516,
Bangladesh,Countries,,,,42.12821,,,,,,,,,,,,,,,36.74915,,,,,,,,,,32.23326,27.02874,24.36795,28.2365,23.12425,,,,,,,,,,,,,,,,
Barbados,Countries,,,,,,,,,22.85401,24.18898,,,,23.12121,,,,,,,,,,,,,,,,17.61094,16.65854,16.29851,17.28613,17.09593,17.72072,17.72254,,18.94444,16.33884,16.79282,16.19499,16.14943,,,16.08086,16.38965,15.64658,16.20173,
Belarus,Countries,,,,,,,,,,,,9.48626,9.36176,9.24324,8.91034,8.35356,7.82885,7.78716,7.80348,7.81208,7.70066,6.73515,6.63477,6.77718,6.70803,6.66727,6.4011,,,5.18094,4.9446,4.85322,4.80285,5.78224,5.88485,6.12244,6.14064,6.15029,6.1703,6.13126,6.3318,6.5813,6.40991,7.64418,7.81183,7.64289,7.63699,7.76152,
Belgium,Countries,,25.60292,,,24.90108,,25.07663,24.58569,24.01408,23.31022,22.31237,22.43252,22.48166,,23.28318,20.67081,19.7973,,,,,,,16.85776,17.43521,,,,,,,,,,,14.25797,,,13.80388,13.83706,13.92133,13.91457,13.92234,13.57944,13.42901,13.07852,12.90002,,
Belize,Countries,,,,,,,,,,,,15.38462,,,,,,16.15385,,,18.84615,17.76129,19.11765,19.1875,17.96591,17.42632,18.26519,18.13514,,18.54082,18.99485,17.68571,,17.63084,16.95946,17.23437,17.23759,17.12371,16.66954,15.96296,17.44974,16.31719,16.3211,16.97248,16.59513,16.49451,16.89135,16.3978,
Benin,Countries,,,,,,,,,,,,21.71839,20.02033,21.22472,22.25291,22.59132,21.48669,21.10032,20.44308,20.60276,21.02875,22.78094,22.59314,23.32913,28.01544,26.49917,27.08414,,,28.04232,28.99478,29.91627,32.0041,33.67797,36.33993,43.23906,49.13386,,38.32451,38.63935,33.24214,27.07123,25.06084,26.14969,26.71295,25.60013,19.41764,,
Bermuda,Countries,,,,,,,,14.41429,,,,,,,,,,,,,,,,,,,,,,,,7.16393,6.78689,6.98214,7.54386,,,,,,,6.2,8.2549,6.48333,8.58696,,,,
Bhutan,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3125,22,22.375,,,,,23.11111,,11.31579,11.30769,9.81081,8.34177,12.45902,11.29258,11.62121,11.25517,11.55686,12.41289,10.78869,
Bolivia (Plurinational State of),Countries,,,,,,,,,,,,,,,34.82879,,56.02557,54.84598,41.03495,31.82453,41.8418,,,,,,,,,41.8339,,,,,,,,,,,,35.07079,34.90677,32.81886,33.41295,33.63983,33.63568,32.96985,
Bosnia and Herzegovina,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47313,
Botswana,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19823,14.44853,15.52885,12.92751,,,11.29032,11.60401,,,,,
Brazil,Countries,22.02089,20.3819,20.36483,20.29968,20.10415,21.44538,21.38728,20.74596,20.87246,23.02364,22.71411,23.10281,23.03382,23.64302,22.66238,23.01972,24.21917,23.68102,23.32104,22.89541,,20.62345,21.5935,21.20383,20.71061,,19.33663,19.07165,,,,,,,,,,,,,,,,17.10287,16.99821,16.78552,16.59563,,
British Virgin Islands,Countries,,,,,,11.375,15.5,,,21.36364,,19.93333,,8.7619,12.66667,,,,,,,,,,,9.26923,,,,13.38235,13.43902,13.27907,13.65217,12.58,13.53061,14.17778,14.51111,,,13.2,,10.9359,,,,10.09412,8.27368,,
Brunei Darussalam,Countries,,,,,,,,,25.10377,21.17057,20.8642,19.54261,20.75862,21.86012,21.08815,22.0082,20.30102,20.25935,,,,20.57206,20.95329,21.80112,21.17984,21.83333,,,21.35272,19.97527,20.50103,21.50855,20.16637,19.5434,23.01744,19.23596,18.65869,21.15315,19.56271,21.82718,19.63664,12.07493,13.59813,13.43711,17.01781,17.07445,15.37966,16.2243,
Bulgaria,Countries,,18.25461,17.71465,17.54871,17.29659,17.05048,16.26652,15.24625,15.03048,14.70217,14.72768,14.51248,14.00031,13.79219,13.36774,13.07814,12.48597,12.15722,12.01703,11.76216,11.21641,10.55668,9.23498,9.59869,9.6582,10.23652,10.64186,10.57744,10.68457,11.3243,11.27836,11.43006,11.41059,11.76673,11.49663,11.48245,11.45731,11.44767,11.43057,11.80169,12.02208,12.29878,12.49293,12.69734,12.82018,,12.30445,,
Burkina Faso,Countries,,,18.90909,,,53.11111,26.15789,,,,,25.46667,26,25.51852,28.61404,25.8381,26.24444,26.70056,27.82587,31.0995,25.52511,28.25417,29.77647,29.41852,28.37037,28.68091,35.94488,40.20095,40.91837,,,,,,,,,23.59779,,,,23.30854,23.55877,24.66874,,22.30119,17.2911,17.58385,
Burundi,Countries,,50.88889,42.85714,,,,,,,,,,45.6087,51,45.96552,57.84,55.4375,44.79545,,48.59184,,,,,,,,,,28.05682,27.5,32.9697,32.08108,29.8705,27.98113,,28.87173,36.77449,,32.94283,34.0773,35.39198,32.96333,33.8499,35.26698,33.98462,35.16858,32.06993,
Cambodia,Countries,,,,,,,,,,,,23.93175,20.26773,24.89226,23.75486,21.75477,23.4216,21.2419,19.78091,19.11779,16.55838,16.65326,,,25.79203,25.35415,,23.59874,24.04762,,27.78511,23.85714,28.14808,24.605,29.56186,24.66064,23.75094,25.16195,22.91288,,27.89566,27.34186,27.99015,28.59203,31.34582,30.81032,32.10192,34.41773,
Cameroon,Countries,,,,,,,,31.58501,27.70929,26.67997,28.3251,26.83466,,23.92886,27.24104,28.71786,29.9454,28.44922,29.72905,28.54599,26.99361,26.28848,26.95358,,24.28202,24.15087,,19.21188,19.75614,23.41325,23.66847,23.66742,23.95276,23.50322,22.83249,24.0725,21.22016,17.59527,21.7792,22.30456,21.80981,22.08541,22.14664,,21.09985,20.54219,20.81374,20.62576,
Canada,Countries,,,,,,,,,,,,,,,,33.94945,33.43248,33.39503,32.04531,30.75349,31.77258,30.56053,30.68733,37.04284,37.41449,38.97122,39.56436,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,Countries,,,,,,,,,,,,,,,28.5942,,,33.25735,,,,,,,,,,,,,,24.79349,25.11192,25.92543,21.67492,23.0438,22.48211,21.70624,21.54475,21.39923,19.7914,20.25986,19.7062,18.19472,17.70104,18.89465,18.42011,18.0716,
Cayman Islands,Countries,,,,,,,,,,,31.6,,,,,,,,,,,,,,,,,,,9.47059,12.17647,14.37778,10.01695,,13.18182,11.73077,12.76923,8.51515,,,,,8.44286,,,,,,
Central African Republic,Countries,,43.21667,40.8785,39.15207,,,50.10798,,,,,,,,,,,31.80556,,,,,,,,,,,,,,,,,,34.43099,,34.37326,,,,44.27406,,,,,,,
Chad,Countries,,,23.04,,,,,,,,,,,,,,,,,,,,,,,24.97015,,,,,,,,,,,,,,,35.0562,34.0137,35.17311,,,29.04082,31.93213,,
Channel Islands,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Countries,,32.76109,34.35157,34.6412,43.50298,49.64053,41.86005,46.23432,46.61157,65.56436,,,,,,,,,22.95897,23.16133,,24.03219,,27.22762,27.96994,29.55942,,,,,24.27353,,24.80104,22.90848,21.40568,20.69556,19.65949,18.63931,,,,,26.3367,28.19049,27.52765,26.83345,,25.40425,
China,Countries,,,,,28.65497,25.0999,26.21564,27.13397,26.78614,28.43682,29.85501,28.01972,26.33308,26.80853,26.33372,26.36408,26.90835,26.92974,27.75315,27.66304,26.05641,26.31043,28.73313,29.79399,30.53278,30.52224,30.98329,30.00607,28.48124,27.44985,26.66438,26.20314,,,,,22.88608,22.42936,22.38452,22.71068,24.03674,23.15033,23.01143,22.26595,21.03872,19.93141,19.07577,18.06286,
"China, Hong Kong Special Administrative Region",Countries,,38.3669,35.11194,38.23693,38.09809,37.80729,38.43186,39.22867,39.38769,39.65434,38.12973,38.13212,37.38594,37.5,35.29583,34.30021,32.91982,30.86076,29.51075,28.50544,28.26422,25.86781,24.78347,23.73702,22.81063,,21.36964,,,,,,,,,,,,,,,,,,,,,,
"China, Macao Special Administrative Region",Countries,,40.13068,35.5625,,40.98291,34.60504,39.01538,38.95238,36.89474,37.17842,,,,,,,,,,,,,,,,,,,,31.36147,30.43691,30.05466,28.85593,27.41649,25.86928,24.14537,22.61486,19.49895,18.09381,17.58574,17.15088,16.67284,16.69547,16.56078,16.04192,15.88646,16.17437,14.65099,
Colombia,Countries,,,18.14962,18.15085,20.31295,24.67404,25.96017,27.37004,25.1175,27.76241,25.8631,24.32984,25.19218,24.2081,27.33484,26.19466,24.07279,24.00827,23.90417,23.80926,,23.72802,23.69979,24.36591,21.68804,20.74508,20.04184,,17.00724,17.67108,20.06263,20.39633,21.09269,,21.12253,22.20104,22.19353,21.95723,26.95342,27.90779,26.57539,25.63352,,,,,,,
Comoros,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.24,25.92683,,,,,,,,,,,,,,,,,20.32799,
Congo,Countries,,35.5,,41.42105,,,,,12.01866,8.12216,10.20579,10.47305,8.90617,9.4751,11.54343,9.88766,10.41899,10.2301,9.90714,8.83037,9.96604,9.00775,10.43664,7.80134,8.74257,5.49284,4.03804,7.81435,3.22959,9.95545,10.10673,14.23338,15.21966,,19.32768,21.79439,18.62466,20.4851,22.89388,22.55518,23.27195,,25.66397,,,,,,
Cook Islands,Countries,,,,,,,,,,,,,,,,,,25.8,15.65217,,,,,,,,,,15.33333,13.6129,16.60714,15.55172,13.75862,17.57692,,20.56522,,14.96875,16.35484,14.57143,14.58065,15.66667,17.21429,15.54545,13.93939,16.58065,16.5,,
Costa Rica,Countries,29.23047,29.22684,30.08736,29.49315,29.44802,31.216,32.0461,31.72408,,32.58065,32.47697,32.43437,36.68085,30.61007,27.41088,27.9232,32.69003,24.87229,24.22307,29.5071,23.44796,23.98157,25.18852,23.54378,22.6386,22.5894,20.97789,21.23775,20.21772,20.57751,18.65127,18.50602,17.53494,,16.36115,16.16496,15.27497,,14.54534,13.78091,14.4155,14.17028,,12.81121,13.10042,12.83307,11.9319,,
Côte d'Ivoire,Countries,,,,,,,43.11111,43.23148,41.80992,41.96923,36.19643,35.14525,,30.90129,32.57826,,,,,,,,,,,21.50839,,,18.50954,22.5019,21.99718,20.22957,21.18264,22.32538,,,16.49447,17.04336,15.46104,17.34812,,18.9628,18.49686,20.71104,21.84952,22.09197,22.95188,22.91741,
Croatia,Countries,,,,,,,,,,,17.93413,16.74747,16.67187,16.60881,15.8555,16.13265,15.78476,15.6636,15.45324,15.51227,13.31749,12.52821,,,,15.01711,14.53263,14.01797,13.62151,14.66174,15.32815,15.15422,14.36776,13.9797,,14.64833,14.11456,14.1662,13.67053,13.42271,12.96228,13.03218,12.65309,13.25139,13.11067,13.22948,12.93654,,
Cuba,Countries,,33.25687,32.16386,29.76488,29.51208,28.97461,29.04199,31.68461,30.02262,26.21972,25.56003,24.51773,23.49505,22.45569,21.9804,22.11742,23.49105,21.658,22.71698,22.64854,22.35249,23.83052,21.65713,23.20594,23.83932,24.61348,23.89855,22.1693,,,,,,,,,,,,,,,,,,,,,
Curaçao,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Countries,,18.32627,19.31944,19.64912,18.86269,18.6185,19.04955,20.82625,19.80952,24.20641,25.57593,24.87321,25.5898,25.91684,25.52102,26.23025,24.86686,24.06546,23.65904,24.20048,24,23.00388,22.31593,20.11031,19.88652,19.7393,19.84429,17.89126,,19.12539,20.95278,20.52865,20.32455,18.14094,18.46752,18.27353,17.89744,17.42232,17.27557,16.66585,16.71825,17.16906,16.53363,16.16962,15.62938,12.5922,,,
Czechia,Countries,,13.07214,13.05256,13.07506,13.21098,13.37774,13.51832,14.24594,14.78405,14.98417,14.99439,14.90084,15.03061,14.37807,14.29848,14.4787,14.58454,14.11328,13.40767,12.71325,12.43045,10.96596,10.81605,10.60508,12.02565,11.24444,11.6663,,,18.31054,18.44056,12.55929,12.62375,12.80428,12.84617,12.99464,11.75297,13.59026,13.68902,13.83119,13.90249,13.91295,13.93601,13.89131,,,,,
Democratic People's Republic of Korea,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,Countries,,,,42.21245,,,,,,,,,,,,,,,,,,,,43.27474,,,,,,,,24.80491,23.01843,,,,,25.54864,27.80707,24.59079,25.49121,25.03079,25.68275,25.71434,24.57417,23.28667,,,
Denmark,Countries,,,29.11245,29.35881,27.49734,25.56224,,26.1424,26.88693,,,,,,,16.98705,15.79482,15.27401,15.65904,14.24636,14.01134,,13.87415,9.78771,10.45771,10.49849,,,,5.54146,5.42027,5.52632,,,,,,,,,,,,,,,,,
Djibouti,Countries,,,,,,,,,,34.125,,,,,,,,,,,,,,,,,,,,28.5,,23.66667,28.72727,,20.51282,,19.86486,19.60345,16.67949,16.37333,,,,,,,29.48611,16.40252,14.40476
Dominica,Countries,,,,,36.7541,35.56716,38.33333,36.92308,,35.07692,,,,,,,29.06977,27.97674,26.24242,,24.62921,22.46,18.51852,22.90076,,,,,,18.31429,14.99275,17.69231,15.88148,11.91111,13.42222,14.04575,13.90345,13.83824,14.85926,13.50714,13.80292,10.7929,10.8375,12.53691,12.89063,11.35333,11.27027,,
Dominican Republic,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.31425,22.23089,23.81978,21.95419,,26.84577,23.76007,20.67226,22.15464,25.83207,21.62744,24.20135,23.63875,23.55565,23.58146,25.13758,23.39422,21.41289,17.93859,18.91434,19.47085,
Ecuador,Countries,,32.98561,34.86698,31.6495,34.31852,32.99378,30.67352,32.082,32.21813,30.68591,26.98421,27.35145,28.43166,28.29644,28.83651,24.09774,24.35387,24.20308,22.78133,21.89308,20.86278,18.25488,21.22331,22.11671,17.82751,16.51201,15.6904,15.70862,15.24417,17.84348,14.56081,14.51021,18.02273,17.25032,16.65013,17.02743,17.19521,16.84106,18.6382,20.42999,20.09861,20.65506,21.27162,21.80698,22.43301,21.72516,21.40312,,
Egypt,Countries,,38.85759,34.09296,36.98137,39.16648,,,,,43.96873,37.94022,,44.32813,,,,,39.78325,37.46521,28.05619,34.89203,24.79626,23.76929,25.66779,25.39208,27.97472,24.4206,24.06598,,23.99912,,22.13978,23.35055,23.58624,24.19264,23.66244,25.51382,24.80813,31.37429,,30.34772,,,,,,26.93501,26.30437,
El Salvador,Countries,32.85075,37.91011,35.95856,46.38497,,,,,,,46.99228,42.49668,58.02601,55.27727,53.51661,,,34.4173,40.8355,,,,,,,26.14038,25.0872,,,,,,,32.59807,33.83106,33.27141,32.79568,31.3362,24.32591,22.90766,,24.05312,,,,31.92044,32.36686,27.29959,
Equatorial Guinea,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.01034,35.96976,27.37568,,,26.79545,,,,23.89789,,,,17.4757,,,16.65097,,,
Eritrea,Countries,,,,,,,,,,,,,,,,,,,,,,,32.14428,30.97357,31.7541,31.375,34.80851,35.95652,,36.07788,36.6821,38.14724,,36.48293,37.68293,36.97515,34.53301,35.08757,33.74105,33.63026,35.43832,37.94568,35.47299,33.83406,31.98517,28.92995,,29.13563,
Estonia,Countries,,,,,,,,,,,,,,,,,,,,6.66086,6.62961,6.56673,6.36675,6.58335,7.0087,6.81651,6.75624,6.42813,6.92531,7.9415,7.84027,7.98738,,7.58219,7.535,7.46564,7.52136,,7.26147,5.92078,5.66671,6.36712,6.8194,,,,,,
Eswatini,Countries,,,,,,,23.95522,,58.75,,,,,,,,,,,,19.26164,,,23.50735,,,,,,,,,,,,,,,,,10.78742,12.47494,,,,,,,
Ethiopia,Countries,,,,,39.84211,,,,,,,,,46.888,,44.83123,45.51958,45.68866,45.78947,46.26854,45.67727,35.23099,38.17374,38.36205,40.34554,37.17196,,38.25603,37.33912,36.31725,35.2706,34.02551,32.36834,33.11545,31.96457,33.43805,25.6812,27.32543,26.90076,,35.38043,27.41109,,,,,,,
Faeroe Islands,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,Countries,,,,,10.04938,13.04297,,21.96933,22.90588,32.712,22.92347,20.90323,,21.31621,20.94118,13.65584,16.61538,18.55821,,,20.016,,19.45261,,,,,,,,20.85897,20.81176,,,20.84058,,19.20889,,,,,,,,,,,,
Finland,Countries,,21.38035,,20.35294,21.00253,21.00373,,,,,,,,,,,,,,,,,,,,10.99441,12.15728,11.69532,11.5149,11.94556,11.96316,12.70697,12.46537,12.20221,12.2579,11.96926,,11.42551,11.42579,11.24436,11.03099,10.76512,10.61937,11.85033,11.52599,,11.53925,,
France,Countries,,,,,,,,,,,,,,,,,,,,,,,,24.19218,23.91825,23.80929,23.60979,22.99856,20.92426,18.64171,,18.44599,18.16731,17.97911,18.02434,18.49414,18.54232,18.33579,18.10194,18.67636,20.34604,20.05662,20.57732,20.33179,,,,,
French Guiana,Countries,,40.86207,40.92857,,40.91026,,40.46988,,,37.20833,36.72549,28.1087,28.09028,28.8156,27.08553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,Countries,,,,,,32.53689,30.63019,28.59862,,,29.97377,26.7341,26.72571,25.82512,25.75744,25.83766,,,25.44545,24.455,25.64848,25.33546,26.93333,24.62182,,24.58395,25.07656,,,,,,,,,,,,,,,,,,,,,,
Gabon,Countries,,,,,,,,,,,,,,,,,,,,,,,25.67568,,,,,,,,,30.22913,,,,,,,,,,,,,,,,,
Gambia,Countries,,,,,,,,,,,,,,,,,,,,,,,32.15196,,,,,,,36.53105,,,,,,,,,,,,,,33.66105,40.40295,33.14732,,34.74832,48.04031
Georgia,Countries,,,,,,,,,,,,7.47791,,,,,5.85484,,,,,7.22975,,6.36139,,,,7.62244,,12.77697,10.72448,10.44955,10.30732,10.03163,9.70725,9.65026,9.8946,10.73454,,,,,,,,,,,
Germany,Countries,,,,,,,,,,,,,,,,,,,,,,,,17.51093,17.56186,19.13734,19.97486,20.0802,,,,,,,,,,,,,,,,8.32273,8.16517,7.89896,7.81468,,
Ghana,Countries,,,,32.93774,,61.16576,,,,,,,,,,,16.75298,20.30414,20.59067,19.49301,21.34411,,,,,,,,,22.91105,25.26632,24.38304,25.18844,27.08822,27.51324,25.20614,30.07132,32.36025,35.21611,35.41945,,29.97769,36.38433,35.47984,32.53683,33.97072,32.82755,29.05177,28.79899
Gibraltar,Countries,,,20,,14,14,13,17,17,22,,14,14.4,15,15,30,,,,,,,,,,,,,,21.76471,22.76471,22.42857,,,,,,,,,,,,,,,22.18421,10.93976,
Greece,Countries,,31.70258,31.95864,30.18927,28.99599,27.2405,26.19217,26.22558,24.09281,23.56056,22.87474,22.4016,21.97739,22.21713,22.26809,21.70169,21.01602,20.00605,19.54747,18.15843,17.06464,16.25429,16.11723,16.50458,15.81167,15.5598,14.92441,15.10365,15.85298,15.90173,15.81784,14.50301,13.94541,13.21774,12.74668,12.48933,12.35586,11.92062,,,,,,11.91166,11.7786,10.89572,10.72371,,
Greenland,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,Countries,,17.95726,34.82667,,,,,26.45745,28.67,26.81308,,21.73913,22.35897,21.54962,18.6,,,22.4863,23.89333,,,,,,,,,,,15.25481,,,14.98565,14.79386,14.80702,10.30303,,13.96341,14.93333,10.5389,14.47967,,,13.50741,12.13043,11.76471,11.65232,12.24749,
Guadeloupe,Countries,,48.42857,42.98182,54.92105,48.25641,,32.04816,,,33.47336,33.05973,33.02348,30.52328,29.39602,29.61593,29.63167,30.67642,,,,,28.18477,29.61974,33.1784,29.06447,,,,,,,,,,,,,,,,,,,,,,,,
Guam,Countries,,,,,,,,,,,,,,,29.21212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Countries,,,,,,,,,,,,,,34.71841,31.82702,30.344,28.49792,28.69596,,,,,29.15348,25.04683,23.15755,31.80783,30.99616,30.07874,26.85797,26.09329,22.76595,22.95848,23.15366,,25.48629,25.10817,24.91754,24.20812,23.2689,23.97446,21.48757,20.56438,19.20583,,,,,,
Guernsey,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Countries,,,,,,,,,,,,,,,,,,,,,,,,,33.97351,,52.77778,42.08511,,,,,,,35.82111,31.15025,28.93449,33.32376,34.04138,,33.54126,,,,,,,,
Guinea-Bissau,Countries,,18.08333,,,,,,,,,11.29412,9.97826,10.41304,23.5,,,,20.42623,,,,,,,,,,,,,21.43814,,,,,,,,,,28.9644,,,,,,,,
Guyana,Countries,,,,,,,,15.51384,13.70835,14.5986,13.89824,13.85282,16.80202,18.3163,,19.42692,18.35954,,18.22857,,,23.48651,18.81293,19.55722,19.75858,19.42006,16.32646,16.78646,,17.73697,16.65302,16.06505,,14.9553,,16.13435,,14.71843,14.87836,14.75,14.06405,15.47516,15.63208,,,,,,
Haiti,Countries,,,,,,,,,,,,,,,,21.96653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy See,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,Countries,44.79263,44.97854,42.59779,42.87375,39.91867,39.74384,40.65392,40.81414,44.19602,41.96769,39.65666,40.74208,46.28902,37.76797,35.35359,,36.53596,,,,,32.15882,,29.22342,,,,,,,19.48127,,,,19.59665,21.26765,25.74737,26.89421,29.38287,26.5804,,,,14.34182,,20.70922,19.34288,,
Hungary,Countries,,18.21,18.3577,18.19487,17.99787,17.14525,16.05928,15.55843,15.97336,16.43236,16.60179,16.24146,15.37939,14.58783,13.91426,13.25832,12.65882,12.04161,11.75139,11.62283,11.5937,11.62863,11.88489,11.90163,10.51708,10.60344,,11.26543,12.07828,11.75936,11.5904,11.01922,10.4732,9.61999,10.40137,10.57957,10.65804,10.68532,10.79644,10.87947,10.91983,11.1084,11.19463,11.13524,12.82368,11.92696,11.79992,,
Iceland,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24937,4.25045,4.02893,3.85276,3.62742,3.32904,6.29323,6.31947,6.26866,6.31247,6.22505,5.98991,6.06415,5.06398,5.02733,4.91262,4.83956,4.76812,,,
India,Countries,,42.90585,46.50398,47.99958,,53.88055,,,,,,,,,,62.05351,,,,,,,,,,,,,,,,,8.63677,9.17329,8.02152,6.64109,7.13035,,,,,,,,,20.1015,,,
