"Country","ISO","Percent","UN_CENTROID_LAT","UN_CENTROID_LONG","UN_REGION_NAME","UN_SUB_REGION_NAME"
"Marshall Islands","MHL",20.1,9.655572080829296,168.71096654616832,"Oceania","Micronesia"
"Palau","PLW",9.6,7.45679162627842,134.54269227531174,"Oceania","Micronesia"
"Panama","PAN",10.1,8.510318417170028,-80.0800328328307,"Americas","Latin America and the Caribbean"
"Paraguay","PRY",8,-23.234915219650535,-58.39388700166904,"Americas","Latin America and the Caribbean"
"Peru","PER",10.8,-9.176880658020918,-74.36422639438604,"Americas","Latin America and the Caribbean"
"Philippines","PHL",5.5,11.758794633503175,122.87442692568817,"Asia","South-eastern Asia"
"Poland","POL",3,52.12426250099111,19.40184075724681,"Europe","Eastern Europe"
"Portugal","PRT",6,39.619432168945096,-8.347784667721813,"Europe","Southern Europe"
"Timor-Leste","TLS",34.6,-8.824243861176534,125.85633553553019,"Asia","South-eastern Asia"
"Romania","ROU",7,45.84541101622945,24.98638941967141,"Europe","Eastern Europe"
"Rwanda","RWA",20.7,-1.998117466124406,29.916791200509977,"Africa","Sub-Saharan Africa"
"Sao Tome and Principe","STP",26.3,0.4719395946038328,6.741765854269409,"Africa","Sub-Saharan Africa"
"Senegal","SEN",12.2,14.356883763158052,-14.467596094813986,"Africa","Sub-Saharan Africa"
"Sierra Leone","SLE",28.7,8.565085212113773,-11.791359783670355,"Africa","Sub-Saharan Africa"
"Slovakia","SVK",8,48.707874541144015,19.499079585708024,"Europe","Eastern Europe"
"Viet Nam","VNM",10.8,16.602747052660792,106.31304758672148,"Asia","South-eastern Asia"
"Slovenia","SVN",2,46.11184673353714,14.81821779912305,"Europe","Southern Europe"
"Zimbabwe","ZWE",19.9,-18.99853060095859,29.877961499870384,"Africa","Sub-Saharan Africa"
"Spain","ESP",2,40.24473367953482,-3.6239408091270557,"Europe","Southern Europe"
"Sweden","SWE",6,62.79024565156364,16.76007558029039,"Europe","Northern Europe"
"Tajikistan","TJK",19,38.52321659435878,71.04567663561406,"Asia","Central Asia"
"Togo","TGO",12.7,8.538414792746046,0.9786610406195779,"Africa","Sub-Saharan Africa"
"Tonga","TON",18.9,-20.29386529453792,-174.93354544955147,"Oceania","Polynesia"
"Trinidad and Tobago","TTO",6.74,10.463300740514235,-61.26647099941676,"Americas","Latin America and the Caribbean"
"Turkey","TUR",11,39.060146787121624,35.17162606297723,"Asia","Western Asia"
"Tuvalu","TUV",25,-7.449601173214042,178.66458129920403,"Oceania","Polynesia"
"Uganda","UGA",29.9,1.2804580669615493,32.39242946820028,"Africa","Sub-Saharan Africa"
"Ukraine","UKR",10.2,49.005262631781385,31.401762411760377,"Europe","Eastern Europe"
"Egypt","EGY",14,26.569615367039596,29.76748006242628,"Africa","Northern Africa"
"United Kingdom of Great Britain and Northern Ireland","GBR",6,54.129164051716224,-2.89824843471767,"Europe","Northern Europe"
"United Republic of Tanzania","TZA",29.6,-6.268169246577929,34.819667499317845,"Africa","Sub-Saharan Africa"
"Burkina Faso","BFA",9.3,12.271995402531672,-1.7382596511655224,"Africa","Sub-Saharan Africa"
"Uruguay","URY",2.8,-32.80957094099724,-56.01160511858387,"Americas","Latin America and the Caribbean"
"Samoa","WSM",22,-13.731305277466682,-172.19301261607515,"Oceania","Polynesia"
"Zambia","ZMB",26.7,-13.45957697034391,27.79592907367731,"Africa","Sub-Saharan Africa"
