country,consumption,unit,data1980,data1981,data1982,data1983,data1984,data1985,data1986,data1987,data1988,data1989,data1990,data1991,data1992,data1993,data1994,data1995,data1996,data1997,data1998,data1999,data2000,data2001,data2002,data2003,data2004,data2005,data2006,data2007,data2008,data2009,data2010,data2011,data2012,data2013,data2014,data2015,data2016
Australia,Consumption,Quad Btu,2.767019466,2.907385791,3.071848467,2.984850875,3.06692727,3.149834646,3.290511978,3.464830631,3.376573572,3.720244163,3.853006327,3.769593363,3.847840303,3.889210013,3.945053377,4.150782606,4.276546948,4.335450861,4.526612022,4.599941641,4.642247293,4.844912413,4.945131132,4.941750233,5.061144842,5.19017986,5.309193611,5.520582862,5.450711355,5.584535488,5.264381969,5.690469991,5.725893525,5.726781001,5.744000172,5.805566824,5.988489399
Austria,Consumption,Quad Btu,1.115915271,1.104724946,1.055984381,1.061951863,1.09173607,1.116115442,1.097249261,1.047842524,1.131018371,1.145876994,1.17961926,1.242105712,1.217060719,1.238771204,1.232507506,1.289360904,1.35260853,1.352056571,1.375652101,1.390281088,1.379213864,1.44524567,1.446378513,1.470102342,1.528894385,1.587368385,1.567932309,1.545721297,1.546637172,1.47259005,1.514553971,1.443060291,1.487581485,1.491811906,1.446926686,1.446341856,1.477954401
Azerbaijan,Consumption,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0.992519683,0.843913239,0.758993512,0.727964738,0.643095709,0.637950656,0.546682554,0.563641815,0.507594795,0.44619344,0.532377048,0.567715116,0.626104156,0.648467557,0.657035981,0.541695789,0.579043918,0.544010694,0.587321993,0.555522154,0.603245046,0.567599135,0.585457175,0.62646379,0.608790576
"Bahamas, The",Consumption,Quad Btu,0.06,0.063,0.054,0.041,0.037,0.033,0.032874443,0.036388625,0.033689535,0.038525006,0.040986445,0.036709022,0.03075791,0.032956147,0.036161741,0.043238988,0.04861029,0.047757796,0.053804395,0.047648953,0.05634806,0.057501026,0.059754686,0.04194969,0.045970253,0.044403432,0.05167975,0.05924776,0.057775414,0.04386956,0.045505092,0.039950406,0.046351292,0.042954567,0.042354278,0.04064458,0.042614687
Bahrain,Consumption,Quad Btu,0.1377,0.15764,0.16822,0.17758,0.171502,0.204708,0.220987772,0.265819139,0.228953512,0.234220486,0.256230168,0.286790941,0.24059811,0.287332136,0.283188325,0.283594943,0.284571672,0.33493822,0.351590348,0.360730678,0.381740311,0.395185594,0.421559964,0.44044414,0.456248106,0.511836403,0.546222563,0.560664475,0.587814735,0.582106538,0.587808014,0.581575083,0.625182573,0.695772386,0.679123507,0.696202198,0.69337783
Bangladesh,Consumption,Quad Btu,0.122841068,0.134596599,0.143682645,0.1367462,0.167876725,0.172956757,0.187402956,0.201606662,0.226100773,0.2456356,0.23886781,0.256659405,0.286654013,0.318039151,0.348262645,0.382707211,0.390357444,0.403542165,0.417071758,0.463486367,0.502977979,0.553376171,0.579817157,0.637516685,0.659433568,0.700505256,0.749207133,0.790251828,0.8534186,0.9028262,0.954177745,0.999259856,1.086119093,1.112481644,1.163838641,1.266580119,1.373454067
Barbados,Consumption,Quad Btu,0.0148376,0.0158376,0.0158376,0.0168376,0.0158376,0.0178376,0.01831779,0.017579752,0.017561345,0.017719799,0.018772238,0.018981545,0.020102368,0.019540842,0.018532307,0.019467151,0.017269023,0.02079045,0.021233971,0.022215223,0.024533983,0.02378116,0.023941209,0.024393019,0.024753682,0.025130848,0.025242402,0.02398162,0.028397102,0.02620925,0.025297828,0.02677957,0.025604616,0.026365984,0.022739564,0.023505191,0.025519354
Belarus,Consumption,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,1.530895911,1.303183424,1.072056557,1.00882382,1.009477323,0.995288097,0.975920461,1.003806605,1.093173296,1.014331649,0.982912097,1.027312271,0.960695244,1.080847016,1.15444391,1.119209193,1.133309313,1.054925696,1.121974715,1.161305585,1.171888032,1.119946627,1.121458188,0.96006566,0.945313305
Belgium,Consumption,Quad Btu,2.134897839,2.009050161,1.880422114,1.843881657,1.884421741,1.956259028,2.033849596,2.098248702,2.15079323,2.165547884,2.216626002,2.299684962,2.303344335,2.269170587,2.420272105,2.450367865,2.592079004,2.608649922,2.674279746,2.645192119,2.703257184,2.68585878,2.686602721,2.778417942,2.810225913,2.791035121,2.782606526,2.8080758,2.879473089,2.633440391,2.830047712,2.646151176,2.576453572,2.649931899,2.480995818,2.536847512,2.682610218
Belize,Consumption,Quad Btu,0.00341552,0.00341812,0.00341816,0.003420801,0.0034176,0.00341788,0.003830666,0.003334118,0.002754549,0.004017048,0.005364685,0.005663252,0.004874421,0.004851717,0.004426772,0.005106956,0.004730221,0.007979052,0.007759531,0.007248343,0.008580971,0.00974471,0.009088413,0.00902726,0.008182884,0.009322516,0.00998609,0.009790932,0.00948228,0.00956029,0.010422364,0.009339137,0.009360053,0.011067554,0.010605523,0.011761828,0.011195311
Benin,Consumption,Quad Btu,0.006399204,0.006464032,0.004566392,0.006620984,0.00654592,0.007569804,0.00743913,0.006308103,0.00715615,0.007554002,0.008803345,0.009700464,0.010846369,0.012096536,0.013242452,0.014265035,0.015774274,0.016285862,0.017929047,0.008542096,0.023564542,0.02686536,0.030579115,0.035134239,0.037804221,0.035166541,0.047893533,0.056257103,0.057540696,0.064630518,0.074037688,0.0690234,0.065727359,0.066360312,0.071336923,0.078196148,0.078414346
Bermuda,Consumption,Quad Btu,0.008,0.007,0.007,0.008,0.008,0.007,0.006898958,0.009947155,0.010856062,0.013236826,0.009621135,0.008314113,0.006745689,0.007809947,0.007272302,0.007638729,0.007552188,0.007531977,0.007531977,0.007531992,0.008463561,0.008698958,0.008786658,0.008766686,0.009155026,0.009558814,0.010795871,0.012539087,0.011995108,0.009876854,0.011226404,0.00736442,0.007767438,0.007802241,0.010209232,0.00899445,0.01081503
Bhutan,Consumption,Quad Btu,0.000190904,0.000782497,0.001018705,0.000934342,0.00083053,0.001076875,0.003144498,0.010194859,0.012686868,0.012801484,0.013031025,0.013240159,0.01345392,0.013041339,0.014139235,0.01461816,0.016367954,0.016622417,0.016095159,0.016129728,0.01683439,0.018937562,0.021251679,0.022404492,0.020748799,0.024529905,0.037175211,0.049954504,0.054063611,0.053777296,0.058220489,0.057180917,0.055221792,0.061476326,0.058167203,0.061386032,0.061580561
Bolivia,Consumption,Quad Btu,0.074713448,0.083384437,0.073711852,0.075613218,0.072694836,0.067365625,0.068171893,0.066944034,0.076635608,0.087079098,0.092263368,0.090834149,0.097719292,0.096898108,0.107737887,0.123974502,0.12109534,0.136569217,0.126482128,0.141683499,0.148924987,0.127178854,0.138885082,0.186767144,0.19322794,0.18923993,0.208667946,0.224217803,0.229881913,0.227364696,0.230913828,0.238418424,0.282140134,0.287536378,0.289200672,0.280958534,0.31236267
Bosnia and Herzegovina,Consumption,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0.148281638,0.107796479,0.113077265,0.187595339,0.116121079,0.166399335,0.196594823,0.199449701,0.219215104,0.21879513,0.220056637,0.192492126,0.198513009,0.184263673,0.187554088,0.179809348,0.202646325,0.243026858,0.266908299,0.268111206,0.248153981,0.254325982,0.251975662,0.251945557,0.255110314
Botswana,Consumption,Quad Btu,0.014679979,0.015899107,0.014617143,0.014487196,0.014323225,0.019599301,0.020523463,0.021053784,0.024299471,0.027480991,0.03034148,0.031713536,0.038529336,0.037786325,0.037958246,0.037777035,0.036599622,0.03667505,0.039223272,0.037355718,0.048721088,0.05207144,0.054159212,0.055158501,0.054262176,0.057967685,0.058608401,0.060689021,0.063303299,0.059243979,0.055463604,0.055254235,0.055140265,0.065429305,0.066315719,0.076306685,0.076799956
Brazil,Consumption,Quad Btu,4.01975613,3.889747694,3.937954798,3.941022243,4.304864081,4.602837144,4.973820218,5.121928586,5.29304658,5.466856806,6.169458408,6.095762212,6.213665734,6.445212454,6.760754004,7.184798125,7.640040848,8.032409672,8.292329531,8.475128172,8.714832296,8.499765112,8.661028122,8.802202197,9.195047013,9.479479831,9.723626773,10.33123081,10.80142916,10.68437352,11.71867241,12.16918874,12.44740789,12.82233983,13.14307394,12.86437129,12.4779307
Brunei,Consumption,Quad Btu,0.08184,0.085536,0.09298,0.073256,0.064832,0.076684,0.050989415,0.081865883,0.071083487,0.082876975,0.070253014,0.05608704,0.055603555,0.052174531,0.050060751,0.061915433,0.057663023,0.061666312,0.055774018,0.066612013,0.067191565,0.076572482,0.089158657,0.092313894,0.10267522,0.115570114,0.177669308,0.186514792,0.192123408,0.127168234,0.144752889,0.149380986,0.144522338,0.134840268,0.151167434,0.165151075,0.172661857
Bulgaria,Consumption,Quad Btu,1.349088975,1.340704656,1.385339574,1.405079861,1.404042593,1.462174182,1.44010762,1.434614371,1.436271102,1.327646217,1.199436579,0.932981899,0.926696841,0.903191004,0.909876439,0.995065165,1.002802524,0.918186467,0.850267822,0.768303898,0.773704244,0.788252659,0.799307965,0.803598592,0.808655489,0.843438647,0.859613601,0.838475369,0.840037694,0.719092717,0.735866247,0.793364885,0.756288587,0.706796163,0.75314167,0.789374631,0.755628021
Burkina Faso,Consumption,Quad Btu,0.006,0.006,0.006,0.006,0.006,0.006,0.006886218,0.007382825,0.007541693,0.006759017,0.006863448,0.007961841,0.008073511,0.008580139,0.010402685,0.010629261,0.010730978,0.017411114,0.015273315,0.015735749,0.014075905,0.01652508,0.016811655,0.018237625,0.016394572,0.018395942,0.018049912,0.024518636,0.026849749,0.025560749,0.027527504,0.032263048,0.037490676,0.045309944,0.042399239,0.050459913,0.050444775
Burma (Myanmar),Consumption,Quad Btu,0.072960739,0.074509239,0.082300479,0.0948253,0.102537848,0.107126085,0.0924896,0.089211257,0.085532912,0.088617884,0.085411515,0.085074615,0.089036724,0.09463791,0.110966291,0.117882528,0.118149364,0.126837236,0.13966171,0.151903801,0.17025921,0.159392275,0.179230059,0.207202939,0.211753209,0.272984462,0.259135401,0.277519623,0.255011583,0.235351081,0.23812617,0.262838796,0.310370267,0.351953269,0.413114773,0.463332607,0.511215203
Burundi,Consumption,Quad Btu,0.001153844,0.002160798,0.001147152,0.002364792,0.00252658,0.002623866,0.002880707,0.003448701,0.004183212,0.005202514,0.005689053,0.006015528,0.00515651,0.006443459,0.006958632,0.006516119,0.007027344,0.007014598,0.006305264,0.006206203,0.005174021,0.004304379,0.004682386,0.004171594,0.004370463,0.004169044,0.004361253,0.006938803,0.004427297,0.004382378,0.005410587,0.005543475,0.004755424,0.006013499,0.005482545,0.005180045,0.006079995
Cambodia,Consumption,Quad Btu,0.004509012,0.004554009,0.00557497,0.005420801,0.0063132,0.006365645,0.006188725,0.00623974,0.007194586,0.007207074,0.00728867,0.007120344,0.00718221,0.007163761,0.007184876,0.021611971,0.023765209,0.027258822,0.031590172,0.032544824,0.030675692,0.032456743,0.032320142,0.034733765,0.03601914,0.041557864,0.04420418,0.052504621,0.052962091,0.064730832,0.075199793,0.077217944,0.086684849,0.093281037,0.109991344,0.134405737,0.155628171
Cameroon,Consumption,Quad Btu,0.047023804,0.051710875,0.060200721,0.060071596,0.06098664,0.063975865,0.069662717,0.066588711,0.066024125,0.076902287,0.077290246,0.078275804,0.078400868,0.069309154,0.074345885,0.076274488,0.075382285,0.080120656,0.079936224,0.078457085,0.081502532,0.081212171,0.079325192,0.085353912,0.089092325,0.085418385,0.104781695,0.104294152,0.10575933,0.113455561,0.128279763,0.134767573,0.130978866,0.117272212,0.149600236,0.157520273,0.149690874
Canada,Consumption,Quad Btu,9.535527207,9.411967872,9.025386143,8.990229458,9.509450568,9.871453697,9.992447095,10.30934598,10.7543873,10.87796054,10.76696547,10.87215896,11.21340774,11.47989692,11.8270778,11.99503947,12.34274063,12.36219575,12.06122063,12.7184332,12.78260221,12.84032497,13.02772798,13.36648579,13.59221105,13.74550851,13.8570154,13.88874283,13.58880458,13.31536251,13.81050242,14.15937366,14.31075147,14.72610123,14.80252386,14.72946903,14.67619333
Cape Verde,Consumption,Quad Btu,0.005,0.005,0.002,0.002,0.002,0.002,0.001313181,0.001394347,0.001925634,0.001346513,0.001346513,0.001346513,0.001778414,0.001792356,0.001621436,0.001577146,0.001776453,0.001772181,0.001772181,0.001772203,0.004580373,0.005317214,0.005578808,0.005555068,0.006199694,0.009500648,0.010248197,0.011574673,0.011889289,0.010800055,0.011597074,0.013604306,0.012153025,0.012614404,0.013432791,0.012341447,0.012352311
Cayman Islands,Consumption,Quad Btu,0.001,0.002,0.002,0.002,0.002,0.002,0.001519515,0.001604863,0.003908296,0.0038981,0.004286798,0.0042023,0.004319637,0.003942102,0.004547746,0.004872268,0.004885616,0.004873146,0.004873146,0.004873167,0.00721355,0.007393093,0.007919961,0.007556409,0.007284495,0.007705134,0.007914886,0.008912809,0.009305252,0.008986116,0.008532452,0.008982827,0.008598327,0.008384738,0.00866099,0.008813178,0.009151672
Central African Republic,Consumption,Quad Btu,0.002685608,0.003679445,0.003710872,0.003673281,0.00372036,0.00362682,0.004775032,0.004174358,0.004194717,0.004185739,0.00467155,0.004088923,0.004737134,0.004513926,0.004949007,0.004958086,0.005419338,0.005406947,0.005385225,0.005387603,0.005101922,0.005458612,0.005445492,0.004928568,0.005286722,0.00557991,0.006090312,0.006242071,0.006415575,0.006393031,0.00672767,0.007307066,0.006764976,0.006737764,0.006875296,0.006912807,0.007118847
Chad,Consumption,Quad Btu,0.004,0.004,0.004,0.004,0.002,0.002,0.003905135,0.003937044,0.002214188,0.002621105,0.004842245,0.004734707,0.004747679,0.002556368,0.002981593,0.002981593,0.002995241,0.002697752,0.002697752,0.002697752,0.003521715,0.003760337,0.003673428,0.003596571,0.003949931,0.003740063,0.003796554,0.003831318,0.003855882,0.004146309,0.004833991,0.004647304,0.004660037,0.00469945,0.00469945,0.004758952,0.004800312
Chile,Consumption,Quad Btu,0.426839404,0.421490866,0.376114172,0.372355767,0.3899804,0.388070072,0.394114217,0.408721159,0.449622458,0.503108853,0.567958145,0.567554049,0.630362251,0.670742038,0.720050393,0.788640856,0.844988431,0.934751286,0.925086907,0.970058546,0.983136383,1.018958533,1.069413765,1.105271428,1.184565012,1.244929328,1.268165692,1.259245014,1.280781539,1.253611868,1.259132937,1.336040905,1.321222794,1.372223201,1.346524394,1.395464628,1.479969112
China,Consumption,Quad Btu,19.82783161,19.61011101,20.36280914,21.55455442,23.22286584,24.30173806,24.96829593,26.33987641,28.14338354,28.20132014,31.05488713,28.57631298,29.93188847,32.27455385,34.70413035,37.43290322,39.20628389,37.2477997,38.30601832,40.17569186,42.93833611,45.47088092,48.86935742,56.97292046,66.43892555,74.57282036,82.43558574,88.79386846,92.9199923,100.4283721,109.3588297,120.8214434,129.4063003,135.0369326,136.8983406,137.183874,139.1977546
Colombia,Consumption,Quad Btu,0.682697047,0.697809558,0.744567592,0.747865633,0.825284652,0.847039452,0.885048403,0.838489463,0.896729749,0.950390518,0.935475356,0.961555475,0.955489151,1.056041082,1.104298675,1.118447865,1.191298777,1.208083132,1.217328697,1.167949752,1.197284882,1.192459642,1.200877891,1.200816212,1.252933238,1.242412836,1.305721305,1.298644938,1.3247671,1.325792573,1.357048425,1.518408362,1.557936209,1.622693467,1.700354489,1.700672997,1.767697578
Comoros,Consumption,Quad Btu,0.001246776,0.001242906,0.001242908,0.00124304,0.00126288,0.001074894,0.000709074,0.001517253,0.001519395,0.001517279,0.001798465,0.001735246,0.001738552,0.001734992,0.001735006,0.001733798,0.001738548,0.0017348,0.001118237,0.00111833,0.001971191,0.001540576,0.001540576,0.001975349,0.002358637,0.002184734,0.002878857,0.001578951,0.001610723,0.002000281,0.002760342,0.002271713,0.002462692,0.002660491,0.002767952,0.002565898,0.002694822
Republic of Congo,Consumption,Quad Btu,0.011889896,0.014387434,0.013164109,0.012069368,0.01232788,0.017483344,0.015327187,0.018603897,0.01545457,0.017353604,0.019425433,0.018031916,0.016980153,0.015335712,0.01412502,0.014457264,0.015225238,0.015566425,0.014557959,0.011563479,0.013387211,0.015953397,0.014471111,0.017444719,0.018520763,0.024964215,0.029260691,0.035941765,0.040531274,0.049431604,0.067958494,0.08056197,0.083052601,0.105105439,0.100220824,0.100258239,0.095632886
Democratic Republic of Congo,Consumption,Quad Btu,0.09132249,0.093054647,0.093811306,0.097322483,0.09556153,0.097892831,0.104019223,0.098613033,0.108637738,0.112839234,0.107507547,0.100215667,0.110270927,0.105539567,0.092471474,0.101189055,0.103425072,0.09267357,0.087038573,0.09511762,0.073216283,0.071280802,0.074386752,0.077338136,0.087681318,0.095418355,0.099940674,0.103375018,0.097348265,0.095470102,0.106039362,0.114233762,0.112165057,0.135658706,0.161885273,0.125491278,0.126007595
Cook Islands,Consumption,Quad Btu,0.000834,0.001674,0.001646,0.00166,0.00166,0.001656,0.001253045,0.001253045,0.001256478,0.001253045,0.001253045,0.000861758,0.001257512,0.001254076,0.001254077,0.001254076,0.001257512,0.001254066,0.001254065,0.001254068,0.001675189,0.001597344,0.000864367,0.000797737,0.001351245,0.001167016,0.001308673,0.001947843,0.00199906,0.001839989,0.001184751,0.001449813,0.001597972,0.001588866,0.001741629,0.00154748,0.001519244
Costa Rica,Consumption,Quad Btu,0.055794031,0.057634239,0.055327275,0.060853831,0.058596068,0.059517495,0.058308541,0.064340314,0.06959203,0.075975973,0.074260569,0.079719053,0.093969286,0.101551022,0.103399861,0.105097919,0.105892147,0.119272088,0.122089689,0.140477948,0.14486056,0.147741507,0.154333683,0.157335642,0.162027059,0.16882998,0.175866374,0.185164734,0.188353545,0.182995375,0.186143361,0.1863904,0.18898224,0.189929682,0.194044054,0.201204092,0.208549951
Cote dIvoire (IvoryCoast),Consumption,Quad Btu,0.073971864,0.081041883,0.076095882,0.074224859,0.06585236,0.077040768,0.07903509,0.086071396,0.089580284,0.089768145,0.07733877,0.065053991,0.063477227,0.071808453,0.073557723,0.080657589,0.094385978,0.095266559,0.096080777,0.124059508,0.12526549,0.124056069,0.121489635,0.108945168,0.117515152,0.130421805,0.111803622,0.119643245,0.130809715,0.127692235,0.129914387,0.12124294,0.14762554,0.163781871,0.172588614,0.178465718,0.193374929
Croatia,Consumption,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0.307894146,0.311136155,0.332410315,0.349032496,0.344256148,0.351997315,0.370878158,0.375628472,0.370053594,0.3832726,0.37462491,0.40828394,0.406296224,0.406747437,0.407849038,0.404214831,0.408034748,0.39693874,0.402157437,0.361868068,0.360546768,0.362776929,0.349568663,0.338580756,0.346333397
Cuba,Consumption,Quad Btu,0.456975909,0.464194076,0.502901205,0.460000574,0.475673217,0.485695518,0.498831262,0.491434818,0.498405889,0.505516338,0.498533726,0.463463052,0.4120693,0.403686187,0.409313729,0.415577823,0.427074722,0.470068678,0.447602407,0.388010666,0.375047225,0.344671411,0.350107699,0.354745578,0.359314155,0.352899718,0.34386525,0.347551169,0.398347954,0.400402572,0.456581113,0.410056083,0.446052485,0.427202501,0.434643289,0.444170434,0.379576934
Cyprus,Consumption,Quad Btu,0.042,0.036,0.039,0.043,0.044055518,0.046502083,0.0490835,0.052986325,0.053421203,0.065477876,0.070089445,0.071660478,0.080912619,0.080797675,0.092862545,0.090888731,0.090155493,0.092206578,0.099132454,0.105020475,0.110446659,0.1112072,0.110194399,0.118293749,0.10681027,0.11801121,0.123047051,0.12596802,0.130250971,0.125496172,0.120560838,0.120644106,0.113247307,0.101910497,0.102898889,0.106534726,0.114832321
Czech Republic,Consumption,Quad Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,1.713702037,1.645671714,1.686870873,1.765303186,1.737196422,1.659416246,1.556814112,1.669213704,1.704065771,1.705543531,1.812419197,1.853494948,1.834265099,1.843007684,1.832774494,1.816755597,1.73611039,1.79185922,1.774931222,1.767537407,1.708941431,1.685099135,1.676428246,1.657550802
Denmark,Consumption,Quad Btu,0.856632439,0.725449372,0.725709555,0.696187477,0.70669638,0.780914047,0.794936477,0.801142524,0.780042122,0.73671148,0.749322854,0.816606697,0.785575249,0.823267201,0.873045489,0.88181735,1.005682366,0.925893697,0.904882056,0.887924698,0.86610807,0.878110977,0.845517394,0.884453007,0.856724947,0.837298453,0.892458712,0.869181134,0.836759061,0.78535294,0.824691433,0.785382735,0.746841331,0.760820256,0.734230014,0.724687614,0.736335999
Djibouti,Consumption,Quad Btu,0.022,0.018,0.018,0.013,0.011,0.011,0.00971641,0.00992811,0.009725206,0.022855789,0.023964623,0.023964623,0.023776751,0.023923487,0.02457253,0.024686109,0.024819496,0.02457253,0.02457253,0.02457253,0.012115303,0.012025687,0.012095983,0.012995245,0.012311113,0.011989515,0.010741764,0.011361993,0.01250318,0.010857237,0.012728836,0.009679939,0.012643795,0.01271693,0.012938669,0.013194871,0.013560725
Dominica,Consumption,Quad Btu,0.000859492,0.00112453,0.001114086,0.0011778,0.00119104,0.001306258,0.001142201,0.001535738,0.001627786,0.001626226,0.001625746,0.00162629,0.001628074,0.001624258,0.002105821,0.001638064,0.001645287,0.0016476,0.001718659,0.001770622,0.002285533,0.001654493,0.001516902,0.001771885,0.002475876,0.002343445,0.002332563,0.002569669,0.002806125,0.002850243,0.003083386,0.003037226,0.002921839,0.002820226,0.003044202,0.002586272,0.002792129
Dominican Republic,Consumption,Quad Btu,0.08771065,0.086230001,0.091687278,0.108078776,0.09367116,0.10126598,0.109377628,0.120265006,0.132413145,0.128675827,0.139129729,0.13413193,0.144021592,0.135026793,0.146654559,0.158174383,0.171954701,0.18178769,0.187010917,0.213222919,0.294430994,0.285523738,0.301947723,0.276943351,0.25816054,0.283506049,0.283323867,0.289768769,0.289517738,0.284995638,0.299976722,0.29459063,0.328750826,0.315167912,0.303070089,0.332722099,0.35597442
Ecuador,Consumption,Quad Btu,0.185965023,0.192418821,0.210504064,0.196810271,0.20842172,0.220691167,0.23704573,0.233835524,0.241565408,0.236785364,0.253261074,0.26642699,0.295640396,0.287074768,0.312066944,0.306103728,0.332164392,0.342094587,0.350482527,0.33616526,0.369256736,0.392540947,0.399814354,0.41371275,0.45042652,0.478083775,0.505255065,0.534466502,0.55850893,0.575398706,0.591271051,0.617361389,0.647103922,0.68125264,0.711173483,0.70406344,0.688940218
Egypt,Consumption,Quad Btu,0.706316583,0.819696948,0.916198145,1.049484737,1.149291437,1.212749621,1.240338085,1.29044741,1.303849927,1.344066669,1.421326683,1.423199227,1.426735854,1.513500124,1.592581541,1.630105117,1.769429405,1.828479343,1.894501805,1.936594908,1.994414767,2.225114358,2.224214728,2.421016891,2.6178935,2.733829708,2.900188017,3.077890097,3.192683381,3.344304033,3.47941815,3.603077143,3.764943626,3.725729238,3.711912268,3.73840231,3.81530152
