"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,xfield
Cosmos 2519 (Napryazhenie No. 1?),NR (10/17),Russia,Ministry of Defense,Military,Space Observation,,LEO,Sun-Synchronous,0,653,668,0.00106678,98,97.9,,,,2017-06-23T00:00,,NPO Lavochkin,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2017-037A,42798,Designed to make extremely accurate measurements of Earth’s shape and gravitational field. Two months after launch released a small inspector satellite. Made clear it would only inspect its host satellite.,174
Cosmos 2519 Subsatellite,NR (10/17),Russia,Ministry of Defense,Military,Space Observation,,LEO,Sun-Synchronous,0,650,676,0.001848429,97.9,97.2,,,,2017-06-23T00:00,,NPO Lavochkin,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,2017-037D,42919,Sputnik inspector. ,174
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Civil,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,"1,700",,"3,600",2007-06-08T00:00,5 yrs.,Thales Alenia Space,France/Italy,Vandenberg AFB,Delta 7000,2007-023A,31598,"To be part of 4-satellite constellation; radar imager, collect data on floods, droughts, earthquakes and landslides; military applications.",159
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,"1,700",,,2007-12-09T00:00,5 yrs.,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,2007-059A,32376,Earth imaging; synthetic aperture radar (SAR) operating in X-band.,343
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,"1,700",,,2008-10-25T00:00,5 yrs.,Thales Alenia Space,Italy,Vandenberg AFB,Delta 7420,2008-054A,33412,"Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security.",299
COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,622,623,7.15E-05,97.9,97.2,"1,700",,,2010-11-06T00:00,5 yrs.,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,2010-060A,37216,"Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security.",310
CP-10 (Exocube),NR,USA,California Polytechnic State University/NASA JPL,Civil,Earth Observation,Earth Science,LEO,Elliptical,0,441,657,0.015609192,99.1,95.6,4,,,2015-01-31T00:00,,California Polytechnic University/NASA JPL,USA,Vandenberg AFB,Delta 2,2015-003E,40380,Measuring the Elemental Composition of the Exosphere,31
Cryosat-2 ,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,Radar Imaging,LEO,Polar,0,713,724,7.76E-04,92,99.2,720,,,2010-04-08T00:00,3 yrs.,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,2010-013A,36508,"Remote sensing, part of ESA's ice mission. Will measure polar ice for three years. Spacecraft has no solar panels.",98
CSUNSAT-1 (California State University at Northridge Satellite),NR (10/17),USA,California State University at Northridge/NASA JPL,Civil,Technology Development,,LEO,Non-Polar Inclined,0,402,404,1.48E-04,51.6,92.4,4,,,2017-05-18T00:00,,California State University at Northridge/NASA JPL,USA,International Space Station,Nanorack Deployer,1998-067LW,42815,"Space test a low temperature capable, battery/ultra-capacitor power system.",138
"Cubebug 2 (Manolito, LO-74)",NR,Argentina,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Civil,Technology Development,,LEO,Sun-Synchronous,0,594,715,0.008612713,97.8,97.8,2,,,2013-11-21T00:00,,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Dombarovsky Air Base,Dnepr,2013-066AA,39440,Amateur radio satellite.,325
"Cubesat XI-IV (Oscar 57, CO-57)",Japan,Japan,"Department of Astronautics, University of Tokyo",Civil,Technology Development,,LEO,Sun-Synchronous,0,815,830,0.001042753,98.7,101.3,,1,,2003-06-30T00:00,,"Department of Astronautics, University of Tokyo",Japan,Plesetsk Cosmodrome,Dnepr,2003-031J,27848,On-orbit verification of the super small satellite (nano-satellite) bus system using commercial-off-the-shell components.,181
CUSat-1 (Cornell University Satellite 1),NR,USA,"Space Systems Design Studio, Cornell University",Civil,Technology Development,,LEO,Polar,0,326,1465,0.078384144,80.99,102.89,,,2.2,2013-09-29T00:00,.5 yrs.,"Space Systems Design Studio, Cornell University",USA,Vandenberg AFB,Falcon 9,2013-055B,39266,"A multi-year effort to design, build, and launch an autonomous in-orbit inspection satellite system.",272
CXBN-2 (Cosmic X-Ray Background Nanosatellite-2),NR (10/17),USA,Morehead State University,Civil,Space Science,,LEO,Non-Polar Inclined,0,400,406,4.43E-04,51.6,92.6,2,,,2017-04-18T00:00,.5 yrs.,Morehead State University,USA,International Space Station,Nanorack Deployer,1998-067LM,42704,Make observations of the diffuse X-ray background,108
CYGNSS FM01 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,537,0.001595128,34.96,95.16,29,,,2016-12-15T00:00,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078D,41887,,350
CYGNSS FM02 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,514,536,0.001595359,34.97,95.13,29,,,2016-12-15T00:00,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078C,41886,,350
CYGNSS FM03 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,514,533,0.00137811,34.96,95.1,29,,,2016-12-15T00:00,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078H,41891,,350
CYGNSS FM04 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,534,0.00137791,34.95,95.13,29,,,2016-12-15T00:00,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078B,41885,,350
CYGNSS FM05 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,537,0.001595128,34.96,95.15,29,,,2016-12-15T00:00,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078A,41884,"8-satellite constellation to return measurements of winds at the cores of hurricanes to better understand the formation, growth and dissipation of tropical cyclones.",350
CYGNSS FM06 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,534,0.00137791,34.96,95.12,29,,,2016-12-15T00:00,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078F,41889,,350
CYGNSS FM07 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,514,534,0.001450537,34.96,95.12,29,,,2016-12-15T00:00,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078G,41890,,350
CYGNSS FM08 (Cyclone Global Navigation Satellite System),NR (1/17),USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,Radar Imaging/Earth Science,LEO,Non-Polar Inclined,0,515,537,0.001595128,34.95,95.15,29,,,2016-12-15T00:00,,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,2016-078E,41888,,350
"Daichi-2 (Advanced Land Observing Satellite-2, ALOS 2 2)",NR,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,630,635,3.57E-04,97.88,97.36,"2,120",,"5,200",2014-05-24T00:00,7 yrs.,Mitsubishi Electric,Japan,Tanegashima Space Center,H-2A,2014-029A,39766,Follow-on to ALOS-1 mission.,144
DAMPE (Dark Matter Particle Explorer),NR,China,Chinese Academy of Science,Government,Space Science,,LEO,Sun-Synchronous,0,488,505,0.001237894,97.3,94.54,"1,850",,,2015-12-17T00:00,3 yrs.,Chinese Academy of Science,China,Jiuquan Satellite Launch Center,Long March 2D,2015-078A,41173,First dedicated astrophysics observatory put into space by China.,351
"DCBB (Kaituo-1B, CAS-3G)",NR,China,China Amateur Satellite - CAMSAT,Civil,Technology Development,,LEO,Sun-Synchronous,0,514,536,0.001595359,97.46,95.13,3,,,2015-09-19T00:00,,Shenzhen Aerospace Dongfanghong HIT Satellite Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049P,40912,,262
Deimos 1,Spain,Spain,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,661,662,7.11E-05,98,98,90,,,2009-07-29T00:00,5 yrs.,Surrey Satellite Technologies Ltd.,United Kingdom,Baikonur Cosmodrome,Dnepr,2009-041A,35681,Part of international Disaster Monitoring Constellation.,210
Deimos 2 ,NR,Spain,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,597,619,0.001576383,97.99,96.85,310,,450,2014-06-19T00:00,10 yrs.,Satrec Initiative,South Korea,Dombarovsky Air Base,Dnepr,2014-033D,40013,Part of international Disaster Monitoring Constellation.,170
Delfi-C3 (DO-64),NR,Netherlands,"Technical University, Delft",Civil,Technology Development,,LEO,Sun-Synchronous,0,598,616,0.001289953,97.8,96.8,7,,,2008-04-28T00:00,,Technical University of Delft,Netherlands,Satish Dhawan Space Centre,PSLV C9,2008-021G,32789,Flight test thin film solar cells and an advanced transceiver.,119
DHFR (DARPA High Frequency Receiver),NR (10/17),USA,DARPA (Defense Advanced Research Projects Agency),Military,Technology Development,,LEO,Equatorial,0,309,605,0.021678629,24.5,93.7,8,,,2017-08-26T00:00,,DARPA/University of Utah,USA,Cape Canaveral,Minotaur 4,2017-050D,42924,Hosts a high frequency receiver.,238
Diamond Blue (3 Diamonds 1),NR (10/17),United Kingdom,"Sky and Space Global, UK",Commercial,Technology Development,,LEO,Sun-Synchronous,0,496,511,0.001091147,97.45,96.4,6,,,2017-06-23T00:00,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2017-036X,42786,Pathfinders for Sky and Space Global's 200 Satellite LEO constellation.,174
Diamond Green (3 Diamonds 2),NR (10/17),United Kingdom,"Sky and Space Global, UK",Commercial,Technology Development,,LEO,Sun-Synchronous,0,496,511,0.001091147,97.45,96.4,6,,,2017-06-23T00:00,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2017-036W,42785,Pathfinders for Sky and Space Global's 200 Satellite LEO constellation.,174
Diamond Red (3 Diamonds 3),NR (10/17),United Kingdom,"Sky and Space Global, UK",Commercial,Technology Development,,LEO,Sun-Synchronous,0,496,511,0.001091147,97.45,96.4,6,,,2017-06-23T00:00,,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2017-036U,42783,Pathfinders for Sky and Space Global's 200 Satellite LEO constellation.,174
Dido-2,NR (9/17),Switzerland,SpacePharma,Commercial,Technology Development,,LEO,Sun-Synchronous,0,496,508,8.73E-04,97.5,94.6,10,,,2017-02-15T00:00,,Innovative Solutions in Space BV,Netherlands,Satish Dhawan Space Centre,PSLV XL,2017-008BE,42000,"To test a miniaturized end-to-end pharmaceutical laboratory in space, allowing microgravity conditions.",46
DirecTV-10,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-102.74,35785,35788,3.56E-05,0.04,1436.1,"5,900","3,700","18,000",2007-07-07T00:00,15 yrs.,Boeing Space and Intelligence Systems,USA,Baikonur Cosmodrome,Proton M,2007-032A,31862,32 broad-beam Ka band; 55 spot-beam Ka-band transponders; will provide HDTV to CONUS.,188
DirecTV-11,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-99.21,35786,35786,0,0.03,1436.1,"5,900",,,2008-03-19T00:00,,Boeing Satellite Development Center,USA,Sea Launch Odyssey,Zenit 3SL,2008-013A,32729,High definition channels for North America.,79
DirecTV-12,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-102.8,35785,35786,1.19E-05,0.09,1436.04,"5,900",,"8,700 (BOL)",2009-12-29T00:00,15 yrs.,Boeing Space Systems,USA,Baikonur Cosmodrome,Breeze M,2009-075A,36131,High-definition for North America.,363
DirecTV-14,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-99,35930,35933,3.55E-05,0.02,1443.51,"5,900",,"20,000",2014-12-06T00:00,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-078B,40333,20-kilowatt Ka- and reverse-band digital broadcast satellite (DBS) that will ultimately bring 4K UHD content to DirecTV’s US customers.,340
DirecTV-15,NR,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-103,35685,35809,0.00147209,0.1,1434.07,"5,500","2,364",,2015-05-27T00:00,15 yrs.,Airbus Defense and Space,Germany/France,Guiana Space Center,Ariane 5 ECA,2015-026A,40663,"Expand national capacity for both HD and 4K Ultra HD channels, as well as provide critical backup for existing CONUS transponders. ",147
DirecTV-1R ,USA,Russia,Russian Satellite Communications Co.,Commercial,Communications,,GEO,,55.9,35778,35795,2.02E-04,0.03,1436.1,"3,420","2,304","8,700 (BOL)",1999-10-10T00:00,15 yrs.,Hughes Electronics Corp.,USA,Sea Launch Odyssey,Zenit 3SL,1999-056A,25937,"First commercial launch by Sea Launch consortium (American, Russian, Ukrainian companies). Sold to RSCC in 2012 to shore up Bonum-1.",283
DirecTV-4S ,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-101.15,35780,35792,1.42E-04,0.05,1436.09,"4,300","2,100","8,100 (EOL)",2001-11-27T00:00,15 yrs.,Hughes Electronics Corp.,USA,Guiana Space Center,Ariane 44LP,2001-052A,26985,Direct broadcasting; 48 Ku-band; 300 local TV channels to 41 metropolitan communities through 11 C-band transponders.,331
DirecTV-5 (Tempo 1),USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-110.05,35773,35799,3.08E-04,0.07,1436.08,"4,300","3,640",,2002-05-07T00:00,15 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,2002-023A,27426,Digital television to North American subscribers; 32 Ku-band; direct broadcasting.,127
DirecTV-7S ,USA,USA,"DirecTV, Inc. ",Commercial,Communications,,GEO,,-119.04,35774,35797,2.73E-04,0.01,1436.1,"5,483","3,500","13,000",2004-05-04T00:00,15 yrs.,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,2004-016A,28238,Direct-to-home TV; 54 transponders.,125
DirecTV-8,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-100.81,35777,35796,2.25E-04,0.02,1436.1,"3,800",,"8,200",2005-05-22T00:00,12 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M/Breeze M,2005-019A,28659,36 Ku- and Ka-band transponders.,142
DirecTV-9S,USA,USA,"DirecTV, Inc.",Commercial,Communications,,GEO,,-101.08,35774,35798,2.85E-04,0.03,1436.1,"5,500","2,364","13,900",2006-10-13T00:00,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2006-043A,29494,"52 Ku-band and 2 Ka-band transponders; direct-to-home, voice, video and internet.",286
DLR Tubsat ,NR,Germany,Deutsches Zentrum für Luft- und Raumfahrt,Government,Earth Science,,LEO,Sun-Synchronous,0,712,732,0.001410039,98.6,99.2,45,,120,1999-05-26T00:00,1 yr.,"Institute of Aeronautics and Astronautics, Technical University of Berlin",Germany,Satish Dhawan Space Centre,PSLV C2,1999-029B,25757,Transmits image of its own view; not currently used for scientific mission but operational.,146
DMC 3-1 (Disaster Monitoring Constellation),United Kingdom,United Kingdom,Surrey Satellite Technologies Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,636,663,0.001923214,98,97.71,447,,,2015-07-10T00:00,10 yrs.,Surrey Satellite Technologies Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032A,40715,"Being used commercially, but can provide data for disaster monitoring.",191
DMC 3-2 (Disaster Monitoring Constellation),United Kingdom,United Kingdom,Surrey Satellite Technologies Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,636,663,0.001923214,98,97.71,447,,,2015-07-10T00:00,10 yrs.,Surrey Satellite Technologies Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032B,40716,Second generation.,191
DMC 3-3 (Disaster Monitoring Constellation),United Kingdom,United Kingdom,Surrey Satellite Technologies Ltd.,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,636,661,0.001781007,98,97.69,447,,,2015-07-10T00:00,10 yrs.,Surrey Satellite Technologies Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032C,40717,Second generation.,191
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",USA,USA,DoD/NOAA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,842,855,9.00E-04,98.9,101.9,"1,134",823,900,1997-04-04T00:00,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,1997-012A,24753,Near-polar orbits; investigate Earth's environment.,94
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",USA,USA,DoD/NOAA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,837,851,9.70E-04,98.9,101.8,"1,152",823,900,1999-12-12T00:00,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,1999-067A,25991,Near-polar orbits; investigate Earth's environment. Problem with SSM/1 sensor to track sea ice.,346
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",USA,USA,DoD/NOAA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,843,852,6.23E-04,98.9,101.87,"1,154",825,900,2003-10-18T00:00,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Titan 2,2003-048A,28054,Near-polar orbits; investigate Earth's environment.,291
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)",USA,USA,DoD/NOAA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,842,855,9.00E-04,98.79,101.89,"1,154",825,900,2006-11-04T00:00,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 4,2006-050A,29522,Near-polar orbits; investigate Earth's environment.,308
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",USA,USA,DoD/NOAA,Military,Earth Observation,Earth Science/Meterology,LEO,Sun-Synchronous,0,842,859,0.001177204,98.93,101.94,"1,155",825,900,2009-10-18T00:00,5 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Atlas 5,2009-057A,35951,Near-polar orbits; investigate Earth's environment.,291
Dove 1c-1  (0 Flock 1C-1 0903),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,605,621,0.001145639,97.99,96.96,4,,,2014-06-19T00:00,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033T,40027,,170
Dove 1c-10  (0 Flock 1C-10 090C),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,604,621,0.001217329,97.99,96.95,4,,,2014-06-19T00:00,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033P,40023,,170
Dove 1c-11 (0 Flock 1C-11 090D),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,606,622,0.001145475,97.99,96.98,4,,,2014-06-19T00:00,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033Z,40033,,170
Dove 1c-2  (0 Flock 1C-2 0904),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,605,623,0.00128866,97.99,96.98,4,,,2014-06-19T00:00,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033V,40029,,170
Dove 1c-3  (0 Flock 1C-3 0905),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,608,624,0.001145147,97.99,97.02,4,,,2014-06-19T00:00,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AH,40041,,170
Dove 1c-4  (0 Flock 1C-4 0906),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,622,0.001073806,97.99,96.98,4,,,2014-06-19T00:00,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033X,40031,,170
Dove 1c-5  (0 Flock 1C-5 0907),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,606,625,0.00135996,97.99,97.01,4,,,2014-06-19T00:00,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AE,40038,,170
Dove 1c-6  (0 Flock 1C-6 0908),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,622,0.001073806,97.99,96.99,4,,,2014-06-19T00:00,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AC,40036,,170
Dove 1c-7  (0 Flock 1C-7 0909),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,606,620,0.001002434,97.99,96.96,4,,,2014-06-19T00:00,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033S,40026,,170
Dove 1c-8  (0 Flock 1C-8 090A),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,625,0.001288291,97.99,97.02,4,,,2014-06-19T00:00,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AG,40040,,170
Dove 1c-9  (0 Flock 1C-9 090B),USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,607,623,0.001145311,97.99,96.99,4,,,2014-06-19T00:00,,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,2014-033AB,40035,,170
Dove 2e-1 (0 Flock 2E-1 0C37),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,404,407,2.21E-04,51.6,92.6,4,,,2016-05-17T00:00,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JD,41483,,138
Dove 2e-10 (0 Flock 2E-10 0C82),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,402,2.95E-04,51.6,92.5,4,,,2016-06-01T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JW,41572,,153
Dove 2e-11 (0 Flock 2E-11 0C13),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,403,4.43E-04,51.6,92.5,4,,,2016-06-01T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JY,41574,,153
Dove 2e-12 (0 Flock 2E-12 0C79),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,395,406,8.12E-04,51.6,92.5,4,,,2016-06-01T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JX,41573,,153
Dove 2e-2 (0 Flock 2E-2 0C78),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,403,406,2.21E-04,51.6,92.6,4,,,2016-05-17T00:00,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JE,41484,,138
Dove 2e-3 (0 Flock 2E-3 0C60),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,404,408,2.95E-04,51.6,92.5,4,,,2016-05-17T00:00,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JG,41486,,138
Dove 2e-4 (0 Flock 2E-4 0C41),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,402,407,3.69E-04,51.6,92.5,4,,,2016-05-17T00:00,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067JH,41487,,138
Dove 2e-5 (0 Flock 2E-5 0C43),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,403,2.95E-04,51.6,92.5,4,,,2016-05-30T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JN,41564,,151
Dove 2e-6 (0 Flock 2E-6 0C75),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,400,402,1.48E-04,51.6,92.5,4,,,2016-05-30T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JM,41563,,151
Dove 2e-7 (0 Flock 2E-7 0C24),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,2016-05-31T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JP,41565,,152
Dove 2e-8 (0 Flock 2E-8 0C2B),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,397,404,5.17E-04,51.6,92.5,4,,,2016-05-31T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JQ,41566,,152
Dove 2e-9 (0 Flock 2E-9 0C14),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,2016-06-01T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067JV,41571,,153
Dove 2ep-1 (0 Flock 2EP-1 0D05),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,399,402,2.22E-04,51.6,92.5,4,,,2016-05-17T00:00,,"Planet Labs, Inc.",USA,International Space Station,Nanorack Deployer,1998-067HZ,41479,,138
Dove 2ep-10 (0 Flock 2EP-10 0C65),NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,403,3.69E-04,51.6,92.5,4,,,2016-06-03T00:00,,Planet,USA,International Space Station,Nanorack Deployer,1998-067KA,41576,,155
