"Month","Count","Date"
"August",271,"8-24-2020"
"August",296,"8-25-2020"
"August",199,"8-26-2020"
"August",254,"8-27-2020"
"August",244,"8-28-2020"
"August",224,"8-29-2020"
"August",234,"8-30-2020"
"August",226,"8-31-2020"
"September",419,"9-1-2020"
"September",277,"9-2-2020"
"September",249,"9-3-2020"
"September",229,"9-4-2020"
"September",237,"9-5-2020"
"September",213,"9-6-2020"
"September",226,"9-7-2020"
"September",243,"9-8-2020"
"September",223,"9-9-2020"
"September",252,"9-10-2020"
"September",243,"9-11-2020"
"September",273,"9-12-2020"
"September",261,"9-13-2020"
"September",289,"9-14-2020"
"September",393,"9-15-2020"
"September",229,"9-16-2020"
"September",246,"9-17-2020"
"September",275,"9-18-2020"
"September",332,"9-19-2020"
"September",302,"9-20-2020"
"September",278,"9-21-2020"
"September",264,"9-22-2020"
"September",255,"9-23-2020"
"September",247,"9-24-2020"
"September",270,"9-25-2020"
"September",271,"9-26-2020"
"September",343,"9-27-2020"
"September",291,"9-28-2020"
"September",235,"9-29-2020"
"September",218,"9-30-2020"
"October",424,"10-1-2020"
"October",210,"10-2-2020"
"October",226,"10-3-2020"
"October",220,"10-4-2020"
"October",271,"10-5-2020"
"October",232,"10-6-2020"
"October",227,"10-7-2020"
"October",300,"10-8-2020"
"October",287,"10-9-2020"
"October",304,"10-10-2020"
"October",218,"10-11-2020"
"October",262,"10-12-2020"
"October",247,"10-13-2020"
"October",222,"10-14-2020"
"October",411,"10-15-2020"
"October",229,"10-16-2020"
"October",262,"10-17-2020"
"October",252,"10-18-2020"
"October",263,"10-19-2020"
"October",292,"10-20-2020"
"October",248,"10-21-2020"
"October",260,"10-22-2020"
"October",281,"10-23-2020"
"October",282,"10-24-2020"
"October",253,"10-25-2020"
"October",206,"10-26-2020"
"October",201,"10-27-2020"
"October",217,"10-28-2020"
"October",214,"10-29-2020"
"October",219,"10-30-2020"
"October",274,"10-31-2020"
"November",337,"11-1-2020"
"November",227,"11-2-2020"
"November",251,"11-3-2020"
"November",216,"11-4-2020"
"November",235,"11-5-2020"
"November",208,"11-6-2020"
"November",476,"11-7-2020"
"November",257,"11-8-2020"
"November",218,"11-9-2020"
"November",275,"11-10-2020"
"November",278,"11-11-2020"
"November",235,"11-12-2020"
"November",205,"11-13-2020"
"November",227,"11-14-2020"
"November",314,"11-15-2020"
"November",245,"11-16-2020"
"November",244,"11-17-2020"
"November",206,"11-18-2020"
"November",227,"11-19-2020"
"November",222,"11-20-2020"
"November",209,"11-21-2020"
"November",269,"11-22-2020"
"November",216,"11-23-2020"
"November",248,"11-24-2020"
"November",207,"11-25-2020"
"November",185,"11-26-2020"
"November",166,"11-27-2020"
"November",265,"11-28-2020"
"November",164,"11-29-2020"
"November",181,"11-30-2020"
"December",219,"12-1-2020"
"December",142,"12-2-2020"
"December",191,"12-3-2020"
"December",182,"12-4-2020"
"December",168,"12-5-2020"
"December",167,"12-6-2020"
"December",199,"12-7-2020"
"December",147,"12-8-2020"
"December",193,"12-9-2020"
"December",240,"12-10-2020"
"December",173,"12-11-2020"
"December",247,"12-12-2020"
"December",217,"12-13-2020"
"December",199,"12-14-2020"
"December",236,"12-15-2020"
"December",165,"12-16-2020"
"December",152,"12-17-2020"
"December",152,"12-18-2020"
"December",151,"12-19-2020"
"December",173,"12-20-2020"
"December",177,"12-21-2020"
"December",268,"12-22-2020"
"December",178,"12-23-2020"
"December",285,"12-24-2020"
"December",235,"12-25-2020"
"December",135,"12-26-2020"
"December",146,"12-27-2020"
"December",167,"12-28-2020"
"December",176,"12-29-2020"
"December",141,"12-30-2020"
"December",463,"12-31-2020"
