Agency,Agency w/ USSR,Category,Launch Year,Tag,Years
US,US,O,1964,1964-074,
US,US,O,1968,1968-031,
RU,RU,O,1995,1995-020,
,Soviet Union,O,1984,1984-070,
LMA,LMA,O,1999,1999-063,
CN,CN,O,2010,2010-050,2010s
,Soviet Union,O,1978,1978-033,
US,US,F,1965,1965-F04,
CN,CN,O,2017,2017-001,
,Soviet Union,O,1988,1988-114,
US,US,O,1964,1964-054,
ILSK,ILSK,O,2012,2012-026,
AE,AE,O,2014,2014-016,
I-ESA,I-ESA,O,2012,2012-006,
,Soviet Union,O,1972,1972-062,
,Soviet Union,O,1988,1988-108,
,Soviet Union,O,1981,1981-010,
,Soviet Union,O,1990,1990-113,1990s
US,US,O,1970,1970-046,1970s
,Soviet Union,O,1982,1982-037,
US,US,F,1958,1958-F01,
RU,RU,O,2016,2016-020,
US,US,O,1984,1984-009,
,Soviet Union,O,1976,1976-098,
BLS,BLS,O,2000,2000-017,2000s
US,US,O,1986,1986-088,
US,US,O,1963,1963-025,
US,US,O,1991,1991-027,
LMA,LMA,O,1997,1997-059,
US,US,O,1965,1965-013,
US,US,O,1970,1970-093,1970s
,Soviet Union,O,1975,1975-024,
US,US,O,1961,1961 LAM,
,Soviet Union,O,1990,1990-109,1990s
,Soviet Union,O,1989,1989-098,
STSM,STSM,O,2000,2000-041,2000s
US,US,O,1965,1965-108,
US,US,O,1966,1966-005,
RU,RU,O,2001,2001-051,
,Soviet Union,O,1975,1975-125,
,Soviet Union,F,1966,1966-F02,
,Soviet Union,O,1984,1984-094,
US,US,O,1979,1979-038,
RU,RU,O,1994,1994-086,
,Soviet Union,O,1973,1973-005,
IN,IN,O,2015,2015-077,
AE,AE,O,1985,1985-035,
US,US,O,2000,2000-004,2000s
,Soviet Union,O,1971,1971-059,
US,US,O,1977,1977-041,
US,US,O,1965,1965-027,
US,US,O,1992,1992-086,
,Soviet Union,O,1988,1988-042,
US,US,F,1963,1963-F14,
ULAB,ULAB,O,2007,2007-054,
AE,AE,O,1992,1992-052,
,Soviet Union,O,1979,1979-018,
CN,CN,O,1999,1999-057,
RU,RU,O,1993,1993-053,
US,US,O,1966,1966-087,
,Soviet Union,O,1982,1982-042,
CN,CN,O,2000,2000-082,2000s
,Soviet Union,O,1967,1967-004,
,Soviet Union,O,1975,1975-122,
,Soviet Union,O,1970,1970-082,1970s
ULAB,ULAB,O,2013,2013-041,
US,US,F,1960,1960-F16,1960s
US,US,O,2004,2004-004,
,Soviet Union,O,1983,1983-109,
CN,CN,O,1984,1984-098,
US,US,O,1967,1967-034,
,Soviet Union,O,1971,1971-020,
US,US,O,1969,1969-025,
,Soviet Union,O,1974,1974-062,
US,US,O,1964,1964-008,
,Soviet Union,O,1973,1973-106,
US,US,O,1977,1977-075,
,Soviet Union,O,1968,1968-030,
US,US,F,1963,1963-F06,
RU,RU,O,1993,1993-064,
,Soviet Union,O,1970,1970-076,1970s
,Soviet Union,O,1970,1970-112,1970s
,Soviet Union,O,1974,1974-021,
ILSK,ILSK,O,2000,2000-067,2000s
CN,CN,O,1970,1970-034,1970s
CN,CN,O,2012,2012-002,
CN,CN,O,1997,1997-062,
,Soviet Union,F,1985,1985-F01,
RU,RU,O,2006,2006-026,
,Soviet Union,O,1971,1971-106,
,Soviet Union,O,1977,1977-068,
US,US,O,1976,1976-101,
AE,AE,O,2016,2016-060,
AE,AE,O,2001,2001-052,
,Soviet Union,O,1972,1972-036,
,Soviet Union,O,1977,1977-101,
IN,IN,O,2007,2007-037,
RU,RU,O,2005,2005-043,
BLS,BLS,O,2004,2004-047,
CN,CN,O,1994,1994-043,
,Soviet Union,O,1976,1976-031,
,Soviet Union,O,1974,1974-011,
US,US,O,1978,1978-044,
,Soviet Union,O,1985,1985-031,
RU,RU,O,1992,1992-005,
,Soviet Union,O,1991,1991-029,
,Soviet Union,O,1970,1970-043,1970s
,Soviet Union,O,1983,1983-076,
,Soviet Union,O,1980,1980-050,1980s
US,US,O,1966,1966-008,
,Soviet Union,O,1969,1969-008,
US,US,O,1967,1967-041,
ULAB,ULAB,O,2013,2013-024,
,Soviet Union,O,1981,1981-009,
,Soviet Union,O,1962,1962 A PHI,
,Soviet Union,O,1976,1976-001,
,Soviet Union,O,1979,1979-077,
SPX,SPX,O,2017,2017-014,
,Soviet Union,O,1977,1977-092,
US,US,O,1970,1970-098,1970s
US,US,O,1967,1967-073,
,Soviet Union,O,1988,1988-062,
US,US,O,1983,1983-032,
US,US,O,1968,1968-002,
CN,CN,O,2014,2014-051,
ILSK,ILSK,O,2004,2004-031,
US,US,O,1965,1965-051,
,Soviet Union,O,1989,1989-056,
IN,IN,O,2017,2017-051,
RU,RU,O,2009,2009-067,
US,US,O,1994,1994-009,
,Soviet Union,O,1972,1972-044,
US,US,O,1974,1974-089,
RU,RU,O,2002,2002-029,
,Soviet Union,O,1974,1974-018,
,Soviet Union,O,1991,1991-039,
OSC,OSC,O,1997,1997-018,
,Soviet Union,O,1975,1975-058,
,Soviet Union,O,1976,1976-106,
RU,RU,F,2002,2002-F02,
US,US,O,1982,1982-041,
US,US,O,1967,1967-051,
,Soviet Union,O,1984,1984-030,
RU,RU,O,1994,1994-042,
,Soviet Union,O,1987,1987-011,
,Soviet Union,O,1966,1966-038,
,Soviet Union,O,1977,1977-033,
,Soviet Union,O,1987,1987-063,
,Soviet Union,O,1971,1971-028,
ULAB,ULAB,O,2008,2008-029,
AE,AE,O,2012,2012-075,
,Soviet Union,O,1983,1983-024,
SPX,SPX,O,2015,2015-010,
STSM,STSM,O,2005,2005-045,
RU,RU,O,1993,1993-062,
US,US,F,1962,1962-F07,
,Soviet Union,O,1973,1973-034,
,Soviet Union,O,1967,1967-018,
RU,RU,O,1994,1994-018,
,Soviet Union,O,1985,1985-083,
US,US,O,1968,1968-084,
RU,RU,O,1999,1999-038,
GDCLS,GDCLS,O,1992,1992-006,
CN,CN,O,2018,2018-041,2018
,Soviet Union,O,1972,1972-098,
US,US,O,1984,1984-034,
,Soviet Union,O,1971,1971-048,
LMA,LMA,O,1995,1995-069,
,Soviet Union,O,1989,1989-052,
US,US,O,1974,1974-022,
ILSL,ILSL,O,2005,2005-004,
CN,CN,O,2015,2015-057,
US,US,F,1966,1966-F07,
US,US,O,2000,2000-008,2000s
IN,IN,O,2018,2018-071,2018
,Soviet Union,O,1974,1974-056,
ULAB,ULAB,O,2017,2017-073,
,Soviet Union,O,1987,1987-051,
RU,RU,O,2017,2017-065,
MHI,MHI,O,2017,2017-015,
,Soviet Union,O,1990,1990-086,1990s
MHI,MHI,O,2014,2014-076,
AE,AE,F,1986,1986-F05,
US,US,O,1978,1978-112,
OSC,OSC,O,1998,1998-071,
US,US,O,1961,1961 A ZET,
IN,IN,O,2011,2011-034,
US,US,O,1975,1975-040,
US,US,F,1966,1966-F01,
ULAB,ULAB,O,2014,2014-035,
US,US,O,1971,1971-109,
,Soviet Union,O,1979,1979-033,
MDSSC,MDSSC,O,1989,1989-097,
CN,CN,O,2014,2014-063,
AE,AE,O,1996,1996-044,
ILSK,ILSK,O,2002,2002-062,
,Soviet Union,O,1979,1979-005,
CN,CN,O,1976,1976-087,
LMA,LMA,O,1996,1996-067,
SPX,SPX,O,2009,2009-037,
,Soviet Union,O,1981,1981-013,
,Soviet Union,O,1984,1984-063,
,Soviet Union,O,1976,1976-126,
,Soviet Union,O,1982,1982-107,
US,US,F,1975,1975-F06,
,Soviet Union,O,1966,1966-093,
,Soviet Union,O,1971,1971-072,
,Soviet Union,O,1983,1983-039,
,Soviet Union,O,1976,1976-048,
,Soviet Union,O,1987,1987-026,
,Soviet Union,O,1980,1980-037,1980s
RU,RU,O,1995,1995-008,
STSM,STSM,O,1999,1999-062,
,Soviet Union,O,1985,1985-039,
,Soviet Union,O,1973,1973-069,
RU,RU,O,1992,1992-071,
ULAL,ULAL,O,2015,2015-072,
AE,AE,O,2017,2017-023,
J,J,O,1979,1979-014,
,Soviet Union,O,1984,1984-071,
SPX,SPX,O,2010,2010-066,2010s
,Soviet Union,O,1982,1982-023,
,Soviet Union,O,1979,1979-090,
ULAB,ULAB,O,2009,2009-043,
,Soviet Union,O,1964,1964-055,
CN,CN,O,2004,2004-012,
AE,AE,O,1991,1991-003,
US,US,O,1978,1978-058,
US,US,O,1977,1977-112,
,Soviet Union,F,1970,1970-F05,1970s
US,US,O,1969,1969-105,
,Soviet Union,O,1991,1991-034,
LMA,LMA,O,1997,1997-065,
,Soviet Union,O,1983,1983-021,
,Soviet Union,O,1984,1984-116,
US,US,O,1964,1964-079,
CN,CN,O,2018,2018-078,2018
RU,RU,O,1992,1992-093,
SPX,SPX,O,2016,2016-002,
,Soviet Union,O,1987,1987-081,
,Soviet Union,O,1984,1984-107,
RU,RU,O,2013,2013-030,
,Soviet Union,O,1972,1972-072,
,Soviet Union,O,1972,1972-027,
IN,IN,O,1983,1983-033,
ULAL,ULAL,O,2015,2015-002,
,Soviet Union,O,1965,1965-061,
KP,KP,O,2016,2016-009,
,Soviet Union,O,1989,1989-011,
US,US,O,1966,1966-053,
,Soviet Union,O,1969,1969-049,
US,US,O,1961,1961 EPS,
,Soviet Union,O,1964,1964-029,
CN,CN,O,2014,2014-072,
,Soviet Union,O,1987,1987-084,
,Soviet Union,O,1983,1983-027,
IN,IN,O,2017,2017-024,
OSC,OSC,O,1990,1990-028,1990s
,Soviet Union,O,1974,1974-017,
,Soviet Union,O,1990,1990-047,1990s
MHI,MHI,O,2017,2017-048,
US,US,O,1966,1966-103,
,Soviet Union,O,1969,1969-090,
US,US,O,1968,1968-069,
,Soviet Union,O,1985,1985-098,
RU,RU,O,2007,2007-002,
,Soviet Union,O,1988,1988-060,
OSC,OSC,F,2009,2009-F01,
RU,RU,O,2011,2011-005,
US,US,O,1976,1976-010,
RU,RU,O,1992,1992-018,
RU,RU,O,2012,2012-004,
,Soviet Union,O,1967,1967-117,
US,US,O,1963,1963-029,
US,US,O,1972,1972-079,
,Soviet Union,O,1988,1988-102,
,Soviet Union,O,1970,1970-073,1970s
,Soviet Union,O,1979,1979-063,
RU,RU,O,2001,2001-050,
US,US,O,1987,1987-015,
US,US,O,1966,1966-012,
ILSK,ILSK,O,2013,2013-022,
AE,AE,O,1993,1993-048,
US,US,O,1970,1970-067,1970s
,Soviet Union,O,1975,1975-121,
RU,RU,O,2009,2009-056,
ILSL,ILSL,O,2002,2002-006,
US,US,O,1962,1962 B TAU,
US,US,O,2003,2003-048,
,Soviet Union,O,1986,1986-049,
,Soviet Union,O,1989,1989-096,
,Soviet Union,O,1982,1982-077,
CN,CN,O,2015,2015-061,
MDSSC,MDSSC,O,1995,1995-041,
RU,RU,O,1993,1993-067,
,Soviet Union,O,1987,1987-077,
,Soviet Union,O,1975,1975-094,
MDSSC,MDSSC,O,1992,1992-044,
,Soviet Union,F,1967,1967-F10,
,Soviet Union,O,1985,1985-059,
,Soviet Union,O,1971,1971-090,
US,US,O,1962,1962 B ALP,
,Soviet Union,F,1964,1964-F07,
,Soviet Union,O,1987,1987-019,
US,US,O,1986,1986-069,
AE,AE,O,1988,1988-109,
,Soviet Union,O,1990,1990-052,1990s
,Soviet Union,O,1981,1981-040,
J,J,F,2003,2003-F02,
AE,AE,F,1994,1994-F01,
,Soviet Union,O,1962,1962 A TAU,
,Soviet Union,O,1990,1990-098,1990s
,Soviet Union,O,1986,1986-103,
,Soviet Union,O,1978,1978-107,
,Soviet Union,F,1960,1960-F14,1960s
RU,RU,O,1999,1999-022,
,Soviet Union,O,1962,1962 B IOT,
US,US,O,1985,1985-092,
MDSSC,MDSSC,O,1997,1997-025,
CN,CN,O,2007,2007-003,
,Soviet Union,O,1978,1978-066,
,Soviet Union,O,1975,1975-015,
,Soviet Union,O,1981,1981-032,
US,US,O,1964,1964-087,
MDSSC,MDSSC,O,1996,1996-024,
RU,RU,O,1994,1994-050,
J,J,O,1983,1983-006,
,Soviet Union,O,1977,1977-036,
US,US,F,1959,1959-F09,
,Soviet Union,O,1975,1975-006,
,Soviet Union,O,1966,1966-116,
US,US,O,1990,1990-043,1990s
US,US,O,1965,1965-104,
ULAL,ULAL,O,2013,2013-050,
US,US,O,1960,1960 ZET,1960s
,Soviet Union,O,1968,1968-034,
,Soviet Union,O,1986,1986-047,
AE,AE,O,1995,1995-049,
,Soviet Union,O,1986,1986-092,
,Soviet Union,O,1986,1986-098,
IN,IN,O,2012,2012-047,
US,US,O,1989,1989-035,
,Soviet Union,O,1989,1989-083,
US,US,F,2015,2015-F03,
,Soviet Union,O,1969,1969-086,
AE,AE,O,2011,2011-049,
ILSK,ILSK,O,2010,2010-053,2010s
RU,RU,O,1997,1997-010,
,Soviet Union,O,1981,1981-015,
,Soviet Union,O,1971,1971-086,
,Soviet Union,O,1964,1964-044,
,Soviet Union,O,1987,1987-072,
,Soviet Union,O,1988,1988-047,
,Soviet Union,O,1988,1988-095,
,Soviet Union,O,1981,1981-055,
,Soviet Union,O,1967,1967-021,
US,US,O,1972,1972-031,
J,J,O,1988,1988-086,
,Soviet Union,F,1981,1981-F01,
ILSK,ILSK,O,2008,2008-063,
,Soviet Union,O,1982,1982-027,
AE,AE,O,2014,2014-011,
,Soviet Union,O,1967,1967-098,
EUROK,EUROK,O,2002,2002-012,
CN,CN,O,2017,2017-078,
GDCLS,GDCLS,O,1992,1992-013,
RU,RU,O,1994,1994-083,
,Soviet Union,O,1988,1988-094,
,Soviet Union,O,1977,1977-099,
MDSSC,MDSSC,O,1996,1996-019,
I-ESA,I-ESA,O,1981,1981-122,
ULAB,ULAB,O,2007,2007-023,
RU,RU,O,1992,1992-016,
ILSL,ILSL,O,2003,2003-014,
,Soviet Union,O,1982,1982-010,
US,US,O,1968,1968-052,
J,J,O,1972,1972-064,
US,US,O,1970,1970-070,1970s
RU,RU,O,2006,2006-040,
CN,CN,O,2009,2009-069,
BLS,BLS,O,2004,2004-030,
US,US,O,1964,1964-009,
US,US,O,1976,1976-077,
US,US,O,1991,1991-082,
,Soviet Union,O,1988,1988-059,
,Soviet Union,O,1972,1972-004,
,Soviet Union,O,1990,1990-096,1990s
SPX,SPX,F,2008,2008-F01,
RU,RU,O,2009,2009-039,
AE,AE,O,1992,1992-021,
,Soviet Union,O,1984,1984-072,
,Soviet Union,F,1969,1969-F10,
,Soviet Union,O,1983,1983-091,
AE,AE,O,1998,1998-059,
GDCLS,GDCLS,O,1993,1993-015,
US,US,O,1985,1985-034,
US,US,O,1966,1966-016,
AE,AE,O,2009,2009-058,
CN,CN,O,1990,1990-059,1990s
,Soviet Union,O,1966,1966-015,
AE,AE,O,1996,1996-007,
,Soviet Union,O,1965,1965-107,
IN,IN,F,2006,2006-F02,
,Soviet Union,O,1982,1982-073,
US,US,O,1964,1964-004,
,Soviet Union,O,1989,1989-086,
,Soviet Union,O,1987,1987-107,
,Soviet Union,O,1983,1983-114,
US,US,F,1961,1961-F05,
US,US,O,1971,1971-092,
,Soviet Union,O,1984,1984-068,
,Soviet Union,O,1974,1974-026,
OATK,OATK,O,2017,2017-068,
MHI,MHI,O,2007,2007-005,
US,US,O,1972,1972-061,
,Soviet Union,O,1983,1983-107,
,Soviet Union,O,1979,1979-046,
,Soviet Union,O,1965,1965-073,
,Soviet Union,O,1989,1989-005,
MDSSC,MDSSC,O,1996,1996-068,
RU,RU,O,1994,1994-067,
,Soviet Union,O,1982,1982-043,
RU,RU,O,2007,2007-033,
,Soviet Union,O,1990,1990-033,1990s
,Soviet Union,O,1980,1980-027,1980s
SPX,SPX,O,2015,2015-007,
,Soviet Union,O,1981,1981-074,
RU,RU,O,2014,2014-042,
US,US,O,1967,1967-084,
EUROK,EUROK,O,2010,2010-023,2010s
RU,RU,O,2003,2003-023,
,Soviet Union,O,1977,1977-107,
US,US,O,1981,1981-019,
AE,AE,O,2000,2000-068,2000s
SPX,SPX,O,2017,2017-063,
,Soviet Union,O,1966,1966-071,
,Soviet Union,O,1970,1970-114,1970s
,Soviet Union,O,1975,1975-001,
,Soviet Union,O,1974,1974-064,
,Soviet Union,O,1979,1979-070,
,Soviet Union,O,1976,1976-104,
US,US,O,1967,1967-031,
US,US,O,1967,1967-007,
,Soviet Union,O,1963,1963-011,
,Soviet Union,O,1981,1981-064,
RU,RU,O,1999,1999-073,
US,US,O,2006,2006-055,
I-ESA,I-ESA,O,1979,1979-104,
J,J,O,2018,2018-016,2018
,Soviet Union,O,1984,1984-084,
,Soviet Union,O,1967,1967-022,
CN,CN,O,2012,2012-013,
US,US,O,1996,1996-038,
,Soviet Union,O,1990,1990-087,1990s
US,US,O,1962,1962 B BET,
CN,CN,O,2018,2018-015,2018
US,US,O,1965,1965-021,
,Soviet Union,F,1970,1970-F02,1970s
US,US,F,1960,1960-F04,1960s
,Soviet Union,O,1976,1976-020,
,Soviet Union,F,1971,1971-F02,
RU,RU,O,2008,2008-060,
RU,RU,O,2011,2011-080,
ULAL,ULAL,O,2015,2015-025,
US,US,O,1964,1964-077,
US,US,O,1961,1961 A ETA,
LMA,LMA,O,1998,1998-001,
,Soviet Union,O,1970,1970-004,1970s
,Soviet Union,O,1989,1989-039,
RU,RU,O,1993,1993-072,
,Soviet Union,O,1983,1983-005,
,Soviet Union,O,1972,1972-042,
,Soviet Union,O,1983,1983-029,
RU,RU,O,1999,1999-044,
US,US,O,1961,1961 A IOT,
IN,IN,O,2011,2011-058,
US,US,O,1982,1982-004,
,Soviet Union,O,1962,1962 B XI,
,Soviet Union,O,1968,1968-048,
AE,AE,O,2002,2002-002,
US,US,O,1977,1977-053,
,Soviet Union,O,1988,1988-115,
RU,RU,O,1994,1994-041,
US,US,O,1976,1976-039,
,Soviet Union,F,1969,1969-F14,
,Soviet Union,O,1991,1991-038,
US,US,O,1974,1974-075,
ULAL,ULAL,O,2012,2012-048,
,Soviet Union,O,1979,1979-052,
US,US,O,1962,1962 A KAP,
MDSSC,MDSSC,O,1996,1996-062,
CN,CN,O,2014,2014-066,
US,US,O,1963,1963-027,
AE,AE,O,1997,1997-053,
,Soviet Union,O,1972,1972-094,
,Soviet Union,O,1988,1988-076,
,Soviet Union,O,1990,1990-014,1990s
CN,CN,O,2008,2008-066,
,Soviet Union,O,1988,1988-020,
US,US,O,1985,1985-063,
,Soviet Union,O,1966,1966-115,
US,US,O,1968,1968-050,
,Soviet Union,O,1991,1991-013,
STSM,STSM,O,2003,2003-059,
US,US,O,1978,1978-078,
US,US,O,1981,1981-114,
,Soviet Union,O,1990,1990-016,1990s
BLS,BLS,O,1998,1998-002,
RU,RU,O,2012,2012-022,
,Soviet Union,O,1982,1982-083,
AE,AE,O,1994,1994-049,
,Soviet Union,O,1970,1970-100,1970s
CN,CN,O,2006,2006-038,
RU,RU,O,1992,1992-073,
US,US,O,1962,1962 PSI,
US,US,O,1985,1985-048,
,Soviet Union,O,1983,1983-075,
LMA,LMA,O,1997,1997-044,
CN,CN,O,2016,2016-061,
,Soviet Union,O,1977,1977-079,
RU,RU,O,1992,1992-033,
CN,CN,O,2018,2018-077,2018
RU,RU,O,2004,2004-020,
,Soviet Union,O,1974,1974-100,
US,US,O,1967,1967-122,
AE,AE,O,2017,2017-026,
,Soviet Union,O,1984,1984-010,
,Soviet Union,O,1971,1971-079,
RU,RU,O,1998,1998-009,
ILSK,ILSK,O,2009,2009-042,
,Soviet Union,O,1977,1977-105,
US,US,O,1969,1969-051,
,Soviet Union,O,1979,1979-002,
CN,CN,O,1997,1997-042,
US,US,O,1964,1964-043,
,Soviet Union,F,1986,1986-F06,
AE,AE,O,2016,2016-073,
CN,CN,O,2015,2015-051,
,Soviet Union,O,1980,1980-094,1980s
,Soviet Union,O,1973,1973-082,
,Soviet Union,O,1985,1985-032,
,Soviet Union,O,1968,1968-058,
RU,RU,O,2017,2017-081,
,Soviet Union,O,1974,1974-045,
,Soviet Union,O,1976,1976-081,
US,US,O,1991,1991-076,
,Soviet Union,O,1978,1978-120,
RU,RU,O,1994,1994-048,
CN,CN,O,2010,2010-040,2010s
,Soviet Union,O,1984,1984-099,
,Soviet Union,O,1969,1969-048,
US,US,O,1967,1967-111,
,Soviet Union,O,1984,1984-032,
EUROK,EUROK,O,2000,2000-026,2000s
,Soviet Union,O,1981,1981-075,
,Soviet Union,O,1965,1965-029,
,Soviet Union,O,1987,1987-014,
,Soviet Union,O,1985,1985-112,
RU,RU,O,1995,1995-070,
,Soviet Union,O,1973,1973-099,
,Soviet Union,O,1982,1982-054,
,Soviet Union,O,1972,1972-035,
,Soviet Union,O,1976,1976-095,
,Soviet Union,O,1980,1980-058,1980s
,Soviet Union,O,1988,1988-053,
RU,RU,O,2009,2009-010,
US,US,O,1998,1998-030,
US,US,O,1977,1977-080,
ILSL,ILSL,O,2002,2002-055,
RU,RU,O,1994,1994-036,
ULAL,ULAL,O,2017,2017-004,
,Soviet Union,O,1971,1971-118,
AE,AE,O,1989,1989-053,
US,US,O,1965,1965-074,
,Soviet Union,O,1983,1983-123,
ILSK,ILSK,O,2008,2008-011,
CN,CN,O,1984,1984-008,
,Soviet Union,O,1973,1973-016,
,Soviet Union,O,1967,1967-101,
OSC,OSC,O,2004,2004-018,
J,J,O,1983,1983-081,
,Soviet Union,O,1978,1978-081,
US,US,O,1992,1992-023,
US,US,O,1968,1968-118,
,Soviet Union,O,1966,1966-092,
US,US,O,2008,2008-009,
US,US,O,2001,2001-028,
,Soviet Union,O,1985,1985-116,
US,US,O,1967,1967-035,
AE,AE,O,1999,1999-060,
,Soviet Union,O,1974,1974-025,
STSM,STSM,O,2000,2000-045,2000s
,Soviet Union,O,1990,1990-035,1990s
US,US,O,1979,1979-094,
US,US,O,1962,1962 KAP,
EUROK,EUROK,O,2009,2009-059,
,Soviet Union,O,1990,1990-110,1990s
US,US,O,1970,1970-054,1970s
RU,RU,O,2015,2015-012,
,Soviet Union,O,1967,1967-086,
US,US,O,1992,1992-083,
US,US,O,1976,1976-125,
BLS,BLS,O,1997,1997-043,
,Soviet Union,O,1973,1973-011,
