Title,Year,Ratings
Berserk,-1997,8.6
The Crown,-2016,8.6
The Grand Tour,-2016,8.6
The Return of Sherlock Holmes,-1986,8.6
Downton Abbey,-2010,8.6
Line of Duty,-2012,8.6
It's a Sin,-2021,8.6
Mahabharat,-1988,8.6
Haikyuu!!,-2014,8.6
Deadwood,-2004,8.6
Star Trek: The Next Generation,-1987,8.6
Top Gear,-2002,8.6
Atlanta,-2016,8.6
Ramayan,-1987,8.6
Lonesome Dove,-1989,8.6
Mad Men,-2007,8.6
The Bridge,-2011,8.6
Formula 1: Drive to Survive,-2019,8.6
Code Geass,-2006,8.6
Sarabhai V/S Sarabhai,-2004,8.6
Demon Slayer: Kimetsu no Yaiba,-2019,8.6
Blackadder II,-1986,8.6
Parks and Recreation,-2009,8.6
The X-Files,-1993,8.6
Peep Show,-2003,8.6
Young Justice,-2010,8.6
Friday Night Lights,-2006,8.6
Jujutsu Kaisen,-2020,8.6
Mindhunter,-2017,8.6
Gomorrah,-2014,8.6
Westworld,-2016,8.6
Battlestar Galactica,-2003,8.6
Gullak,-2019,8.6
This Is Us,-2016,8.6
Monster,-2004,8.6
Anne with an E,-2017,8.6
The Haunting of Hill House,-2018,8.6
Father Ted,-1995,8.6
Dexter,-2006,8.5
Blackadder the Third,-1987,8.5
The Bugs Bunny Show,-1960,8.5
Archer,-2009,8.5
Daredevil,-2015,8.5
The Queen's Gambit,-2020,8.5
Panchayat,-2020,8.5
The Newsroom,-2012,8.5
Yes Minister,-1980,8.5
Rurouni Kenshin: Trust and Betrayal,-1999,8.5
Behzat Ç.: Bir Ankara Polisiyesi,-2010,8.5
QI,-2003,8.5
Crash Landing on You,-2019,8.5
Yeh Meri Family,-2018,8.5
Poirot,-1989,8.5
Through the Wormhole,-2010,8.5
Dopesick,-2021,8.5
Making a Murderer,-2015,8.5
Justified,-2010,8.5
Cobra Kai,-2018,8.5
The Eric Andre Show,-2012,8.5
North & South,-2004,8.5
The Family Man,-2019,8.5
Yellowstone,-2018,8.5
Spaced,-1999,8.5
Mr. Bean,-1990,8.5
Naruto: Shippûden,-2007,8.5
Justice League,-2001,8.5
Neon Genesis Evangelion,-1995,8.5
Long Way Round,-2004,8.5
What We Do in the Shadows,-2016,8.5
From the Earth to the Moon,-1998,8.5
Samurai Champloo,-2004,8.5
Boardwalk Empire,-2010,8.5
Twin Peaks,-2017,8.5
Dragon Ball,-1986,8.5
Flight of the Conchords,-2007,8.5
Pose,-2018,8.5
Adventure Time,-2010,8.5
Black Sun,-2017,8.5
Dragon Ball,-1995,8.5
Mob Psycho 100,-2016,8.5
Mr. Robot,-2015,8.5
"Yes, Prime Minister",-1986,8.5
The IT Crowd,-2006,8.5
Mystery Science Theater 3000,-1988,8.5
Alfred Hitchcock Presents,-1955,8.5
Coupling,-2000,8.5
Brass Eye,-1997,8.5
Fullmetal Alchemist,-2003,8.5
Letterkenny,-2016,8.5
Doctor Who,-2005,8.5
Homicide: Life on the Street,-1993,8.5
Detectorists,-2014,8.5
Skam,-2015,8.5
Endeavour,-2012,8.5
Silicon Valley,-2014,8.5
Impractical Jokers,-2011,8.5
Louie,-2010,8.5
Generation Kill,-2008,8.5
Hannibal,-2013,8.5
Shameless,-2011,8.5
The Expanse,-2015,8.5
Spartacus: Gods of the Arena,-2011,8.5
The Office,-2001,8.5
Chef's Table,-2015,8.5
The Night Of,-2016,8.5
Ezel,-2009,8.5
Mr Inbetween,-2018,8.4
Whose Line Is It Anyway?,-1998,8.4
Samurai Jack,-2001,8.4
Sons of Anarchy,-2008,8.4
Big Little Lies,-2017,8.4
I'm Alan Partridge,-1997,8.4
Spartacus,-2010,8.4
The Defiant Ones,-2017,8.4
Your Lie in April,-2014,8.4
Erased,-2016,8.4
Ethos,-2020,8.4
My Brilliant Friend,-2018,8.4
Mare of Easttown,-2021,8.4
Black Books,-2000,8.4
Harley Quinn,-2019,8.4
John Adams,-2008,8.4
Schitt's Creek,-2015,8.4
The Knick,-2014,8.4
"Love, Death & Robots",-2019,8.4
It's Okay to Not Be Okay,-2020,8.4
Dr. Horrible's Sing-Along Blog,-2008,8.4
Community,-2009,8.4
Inside No. 9,-2014,8.4
The Punisher,-2017,8.4
The New Batman Adventures,-1997,8.4
Generation War,-2013,8.4
Horace and Pete,-2016,8.4
Delhi Crime,-2019,8.4
The Prisoner,-1967,8.4
The Venture Bros.,-2003,8.4
Futurama,-1999,8.4
Feud: Bette and Joan,-2017,8.4
Flames,-2018,8.4
Jesus of Nazareth,-1977,8.4
Ghost in the Shell: Stand Alone Complex,-2002,8.4
X-Men: The Animated Series,-1992,8.4
Luther,-2010,8.4
Wentworth,-2013,8.4
Scenes from a Marriage,-1973,8.4
Vikings,-2013,8.4
Garth Marenghi's Darkplace,-2004,8.4
Avrupa Yakasi,-2004,8.4
Guardian: The Lonely and Great God,-2016,8.4
Special OPS,-2020,8.4
