"STATE","YEAR","RANK"
"Louisiana","1820",17
"Louisiana","1830",19
"Louisiana","1840",19
"Louisiana","1850",18
"Louisiana","1860",17
"Louisiana","1870",21
"Missouri","1810",22
"Missouri","1820",23
"Missouri","1830",21
"Missouri","1840",16
"Missouri","1850",13
"Missouri","1860",8
"Missouri","1870",5
"Illinois","1810",23
"Illinois","1820",24
"Illinois","1830",20
"Illinois","1840",14
"Illinois","1850",11
"Illinois","1860",4
"Illinois","1870",4
"Michigan","1810",24
"Michigan","1820",27
"Michigan","1830",26
"Michigan","1840",23
"Michigan","1850",20
"Michigan","1860",8
"Michigan","1870",13
"Alabama","1820",19
"Alabama","1830",15
"Alabama","1840",12
"Alabama","1850",12
"Alabama","1860",13
"Alabama","1870",16
"Arkansas","1820",25
"Arkansas","1830",27
"Arkansas","1840",25
"Arkansas","1850",26
"Arkansas","1860",25
"Arkansas","1870",26
"Florida","1830",25
"Florida","1840",27
"Florida","1850",31
"Florida","1860",31
"Florida","1870",33
"Iowa","1840",28
"Iowa","1850",27
"Iowa","1860",20
"Iowa","1870",11
"Wisconsin","1840",29
"Wisconsin","1850",24
"Wisconsin","1860",15
"Wisconsin","1870",15
"Texas","1850",25
"Texas","1860",23
"Texas","1870",19
"California","1850",29
"California","1860",26
"California","1870",24
"Oregon","1850",32
"Oregon","1860",34
"Oregon","1870",36
"Minnesota","1850",33
"Minnesota","1860",30
"Minnesota","1870",28
"Kansas","1860",33
"Kansas","1870",29
"Nebraska","1860",35
"Nebraska","1870",35
"Nevada","1860",36
"Nevada","1870",37
"West Virginia","1870",27
