2015 ranking,Country,Code,Status,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000 people)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000 people)",Access to clean fuels and technology for cooking (% of pop.),"Homicide rate (deaths/100,000 people)",Perceived criminality (1=low; 5=high),Political killings and torture (0=low freedom; 1=high freedom),"Traffic deaths (deaths/100,000 people)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (distance from parity),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Access to online governance (0=low; 1=high),Media censorship (0=frequent; 4=rare),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000 people)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000 people)",Greenhouse gas emissions (CO2 equivalents/GDP),Biome protection,Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no rights; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (1=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
41,Barbados,BRB,Ranked,76.28,89.46,72.58,66.79,91.71,97.12,97.00,72.01,95.63,65.98,74.96,53.77,93.54,82.46,58.92,32.23,4.7,103.638,13.7,7.621,53.0023,98.4544,98.5104,95.3552,,100,6.28662,0.046689,99.24,7.81292,,0.884,9.58136,99.6,91.9508,99.4395,1.02579,3.719,108.92,71.8,0.09803,3.351,22.4812,315.165,73.999,3.728,35.846,358.139,1.03415,40,0.908,3.811,0.917,4.56,15.888,0,73.1,74,,4.1,2.678,2.13,2.808,3.27127,10.6,0,0
50,Belarus,BLR,Ranked,70.78,89.09,67.53,55.72,97.46,95.56,93.55,69.77,96.98,55.91,65.53,51.69,52.65,71.20,52.92,46.12,2.5,14.554,4.5,4.677,18.7118,96.7297,89.6989,97.1561,0,100,,0.971277,97.69,3.58963,3,0.619,12.0952,99.6171,97.9312,97.3681,0.98169,3.543,117.255,54.17,0.35294,0.295,18.9013,553.102,81.386,3.642,55.9349,595.646,10.0059,4,0.308,2.602,0.598,4.249,3.229,6,76.8,31,13.7884,6.8,1.971,3.058,3.134,4.12595,12,2,10
14,Belgium,BEL,Ranked,86.57,95.16,85.28,79.28,98.10,99.88,97.58,85.10,93.31,84.99,83.79,79.02,98.18,87.54,75.40,56.00,2.5,7.08,4.2,2.705,26.5927,100,100,99.4861,0,100,6.40078,0.13258,100,1.84959,2,0.955,8.49961,99,98.6859,93.8328,1.13396,3.744,110.435,82.1702,0.62745,3.901,23.5328,240.071,92.193,3.774,19.7596,264.901,17,40,0.98,3.883,0.985,4.886,10.504,1,88.1,76,81.9404,4.1,2.841,3.124,3.24,3.59627,11.1,14,35
114,Benin,BEN,Ranked,48.64,42.83,56.11,46.97,55.70,28.80,34.83,52.00,57.02,47.19,49.38,70.87,90.65,35.67,54.37,7.21,10.8,311.193,108.5,44.695,439.388,65.5368,40.1948,15.0838,77.398,37.279,2.19382,104.447,5.34,6.56806,4,0.838,49.2658,32.9488,96.3604,45.0046,0.6897,2.952,96.2316,4.9,0.17647,2.831,17.0084,414.978,49.342,1.835,18.6955,747.638,17,32,0.884,3.852,0.933,4.654,88.426,22,26.4,39,10.9172,3.9,2.215,2.412,2.898,0.91283,2.5,0,0
80,Bhutan,BTN,Ranked,64.08,80.21,64.07,47.96,74.49,88.03,78.72,79.58,73.22,50.20,65.42,67.44,74.67,63.35,49.44,4.36,,182.002,36.4,34.625,106.317,95.1912,96.3653,65.2108,2.36444,87.4326,5.85445,32.3683,48.11,4.38266,2,0.843,9.27815,57.0336,85.9884,60.8966,1.073,3.57,71.1588,22.4,0.35294,3.205,20.0177,364.228,61.15,3.515,41.6426,407.899,17,29,0.749,2.552,0.783,4.129,71.017,16,81.1,65,16.6938,7.9,2.174,2.511,3.076,0.52574,1.9,0,0
94,Bolivia,BOL,Ranked,61.59,70.81,63.59,50.36,76.21,65.24,77.67,64.14,78.82,60.68,55.32,59.54,75.36,51.28,54.87,19.92,22.9,167.034,40.5,21.238,118.658,90.1129,71.9125,53.2121,44.0633,89.5057,3.86775,25.2823,78.52,11.925,3,0.843,23.9005,93.7921,89.8841,76.5359,0.99006,0.924,100.245,36.99,0.41176,2.231,19.1476,371.215,58.307,1.584,34.9741,1348.76,16.5269,29,0.82,3.834,0.448,3.938,54.659,15,52.1,35,38.4849,6.5,2.009,3.294,2.226,,7.7,0,0
83,Botswana,BWA,Ranked,63.69,68.06,67.26,55.76,67.81,75.19,57.96,71.27,80.32,58.79,60.00,69.91,81.83,76.74,44.31,20.15,25.2,101.209,43.1,30.226,508.498,86.4556,90.3459,71.6801,34.8616,53.9179,2.4054,41.9803,59.92,15.0382,2,0.85,17.0778,87.1081,90.3646,,1.09114,2.65,152.538,30,0.31372,2.874,18.227,382.451,64.421,2.734,32.8965,446.226,17,28,0.801,3.714,0.867,3.909,25.951,5,79.8,63,20.5209,5.4,1.353,2.093,2.59,1.28544,9,0,0
45,Brazil,BRA,Ranked,73.45,80.61,75.13,64.63,92.15,89.96,86.30,54.02,82.35,78.58,64.56,75.02,88.24,67.78,63.37,39.12,2.5,67.767,16.7,10.432,62.234,97.0248,94.9715,84.7941,13.6199,99.5751,4.11162,7.46967,94.48,26.4528,4,0.797,23.3255,91.4842,99.4454,81.9249,1.08675,1.295,133.937,51.04,0.70588,3.826,22.1091,336.303,69.015,1.767,24.815,342.996,16.9797,33,0.935,3.904,0.675,4.829,25.909,17,87.9,43,64.2497,5.9,2.548,2.625,2.98,2.29182,7.5,27,10
44,Bulgaria,BGR,Ranked,73.68,88.30,70.67,62.08,94.58,96.08,85.02,77.51,90.71,61.84,64.54,65.59,85.05,69.26,57.42,36.61,5,19.8,9.3,9.854,17.9764,99.2707,99.1087,85.9622,0,100,4.2296,11.4679,87.27,1.92876,3,0.885,10.0608,98.3524,96.0563,91.0362,0.96565,2.461,144.324,53.0615,0.2549,2.508,19.6808,499.833,77.091,3.087,40.6343,532.852,16.9779,33,0.813,3.437,0.762,4.824,8.677,9,65.7,43,25.784,5.2,2.655,2.447,2.846,3.16945,10.9,1,5
133,Burkina Faso,BFA,Ranked,43.81,44.17,47.61,39.65,57.56,22.04,26.25,70.83,41.29,38.07,44.62,66.47,75.52,35.71,45.64,1.73,20.3,235.147,97.5,31.436,566.785,49.4874,24.8135,18.1554,68.1338,18.3376,1.69483,122.39,6.82,0.506903,3,0.662,27.1252,33.7608,68.4217,24.0979,0.87329,0.861,65.8412,9.1,0.13725,2.895,16.2378,439.826,50.328,1.024,16.5415,1174.03,15.6099,9,0.862,3.813,0.8,4.179,87.166,32,44.2,38,7.7246,5,1.392,2.457,2.672,0.29458,1,0,0
140,Burundi,BDI,Ranked,38.62,42.26,44.83,28.77,48.18,52.66,23.48,44.73,59.33,16.26,44.60,59.13,39.96,39.18,31.59,4.34,,276.833,75.2,56.154,593.93,58.3474,30.4787,45.9106,2.89142,7.09112,2.08396,127.125,0.77,5.36497,4,0.151,38.2517,59.3221,97.2881,26.3894,0.84425,1.119,26.4248,1.26422,0.05882,1.541,15.2321,480.85,44.511,2.065,22.6403,812.527,7.90814,11,0.432,3.055,0.263,1.274,94.612,7,39.7,20,3.4667,8,1.32,2.211,1.321,0.26511,2.6,0,0
69,Cabo Verde,CPV,Ranked,66.82,74.11,66.15,60.20,86.49,69.22,69.27,71.47,76.53,54.40,70.75,62.93,91.02,71.12,63.88,14.79,14.7,49.044,22.2,13.129,120.639,84.5182,84.2173,66.6889,43.6003,83.8791,2.70106,29.8376,68.49,10.8954,,0.943,9.69242,85.8153,86.9563,64.4854,1.12476,2.814,96.03,37.5,0.09803,3.024,22.6928,288.367,66.204,2.999,22.7096,246.981,2.25354,37,0.922,3.833,0.885,4.34,27.072,11,75.9,57,,4,2.252,2.845,3.456,1.27976,5.9,0,0
115,Cambodia,KHM,Ranked,48.50,53.82,57.20,34.47,71.85,41.68,45.47,56.28,68.83,43.00,48.54,68.42,50.54,50.90,28.51,7.93,18.8,127.024,35.7,42.968,206.621,72.2506,20.8656,47.0573,53.7387,54.8524,3.04409,91.3684,12.98,1.84346,4,0.432,31.4771,77.2241,95.3657,,0.85476,0.734,134.893,6.8,0.19607,1.234,17.7614,445.613,59.221,0.808,24.1796,788.355,17,11,0.338,3.142,0.367,3.397,52.645,11,57.4,21,27.5224,7.4,1.688,0.801,0.788,0.698555,3.5,0,0
126,Cameroon,CMR,Ranked,45.64,52.48,51.09,33.34,57.02,50.69,46.21,56.00,69.58,38.20,43.02,53.57,61.99,34.50,26.94,9.95,8.7,352.532,97.4,33.227,584.263,60.2699,39.5401,38.8988,13.8312,56.263,2.43435,79.1023,19.44,4.1741,4,0.501,27.1026,71.2905,95.2633,45.1889,0.85277,2.247,72.335,10,0.15686,2.233,16.1635,474.029,50.168,0.868,47.165,634.28,9.22955,9,0.636,3.633,0.317,4.417,74.39,33,43,27,5.2182,8.1,1.539,1.246,1.166,0.83502,4.3,0,0
12,Canada,CAN,Ranked,87.17,95.35,85.66,80.50,98.00,99.39,98.05,85.98,95.31,84.37,85.93,77.03,96.07,88.66,70.40,66.87,2.5,7.924,5.5,3.077,16.1646,99.3418,99.3067,99.2509,0,100,6.51501,0.028803,100,1.57017,2,0.954,7.49595,99,99.4045,91.3508,1.00528,3.249,80.4414,85.8,0.82352,3.72,24.949,206.779,92.726,3.524,11.41,489.5,17,39,0.958,3.795,0.947,4.871,10.679,3,90.6,81,84.0526,3.9,2.585,2.914,2.637,3.27859,13,46,50
148,Central African Republic,CAF,Ranked,27.12,22.13,32.33,26.90,24.49,30.05,19.23,14.75,28.76,21.19,24.65,54.70,40.94,23.17,39.51,3.99,38.6,623.957,139,43.697,1016.8,46.0378,17.7016,24.9372,35.5604,18.712,,163.042,0.84,19.7574,5,0.248,93.554,36.7526,68.3522,13.432,0.575655,0.963,30.2312,3.4,0.03921,2.469,12.6769,771.453,28.66,0.939,40.6055,2007.53,17,0,0.556,2.2,0.161,3.291,93.68,42,33.5,24,10.8334,9.6,2.084,2.479,1.944,0.15333,2.7,0,0
147,Chad,TCD,Ranked,28.26,27.12,35.51,22.16,37.25,10.06,20.68,40.50,26.42,17.42,38.48,59.72,51.55,17.97,17.79,1.32,37.7,426.875,138.4,43.804,632.327,39.3239,18.6441,9.40345,82.7495,7.97574,1.67251,139.996,3.18,9.68368,5,0.18,28.344,26.4354,79.651,18.5295,0.45199,0.784,34.7296,2.5,0.07843,0.974,16.0094,460.987,37.705,0.613,25.4648,1066.62,11.5753,5,0.509,2.602,0.297,4.301,93.058,45,20.2,22,5.2887,8.2,1.164,0.748,0.377,0.17202,1.1,0,0
33,Chile,CHL,Ranked,80.14,90.72,78.72,70.98,96.23,98.56,91.31,76.79,84.25,86.72,73.22,70.70,92.96,80.74,58.65,51.55,3.8,24.461,8.3,4.24,29.8448,99.1583,98.3978,98.7988,1.48671,99.6,5.35982,3.42025,91.39,2.50726,3,0.957,13.0276,96.2671,93.3945,87.4307,1.01279,1.267,135.494,58,0.94117,3.837,23.1796,243.662,79.973,2.176,22.3418,278.966,10.4249,39,0.971,3.797,0.848,4.556,22.934,6,83.7,73,65.8658,4.1,2.454,2.135,1.962,4.34557,9.8,14,15
91,China,CHN,Ranked,62.38,79.89,64.64,42.62,92.08,83.68,82.31,61.49,84.60,59.03,63.69,51.22,33.66,69.87,27.30,39.65,10.4,15.978,12.5,11.526,23.8035,90.5171,70.9465,78.4556,1.38353,100,5.22393,19.8882,56.4,0.820681,4,0.326,18.205,95.1245,,,1.01818,1.698,88.8863,45.8,0.64705,0.535,20.7844,346.884,78.027,1.481,54.176,825.944,11.4952,2,0.237,1.086,0.449,2.958,46.224,1,92.1,36,13.6791,8.3,1.546,1.517,0.677,2.04136,7.2,66,5
51,Colombia,COL,Ranked,70.73,79.98,77.19,55.01,89.60,87.27,89.18,53.89,79.50,81.96,73.34,73.95,75.48,61.93,43.66,38.98,10,66.999,16.8,13.493,29.1418,96.0055,87.9452,85.4554,16.3432,97.7794,5.10331,6.10116,89.62,35.0672,4,0.698,14.9489,93.9843,92.2581,78.5858,1.07924,1.244,106.236,51.7,0.88235,3.454,25.1063,209.706,74.121,1.679,17.9912,354.592,13.8561,29,0.778,3.637,0.555,3.92,47.202,15,85.4,37,53.5311,8,1.922,1.868,1.724,2.7616,8,12,10
111,Comoros,COM,Ranked,50.74,60.62,51.67,39.94,65.44,66.31,47.40,63.33,62.81,27.15,46.18,70.54,67.29,39.06,46.46,6.93,,186.852,77.9,38.281,258.138,80.9976,57.8235,34.8021,0.622758,69.9327,,85.4812,5.1,8.52991,,0.807,28.7439,49.1961,86.6188,44.7685,1.06834,1.993,46.8645,6.5,0.03921,2.463,17.6387,448.143,44.917,1.306,15.6626,339.328,9.48652,25,0.84,2.185,0.556,3.86,65.018,20,31.5,26,8.0047,5,1.481,2.576,2.564,0.44974,3.6,0,0
145,"Congo, Democratic Republic of",COD,Ranked,35.26,36.59,43.79,25.40,44.01,35.05,24.21,43.07,58.08,17.23,38.75,61.11,39.55,29.59,25.53,6.94,,417.167,104.7,46.766,591.095,41.2319,30.2299,20.4684,17.8226,15.16,1.625,125.903,3.83,14.2781,4,0.19,32.2732,75.5236,,,0.62181,1.201,39.587,2.2,0.0196,0.959,15.5559,492.007,40.944,0.807,26.3635,910.695,11.9678,9,0.493,3.329,0.169,1.191,80.146,25,20,22,10.8896,9.5,1.382,1.326,1.319,0.34141,3.9,0,0
132,"Congo, Republic of",COG,Ranked,43.94,49.37,51.37,31.08,54.32,50.07,48.55,44.55,68.41,36.11,37.98,63.00,51.74,38.20,24.17,10.21,39.2,415.266,55.3,25.103,509.002,69.0595,52.6354,17.7552,21.2488,49.1857,,71.1591,19.64,9.86743,4,0.153,31.2312,79.3112,87.2205,,0.86601,1.254,98.0715,6.6,0.09803,0.326,15.3821,572.672,47.051,0.721,47.9665,528.186,17,7,0.279,3.561,0.278,4.163,76.19,20,40.5,23,6.4647,6.6,0.806,1.134,1.154,0.52559,5.3,0,0
34,Costa Rica,CRI,Ranked,79.81,88.96,82.56,67.90,94.63,98.21,92.31,70.70,90.28,78.69,80.76,80.52,95.17,73.96,66.26,36.22,5.4,21.988,9.7,8.668,19.9723,99.0461,98.2098,96.6896,0.599486,99.5635,5.57514,3.89149,92.53,8.74494,3,0.971,16.0314,97.4066,96.7954,78.1218,1.0548,3.25,151.113,45.96,0.82352,3.406,24.3923,220.359,76.749,3.676,16.0334,230.685,16.0466,37,0.973,3.69,0.955,4.879,21.021,11,85.4,54,52.4222,4.7,3.049,2.036,3.57,2.65193,8.6,2,20
39,Croatia,HRV,Ranked,78.85,92.01,78.82,65.74,96.80,98.24,92.27,80.72,96.33,70.30,74.23,74.41,89.72,72.72,52.24,48.28,2.5,8.189,5,8.305,8.25158,99.5078,99.5078,96.4379,,100,5.66706,5.47044,90.91,1.18701,3,0.966,9.30577,99.1254,98.707,92.4159,1.03685,3.621,110.361,66.7476,0.33333,3.2,21.2121,332.354,86.039,3.279,29.1602,305.246,17,36,0.87,3.78,0.789,4.822,10.392,2,62.8,48,35.8996,5.7,2.296,2.171,2.417,3.24882,10.8,1,45
75,Cuba,CUB,Ranked,65.55,86.73,62.74,47.17,94.97,90.43,88.06,73.45,93.04,22.83,74.02,61.05,27.99,69.84,58.75,32.10,2.5,50.332,5.7,8.504,35.0762,94.9238,78.5123,91.5362,1.40953,98.5464,,1.98725,77.76,5.45591,3,0.852,8.45211,99.7525,96.5626,86.8966,1.02543,3.184,17.4875,27.93,0.35294,0.162,22.4196,320.724,77.562,3.297,30.918,,10.3271,1,0.082,2.23,0.178,2.349,8.276,23,88.9,46,,4.5,2.352,2.851,2.503,2.02705,11.4,1,5
36,Cyprus,CYP,Ranked,79.52,92.53,81.77,64.28,97.83,99.63,94.14,78.50,97.01,70.79,84.05,75.25,93.25,79.80,54.05,30.01,4.3,9.438,3.1,2.799,12.2985,99.6723,99.6723,99.3599,0,100,5.54497,0.226803,100,1.93822,3,0.968,11.3327,98.6784,97.7288,94.715,1.00077,3.739,127.581,65.4548,0.31372,3.537,23.6843,231.462,93.087,3.666,25.7813,320.454,17,37,0.931,3.491,0.962,4.836,14.183,2,,63,29.8806,7,2.393,2.869,2.51,2.35928,11.8,0,0
25,Czech Republic,CZE,Ranked,82.42,95.46,78.98,72.82,98.15,99.71,96.71,87.28,96.21,71.44,77.70,70.58,94.79,79.10,66.14,51.24,2.5,4.881,3.1,3.76,18.9575,99.8741,99.8741,99.1364,0,100,6.35307,1.12946,96.99,0.991805,2,0.976,8.59567,99,,88.8334,1.00475,3.76,129.495,74.1104,0.2549,3.522,21.5737,323.723,88.02,3.81,31.0466,446.901,17,38,0.936,3.806,0.95,4.758,14.535,0,84.2,51,43.2319,3.8,2.249,3.074,3.403,3.09147,12.4,6,30
119,Côte d'Ivoire,CIV,Ranked,46.98,50.64,50.35,39.94,52.94,44.24,48.16,57.21,41.17,42.45,42.37,75.43,71.26,38.07,43.34,7.11,21.5,335.825,100.6,35.05,567.566,72.4372,42.3997,29.0528,47.3863,61.1889,3.85522,113.086,18.5079,12.6286,4,0.817,25.4266,42.445,74.1169,30.7053,0.70465,1.046,88.2756,12,0.17647,1.796,16.12,489.531,47.918,0.975,18.7527,428.606,17,17,0.746,3.825,0.681,3.517,74.877,25,37.8,32,2.8097,8.7,2.274,2.169,2.825,0.48686,3.6,0,0
3,Denmark,DNK,Ranked,88.85,96.36,86.31,83.89,98.33,99.90,98.76,88.46,96.25,85.82,82.26,80.89,98.31,92.98,82.36,61.88,2.5,3.449,4.1,2.438,24.2048,100,100,99.5972,0,100,6.69579,0.124406,100,0.837691,2,0.931,4.2843,99,99.5044,89.4497,1.0428,3.737,124.714,94.6297,0.54901,3.809,23.1066,240.219,91.396,3.617,18.5991,222.256,17,40,0.981,3.904,0.987,4.88,5.38,0,85.8,92,75.8377,3.6,3.218,3.496,3.769,4.28242,13.4,10,35
129,Djibouti,DJI,Ranked,44.41,57.04,38.24,37.94,59.55,55.94,53.35,59.33,44.68,15.84,46.16,46.28,52.14,54.58,37.32,7.73,20.2,404.977,70,33.886,329.389,75.5399,80.0984,58.585,66.5586,56.167,,40.8077,9.25,7.4152,3,0.487,25.9205,,61.9436,33.6866,0.809,1.587,27.225,9.5,0.07843,0.699,17.3468,470.478,46.379,1.442,42.2182,695.775,1.33436,9,0.311,2.429,0.692,3.489,48.318,3,39.9,34,5.2936,6.6,1.861,1.375,2.218,0.25086,,0,0
