Region,Country,City,Unit,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Americas,Ecuador,Quito,Count,,,229,277,,239,223,290,230,,,144,,,
Americas,Ecuador,Quito,Rate,,,11.4,13.8,,11.9,11.1,14.4,11.4,,,6.8,,,
Americas,El Salvador,San Salvador,Count,,,439,364,320,420,301,245,277,157,216,338,514,,
Americas,El Salvador,San Salvador,Rate,,,88.2,89.4,101.2,133.7,96.4,79,89.9,52.5,74.4,119.9,193,,
Americas,El Salvador,Santa Ana,Count,,,,,,,,,,,79,90,173,,
Americas,El Salvador,Santa Ana,Rate,,,,,,,,,,,31.6,36.1,64.4,,
Americas,El Salvador,Soyapango,Count,,,,,,,,,,,73,107,226,,
Americas,El Salvador,Soyapango,Rate,,,,,,,,,,,27.5,40.3,81.6,,
Americas,Grenada,St. Andrew's,Count,,,,,,,,,,,,4,2,1,
Americas,Grenada,St. Andrew's,Rate,,,,,,,,,,,,14.9,7.4,3.7,
Americas,Grenada,St. George's,Count,,,5,7,5,6,2,4,2,7,3,2,1,6,
Americas,Grenada,St. George's,Rate,,,13.3,18.6,13.3,15.9,5.3,10.5,5.2,18.2,7.8,5.2,2.6,15.4,
Americas,Grenada,St. Patrick's,Count,,,,,,,,,,,,,,0,
Americas,Grenada,St. Patrick's,Rate,,,,,,,,,,,,,,0,
Americas,Guatemala,Escuintla,Count,,,,,,,297,251,286,246,258,254,,,
Americas,Guatemala,Escuintla,Rate,,,,,,,60.8,50.1,55.6,46.7,47.8,46,,,
Americas,Guatemala,Guatemala City,Count,,"1,018","1,098","1,161","1,239","1,172","1,272","1,253","1,035",797,682,738,609,704,
Americas,Guatemala,Guatemala City,Rate,,121.4,127.9,132.2,138,127.7,129.2,126.8,104.5,80.3,68.6,74.3,57.2,64.8,
Americas,Guatemala,Peten,Count,,,,,,,325,260,195,165,166,184,,,
Americas,Guatemala,Peten,Rate,,,,,,,69.3,54.8,40.7,34.1,34,37.4,,,
Americas,Guyana,Georgetown,Count,,,,,,,,,,,,,48,,
Americas,Guyana,Georgetown,Rate,,,,,,,,,,,,,20.4,,
Americas,Haiti,Port au Prince,Count,,,,,294,162,297,495,,,,,,,
Americas,Haiti,Port au Prince,Rate,,,,,23.8,13.1,24.1,40.1,,,,,,,
Americas,Honduras,La Ceiba,Count,,,,,,,,,,,288,213,214,251,
Americas,Honduras,La Ceiba,Rate,,,,,,,,,,,142.7,115,113.4,130.7,
Americas,Honduras,San Pedro Sula,Count,,,,,,,,,,,"1,407","1,164",820,807,
Americas,Honduras,San Pedro Sula,Rate,,,,,,,,,,,186.6,169,117,113.2,
