date, pm25, pm10, o3, no2, so2, co
2021/4/10, 78, 19, 25, 23, , 
2021/4/11, 47, 15, 29, 13, , 
2021/4/12, 42, 20, 32, 19, , 
2021/4/13, 43, 26, 24, 20, , 
2021/4/14, 67, 33, 33, 28, , 
2021/4/15, 64, 34, 34, 24, , 
2021/4/16, 71, 44, 19, 26, , 
2021/4/17, 68, 28, 33, 17, , 
2021/4/18, 73, 33, 36, 18, , 
2021/4/19, 65, 42, 39, 26, , 
2021/4/20, 71, 45, 42, 35, , 
2021/4/21, 76, 53, 41, 29, , 
2021/4/22, 110, 55, 34, 23, , 
2021/4/23, 65, 50, 42, 25, , 
2021/4/24, 56, 42, 42, 23, , 
2021/4/25, 58, 61, 37, 13, , 
2021/4/26, 56, 42, 39, 21, , 
2021/4/27, 51, 48, 42, 30, , 
2021/4/28, 70, 49, 41, 35, , 
2021/4/29, 71, 40, 39, 20, , 
2021/4/30, 76, 34, 36, 25, , 
2021/5/1, 62, 28, 33, 21, , 
2021/3/2, 75, 66, 10, 43, , 
2021/3/3, 122, 67, 25, 42, , 
2021/3/4, 108, 75, 21, 21, , 
2021/3/5, 65, 26, 24, 23, , 
2021/3/6, 57, 19, 15, 14, , 
2021/3/7, 55, 24, 23, 11, , 
2021/3/8, 80, 36, 28, 16, , 
2021/3/9, 91, 33, 25, 17, , 
2021/3/10, 83, 44, 30, 29, , 
2021/3/11, 98, 17, 30, 12, , 
2021/3/12, 29, 23, 28, 17, , 
2021/3/13, 35, 12, 31, 11, , 
2021/3/14, 35, 15, 29, 7, , 
2021/3/15, 34, 20, 29, 16, , 
2021/3/16, 36, 25, 20, 19, , 
2021/3/17, 59, 24, 27, 16, , 
2021/3/18, 42, 19, 22, 22, , 
2021/3/19, 38, 22, 26, 23, , 
2021/3/20, 48, 29, 28, 19, , 
2021/3/21, 69, 26, 31, 14, , 
2021/3/22, 63, 27, 31, 20, , 
2021/3/23, 48, 43, 24, 35, , 
2021/3/24, 87, 47, 34, 34, , 
2021/3/25, 97, 33, 26, 28, , 
2021/3/26, 69, 30, 34, 26, , 
2021/3/27, 51, 18, 30, 11, , 
2021/3/28, 35, 29, 35, 23, , 
2021/3/29, 55, 41, 12, 38, , 
2021/3/30, 69, 49, 37, 38, , 
2021/3/31, 70, 63, 41, 49, , 
2021/4/1, 92, 70, 40, 48, , 
2021/2/2, 46, 17, 22, 26, , 
2021/2/3, 45, 17, 27, 25, , 
2021/2/4, 34, 29, 19, 28, , 
2021/2/5, 47, 39, 21, 36, , 
2021/2/6, 66, 20, 17, 32, , 
2021/2/7, 57, 15, 18, 12, , 
2021/2/8, 56, 41, 15, 20, , 
2021/2/9, 96, 39, 11, 22, , 
2021/2/10, 98, 33, 17, 21, , 
2021/2/11, 84, 40, 21, 30, , 
2021/2/12, 98, 37, 23, 34, , 
2021/2/13, 64, 25, 25, 30, , 
2021/2/14, 59, 22, 23, 19, , 
2021/2/15, 64, 33, 12, 26, , 
2021/2/16, 61, 21, 24, 20, , 
2021/2/17, 50, 29, 22, 31, , 
2021/2/18, 53, 29, 23, 35, , 
2021/2/19, 49, 30, 16, 36, , 
2021/2/20, 55, 36, 26, 28, , 
2021/2/21, 55, 16, 28, 13, , 
2021/2/22, 39, 44, 20, 27, , 
2021/2/23, 68, 35, 22, 12, , 
2021/2/24, 63, 54, 21, 18, , 
2021/2/25, 77, 54, 28, 18, , 
2021/2/26, 78, 18, 27, 15, , 
2021/2/27, 49, 20, 27, 23, , 
2021/2/28, 56, 32, 24, 20, , 
2021/3/1, 79, 39, 22, 32, , 
2021/1/5, 76, 35, 1, 23, , 
2021/1/6, 86, 39, , 24, , 
2021/1/7, 90, 38, 8, 30, , 
2021/1/8, 77, 40, 8, 36, , 
2021/1/9, 68, 42, 5, 32, , 
2021/1/10, 90, 40, 10, 32, , 
2021/1/11, 85, 46, 13, 34, , 
2021/1/12, 91, 18, 18, 26, 3, 
2021/1/13, 47, 18, 25, 33, , 
2021/1/14, 49, 14, 25, 24, , 
2021/1/15, 33, 44, 13, 25, , 
2021/1/16, 70, 29, 8, 25, , 
2021/1/17, 72, 24, 20, 33, , 
2021/1/18, 57, 36, 19, 35, , 
2021/1/19, 57, 22, 22, 23, , 
2021/1/20, 43, 26, 27, 24, , 
2021/1/21, 43, 19, 30, 23, , 
2021/1/22, 30, 19, 26, 34, , 
2021/1/23, 43, 9, 20, 23, , 
2021/1/24, 48, 19, 26, 28, , 
2021/1/25, 59, 17, 25, 32, , 
2021/1/26, 41, 30, 17, 32, , 
2021/1/27, 58, 26, 17, 30, , 
2021/1/28, 62, 9, 20, 22, , 
2021/1/29, 40, 22, 26, 21, , 
2021/1/30, 43, 26, 21, 33, , 
2021/1/31, 44, 21, 15, 28, , 
2021/2/1, 59, 10, 21, 30, , 
2020/10/2, 41, 18, 14, 26, 2, 
2020/10/3, 41, 18, 19, 27, , 
2020/10/4, 53, 14, 20, 18, , 
2020/10/5, 50, 7, 23, 22, , 
2020/10/6, 49, 17, 24, 19, , 
2020/10/7, 52, 18, 23, 24, , 
2020/10/8, 57, 21, 19, 21, , 
2020/10/9, 44, 17, 22, 21, , 
2020/10/10, 41, 21, 24, 28, , 
2020/10/11, 44, 16, 20, 24, , 
2020/10/12, 37, 30, 18, 33, 2, 
2020/10/13, 56, 11, 16, 13, , 
2020/10/14, 36, 14, 17, 11, , 
2020/10/15, 57, 16, 15, 9, , 
2020/10/16, 48, 17, 14, 10, , 
2020/10/17, 54, 30, 14, 25, , 
2020/10/18, 71, 31, 23, 28, , 
2020/10/19, 70, 47, 19, 33, 16, 
2020/10/20, 72, 32, 16, 30, 2, 
2020/10/21, 49, 26, 24, 25, , 
2020/10/22, 44, 38, 17, 33, , 
2020/10/23, 51, 28, 21, 32, , 
2020/10/24, 39, 16, 21, 19, , 
2020/10/25, 37, 13, 21, 22, , 
2020/10/26, 38, 21, 21, 24, , 
2020/10/27, 38, 24, 22, 22, , 
2020/10/28, 30, 23, 23, 24, , 
2020/10/29, 40, 26, 22, 29, , 
2020/10/30, 30, 26, 21, 28, , 
2020/10/31, 47, 22, 21, 24, , 
2020/11/1, 53, 9, 24, 12, , 
2020/11/2, 18, 11, 27, 9, , 
2020/11/3, 30, 21, 24, 19, , 
2020/11/4, 41, 32, 19, 27, , 
2020/11/5, 60, 29, 16, 32, , 
2020/11/6, 68, 34, 11, 26, , 
2020/11/7, 69, 38, 9, 27, , 
2020/11/8, 74, 28, 12, 21, , 
2020/11/9, 55, 38, 8, 29, , 
2020/11/10, 63, 26, 13, 33, , 
2020/11/11, 56, 20, 10, 21, , 
2020/11/12, 55, 25, 22, 30, , 
2020/11/13, 53, 30, 14, 27, , 
2020/11/14, 60, 22, 23, 17, , 
2020/11/15, 51, 18, 28, 11, , 
2020/11/16, 39, 29, 26, 25, , 
2020/11/17, 35, 30, 19, 29, , 
2020/11/18, 47, 35, 14, 26, , 
2020/11/19, 58, 23, 25, 16, , 
2020/11/20, 37, 38, 15, 34, , 
2020/11/21, 65, 32, 19, 27, , 
2020/11/22, 65, 35, 14, 29, , 
2020/11/23, 82, 42, 13, 35, , 
2020/11/24, 83, 41, 4, 32, , 
2020/11/25, 73, 46, 6, 37, , 
2020/11/26, 87, 59, 3, 43, , 
2020/11/27, 109, 56, 2, 35, , 
2020/11/28, 110, 49, 4, 32, , 
2020/11/29, 102, 34, 9, 29, , 
2020/11/30, 80, 42, 7, 24, , 
2020/12/1, 93, 32, 15, 26, , 
2020/12/2, 50, 35, 15, 28, , 
2020/12/3, 52, 22, 19, 25, , 
2020/12/4, 42, 19, 24, 28, , 
2020/12/5, 41, 14, 17, 21, , 
2020/12/6, 44, 23, 13, 25, , 
2020/12/7, 53, 36, 2, 25, , 
2020/12/8, 84, 27, 3, 19, , 
2020/12/9, 69, 31, 8, 17, , 
2020/12/10, 73, 15, 9, 10, , 
2020/12/11, 49, 9, 18, 9, , 
2020/12/12, 43, 18, 18, 13, , 
2020/12/13, 49, 12, 16, 5, 1, 
2020/12/14, 38, 10, 13, 9, , 
2020/12/15, 37, 23, 15, 27, , 
2020/12/16, 44, 25, 9, 28, , 
2020/12/17, 50, 30, 12, 33, , 
2020/12/18, 55, 28, 8, 32, , 
2020/12/19, 55, 24, 15, 29, , 
2020/12/20, 59, 25, 18, 25, , 
2020/12/21, 46, 15, 17, 21, , 
2020/12/22, 41, 14, 19, 21, , 
2020/12/23, 26, 18, 24, 22, , 
2020/12/24, 43, 17, 24, 24, , 
2020/12/25, 43, 18, 22, 25, , 
2020/12/26, 44, 24, 19, 23, , 
2020/12/27, 55, 9, 24, 15, , 
2020/12/28, 34, 13, 20, 25, , 
2020/12/29, 39, 14, 14, 22, , 
2020/12/30, 31, 20, 18, 25, , 
2020/12/31, 51, 24, 19, 32, , 
2021/1/1, 61, 39, 10, 31, , 
2021/1/2, 94, 50, 2, 35, 1, 
2021/1/3, 125, 44, 3, 26, , 
2021/1/4, 109, 34, 5, 22, , 
2020/7/2, 36, 17, 23, 23, , 
2020/7/3, 33, 22, 25, 29, , 
2020/7/4, 38, 26, 20, 20, , 
2020/7/5, 40, 11, 14, 10, , 
2020/7/6, 22, 27, 26, 22, , 
2020/7/7, 41, 34, 35, 32, , 
2020/7/8, 42, 28, 25, 27, , 
2020/7/9, 38, 35, 25, 27, , 
2020/7/10, 37, 25, 29, 21, , 
2020/7/11, 34, 30, 32, 33, , 
2020/7/12, 42, 23, 37, 22, , 
2020/7/13, 42, 24, 44, 24, , 
2020/7/14, 46, 23, 33, 21, , 
2020/7/15, 39, 24, 25, 27, , 
2020/7/16, 40, 23, 20, 23, , 
2020/7/17, 39, 29, 27, 33, , 
2020/7/18, 43, 30, 35, 27, 1, 
2020/7/19, 52, 26, 35, 27, 1, 
2020/7/20, 39, 36, 32, 28, , 
2020/7/21, 44, 36, 35, 34, , 
2020/7/22, 43, 37, 35, 34, 1, 
2020/7/23, 50, 43, 43, 47, 1, 
2020/7/24, 58, 30, 31, 31, , 
2020/7/25, 44, 25, 24, 21, 1, 
2020/7/26, 39, 11, 23, 7, , 
2020/7/27, 42, 25, 34, 16, 1, 
2020/7/28, 49, 19, 28, 13, , 
2020/7/29, 45, 23, 35, 27, , 
2020/7/30, 40, 38, 43, 49, 1, 
2020/7/31, 58, 50, 54, 48, , 
2020/8/1, 68, 23, 31, 24, , 
2020/8/2, 53, 13, 30, 18, 1, 
2020/8/3, 41, 17, 28, 26, , 
2020/8/4, 44, 22, 41, 29, , 
2020/8/5, 50, 26, 44, 38, , 
2020/8/6, 58, 36, 64, 48, 1, 
2020/8/7, 60, 40, 59, 56, , 
2020/8/8, 61, 44, 71, 60, , 
2020/8/9, 65, 41, 61, 42, , 
2020/8/10, 70, 30, 64, 46, 1, 
2020/8/11, 55, 49, 63, 57, , 
2020/8/12, 73, 36, 54, 47, , 
2020/8/13, 60, 32, 38, 32, , 
2020/8/14, 48, 21, 32, 22, , 
2020/8/15, 48, 20, 40, 29, 1, 
2020/8/16, 44, 22, 39, 33, , 
2020/8/17, 52, 24, 26, 29, 1, 
2020/8/18, 41, 22, 28, 32, , 
2020/8/19, 35, 24, 24, 30, , 
2020/8/20, 32, 24, 40, 31, , 
2020/8/21, 35, 27, 30, 27, , 
2020/8/22, 41, 24, 29, 21, , 
2020/8/23, 32, 18, 26, 21, , 
2020/8/24, 26, 34, 25, 35, , 
2020/8/25, 36, 30, 27, 25, , 
2020/8/26, 42, 27, 25, 21, , 
2020/8/27, 36, 36, 26, 32, , 
2020/8/28, 49, 20, 20, 22, , 
2020/8/29, 30, 17, 22, 21, , 
2020/8/30, 30, 16, 25, 21, , 
2020/8/31, 30, 25, 27, 32, , 
2020/9/1, 36, 29, 30, 39, , 
2020/9/2, 51, 32, 36, 34, , 
2020/9/3, 50, 37, 33, 46, , 
2020/9/4, 52, 32, 37, 32, 1, 
2020/9/5, 46, 22, 27, 25, , 
2020/9/6, 37, 19, 24, 19, , 
2020/9/7, 44, 26, 26, 25, , 
2020/9/8, 44, 33, 25, 32, , 
2020/9/9, 53, 32, 28, 26, 1, 
2020/9/10, 47, 36, 21, 27, 2, 
2020/9/11, 45, 37, 29, 36, 2, 
2020/9/12, 51, 36, 34, 38, , 
2020/9/13, 52, 40, 41, 48, , 
2020/9/14, 63, 52, 42, 62, , 
2020/9/15, 87, 68, 63, 70, 1, 
2020/9/16, 90, 51, 56, 42, 1, 
2020/9/17, 79, 41, 30, 33, 2, 
2020/9/18, 59, 40, 39, 43, 1, 
2020/9/19, 62, 45, 36, 42, , 
2020/9/20, 68, 29, 39, 37, , 
2020/9/21, 65, 43, 46, 53, 1, 
2020/9/22, 64, 46, 41, 54, , 
2020/9/23, 66, 25, 23, 27, , 
2020/9/24, 46, 17, 21, 19, , 
2020/9/25, 29, 14, 22, 15, , 
2020/9/26, 25, 20, 24, 17, , 
2020/9/27, 32, 12, 21, 9, , 
2020/9/28, 34, 17, 15, 17, , 
2020/9/29, 35, 23, 14, 23, , 
2020/9/30, 52, 24, 24, 27, , 
2020/10/1, 58, 23, 21, 27, 9, 
2020/4/2, 64, 25, 31, 16, , 
2020/4/3, 60, 26, 28, 26, , 
2020/4/4, 52, 25, 37, 12, , 
2020/4/5, 58, 18, 39, 10, , 
2020/4/6, 45, 22, 32, 14, , 
2020/4/7, 51, 28, 40, 23, , 
2020/4/8, 64, 34, 49, 39, , 
2020/4/9, 68, 31, 49, 42, 1, 
2020/4/10, 77, 33, 53, 36, , 
2020/4/11, 75, 31, 51, 34, , 
2020/4/12, 64, 28, 47, 25, , 
2020/4/13, 63, 30, 32, 13, , 
2020/4/14, 67, 27, 36, 17, , 
2020/4/15, 42, 28, 40, 25, , 
2020/4/16, 48, 31, 40, 32, , 
2020/4/17, 53, 36, 40, 32, , 
2020/4/18, 59, 14, 34, 13, , 
2020/4/19, 22, 29, 41, 12, , 
2020/4/20, 67, 39, 39, 27, , 
2020/4/21, 78, 30, 40, 26, , 
2020/4/22, 48, 32, 45, 23, , 
2020/4/23, 54, 38, 54, 34, , 
2020/4/24, 70, 39, 55, 40, , 
2020/4/25, 66, 25, 40, 17, , 
2020/4/26, 57, 27, 44, 15, , 
2020/4/27, 57, 24, 38, 23, , 
2020/4/28, 45, 16, 36, 17, , 
2020/4/29, 30, 18, 33, 19, , 
2020/4/30, 32, 16, 31, 16, , 
2020/5/1, 26, 15, 32, 8, , 
2020/5/2, 24, 19, 37, 14, , 
2020/5/3, 34, 14, 27, 14, , 
2020/5/4, 35, 15, 28, 13, , 
2020/5/5, 48, 31, 24, 21, , 
2020/5/6, 66, 28, 44, 34, , 
2020/5/7, 52, 34, 48, 44, , 
2020/5/8, 54, 32, 55, 40, , 
2020/5/9, 61, 25, 38, 32, , 
2020/5/10, 55, 18, 32, 15, , 
2020/5/11, 42, 37, 31, 15, , 
2020/5/12, 51, 32, 30, 29, , 
2020/5/13, 43, 27, 38, 32, , 
2020/5/14, 65, 28, 35, 28, , 
2020/5/15, 49, 35, 37, 33, 1, 
2020/5/16, 53, 32, 41, 34, , 
2020/5/17, 55, 18, 43, 14, , 
2020/5/18, 38, 20, 38, 11, , 
2020/5/19, 33, 19, 32, 10, , 
2020/5/20, 30, 16, 34, 12, , 
2020/5/21, 24, 22, 53, 16, , 
2020/5/22, 41, 22, 31, 19, , 
2020/5/23, 39, 30, 30, 24, , 
2020/5/24, 45, 24, 32, 18, , 
2020/5/25, 43, 34, 34, 31, , 
2020/5/26, 58, 46, 40, 37, , 
2020/5/27, 59, 39, 46, 42, , 
2020/5/28, 71, 27, 39, 29, , 
2020/5/29, 46, 32, 41, 35, , 
2020/5/30, 47, 42, 42, 42, , 
2020/5/31, 59, 26, 35, 24, , 
2020/6/1, 39, 28, 40, 29, , 
2020/6/2, 51, 46, 51, 45, , 
2020/6/3, 76, 41, 58, 34, , 
2020/6/4, 65, 26, 40, 32, 2, 
2020/6/5, 54, 20, 26, 23, , 
2020/6/6, 35, 15, 24, 21, , 
2020/6/7, 27, 17, 22, 23, , 
2020/6/8, 37, 27, 23, 30, , 
2020/6/9, 47, 26, 30, 29, , 
2020/6/10, 43, 28, 36, 20, 1, 
2020/6/11, 54, 29, 25, 27, , 
2020/6/12, 57, 15, 27, 18, , 
2020/6/13, 50, 17, 30, 17, , 
2020/6/14, 43, 20, 29, 9, , 
2020/6/15, 44, 24, 28, 10, , 
2020/6/16, 40, 26, 28, 26, , 
2020/6/17, 44, 26, 26, 32, , 
2020/6/18, 46, 26, 27, 31, , 
2020/6/19, 48, 23, 25, 25, , 
2020/6/20, 46, 14, 32, 25, , 
2020/6/21, 47, 22, 20, 18, , 
2020/6/22, 49, 31, 34, 22, , 
2020/6/23, 54, 32, 48, 39, , 
2020/6/24, 63, 31, 53, 44, , 
2020/6/25, 60, 32, 60, 47, , 
2020/6/26, 61, 41, 39, 38, , 
2020/6/27, 64, 23, 28, 20, , 
2020/6/28, 46, 18, 27, 18, , 
2020/6/29, 33, 23, 28, 24, , 
2020/6/30, 37, 26, 22, 23, , 
2020/7/1, 37, 21, 15, 17, , 
2020/1/2, 92, 24, 12, 28, , 
2020/1/3, 62, 22, 19, 25, , 
2020/1/4, 43, 25, 16, 26, , 
2020/1/5, 41, 25, 19, 32, , 
2020/1/6, 54, 33, 17, 33, , 
2020/1/7, 66, 31, 14, 29, , 
2020/1/8, 63, 25, 15, 26, , 
2020/1/9, 49, 15, 21, 22, , 
2020/1/10, 43, 20, 23, 25, , 
2020/1/11, 35, 32, 21, 36, , 
2020/1/12, 62, 26, 17, 27, , 
2020/1/13, 60, 21, 18, 29, , 
2020/1/14, 45, 19, 22, 19, , 
2020/1/15, 37, 24, 20, 30, , 
2020/1/16, 52, 35, 12, 37, , 
2020/1/17, 64, 27, 23, 29, , 
2020/1/18, 42, 27, 20, 29, , 
2020/1/19, 52, 30, 18, 29, , 
2020/1/20, 55, 40, 11, 33, , 
2020/1/21, 65, 46, 4, 34, , 
2020/1/22, 84, 49, 3, 32, , 
2020/1/23, 101, 40, 7, 31, , 
2020/1/24, 86, 59, 2, 33, 1, 
2020/1/25, 128, 68, 2, 39, 1, 
2020/1/26, 145, 51, 11, 32, , 
2020/1/27, 124, 13, 25, 25, , 
2020/1/28, 46, 13, 28, 28, , 
2020/1/29, 30, 33, 26, 32, , 
2020/1/30, 38, 22, 18, 32, , 
2020/1/31, 39, 22, 18, 30, , 
2020/2/1, 28, 18, 23, 28, , 
2020/2/2, 36, 15, 22, 27, , 
2020/2/3, 33, 27, 27, 33, , 
2020/2/4, 40, 26, 25, 28, , 
2020/2/5, 45, 40, 19, 38, , 
2020/2/6, 57, 44, 12, 40, , 
2020/2/7, 67, 45, 8, 42, , 
2020/2/8, 72, 37, 15, 37, , 
2020/2/9, 70, 20, 25, 15, , 
2020/2/10, 37, 28, 29, 22, , 
2020/2/11, 48, 21, 28, 30, , 
2020/2/12, 34, 34, 23, 38, , 
2020/2/13, 48, 28, 26, 32, , 
2020/2/14, 46, 41, 24, 39, , 
2020/2/15, 57, 35, 23, 30, , 
2020/2/16, 61, 20, 28, 14, , 
2020/2/17, 40, 20, 26, 32, , 
2020/2/18, 34, 27, 24, 30, , 
2020/2/19, 40, 27, 25, 35, , 
2020/2/20, 45, 25, 22, 29, , 
2020/2/21, 43, 32, 22, 30, , 
2020/2/22, 45, 28, 22, 26, , 
2020/2/23, 49, 14, 21, 19, , 
2020/2/24, 31, 17, 19, 23, , 
2020/2/25, 27, 20, 26, 33, , 
2020/2/26, 34, 22, 26, 34, , 
2020/2/27, 36, 22, 20, 32, , 
2020/2/28, 42, 36, 17, 39, , 
2020/2/29, 58, 37, 29, 26, , 
2020/3/1, 53, 16, 28, 28, , 
2020/3/2, 41, 17, 22, 34, , 
2020/3/3, 43, 42, 26, 47, , 
2020/3/4, 53, 28, 18, 35, , 
2020/3/5, 45, 16, 21, 30, , 
2020/3/6, 39, 27, 27, 38, , 
2020/3/7, 51, 32, 26, 41, , 
2020/3/8, 56, 19, 9, 27, , 
2020/3/9, 40, 25, 26, 33, , 
2020/3/10, 42, 16, 25, 25, , 
2020/3/11, 28, 22, 27, 23, , 
2020/3/12, 28, 27, 28, 32, , 
2020/3/13, 39, 30, 27, 24, , 
2020/3/14, 41, 24, 21, 26, , 
2020/3/15, 49, 26, 28, 27, , 
2020/3/16, 54, 27, 18, 35, , 
2020/3/17, 62, 39, 16, 33, , 
2020/3/18, 80, 45, 29, 31, , 
2020/3/19, 98, 34, 31, 25, , 
2020/3/20, 76, 42, 17, 15, , 
2020/3/21, 98, 14, 22, 10, , 
2020/3/22, 40, 14, 32, 10, , 
2020/3/23, 44, 18, 31, 17, , 
2020/3/24, 43, 20, 34, 24, , 
2020/3/25, 47, 28, 35, 23, , 
2020/3/26, 64, 29, 36, 25, , 
2020/3/27, 65, 43, 33, 26, , 
2020/3/28, 86, 57, 36, 15, , 
2020/3/29, 129, 21, 30, 6, , 
2020/3/30, 31, , , , , 
2019/10/2, 41, 21, 22, 23, , 
2019/10/3, 37, 41, 16, 42, , 
2019/10/4, 63, 33, 21, 29, , 
2019/10/5, 49, 24, 18, 32, , 
2019/10/6, 48, 19, 26, 25, , 
2019/10/7, 43, 26, 23, 24, , 
2019/10/8, 40, 16, 20, 25, , 
2019/10/9, 38, 31, 22, 23, , 
2019/10/10, 44, 31, 20, 26, , 
2019/10/11, 44, 32, 23, 33, , 
2019/10/12, 56, 35, 18, 36, , 
2019/10/13, 63, 28, 25, 25, , 
2019/10/14, 53, 34, 29, 33, 1, 
2019/10/15, 44, 9, 26, 8, , 
2019/10/16, 35, 6, 19, 4, , 
2019/10/17, 28, 19, 22, 25, , 
2019/10/18, 44, 25, 27, 30, , 
2019/10/19, 43, 31, 24, 38, , 
2019/10/20, 52, 22, 17, 34, , 
2019/10/21, 59, 24, 22, 34, , 
2019/10/22, 49, 41, 8, 37, , 
2019/10/23, 80, 36, 7, 26, , 
2019/10/24, 69, 32, 20, 28, , 
2019/10/25, 63, 17, 12, 18, , 
2019/10/26, 49, 25, 16, 31, , 
2019/10/27, 55, 22, 17, 30, , 
2019/10/28, 55, 30, 14, 30, , 
2019/10/29, 55, 34, 11, 28, , 
2019/10/30, 56, 37, 7, 25, , 
2019/10/31, 77, 39, 2, 22, , 
2019/11/1, 80, 21, 16, 26, , 
2019/11/2, 57, 17, 25, 19, , 
2019/11/3, 37, 14, 21, 29, , 
2019/11/4, 41, 22, 21, 28, , 
2019/11/5, 38, 19, 22, 19, , 
2019/11/6, 49, 13, 12, 12, , 
2019/11/7, 58, 9, 21, 7, , 
2019/11/8, 40, 19, 9, 23, , 
2019/11/9, 53, 32, 15, 30, , 
2019/11/10, 70, 25, 8, 31, , 
2019/11/11, 68, 19, 20, 28, , 
2019/11/12, 52, 22, 19, 39, , 
2019/11/13, 50, 29, 16, 32, , 
2019/11/14, 51, 25, 19, 38, , 
2019/11/15, 51, 24, 7, 35, , 
2019/11/16, 63, 20, 11, 27, , 
2019/11/17, 59, 29, 10, 32, , 
2019/11/18, 71, 29, 7, 30, , 
2019/11/19, 66, 36, 16, 39, 1, 
2019/11/20, 72, 31, 10, 33, , 
2019/11/21, 69, 32, 8, 32, , 
2019/11/22, 71, 24, 16, 33, , 
2019/11/23, 49, 20, 15, 24, , 
2019/11/24, 48, 27, 19, 29, , 
2019/11/25, 62, 24, 22, 24, , 
2019/11/26, 46, 19, 25, 26, , 
2019/11/27, 37, 12, 29, 19, , 
2019/11/28, 27, 22, 27, 26, , 
2019/11/29, 38, 25, 24, 28, , 
2019/11/30, 45, 32, 24, 33, , 
2019/12/1, 58, 25, 16, 24, , 
2019/12/2, 61, 36, 5, 31, , 
2019/12/3, 74, 38, 2, 34, , 
2019/12/4, 82, 40, 2, 36, , 
2019/12/5, 96, 42, 2, 29, , 
2019/12/6, 107, 29, 13, 30, , 
2019/12/7, 77, 23, 15, 32, , 
2019/12/8, 48, 18, 26, 22, , 
2019/12/9, 39, 19, 28, 25, , 
2019/12/10, 34, 41, 15, 36, , 
2019/12/11, 66, 26, 19, 33, , 
2019/12/12, 45, 17, 21, 33, , 
2019/12/13, 44, 22, 26, 26, , 
2019/12/14, 36, 23, 31, 27, , 
2019/12/15, 43, 20, 29, 29, , 
2019/12/16, 44, 23, 18, 39, , 
2019/12/17, 60, 28, 15, 37, , 
2019/12/18, 58, 32, 17, 31, , 
2019/12/19, 61, 37, 7, 36, , 
2019/12/20, 66, 20, 24, 32, , 
2019/12/21, 41, 22, 25, 31, , 
2019/12/22, 50, 17, 27, 24, , 
2019/12/23, 36, 22, 25, 24, , 
2019/12/24, 37, 23, 24, 26, , 
2019/12/25, 45, 20, 26, 24, , 
2019/12/26, 47, 26, 21, 34, , 
2019/12/27, 56, 18, 24, 24, , 
2019/12/28, 43, 24, 14, 31, , 
2019/12/29, 61, 40, 5, 30, , 
2019/12/30, 92, , , , , 
2019/7/2, 44, 39, 38, 35, , 
2019/7/3, 70, 43, 39, 34, , 
2019/7/4, 51, 47, 42, 36, , 
2019/7/5, 48, 46, 45, 50, , 
2019/7/6, 56, 35, 62, 43, , 
2019/7/7, 62, 26, 36, 35, , 
2019/7/8, 59, 29, 35, 33, , 
2019/7/9, 53, 37, 34, 34, , 
