"Sex";"Age";"Periods";"Total suicides (number)";"Marital status/Unmarried (number)";"Marital status/Married (number)";"Marital status/Widowed (number)";"Marital status/Divorced (number)";"Methods of suicide/Hanging/strangulation (number)";"Methods of suicide/Drugs/medicines/alcohol (number)";"Methods of suicide/Train/metro (number)";"Methods of suicide/Drowning (number)";"Methods of suicide/Jumping from height (number)";"Methods of suicide/Other method (number)";"Methods of suicide/Method unknown (number)";"Suicide motives/Mental disorder (number)";"Suicide motives/Physical disorder (number)";"Suicide motives/Domestic circumstances (number)";"Suicide motives/Other motive (number)";"Suicide motives/Motive unknown (number)";"Relative figures/Total suicides (Per 100 000 of the average population)";"Relative figures/Marital status/Unmarried (Per 100 000 of the average population)";"Relative figures/Marital status/Married (Per 100 000 of the average population)";"Relative figures/Marital status/Widowed (Per 100 000 of the average population)";"Relative figures/Marital status/Divorced (Per 100 000 of the average population)"
"Total men and women";"Total all ages";"1981";"    1431";"     441";"     638";"     215";"     137";"     526";"     247";"     146";"     228";"     114";"     170";"       0";"     641";"     146";"      62";"      81";"     501";"    10.0";"     7.1";"     9.3";"    27.9";"    38.0"
"Total men and women";"Total all ages";"1982";"    1535";"     459";"     677";"     230";"     169";"     573";"     239";"     160";"     210";"     153";"     200";"       0";"     747";"     107";"      76";"      80";"     525";"    10.7";"     7.3";"     9.8";"    29.4";"    43.0"
"Total men and women";"Total all ages";"1983";"    1720";"     494";"     782";"     237";"     207";"     627";"     273";"     191";"     239";"     169";"     221";"       0";"     811";"      69";"     161";"     155";"     524";"    12.0";"     7.9";"    11.3";"    29.9";"    48.2"
"Total men and women";"Total all ages";"1984";"    1782";"     553";"     761";"     252";"     216";"     663";"     289";"     194";"     251";"     172";"     211";"       2";"     800";"      67";"     191";"     120";"     604";"    12.4";"     8.8";"    11.1";"    31.4";"    45.9"
"Total men and women";"Total all ages";"1985";"    1638";"     557";"     641";"     212";"     228";"     663";"     246";"     182";"     185";"     153";"     209";"       0";"     578";"      79";"     175";"     110";"     696";"    11.3";"     8.8";"     9.3";"    26.1";"    44.8"
"Total men and women";"Total all ages";"1986";"    1604";"     523";"     649";"     197";"     235";"     630";"     227";"     182";"     192";"     158";"     214";"       1";"     570";"      66";"     169";"      65";"     734";"    11.0";"     8.2";"     9.4";"    23.9";"    43.5"
"Total men and women";"Total all ages";"1987";"    1616";"     558";"     627";"     205";"     226";"     655";"     230";"     189";"     166";"     136";"     238";"       2";"     535";"      73";"     123";"      93";"     792";"    11.0";"     8.7";"     9.1";"    24.6";"    40.1"
"Total men and women";"Total all ages";"1988";"    1523";"     499";"     600";"     225";"     199";"     567";"     190";"     184";"     201";"     175";"     203";"       3";"     554";"      68";"     156";"      66";"     679";"    10.3";"     7.8";"     8.7";"    26.8";"    34.0"
"Total men and women";"Total all ages";"1989";"    1520";"     572";"     544";"     184";"     220";"     573";"     197";"     222";"     167";"     170";"     191";"       0";"     696";"      74";"     191";"     127";"     432";"    10.2";"     8.9";"     7.8";"    21.7";"    36.2"
"Total men and women";"Total all ages";"1990";"    1450";"     521";"     512";"     208";"     209";"     597";"     150";"     173";"     180";"     162";"     188";"       0";"     647";"     110";"     181";"     138";"     374";"     9.7";"     8.0";"     7.3";"    24.3";"    33.4"
"Total men and women";"Total all ages";"1991";"    1611";"     591";"     568";"     215";"     237";"     587";"     187";"     181";"     167";"     167";"     320";"       2";"     758";"     118";"     188";"     124";"     423";"    10.7";"     9.0";"     8.1";"    24.9";"    36.8"
"Total men and women";"Total all ages";"1992";"    1587";"     584";"     579";"     197";"     227";"     586";"     216";"     227";"     180";"     162";"     216";"       0";"     810";"      72";"     139";"     124";"     442";"    10.5";"     8.8";"     8.2";"    22.7";"    34.1"
"Total men and women";"Total all ages";"1993";"    1555";"     585";"     540";"     176";"     254";"     612";"     229";"     200";"     139";"     154";"     220";"       1";"     815";"      55";"     173";"     134";"     378";"    10.2";"     8.8";"     7.6";"    20.1";"    36.9"
"Total men and women";"Total all ages";"1994";"    1584";"     605";"     593";"     156";"     230";"     650";"     249";"     212";"     149";"     106";"     215";"       3";"     748";"      90";"     194";"     122";"     430";"    10.3";"     9.0";"     8.4";"    17.8";"    32.1"
"Total men and women";"Total all ages";"1995";"    1511";"     599";"     524";"     139";"     249";"     628";"     241";"     186";"     126";"     131";"     198";"       1";"     580";"     148";"     179";"     191";"     413";"     9.8";"     8.9";"     7.4";"    15.9";"    33.4"
"Total men and women";"Total all ages";"1996";"    1577";"     598";"     539";"     168";"     272";"     681";"     252";"     160";"     131";"     154";"     179";"      20";"     638";"     145";"     147";"     203";"     444";"    10.2";"     8.8";"     7.6";"    19.1";"    35.0"
"Total men and women";"Total all ages";"1997";"    1570";"     614";"     512";"     167";"     277";"     680";"     253";"     167";"     132";"     131";"     195";"      12";"     679";"     118";"     157";"     162";"     454";"    10.1";"     8.9";"     7.3";"    18.9";"    34.5"
"Total men and women";"Total all ages";"1998";"    1519";"     589";"     465";"     174";"     291";"     669";"     241";"     176";"     133";"     106";"     181";"      13";"     659";"     120";"     173";"     178";"     389";"     9.7";"     8.5";"     6.6";"    19.9";"    34.7"
"Total men and women";"Total all ages";"1999";"    1517";"     607";"     487";"     151";"     272";"     648";"     260";"     164";"     121";"     134";"     185";"       5";"     721";"      92";"     154";"     155";"     395";"     9.6";"     8.7";"     6.9";"    17.3";"    31.6"
"Total men and women";"Total all ages";"2000";"    1500";"     582";"     512";"     147";"     259";"     647";"     229";"     178";"     146";"     131";"     157";"      12";"     647";"     105";"     136";"     151";"     461";"     9.4";"     8.2";"     7.2";"    16.7";"    29.6"
"Total men and women";"Total all ages";"2001";"    1473";"     569";"     496";"     135";"     273";"     608";"     236";"     189";"     117";"     137";"     179";"       7";"     651";"     111";"     134";"     143";"     434";"     9.2";"     7.9";"     7.0";"    15.3";"    30.3"
"Total men and women";"Total all ages";"2002";"    1567";"     629";"     530";"     141";"     267";"     698";"     246";"     168";"     116";"     154";"     177";"       8";"     722";"     112";"     170";"     178";"     385";"     9.7";"     8.6";"     7.5";"    16.0";"    28.8"
"Total men and women";"Total all ages";"2003";"    1500";"     563";"     491";"     146";"     300";"     686";"     228";"     163";"      97";"     155";"     161";"      10";"     699";"     105";"     137";"     133";"     426";"     9.2";"     7.7";"     7.0";"    16.6";"    31.7"
"Total men and women";"Total all ages";"2004";"    1514";"     595";"     483";"     131";"     305";"     683";"     256";"     163";"     118";"     133";"     152";"       9";"     704";"     131";"     173";"     182";"     324";"     9.3";"     8.0";"     6.9";"    14.9";"    31.6"
"Total men and women";"Total all ages";"2005";"    1572";"     641";"     499";"     128";"     304";"     713";"     260";"     177";"     118";"     126";"     174";"       4";"     668";"     132";"     184";"     179";"     409";"     9.6";"     8.6";"     7.1";"    14.6";"    30.8"
"Total men and women";"Total all ages";"2006";"    1524";"     624";"     480";"     138";"     282";"     693";"     236";"     178";"     107";"     161";"     139";"      10";"     736";"     136";"     202";"     162";"     288";"     9.3";"     8.3";"     6.9";"    15.8";"    28.0"
"Total men and women";"Total all ages";"2007";"    1353";"     547";"     428";"     117";"     261";"     577";"     243";"     188";"      86";"     114";"     134";"      11";"     636";"      95";"     177";"     172";"     273";"     8.3";"     7.2";"     6.2";"    13.4";"    25.4"
"Total men and women";"Total all ages";"2008";"    1435";"     600";"     458";"     112";"     265";"     648";"     279";"     156";"      99";"     110";"     136";"       7";"     713";"     111";"     189";"     183";"     239";"     8.7";"     7.9";"     6.6";"    12.9";"    25.3"
"Total men and women";"Total all ages";"2009";"    1525";"     613";"     488";"     122";"     302";"     677";"     259";"     187";"     104";"     123";"     169";"       6";"     750";"     109";"     172";"     152";"     342";"     9.2";"     8.0";"     7.1";"    14.1";"    27.6"
"Total men and women";"Total all ages";"2010";"    1600";"     638";"     540";"     136";"     286";"     744";"     258";"     182";"     103";"     139";"     168";"       6";"     719";"      83";"     138";"     119";"     541";"     9.6";"     8.2";"     7.9";"    15.7";"    25.1"
"Total men and women";"Total all ages";"2011";"    1647";"     690";"     524";"     129";"     304";"     741";"     303";"     205";"     106";"     133";"     159";"       0";"     797";"      95";"     151";"     160";"     444";"     9.9";"     8.8";"     7.6";"    14.9";"    26.2"
"Total men and women";"Total all ages";"2012";"    1753";"     764";"     554";"     137";"     298";"     807";"     319";"     188";"     125";"     135";"     173";"       6";"     872";"      91";"     137";"     149";"     504";"    10.5";"     9.7";"     8.1";"    15.8";"    25.2"
"Total men and women";"Total all ages";"2013";"    1857";"     737";"     627";"     149";"     344";"     926";"     305";"     187";"     105";"     136";"     189";"       9";"     890";"     108";"     140";"     135";"     584";"    11.1";"     9.3";"     9.2";"    17.3";"    28.5"
"Total men and women";"Total all ages";"2014";"    1839";"     768";"     598";"     148";"     325";"     877";"     354";"     181";"     111";"     138";"     174";"       4";"     838";"     133";"     155";"     185";"     528";"    10.9";"     9.6";"     8.8";"    17.1";"    26.3"
"Total men and women";"Total all ages";"2015";"    1871";"     770";"     553";"     161";"     387";"     859";"     378";"     207";"     112";"     123";"     187";"       5";"     941";"     126";"     149";"     159";"     496";"    11.0";"     9.5";"     8.2";"    18.7";"    30.6"
"Total men and women";"Total all ages";"2016";"    1893";"     774";"     569";"     164";"     386";"     864";"     386";"     209";"     111";"     147";"     174";"       2";"    1043";"     169";"     136";"     141";"     404";"    11.1";"     9.5";"     8.5";"    19.1";"    29.9"
"Total men and women";"Total all ages";"2017";"    1917";"     866";"     524";"     162";"     365";"     909";"     342";"     213";"     118";"     136";"     193";"       6";"    1089";"     171";"     178";"     151";"     328";"    11.2";"    10.5";"     7.8";"    18.9";"    27.8"
"Total men and women";"Total all ages";"2018";"    1829";"     798";"     544";"     140";"     347";"     833";"     350";"     186";"      97";"     163";"     191";"       9";"    1107";"     153";"     150";"     120";"     299";"    10.6";"     9.6";"     8.1";"    16.3";"    26.0"
"Total men and women";"Total all ages";"2019*";"    1811";"     820";"     526";"     161";"     304";"     856";"     315";"     188";"      90";"     139";"     215";"       8";"     970";"     157";"     179";"     194";"     311";"    10.4";"     9.7";"     7.8";"    18.7";"    22.5"
"Total men and women";"Younger than 20 years ";"1950";"      20";"      20";"       0";"       0";"       0";"      10";"       1";"";"       2";"       0";"       5";"       2";"       4";"       0";"       0";"       0";"      16";"     0.5";"     0.5";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1951";"      13";"      13";"       0";"       0";"       0";"       8";"       0";"";"       3";"       1";"       1";"       0";"       0";"       0";"       0";"       0";"      13";"     0.3";"     0.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1952";"      11";"      11";"       0";"       0";"       0";"       5";"       0";"";"       0";"       0";"       5";"       1";"       0";"       0";"       0";"       0";"      11";"     0.3";"     0.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1953";"      17";"      16";"       1";"       0";"       0";"       9";"       0";"";"       1";"       1";"       4";"       2";"       0";"       0";"       0";"       0";"      17";"     0.4";"     0.4";"    10.4";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1954";"      16";"      15";"       1";"       0";"       0";"       9";"       0";"";"       1";"       0";"       3";"       3";"       0";"       0";"       0";"       0";"      16";"     0.4";"     0.4";"    10.3";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1955";"      10";"      10";"       0";"       0";"       0";"       4";"       0";"";"       2";"       0";"       4";"       0";"       3";"       2";"       0";"       0";"       5";"     0.2";"     0.2";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1956";"      14";"      14";"       0";"       0";"       0";"       5";"       1";"";"       1";"       0";"       6";"       1";"       0";"       0";"       0";"       0";"      14";"     0.3";"     0.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1957";"      11";"      11";"       0";"       0";"       0";"       9";"       0";"";"       0";"       0";"       2";"       0";"       4";"       0";"       0";"       0";"       7";"     0.3";"     0.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1958";"      15";"      15";"       0";"       0";"       0";"       5";"       0";"";"       2";"       0";"       6";"       2";"       0";"       0";"       0";"       0";"      15";"     0.4";"     0.4";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1959";"      21";"      21";"       0";"       0";"       0";"       8";"       1";"";"       2";"       0";"       9";"       1";"       0";"       0";"       0";"       0";"      21";"     0.5";"     0.5";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1960";"      17";"      16";"       1";"       0";"       0";"       6";"       1";"";"       3";"       0";"       6";"       1";"       0";"       0";"       0";"       0";"      17";"     0.4";"     0.4";"     7.1";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1961";"      13";"      13";"       0";"       0";"       0";"       6";"       2";"";"       0";"       2";"       2";"       1";"       0";"       0";"       0";"       0";"      13";"     0.3";"     0.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1962";"      25";"      25";"       0";"       0";"       0";"      12";"       5";"";"       2";"       0";"       5";"       1";"       4";"       0";"       3";"       1";"      17";"     0.6";"     0.6";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1963";"      28";"      27";"       1";"       0";"       0";"      10";"       4";"";"       3";"       0";"       8";"       3";"       0";"       0";"       0";"       0";"      28";"     0.6";"     0.6";"     5.2";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1964";"      31";"      30";"       1";"       0";"       0";"       8";"       4";"";"       2";"       1";"      12";"       4";"       0";"       0";"       0";"       0";"      31";"     0.7";"     0.7";"     4.7";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1965";"      19";"      19";"       0";"       0";"       0";"       4";"       3";"";"       5";"       0";"       6";"       1";"       5";"       0";"       2";"       0";"      12";"     0.4";"     0.4";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1966";"      32";"      32";"       0";"       0";"       0";"      15";"       1";"";"       3";"       2";"       6";"       5";"       0";"       0";"       0";"       0";"      32";"     0.7";"     0.7";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1967";"      30";"      30";"       0";"       0";"       0";"      18";"       1";"";"       3";"       2";"       4";"       2";"      10";"       1";"       2";"       0";"      17";"     0.6";"     0.6";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1968";"      24";"      24";"       0";"       0";"       0";"       8";"       5";"";"       1";"       1";"       8";"       1";"       0";"       0";"       0";"       0";"      24";"     0.5";"     0.5";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1969";"      32";"      31";"       1";"       0";"       0";"      13";"      10";"";"       1";"       2";"       6";"       0";"       9";"       3";"       4";"       0";"      16";"     0.7";"     0.7";"     3.6";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1970";"      36";"      36";"       0";"       0";"       0";"      18";"       9";"";"       3";"       1";"       5";"       0";"      15";"       0";"       2";"       1";"      18";"     0.8";"     0.8";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1971";"      38";"      37";"       0";"       0";"       1";"      13";"      10";"";"       4";"       2";"       9";"       0";"      14";"       0";"       2";"       3";"      19";"     0.8";"     0.8";"     0.0";"     0.0";"   729.9"
"Total men and women";"Younger than 20 years ";"1972";"      31";"      31";"       0";"       0";"       0";"      12";"       6";"";"       0";"       7";"       6";"       0";"      17";"       0";"       0";"       1";"      13";"     0.7";"     0.7";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1973";"      43";"      43";"       0";"       0";"       0";"      20";"       9";"";"       2";"       4";"       8";"       0";"      16";"       1";"       0";"       2";"      24";"     0.9";"     0.9";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1974";"      55";"      55";"       0";"       0";"       0";"      28";"      10";"";"       1";"       8";"       8";"       0";"      20";"       0";"       3";"       4";"      28";"     1.2";"     1.2";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1975";"      45";"      45";"       0";"       0";"       0";"      20";"       7";"";"       1";"       6";"      11";"       0";"      21";"       0";"       1";"       2";"      21";"     1.0";"     1.0";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1976";"      32";"      32";"       0";"       0";"       0";"      14";"       9";"";"       0";"       4";"       5";"       0";"       9";"       0";"       0";"       0";"      23";"     0.7";"     0.7";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1977";"      39";"      39";"       0";"       0";"       0";"      23";"       1";"";"       2";"       4";"       9";"       0";"      15";"       0";"       1";"       0";"      23";"     0.9";"     0.9";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1978";"      41";"      40";"       1";"       0";"       0";"      20";"       7";"";"       0";"       1";"      13";"       0";"      14";"       1";"       4";"       0";"      22";"     0.9";"     0.9";"     4.6";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1979";"      35";"      34";"       1";"       0";"       0";"      15";"      10";"       3";"       0";"       5";"       2";"       0";"       8";"       1";"       3";"       1";"      22";"     0.8";"     0.8";"     5.2";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1980";"      31";"      31";"       0";"       0";"       0";"      17";"       5";"       2";"       1";"       5";"       1";"       0";"      14";"       0";"       0";"       1";"      16";"     0.7";"     0.7";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1981";"      37";"      37";"       0";"       0";"       0";"      19";"       3";"       7";"       3";"       2";"       3";"       0";"       5";"       1";"       3";"       2";"      26";"     0.8";"     0.9";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1982";"      58";"      58";"       0";"       0";"       0";"      27";"       6";"       4";"       1";"       9";"      11";"       0";"      21";"       0";"       3";"       3";"      31";"     1.4";"     1.4";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1983";"      38";"      38";"       0";"       0";"       0";"      22";"       5";"       6";"       1";"       3";"       1";"       0";"      10";"       1";"       6";"       1";"      20";"     0.9";"     0.9";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1984";"      42";"      42";"       0";"       0";"       0";"      21";"       2";"       8";"       0";"       7";"       4";"       0";"      14";"       0";"       9";"       0";"      19";"     1.0";"     1.0";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1985";"      51";"      51";"       0";"       0";"       0";"      24";"       8";"      12";"       1";"       4";"       2";"       0";"      11";"       1";"       4";"       1";"      34";"     1.3";"     1.3";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1986";"      37";"      37";"       0";"       0";"       0";"      16";"       0";"      11";"       0";"       7";"       3";"       0";"      12";"       0";"       5";"       0";"      20";"     0.9";"     0.9";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1987";"      45";"      45";"       0";"       0";"       0";"      17";"       3";"      11";"       0";"      10";"       4";"       0";"      10";"       1";"       6";"       3";"      25";"     1.1";"     1.1";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1988";"      35";"      35";"       0";"       0";"       0";"      22";"       1";"       4";"       1";"       4";"       3";"       0";"      12";"       0";"       5";"       2";"      16";"     0.9";"     0.9";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1989";"      47";"      47";"       0";"       0";"       0";"      20";"       2";"       9";"       0";"       8";"       8";"       0";"      11";"       0";"      11";"       3";"      22";"     1.2";"     1.2";"     0.0";"     0.0";"     0.0"
"Total men and women";"Younger than 20 years ";"1990";"      54";"      53";"       1";"       0";"       0";"      24";"       2";"      13";"       0";"      10";"       5";"       0";"      20";"       2";"      11";"       3";"      18";"     1.4";"     1.4";"    10.4";"     0.0";"     0.0"
