"Region","Country","City","Month","Day","Year","AvgTemperature","DATE"
"Africa","Kenya","Nairobi",3,30,1995,72,"1995-03-30"
"Africa","Kenya","Nairobi",3,31,1995,72.2,"1995-03-31"
"Africa","Kenya","Nairobi",4,1,1995,67.7,"1995-04-01"
"Africa","Kenya","Nairobi",4,2,1995,73.9,"1995-04-02"
"Africa","Kenya","Nairobi",4,3,1995,73.8,"1995-04-03"
"Africa","Kenya","Nairobi",4,4,1995,73.2,"1995-04-04"
"Africa","Kenya","Nairobi",4,5,1995,65.4,"1995-04-05"
"Africa","Kenya","Nairobi",4,6,1995,70.1,"1995-04-06"
"Africa","Kenya","Nairobi",4,7,1995,70.2,"1995-04-07"
"Africa","Kenya","Nairobi",4,8,1995,68.2,"1995-04-08"
"Africa","Kenya","Nairobi",4,9,1995,71.3,"1995-04-09"
"Africa","Kenya","Nairobi",4,10,1995,70.8,"1995-04-10"
"Africa","Kenya","Nairobi",4,12,1995,68.2,"1995-04-12"
"Africa","Kenya","Nairobi",4,13,1995,68.4,"1995-04-13"
"Africa","Kenya","Nairobi",4,14,1995,72.4,"1995-04-14"
"Africa","Kenya","Nairobi",4,17,1995,71.3,"1995-04-17"
"Africa","Kenya","Nairobi",4,18,1995,65.6,"1995-04-18"
"Africa","Kenya","Nairobi",4,19,1995,69.6,"1995-04-19"
"Africa","Kenya","Nairobi",4,20,1995,69.2,"1995-04-20"
"Africa","Kenya","Nairobi",4,21,1995,70.8,"1995-04-21"
"Africa","Kenya","Nairobi",4,22,1995,71.2,"1995-04-22"
"Africa","Kenya","Nairobi",4,23,1995,70.1,"1995-04-23"
"Africa","Kenya","Nairobi",4,24,1995,76.9,"1995-04-24"
"Africa","Kenya","Nairobi",4,25,1995,73.9,"1995-04-25"
"Africa","Kenya","Nairobi",4,26,1995,73.1,"1995-04-26"
"Africa","Kenya","Nairobi",4,27,1995,71.5,"1995-04-27"
"Africa","Kenya","Nairobi",4,28,1995,67.6,"1995-04-28"
"Africa","Kenya","Nairobi",4,29,1995,66.3,"1995-04-29"
"Africa","Kenya","Nairobi",4,30,1995,71.6,"1995-04-30"
"Africa","Kenya","Nairobi",5,1,1995,67.9,"1995-05-01"
"Africa","Kenya","Nairobi",5,2,1995,65.1,"1995-05-02"
"Africa","Kenya","Nairobi",5,3,1995,66.8,"1995-05-03"
"Africa","Kenya","Nairobi",5,6,1995,70.6,"1995-05-06"
"Africa","Kenya","Nairobi",5,7,1995,67,"1995-05-07"
"Africa","Kenya","Nairobi",5,8,1995,72.3,"1995-05-08"
"Africa","Kenya","Nairobi",5,10,1995,71.6,"1995-05-10"
"Africa","Kenya","Nairobi",5,12,1995,67.3,"1995-05-12"
"Africa","Kenya","Nairobi",5,13,1995,68.5,"1995-05-13"
"Africa","Kenya","Nairobi",5,14,1995,66.2,"1995-05-14"
"Africa","Kenya","Nairobi",5,15,1995,70.3,"1995-05-15"
"Africa","Kenya","Nairobi",5,17,1995,71.4,"1995-05-17"
"Africa","Kenya","Nairobi",5,18,1995,65.5,"1995-05-18"
"Africa","Kenya","Nairobi",5,19,1995,67.8,"1995-05-19"
"Africa","Kenya","Nairobi",5,20,1995,68,"1995-05-20"
"Africa","Kenya","Nairobi",5,21,1995,69.8,"1995-05-21"
"Africa","Kenya","Nairobi",5,22,1995,68,"1995-05-22"
"Africa","Kenya","Nairobi",5,23,1995,69.6,"1995-05-23"
"Africa","Kenya","Nairobi",5,24,1995,68,"1995-05-24"
"Africa","Kenya","Nairobi",5,25,1995,69.8,"1995-05-25"
"Africa","Kenya","Nairobi",5,26,1995,65.5,"1995-05-26"
"Africa","Kenya","Nairobi",5,27,1995,69.7,"1995-05-27"
"Africa","Kenya","Nairobi",5,28,1995,65.8,"1995-05-28"
"Africa","Kenya","Nairobi",5,29,1995,64.4,"1995-05-29"
"Africa","Kenya","Nairobi",5,31,1995,66.4,"1995-05-31"
"Africa","Kenya","Nairobi",6,1,1995,68.9,"1995-06-01"
"Africa","Kenya","Nairobi",6,2,1995,68.9,"1995-06-02"
"Africa","Kenya","Nairobi",6,3,1995,67,"1995-06-03"
"Africa","Kenya","Nairobi",6,4,1995,67.1,"1995-06-04"
"Africa","Kenya","Nairobi",6,5,1995,71,"1995-06-05"
"Africa","Kenya","Nairobi",6,6,1995,68.6,"1995-06-06"
"Africa","Kenya","Nairobi",6,7,1995,68,"1995-06-07"
"Africa","Kenya","Nairobi",6,8,1995,68.3,"1995-06-08"
"Africa","Kenya","Nairobi",6,9,1995,67.9,"1995-06-09"
"Africa","Kenya","Nairobi",6,10,1995,70.6,"1995-06-10"
"Africa","Kenya","Nairobi",6,11,1995,69.8,"1995-06-11"
"Africa","Kenya","Nairobi",6,12,1995,70.4,"1995-06-12"
"Africa","Kenya","Nairobi",6,13,1995,68,"1995-06-13"
"Africa","Kenya","Nairobi",6,14,1995,68.9,"1995-06-14"
"Africa","Kenya","Nairobi",6,15,1995,69.2,"1995-06-15"
"Africa","Kenya","Nairobi",6,16,1995,69.5,"1995-06-16"
"Africa","Kenya","Nairobi",6,17,1995,65.3,"1995-06-17"
"Africa","Kenya","Nairobi",6,18,1995,66.3,"1995-06-18"
"Africa","Kenya","Nairobi",6,19,1995,66.5,"1995-06-19"
"Africa","Kenya","Nairobi",6,20,1995,69.8,"1995-06-20"
"Africa","Kenya","Nairobi",6,21,1995,69.6,"1995-06-21"
"Africa","Kenya","Nairobi",6,22,1995,68.4,"1995-06-22"
"Africa","Kenya","Nairobi",6,23,1995,69.2,"1995-06-23"
"Africa","Kenya","Nairobi",6,24,1995,63.7,"1995-06-24"
"Africa","Kenya","Nairobi",6,25,1995,61.1,"1995-06-25"
"Africa","Kenya","Nairobi",6,26,1995,64.9,"1995-06-26"
"Africa","Kenya","Nairobi",6,27,1995,64.5,"1995-06-27"
"Africa","Kenya","Nairobi",6,28,1995,61.1,"1995-06-28"
"Africa","Kenya","Nairobi",6,29,1995,66.9,"1995-06-29"
"Africa","Kenya","Nairobi",6,30,1995,67.4,"1995-06-30"
"Africa","Kenya","Nairobi",7,2,1995,65.7,"1995-07-02"
"Africa","Kenya","Nairobi",7,3,1995,65.2,"1995-07-03"
"Africa","Kenya","Nairobi",7,4,1995,63.6,"1995-07-04"
"Africa","Kenya","Nairobi",7,6,1995,63.6,"1995-07-06"
"Africa","Kenya","Nairobi",7,7,1995,66.7,"1995-07-07"
"Africa","Kenya","Nairobi",7,8,1995,62.4,"1995-07-08"
"Africa","Kenya","Nairobi",7,9,1995,63.2,"1995-07-09"
"Africa","Kenya","Nairobi",7,10,1995,68.3,"1995-07-10"
"Africa","Kenya","Nairobi",7,11,1995,66.9,"1995-07-11"
"Africa","Kenya","Nairobi",7,12,1995,60.7,"1995-07-12"
"Africa","Kenya","Nairobi",7,13,1995,61.8,"1995-07-13"
"Africa","Kenya","Nairobi",7,14,1995,62.8,"1995-07-14"
"Africa","Kenya","Nairobi",7,15,1995,65.1,"1995-07-15"
"Africa","Kenya","Nairobi",7,16,1995,59.7,"1995-07-16"
"Africa","Kenya","Nairobi",7,17,1995,63,"1995-07-17"
"Africa","Kenya","Nairobi",7,18,1995,63.7,"1995-07-18"
"Africa","Kenya","Nairobi",7,19,1995,67.1,"1995-07-19"
"Africa","Kenya","Nairobi",7,20,1995,66.2,"1995-07-20"
"Africa","Kenya","Nairobi",7,21,1995,63.1,"1995-07-21"
"Africa","Kenya","Nairobi",7,22,1995,63.2,"1995-07-22"
"Africa","Kenya","Nairobi",7,23,1995,66.6,"1995-07-23"
"Africa","Kenya","Nairobi",7,24,1995,61.5,"1995-07-24"
"Africa","Kenya","Nairobi",7,25,1995,60.3,"1995-07-25"
"Africa","Kenya","Nairobi",7,26,1995,64.6,"1995-07-26"
"Africa","Kenya","Nairobi",7,27,1995,62.4,"1995-07-27"
"Africa","Kenya","Nairobi",7,28,1995,64.2,"1995-07-28"
"Africa","Kenya","Nairobi",7,29,1995,64.6,"1995-07-29"
"Africa","Kenya","Nairobi",7,30,1995,65.8,"1995-07-30"
"Africa","Kenya","Nairobi",7,31,1995,64.5,"1995-07-31"
"Africa","Kenya","Nairobi",8,1,1995,62.8,"1995-08-01"
"Africa","Kenya","Nairobi",8,2,1995,67.3,"1995-08-02"
"Africa","Kenya","Nairobi",8,3,1995,67.1,"1995-08-03"
"Africa","Kenya","Nairobi",8,4,1995,67.6,"1995-08-04"
"Africa","Kenya","Nairobi",8,5,1995,63.6,"1995-08-05"
"Africa","Kenya","Nairobi",8,6,1995,72.3,"1995-08-06"
"Africa","Kenya","Nairobi",8,7,1995,65.3,"1995-08-07"
"Africa","Kenya","Nairobi",8,8,1995,68.2,"1995-08-08"
"Africa","Kenya","Nairobi",8,9,1995,59.4,"1995-08-09"
"Africa","Kenya","Nairobi",8,10,1995,63.8,"1995-08-10"
"Africa","Kenya","Nairobi",8,11,1995,72.6,"1995-08-11"
"Africa","Kenya","Nairobi",8,12,1995,60.7,"1995-08-12"
"Africa","Kenya","Nairobi",8,13,1995,62.3,"1995-08-13"
"Africa","Kenya","Nairobi",8,14,1995,62.4,"1995-08-14"
"Africa","Kenya","Nairobi",8,15,1995,62.2,"1995-08-15"
"Africa","Kenya","Nairobi",8,16,1995,61.2,"1995-08-16"
"Africa","Kenya","Nairobi",8,17,1995,59.7,"1995-08-17"
"Africa","Kenya","Nairobi",8,18,1995,67.7,"1995-08-18"
"Africa","Kenya","Nairobi",8,19,1995,69.7,"1995-08-19"
"Africa","Kenya","Nairobi",8,20,1995,67.4,"1995-08-20"
"Africa","Kenya","Nairobi",8,21,1995,61.8,"1995-08-21"
"Africa","Kenya","Nairobi",8,22,1995,67.1,"1995-08-22"
"Africa","Kenya","Nairobi",8,23,1995,69.7,"1995-08-23"
"Africa","Kenya","Nairobi",8,24,1995,75,"1995-08-24"
"Africa","Kenya","Nairobi",8,25,1995,71.6,"1995-08-25"
"Africa","Kenya","Nairobi",8,26,1995,68.4,"1995-08-26"
"Africa","Kenya","Nairobi",8,27,1995,65.7,"1995-08-27"
"Africa","Kenya","Nairobi",8,28,1995,62,"1995-08-28"
"Africa","Kenya","Nairobi",8,29,1995,72.3,"1995-08-29"
"Africa","Kenya","Nairobi",8,30,1995,66.5,"1995-08-30"
"Africa","Kenya","Nairobi",8,31,1995,66.1,"1995-08-31"
"Africa","Kenya","Nairobi",9,1,1995,70.3,"1995-09-01"
"Africa","Kenya","Nairobi",9,2,1995,73.2,"1995-09-02"
"Africa","Kenya","Nairobi",9,3,1995,68.6,"1995-09-03"
"Africa","Kenya","Nairobi",9,4,1995,59.8,"1995-09-04"
"Africa","Kenya","Nairobi",9,5,1995,64.3,"1995-09-05"
"Africa","Kenya","Nairobi",9,6,1995,66,"1995-09-06"
"Africa","Kenya","Nairobi",9,8,1995,62.5,"1995-09-08"
"Africa","Kenya","Nairobi",9,10,1995,61.7,"1995-09-10"
"Africa","Kenya","Nairobi",9,11,1995,63.8,"1995-09-11"
"Africa","Kenya","Nairobi",9,12,1995,67.8,"1995-09-12"
"Africa","Kenya","Nairobi",9,16,1995,68.8,"1995-09-16"
"Africa","Kenya","Nairobi",9,18,1995,75.3,"1995-09-18"
"Africa","Kenya","Nairobi",9,19,1995,69,"1995-09-19"
"Africa","Kenya","Nairobi",9,20,1995,69,"1995-09-20"
"Africa","Kenya","Nairobi",9,21,1995,68.9,"1995-09-21"
"Africa","Kenya","Nairobi",9,22,1995,72.3,"1995-09-22"
"Africa","Kenya","Nairobi",9,23,1995,71.7,"1995-09-23"
"Africa","Kenya","Nairobi",9,24,1995,70.6,"1995-09-24"
"Africa","Kenya","Nairobi",9,25,1995,73.1,"1995-09-25"
"Africa","Kenya","Nairobi",9,26,1995,72.6,"1995-09-26"
"Africa","Kenya","Nairobi",9,27,1995,67.8,"1995-09-27"
"Africa","Kenya","Nairobi",9,28,1995,72.4,"1995-09-28"
"Africa","Kenya","Nairobi",9,29,1995,71.6,"1995-09-29"
"Africa","Kenya","Nairobi",9,30,1995,68.9,"1995-09-30"
"Africa","Kenya","Nairobi",10,1,1995,63.6,"1995-10-01"
"Africa","Kenya","Nairobi",10,3,1995,62.9,"1995-10-03"
"Africa","Kenya","Nairobi",10,7,1995,63.2,"1995-10-07"
"Africa","Kenya","Nairobi",10,8,1995,68.3,"1995-10-08"
"Africa","Kenya","Nairobi",10,9,1995,71.5,"1995-10-09"
"Africa","Kenya","Nairobi",10,10,1995,69.6,"1995-10-10"
"Africa","Kenya","Nairobi",10,11,1995,73.1,"1995-10-11"
"Africa","Kenya","Nairobi",10,12,1995,72.4,"1995-10-12"
"Africa","Kenya","Nairobi",10,14,1995,66.7,"1995-10-14"
"Africa","Kenya","Nairobi",10,17,1995,71,"1995-10-17"
"Africa","Kenya","Nairobi",10,18,1995,75.5,"1995-10-18"
"Africa","Kenya","Nairobi",10,19,1995,74.1,"1995-10-19"
"Africa","Kenya","Nairobi",10,20,1995,73.1,"1995-10-20"
"Africa","Kenya","Nairobi",10,21,1995,74.7,"1995-10-21"
"Africa","Kenya","Nairobi",10,22,1995,71.3,"1995-10-22"
"Africa","Kenya","Nairobi",10,23,1995,67.6,"1995-10-23"
"Africa","Kenya","Nairobi",10,24,1995,71.2,"1995-10-24"
"Africa","Kenya","Nairobi",10,25,1995,68.3,"1995-10-25"
"Africa","Kenya","Nairobi",10,26,1995,66.7,"1995-10-26"
"Africa","Kenya","Nairobi",10,27,1995,72.1,"1995-10-27"
"Africa","Kenya","Nairobi",10,28,1995,70.3,"1995-10-28"
"Africa","Kenya","Nairobi",10,29,1995,69.8,"1995-10-29"
"Africa","Kenya","Nairobi",10,30,1995,70.4,"1995-10-30"
"Africa","Kenya","Nairobi",10,31,1995,68.9,"1995-10-31"
"Africa","Kenya","Nairobi",11,1,1995,71.5,"1995-11-01"
"Africa","Kenya","Nairobi",11,2,1995,71.6,"1995-11-02"
"Africa","Kenya","Nairobi",11,3,1995,63.9,"1995-11-03"
"Africa","Kenya","Nairobi",11,4,1995,70.7,"1995-11-04"
"Africa","Kenya","Nairobi",11,6,1995,71.9,"1995-11-06"
"Africa","Kenya","Nairobi",11,7,1995,73.2,"1995-11-07"
"Africa","Kenya","Nairobi",11,8,1995,75.3,"1995-11-08"
"Africa","Kenya","Nairobi",11,9,1995,73.2,"1995-11-09"
"Africa","Kenya","Nairobi",11,11,1995,69.3,"1995-11-11"
"Africa","Kenya","Nairobi",11,15,1995,62.4,"1995-11-15"
"Africa","Kenya","Nairobi",11,16,1995,71.3,"1995-11-16"
"Africa","Kenya","Nairobi",11,17,1995,74.4,"1995-11-17"
"Africa","Kenya","Nairobi",11,18,1995,72.6,"1995-11-18"
"Africa","Kenya","Nairobi",11,19,1995,72.8,"1995-11-19"
"Africa","Kenya","Nairobi",11,21,1995,72.1,"1995-11-21"
"Africa","Kenya","Nairobi",11,22,1995,71.9,"1995-11-22"
"Africa","Kenya","Nairobi",11,25,1995,66.9,"1995-11-25"
"Africa","Kenya","Nairobi",11,26,1995,66.1,"1995-11-26"
"Africa","Kenya","Nairobi",11,28,1995,72.3,"1995-11-28"
"Africa","Kenya","Nairobi",11,29,1995,67.8,"1995-11-29"
"Africa","Kenya","Nairobi",11,30,1995,66.6,"1995-11-30"
"Africa","Kenya","Nairobi",12,2,1995,69.2,"1995-12-02"
"Africa","Kenya","Nairobi",12,3,1995,61.8,"1995-12-03"
"Africa","Kenya","Nairobi",12,4,1995,67.8,"1995-12-04"
"Africa","Kenya","Nairobi",12,5,1995,68.5,"1995-12-05"
"Africa","Kenya","Nairobi",12,10,1995,67.1,"1995-12-10"
"Africa","Kenya","Nairobi",12,11,1995,67.1,"1995-12-11"
"Africa","Kenya","Nairobi",12,12,1995,71.7,"1995-12-12"
"Africa","Kenya","Nairobi",12,14,1995,68.2,"1995-12-14"
"Africa","Kenya","Nairobi",12,15,1995,69.5,"1995-12-15"
"Africa","Kenya","Nairobi",12,16,1995,68.9,"1995-12-16"
"Africa","Kenya","Nairobi",12,17,1995,68.4,"1995-12-17"
"Africa","Kenya","Nairobi",12,21,1995,71.6,"1995-12-21"
"Africa","Kenya","Nairobi",12,22,1995,75.2,"1995-12-22"
"Africa","Kenya","Nairobi",12,23,1995,67.3,"1995-12-23"
"Africa","Kenya","Nairobi",12,26,1995,68.8,"1995-12-26"
"Africa","Kenya","Nairobi",12,28,1995,66.9,"1995-12-28"
"Africa","Kenya","Nairobi",12,30,1995,71.4,"1995-12-30"
"Africa","Kenya","Nairobi",1,1,1996,72.2,"1996-01-01"
"Africa","Kenya","Nairobi",1,2,1996,72.2,"1996-01-02"
"Africa","Kenya","Nairobi",1,3,1996,70.7,"1996-01-03"
"Africa","Kenya","Nairobi",1,4,1996,75.9,"1996-01-04"
"Africa","Kenya","Nairobi",1,6,1996,70.2,"1996-01-06"
"Africa","Kenya","Nairobi",1,10,1996,74.6,"1996-01-10"
"Africa","Kenya","Nairobi",1,12,1996,76.1,"1996-01-12"
"Africa","Kenya","Nairobi",1,13,1996,68.8,"1996-01-13"
"Africa","Kenya","Nairobi",1,14,1996,70.5,"1996-01-14"
"Africa","Kenya","Nairobi",1,15,1996,71.5,"1996-01-15"
"Africa","Kenya","Nairobi",1,16,1996,73,"1996-01-16"
"Africa","Kenya","Nairobi",1,17,1996,71.1,"1996-01-17"
"Africa","Kenya","Nairobi",1,18,1996,69.5,"1996-01-18"
"Africa","Kenya","Nairobi",1,19,1996,72.7,"1996-01-19"
"Africa","Kenya","Nairobi",1,20,1996,76.1,"1996-01-20"
"Africa","Kenya","Nairobi",1,21,1996,67.1,"1996-01-21"
"Africa","Kenya","Nairobi",1,22,1996,71.3,"1996-01-22"
"Africa","Kenya","Nairobi",1,23,1996,72.3,"1996-01-23"
"Africa","Kenya","Nairobi",1,24,1996,70.3,"1996-01-24"
"Africa","Kenya","Nairobi",1,25,1996,71.6,"1996-01-25"
"Africa","Kenya","Nairobi",1,26,1996,72.7,"1996-01-26"
"Africa","Kenya","Nairobi",1,27,1996,70.8,"1996-01-27"
"Africa","Kenya","Nairobi",1,28,1996,72.8,"1996-01-28"
"Africa","Kenya","Nairobi",1,29,1996,71.4,"1996-01-29"
"Africa","Kenya","Nairobi",1,30,1996,72,"1996-01-30"
"Africa","Kenya","Nairobi",1,31,1996,76.7,"1996-01-31"
"Africa","Kenya","Nairobi",2,1,1996,71,"1996-02-01"
"Africa","Kenya","Nairobi",2,3,1996,74.9,"1996-02-03"
"Africa","Kenya","Nairobi",2,4,1996,71.9,"1996-02-04"
"Africa","Kenya","Nairobi",2,5,1996,82.3,"1996-02-05"
"Africa","Kenya","Nairobi",2,6,1996,69.9,"1996-02-06"
"Africa","Kenya","Nairobi",2,7,1996,72.6,"1996-02-07"
"Africa","Kenya","Nairobi",2,8,1996,64.8,"1996-02-08"
"Africa","Kenya","Nairobi",2,10,1996,70.1,"1996-02-10"
"Africa","Kenya","Nairobi",2,11,1996,77.1,"1996-02-11"
"Africa","Kenya","Nairobi",2,12,1996,72,"1996-02-12"
"Africa","Kenya","Nairobi",2,13,1996,72.9,"1996-02-13"
"Africa","Kenya","Nairobi",2,14,1996,74.7,"1996-02-14"
"Africa","Kenya","Nairobi",2,15,1996,75.9,"1996-02-15"
"Africa","Kenya","Nairobi",2,16,1996,72.9,"1996-02-16"
"Africa","Kenya","Nairobi",2,18,1996,71.4,"1996-02-18"
"Africa","Kenya","Nairobi",2,19,1996,75.6,"1996-02-19"
"Africa","Kenya","Nairobi",2,20,1996,74.5,"1996-02-20"
"Africa","Kenya","Nairobi",2,21,1996,74,"1996-02-21"
"Africa","Kenya","Nairobi",2,22,1996,76.4,"1996-02-22"
"Africa","Kenya","Nairobi",2,23,1996,75.1,"1996-02-23"
"Africa","Kenya","Nairobi",2,24,1996,75,"1996-02-24"
"Africa","Kenya","Nairobi",2,25,1996,75,"1996-02-25"
"Africa","Kenya","Nairobi",2,26,1996,72.1,"1996-02-26"
"Africa","Kenya","Nairobi",2,27,1996,71.9,"1996-02-27"
"Africa","Kenya","Nairobi",2,28,1996,71.7,"1996-02-28"
"Africa","Kenya","Nairobi",2,29,1996,71.6,"1996-02-29"
"Africa","Kenya","Nairobi",3,1,1996,70.8,"1996-03-01"
"Africa","Kenya","Nairobi",3,4,1996,69.2,"1996-03-04"
"Africa","Kenya","Nairobi",3,5,1996,72,"1996-03-05"
"Africa","Kenya","Nairobi",3,6,1996,76.7,"1996-03-06"
"Africa","Kenya","Nairobi",3,9,1996,72,"1996-03-09"
"Africa","Kenya","Nairobi",3,10,1996,77.1,"1996-03-10"
"Africa","Kenya","Nairobi",3,12,1996,74,"1996-03-12"
"Africa","Kenya","Nairobi",3,13,1996,73.8,"1996-03-13"
"Africa","Kenya","Nairobi",3,15,1996,75.3,"1996-03-15"
"Africa","Kenya","Nairobi",3,16,1996,80.4,"1996-03-16"
"Africa","Kenya","Nairobi",3,17,1996,73.2,"1996-03-17"
"Africa","Kenya","Nairobi",3,18,1996,77.4,"1996-03-18"
"Africa","Kenya","Nairobi",3,19,1996,75.7,"1996-03-19"
"Africa","Kenya","Nairobi",3,20,1996,72.5,"1996-03-20"
"Africa","Kenya","Nairobi",3,21,1996,75.2,"1996-03-21"
"Africa","Kenya","Nairobi",3,22,1996,69.5,"1996-03-22"
"Africa","Kenya","Nairobi",3,23,1996,71.5,"1996-03-23"
"Africa","Kenya","Nairobi",3,24,1996,72.9,"1996-03-24"
"Africa","Kenya","Nairobi",3,25,1996,75.7,"1996-03-25"
"Africa","Kenya","Nairobi",3,26,1996,78.2,"1996-03-26"
"Africa","Kenya","Nairobi",3,27,1996,68.8,"1996-03-27"
"Africa","Kenya","Nairobi",3,28,1996,73.1,"1996-03-28"
"Africa","Kenya","Nairobi",3,29,1996,64.3,"1996-03-29"
"Africa","Kenya","Nairobi",3,31,1996,70.4,"1996-03-31"
"Africa","Kenya","Nairobi",4,3,1996,73.6,"1996-04-03"
"Africa","Kenya","Nairobi",4,4,1996,71.2,"1996-04-04"
"Africa","Kenya","Nairobi",4,6,1996,70.7,"1996-04-06"
"Africa","Kenya","Nairobi",4,7,1996,68.4,"1996-04-07"
"Africa","Kenya","Nairobi",4,8,1996,68,"1996-04-08"
"Africa","Kenya","Nairobi",4,9,1996,67.2,"1996-04-09"
"Africa","Kenya","Nairobi",4,10,1996,72.4,"1996-04-10"
"Africa","Kenya","Nairobi",4,11,1996,73.9,"1996-04-11"
"Africa","Kenya","Nairobi",4,12,1996,66.9,"1996-04-12"
"Africa","Kenya","Nairobi",4,13,1996,72.3,"1996-04-13"
"Africa","Kenya","Nairobi",4,14,1996,74,"1996-04-14"
"Africa","Kenya","Nairobi",4,15,1996,69.6,"1996-04-15"
"Africa","Kenya","Nairobi",4,16,1996,70.5,"1996-04-16"
"Africa","Kenya","Nairobi",4,17,1996,70.7,"1996-04-17"
"Africa","Kenya","Nairobi",4,18,1996,71.9,"1996-04-18"
"Africa","Kenya","Nairobi",4,19,1996,71.4,"1996-04-19"
