President,Term_From,Term_To,Role,Occupant,Type,Held_From,Held_To,Gender,Race
President Ronald Reagan,1981,1989,Secretary of the Treasury,Donald Regan (1981–1985),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of the Treasury,James Baker (1985–1988),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of the Treasury,Nicholas F. Brady (1988–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Defense,Caspar Weinberger (1981–1987),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Defense,Frank Carlucci (1987–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Attorney General,William French Smith (1981–1985),Cabinet,,,,
President Ronald Reagan,1981,1989,Attorney General,Edwin Meese (1985–1988),Cabinet,,,,
President Ronald Reagan,1981,1989,Attorney General,Dick Thornburgh (1988–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of the Interior,James G. Watt (1981–1983),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of the Interior,William P. Clark Jr. (1983–1985),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of the Interior,Donald P. Hodel (1985–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Agriculture,John Rusling Block (1981–1986),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Agriculture,Richard Edmund Lyng (1986–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Commerce,Malcolm Baldrige Jr. (1981–1987),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Commerce,William Verity Jr. (1987–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Labor,Raymond J. Donovan (1981–1985),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Labor,Bill Brock (1985–1987),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Labor,Ann Dore McLaughlin (1987–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Health and Human Services,Richard Schweiker (1981–1983),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Health and Human Services,Margaret Heckler (1983–1985),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Health and Human Services,Otis Bowen (1985–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Housing and Urban Development,Samuel Pierce (1981–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Transportation,Drew Lewis (1981–1983),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Transportation,Elizabeth Dole (1983–1987),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Transportation,James H. Burnley IV (1987–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Energy,James B. Edwards (1981–1983),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Energy,Donald P. Hodel (1983–1985),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Energy,John S. Herrington (1985–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Education,Terrel Bell (1981–1984),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Education,William Bennett (1985–1988),Cabinet,,,,
President Ronald Reagan,1981,1989,Secretary of Education,Lauro Cavazos (1988–1989),Cabinet,,,,
President Ronald Reagan,1981,1989,Director of the Office of Management and Budget,David Stockman (1981–1985),Cabinet-level,,,,
President Ronald Reagan,1981,1989,Director of the Office of Management and Budget,James C. Miller III (1985–1988),Cabinet-level,,,,
President Ronald Reagan,1981,1989,Director of the Office of Management and Budget,Joe Wright (1988–1989),Cabinet-level,,,,
President Ronald Reagan,1981,1989,Director of Central Intelligence,William J. Casey (1981–1987),Cabinet-level,,,,
President Ronald Reagan,1981,1989,Director of Central Intelligence,William H. Webster (1987–1989),Cabinet-level,,,,
President Ronald Reagan,1981,1989,Trade Representative,Bill Brock (1981–1985),Cabinet-level,,,,
President Ronald Reagan,1981,1989,Trade Representative,Clayton Yeutter (1985–1989),Cabinet-level,,,,
President Ronald Reagan,1981,1989,Ambassador to the United Nations,Jeane Kirkpatrick (1981–1985),Cabinet-level,,,,
President Ronald Reagan,1981,1989,Ambassador to the United Nations,Vernon A. Walters (1985–1989),Cabinet-level,,,,
President Ronald Reagan,1981,1989,Counselor to the President,Edwin Meese (1981–1985),Cabinet-level,,,,
President Ronald Reagan,1981,1989,Counselor to the President,None (1985–1989),Cabinet-level,,,,
George H. W. Bush,1989,1993,Vice President,Dan Quayle (1989–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of State,James Baker (1989–1992),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of State,Lawrence Eagleburger (1992–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of the Treasury,Nicholas F. Brady (1989–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Defense,Dick Cheney (1989–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Attorney General,Dick Thornburgh (1989–1991),Cabinet,,,,
George H. W. Bush,1989,1993,Attorney General,William Barr (1991–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of the Interior,Manuel Lujan Jr. (1989–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Agriculture,Clayton Yeutter (1989–1991),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Agriculture,Edward Rell Madigan (1991–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Commerce,Robert Mosbacher (1989–1992),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Commerce,Barbara Franklin (1992–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Labor,Elizabeth Dole (1989–1990),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Labor,Lynn Morley Martin (1991–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Health and Human Services,Louis Wade Sullivan (1989–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Housing and Urban Development,Jack Kemp (1989–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Transportation,Samuel K. Skinner (1989–1991),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Transportation,Andrew Card (1992–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Energy,James D. Watkins (1989–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Education,Lauro Cavazos (1989–1990),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Education,Lamar Alexander (1991–1993),Cabinet,,,,
George H. W. Bush,1989,1993,Secretary of Veterans Affairs,Ed Derwinski (1989–1992),Cabinet,,,,
George H. W. Bush,1989,1993,Director of the Office of Management and Budget,Richard Darman (1989–1993),Cabinet-level,,,,
George H. W. Bush,1989,1993,Trade Representative,Carla Anderson Hills (1989–1993),Cabinet-level,,,,
George H. W. Bush,1989,1993,Counselor to the President,None (1989–1992),Cabinet-level,,,,
George H. W. Bush,1989,1993,Counselor to the President,Clayton Yeutter (1992–1993),Cabinet-level,,,,
President Bill Clinton,1993,2001,Vice President,Al Gore (1993–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of State,Warren Christopher (1993–1997),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of State,Madeleine Albright (1997–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of the Treasury,Lloyd Bentsen (1993–1994),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of the Treasury,Robert Rubin (1995–1999),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of the Treasury,Lawrence Summers (1999–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Defense,Les Aspin (1993–1994),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Defense,William Perry (1994–1997),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Defense,William Cohen (1997–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Attorney General,Janet Reno (1993–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of the Interior,Bruce Babbitt (1993–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Agriculture,Mike Espy (1993–1994),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Agriculture,Dan Glickman (1995–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Commerce,Ron Brown (1993–1996),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Commerce,Mickey Kantor (1996–1997),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Commerce,William M. Daley (1997–2000),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Commerce,Norman Mineta (2000–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Labor,Robert Reich (1993–1997),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Labor,Alexis Herman (1997–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Health and Human Services,Donna Shalala (1993–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Housing and Urban Development,Henry Cisneros (1993–1997),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Housing and Urban Development,Andrew Cuomo (1997–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Transportation,Federico Peña (1993–1997),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Transportation,Rodney E. Slater (1997–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Energy,Hazel R. O'Leary (1993–1997),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Energy,Federico Peña (1997–1998),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Energy,Bill Richardson (1998–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Education,Richard Riley (1993–2001),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Veterans Affairs,Jesse Brown (1993–1997),Cabinet,,,,
President Bill Clinton,1993,2001,Secretary of Veterans Affairs,Togo D. West Jr. (1998–2000),Cabinet,,,,
President Bill Clinton,1993,2001,Administrator of the Environmental Protection Agency,Carol Browner (1993–2001),Cabinet-level,,,,
President Bill Clinton,1993,2001,Director of the Office of Management and Budget,Leon Panetta (1993–1994),Cabinet-level,,,,
President Bill Clinton,1993,2001,Director of the Office of Management and Budget,Alice Rivlin (1994–1996),Cabinet-level,,,,
President Bill Clinton,1993,2001,Director of the Office of Management and Budget,Franklin Raines (1996–1998),Cabinet-level,,,,
President Bill Clinton,1993,2001,Director of the Office of Management and Budget,Jack Lew (1998–2001),Cabinet-level,,,,
President Bill Clinton,1993,2001,Director of Central Intelligence,John M. Deutch (1995–1996),Cabinet-level,,,,
President Bill Clinton,1993,2001,Director of Central Intelligence,George Tenet (1996–2001),Cabinet-level,,,,
President Bill Clinton,1993,2001,Trade Representative,Mickey Kantor (1993–1996),Cabinet-level,,,,
President Bill Clinton,1993,2001,Trade Representative,Charlene Barshefsky (1996–2001),Cabinet-level,,,,
President Bill Clinton,1993,2001,Ambassador to the United Nations,Madeleine Albright (1993–1997),Cabinet-level,,,,
President Bill Clinton,1993,2001,Ambassador to the United Nations,Bill Richardson (1997–1998),Cabinet-level,,,,
President Bill Clinton,1993,2001,Ambassador to the United Nations,Richard Holbrooke (1999–2001),Cabinet-level,,,,
President Bill Clinton,1993,2001,Chair of the Council of Economic Advisers,Laura Tyson (1993–1995),Cabinet-level,,,,
President Bill Clinton,1993,2001,Chair of the Council of Economic Advisers,Joseph Stiglitz (1995–1997),Cabinet-level,,,,
President Bill Clinton,1993,2001,Chair of the Council of Economic Advisers,Janet Yellen (1997–1999),Cabinet-level,,,,
President Bill Clinton,1993,2001,Chair of the Council of Economic Advisers,Martin Neil Baily (1999–2001),Cabinet-level,,,,
President Bill Clinton,1993,2001,Administrator of the Small Business Administration,Philip Lader (1994–1997),Cabinet-level,,,,
President Bill Clinton,1993,2001,Administrator of the Small Business Administration,Aida Álvarez (1997–2001),Cabinet-level,,,,
President Bill Clinton,1993,2001,Director of the Federal Emergency Management Agency,James Lee Witt (1993–2001)*,Cabinet-level,,,,
President Bill Clinton,1993,2001,Director of the Office of National Drug Control Policy,Lee P. Brown (1993–1996),Cabinet-level,,,,
President Bill Clinton,1993,2001,Director of the Office of National Drug Control Policy,Barry McCaffrey (1996–2001),Cabinet-level,,,,
President Bill Clinton,1993,2001,White House Chief of Staff,Mack McLarty (1993–1994),Cabinet-level,,,,
President Bill Clinton,1993,2001,White House Chief of Staff,Leon Panetta (1994–1997),Cabinet-level,,,,
President Bill Clinton,1993,2001,White House Chief of Staff,Erskine Bowles (1997–1998),Cabinet-level,,,,
President Bill Clinton,1993,2001,White House Chief of Staff,John Podesta (1998–2001),Cabinet-level,,,,
President George W. Bush,2001,2009,Vice President,Dick Cheney (2001–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of State,Colin Powell (2001–2005),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of State,Condoleezza Rice (2005–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of the Treasury,Paul H. O'Neill (2001–2002),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of the Treasury,John W. Snow (2003–2006),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of the Treasury,Henry Paulson (2006–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Defense,Donald Rumsfeld (2001–2006),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Defense,Robert Gates (2006–2009),Cabinet,,,,
President George W. Bush,2001,2009,Attorney General,John Ashcroft (2001–2005),Cabinet,,,,
President George W. Bush,2001,2009,Attorney General,Alberto Gonzales (2005–2007),Cabinet,,,,
President George W. Bush,2001,2009,Attorney General,Michael Mukasey (2007–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of the Interior,Gale Norton (2001–2006),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of the Interior,Dirk Kempthorne (2006–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Agriculture,Ann Veneman (2001–2005),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Agriculture,Mike Johanns (2005–2007),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Agriculture,Ed Schafer (2008–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Commerce,Donald Evans (2001–2005),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Commerce,Carlos Gutierrez (2005–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Labor,Elaine Chao (2001–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Health and Human Services,Tommy Thompson (2001–2005),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Health and Human Services,Mike Leavitt (2005–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Housing and Urban Development,Mel Martínez (2001–2003),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Housing and Urban Development,Alphonso Jackson (2003–2008),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Housing and Urban Development,Steve Preston (2008–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Transportation,Norman Mineta (2001–2006),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Transportation,Mary E. Peters (2006–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Energy,Spencer Abraham (2001–2005),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Energy,Samuel Bodman (2005–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Education,Rod Paige (2001–2005),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Education,Margaret Spellings (2005–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Veterans Affairs,Anthony Principi (2001–2005),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Veterans Affairs,Jim Nicholson (2005–2007),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Veterans Affairs,James Peake (2007–2009),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Homeland Security,Tom Ridge (2003–2005),Cabinet,,,,
President George W. Bush,2001,2009,Secretary of Homeland Security,Michael Chertoff (2005–2009),Cabinet,,,,
President George W. Bush,2001,2009,Administrator of the Environmental Protection Agency,Christine Todd Whitman (2001–2003),Cabinet-level,,,,
President George W. Bush,2001,2009,Administrator of the Environmental Protection Agency,Mike Leavitt (2003–2005),Cabinet-level,,,,
President George W. Bush,2001,2009,Administrator of the Environmental Protection Agency,Stephen L. Johnson (2005–2009),Cabinet-level,,,,
President George W. Bush,2001,2009,Director of the Office of Management and Budget,Mitch Daniels (2001–2003),Cabinet-level,,,,
President George W. Bush,2001,2009,Director of the Office of Management and Budget,Joshua Bolten (2003–2006),Cabinet-level,,,,
President George W. Bush,2001,2009,Director of the Office of Management and Budget,Rob Portman (2006–2007),Cabinet-level,,,,
President George W. Bush,2001,2009,Director of the Office of Management and Budget,Jim Nussle (2007–2009),Cabinet-level,,,,
President George W. Bush,2001,2009,Trade Representative,Robert Zoellick (2001–2005),Cabinet-level,,,,
President George W. Bush,2001,2009,Trade Representative,Rob Portman (2005–2006),Cabinet-level,,,,
President George W. Bush,2001,2009,Trade Representative,Susan Schwab (2006–2009),Cabinet-level,,,,
President George W. Bush,2001,2009,Director of the Office of National Drug Control Policy,John P. Walters (2001–2009),Cabinet-level,,,,
President George W. Bush,2001,2009,White House Chief of Staff,Andrew Card (2001–2006),Cabinet-level,,,,
President George W. Bush,2001,2009,White House Chief of Staff,Joshua Bolten (2006–2009),Cabinet-level,,,,
President Barack Obama,2009,2017,Vice President,Joe Biden,Cabinet,,,,
President Barack Obama,2009,2017,Secretary of State,Hillary Clinton (2009–2013),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of State,John Kerry (2013–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of the Treasury,Timothy Geithner (2009–2013),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of the Treasury,Jack Lew (2013–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Defense,Robert Gates (2009–2011),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Defense,Leon Panetta (2011–2013),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Defense,Chuck Hagel (2013–2015),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Defense,Ash Carter (2015–2017),Cabinet,,,,
President Barack Obama,2009,2017,Attorney General,Eric Holder (2009–2015),Cabinet,,,,
President Barack Obama,2009,2017,Attorney General,Loretta Lynch (2015–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of the Interior,Ken Salazar (2009–2013),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of the Interior,Sally Jewell (2013–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Agriculture,Tom Vilsack (2009–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Commerce,Gary Locke (2009–2011),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Commerce,John Bryson (2011–2012),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Commerce,Penny Pritzker (2013–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Labor,Hilda Solis (2009–2013),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Labor,Tom Perez (2013–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Health and Human Services,Kathleen Sebelius (2009–2014),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Health and Human Services,Sylvia Mathews Burwell (2014–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Housing and Urban Development,Shaun Donovan (2009–2014),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Housing and Urban Development,Julian Castro (2014–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Transportation,Ray LaHood (2009–2013),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Transportation,Anthony Foxx (2013–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Energy,Steven Chu (2009–2013),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Energy,Ernest Moniz (2013–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Education,Arne Duncan (2009–2016),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Education,John King Jr. (2016–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Veterans Affairs,Eric Shinseki (2009–2014),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Veterans Affairs,Bob McDonald (2014–2017),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Homeland Security,Janet Napolitano (2009–2013),Cabinet,,,,
President Barack Obama,2009,2017,Secretary of Homeland Security,Jeh Johnson (2013–2017),Cabinet,,,,
President Barack Obama,2009,2017,Administrator of the Environmental Protection Agency,Lisa P. Jackson (2009–2013),Cabinet-level,,,,
President Barack Obama,2009,2017,Administrator of the Environmental Protection Agency,Gina McCarthy (2013–2017),Cabinet-level,,,,
President Barack Obama,2009,2017,Director of the Office of Management and Budget,Peter R. Orszag (2009–2010),Cabinet-level,,,,
President Barack Obama,2009,2017,Director of the Office of Management and Budget,Jack Lew (2010–2012),Cabinet-level,,,,
President Barack Obama,2009,2017,Director of the Office of Management and Budget,Sylvia Mathews Burwell (2013–2014),Cabinet-level,,,,
President Barack Obama,2009,2017,Director of the Office of Management and Budget,Shaun Donovan (2014–2017),Cabinet-level,,,,
President Barack Obama,2009,2017,Trade Representative,Ron Kirk (2009–2013),Cabinet-level,,,,
President Barack Obama,2009,2017,Trade Representative,Michael Froman (2013–2017),Cabinet-level,,,,
President Barack Obama,2009,2017,Ambassador to the United Nations,Susan Rice (2009–2013),Cabinet-level,,,,
President Barack Obama,2009,2017,Ambassador to the United Nations,Samantha Power (2013–2017),Cabinet-level,,,,
President Barack Obama,2009,2017,Chair of the Council of Economic Advisers,Christina Romer (2009–2010),Cabinet-level,,,,
President Barack Obama,2009,2017,Chair of the Council of Economic Advisers,Austan Goolsbee (2010–2011),Cabinet-level,,,,
President Barack Obama,2009,2017,Chair of the Council of Economic Advisers,Alan Krueger (2011–2013),Cabinet-level,,,,
President Barack Obama,2009,2017,Chair of the Council of Economic Advisers,Jason Furman (2013–2017),Cabinet-level,,,,
President Barack Obama,2009,2017,Administrator of the Small Business Administration,Karen Mills (2012–2013)*,Cabinet-level,,,,
President Barack Obama,2009,2017,Administrator of the Small Business Administration,Maria Contreras-Sweet (2014–2017),Cabinet-level,,,,
President Barack Obama,2009,2017,White House Chief of Staff,Rahm Emanuel (2009–2010),Cabinet-level,,,,
President Barack Obama,2009,2017,White House Chief of Staff,William M. Daley (2011–2012),Cabinet-level,,,,
President Barack Obama,2009,2017,White House Chief of Staff,Jack Lew (2012–2013),Cabinet-level,,,,
President Barack Obama,2009,2017,White House Chief of Staff,Denis McDonough (2013–2017),Cabinet-level,,,,
President Donald Trump,2017,2021,Vice President,Mike Pence (2017–2021),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of State,Rex Tillerson (2017–2018),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of State,Mike Pompeo (2018–2021),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of the Treasury,Steven Mnuchin (2017–2021),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Defense,Jim Mattis (2017–2019),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Defense,Mark Esper (2019–2020),Cabinet,,,,
President Donald Trump,2017,2021,Attorney General,Jeff Sessions (2017–2018),Cabinet,,,,
President Donald Trump,2017,2021,Attorney General,William Barr (2019–2020),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of the Interior,Ryan Zinke (2017–2019),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of the Interior,David Bernhardt (2019–2021),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Agriculture,Sonny Perdue (2017–2021),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Commerce,Wilbur Ross (2017–2021),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Labor,Alexander Acosta (2017–2019),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Labor,Eugene Scalia (2019–2021),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Health and Human Services,Tom Price (2017),Cabinet,,,,
President Donald Trump,2017,2021,Secretary of Health and Human Services,Alex Azar (2018–2021),Cabinet,,,,
