Country name,Regional indicator,Avg Ladder Score,Dystopia + residual,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Log GDP per capita,Explained by: Perceptions of corruption,Explained by: Social support,Freedom to make life choices,Generosity,Healthy life expectancy,Ladder score,Ladder score in Dystopia,Logged GDP per capita,Lowerwhisker,Number of Records,Perceptions of corruption,Social support,Standard error of ladder score,Upperwhisker
Taiwan Province of China,East Asia,6.46,2.160238743,0.45,0.150598705,0.878437996,1.327470541,0.131516352,1.357760668,0.771530330,-0.073198698,69.599998474,6.46,1.972316742,10.775685310,6.378686428,1,0.731882930,0.894309103,0.039139576,6.532113552
Uruguay,Latin America and Caribbean,6.44,2.167276382,0.59,0.132143691,0.856928885,1.071000457,0.193425074,1.425081134,0.892395437,-0.101103112,69.002548218,6.44,1.972316742,9.948192596,6.351078987,1,0.635994136,0.922811270,0.045419082,6.529121399
Saudi Arabia,Middle East and North Africa,6.41,2.203118801,0.55,0.087440684,0.759818137,1.334328532,0.163322315,1.309950113,0.854191244,-0.168695062,66.305145264,6.41,1.972316742,10.797812462,6.295693874,1,0.682619512,0.874067068,0.056533612,6.517305851
Spain,Western Europe,6.40,1.997088432,0.43,0.165305480,1.051343083,1.230535269,0.109579779,1.421099186,0.751989543,-0.050961714,74.402709961,6.40,1.972316742,10.462926865,6.317991257,1,0.765859902,0.921125412,0.042300370,6.483808517
Guatemala,Latin America and Caribbean,6.40,2.882723093,0.61,0.170611665,0.705952585,0.753815711,0.098360300,1.174267054,0.908147573,-0.042938665,64.808944702,6.40,1.972316742,8.924805641,6.284439564,1,0.783237457,0.816621482,0.058398303,6.513360500
Italy,Western Europe,6.39,2.249505997,0.32,0.170266211,1.022504926,1.236396074,0.040145598,1.347296000,0.664651990,-0.043460999,73.601684570,6.39,1.972316742,10.481836319,6.302555561,1,0.873404682,0.889878571,0.043288074,6.472244740
Singapore,Southeast Asia,6.38,0.937031746,0.64,0.218770906,1.137814283,1.519580126,0.533162236,1.395456910,0.926645339,0.029879224,76.804580688,6.38,1.972316742,11.395521164,6.311912537,1,0.109784193,0.910268962,0.033258967,6.442287445
Brazil,Latin America and Caribbean,6.38,2.571860313,0.48,0.131674588,0.766119063,0.952679873,0.106518604,1.363464117,0.799804807,-0.101812392,66.480163574,6.38,1.972316742,9.566434860,6.295650005,1,0.770601273,0.896723807,0.040790688,6.455549717
Slovenia,Central & Eastern Europe,6.36,1.888586521,0.65,0.145701498,0.932548046,1.208652496,0.076516323,1.464677691,0.936142623,-0.080603383,71.102989197,6.36,1.972316742,10.392322540,6.277471066,1,0.817071021,0.939575672,0.043841314,6.449328899
El Salvador,Latin America and Caribbean,6.35,2.937191725,0.52,0.118936300,0.752730012,0.748940408,0.117030352,1.149397612,0.833805263,-0.121072978,66.108261108,6.35,1.972316742,8.909075737,6.234133244,1,0.754319906,0.806092262,0.058248438,6.462466717
