Country name,Regional indicator,Avg Ladder Score,Dystopia + residual,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Log GDP per capita,Explained by: Perceptions of corruption,Explained by: Social support,Freedom to make life choices,Generosity,Healthy life expectancy,Ladder score,Ladder score in Dystopia,Logged GDP per capita,Lowerwhisker,Number of Records,Perceptions of corruption,Social support,Standard error of ladder score,Upperwhisker
Bangladesh,South Asia,4.83,1.755261898,0.60,0.176745117,0.694940507,0.556156278,0.176735908,0.868800581,0.900624990,-0.033664726,64.503067017,4.83,1.972316742,8.287063599,4.754156590,1,0.661843538,0.687292993,0.040124193,4.911443233
Gabon,Sub-Saharan Africa,4.83,1.735027552,0.37,0.052013602,0.522574842,0.988044381,0.055804539,1.106397510,0.704829216,-0.222261623,59.715339661,4.83,1.972316742,9.680537224,4.711174011,1,0.849150956,0.787886858,0.060268242,4.947425842
South Africa,Sub-Saharan Africa,4.81,1.625117302,0.43,0.126406848,0.407034069,0.902140439,0.059502140,1.259086251,0.759330094,-0.109777324,56.506011963,4.81,1.972316742,9.403370857,4.696453571,1,0.843423843,0.852532268,0.060023591,4.931746006
Iraq,Middle East and North Africa,4.78,1.752173662,0.28,0.153002068,0.529350698,0.982018709,0.073164992,1.011466622,0.633182645,-0.069564760,59.903549194,4.78,1.972316742,9.661095619,4.632328033,1,0.822261810,0.747694969,0.077791877,4.937272072
Lebanon,Middle East and North Africa,4.77,1.535542250,0.19,0.158524141,0.788671136,0.889232516,0.021518147,1.192493320,0.551357508,-0.061215270,67.106582642,4.77,1.972316742,9.361723900,4.685742378,1,0.902256250,0.824338138,0.043753985,4.857257843
Burkina Faso,Sub-Saharan Africa,4.77,2.588826418,0.32,0.186390609,0.312833875,0.302467644,0.126408055,0.929385900,0.665563583,-0.019080516,53.889453888,4.77,1.972316742,7.468544960,4.647048473,1,0.739795029,0.712943614,0.062067267,4.890351772
Gambia,Sub-Saharan Africa,4.75,2.270216465,0.40,0.425989687,0.353247881,0.256990552,0.158093795,0.882678688,0.733163178,0.343198717,55.012016296,4.75,1.972316742,7.321814537,4.618958950,1,0.690717816,0.693168700,0.067163654,4.882240772
Mali,Sub-Saharan Africa,4.73,2.559335232,0.38,0.169667050,0.234981522,0.352462649,0.062146276,0.973141730,0.711566150,-0.044366926,51.726982117,4.73,1.972316742,7.629852295,4.603148937,1,0.839328408,0.731468976,0.064362764,4.855451107
Nigeria,Sub-Saharan Africa,4.72,2.219635487,0.44,0.221328124,0.167835936,0.645901859,0.047589935,0.986717939,0.759578407,0.033745807,49.861907959,4.72,1.972316742,8.576624870,4.621952057,1,0.861874342,0.737216890,0.052116260,4.826248169
Armenia,Commonwealth of Independent States,4.68,1.468161583,0.38,0.107225738,0.775857270,0.808262408,0.104618184,1.034576893,0.712017834,-0.138779610,66.750656128,4.68,1.972316742,9.100476265,4.561953068,1,0.773544788,0.757479429,0.058595356,4.791646481
Georgia,Commonwealth of Independent States,4.67,1.692398310,0.49,0.047609735,0.694657624,0.847198069,0.174088076,0.731193900,0.801641524,-0.228920370,64.495208740,4.67,1.972316742,9.226100922,4.587501526,1,0.665944695,0.629033029,0.043417413,4.757698059
Iran,Middle East and North Africa,4.67,1.286969423,0.30,0.276978940,0.749053836,1.029322505,0.142651513,0.886271179,0.647873282,0.117891103,66.006149292,4.67,1.972316742,9.813719749,4.562879086,1,0.714635968,0.694689691,0.055878021,4.781920910
Jordan,Middle East and North Africa,4.63,1.262258053,0.42,0.091494769,0.777624726,0.785179198,0.151878625,1.140118599,0.751047790,-0.162565202,66.799751282,4.63,1.972316742,9.025999069,4.518247604,1,0.700344324,0.802163720,0.058751218,4.748552322
Mozambique,Sub-Saharan Africa,4.62,2.221216202,0.56,0.220422104,0.324223638,0.178741366,0.163064316,0.955202878,0.864451885,0.032375868,54.205821991,4.62,1.972316742,7.069345951,4.468203068,1,0.683019102,0.723874032,0.079284087,4.778996944
Kenya,Sub-Saharan Africa,4.58,1.684904575,0.52,0.393902093,0.536312759,0.476413399,0.067201078,0.905077755,0.829747558,0.294681519,60.096931458,4.58,1.972316742,8.029775620,4.450102329,1,0.831499159,0.702652037,0.067804985,4.715898037
Namibia,Sub-Saharan Africa,4.57,1.503033161,0.44,0.076454483,0.406871170,0.840081990,0.054320343,1.245738149,0.767520964,-0.185306460,56.501487732,4.57,1.972316742,9.203141212,4.451572418,1,0.851449788,0.846880972,0.060983475,4.690628052
Ukraine,Commonwealth of Independent States,4.56,1.252669334,0.32,0.178551316,0.698674381,0.780434608,0.009651160,1.321316481,0.663081884,-0.030933706,64.606781006,4.56,1.972316742,9.010690689,4.463319302,1,0.920636714,0.878879368,0.049683895,4.658080578
Liberia,Sub-Saharan Africa,4.56,2.386757851,0.41,0.226967871,0.392284274,0.174103007,0.051139876,0.920733929,0.735268712,0.042273220,56.096313477,4.56,1.972316742,7.054380417,4.397265434,1,0.856375933,0.709280550,0.081956357,4.718534470
Palestinian Territories,Middle East and North Africa,4.55,1.693985701,0.30,0.091816261,0.613826573,0.587819219,0.071913652,1.194755554,0.645791829,-0.162079096,62.25,4.55,1.972316742,8.389223099,4.443285465,1,0.824199975,0.825295925,0.055874817,4.662314892
Uganda,Sub-Saharan Africa,4.43,1.958671093,0.40,0.264807373,0.378311664,0.312337428,0.063818842,1.052327394,0.731713951,0.099487431,55.708202362,4.43,1.972316742,7.500389576,4.297749043,1,0.836737812,0.764994621,0.068495452,4.566251278
Chad,Sub-Saharan Africa,4.42,2.747426510,0.23,0.210805088,0.108744100,0.302287489,0.085755408,0.739118278,0.587305248,0.017834719,48.220539093,4.42,1.972316742,7.467963696,4.275246620,1,0.802760839,0.632388055,0.075231321,4.570153236
Tunisia,Middle East and North Africa,4.39,1.528496742,0.24,0.055881143,0.781156719,0.874742687,0.043899573,0.872167706,0.593361557,-0.216413811,66.897857666,4.39,1.972316742,9.314972878,4.294845581,1,0.867590249,0.688718557,0.049670532,4.489554405
Mauritania,Sub-Saharan Africa,4.37,1.859557390,0.19,0.128899664,0.425184816,0.539684892,0.122257635,1.113323569,0.551522553,-0.106008142,57.010177612,4.37,1.972316742,8.233919144,4.266616821,1,0.746223509,0.790819228,0.055093341,4.482583046
Sri Lanka,South Asia,4.33,0.611288548,0.53,0.252666146,0.792036712,0.897986948,0.049444564,1.194940090,0.837633669,0.081129618,67.200065613,4.33,1.972316742,9.389969826,4.222952366,1,0.859001756,0.825374067,0.053085525,4.431047916
Congo (Kinshasa),Sub-Saharan Africa,4.31,2.437864304,0.36,0.254324883,0.277212054,0.062487468,0.081466645,0.833055019,0.700793564,0.083637655,52.900001526,4.31,1.972316742,6.694256306,4.097363472,1,0.809403598,0.672159016,0.108998232,4.524636269
Swaziland,Sub-Saharan Africa,4.31,1.686207294,0.30,0.067264833,0.215585828,0.827539742,0.146765873,1.064835191,0.646822274,-0.199201420,51.188236237,4.31,1.972316742,9.162673950,4.168054581,1,0.708263338,0.770290196,0.071451940,4.448145866
Myanmar,Southeast Asia,4.31,0.681462526,0.60,0.569813728,0.495443076,0.678090930,0.187530354,1.098178267,0.895075202,0.560663998,58.961711884,4.31,1.972316742,8.680481911,4.223819733,1,0.645124316,0.784407020,0.042949215,4.392180443
Comoros,Sub-Saharan Africa,4.29,2.172769070,0.18,0.258538276,0.437383324,0.415620774,0.100048535,0.723232806,0.547612607,0.090008408,57.349010468,4.29,1.972316742,7.833630085,4.123293400,1,0.780622602,0.625662446,0.084340192,4.453906536
Togo,Sub-Saharan Africa,4.19,2.409595251,0.30,0.200774252,0.342731178,0.268116266,0.114826456,0.547622859,0.649828613,0.002667875,54.719898224,4.19,1.972316742,7.357711315,4.064686775,1,0.757733464,0.551312625,0.062506773,4.309713364
Ethiopia,Sub-Saharan Africa,4.19,1.628459215,0.41,0.227698103,0.483846247,0.315125644,0.117437035,1.001103282,0.740795195,0.043377332,58.639591217,4.19,1.972316742,7.509385586,4.109926701,1,0.753690004,0.743307352,0.038915094,4.262473583
Madagascar,Sub-Saharan Africa,4.17,2.136298418,0.19,0.191190064,0.500617027,0.244553208,0.076248638,0.823694348,0.557574093,-0.011823639,59.105426788,4.17,1.972316742,7.281685829,4.052817345,1,0.817485631,0.668195903,0.057542104,4.278382301
Egypt,Middle East and North Africa,4.15,1.158818245,0.37,0.068801254,0.596911311,0.875228941,0.095461793,0.982539535,0.708354175,-0.196878314,61.780151367,4.15,1.972316742,9.316541672,4.080880642,1,0.787726879,0.735447824,0.035979424,4.221919537
Sierra Leone,Sub-Saharan Africa,3.93,2.046271801,0.38,0.257647008,0.203953966,0.240560383,0.047940936,0.747984946,0.715315044,0.088660747,50.865142822,3.93,1.972316742,7.268803120,3.806544304,1,0.861330688,0.636142015,0.061150789,4.046255589
Burundi,Sub-Saharan Africa,3.78,2.401507378,0.28,0.187401786,0.295212835,0,0.212186828,0.403575271,0.626350224,-0.017551597,53.400001526,3.78,1.972316742,6.492642403,3.565340042,1,0.606934547,0.490325719,0.107122384,3.985260010
Zambia,Sub-Saharan Africa,3.76,1.134339333,0.49,0.250620902,0.363593340,0.536833763,0.086705238,0.896037281,0.806500256,0.078037128,55.299377441,3.76,1.972316742,8.224720001,3.640473604,1,0.801289678,0.698824465,0.060676690,3.878326178
Haiti,Latin America and Caribbean,3.72,1.619916916,0.17,0.463909656,0.374366730,0.284734428,0.161935672,0.646671355,0.537825167,0.400534570,55.598625183,3.72,1.972316742,7.411329269,3.521932364,1,0.684767246,0.593247831,0.101463005,3.919667482
Lesotho,Sub-Saharan Africa,3.65,1.445513964,0.41,0.102627642,0.100934811,0.454938740,0.050483823,1.088940024,0.738125861,-0.145732045,48.003623962,3.65,1.972316742,7.960488319,3.491842985,1,0.857392073,0.780495703,0.082120985,3.813757181
India,South Asia,3.57,0.734130859,0.58,0.237072483,0.540570140,0.730576158,0.105587982,0.644198656,0.881444871,0.057551607,60.215187073,3.57,1.972316742,8.849823952,3.519003391,1,0.772042692,0.592200935,0.027702235,3.627596378
Malawi,Sub-Saharan Africa,3.54,1.552718282,0.49,0.213185057,0.446163297,0.176534727,0.131633952,0.530368090,0.803223193,0.021433279,57.592887878,3.54,1.972316742,7.062226295,3.400289536,1,0.731700778,0.544007301,0.070260517,3.675710678
Yemen,Middle East and North Africa,3.53,1.116472721,0.24,0.094689012,0.415000170,0.392701775,0.087352127,1.177477121,0.599920273,-0.157735437,56.727283478,3.53,1.972316742,7.759682655,3.421250105,1,0.800287724,0.817980587,0.054158084,3.633549929
Botswana,Sub-Saharan Africa,3.48,0.257240534,0.51,0.033407487,0.494101733,0.997548997,0.101786368,1.085694790,0.821328104,-0.250394493,58.924453735,3.48,1.972316742,9.711203575,3.360236168,1,0.777930915,0.779121757,0.060542691,3.597563744
Tanzania,Sub-Saharan Africa,3.48,0.718963385,0.51,0.271540910,0.442677855,0.457163125,0.203880861,0.872674644,0.821539760,0.109668687,57.496074677,3.48,1.972316742,7.967665195,3.352308989,1,0.619799435,0.688933194,0.063209750,3.600091219
Central African Republic,Sub-Saharan Africa,3.48,2.860197544,0.29,0.253513217,0,0.041072082,0.028264718,0,0.640880644,0.082410358,45.200000763,3.48,1.972316742,6.625160217,3.250141382,1,0.891806662,0.319459856,0.115182951,3.701658487
Rwanda,Sub-Saharan Africa,3.31,0.548444986,0.60,0.235704988,0.572383285,0.343242675,0.485542476,0.522876322,0.900589406,0.055483952,61.098846436,3.31,1.972316742,7.600104332,3.209546566,1,0.183541179,0.540835440,0.052425209,3.415053368
Zimbabwe,Sub-Saharan Africa,3.30,0.841031075,0.38,0.151349187,0.375037611,0.425564021,0.080928579,1.047835231,0.711457908,-0.072063953,55.617259979,3.30,1.972316742,7.865711689,3.184198141,1,0.810236990,0.763092756,0.058674462,3.414201975
South Sudan,Sub-Saharan Africa,2.82,1.378751278,0.07,0.209934607,0.208809033,0.289082974,0.111156799,0.553278506,0.451313615,0.016518548,51,2.82,1.972316742,7.425359726,2.605683804,1,0.763417304,0.553707123,0.107610404,3.027516365
Afghanistan,South Asia,2.57,1.507235646,0.00,0.135234714,0.266051531,0.300705850,0.001225785,0.356433839,0.396573007,-0.096429400,52.590000153,2.57,1.972316742,7.462860584,2.505529642,1,0.933686554,0.470366955,0.031311426,2.628270388
