year,month,investor,quantity,share,partner,sector,subsector,country,region
2013,June,China Jiangxi Corporation for International Economic and Technical Cooperation,140,,,Energy,Alternative,Kenya,Sub-Saharan Africa
2013,June,Mindray Medical,110,100%,ZONARE Systems,Technology,Medical,USA,USA
2013,June,Shanghai MicroPort Scientific,290,,Wright Medical,Technology,Medical,USA,USA
2013,June,Soho China,680,20%,GM Building,Real estate,Property,USA,USA
2013,June,Zarsion,750,,Signature Development,Real estate,Property,USA,USA
2013,June,CNPC,940,20%,Novatek,Energy,Gas,Russia,West Asia
2013,June,AVIC,260,,,Real estate,Property,Sri Lanka,West Asia
2013,July,State Construction Engineering,160,,,Other,,Algeria,Arab World
2013,July,CNPC,550,,Halfaya,Energy,Oil,Iraq,Arab World
2013,July,China Communications Construction,500,,,Other,Utilities,Saudi Arabia,Arab World
2013,July,China Molybdenum,820,80%,Rio Tinto,Metals,Copper,Australia,Australia
2013,July,MCC,100,,,Metals,Steel,Indonesia,East Asia
2013,July,China Communications Construction,100,,,Transport,Shipping,Malaysia,East Asia
2013,July,Sinopec,110,,,Chemicals,,Singapore,East Asia
2013,July,Texhong Textile,300,,,Other,Textiles,Vietnam,East Asia
2013,July,Power Construction Corp,280,,,Energy,Gas,Bosnia,Europe
2013,July,Ping An,390,,Commerz Real,Real estate,Property,Britain,Europe
2013,July,Shanghai Greenland,240,,Melia Hotels,Real estate,Property,Spain,Europe
2013,July,Harbin Electric,600,,Celec,Energy,Hydro,Ecuador,South America
2013,July,China Fishery,820,98%,Copeinca,Agriculture,,Peru,South America
2013,July,Kingho Energy,1700,,,Metals,Steel,Sierra Leone,Sub-Saharan Africa
2013,July,Sinomach,420,,Eurafric,Energy,,Nigeria,Sub-Saharan Africa
2013,July,Sinomach,200,,,Energy,,Nigeria,Sub-Saharan Africa
2013,July,China Railway Engineering,300,,,Transport,Aviation,Sierra Leone,Sub-Saharan Africa
2013,July,Yunnan Copper-led consortium,180,100%,Kilembe Mines,Metals,Copper,Uganda,Sub-Saharan Africa
2013,July,Three Gorges,500,,,Energy,Hydro,Uganda,Sub-Saharan Africa
2013,July,Meidu Holding,140,,Woodbine Holdings,Energy,Oil,USA,USA
2013,July,Shanghai Greenland,990,,California State Teachers' Retirement System,Real estate,Property,USA,USA
2013,July,Tencent,350,6%,Activision,Other,Consumer,USA,USA
2013,July,CNPC,5300,8%,KazMunaiGas National,Energy,Oil,Kazakhstan,West Asia
2013,July,China Communications Construction,1430,,,Transport,Shipping,Sri Lanka,West Asia
2013,August,Sinopec,3100,33%,Apache,Energy,,Egypt,Arab World
2013,August,Shanxi Coking Coal,140,100%,Inova,Metals,,Australia,Australia
2013,August,Belle International,120,32%,Baroque Japan,Other,Textiles,Japan,East Asia
2013,August,Power Construction Corp,190,,Sarawak Cable,Energy,,Malaysia,East Asia
2013,August,Shandong Bright Ruby,910,,Park Hotel,Real estate,Property,Singapore,East Asia
2013,August,China Ocean Shipping,300,,,Transport,Shipping,Greece,Europe
2013,August,China Communications Construction,470,,,Transport,Autos,Costa Rica,North America
2013,August,Sinomach,320,,,Real estate,Construction,Equatorial Guinea,Sub-Saharan Africa
2013,August,Sinomach,200,,,Transport,Autos,Equatorial Guinea,Sub-Saharan Africa
2013,August,Huawei and ZTE,1600,,,Technology,Telecom,Ethiopia,Sub-Saharan Africa
2013,August,Sinomach,100,,,Energy,,Uganda,Sub-Saharan Africa
2013,August,State Construction Engineering,290,,,Agriculture,,Bangladesh,West Asia
