X,Y,osm_id,operatorty,amenity,addrfull,capacitype,addrcity,name,source,building
38.7306118,8.9698679,1721639826,,kindergarten,,,,Mount-olive Academy,,
38.7323618,8.9700659,1726630090,,school,,,,Mekane-Yesus Seminary,local knowledge,
37.6050463,10.848306,1748623349,,school,,,,Highschool Feres Bet,,
37.5989548,10.8493178,1748678385,,school,,,,Primary School Feres Bet,,
37.6458271,10.7706515,1761547334,,school,,,,School Thame,,
37.6483806,10.8128921,1761552465,,school,,,,,,
37.8546251,7.7067574,1810965485,,school,,,,,,
38.3702418,10.8767391,1810983405,,,,,,,,school
36.8743667,11.9330408,1913811188,,school,,,,,,
38.8097444,8.9972432,1942829869,,school,,,,Lem Secondary School,,
39.0647088,7.0851383,1955436424,,school,,,,Ardayita Agricultural Training College,,
36.9956886,6.9957276,1970606230,,school,,,,Dalli secondary school,,
37.0147411,6.9007501,1976562547,,school,,,,Esara Secondary school,,
38.6762524,9.0032727,2047810554,,school,,,,Ewket Fana,,
38.6732081,9.0052623,2047811208,,school,,,,አልፋ ትምህርት ቤት,,
37.8973175,13.1451887,2102485261,,school,,,,,,
37.9724789,13.1821175,2105722700,,school,,,,,,
38.7586212,8.9632707,2318240815,,school,,,,Sene 9 public school,,
38.7578301,8.9876108,2471076140,,kindergarten,,,,Brana Playschool,,
35.4118814,6.151976,2805091556,,school,,,,,,
38.0012855,8.0429004,2874060923,,school,,,,St. Marco school,,
37.9313561,8.1319057,2874061393,,school,,,,,,
37.9364233,8.1217531,2878456705,,school,,,,St.Anthony Catholic Tecnical School,,
38.4718124,7.0555323,3003215861,,college,,,,Hawassa Agricultural College,,
37.972126,8.1145237,3073322590,,kindergarten,,,,Yeror,,
37.5482993,6.0357593,3145097129,,school,,,,Abaya Secondary School,,
37.5517743,6.0319248,3145105609,,college,,,,Arba Minch Health Science College,,
37.5595303,6.0337152,3152521579,,school,,,,,,
37.5507798,6.0153726,3152577212,,,,,,Yet Nebersh Primary School,,school
37.5435197,6.014584,3154030945,,,,,,Zuma School,,school
37.5444989,5.9993343,3154105362,,college,,,,College of Social Science & Humanities,,
37.4662075,6.4782926,3157658432,,,,,,Selam Ber High School,,school
37.5617539,6.0651173,3159111264,,university,,,,Arba Minch University Main Campus-AMIT,,
37.5593507,6.0598752,3159111878,,school,,,,AMU - Community School,,
37.5596027,6.0543447,3159116861,,school,,,,Lemat school,,
38.8156451,9.0042129,3161050428,,school,,,,,,
38.8145293,9.003895,3161050429,,school,,,,,,
37.9121814,7.9925359,3181570567,,school,,,,Burat School,,
39.8022371,10.285142,3196070461,,school,,,,,,
39.7786797,10.3331423,3196090711,,school,,,,,,
36.4805556,8.4113889,3330065610,,school,,,,Abdella HPS (Menschen fuer Menschen),,
41.5013889,9.4744444,3330065611,,school,,,,Boreda HSS (Menschen fuer Menschen),,
39.6088889,9.4586111,3330065612,,school,,,,Chare HPS (Menschen fuer Menschen),,
35.1058333,9.0408333,3330065613,,school,,,,Dereje Kaba HPS (Menschen fuer Menschen),,
38.7458333,10.8066667,3330065614,,school,,,,Dibat HPS (Menschen fuer Menschen),,
38.9291667,10.9719444,3330065615,,school,,,,Dibi Chire HPS (Menschen fuer Menschen),,
35.6477778,8.7752778,3330065616,,school,,,,Gobera Dembi HPS (Menschen fuer Menschen),,
38.0508333,9.9030556,3330065617,,school,,,,Goro Furtu HPS (Menschen fuer Menschen),,
38.0669444,9.615,3330065618,,school,,,,Haro HPS (Menschen fuer Menschen),,
39.4911111,9.3480556,3330065619,,school,,,,Koremash (Menschen fuer Menschen),,
38.1255556,9.6458333,3330065620,,school,,,,Kumdingay HPS (Menschen fuer Menschen),,
38.87,10.7763889,3330065621,,school,,,,Makefta HPS (Menschen fuer Menschen),,
37.8997222,9.6705556,3330065622,,school,,,,Muka Dima HPS (Menschen fuer Menschen),,
39.025,10.7244444,3330065623,,school,,,,Taye HPS (Menschen fuer Menschen),,
39.2325,9.3030556,3330065624,,school,,,,Tulefa HPS (Menschen fuer Menschen),,
41.9402778,9.4363889,3330065625,,school,,,,Water HSS (Menschen fuer Menschen),,
39.8583333,9.5261111,3330065626,,school,,,,Woldeager HPS (Menschen fuer Menschen),,
36.6441667,8.3525,3330065627,,school,,,,Yanfa HPS (Menschen fuer Menschen),,
39.7373846,13.8623238,3431245608,,school,,,,Atsbi High School,,
39.73798,13.8683652,3431245609,,school,,,,Atsbi Primary School,,
38.0733813,7.9447174,3517529844,,school,,,,Araket School,,
37.7808202,8.0433673,3517529848,,school,,,,Primary school,,
39.5552626,3.4597664,3696831494,,school,,,,Erestino Primary School,,
37.9318751,8.1146691,3772974160,,school,,,,,,
38.6779969,7.3643484,3787330213,,,,,,Woyyo Derera primary School,,school
39.5395081,13.5504562,3927461221,,school,,,,,,
38.8084847,9.0123304,3937531371,,kindergarten,,,,Regina Familiy Center,,
38.7295178,8.9822525,4123949893,,school,,,,Mekanisa Deaf School,,
38.807152,9.0019492,4183155489,,school,,,,ኢትዮ ፓረንትስ ት/ቤት,,
38.4868104,7.0273498,4186906506,,school,,,,Alamura High School,,
38.6247045,7.1036477,4187255140,,school,,,,elementary school,,
38.6946846,9.062568,4241283064,,school,,,,FetAwerari HabeteGiorgis,,
43.5507296,5.9445873,4253864790,,school,,,,Ugaas Mashkoke,,
43.5543593,5.950323,4253889089,,school,,,,Gode Health Science Collage,,
38.7270177,8.9937728,4258312020,,school,,,,Higher 23 Preparatory School,,
38.725883,8.995324,4258312021,,school,,,,Mekdela Elementary School,,
38.7303874,9.0130449,4295718961,,school,,,,EiABC (Ethiopian Institute of Architecture Building Construction & City Devlopment),,
38.8344297,9.0221665,4298877494,,college,,,,Ethiopian Civil Service College,,
38.8010249,9.0036995,4319747695,,school,,,,KB International Driving License School,,
38.8486977,8.9872579,4319799191,,school,,,,SHIBU EJERSA ELEMENTARY SCHOOL,,
38.7493018,9.0309183,4336825891,,school,,,,Lideta Catholic Cathedral School,,
43.5612191,5.9400089,4348226990,,school,,,,Gode Poly Technic Collage,,
39.1219845,13.5828656,4369326815,,school,,,,Seret Primary School,,
37.6249959,12.2600895,4374244529,,school,,,,Guzara High School,,
34.516667,10.066667,4384896097,,school,,,,,,
34.5598676,10.0911821,4384896705,,school,,,,,,
39.1252531,12.1070138,4385053293,,school,,,,,,
38.7296672,9.0217276,4396984194,,kindergarten,,,,ኪቲ,,
39.1490022,9.1943201,4405705299,,school,,,,የአሌልቱ የመጀመሪያ ደረጃ ት/ቤት,,
39.1503115,9.1906991,4405706799,,school,,,,,,
39.2560367,7.5416802,4406855601,,school,,,,በቆጂ መሰናዶ  ት/ቤት,,
39.2477758,7.5334408,4406891603,,kindergarten,,,,,,
39.2640766,7.5440126,4406891604,,school,,,,,,
39.2544968,7.5354662,4406892790,,school,,,,በቆጂ መለስተኛ  ት/ቤት,,
39.2576105,7.5304115,4406895191,,school,,,,,,
39.2498108,7.5329433,4406898599,,kindergarten,,,,,,
39.246507,7.5251029,4406936289,,school,,,,አርሲ ዩኒቨርስቲ በቆጂ ካምፓስ,,
39.2543131,7.5419754,4406936293,,school,,,,በቆጂ ከፍተኛ  ሁለተኛ ደረጃ  ት/ቤት,,
38.7346587,9.0650061,4411935173,,kindergarten,,,,Regina Familiy Center,,
39.1490926,9.1941485,4414389389,,school,,,,,,
