end_year,adm_1,best
2014,Unity state,10
2014,Jonglei state,0
2014,Jonglei state,0
2014,Unity state,60
2014,Lakes state,1
2014,Upper Nile state,9
2014,Upper Nile state,51
2014,Upper Nile state,17
2014,Jonglei state,2
2014,Jonglei state,10
2014,Jonglei state,0
2014,Jonglei state,10
2014,Upper Nile state,1
2014,Jonglei state,46
2014,Unity state,470
2014,Upper Nile state,0
2014,Unity state,35
2014,Unity state,28
2014,Jonglei state,0
2014,Upper Nile state,0
2014,West Bahr-al-Ghazal state,40
2014,West Bahr-al-Ghazal state,3
2014,Unity state,3
2014,Unity state,2
2014,Upper Nile state,1
2014,Unity state,21
2014,Warap state,8
2014,North Bahr-al-Ghazal state,1
2014,North Bahr-al-Ghazal state,35
2014,Unity state,96
2014,North Bahr-al-Ghazal state,61
2014,Upper Nile state,100
2014,Jonglei state,52
2014,Upper Nile state,32
2014,Jonglei state,126
2014,Unity state,3
2014,Upper Nile state,90
2014,Upper Nile state,89
2014,Upper Nile state,2
2014,Unity state,1
2014,Unity state,2
2014,Unity state,1
2014,Upper Nile state,29
2014,Unity state,0
2014,Unity state,0
2014,Unity state,0
2015,Unity state,3
2015,Upper Nile state,3
2015,Upper Nile state,8
2015,Unity state,10
2015,Upper Nile state,25
2015,Upper Nile state,25
2015,Upper Nile state,3
2015,Upper Nile state,144
2015,Unity state,13
2015,Unity state,1
2015,Unity state,15
2015,Upper Nile state,36
2015,Upper Nile state,3
2015,Unity state,2
2015,Upper Nile state,2
2015,Upper Nile state,9
2015,Upper Nile state,2
2015,West Equatoria state,3
2015,Upper Nile state,13
2015,North Bahr-al-Ghazal state,2
2015,Unity state,6
2015,Unity state,24
2015,Unity state,35
2015,Unity state,28
2015,Unity state,51
2015,Unity state,19
2015,Unity state,0
2015,Unity state,0
2015,Upper Nile state,0
2015,West Equatoria state,4
2015,West Bahr-al-Ghazal state,2
2015,West Bahr-al-Ghazal state,2
2016,Unity state,7
2016,Unity state,0
2016,West Bahr-al-Ghazal state,6
2016,North Bahr-al-Ghazal state,2
2016,Central Equatoria state,1
2016,Central Equatoria state,4
2016,West Bahr-al-Ghazal state,34
2016,Central Equatoria state,1
2016,Central Equatoria state,1
2016,Central Equatoria state,5
2016,Central Equatoria state,5
2016,Central Equatoria state,271
2016,Central Equatoria state,50
2016,Central Equatoria state,2
2016,Central Equatoria state,2
2016,Central Equatoria state,9
2016,Central Equatoria state,3
2016,Jonglei state,153
2016,Central Equatoria state,20
2016,,32
2016,Upper Nile state,60
2016,Unity state,18
2016,Upper Nile state,0
2016,Central Equatoria state,13
2016,West Equatoria state,4
2016,Unity state,15
2016,Jonglei state,3
2016,Unity state,7
2016,Unity state,7
2017,Central Equatoria state,1
2017,Unity state,5
2017,East Equatoria state,3
2017,East Equatoria state,2
2017,Unity state,2
2017,Upper Nile state,2
2017,Upper Nile state,3
2017,Upper Nile state,2
2017,Upper Nile state,5
2017,Upper Nile state,3
2017,East Equatoria state,0
2017,Jonglei state,23
2017,Central Equatoria state,0
2017,Central Equatoria state,5
2017,West Bahr-al-Ghazal state,11
2017,West Bahr-al-Ghazal state,0
2017,West Bahr-al-Ghazal state,2
2017,West Bahr-al-Ghazal state,5
2017,West Bahr-al-Ghazal state,3
2017,West Bahr-al-Ghazal state,16
2017,West Bahr-al-Ghazal state,100
2017,Upper Nile state,1
2017,Central Equatoria state,4
2017,Jonglei state,0
2017,East Equatoria state,14
2017,East Equatoria state,18
2017,Upper Nile state,1
2017,Upper Nile state,5
2017,Upper Nile state,14
2017,West Bahr-al-Ghazal state,13
2017,West Bahr-al-Ghazal state,1
2017,Central Equatoria state,19
2017,Upper Nile state,3
2017,Upper Nile state,4
2017,Unity state,25
2017,Jonglei state,4
2017,Jonglei state,13
2017,Central Equatoria state,2
2017,Central Equatoria state,5
2017,Unity state,12
2017,Unity state,10
2017,West Equatoria state,3
2017,Unity state,58
2017,Central Equatoria state,2
2017,West Bahr-al-Ghazal state,8
2017,West Bahr-al-Ghazal state,7
2017,Central Equatoria state,15
2017,West Equatoria state,5
2017,Unity state,19
2017,Central Equatoria state,4
2017,Unity state,2
2017,Unity state,0
2018,Unity state,0
2018,Central Equatoria state,6
2018,Central Equatoria state,3
2018,Central Equatoria state,8
2018,Central Equatoria state,6
2018,East Equatoria state,7
2018,West Bahr-al-Ghazal state,1
2018,Upper Nile state,40
2018,Jonglei state,9
2018,Central Equatoria state,1
2018,Central Equatoria state,1
2018,West Bahr-al-Ghazal state,2
2018,Central Equatoria state,6
2018,Jonglei state,4
2018,East Equatoria state,2
2018,Upper Nile state,0
2018,Jonglei state,6
2018,West Bahr-al-Ghazal state,0
2018,West Bahr-al-Ghazal state,15
2018,Unity state,1
2018,West Bahr-al-Ghazal state,5
2018,Unity state,128
2018,Unity state,8
2018,Unity state,1
2018,Jonglei state,9
2018,Unity state,16
2018,Unity state,15
2018,Unity state,4
2018,West Equatoria state,10
2018,West Equatoria state,11
2018,Unity state,1
2018,Jonglei state,3
2018,Unity state,3
2018,Jonglei state,1
2018,Central Equatoria state,0
2018,West Equatoria state,1
2018,Upper Nile state,7
2018,West Bahr-al-Ghazal state,14
2018,Central Equatoria state,1
2018,Unity state,14
2018,West Bahr-al-Ghazal state,4
2018,West Equatoria state,6
2018,Central Equatoria state,10
2018,Upper Nile state,4
2018,Upper Nile state,2
2018,West Equatoria state,1
2018,West Equatoria state,1
2018,West Bahr-al-Ghazal state,4
2018,Unity state,0
2018,Unity state,0
2018,Unity state,3
2018,West Bahr-al-Ghazal state,18
2018,West Bahr-al-Ghazal state,6
2018,West Equatoria state,1
2018,Jonglei state,2
2018,Jonglei state,2
2018,Unity state,1
2018,Upper Nile state,18
2018,Unity state,0
2018,West Equatoria state,0
2018,West Equatoria state,0
2018,Central Equatoria state,6
2018,West Bahr-al-Ghazal state,4
2018,West Bahr-al-Ghazal state,1
2018,Unity state,10
2018,West Bahr-al-Ghazal state,1
2018,Central Equatoria state,2
2018,Central Equatoria state,4
2018,Central Equatoria state,5
2018,Central Equatoria state,8
2018,Central Equatoria state,4
2018,West Bahr-al-Ghazal state,1
2018,West Bahr-al-Ghazal state,1
2018,West Bahr-al-Ghazal state,1
2018,Central Equatoria state,0
2018,Lakes state,2
2018,West Bahr-al-Ghazal state,2
2018,Unity state,21
2018,Unity state,1
2019,Jonglei state,3
2019,Upper Nile state,0
2013,Unity state,5
2013,,13
2013,Unity state,39
2013,Jonglei state,3
2013,Jonglei state,0
2013,Jonglei state,6
2013,Jonglei state,9
2013,Jonglei state,4
2013,Unity state,5
2013,Unity state,1
2013,Jonglei state,12
2013,Jonglei state,6
2014,Upper Nile state,4
2014,Upper Nile state,2
2014,Jonglei state,36
2014,Jonglei state,22
2014,Jonglei state,14
2014,Jonglei state,13
2014,Jonglei state,7
2014,Upper Nile state,1
2014,Upper Nile state,2
2014,Upper Nile state,1
2014,Upper Nile state,2
2014,Upper Nile state,10
2014,Upper Nile state,4
2014,Upper Nile state,9
2014,Upper Nile state,2
2014,Upper Nile state,1
2014,Upper Nile state,2
2014,Upper Nile state,3
2014,Unity state,336
2014,Jonglei state,17
2014,Upper Nile state,0
2014,Upper Nile state,12
2014,Upper Nile state,12
2014,Upper Nile state,11
2014,Upper Nile state,11
2014,Upper Nile state,11
2014,Upper Nile state,26
2014,Unity state,11
2015,Upper Nile state,1
2016,Central Equatoria state,1
2016,,9
2016,Central Equatoria state,31
2017,East Equatoria state,1
2017,Central Equatoria state,5
2017,Lakes state,16
2017,Jonglei state,0
2017,Jonglei state,0
2017,Jonglei state,0
2017,East Equatoria state,0
2017,Central Equatoria state,2
2018,Unity state,3
2018,Central Equatoria state,2
2018,West Equatoria state,9
2018,West Equatoria state,2
2018,West Equatoria state,2
2018,Central Equatoria state,1
2018,Central Equatoria state,0
2018,Central Equatoria state,7
2018,Central Equatoria state,1
2019,Upper Nile state,0
2019,Warap state,7
2019,,26
2019,Unity state,1
2015,Warap state,92
2015,Lakes state,26
2015,Lakes state,26
2015,Lakes state,26
2014,Lakes state,15
2016,Lakes state,62
2016,Warap state,86
2016,Upper Nile state,3
2016,Upper Nile state,13
2016,Upper Nile state,32
2018,Central Equatoria state,7
2018,Central Equatoria state,1
2018,Central Equatoria state,7
2018,Central Equatoria state,2
2019,Central Equatoria state,16
2019,Central Equatoria state,19
2019,Central Equatoria state,0
2019,Central Equatoria state,3
2019,Central Equatoria state,10
2019,Central Equatoria state,1
2019,Central Equatoria state,7
2019,Central Equatoria state,6
2019,West Equatoria state,0
2019,Central Equatoria state,1
2019,Central Equatoria state,2
2019,Central Equatoria state,1
2019,Central Equatoria state,4
2019,Central Equatoria state,8
2019,East Equatoria state,2
2019,Central Equatoria state,0
2019,Central Equatoria state,1
2019,Central Equatoria state,16
2019,Central Equatoria state,13
2019,Central Equatoria state,0
2017,Lakes state,30
2017,Lakes state,172
2019,Lakes state,0
2017,Central Equatoria state,3
2018,West Equatoria state,1
2018,Central Equatoria state,1
2018,Central Equatoria state,5
2018,Central Equatoria state,12
2018,Central Equatoria state,15
2018,Central Equatoria state,17
2019,Central Equatoria state,2
2019,West Equatoria state,7
2019,West Equatoria state,1
2019,Central Equatoria state,1
2017,Upper Nile state,35
2017,Lakes state,44
2017,Warap state,43
2018,Warap state,23
2018,Warap state,21
2018,Warap state,22
2018,Warap state,32
2018,Jonglei state,86
2018,Jonglei state,26
2018,Jonglei state,70
2019,Jonglei state,81
2019,Jonglei state,17
2018,Warap state,42
2018,Lakes state,10
2019,Lakes state,23
2019,Lakes state,26
2019,Lakes state,30
2018,Jonglei state,0
2018,Jonglei state,25
2018,Jonglei state,0
2018,Jonglei state,0
2019,East Equatoria state,22
2019,East Equatoria state,20
2019,Warap state,28
