id,source,target,SUID,source_url,interaction,confidence,shared_interaction,name,shared_name,contract_share,log_message,ownership_type,start_date,source_date,ownership_status
5606,1906,1893,5606,http://www.simco-pet.com/files/ATLAS%20MMEA%20Jan11+maps.pdf,-,Low,-,n23286 (-) n23273,n23286 (-) n23273,,,,,,
5304,1906,1592,5304,http://www.simco-pet.com/files/ATLAS%20MMEA%20Jan11+maps.pdf,-,Low,-,n23286 (-) n22972,n23286 (-) n22972,30,,,,,
5303,1906,1591,5303,http://www.simco-pet.com/files/ATLAS%20MMEA%20Jan11+maps.pdf,-,Low,-,n23286 (-) n22971,n23286 (-) n22971,70,,,,,
5302,1906,1398,5302,http://www.simco-pet.com/files/ATLAS%20MMEA%20Jan11+maps.pdf,-,Low,-,n23286 (-) n22778,n23286 (-) n22778,70,,,,,
5605,1905,1893,5605,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,-,Low,-,n23285 (-) n23273,n23285 (-) n23273,,,,,,
5301,1905,1451,5301,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,-,Low,-,n23285 (-) n22831,n23285 (-) n22831,40,,,,,
5300,1905,1356,5300,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,-,Low,-,n23285 (-) n22736,n23285 (-) n22736,40,,,,,
5299,1905,1590,5299,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,-,Low,-,n23285 (-) n22970,n23285 (-) n22970,10,,,,,
5298,1905,1892,5298,http://energymixreport.com/the-rise-of-the-nigerian-independent-part-2-conoil/,-,Low,-,n23285 (-) n23272,n23285 (-) n23272,50,,,,,
5604,1904,1893,5604,http://www.ng.total.com/02_about_tepng/0207_tepngs_role.htm,-,Low,-,n23284 (-) n23273,n23284 (-) n23273,,,,,,
5297,1904,1572,5297,http://www.ng.total.com/02_about_tepng/0207_tepngs_role.htm,-,Low,-,n23284 (-) n22952,n23284 (-) n22952,40,,,,,
5296,1904,1363,5296,http://www.ng.total.com/02_about_tepng/0207_tepngs_role.htm,-,Low,-,n23284 (-) n22743,n23284 (-) n22743,40,,,,,
5295,1904,1451,5295,http://www.ng.total.com/02_about_tepng/0207_tepngs_role.htm,-,Low,-,n23284 (-) n22831,n23284 (-) n22831,60,,,,,
5294,1904,1356,5294,http://www.ng.total.com/02_about_tepng/0207_tepngs_role.htm,-,Low,-,n23284 (-) n22736,n23284 (-) n22736,60,,,,,
5603,1903,1893,5603,http://africaoilgasreport.com/2013/11/farm-in-farm-out/chevron-wraps-up-eastern-nigeria-lease-sale-with-three-clear-winners/,-,Low,-,n23283 (-) n23273,n23283 (-) n23273,,,,,,
5293,1903,1572,5293,http://africaoilgasreport.com/2013/11/farm-in-farm-out/chevron-wraps-up-eastern-nigeria-lease-sale-with-three-clear-winners/,-,Low,-,n23283 (-) n22952,n23283 (-) n22952,60,,,,,
5292,1903,1363,5292,http://africaoilgasreport.com/2013/11/farm-in-farm-out/chevron-wraps-up-eastern-nigeria-lease-sale-with-three-clear-winners/,-,Low,-,n23283 (-) n22743,n23283 (-) n22743,60,,,,,
5291,1903,1409,5291,http://africaoilgasreport.com/2013/11/farm-in-farm-out/chevron-wraps-up-eastern-nigeria-lease-sale-with-three-clear-winners/,-,Low,-,n23283 (-) n22789,n23283 (-) n22789,40,,,,,
5602,1902,1893,5602,http://total.com/en/energies-expertise/oil-gas/expln/projects-achievements/others/ima,-,Low,-,n23282 (-) n23273,n23282 (-) n23273,,,,,,
5290,1902,1451,5290,http://total.com/en/energies-expertise/oil-gas/expln/projects-achievements/others/ima,-,Low,-,n23282 (-) n22831,n23282 (-) n22831,40,,,,,
5289,1902,1356,5289,http://total.com/en/energies-expertise/oil-gas/expln/projects-achievements/others/ima,-,Low,-,n23282 (-) n22736,n23282 (-) n22736,40,,,,,
5288,1902,1409,5288,http://total.com/en/energies-expertise/oil-gas/expln/projects-achievements/others/ima,-,Low,-,n23282 (-) n22789,n23282 (-) n22789,60,,,,,
5601,1901,1893,5601,http://www.newswire.ca/fr/story/326777/addax-petroleum-acquires-shallow-water-exploration-license-in-nigeria,-,Low,-,n23281 (-) n23273,n23281 (-) n23273,,,,,,
5287,1901,1496,5287,http://www.newswire.ca/fr/story/326777/addax-petroleum-acquires-shallow-water-exploration-license-in-nigeria,-,Low,-,n23281 (-) n22876,n23281 (-) n22876,6,,,,,
5286,1901,1588,5286,http://www.newswire.ca/fr/story/326777/addax-petroleum-acquires-shallow-water-exploration-license-in-nigeria,-,Low,-,n23281 (-) n22968,n23281 (-) n22968,15,,,,,
5285,1901,1585,5285,http://www.newswire.ca/fr/story/326777/addax-petroleum-acquires-shallow-water-exploration-license-in-nigeria,-,Low,-,n23281 (-) n22965,n23281 (-) n22965,39,,,,,
5284,1901,1573,5284,http://www.newswire.ca/fr/story/326777/addax-petroleum-acquires-shallow-water-exploration-license-in-nigeria,-,Low,-,n23281 (-) n22953,n23281 (-) n22953,40,,,,,
5283,1901,1365,5283,http://www.newswire.ca/fr/story/326777/addax-petroleum-acquires-shallow-water-exploration-license-in-nigeria,-,Low,-,n23281 (-) n22745,n23281 (-) n22745,40,,,,,
5600,1900,1893,5600,http://www.igbofocus.co.uk/How_the_North_Cornered_Nigeria/how_the_north_cornered_nigeria-s_oil_blocs.html,-,Low,-,n23280 (-) n23273,n23280 (-) n23273,,,,,,
5282,1900,1587,5282,http://www.igbofocus.co.uk/How_the_North_Cornered_Nigeria/how_the_north_cornered_nigeria-s_oil_blocs.html,-,Low,-,n23280 (-) n22967,n23280 (-) n22967,2.5,,,,,
5281,1900,1586,5281,http://www.igbofocus.co.uk/How_the_North_Cornered_Nigeria/how_the_north_cornered_nigeria-s_oil_blocs.html,-,Low,-,n23280 (-) n22966,n23280 (-) n22966,40,,,,,
5280,1900,1585,5280,http://www.igbofocus.co.uk/How_the_North_Cornered_Nigeria/how_the_north_cornered_nigeria-s_oil_blocs.html,-,Low,-,n23280 (-) n22965,n23280 (-) n22965,57.5,,,,,
5599,1899,1893,5599,http://www.offshore-technology.com/projects/okwokfield/,-,Low,-,n23279 (-) n23273,n23279 (-) n23273,,,,,,
5279,1899,1465,5279,http://www.offshore-technology.com/projects/okwokfield/,-,Low,-,n23279 (-) n22845,n23279 (-) n22845,28,,,,,
5278,1899,1584,5278,http://www.offshore-technology.com/projects/okwokfield/,-,Low,-,n23279 (-) n22964,n23279 (-) n22964,12,,,,,
5277,1899,1583,5277,http://www.offshore-technology.com/projects/okwokfield/,-,Low,-,n23279 (-) n22963,n23279 (-) n22963,60,,,,,
5598,1897,1893,5598,https://www.addaxpetroleum.com/about-us/news/130-nigeria-china-petrochemical-corporation-sinopec-group-is-in-the-final-stages-of-acquiring-totals-interest-in-oml-138-offshore-nigeria,-,Low,-,n23277 (-) n23273,n23277 (-) n23273,,,,,,
5276,1897,1573,5276,https://www.addaxpetroleum.com/about-us/news/130-nigeria-china-petrochemical-corporation-sinopec-group-is-in-the-final-stages-of-acquiring-totals-interest-in-oml-138-offshore-nigeria,-,Low,-,n23277 (-) n22953,n23277 (-) n22953,20,,,,,
5275,1897,1365,5275,https://www.addaxpetroleum.com/about-us/news/130-nigeria-china-petrochemical-corporation-sinopec-group-is-in-the-final-stages-of-acquiring-totals-interest-in-oml-138-offshore-nigeria,-,Low,-,n23277 (-) n22745,n23277 (-) n22745,20,,,,,
