id,SUID,field,selected,name,shared_name,license_area,description,end_date,start_date,duration_months,value_currency_unit,directors,foundation_date,other_names,shareholders,headquarters,oc_id,website
1815,1815,Port Harcourt,FALSE,Dredging/Sweeping of main Jetty,Dredging/Sweeping of main Jetty,,Dredging/Sweeping of main Jetty,,2007,,,,,,,,,
1814,1814,Brass,FALSE,Sweeping of Nigeria Agip Oil Company Jetty,Sweeping of Nigeria Agip Oil Company Jetty,,Sweeping of Nigeria Agip Oil Company Jetty,2008,2007,,,,,,,,,
1813,1813,Mbiama,FALSE,"Stockpiling of 80,000m3 of sand","Stockpiling of 80,000m3 of sand",,"Stockpiling of 80,000m3 of sand",,2008,,,,,,,,,
1812,1812,Nangley,FALSE,Fabrication and installation of WPP platform for IMA 13 and IMA 14,Fabrication and installation of WPP platform for IMA 13 and IMA 14,,Fabrication and installation of WPP platform for IMA 13 and IMA 14,,2010,,,,,,,,,
1811,1811,,FALSE,Provision of Dredging Services in The Niger Delta,Provision of Dredging Services in The Niger Delta,,Provision of Dredging Services in The Niger Delta,,,,,,,,,,,
1810,1810,Kwale,FALSE,Partial Refurbishment of Kwale Gas Plant,Partial Refurbishment of Kwale Gas Plant,,Partial Refurbishment of Kwale Gas Plant,,,,,,,,,,,
1809,1809,,FALSE," I: calibration services, installation, instrument and equipment certification, pre-commissioning and commissioning"," I: calibration services, installation, instrument and equipment certification, pre-commissioning and commissioning",," I: calibration services, installation, instrument and equipment certification, pre-commissioning and commissioning",,,,,,,,,,,
1808,1808,,FALSE,Total Overhaul of Desel Emergency Generator at OML -116 Agbara Platform,Total Overhaul of Desel Emergency Generator at OML -116 Agbara Platform,,Total Overhaul of Desel Emergency Generator at OML -116 Agbara Platform,,,,,,,,,,,
1807,1807,Obagi,FALSE,Ignition revamp of NP4: ignition control system (cat. G3512),Ignition revamp of NP4: ignition control system (cat. G3512),,Ignition revamp of NP4: ignition control system (cat. G3512),,,,,,,,,,,
1806,1806,Ahia,FALSE, Construction Of 4” Flowline at Ahia Well 7, Construction Of 4” Flowline at Ahia Well 7,, Construction Of 4” Flowline at Ahia Well 7,,,,,,,,,,,
1805,1805,,FALSE," 8"" Coated pipes"," 8"" Coated pipes",," 8"" Coated pipes",,,,,,,,,,,
1804,1804,,FALSE,Suffolk Engineering and Construction Limited,Suffolk Engineering and Construction Limited,,,,,,,,,,,,,
1803,1803,Obagi,FALSE," Installation of Differential pressure transmitter PIN - 3051CDQAQ2AIJH2 BAE8LAM6Q4 T1P1,Differential pressure transmitter PIN 3051CD3A22AIJB4E8L4M6Q4 TIP1"," Installation of Differential pressure transmitter PIN - 3051CDQAQ2AIJH2 BAE8LAM6Q4 T1P1,Differential pressure transmitter PIN 3051CD3A22AIJB4E8L4M6Q4 TIP1",," Installation of Differential pressure transmitter PIN - 3051CDQAQ2AIJH2 BAE8LAM6Q4 T1P1,Differential pressure transmitter PIN 3051CD3A22AIJB4E8L4M6Q4 TIP1",,,,,,,,,,,
1802,1802,,FALSE,Land and Swamp rig inspection,Land and Swamp rig inspection,,Land and Swamp rig inspection,,,,,,,,,,,
1801,1801,,FALSE,Supply and installation of BUC street light accessory,Supply and installation of BUC street light accessory,,Supply and installation of BUC street light accessory,,,,,,,,,,,
1800,1800,,FALSE,harter and operation of one 500MT dumb barge,harter and operation of one 500MT dumb barge,,harter and operation of one 500MT dumb barge,,,,,,,,,,,
1799,1799,"Qua Iboe, Eket",FALSE,"Supply of meter, watt, analog, transformer rated 0-1600 kw/scale, 120vac, 5amp, 3phase, 50/60H3 CT Ratio 200:5; PT ratio 480:120; Cw1000, 3-15/16 in Od, 4­1/4 in square flange, 7 in high. Mfg: Compton instruments Inc. (PIN 077- 218A­QQXX -C6)","Supply of meter, watt, analog, transformer rated 0-1600 kw/scale, 120vac, 5amp, 3phase, 50/60H3 CT Ratio 200:5; PT ratio 480:120; Cw1000, 3-15/16 in Od, 4­1/4 in square flange, 7 in high. Mfg: Compton instruments Inc. (PIN 077- 218A­QQXX -C6)",,"Supply of meter, watt, analog, transformer rated 0-1600 kw/scale, 120vac, 5amp, 3phase, 50/60H3 CT Ratio 200:5; PT ratio 480:120; Cw1000, 3-15/16 in Od, 4­1/4 in square flange, 7 in high. Mfg: Compton instruments Inc. (PIN 077- 218A­QQXX -C6)",,,,,,,,,,,
1798,1798,,FALSE,Procurement and installation of fire and gas detection system for the office facilities,Procurement and installation of fire and gas detection system for the office facilities,,Procurement and installation of fire and gas detection system for the office facilities,,,,,,,,,,,
1797,1797,Oguta,FALSE,Installation and commissioning of Radio Telecommunication system for Oguta SPDC facility,Installation and commissioning of Radio Telecommunication system for Oguta SPDC facility,,Installation and commissioning of Radio Telecommunication system for Oguta SPDC facility,,,,,,,,,,,
1796,1796,,FALSE, Enzer for turn around maintenance, Enzer for turn around maintenance,, Enzer for turn around maintenance,,,,,,,,,,,
1795,1795,Escravos,FALSE, Electrical works for EGP3A Project at Escravos, Electrical works for EGP3A Project at Escravos,, Electrical works for EGP3A Project at Escravos,,2008-07,,,,,,,,,
1794,1794,Abiteye,FALSE,Installation of Surge Vessels in Abiteye Flow Station,Installation of Surge Vessels in Abiteye Flow Station,,Installation of Surge Vessels in Abiteye Flow Station,,2010-03,,,,,,,,,
1793,1793,,FALSE,Provision of IT Support Services at MPN Locations,Provision of IT Support Services at MPN Locations,,Provision of IT Support Services at MPN Locations,,2010-11,,,,,,,,,
1792,1792,,FALSE,Computer Donations and Installation to Four (4) Nigerian Universities,Computer Donations and Installation to Four (4) Nigerian Universities,,Computer Donations and Installation to Four (4) Nigerian Universities,,2011-01,,,,,,,,,
1791,1791,,FALSE, Abuja, Abuja,, Abuja,,2011-01,,,,,,,,,
1790,1790,,FALSE,"Call-Off Contract for Procurement, Installation and Commissioning of Caterpillar Generators","Call-Off Contract for Procurement, Installation and Commissioning of Caterpillar Generators",,"Call-Off Contract for Procurement, Installation and Commissioning of Caterpillar Generators",,2011-01,,,,,,,,,
1789,1789,,FALSE,Carriage Of Dangerous Goods Training,Carriage Of Dangerous Goods Training,,Carriage Of Dangerous Goods Training,2012,2011,,,,,,,,,
1788,1788,,FALSE,Provision Of Defensive Driving Technique,Provision Of Defensive Driving Technique,,Provision Of Defensive Driving Technique at Warri/Lagos,,2012,,,,,,,,,
1787,1787,Nembe Creek,FALSE,Provision Of Environmental Monitoring Services On The Nembe Creek- Cawthorne Channel Trunk line (NCTL) Replacement Project (Package A),Provision Of Environmental Monitoring Services On The Nembe Creek- Cawthorne Channel Trunk line (NCTL) Replacement Project (Package A),,Provision Of Environmental Monitoring Services On The Nembe Creek- Cawthorne Channel Trunk line (NCTL) Replacement Project (Package A),,2008,,,,,,,,,
1786,1786,Kuyere,FALSE,nbsp; 279,nbsp; 279,,nbsp; 279,,2009,,,,,,,,,
1785,1785,Ughelli East,FALSE,Provision Of Remediation Services Ughelli East W9 Site 2 Package 10,Provision Of Remediation Services Ughelli East W9 Site 2 Package 10,,Provision Of Remediation Services Ughelli East W9 Site 2 Package 10,,2011,,,,,,,,,
1784,1784,Pirigbene,FALSE,Environmental Impact Assessment (EIA) Of Pirigbene Field Further Development Project,Environmental Impact Assessment (EIA) Of Pirigbene Field Further Development Project,,Environmental Impact Assessment (EIA) Of Pirigbene Field Further Development Project,,2011,,,,,,,,,
1783,1783,,FALSE,"Leased from Brawal shipping (Nigeria) limited 1,500sq.meters of land for Bulk Plant Facility at Federal Lighter Terminal, ONNE Free Port zone","Leased from Brawal shipping (Nigeria) limited 1,500sq.meters of land for Bulk Plant Facility at Federal Lighter Terminal, ONNE Free Port zone",,"Leased from Brawal shipping (Nigeria) limited 1,500sq.meters of land for Bulk Plant Facility at Federal Lighter Terminal, ONNE Free Port zone",,1999,,,,,,,,,
1782,1782,,FALSE,Provision of Drilling Fluids Chemicals and Mdd Engineering Services,Provision of Drilling Fluids Chemicals and Mdd Engineering Services,,Provision of Drilling Fluids Chemicals and Mdd Engineering Services,,2006,,,,,,,,,
1781,1781,,FALSE,supply of Drilling Fluids Chemicals and mud engineering Services during Stubb Creek Well Re-Entry,supply of Drilling Fluids Chemicals and mud engineering Services during Stubb Creek Well Re-Entry,,supply of Drilling Fluids Chemicals and mud engineering Services during Stubb Creek Well Re-Entry,,2006,,,,,,,,,
1780,1780,,FALSE,Fluids and Mud Engineering Services,Fluids and Mud Engineering Services,,Fluids and Mud Engineering Services,,2006,24,,,,,,,,
1779,1779,,FALSE,supply of Barytes and Calcium Carbonate,supply of Barytes and Calcium Carbonate,,supply of Barytes and Calcium Carbonate,,2007,,,,,,,,,
