id,SUID,field,selected,name,shared_name,license_area,description,end_date,start_date,duration_months,value_currency_unit,directors,foundation_date,other_names,shareholders,headquarters,oc_id,website
1323,1323,,FALSE,Turkey,Turkey,,,,,,,,,,,,,
1322,1322,,FALSE,Trinidad and Tobago .,Trinidad and Tobago .,,,,,,,,,,,,,
1321,1321,,FALSE,Trinidad and Tobago,Trinidad and Tobago,,,,,,,,,,,,,
1320,1320,,FALSE,Thailand,Thailand,,,,,,,,,,,,,
1319,1319,,FALSE,Taiwan,Taiwan,,,,,,,,,,,,,
1318,1318,,FALSE,Sweden,Sweden,,,,,,,,,,,,,
1317,1317,,FALSE,Swaziland,Swaziland,,,,,,,,,,,,,
1316,1316,,FALSE,Spain,Spain,,,,,,,,,,,,,
1315,1315,,FALSE,South Africa,South Africa,,,,,,,,,,,,,
1314,1314,,FALSE,Slovakia,Slovakia,,,,,,,,,,,,,
1313,1313,,FALSE,Singapore,Singapore,,,,,,,,,,,,,
1312,1312,,FALSE,Saudi Arabia,Saudi Arabia,,,,,,,,,,,,,
1311,1311,,FALSE,Russian Federation,Russian Federation,,,,,,,,,,,,,
1310,1310,,FALSE,Romania,Romania,,,,,,,,,,,,,
1309,1309,,FALSE,Portugal,Portugal,,,,,,,,,,,,,
1308,1308,,FALSE,Poland,Poland,,,,,,,,,,,,,
1307,1307,,FALSE,Philippines,Philippines,,,,,,,,,,,,,
1306,1306,,FALSE,Peru,Peru,,,,,,,,,,,,,
1305,1305,,FALSE,Panama,Panama,,,,,,,,,,,,,
1304,1304,,FALSE,Pakistan,Pakistan,,,,,,,,,,,,,
1303,1303,,FALSE,Oman,Oman,,,,,,,,,,,,,
1302,1302,,FALSE,Norway,Norway,,,,,,,,,,,,,
1301,1301,,FALSE,Nigeria,Nigeria,,,,,,,,,,,,,
1300,1300,,FALSE,New Zealand,New Zealand,,,,,,,,,,,,,
1299,1299,,FALSE,Netherlands,Netherlands,,,,,,,,,,,,,
1298,1298,,FALSE,Mozambique,Mozambique,,,,,,,,,,,,,
1297,1297,,FALSE,Mexico,Mexico,,,,,,,,,,,,,
1296,1296,,FALSE,Mauritius,Mauritius,,,,,,,,,,,,,
1295,1295,,FALSE,Malta,Malta,,,,,,,,,,,,,
1294,1294,,FALSE,Malaysia -,Malaysia -,,,,,,,,,,,,,
1293,1293,,FALSE,Malaysia,Malaysia,,,,,,,,,,,,,
1292,1292,,FALSE,Luxembourg,Luxembourg,,,,,,,,,,,,,
1291,1291,,FALSE,Lesotho,Lesotho,,,,,,,,,,,,,
1290,1290,,FALSE,Lebanon,Lebanon,,,,,,,,,,,,,
1289,1289,,FALSE,"Korea, Republic of","Korea, Republic of",,,,,,,,,,,,,
1288,1288,,FALSE,Kazakhstan,Kazakhstan,,,,,,,,,,,,,
1287,1287,,FALSE,Jersey,Jersey,,,,,,,,,,,,,
1286,1286,,FALSE,Japan,Japan,,,,,,,,,,,,,
1285,1285,,FALSE,Jamaica,Jamaica,,,,,,,,,,,,,
1284,1284,,FALSE,Italy,Italy,,,,,,,,,,,,,
1283,1283,,FALSE,Isle of Man,Isle of Man,,,,,,,,,,,,,
1282,1282,,FALSE,Ireland,Ireland,,,,,,,,,,,,,
1281,1281,,FALSE,Indonesia,Indonesia,,,,,,,,,,,,,
1280,1280,,FALSE,India,India,,,,,,,,,,,,,
1279,1279,,FALSE,Hungary,Hungary,,,,,,,,,,,,,
1278,1278,,FALSE,Hong Kong,Hong Kong,,,,,,,,,,,,,
1277,1277,,FALSE,Guernsey,Guernsey,,,,,,,,,,,,,
1276,1276,,FALSE,Greece,Greece,,,,,,,,,,,,,
1275,1275,,FALSE,Germany .,Germany .,,,,,,,,,,,,,
1274,1274,,FALSE,"Germany ,","Germany ,",,,,,,,,,,,,,
1273,1273,,FALSE,Germany,Germany,,,,,,,,,,,,,
1272,1272,,FALSE,Georgia,Georgia,,,,,,,,,,,,,
1271,1271,,FALSE,"France ""","France """,,,,,,,,,,,,,
1270,1270,,FALSE,France,France,,,,,,,,,,,,,
1269,1269,,FALSE,Finland,Finland,,,,,,,,,,,,,
1268,1268,,FALSE,Estonia,Estonia,,,,,,,,,,,,,
1267,1267,,FALSE,Egypt,Egypt,,,,,,,,,,,,,
1266,1266,,FALSE,Ecuador,Ecuador,,,,,,,,,,,,,
1265,1265,,FALSE,Denmark,Denmark,,,,,,,,,,,,,
1264,1264,,FALSE,Czech Republic,Czech Republic,,,,,,,,,,,,,
1263,1263,,FALSE,Cuba,Cuba,,,,,,,,,,,,,
1262,1262,,FALSE,Colombia,Colombia,,,,,,,,,,,,,
1261,1261,,FALSE,China ..,China ..,,,,,,,,,,,,,
1260,1260,,FALSE,China,China,,,,,,,,,,,,,
1259,1259,,FALSE,Chile,Chile,,,,,,,,,,,,,
1258,1258,,FALSE,Cayman Islands,Cayman Islands,,,,,,,,,,,,,
1257,1257,,FALSE,"Canada g""","Canada g""",,,,,,,,,,,,,
1256,1256,,FALSE,Canada,Canada,,,,,,,,,,,,,
1255,1255,,FALSE,Bulgaria,Bulgaria,,,,,,,,,,,,,
1254,1254,,FALSE,Brazil,Brazil,,,,,,,,,,,,,
1253,1253,,FALSE,Bolivia,Bolivia,,,,,,,,,,,,,
1252,1252,,FALSE,Bermuda,Bermuda,,,,,,,,,,,,,
1251,1251,,FALSE,Belgium,Belgium,,,,,,,,,,,,,
1250,1250,,FALSE,Barbados,Barbados,,,,,,,,,,,,,
1249,1249,,FALSE,Bahrain,Bahrain,,,,,,,,,,,,,
1248,1248,,FALSE,Bahamas,Bahamas,,,,,,,,,,,,,
1247,1247,,FALSE,Austria .,Austria .,,,,,,,,,,,,,
1246,1246,,FALSE,Austria,Austria,,,,,,,,,,,,,
1245,1245,,FALSE,Australia -,Australia -,,,,,,,,,,,,,
1244,1244,,FALSE,Australia,Australia,,,,,,,,,,,,,
1243,1243,,FALSE,Argentina,Argentina,,,,,,,,,,,,,
1242,1242,,FALSE,Albania,Albania,,,,,,,,,,,,,
1241,1241,,FALSE,Central African Petroleum Refineries (Pvt) Ltd,Central African Petroleum Refineries (Pvt) Ltd,,,,,,,,,,,,,
1240,1240,,FALSE,Castrol Zimbabwe (Private) Limited,Castrol Zimbabwe (Private) Limited,,,,,,,,,,,,,
1239,1239,,FALSE,Kabulonga Properties Limited,Kabulonga Properties Limited,,,,,,,,,,,,,
1238,1238,,FALSE,Stonewall Resources Ltd,Stonewall Resources Ltd,,,,,,,,,,,,,
1237,1237,,FALSE,Pan American Energy Investments Ltd,Pan American Energy Investments Ltd,,,,,,,,,,,,,
1236,1236,,FALSE,"National Gas Shipping Company, Limited","National Gas Shipping Company, Limited",,,,,,,,,,,,,
1235,1235,,FALSE,Energy Caspian Corporation,Energy Caspian Corporation,,,,,,,,,,,,,
1234,1234,,FALSE,BP Energy Vietnam Limited,BP Energy Vietnam Limited,,,,,,,,,,,,,
1233,1233,,FALSE,BP Egypt East Delta Marine Corporation,BP Egypt East Delta Marine Corporation,,,,,,,,,,,,,
1232,1232,,FALSE,Amoco Caspian Sea Petroleum Company (In Liquidation),Amoco Caspian Sea Petroleum Company (In Liquidation),,,,,,,,,,,,,
1231,1231,,FALSE,Amoco Bolivia Services Company Inc,Amoco Bolivia Services Company Inc,,,,,,,,,,,,,
1230,1230,,FALSE,Phu My 3 BOT Power Company Limited,Phu My 3 BOT Power Company Limited,,,,,,,,,,,,,
1229,1229,,FALSE,Castrol BP Petco Limited Liability Company,Castrol BP Petco Limited Liability Company,,,,,,,,,,,,,
1228,1228,,FALSE,Gasoducto Cruz del Sur S A,Gasoducto Cruz del Sur S A,,,,,,,,,,,,,
1227,1227,,FALSE,"Prospect International, C A","Prospect International, C A",,,,,,,,,,,,,
1226,1226,,FALSE,"Fosven, CA","Fosven, CA",,,,,,,,,,,,,
1225,1225,,FALSE,Foseco Venezolana C A,Foseco Venezolana C A,,,,,,,,,,,,,
1224,1224,,FALSE,"Consolidada de Energia y Lubricantes, (CENERLUB) C A","Consolidada de Energia y Lubricantes, (CENERLUB) C A",,,,,,,,,,,,,
1223,1223,,FALSE,Castrol de Venezuela C A,Castrol de Venezuela C A,,,,,,,,,,,,,
1222,1222,,FALSE,Agenaa Operadora Guarapiche S A,Agenaa Operadora Guarapiche S A,,,,,,,,,,,,,
1221,1221,,FALSE,"Energy Emerging Investments, LLC","Energy Emerging Investments, LLC",,,,,,,,,,,,,
1220,1220,,FALSE,Saturn Insurance Inc,Saturn Insurance Inc,,,,,,,,,,,,,
1219,1219,,FALSE,Kitt Energy Corporation,Kitt Energy Corporation,,,,,,,,,,,,,
1218,1218,,FALSE,Air BP Canada LLC,Air BP Canada LLC,,,,,,,,,,,,,
1217,1217,,FALSE,"Cleopatra Gas Gathering Company, LLC","Cleopatra Gas Gathering Company, LLC",,,,,,,,,,,,,
1216,1216,,FALSE,"Whiting Clean Energy, Inc","Whiting Clean Energy, Inc",,,,,,,,,,,,,
1215,1215,,FALSE,"Westlake Houston Developments, LLC","Westlake Houston Developments, LLC",,,,,,,,,,,,,
1214,1214,,FALSE,"Welchem, Inc","Welchem, Inc",,,,,,,,,,,,,
1213,1213,,FALSE,"Welchem Trinidad, Inc","Welchem Trinidad, Inc",,,,,,,,,,,,,
1212,1212,,FALSE,Watson Cogeneration Company,Watson Cogeneration Company,,,,,,,,,,,,,
1211,1211,,FALSE,"Virginia Services Ltd, LLC","Virginia Services Ltd, LLC",,,,,,,,,,,,,
1210,1210,,FALSE,"Virginia International Co, LLC","Virginia International Co, LLC",,,,,,,,,,,,,
1209,1209,,FALSE,"Virginia Indonesia Co, LLC","Virginia Indonesia Co, LLC",,,,,,,,,,,,,
1208,1208,,FALSE,"Verano Collateral Holdings, LLC","Verano Collateral Holdings, LLC",,,,,,,,,,,,,
1207,1207,,FALSE,"Vastar Power Marketing, Inc","Vastar Power Marketing, Inc",,,,,,,,,,,,,
1206,1206,,FALSE,"Vastar Pipeline, LLC","Vastar Pipeline, LLC",,,,,,,,,,,,,
1205,1205,,FALSE,"Vastar Holdings, Inc","Vastar Holdings, Inc",,,,,,,,,,,,,
1204,1204,,FALSE,"Vastar Gas Marketing, Inc","Vastar Gas Marketing, Inc",,,,,,,,,,,,,
1203,1203,,FALSE,"Vastar Energy, Inc","Vastar Energy, Inc",,,,,,,,,,,,,
1202,1202,,FALSE,"UT Petroleum Services, LLC","UT Petroleum Services, LLC",,,,,,,,,,,,,
1201,1201,,FALSE,Ursa Oil Pipeline Company LLC,Ursa Oil Pipeline Company LLC,,,,,,,,,,,,,
1200,1200,,FALSE,Unimar LLC,Unimar LLC,,,,,,,,,,,,,
1199,1199,,FALSE,"Tri-States NGL Pipeline, LLC","Tri-States NGL Pipeline, LLC",,,,,,,,,,,,,
1198,1198,,FALSE,Trinity Halls Wind Farm LLC,Trinity Halls Wind Farm LLC,,,,,,,,,,,,,
1197,1197,,FALSE,Top Notch Wind Farm LLC,Top Notch Wind Farm LLC,,,,,,,,,,,,,
1196,1196,,FALSE,BP American Production Company,BP American Production Company,,,,,,,,,,,,,
1195,1195,,FALSE,TOC-Rocky Mountains Inc,TOC-Rocky Mountains Inc,,,,,,,,,,,,,
1194,1194,,FALSE,The Shorebank Corporation,The Shorebank Corporation,,,,,,,,,,,,,
1193,1193,,FALSE,The Anaconda Company,The Anaconda Company,,,,,,,,,,,,,
1192,1192,,FALSE,Terrapin Creek Wind Energy LLC,Terrapin Creek Wind Energy LLC,,,,,,,,,,,,,
1191,1191,,FALSE,Telcom General Corporation,Telcom General Corporation,,,,,,,,,,,,,
1190,1190,,FALSE,"Standard Oil Company, Inc","Standard Oil Company, Inc",,,,,,,,,,,,,
1189,1189,,FALSE,Standard Oil Alternate Energy Development Company,Standard Oil Alternate Energy Development Company,,,,,,,,,,,,,
1188,1188,,FALSE,Southern Ridge Pipeline Partners LP,Southern Ridge Pipeline Partners LP,,,,,,,,,,,,,
1187,1187,,FALSE,Southern Ridge Pipeline LP LLC,Southern Ridge Pipeline LP LLC,,,,,,,,,,,,,
1186,1186,,FALSE,Southern Ridge Pipeline Holding Company,Southern Ridge Pipeline Holding Company,,,,,,,,,,,,,
1185,1185,,FALSE,Southern Ridge Pipeline GP LLC,Southern Ridge Pipeline GP LLC,,,,,,,,,,,,,
1184,1184,,FALSE,Southeast Texas Biofuels LLC,Southeast Texas Biofuels LLC,,,,,,,,,,,,,
1183,1183,,FALSE,South Louisiana Biofuels LLC,South Louisiana Biofuels LLC,,,,,,,,,,,,,
1182,1182,,FALSE,"South Houston Green Power, LLC","South Houston Green Power, LLC",,,,,,,,,,,,,
1181,1181,,FALSE,"Silver Star II Power Partners, LLC","Silver Star II Power Partners, LLC",,,,,,,,,,,,,
1180,1180,,FALSE,BP Wind Energy North America Inc.,BP Wind Energy North America Inc.,,,,,,,,,,,,,
1179,1179,,FALSE,"Silver Star I Power Partners, LLC","Silver Star I Power Partners, LLC",,,,,,,,,,,,,
1178,1178,,FALSE,Silva Exploration Corporation,Silva Exploration Corporation,,,,,,,,,,,,,
1177,1177,,FALSE,Sherbino Mesa I Land Investments LLC,Sherbino Mesa I Land Investments LLC,,,,,,,,,,,,,
1176,1176,,FALSE,Sherbino II Wind Farm LLC,Sherbino II Wind Farm LLC,,,,,,,,,,,,,
1175,1175,,FALSE,Sherbino I Wind Farm LLC,Sherbino I Wind Farm LLC,,,,,,,,,,,,,
1174,1174,,FALSE,Sherbino I Holdings LLC,Sherbino I Holdings LLC,,,,,,,,,,,,,
1173,1173,,FALSE,Santa Cruz Exploration Corporation,Santa Cruz Exploration Corporation,,,,,,,,,,,,,
1172,1172,,FALSE,"Titan Wind, LLC","Titan Wind, LLC",,,,,,,,,,,,,
1171,1171,,FALSE,"Rolling Thunder II Power Partners, LLC","Rolling Thunder II Power Partners, LLC",,,,,,,,,,,,,
1170,1170,,FALSE,"Rolling Thunder I Power Partners, LLC","Rolling Thunder I Power Partners, LLC",,,,,,,,,,,,,
1169,1169,,FALSE,Rodas Exploration Corporation,Rodas Exploration Corporation,,,,,,,,,,,,,
1168,1168,,FALSE,Richfield Oil Corporation,Richfield Oil Corporation,,,,,,,,,,,,,
1167,1167,,FALSE,Resolution Partners LLP,Resolution Partners LLP,,,,,,,,,,,,,
1166,1166,,FALSE,Remediation Management Services Company,Remediation Management Services Company,,,,,,,,,,,,,
1165,1165,,FALSE,"Proteus Oil Pipeline Company, LLC","Proteus Oil Pipeline Company, LLC",,,,,,,,,,,,,
1164,1164,,FALSE,"ProGas U S A, Inc","ProGas U S A, Inc",,,,,,,,,,,,,
1163,1163,,FALSE,Products Cogeneration Company,Products Cogeneration Company,,,,,,,,,,,,,
1162,1162,,FALSE,Prince William Sound Oil Spill Response Corporation,Prince William Sound Oil Spill Response Corporation,,,,,,,,,,,,,
1161,1161,,FALSE,Amoco Caspian Sea Petroleum Company,Amoco Caspian Sea Petroleum Company,,,,,,,,,,,,,
1160,1160,,FALSE,"PHP Construction Holdings, Inc","PHP Construction Holdings, Inc",,,,,,,,,,,,,
1159,1159,,FALSE,Peaks America Inc,Peaks America Inc,,,,,,,,,,,,,
1158,1158,,FALSE,Pan American Petroleum Corporation,Pan American Petroleum Corporation,,,,,,,,,,,,,
1157,1157,,FALSE,Pan American Petroleum Company of California,Pan American Petroleum Company of California,,,,,,,,,,,,,
1156,1156,,FALSE,"Orion Post Land Investments, LLC","Orion Post Land Investments, LLC",,,,,,,,,,,,,
1155,1155,,FALSE,Orion Energy L I C,Orion Energy L I C,,,,,,,,,,,,,
1154,1154,,FALSE,Orion Delaware Mountain Wind Farm LP,Orion Delaware Mountain Wind Farm LP,,,,,,,,,,,,,
1153,1153,,FALSE,Omega Oil Company,Omega Oil Company,,,,,,,,,,,,,
1152,1152,,FALSE,"0MD87, Inc","0MD87, Inc",,,,,,,,,,,,,
1151,1151,,FALSE,Olympic Pipe Line Company,Olympic Pipe Line Company,,,,,,,,,,,,,
1150,1150,,FALSE,"Okeanos Gas Gathering Company, LLC","Okeanos Gas Gathering Company, LLC",,,,,,,,,,,,,
1149,1149,,FALSE,Oak Hill Venture Fund Limited Partnership,Oak Hill Venture Fund Limited Partnership,,,,,,,,,,,,,
1148,1148,,FALSE,"Northstar Pipeline Company, LLC","Northstar Pipeline Company, LLC",,,,,,,,,,,,,
1147,1147,,FALSE,North America Funding Company,North America Funding Company,,,,,,,,,,,,,
1146,1146,,FALSE,Ninnescah Wind Energy LLC,Ninnescah Wind Energy LLC,,,,,,,,,,,,,
1145,1145,,FALSE,"MOUNTAIN CITY REMEDIATION, LLC","MOUNTAIN CITY REMEDIATION, LLC",,,,,,,,,,,,,
1144,1144,,FALSE,Mohave County Wind Farm LLC,Mohave County Wind Farm LLC,,,,,,,,,,,,,
1143,1143,,FALSE,"Milne Point Pipeline, LLC","Milne Point Pipeline, LLC",,,,,,,,,,,,,
1142,1142,,FALSE,Mehoopany Wind Holdings LLC,Mehoopany Wind Holdings LLC,,,,,,,,,,,,,
1141,1141,,FALSE,Mehoopany Wind Energy LLC,Mehoopany Wind Energy LLC,,,,,,,,,,,,,
1140,1140,,FALSE,Mehoopany Holdings LLC,Mehoopany Holdings LLC,,,,,,,,,,,,,
1139,1139,,FALSE,Mars Oil Pipeline Company,Mars Oil Pipeline Company,,,,,,,,,,,,,
1138,1138,,FALSE,"Main Pass Oil Gathering Company, a Partnership","Main Pass Oil Gathering Company, a Partnership",,,,,,,,,,,,,
1137,1137,,FALSE,Los Palacios Exploration Corporation,Los Palacios Exploration Corporation,,,,,,,,,,,,,
1136,1136,,FALSE,Long Island Solar Farm LLC,Long Island Solar Farm LLC,,,,,,,,,,,,,
1135,1135,,FALSE,Ken-Chas Reserve Company,Ken-Chas Reserve Company,,,,,,,,,,,,,
1134,1134,,FALSE,"IGI Resources, Inc","IGI Resources, Inc",,,,,,,,,,,,,
1133,1133,,FALSE,Hydrogen Energy International LLC,Hydrogen Energy International LLC,,,,,,,,,,,,,
1132,1132,,FALSE,"Highlands Ethanol, LLC","Highlands Ethanol, LLC",,,,,,,,,,,,,
1131,1131,,FALSE,"Heat Transfer Research, Incorporated","Heat Transfer Research, Incorporated",,,,,,,,,,,,,
1130,1130,,FALSE,"Gravcap, Inc","Gravcap, Inc",,,,,,,,,,,,,
1129,1129,,FALSE,Goshen Phase II LLC,Goshen Phase II LLC,,,,,,,,,,,,,
1128,1128,,FALSE,"PHP Trading Holdings, Inc","PHP Trading Holdings, Inc",,,,,,,,,,,,,
1127,1127,,FALSE,"GOMH Holdings, Inc","GOMH Holdings, Inc",,,,,,,,,,,,,
1126,1126,,FALSE,Golden Hills Wind Farm LLC,Golden Hills Wind Farm LLC,,,,,,,,,,,,,
1125,1125,,FALSE,Golden Hills Wind Energy LLC,Golden Hills Wind Energy LLC,,,,,,,,,,,,,
1124,1124,,FALSE,Gardena Holdings Inc,Gardena Holdings Inc,,,,,,,,,,,,,
1123,1123,,FALSE,Fowler Ridge Wind Farm LLC,Fowler Ridge Wind Farm LLC,,,,,,,,,,,,,
1122,1122,,FALSE,Fowler Ridge IV Wind Farm LLC,Fowler Ridge IV Wind Farm LLC,,,,,,,,,,,,,
1121,1121,,FALSE,Fowler Ridge III Wind Farm LLC,Fowler Ridge III Wind Farm LLC,,,,,,,,,,,,,
1120,1120,,FALSE,Fowler Ridge ll Wind Farm LLC,Fowler Ridge ll Wind Farm LLC,,,,,,,,,,,,,
1119,1119,,FALSE,Fowler Ridge ll Holdings LLC,Fowler Ridge ll Holdings LLC,,,,,,,,,,,,,
1118,1118,,FALSE,"Orion Energy Holdings, LLC","Orion Energy Holdings, LLC",,,,,,,,,,,,,
1117,1117,,FALSE,Fowler Ridge I Land Investments LLC,Fowler Ridge I Land Investments LLC,,,,,,,,,,,,,
1116,1116,,FALSE,Fowler Ridge II Holdings LLC,Fowler Ridge II Holdings LLC,,,,,,,,,,,,,
1115,1115,,FALSE,Fowler II Holdings LLC,Fowler II Holdings LLC,,,,,,,,,,,,,
1114,1114,,FALSE,Fowler Ridge Holdings LLC,Fowler Ridge Holdings LLC,,,,,,,,,,,,,
1113,1113,,FALSE,Fowler I Holdings LLC,Fowler I Holdings LLC,,,,,,,,,,,,,
1112,1112,,FALSE,Georgetown Holding Company,Georgetown Holding Company,,,,,,,,,,,,,
1111,1111,,FALSE,"Foseco Properties, Inc","Foseco Properties, Inc",,,,,,,,,,,,,
1110,1110,,FALSE,"Foseco Management, Inc","Foseco Management, Inc",,,,,,,,,,,,,
1109,1109,,FALSE,Ford County Wind Farm LLC,Ford County Wind Farm LLC,,,,,,,,,,,,,
1108,1108,,FALSE,"Flat Ridge Wind Energy, LLC","Flat Ridge Wind Energy, LLC",,,,,,,,,,,,,
1107,1107,,FALSE,Flat Ridge 3 Wind Energy LLC,Flat Ridge 3 Wind Energy LLC,,,,,,,,,,,,,
1106,1106,,FALSE,Flat Ridge 2 Wind Holdings LLC,Flat Ridge 2 Wind Holdings LLC,,,,,,,,,,,,,
1105,1105,,FALSE,Flat Ridge 2 Wind Energy LLC,Flat Ridge 2 Wind Energy LLC,,,,,,,,,,,,,
1104,1104,,FALSE,Flat Ridge 2 Holdings LLC,Flat Ridge 2 Holdings LLC,,,,,,,,,,,,,
1103,1103,,FALSE,H Pipeline Company,H Pipeline Company,,,,,,,,,,,,,
1102,1102,,FALSE,"Foseco, Inc","Foseco, Inc",,,,,,,,,,,,,
1101,1101,,FALSE,"Exomet, Inc","Exomet, Inc",,,,,,,,,,,,,
1100,1100,,FALSE,ESJ US Holdings LLC,ESJ US Holdings LLC,,,,,,,,,,,,,
1099,1099,,FALSE,Enstar LLC,Enstar LLC,,,,,,,,,,,,,
1098,1098,,FALSE,Energy Global Investments (USA) Inc,Energy Global Investments (USA) Inc,,,,,,,,,,,,,
1097,1097,,FALSE,"Energy Americas Receivables Company, LLC","Energy Americas Receivables Company, LLC",,,,,,,,,,,,,
1096,1096,,FALSE,Energenomics LLC,Energenomics LLC,,,,,,,,,,,,,
1095,1095,,FALSE,"Mardi Gras Endyrnion Oil Pipeline Company, LLC","Mardi Gras Endyrnion Oil Pipeline Company, LLC",,,,,,,,,,,,,
1094,1094,,FALSE,"Endymion Oil Pipeline Company, LLC","Endymion Oil Pipeline Company, LLC",,,,,,,,,,,,,
1093,1093,,FALSE,Endicott Pipeline Company,Endicott Pipeline Company,,,,,,,,,,,,,
1092,1092,,FALSE,"Edom Hills Project 1, LLC","Edom Hills Project 1, LLC",,,,,,,,,,,,,
1091,1091,,FALSE,East Heidelberg Salt Water Disposal Company,East Heidelberg Salt Water Disposal Company,,,,,,,,,,,,,
1090,1090,,FALSE,"Dradnats, Inc","Dradnats, Inc",,,,,,,,,,,,,
1089,1089,,FALSE,"Destin Pipeline Company, L L C","Destin Pipeline Company, L L C",,,,,,,,,,,,,
1088,1088,,FALSE,Denali - The Alaska Gas Pipeline LLC,Denali - The Alaska Gas Pipeline LLC,,,,,,,,,,,,,
1087,1087,,FALSE,Delta Housing Inc,Delta Housing Inc,,,,,,,,,,,,,
1086,1086,,FALSE,"Cypress Pipeline Company, L L C","Cypress Pipeline Company, L L C",,,,,,,,,,,,,
1085,1085,,FALSE,Cuyama Pipeline Company,Cuyama Pipeline Company,,,,,,,,,,,,,
1084,1084,,FALSE,"Conti Cross Keys Inn, Inc","Conti Cross Keys Inn, Inc",,,,,,,,,,,,,
1083,1083,,FALSE,"Coastwise Trading Company, Inc","Coastwise Trading Company, Inc",,,,,,,,,,,,,
1082,1082,,FALSE,Coastwise Guaranty Company,Coastwise Guaranty Company,,,,,,,,,,,,,
1081,1081,,FALSE,CH-Twenty Holdings LLC,CH-Twenty Holdings LLC,,,,,,,,,,,,,
1080,1080,,FALSE,Chicap Pipe Line Company,Chicap Pipe Line Company,,,,,,,,,,,,,
1079,1079,,FALSE,Chicago Equity Fund 1997 Limited Partnership,Chicago Equity Fund 1997 Limited Partnership,,,,,,,,,,,,,
1078,1078,,FALSE,Chicago Equity Fund 1995 Limited Partnership,Chicago Equity Fund 1995 Limited Partnership,,,,,,,,,,,,,
1077,1077,,FALSE,"ChemConnect, Inc","ChemConnect, Inc",,,,,,,,,,,,,
1076,1076,,FALSE,"Cedar Creek Wind Energy, LLC","Cedar Creek Wind Energy, LLC",,,,,,,,,,,,,
1075,1075,,FALSE,Cedar Creek ll Holdings LLC,Cedar Creek ll Holdings LLC,,,,,,,,,,,,,
1074,1074,,FALSE,"Cedar Creek II, LLC","Cedar Creek II, LLC",,,,,,,,,,,,,
1073,1073,,FALSE,Cedar Creek II Holdings LLC,Cedar Creek II Holdings LLC,,,,,,,,,,,,,
1072,1072,,FALSE,CCWE Holdings LLC,CCWE Holdings LLC,,,,,,,,,,,,,
1071,1071,,FALSE, Central America Inc, Central America Inc,,,,,,,,,,,,,
1070,1070,,FALSE,Casitas Pipeline Company,Casitas Pipeline Company,,,,,,,,,,,,,
1069,1069,,FALSE,"Cape Vincent Wind Power, LLC","Cape Vincent Wind Power, LLC",,,,,,,,,,,,,
1068,1068,,FALSE,Warrenville Development Ltd Partnership,Warrenville Development Ltd Partnership,,,,,,,,,,,,,
1067,1067,,FALSE,Cantera K-3 Limited Partnership,Cantera K-3 Limited Partnership,,,,,,,,,,,,,
1066,1066,,FALSE,Candelana Exploration Corporation,Candelana Exploration Corporation,,,,,,,,,,,,,
1065,1065,,FALSE,Mardi Gras Transportation System Inc,Mardi Gras Transportation System Inc,,,,,,,,,,,,,
1064,1064,,FALSE,"Caesar Oil Pipeline Company, LLC","Caesar Oil Pipeline Company, LLC",,,,,,,,,,,,,
1063,1063,,FALSE,ButamaxTM Advanced Biofuels LLC,ButamaxTM Advanced Biofuels LLC,,,,,,,,,,,,,
1062,1062,,FALSE,Burmah Castrol Holdings Inc,Burmah Castrol Holdings Inc,,,,,,,,,,,,,
1061,1061,,FALSE,Toledo Refinery Holding Company LLC,Toledo Refinery Holding Company LLC,,,,,,,,,,,,,
1060,1060,,FALSE,BP-Husky Refining LLC,BP-Husky Refining LLC,,,,,,,,,,,,,
1059,1059,,FALSE,BPA Investment Holding Company,BPA Investment Holding Company,,,,,,,,,,,,,
1058,1058,,FALSE,BP Winagar Ltd,BP Winagar Ltd,,,,,,,,,,,,,
1057,1057,,FALSE,BPRY Caribbean Ventures LLC,BPRY Caribbean Ventures LLC,,,,,,,,,,,,,
1056,1056,,FALSE,BP Transportation (Alaska) Inc,BP Transportation (Alaska) Inc,,,,,,,,,,,,,
1055,1055,,FALSE,BP Technology Ventures Inc,BP Technology Ventures Inc,,,,,,,,,,,,,
1054,1054,,FALSE,BP Solar International Inc,BP Solar International Inc,,,,,,,,,,,,,
1053,1053,,FALSE,BP Solar Energy North America LLC,BP Solar Energy North America LLC,,,,,,,,,,,,,
1052,1052,,FALSE,BP Social Investment Company,BP Social Investment Company,,,,,,,,,,,,,
1051,1051,,FALSE,BP Sharjah Oil Company,BP Sharjah Oil Company,,,,,,,,,,,,,
1050,1050,,FALSE,BP Sharjah LPG Company,BP Sharjah LPG Company,,,,,,,,,,,,,
1049,1049,,FALSE,BP Sakhalin Inc,BP Sakhalin Inc,,,,,,,,,,,,,
1048,1048,,FALSE,"BP Pakistan Exploration and Production, Inc","BP Pakistan Exploration and Production, Inc",,,,,,,,,,,,,
1047,1047,,FALSE,BP Pakistan (Bad in) Inc,BP Pakistan (Bad in) Inc,,,,,,,,,,,,,
1046,1046,,FALSE,BP Oil Pipeline Company,BP Oil Pipeline Company,,,,,,,,,,,,,
1045,1045,,FALSE,BP Oil Marketing Co,BP Oil Marketing Co,,,,,,,,,,,,,
1044,1044,,FALSE, Production Inc, Production Inc,,,,,,,,,,,,,
1043,1043,,FALSE,BP Offshore Response Company LLC,BP Offshore Response Company LLC,,,,,,,,,,,,,
