Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.81468964,,,,,,,55.31755829,,,,,66.5611496,,,
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.58090973,,,,,,,,,,,,81.18871307,,,,,,,,,,86.82318115,,,,,,,
Central African Republic,CAF,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,18.23616982,,,,,,,,,,,,,33.62442017,,,,,,,,,,,,50.6451683,,,,,,,,,,36.75260925,,,,,,,,37.39582062,,
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,98.00388336,98.02351379,98.05581665,98.08393097,98.1059494,98.13894653,98.03511047,98.09120178,98.15035248,98.19670868,98.24694824,98.28845978,98.334198,98.37982178,98.41950989,98.4586792,98.5430069,98.47322845,98.5088501,98.53581238,98.56584167,98.58244324,98.60523224,98.62796783,98.63562775,98.65406036,98.69184875,98.8988266,98.91722107,98.93424988,98.94538879,98.95433807,98.96629333,98.9777298,98.99102783,,,,
Switzerland,CHE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,91.12840271,,,,,,,,,,94.2911377,,,,,,,,,,95.7166214,,,,,,97.72245026,97.66423035,96.81860352,96.70301056,,96.26705933,,96.87413025,,96.40228271,,,
China,CHN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,65.50508881,,,,,,,,77.78505707,,,,,,,,,,90.92021179,,,,,,,,,,95.1244812,,,,,,,,96.84088898,,
Cote d'Ivoire,CIV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.13927841,,,,,,,,,,36.3502388,,48.7407608,,,,,,,,,,,,40.98162842,,43.90842056,,,,47.16535187,,
Cameroon,CMR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,41.21620941,,,,,,,,,,,,,,,,,,,,,,,,68.4091568,,,,,,,70.67993927,,,71.29051208,,,,,,,,77.07103729,,
"Congo, Dem. Rep.",COD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.17298889,,,,,,61.20555115,,,,,75.01718903,,,,77.04267883,,,,
