Current_Official_Name_of_Satellite,Country_Org_of_UN_Registry,Country_of_Operator_Owner,Operator_Owner,Users,Purpose,Detailed_Purpose,Class_of_Orbit,Type_of_Orbit,Longitude_of_GEO_in_Degrees,Perigee_in_Km,Apogee_Km,Eccentricity,Inclination_in_Degrees,Period_in_Minutes,Launch_Mass_in_Kg,Dry_Mass_in_Kg,Power_in_Watts,Date_of_Launch,Expected_Lifetime_Yrs,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,COSPAR_Number,NORAD_Number,Source Used for Orbital Data
KSM-1A,NR (12/20),Luxembourg,Kleos Space,Commercial,Earth Observation,Radio Frequency Monitoring,LEO,Non-Polar Inclined,0.00,564,576,0.00,36.90,96.10,,,,11/7/2020,,Kleos Space,Luxembourg,Satish Dhawan Space Centre,PSLV,2020-081B,46906,JMSatcat/12_20
KSM-1B,NR (12/20),Luxembourg,Kleos Space,Commercial,Earth Observation,Radio Frequency Monitoring,LEO,Non-Polar Inclined,0.00,562,575,0.00,36.90,96.10,,,,11/7/2020,,Kleos Space,Luxembourg,Satish Dhawan Space Centre,PSLV,2020-081C,46907,JMSatcat/12_20
KSM-1C,NR (12/20),Luxembourg,Kleos Space,Commercial,Earth Observation,Radio Frequency Monitoring,LEO,Non-Polar Inclined,0.00,561,575,0.00,36.90,96.10,,,,11/7/2020,,Kleos Space,Luxembourg,Satish Dhawan Space Centre,PSLV,2020-081H,46912,JMSatcat/12_20
KSM-1D,NR (12/20),Luxembourg,Kleos Space,Commercial,Earth Observation,Radio Frequency Monitoring,LEO,Non-Polar Inclined,0.00,562,574,0.00,36.90,96.10,,,,11/7/2020,,Kleos Space,Luxembourg,Satish Dhawan Space Centre,PSLV,2020-081K,46914,JMSatcat/12_20
KX-09,NR,China,Chinese Academy of Sciences,Government,Space Science,,LEO,Sun-Synchronous,0.00,592,609,0.00,97.80,9.00,,,,8/30/2019,,Chinese Academy of Sciences,China,Jiuquan Satellite Launch Center,Kuaizhou 1A,2019-058B,44520,JMSatcat/11_19
USA 133,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.00,671,675,0.00,57.00,98.20,14500,,,10/24/1997,5.00,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,1997-064A,25017,JMSatcat304
USA 152,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.00,574,676,0.01,68.00,97.21,14500,,,8/17/2000,9.00,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,2000-047A,26473,JMSatcat304
USA 182,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.00,713,716,0.00,57.01,99.08,14500,,,4/30/2005,9.00,Lockheed Martin Astronautics,USA,Cape Canaveral,Titan 4B,2005-016A,28646,SC - ASCR
LacunaSat-3,NR (12/20),United Kingdom,Lacuna Space,Commercial,Communications,Internet of Things (IoT),LEO,Sun-Synchronous,0.00,552,567,0.00,97.70,95.80,5,,,9/28/2020,,Open Cosmos,UK,Plesetsk Cosmodrome,Soyuz 2.1b,2020-068G,46492,JMSatcat/12_20
Ladybird 1,NR,China,Beijing Commsat Technology Development Co. Ltd.,Commercial,Technology Development,Internet of Things (IoT),LEO,Sun-Synchronous,0.00,531,549,0.00,97.60,95.40,100,,,12/7/2018,,Beijing Commsat Technology Development Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2018-102F,43836,JMSatcat/3_19
Ladybird 2,NR,China,Beijing Commsat Technology Development Co. Ltd.,Commercial,Technology Development,Internet of Things (IoT),LEO,Sun-Synchronous,0.00,530,549,0.00,97.60,95.40,8,,,12/7/2018,,Beijing Commsat Technology Development Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2018-102G,43837,JMSatcat/3_19
Ladybird 3,NR,China,Beijing Commsat Technology Development Co. Ltd.,Commercial,Technology Development,Internet of Things (IoT),LEO,Sun-Synchronous,0.00,529,550,0.00,97.60,95.40,8,,,12/7/2018,,Beijing Commsat Technology Development Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2018-102H,43838,JMSatcat/3_19
Ladybird 4,NR,China,Beijing Commsat Technology Development Co. Ltd.,Commercial,Technology Development,Internet of Things (IoT),LEO,Sun-Synchronous,0.00,529,549,0.00,97.60,95.40,8,,,12/7/2018,,Beijing Commsat Technology Development Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2018-102J,43839,JMSatcat/3_19
Ladybird 5,NR,China,Beijing Commsat Technology Development Co. Ltd.,Commercial,Technology Development,Internet of Things (IoT),LEO,Sun-Synchronous,0.00,528,549,0.00,97.60,95.40,4,,,12/7/2018,,Beijing Commsat Technology Development Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2018-102K,43840,JMSatcat/3_19
Ladybird 6,NR,China,Beijing Commsat Technology Development Co. Ltd.,Commercial,Technology Development,Internet of Things (IoT),LEO,Sun-Synchronous,0.00,528,549,0.00,97.60,95.40,4,,,12/7/2018,,Beijing Commsat Technology Development Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2018-102L,43841,JMSatcat/3_19
Ladybird 7,NR,China,Beijing Commsat Technology Development Co. Ltd.,Commercial,Technology Development,Internet of Things (IoT),LEO,Sun-Synchronous,0.00,529,549,0.00,97.60,95.40,4,,,12/7/2018,,Beijing Commsat Technology Development Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2018-102M,43842,JMSatcat/3_19
Landmapper BC3.v2,USA,USA,Astro Digital,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,496,502,0.00,97.50,94.50,11,,,1/11/2018,5.00,Astro Digital,USA,Satish Dhawan Space Centre,PSLV,2018-004H,43118,JMSatcat/5_18
Landmapper BC4,USA,USA,Astro Digital,Commercial,Earth Observation ,Multi-Spectral Imaging,LEO,Sun-Synchronous,0.00,575,590,0.00,97.70,96.30,11,,,12/3/2018,5.00,Astro Digital,USA,Vandenberg AFB,Falcon 9,2018-099K,43767,JMSatcat/3_19
Landsat 7,USA,USA,National Aeronautics and Space Administration (NASA)/US Geological Survey,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.00,702,703,0.00,98.20,98.80,2744,2200,"1,500",4/15/1999,15.00,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Delta 2,1999-020A,25682,www.satellitedebris.net 12/12
Landsat 8,USA,USA,National Aeronautics and Space Administration (NASA)/US Geological Survey,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.00,700,705,0.00,98.20,98.80,2780,1512,"4,300",2/11/2013,5.00,Orbital Sciences Corp.,USA,Vandenberg AFB,Atlas 5,2013-008A,39084,SC - ASCR
LaoSat-1,Laos,Laos,Laos National Authority for Science and Technology,Government,Communications,,GEO,,128.50,35788,35800,0.00,0.10,1436.10,3800,,,11/20/2015,15.00,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-067A,41034,SC - ASCR
LAPAN A2,Indonesia,Indonesia,Indonesian National Aeronautics and Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation,Earth Science,LEO,Equatorial,0.00,631,650,0.00,6.00,97.53,68,,32,9/24/2015,,Indonesian National Institute of Aeronautics and Space,Indonesia,Satish Dhawan Space Centre,PSLV C-30,2015-052B,40931,JM/12_15
LAPAN A3,Indonesia,Indonesia,Indonesian National Aeronautics and Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0.00,501,517,0.00,97.50,94.80,115,,37,6/22/2016,,Indonesian National Institute of Aeronautics and Space,Indonesia,Satish Dhawan Space Centre,PSLV XL,2016-040E,41603,ZARYA
LAPAN-Tubsat,Indonesia,Indonesia,Indonesian National Aeronautics and Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,0.00,617,637,0.00,97.70,97.20,60,,14,1/10/2007,,Technical University Berlin,Germany,Satish Dhawan Space Centre,PSLV C7,2007-001A,29709,www.satellitedebris.net 12/12
LatinSat A,NR,Argentina,Aprize Satellite Argentina,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,610,668,0.00,64.60,97.50,,12,,12/20/2002,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2002-058H,27612,www.satellitedebris.net 12/12
LatinSat B,NR,Argentina,Aprize Satellite Argentina,Commercial,Communications,,LEO,Non-Polar Inclined,0.00,603,717,0.01,64.60,97.90,,12,,12/20/2002,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2002-058B,27606,www.satellitedebris.net 12/12
Lemur-1,USA,USA,Spire Global Inc.,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,612,697,0.01,97.98,97.82,4,,,6/19/2014,,NanoSatisfi Inc.,USA,Dombarovsky Air Base,Dnepr,2014-033AL,40044,ZARYA
Lemur 2F80,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,480,486,0.00,51.60,94.20,4,,,7/16/2018,,Spire Global,USA,Cygnus,Nanorack Deployer,2018-046F,43559,JMSatcat/3_19
Lemur 2F4,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0.00,635,649,0.00,6.00,97.57,4,,,9/28/2015,,Spire Global,USA,Satish Dhawan Space Centre,PSLV C-30,2015-052D,40933,JM/12_15
Lemur,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,414,418,0.00,52.00,92.90,4,,,11/5/2020,,Spire Global,USA,International Space Station,Nanorack Deployer,1998-067RW,46926,ZARYA
Lemur 2F3,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0.00,635,649,0.00,6.01,97.57,4,,,9/28/2015,,Spire Global,USA,Satish Dhawan Space Centre,PSLV C-30,2015-052E,40934,JM/12_15
Lemur 2F1,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0.00,629,649,0.00,6.00,97.49,4,,,9/28/2015,,Spire Global,USA,Satish Dhawan Space Centre,PSLV C-30,2015-052C,40932,JM/12_15
Lemur 2F2,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0.00,634,650,0.00,6.01,97.56,4,,,9/28/2015,,Spire Global,USA,Satish Dhawan Space Centre,PSLV C-30,2015-052F,40935,JM/12_15
Lemur 2FM106,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,514,546,0.00,97.50,95.20,4,,,7/5/2019,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038X,44407,JMSatcat/11_19
Lemur 2F47,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,586,598,0.00,97.60,96.50,4,,,7/14/2017,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042P,42838,JMSatcat/5_NR
Lemur 2F31,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,476,490,0.00,51.64,94.20,4,,,4/18/2017,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-019B,42752,JMSatcat/4_NR
Lemur 2F16,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,498,507,0.00,51.60,94.60,4,,,10/17/2016,,Spire Global,USA,Wallops Island Flight Facility,Antares 230,2016-062E,41873,JMSatCat9_17
Lemur 2F43,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,585,601,0.00,97.60,96.50,4,,,7/14/2017,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BJ,42881,JMSatcat/5_NR
Lemur ,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,414,418,0.00,52.00,92.90,4,,,11/5/2020,,Spire Global,USA,International Space Station,Nanorack Deployer,1998-067RV,46925,ZARYA
Lemur 2FM98,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,493,510,0.00,97.50,96.50,4,,,4/1/2019,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2019-018H,44085,JMSatcat/11_19
Lemur 2F52,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,449,454,0.00,51.60,93.60,4,,,12/8/2017,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071L,43047,JMSatcat/3-18
Lemur 2F71,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,493,504,0.00,97.50,94.50,4,,,1/11/2018,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-004Q,43125,JMSatcat/5_18
Lemur 2F83,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Polar,0.00,495,515,0.00,85.00,94.70,4,,,11/10/2018,,Spire Global,USA,Rocket Lab Launch Complex 1,Electron,2018-088H,43697,JM/11_18
Lemur 2F90,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,570,585,0.00,97.70,96.20,4,,,12/27/2018,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111G,43882,JMSatcat/3_19
Lemur 2F95,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,569,587,0.00,97.70,96.20,4,,,12/27/2018,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111P,43889,JMSatcat/3_19
Lemur2F69,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,495,502,0.00,97.50,94.50,4,,,1/11/2018,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-004R,43126,JMSatcat/5_18
Lemur FM123,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,554,568,0.00,97.70,94.50,4,,,9/28/2020,,Spire Global,USA,Plesetsk Cosmodrome,Soyuz 2.1b,2020-068R,46501,JMSatcat/12_20
Lemur 2F49,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,586,596,0.00,97.60,96.50,4,,,7/14/2017,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042T,42842,JMSatcat/5_NR
Lemur FM116,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,534,538,0.00,97.50,94.50,4,,,9/2/2020,,Spire Global,USA,Guiana Space Center,Vega,2020-061AW,46316,JMSatcat/12_20
Lemur 2F87,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,479,506,0.00,97.50,94.30,4,,,11/29/2018,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-096AC,43745,Estimated
Lemur 2F57,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,451,452,0.00,51.60,93.60,4,,,12/10/2017,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071S,43053,JMSatcat/3-18
Lemur 2FM105,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,515,546,0.00,97.50,95.20,4,,,7/5/2019,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038V,44405,JMSatcat/11_19
Lemur2FM104,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,515,546,0.00,97.50,95.20,4,,,7/5/2019,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038Z,44409,JMSatcat/11_19
Lemur 2FM99,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,493,510,0.00,97.50,94.60,4,,,4/1/2019,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2019-018J,44086,JMSatcat/11_19
Lemur FM114,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,534,538,0.00,97.50,94.50,4,,,9/2/2020,,Spire Global,USA,Guiana Space Center,Vega,2020-061AC,46298,JMSatcat/12_20
Lemur 2F45,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,584,601,0.00,97.60,96.50,4,,,7/14/2017,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042R,42840,JMSatcat/5_NR
Lemur 2F42,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,585,602,0.00,97.60,96.50,4,,,7/14/2017,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042N,42837,JMSatcat/5_NR
Lemur 2FM108,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,515,543,0.00,97.50,95.20,4,,,7/5/2019,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038AB,44411,JMSatcat/11_19
Lemur 2F89,Luxembourg,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,570,585,0.00,97.70,96.20,4,,,12/27/2018,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111K,43885,JMSatcat/3_19
Lemur 2FM109,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,566,576,0.00,36.90,96.10,4,,,12/11/2019,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2019-089J,44860,JMSatcat/3_20
Lemur 2F30,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,476,490,0.00,51.64,94.20,4,,,4/18/2017,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-019C,42753,JMSatcat/4_NR
Lemur 2F129,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,565,577,0.00,36.90,94.20,4,,,11/7/2020,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2020-081G,46911,JMSatcat/12_20
Lemur 2F127,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,564,576,0.00,36.90,94.20,4,,,11/7/2020,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2020-081E,46909,JMSatcat/12_20
Lemur2F76,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,571,589,0.00,97.30,96.20,4,,,1/31/2018,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-014C,43182,JMSatcat/5_18
Lemur 2F22,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,496,507,0.00,97.50,94.60,4,,,2/15/2017,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008BB,41997,JMSatCat9_17
Lemur 2FM97,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,493,510,0.00,97.50,94.60,4,,,4/1/2019,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2019-018G,44084,JMSatcat/11_19
Lemur 2FM110,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,568,579,0.00,36.90,96.10,4,,,12/11/2019,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2019-089D,44855,JMSatcat/3_20
Lemur2F74,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,571,588,0.00,97.30,96.20,4,,,1/31/2018,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-014E,43184,JMSatcat/5_18
Lemur 2F51,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,450,455,0.00,51.60,93.60,4,,,12/8/2017,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071K,43046,JMSatcat/3-18
Lemur 2F86,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,476,500,0.00,97.50,95.00,4,,,11/29/2018,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-096P,43732,Estimated
Lemur 2F37,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,496,510,0.00,97.45,94.60,4,,,6/23/2017,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036K,42774,JMSatcat/4_NR
Lemur 2FM107,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,514,547,0.00,97.50,95.20,4,,,7/5/2019,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038L,44396,JMSatcat/11_19
Lemur 2F40,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,496,508,0.00,97.45,94.60,4,,,6/23/2017,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036R,42780,JMSatcat/4_NR
Lemur 2F55,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,451,454,0.00,51.60,93.60,4,,,12/8/2017,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071T,43054,JMSatcat/3-18
Lemur 2F36,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,496,511,0.00,97.45,94.60,4,,,6/23/2017,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036J,42773,JMSatcat/4_NR
Lemur 2F41,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,496,508,0.00,97.45,94.60,4,,,6/23/2017,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036Q,42779,JMSatcat/4_NR
Lemur 2F73,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Polar,0.00,494,534,0.00,82.90,94.90,4,,,1/21/2018,,Spire Global,USA,Rocket Lab Launch Complex 1,Electron,2018-010C,43165,JMSatcat/5_18
Lemur 2F70,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,493,504,0.00,97.50,94.50,4,,,1/11/2018,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-004N,43123,JMSatcat/5_18
Lemur 2F56,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0.00,451,454,0.00,51.60,93.60,4,,,12/8/2017,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,2017-071Q,43051,JMSatcat/3-18
Lemur 2F38,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,496,510,0.00,97.45,94.60,4,,,6/23/2017,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036T,42782,JMSatcat/4_NR
Lemur 2F27,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,496,507,0.00,97.50,94.60,4,,,2/15/2017,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008AW,41992,JMSatCat9_17
Lemur 2F44,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,585,601,0.00,97.60,96.50,4,,,7/14/2017,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042Q,42839,JMSatcat/5_NR
Lemur 2FM101,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,516,545,0.00,97.50,95.20,4,,,7/5/2019,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1b,2019-038T,44403,JMSatcat/11_19
Lemur 2F94,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,570,585,0.00,97.70,96.20,4,,,12/27/2018,,Spire Global,USA,Vostochny Cosmodrome,Soyuz 2.1a,2018-111M,43887,JMSatcat/3_19
Lemur FM122,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,553,568,0.00,97.70,94.50,4,,,9/28/2020,,Spire Global,USA,Plesetsk Cosmodrome,Soyuz 2.1b,2020-068T,46503,JMSatcat/12_20
Lemur 2F28,USA,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,496,507,0.00,97.50,94.60,4,,,2/15/2017,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008BA,41996,JMSatCat9_17
Lemur 2F84,NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,476,500,0.00,97.50,95.00,4,,,11/29/2018,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2018-096N,43731,Estimated
Lemur FM118,NR (12/20),USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0.00,534,538,0.00,97.50,94.50,4,,,9/2/2020,,Spire Global,USA,Guiana Space Center,Vega,2020-061AD,46299,JMSatcat/12_20
