id,unit,name,start,end,agency,acres,cause
BTU-5556,Butte,Larkin,05-20-2001,05-21-2001,LOCAL,400,Equip. Use
LMU-00993,Lassen-Modoc,Hilton,05-20-2001,05-23-2001,CDF,390,Debris
SQF-622,Tulare,White,05-23-2001,05-26-2001,USFS,332,Under Invest.
LMU-01100,Lassen,Devil,05-27-2001,06-01-2001,CDF,4400,Equip. Use
TGU-2791,Tehama,Freeman,05-29-2001,05-29-2001,CDF,390,Vehicle
SHU-4405,Trinity,Big,06-02-2001,06-03-2001,USFS,800,Under Invest.
4269 no rept.,Imperial,Powerline,06-03-2001,06-03-2001,BLM,777,Under Invest.
HUU-002020,Humboldt,Flat,06-05-2001,06-05-2001,CDF,300,Campfire
AEU-8312,Amador,Jackson,06-13-2001,06-13-2001,CDF,2240,Welding
MMU-9668,Madera-Mariposa,165,06-13-2001,06-13-2001,LOCAL,1500,Undetermined
MMU-9668,Merced,Assist SNF-562,06-13-2001,06-13-2001,LOCAL,1200,Under Invest.
BEU-2101,San Benito,San Benito Cattle Co.,06-13-2001,06-13-2001,CDF,580,Arson
MMU-9689,Merced,Merced Falls Fire,06-13-2001,06-14-2001,CDF,400,Weadeater
TGU-3132,Tehama,Hog,06-13-2001,06-13-2001,CDF,340,Equip. Use
BDU-4825,San Bernardino,Hemlock,06-14-2001,06-20-2001,USFS,1074,Escape
MMU-9893,Merced,Pacheco,06-16-2001,06-17-2001,CDF,1550,Vehicle
BDU4918,San Bernardino,Shinn,06-16-2001,06-18-2001,USFS,300,Under Invest.
NEU-9855,Nevada,Martis,06-17-2001,07-01-2001,DF/USF,14500,Campfire
TGU-3255,Tehama,Red Bank,06-17-2001,06-17-2001,CDF,650,Vehicle
RRU-41162,Riverside Palm Spgs.,Tram,06-17-2001,06-18-2001,CDF,393,Arson
SQF-1152,Kern,Canyon,06-18-2001,06-19-2001,USFS,566,Under Invest.
RRU-42668,Riverside,Watkins,06-23-2001,06-24-2001,CDF,1407,Arson
MEU-4411,Mendocino,Ridge,06-23-2001,06-25-2001,CDF,610,Equip. Use
SQF-1225,Tulare Sequoia NF,Democrat,06-23-2001,06-25-2001,USFS,550,Under Invest.
AEU-8916,Amador,Bevan,06-23-2001,06-23-2001,CDF,500,Equip. Use
TUU-6158,Tulare,Vander Bowen,06-29-2001,06-29-2001,CDF,596,Vehicle
MMU-10898,Merced,McNamammara,07-01-2001,07-01-2001,LOCAL,700,Undetermined
BDU5620,Inyo NF,McLaughlin,07-02-2001,07-05-2001,USFS,2900,Lightning
TCU-4586,Calaveras,Lake,07-03-2001,07-03-2001,CDF,550,Misc.
AEU-9653,Sacramento,Payen,07-05-2001,07-05-2001,CDF,300,Elec. Power
AEU-9735,Amador,Sixteen,07-06-2001,07-06-2001,CDF,550,Undetermined
RRU-47010,Riverside,Ballinger,07-09-2001,07-09-2001,CDF,350,Undetermined
