New York (Central Park), New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2000
Missing: -99
Date,Value,Anomaly
192302,24.8,-6.6
192303,35.6,-4.2
192304,49.4,-1.0
192305,59.2,-2.0
192306,72.7,2.5
192307,73.1,-2.5
192308,71.7,-2.1
192309,67.3,0.3
192310,54.8,-1.5
192311,43.7,-1.5
192312,40.9,6.1
192401,31.4,0.6
192402,27.5,-3.9
192403,38.0,-1.8
192404,48.2,-2.2
192405,56.5,-4.7
192406,67.2,-3.0
192407,73.4,-2.2
192408,73.4,-0.4
192409,63.1,-3.9
192410,55.9,-0.4
192411,42.8,-2.4
192412,32.9,-1.9
192501,27.1,-3.7
192502,36.5,5.1
192503,43.0,3.2
192504,50.9,0.5
192505,58.7,-2.5
192506,73.7,3.5
192507,72.9,-2.7
192508,72.5,-1.3
192509,67.8,0.8
192510,49.5,-6.8
192511,42.4,-2.8
192512,33.7,-1.1
192601,30.7,-0.1
192602,27.9,-3.5
192603,34.6,-5.2
192604,46.4,-4.0
192605,59.3,-1.9
192606,66.1,-4.1
192607,74.4,-1.2
192608,73.1,-0.7
192609,64.7,-2.3
192610,53.9,-2.4
192611,43.4,-1.8
192612,27.8,-7.0
192701,29.6,-1.2
192702,35.0,3.6
192703,41.8,2.0
192704,47.7,-2.7
192705,58.2,-3.0
192706,66.6,-3.6
192707,73.3,-2.3
192708,67.6,-6.2
192709,66.9,-0.1
192710,58.4,2.1
192711,47.6,2.4
192712,35.6,0.8
192801,32.7,1.9
192802,31.7,0.3
192803,37.6,-2.2
192804,47.4,-3.0
192805,58.5,-2.7
192806,66.8,-3.4
192807,75.2,-0.4
192808,74.6,0.8
192809,63.7,-3.3
192810,57.7,1.4
192811,45.8,0.6
192812,38.2,3.4
192901,30.6,-0.2
192902,31.6,0.2
192903,44.0,4.2
192904,50.0,-0.4
192905,60.9,-0.3
192906,70.9,0.7
192907,75.2,-0.4
192908,72.3,-1.5
192909,68.4,1.4
192910,53.4,-2.9
192911,44.6,-0.6
192912,34.7,-0.1
193001,32.0,1.2
193002,35.7,4.3
193003,39.1,-0.7
193004,47.5,-2.9
193005,63.0,1.8
193006,72.9,2.7
193007,75.7,0.1
193008,72.7,-1.1
193009,71.0,4.0
193010,54.4,-1.9
193011,43.9,-1.3
193012,33.5,-1.3
193101,31.5,0.7
193102,32.5,1.1
193103,39.2,-0.6
193104,50.2,-0.2
193105,60.6,-0.6
193106,70.1,-0.1
193107,76.8,1.2
193108,74.4,0.6
193109,71.4,4.4
193110,60.1,3.8
193111,50.3,5.1
193112,39.8,5.0
193201,41.9,11.1
193202,34.8,3.4
193203,36.2,-3.6
193204,48.1,-2.3
193205,61.2,0.0
193206,69.8,-0.4
193207,75.4,-0.2
193208,75.8,2.0
193209,68.4,1.4
193210,57.3,1.0
193211,42.4,-2.8
193212,38.0,3.2
193301,38.9,8.1
193302,32.7,1.3
193303,37.2,-2.6
193304,49.5,-0.9
193305,63.6,2.4
193306,71.7,1.5
193307,75.1,-0.5
193308,74.0,0.2
193309,68.5,1.5
193310,54.9,-1.4
193311,40.3,-4.9
193312,31.6,-3.2
193401,33.4,2.6
193402,18.6,-12.8
193403,36.1,-3.7
193404,49.4,-1.0
193405,62.8,1.6
193406,73.2,3.0
193407,77.1,1.5
193408,71.2,-2.6
193409,68.3,1.3
193410,53.3,-3.0
193411,47.3,2.1
193412,32.3,-2.5
193501,27.6,-3.2
193502,29.8,-1.6
193503,42.2,2.4
193504,48.7,-1.7
193505,59.1,-2.1
193506,69.5,-0.7
193507,76.6,1.0
193508,73.8,0.0
193509,64.3,-2.7
193510,56.2,-0.1
193511,47.1,1.9
193512,28.9,-5.9
193601,28.0,-2.8
193602,24.4,-7.0
193603,44.0,4.2
193604,46.9,-3.5
193605,63.6,2.4
193606,69.1,-1.1
193607,75.5,-0.1
193608,74.6,0.8
193609,67.2,0.2
193610,56.4,0.1
193611,41.1,-4.1
193612,37.5,2.7
193701,38.9,8.1
193702,33.5,2.1
193703,35.3,-4.5
193704,48.7,-1.7
193705,63.4,2.2
193706,71.2,1.0
193707,75.9,0.3
193708,75.8,2.0
193709,65.0,-2.0
193710,53.9,-2.4
193711,44.9,-0.3
193712,34.3,-0.5
193801,30.8,0.0
193802,34.0,2.6
193803,43.0,3.2
193804,52.8,2.4
193805,60.0,-1.2
193806,69.7,-0.5
193807,75.9,0.3
193808,77.3,3.5
193809,65.0,-2.0
193810,58.7,2.4
193811,46.8,1.6
193812,35.9,1.1
193901,30.9,0.1
193902,35.7,4.3
193903,38.0,-1.8
193904,47.4,-3.0
193905,64.1,2.9
193906,72.3,2.1
193907,76.0,0.4
193908,77.2,3.4
193909,67.6,0.6
193910,56.1,-0.2
193911,42.1,-3.1
193912,35.8,1.0
194001,23.7,-7.1
194002,31.5,0.1
194003,34.0,-5.8
194004,45.9,-4.5
194005,59.9,-1.3
194006,69.8,-0.4
194007,75.5,-0.1
194008,70.5,-3.3
194009,65.6,-1.4
194010,52.6,-3.7
194011,43.8,-1.4
194012,37.3,2.5
194101,28.1,-2.7
194102,29.8,-1.6
194103,34.8,-5.0
194104,55.9,5.5
194105,63.9,2.7
194106,71.3,1.1
194107,75.2,-0.4
194108,73.2,-0.6
194109,69.0,2.0
194110,59.5,3.2
194111,48.5,3.3
194112,37.2,2.4
194201,29.4,-1.4
194202,28.3,-3.1
194203,41.8,2.0
194204,53.0,2.6
194205,64.5,3.3
194206,70.4,0.2
194207,75.6,0.0
194208,72.8,-1.0
194209,67.3,0.3
194210,57.6,1.3
