"expISO3","exporter","slongitude","slatitude","impISO3","importer","tlongitude","tlatitude","tot_val_usd","tot-weight-kg"
"SVN","Slovenia",14.826537489203574,46.123563763533994,"TZA","Tanzania",34.82345393872195,-6.270353510063244,18.9897755,0.74729618
"SVN","Slovenia",14.826537489203574,46.123563763533994,"UGA","Uganda",32.38621827281177,1.2799634451787585,30.778,1.063
"SVN","Slovenia",14.826537489203574,46.123563763533994,"UKR","Ukraine",31.387114773128946,49.017088164121766,2277.0616507699997,1349.26682768
"SVN","Slovenia",14.826537489203574,46.123563763533994,"URY","Uruguay",-56.012396377882915,-32.79964534111693,23.0727001,0.77325253
"SVN","Slovenia",14.826537489203574,46.123563763533994,"USA","United States",-112.49175075933852,45.69574378023075,83575.982421,27952.307990200003
"SVN","Slovenia",14.826537489203574,46.123563763533994,"UZB","Uzbekistan",63.169364370421135,41.75044402910116,200.35500000000002,21.567
"SVN","Slovenia",14.826537489203574,46.123563763533994,"VEN","Venezuela",-66.16956396322297,7.122448779792319,21.751,3.711
"SVN","Slovenia",14.826537489203574,46.123563763533994,"VNM","Vietnam",106.30147440858704,16.659256404678796,2407.997847,1099.5667055
"SVN","Slovenia",14.826537489203574,46.123563763533994,"YEM","Yemen",47.599591127371625,15.905516574646196,2103.181,4501.604
"SVN","Slovenia",14.826537489203574,46.123563763533994,"ZAF","South Africa",25.088778010977006,-28.993203292964967,2336.476086,1072.9059215900002
"SVN","Slovenia",14.826537489203574,46.123563763533994,"ZMB","Zambia",27.798249163484346,-13.453018624669713,3.133,0.197
"SVN","Slovenia",14.826537489203574,46.123563763533994,"ZWE","Zimbabwe",29.871837767180068,-19.000098441791955,8.02556398,0.33258699
"SWE","Sweden",16.739754033053543,62.78989678415778,"ABW","Aruba",-69.97564122076227,12.515627383711797,0.119,0.015
"SWE","Sweden",16.739754033053543,62.78989678415778,"AFG","Afghanistan",66.02647066772893,33.838805716206714,8.539,1.434
"SWE","Sweden",16.739754033053543,62.78989678415778,"AGO","Angola",17.544675786366334,-12.295285224744545,2044.1418898,2625.5817520000005
"SWE","Sweden",16.739754033053543,62.78989678415778,"ALB","Albania",20.06838460591879,41.14228482341691,2526.29283404,5207.23867202
