continent,Country Or Region,Zoo Name,zoo point?,# point,CurveX,CurveY,Lat,Lon,Point,sigmoid,sigmoid EXP,startX,startX offset ,startY,Zoo Order
AM,Canada,Calgary Zoo,False,80,-114.088168742,52.878526786,51.045994812,-114.023673802,6,0.998207295,0.5,-150,-50,80,21
AM,Mexico,Chapultepec Zoo,False,80,-99.189714058,23.257381668,19.423420970,-99.189568518,6,0.999998199,0.5,-180,-50,80,20
AP,Australia,Adelaide Zoo,False,80,138.606242289,-28.274252532,-34.914404731,138.606100240,6,0.999998927,0.3,271,120,70,19
AP,Japan,Ueno Zoo,False,80,140.926084975,37.886476230,35.716643542,139.771324791,6,0.988920897,0.3,244,120,70,18
AP,Japan,Adventure World,False,80,135.881639303,35.966877715,33.667342425,135.375273784,6,0.991507458,0.3,195,120,70,17
AP,Japan,Kobe Oji Zoo,False,80,135.388192983,36.943230817,34.709665332,135.215270355,6,0.990276904,0.3,153,120,70,16
AP,South Korea,Everland Resort,False,80,127.199824496,39.364123922,37.294132295,127.202577126,6,0.986411941,0.3,127,120,70,15
AP,Indonesia,Taman Safari,False,80,106.951299476,-1.862870131,-6.718469464,106.951469929,6,0.999956863,0.3,103,120,70,14
AP,Singapore,Wildlife Reserves Singapore,False,80,103.787488412,5.746641924,1.405198811,103.790463066,6,0.999874964,0.3,80,120,70,13
AP,Malaysia,Zoo Negara Malaysia,False,80,101.750985431,7.437639423,3.210452898,101.759183697,6,0.999841608,0.3,50,120,70,12
AP,Thailand,Chiang Mai Zoo,False,80,98.861502993,22.045936208,18.805796762,98.945666710,6,0.998779275,0.3,30,120,70,11
EU,Russia,Moscow Zoo,False,80,37.576607251,57.930256824,55.763382285,37.576469152,6,0.999998568,0.9,134,40,90,10
EU,Austria,Tiergarten Schönbrunn,False,80,16.302780951,50.828950500,48.182257966,16.302773769,6,0.999999927,0.9,115,40,90,9
EU,Germany,Zoo Berlin,False,80,13.337762988,54.880982866,52.508076303,13.337733240,6,0.999999602,0.9,88,40,90,8
