actural return date,additional info,Birth Place,Birthday,Gender,loan expire date,name in chinese,name in english,name meaning,panda order,Resident Since,Status,Tooltip - age month,Tooltip - age year,Tooltip - gender,Tooltip - meaning,Tooltip - return date,Zoo,age,age when loan expires,age when residence starts,leaf X,leaf Y
,,Pairi Daiza,6/2/2016,M,,天宝,Tian Bao,Treasure of heaven,11,6/2/2016,in,-6-month,5-year,male,means 'Treasure of heaven',Loan expire date is unknown,Pairi Daiza,4.556164384,,0,10.31,1.25
,,Pairi Daiza,8/8/2019,M,8/8/2023,宝弟,Bao Di,Little brother of Tian Bao,12,8/8/2019,in,-4-month,1-year,male,means 'Little brother of Tian Bao',Expected to return in 2023,Pairi Daiza,1.372602740,4.002739726,0,11.31,1.25
,,Pairi Daiza,8/8/2019,F,8/8/2023,宝妹,Bao Mei,Little sister of Tian Bao,13,8/8/2019,in,-4-month,1-year,female,means 'Little sister of Tian Bao',Expected to return in 2023,Pairi Daiza,1.372602740,4.002739726,0,13.65,0.9
,,"Ya'an Bi Feng Xia, China",8/5/2013,M,4/11/2032,星雅,Xing Ya,,14,4/11/2017,in,-4-month,7-year,male,,Expected to return in 2032,Ouwehands Dierenpark,7.383561644,18.695890411,3.684931507,13.31,4.934931507
,,"Ya'an Bi Feng Xia, China",8/11/2013,F,4/11/2032,武雯,Wu Wen,,15,4/11/2017,in,-4-month,7-year,female,,Expected to return in 2032,Ouwehands Dierenpark,7.367123288,18.679452055,3.668493151,15.65,4.568493151
,,Ouwehands Dierenpark Rhenen,5/1/2020,M,5/1/2024,梵星,Fan Xing,Van Gogh's The Starry Night,16,5/1/2020,in,7-month,,male,means 'Van Gogh's The Starry Night',Expected to return in 2024,Ouwehands Dierenpark,0.641095890,4.002739726,0,15.31,1.25
,,"Ya'an Bi Feng Xia, China",7/10/2013,M,1/18/2033,华豹,Pyry (Hua Bao),Snowfall,17,1/18/2018,in,-5-month,7-year,male,means 'Snowfall',Expected to return in 2033,Ähtäri Zoo,7.454794521,19.539726027,4.528767123,16.31,5.778767123
,,"Ya'an Bi Feng Xia, China",9/20/2014,F,1/18/2033,金宝宝,Lumi (Jin Baobao),Snow,18,1/18/2018,in,-3-month,6-year,female,means 'Snow',Expected to return in 2033,Ähtäri Zoo,6.257534247,18.342465753,3.331506849,18.65,4.231506849
,,"Chengdu, China",8/23/2013,M,4/4/2034,星二,Xing Er,Star two,19,4/4/2019,in,-4-month,7-year,male,means 'Star two',Expected to return in 2034,Zoo København,7.334246575,20.627397260,5.616438356,18.31,6.866438356
,,"Chengdu, China",7/26/2014,F,4/4/2034,毛笋,Mao Sun,Bamboo shoot,20,4/4/2019,in,-5-month,6-year,female,means 'Bamboo shoot',Expected to return in 2034,Zoo København,6.410958904,19.704109589,4.693150685,20.65,5.593150685
,,"Chengdu, China",7/15/2010,M,6/23/2032,娇庆,Jiao Qing,Darling,21,6/23/2017,in,-5-month,10-year,male,means 'Darling',Expected to return in 2032,Zoo Berlin,10.443835616,21.956164384,6.945205479,20.31,8.195205479
,,"Chengdu, China",7/10/2013,F,6/23/2032,梦梦,Meng Meng,Sweet dream,22,6/23/2017,in,-5-month,7-year,female,means 'Sweet dream',Expected to return in 2032,Zoo Berlin,7.454794521,18.967123288,3.956164384,22.65,4.856164384
,,Zoo Berlin,8/31/2019,M,8/31/2023,梦想,Meng Xiang,Dream,23,8/31/2019,in,-4-month,1-year,male,means 'Dream',Expected to return in 2023,Zoo Berlin,1.309589041,4.002739726,0,22.31,1.25
,,Zoo Berlin,8/31/2019,M,8/31/2023,梦圆,Meng Yuan,Dreams come true,24,8/31/2019,in,-4-month,1-year,male,means 'Dreams come true',Expected to return in 2023,Zoo Berlin,1.309589041,4.002739726,0,23.31,1.25
,- Lived in Moscow Zoo from 2001 to 2004,"Beijing, China",8/23/1999,M,,园园,Yuan Yuan,,25,4/16/2019,in,-4-month,21-year,male,,Loan expire date is unknown,Tiergarten Schönbrunn,21.345205479,,19.660273973,24.31,20.910273973
,,"Wolong, China",8/10/2000,F,3/14/2023,阳阳,Yang Yang,Sunshine,26,3/14/2003,in,-4-month,20-year,female,means 'Sunshine',Expected to return in 2023,Tiergarten Schönbrunn,20.378082192,22.605479452,2.591780822,26.65,3.491780822
,,"Ya'an Bi Feng Xia, China",7/31/2016,M,4/29/2029,如意,Ru Yi,Wishes come true,27,4/29/2019,in,-5-month,4-year,male,means 'Wishes come true',Expected to return in 2029,Moscow Zoo,4.394520548,12.753424658,2.745205479,26.31,3.995205479
,,"Wolong, China",7/30/2017,F,4/29/2029,丁丁,Ding Ding,,28,4/29/2019,in,-5-month,3-year,female,,Expected to return in 2029,Moscow Zoo,3.397260274,11.756164384,1.747945205,28.65,2.647945205
,,"Wolong, China",9/28/2001,F,10/12/2023,林惠,Lin Hui,,29,10/12/2003,in,-3-month,19-year,female,,Expected to return in 2023,Chiang Mai Zoo,19.243835616,22.052054795,2.038356164,29.65,2.938356164
,,"Wolong, China",8/3/2006,M,5/20/2024,兴兴（福娃）,Xing Xing (Fu Wa),Prosperity,30,5/20/2014,in,-4-month,14-year,male,means 'Prosperity',Expected to return in 2024,Zoo Negara Malaysia,14.394520548,17.808219178,7.8,29.31,9.05
,,"Wolong, China",8/23/2006,F,5/20/2024,靓靓（凤仪）,Liang Liang (Feng Yi),Pretty,31,5/20/2014,in,-4-month,14-year,female,means 'Pretty',Expected to return in 2024,Zoo Negara Malaysia,14.339726027,17.753424658,7.745205479,31.65,8.645205479
,,Kuala Lumpur Malaysia,1/14/2018,F,1/14/2022,谊谊,Yi Yi,Friendship,32,1/14/2018,in,-11-month,3-year,female,means 'Friendship',Expected to return in 2022,Zoo Negara Malaysia,2.936986301,4.002739726,0,32.65,0.9
,,"Wolong, China",9/14/2007,M,9/6/2022,凯凯（武杰）,Kai Kai (Wu Jie),Victorious,33,9/6/2012,in,-3-month,13-year,male,means 'Victorious',Expected to return in 2022,Wildlife Reserves Singapore,13.279452055,14.989041096,4.983561644,32.31,6.233561644
,,"Ya'an Bi Feng Xia, China",9/3/2008,F,9/6/2022,嘉嘉（沪宝）,Jia Jia (Hu Bao),Beautiful,34,9/6/2012,in,-3-month,12-year,female,means 'Beautiful',Expected to return in 2022,Wildlife Reserves Singapore,12.306849315,14.016438356,4.010958904,34.65,4.910958904
,,"Ya'an Bi Feng Xia, China",8/4/2010,M,9/28/2027,彩陶,Cai Tao,Colorful porcelain,35,9/28/2017,in,-4-month,10-year,male,means 'Colorful porcelain',Expected to return in 2027,Taman Safari,10.389041096,17.161643836,7.156164384,34.31,8.406164384
,,"Ya'an Bi Feng Xia, China",9/8/2010,F,9/28/2027,湖春,Hu Chun,Lake in springtime,36,9/28/2017,in,-3-month,10-year,female,means 'Lake in springtime',Expected to return in 2027,Taman Safari,10.293150685,17.065753425,7.060273973,36.65,7.960273973
,,"Ya'an Bi Feng Xia, China",7/28/2012,M,4/21/2031,园欣（乐宝）,Yuan Xin (Le Bao),Son of Long Xin,37,4/21/2016,in,-5-month,8-year,male,means 'Son of Long Xin',Expected to return in 2031,Everland Resort,8.405479452,18.742465753,3.734246575,36.31,4.984246575
,,"Ya'an Bi Feng Xia, China",7/13/2013,F,4/21/2031,华妮（爱宝）,Hua Ni (Ai Bao),Little girl of China,38,4/21/2016,in,-5-month,7-year,female,means 'Little girl of China',Expected to return in 2031,Everland Resort,7.446575342,17.783561644,2.775342466,38.65,3.675342466
,,Everland Resort,7/20/2020,F,7/20/2024,华妮2020仔,Hua Ni's daughter,Hua Ni's daughter born in 2020,39,7/20/2020,in,5-month,,female,means 'Hua Ni's daughter born in 2020',Expected to return in 2024,Everland Resort,0.421917808,4.002739726,0,39.65,0.9
,,"Wolong, China",9/16/1995,F,7/16/2020,旦旦,Tan Tan,,40,7/16/2000,return,-3-month,25-year,female,,,Kobe Oji Zoo,25.282191781,24.849315068,4.835616438,40.65,5.735616438
,,"Beijing, China",9/14/1992,M,,永明,Ei Mei,Bright forever,41,9/6/1994,in,-3-month,28-year,male,means 'Bright forever',Loan expire date is unknown,Adventure World,28.287671233,,1.978082192,40.31,3.228082192
,,Adventure World,9/6/2000,F,,良浜,Rau Hin,Good,42,9/6/2000,in,-3-month,20-year,female,means 'Good',Loan expire date is unknown,Adventure World,20.304109589,,0,42.65,0.9
,,Adventure World,12/2/2014,F,,桃浜,Ou Hin,Peach,43,12/2/2014,in,,6-year,female,means 'Peach',Loan expire date is unknown,Adventure World,6.057534247,,0,43.65,0.9
,,Adventure World,12/2/2014,F,,樱浜,Tou Hin,Sakura,44,12/2/2014,in,,6-year,female,means 'Sakura',Loan expire date is unknown,Adventure World,6.057534247,,0,44.65,0.9
,,Adventure World,9/18/2016,F,,结浜,Yui Hin,Interconnection,45,9/18/2016,in,-3-month,4-year,female,means 'Interconnection',Loan expire date is unknown,Adventure World,4.260273973,,0,45.65,0.9
,,Adventure World,11/22/2020,M,,良浜2020仔,Rau Hin's son,Rau Hin's son born in 2020,46,11/22/2020,in,1-month,,male,means 'Rau Hin's son born in 2020',Loan expire date is unknown,Adventure World,0.079452055,,0,45.31,1.25
,,"Wolong, China",8/16/2005,M,2/21/2021,比力,Ri Ri (Bi Li),Strength,47,2/21/2011,in,-4-month,15-year,male,means 'Strength',Expected to return in 2021,Ueno Zoo,15.358904110,15.528767123,5.520547945,46.31,6.770547945
,,"Wolong, China",7/3/2005,F,2/21/2021,仙女,Shin Shin (Xian Nv),Fairy,48,2/21/2011,in,-5-month,15-year,female,means 'Fairy',Expected to return in 2021,Ueno Zoo,15.479452055,15.649315068,5.641095890,48.65,6.541095890
,,Ueno Zoo,6/12/2017,F,12/31/2020,香香,Xiang Xiang,Fragrance,49,6/12/2017,return,-6-month,4-year,female,means 'Fragrance',Expected to return in 2020,Ueno Zoo,3.528767123,3.556164384,0,49.65,0.9
,,"Wolong, China",8/31/2005,M,11/28/2024,网网,Wang Wang,Net,50,11/28/2009,in,-4-month,15-year,male,means 'Net',Expected to return in 2024,Adelaide Zoo,15.317808219,19.257534247,4.246575342,49.31,5.496575342
,,"Wolong, China",8/23/2006,F,11/28/2024,福妮,Fu Ni,Lucky girl,51,11/28/2009,in,-4-month,14-year,female,means 'Lucky girl',Expected to return in 2024,Adelaide Zoo,14.339726027,18.279452055,3.268493151,51.65,4.168493151
,- Traveled to Japan from 2003 to 2005,Chapultepec Zoo,6/15/1987,F,,双双,Shuan Shuan,,52,6/15/1987,not on loan,-6-month,34-year,female,,Would not return,Chapultepec Zoo,33.542465753,,0,52.65,0.9
,,Chapultepec Zoo,7/1/1990,F,,欣欣,Xin Xin,,53,7/1/1990,not on loan,-5-month,30-year,female,,Would not return,Chapultepec Zoo,30.495890411,,0,53.65,0.9
11/27/2020,- Moved from Toronto Zoo to Calgary Zoo on 2018-03-23,"Chongqing, China",8/30/2008,M,3/25/2023,大毛,Da Mao,Big Fur,54,3/25/2013,return,-4-month,12-year,male,means 'Big Fur',"Returned on 2020-11-27, 2 years earlier than expected",Calgary Zoo,12.317808219,14.575342466,4.569863014,53.31,5.819863014
11/27/2020,- Moved from Toronto Zoo to Calgary Zoo on 2018-03-23,"Chongqing, China",8/10/2007,F,3/25/2023,二顺,Er Shun,Double smoothness,55,3/25/2013,return,-4-month,13-year,female,means 'Double smoothness',"Returned on 2020-11-27, 2 years earlier than expected",Calgary Zoo,13.375342466,15.632876712,5.627397260,55.65,6.527397260
1/12/2020,- Moved from Toronto Zoo to Calgary Zoo on 2018-03-23,Toronto Zoo,10/13/2015,M,10/13/2019,加盼盼,Jia Panpan,Canadian Hope,56,10/13/2015,return,-2-month,5-year,male,means 'Canadian Hope',Returned on 2020-01-12,Calgary Zoo,5.194520548,4.002739726,0,55.31,1.25
1/12/2020,- Moved from Toronto Zoo to Calgary Zoo on 2018-03-23,Toronto Zoo,10/13/2015,F,10/13/2019,加悦悦,Jia Yueyue,Canadian Joy,57,10/13/2015,return,-2-month,5-year,female,means 'Canadian Joy',Returned on 2020-01-12,Calgary Zoo,5.194520548,4.002739726,0,57.65,0.9
,,"Chongqing, China",7/18/1998,M,4/7/2023,乐乐,Le Le,Happiness,58,4/7/2003,in,-5-month,22-year,male,means 'Happiness',Expected to return in 2023,Memphis Zoo,22.443835616,24.736986301,4.723287671,57.31,5.973287671
,,"Beijing, China",8/3/2000,F,4/7/2023,丫丫,Ya Ya,Little girl,59,4/7/2003,in,-4-month,20-year,female,means 'Little girl',Expected to return in 2023,Memphis Zoo,20.397260274,22.690410959,2.676712329,59.65,3.576712329
,,"Chengdu, China",9/9/1997,M,,洋洋,Yang Yang,Little sea,60,11/5/1999,in,-3-month,23-year,male,means 'Little sea',Loan expire date is unknown,Zoo Atlanta,23.298630137,,2.156164384,59.31,3.406164384
,,"Chengdu, China",8/25/1997,F,,伦伦,Lun Lun,"(Renamed by a Taiwanese rock star, Su Hui Lun)",61,11/5/1999,in,-4-month,23-year,female,"(Renamed by a Taiwanese rock star, Su Hui Lun)",Loan expire date is unknown,Zoo Atlanta,23.339726027,,2.197260274,61.65,3.097260274
,,Zoo Atlanta,9/3/2016,F,,雅伦,Ya Lun,Elegant,62,9/3/2016,in,-3-month,4-year,female,means 'Elegant',Loan expire date is unknown,Zoo Atlanta,4.301369863,,0,62.65,0.9
,,Zoo Atlanta,9/3/2016,F,,喜伦,Xi Lun,Joy,63,9/3/2016,in,-3-month,4-year,female,means 'Joy',Loan expire date is unknown,Zoo Atlanta,4.301369863,,0,63.65,0.9
,,"Wolong, China",8/27/1997,M,12/7/2023,添添,Tian Tian,More and more,64,12/6/2000,in,-4-month,23-year,male,means 'More and more',Expected to return in 2023,Smithsonian's National Zoo,23.334246575,26.295890411,3.279452055,63.31,4.529452055
,,"Wolong, China",7/22/1998,F,12/7/2023,美香,Mei Xiang,Beautiful fragrance,65,12/6/2000,in,-5-month,22-year,female,means 'Beautiful fragrance',Expected to return in 2023,Smithsonian's National Zoo,22.432876712,25.394520548,2.378082192,65.65,3.278082192
,,Smithsonian's National Zoo,8/21/2020,M,12/7/2023,小奇迹,Xiao Qi Ji,Little miracle,66,8/21/2020,in,4-month,,male,means 'Little miracle',Expected to return in 2023,Smithsonian's National Zoo,0.334246575,3.295890411,0,65.31,1.25
