origin,destination,value
Guinea Bissau (Origin),Mali (Destination),234
Guinea Bissau (Origin),Senegal (Destination),104
Guinea Bissau (Origin),Guinea (Destination),11
Guinea Bissau (Origin),Burkina Faso (Destination),4
Liberia (Origin),Nigeria (Destination),28
Liberia (Origin),Mali (Destination),14
Liberia (Origin),Ghana (Destination),8
Liberia (Origin),Gambia (Destination),6
Liberia (Origin),NULL (Destination),4
Liberia (Origin),Burkina Faso (Destination),4
Sudan (Origin),Chad (Destination),31
Zimbabwe (Origin),Cameroon (Destination),9
Central African Republic (Origin),Nigeria (Destination),5}
