"text","value"
"Probable",64
"Probable",90
"Probable",75
"Probable",80
"Probable",80
"Probable",90
"Probable",70
"Probable",75
"Probable",75
"Probable",65
"Probable",75
"Likely",66
"Likely",75
"Likely",75
"Likely",75
"Likely",70
"Likely",75
"Likely",40
"Likely",70
"Likely",65
"Likely",75
"Likely",60
"Likely",75
"Likely",60
"Likely",70
"Likely",75
"Likely",70
"Likely",65
"Likely",65
"Likely",80
"Likely",75
"Likely",80
"Likely",70
"Likely",85
"Likely",85
"Likely",65
"Likely",65
"Likely",75
"Likely",90
"Likely",65
"Likely",65
"Likely",70
"Likely",70
"Likely",75
"Likely",60
"Likely",90
"Likely",80
"Likely",90
"Likely",86
"Likely",80
"Likely",90
"Likely",60
"Likely",70
"Likely",70
"Likely",70
"Likely",65
"Likely",60
"Probably",75
"Probably",51
"Probably",70
"Probably",70
"Probably",75
"Probably",75
"Probably",45
"Probably",80
"Probably",80
"Probably",70
"Probably",75
"Probably",75
"Probably",55
"Probably",60
"Probably",65
"Probably",80
"Probably",60
"Probably",75
"Probably",75
"Probably",75
"Probably",75
"Probably",60
"Probably",85
"Probably",85
"Probably",80
"Probably",75
"Probably",60
"Probably",85
"Probably",76
"Probably",65
"Probably",55
"Probably",90
"Probably",90
"Probably",65
"Probably",60
"Probably",80
"Probably",80
"Probably",80
"Probably",80
"Probably",90
"Probably",50
"Probably",70
"Probably",65
"Probably",75
"Probably",60
"Probably",68
"We Believe",66
"We Believe",51
"We Believe",80
"We Believe",80
"We Believe",65
"We Believe",80
"We Believe",80
"We Believe",75
"We Believe",65
"We Believe",65
"We Believe",80
"We Believe",90
"We Believe",60
"We Believe",50
"We Believe",5
"We Believe",85
"We Believe",75
"We Believe",80
"We Believe",75
"We Believe",50
"We Believe",60
"We Believe",85
"We Believe",85
"We Believe",70
"We Believe",80
"We Believe",50
"We Believe",60
"We Believe",75
"We Believe",50
"We Believe",60
"We Believe",60
"We Believe",80
"We Believe",50
"We Believe",50
"We Believe",60
"We Believe",75
"We Believe",70
"We Believe",45
"We Believe",70
"We Believe",85
"We Believe",90
"We Believe",65
"We Believe",70
"We Believe",100
"We Believe",95
"We Believe",55
"Better Than Even",55
"Better Than Even",51
"Better Than Even",60
"Better Than Even",60
"Better Than Even",60
"Better Than Even",65
"Better Than Even",60
"Better Than Even",55
"Better Than Even",55
"Better Than Even",60
"Better Than Even",60
"Better Than Even",67
"Better Than Even",55
"Better Than Even",5
"Better Than Even",65
"Better Than Even",60
"Better Than Even",51
"Better Than Even",55
"Better Than Even",60
"Better Than Even",50
"Better Than Even",60
"Better Than Even",57
"Better Than Even",60
"Better Than Even",60
"Better Than Even",60
"Better Than Even",60
"Better Than Even",51
"Better Than Even",98
"Better Than Even",51
"Better Than Even",60
"Better Than Even",55
"Better Than Even",60
"Better Than Even",51
"Better Than Even",60
"Better Than Even",80
"Better Than Even",80
"Better Than Even",53
"Better Than Even",69
"Better Than Even",60
"Better Than Even",55
"Better Than Even",60
"Better Than Even",51
"Better Than Even",60
"Better Than Even",60
"Better Than Even",55
"Better Than Even",51
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",45
"About Even",50
"About Even",50
"About Even",52
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",49
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",50
"About Even",40
"About Even",50
"About Even",50
"About Even",52
"About Even",50
"About Even",48
"About Even",50
"About Even",45
"About Even",50
"About Even",50
"About Even",50
"About Even",49
"We Doubt",40
"We Doubt",20
"We Doubt",30
"We Doubt",30
"We Doubt",10
"We Doubt",7
"We Doubt",45
"We Doubt",25
"We Doubt",20
"We Doubt",60
"We Doubt",25
"We Doubt",17
"We Doubt",20
"We Doubt",30
"We Doubt",100
"We Doubt",30
"We Doubt",5
"We Doubt",25
"We Doubt",25
"We Doubt",25
"We Doubt",40
"We Doubt",25
"We Doubt",5
"We Doubt",30
"We Doubt",12
"We Doubt",33
"We Doubt",10
"We Doubt",40
"We Doubt",33
"We Doubt",38
"We Doubt",25
"We Doubt",5
"We Doubt",1
"We Doubt",60
"We Doubt",25
"We Doubt",10
"We Doubt",40
"We Doubt",21
"We Doubt",10
"We Doubt",15
"We Doubt",40
"We Doubt",30
"We Doubt",15
"We Doubt",10
"We Doubt",95
"We Doubt",25
"Improbable",20
"Improbable",49
"Improbable",10
"Improbable",10
"Improbable",50
"Improbable",15
"Improbable",35
"Improbable",30
"Improbable",30
"Improbable",20
"Improbable",1
"Improbable",10
"Improbable",5
"Improbable",49
"Improbable",1
"Improbable",40
"Improbable",10
"Improbable",3
"Improbable",10
"Improbable",20
"Improbable",30
"Improbable",33
"Improbable",15
"Improbable",7
"Improbable",25
"Improbable",10
"Improbable",49
"Improbable",7
"Improbable",25
"Improbable",29
"Improbable",20
"Improbable",9
"Improbable",0
"Improbable",3
"Improbable",3
"Improbable",10
"Improbable",4
"Improbable",12
"Improbable",0
"Improbable",20
"Improbable",20
"Improbable",15
"Improbable",35
"Improbable",5
"Improbable",5
"Improbable",20
"Unlikely",30
"Unlikely",25
"Unlikely",25
"Unlikely",25
"Unlikely",5
"Unlikely",8
"Unlikely",20
"Unlikely",15
"Unlikely",35
"Unlikely",30
"Unlikely",15
"Unlikely",10
"Unlikely",30
"Unlikely",20
"Unlikely",10
"Unlikely",30
"Unlikely",15
"Unlikely",15
"Unlikely",10
"Unlikely",25
"Unlikely",10
"Unlikely",10
"Unlikely",2
"Unlikely",18
"Unlikely",35
"Unlikely",25
"Unlikely",20
"Unlikely",10
"Unlikely",25
"Unlikely",36
"Unlikely",12
"Unlikely",3
"Unlikely",10
"Unlikely",24
"Unlikely",5
"Unlikely",25
"Unlikely",30
"Unlikely",34
"Unlikely",20
"Unlikely",35
"Unlikely",10
"Unlikely",35
"Unlikely",20
"Unlikely",10
"Unlikely",20
"Unlikely",35
"Probably Not",15
"Probably Not",49
"Probably Not",25
"Probably Not",25
"Probably Not",20
"Probably Not",15
"Probably Not",40
"Probably Not",25
"Probably Not",35
"Probably Not",45
"Probably Not",40
"Probably Not",25
"Probably Not",30
"Probably Not",40
"Probably Not",100
"Probably Not",40
"Probably Not",10
"Probably Not",30
"Probably Not",20
"Probably Not",50
"Probably Not",25
"Probably Not",10
"Probably Not",10
"Probably Not",27
"Probably Not",30
"Probably Not",25
"Probably Not",40
"Probably Not",25
"Probably Not",20
"Probably Not",34
"Probably Not",35
"Probably Not",20
"Probably Not",10
"Probably Not",30
"Probably Not",20
"Probably Not",20
"Probably Not",30
"Probably Not",26
"Probably Not",30
"Probably Not",15
"Probably Not",40
"Probably Not",30
"Probably Not",25
"Probably Not",20
"Probably Not",40
"Probably Not",40
"Little Chance",20
"Little Chance",5
"Little Chance",20
"Little Chance",20
"Little Chance",5
"Little Chance",5
"Little Chance",20
"Little Chance",20
"Little Chance",15
"Little Chance",20
"Little Chance",20
"Little Chance",17
"Little Chance",10
"Little Chance",13
"Little Chance",100
"Little Chance",15
"Little Chance",15
"Little Chance",10
"Little Chance",25
"Little Chance",25
"Little Chance",20
"Little Chance",7
"Little Chance",2
"Little Chance",17
"Little Chance",20
"Little Chance",10
"Little Chance",15
"Little Chance",10
"Little Chance",10
"Little Chance",29
"Little Chance",15
"Little Chance",20
"Little Chance",5
"Little Chance",20
"Little Chance",4
"Little Chance",8
"Little Chance",8
"Little Chance",18
"Little Chance",10
"Little Chance",15
"Little Chance",5
"Little Chance",10
"Little Chance",5
"Little Chance",10
"Little Chance",25
"Little Chance",17
"Almost No Chance",5
"Almost No Chance",5
"Almost No Chance",1
"Almost No Chance",1
"Almost No Chance",1
"Almost No Chance",1
"Almost No Chance",10
"Almost No Chance",3
"Almost No Chance",5
"Almost No Chance",10
"Almost No Chance",15
"Almost No Chance",2
"Almost No Chance",5
"Almost No Chance",2
"Almost No Chance",95
"Almost No Chance",1
"Almost No Chance",2
"Almost No Chance",1
"Almost No Chance",5
"Almost No Chance",5
"Almost No Chance",5
"Almost No Chance",3
"Almost No Chance",5
"Almost No Chance",2
"Almost No Chance",2
"Almost No Chance",2
"Almost No Chance",5
"Almost No Chance",2
"Almost No Chance",1
"Almost No Chance",7
"Almost No Chance",1
"Almost No Chance",10
"Almost No Chance",0
"Almost No Chance",5
"Almost No Chance",2
"Almost No Chance",2
"Almost No Chance",1
"Almost No Chance",7
"Almost No Chance",1
"Almost No Chance",5
"Almost No Chance",1
"Almost No Chance",5
"Almost No Chance",2
"Almost No Chance",1
"Almost No Chance",2
"Almost No Chance",5
"Highly Unlikely",25
"Highly Unlikely",10
"Highly Unlikely",5
"Highly Unlikely",5
"Highly Unlikely",2
"Highly Unlikely",3
"Highly Unlikely",20
"Highly Unlikely",5
"Highly Unlikely",15
"Highly Unlikely",6
"Highly Unlikely",10
"Highly Unlikely",3
"Highly Unlikely",5
"Highly Unlikely",3
"Highly Unlikely",90
"Highly Unlikely",5
"Highly Unlikely",7
"Highly Unlikely",5
"Highly Unlikely",5
"Highly Unlikely",5
"Highly Unlikely",5
"Highly Unlikely",3
"Highly Unlikely",5
"Highly Unlikely",3
"Highly Unlikely",10
"Highly Unlikely",5
"Highly Unlikely",20
"Highly Unlikely",5
"Highly Unlikely",15
"Highly Unlikely",15
"Highly Unlikely",8
"Highly Unlikely",5
"Highly Unlikely",10
"Highly Unlikely",15
"Highly Unlikely",2
"Highly Unlikely",5
"Highly Unlikely",5
"Highly Unlikely",3
"Highly Unlikely",10
"Highly Unlikely",8
"Highly Unlikely",30
"Highly Unlikely",15
"Highly Unlikely",10
"Highly Unlikely",5
"Highly Unlikely",5
"Highly Unlikely",10
"Chances Are Slight",25
"Chances Are Slight",5
"Chances Are Slight",15
"Chances Are Slight",15
"Chances Are Slight",10
"Chances Are Slight",20
"Chances Are Slight",30
"Chances Are Slight",10
"Chances Are Slight",10
"Chances Are Slight",25
"Chances Are Slight",15
"Chances Are Slight",5
"Chances Are Slight",15
"Chances Are Slight",5
"Chances Are Slight",35
"Chances Are Slight",10
"Chances Are Slight",5
"Chances Are Slight",40
"Chances Are Slight",10
"Chances Are Slight",10
"Chances Are Slight",5
"Chances Are Slight",13
"Chances Are Slight",5
"Chances Are Slight",10
"Chances Are Slight",20
"Chances Are Slight",5
"Chances Are Slight",10
"Chances Are Slight",5
"Chances Are Slight",15
"Chances Are Slight",30
"Chances Are Slight",15
"Chances Are Slight",12
"Chances Are Slight",5
"Chances Are Slight",30
"Chances Are Slight",30
"Chances Are Slight",5
"Chances Are Slight",10
"Chances Are Slight",13
"Chances Are Slight",10
"Chances Are Slight",10
"Chances Are Slight",15
"Chances Are Slight",20
"Chances Are Slight",10
"Chances Are Slight",5
"Chances Are Slight",10
"Chances Are Slight",15
