"CMA_UID","GEOUID","CSD_NAME","CSD_AREA_SQKM","CSD_POPULATION","CSD_DWELLINGS","CSD_HOUSEHOLDS","CSD_LANGUAGE_TOTAL","CSD_LDI","CMA_NAME","CMA_AREA_SQKM","CMA_POPULATION","CMA_DWELLINGS","CMA_HOUSEHOLDS"
59933,5915802,"Tsawwassen",6.577,816,368,323,815,0.106853852233806,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915803,"Musqueam 2",3.19919,1652,615,578,1650,0.139283746556474,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915804,"Coquitlam 2",0.82455,0,0,0,NA,NA,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915805,"Coquitlam 1",0.02195,54,25,22,55,0.173553719008265,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915806,"Burrard Inlet 3",1.05651,1855,932,920,1855,0.17844246990359,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915807,"Mission 1",0.27764,576,178,160,580,0.0170927467300832,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915808,"Capilano 5",1.79039,2931,1433,1309,2935,0.441217869280173,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915809,"Barnston Island 3",0.58363,49,16,15,NA,NA,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915810,"Musqueam 4",0.53308,10,4,4,NA,NA,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915811,"Seymour Creek 2",0.49049,123,40,37,125,0,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915813,"Katzie 2",0.30729,40,15,15,40,0,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915816,"McMillan Island 6",1.78376,94,32,32,95,0,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915825,"Matsqui 4",0.28012,471,286,285,475,0.020831024930748,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915830,"Katzie 1",0.4239,262,83,67,260,0,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915835,"Langley 5",1.30383,0,0,0,NA,NA,"Vancouver",3040.41532,2463431,1027613,960894
59933,5915840,"Whonnock 1",0.38846,0,1,0,NA,NA,"Vancouver",3040.41532,2463431,1027613,960894
