country,level_1_government,level_2_government,bridge_name,project_code,b2p_fiscal_year,stage,individuals_directly_served,gps_latitude,gps_longitude,bridge_type,span_m,project_type
El Salvador,,,El Charcon,SV905,2011,Complete,700,13.494472,-89.3495,Suspended Bridge,35,B2P Built
El Salvador,,,El Porvenir,1002470,2011,Complete,780,13.550139,-89.291417,Suspended Bridge,44,B2P Built
El Salvador,,,El Bosque,SV906,2011,Complete,2000,13.494472,-89.373528,Suspension Bridge,48,B2P Built
El Salvador,,,Melara,SV907,2011,Complete,780,13.487417,-89.207056,Suspension Bridge,58,B2P Built
Ethiopia,,,Dessie,ET905,2003,Complete,14000,11.154665,39.630628,Suspended Bridge,45,B2P Built
Ethiopia,,,Keranyo,ET903,2003,Complete,14000,9.012797,38.704628,Suspended Bridge,50,B2P Built
Ethiopia,,,Jorogeta,ET907,2004,Complete,12000,11.385825,39.589215,Suspended Bridge,65,B2P Built
Ethiopia,,,Moletis,ET910,2005,Complete,8000,11.287703,39.655416,Suspended Bridge,50,B2P Built
Ethiopia,,,Legambo,ET908,2005,Complete,40000,10.829356,39.194267,Suspended Bridge,65,B2P Built
Ethiopia,,,Arba,ET909,2005,Complete,10000,8.864306,39.954778,Suspended Bridge,77,B2P Built
Ethiopia,,,Berga,ET914,2006,Complete,20000,9.056111,38.401889,Suspended Bridge,36,B2P Supported
Ethiopia,,,Wadecha,ET921,2006,Complete,20000,8.91118,39.013246,Suspended Bridge,36,B2P Supported
Ethiopia,,,Keleta,ET912,2006,Complete,5500,8.209929,39.398904,Suspended Bridge,74,B2P Supported
Ethiopia,,,Batu,ET911,2006,Complete,13000,7.9265,38.994778,Suspended Bridge,80,B2P Supported
Ethiopia,,,Kulla,ET916,2007,Complete,50000,6.601753,38.423328,Suspended Bridge,20,B2P Supported
Ethiopia,,,Duber,ET915,2007,Complete,1700,9.209122,38.807496,Suspended Bridge,65,B2P Supported
Ethiopia,,,Bale,ET918,2007,Complete,2000,0,0,Suspended Bridge,0,B2P Supported
Ethiopia,,,Welkessa,ET917,2007,Complete,60,0,0,Suspended Bridge,0,B2P Supported
Ethiopia,,,Sebara Dildiy,ET920,2009,Complete,10000,11.217583,37.876917,Suspended Bridge,90,B2P Built
Guatemala,,,San Lucas,GT912,2010,Complete,500,15.339889,-90.868167,Suspended Bridge,28,B2P Built
Guatemala,,,San Andreas,1002489,2010,Complete,780,15.242917,-91.985694,Suspended Bridge,33,B2P Supported
Guatemala,,,Pavolaj,GT904,2010,Complete,1680,15.198535,-91.932301,Suspended Bridge,35,B2P Supported
Guatemala,,,Palqui,GT903,2010,Complete,160,15.276175,-90.881886,Suspended Bridge,47,B2P Built
Guatemala,,,La Taña,GT901,2010,Complete,1600,15.580552,-90.824211,Suspension Bridge,40,B2P Built
Guatemala,,,Cuatro Cayos,GT913,2010,Complete,1000,15.727373,-88.987758,Suspension Bridge,53,B2P Built
Guatemala,,,El Ritiros Los Canoas,GT907,2011,Complete,800,14.863517,-90.882665,Suspended Bridge,55,B2P Supported
Guatemala,,,Puente Gomez,1002495,2011,Complete,500,14.9225,-90.801944,Suspended Bridge,63,B2P Built
Guatemala,,,Las Lomas,GT905,2012,Complete,1000,14.846916,-91.041894,Suspended Bridge,35,B2P Supported
Guatemala,,,Casario Sacbochol Water Crossing,GT909,2012,Complete,3000,14.850444,-91.140861,Other,50,B2P Supported
Guatemala,,,Heilo (Canajal),1002498,2012,Complete,3000,14.926306,-90.83725,Suspended Bridge,70,B2P Supported
Guatemala,,,Xechpup,GT910,2012,Complete,5000,14.940407,-90.715824,Suspended Bridge,70,B2P Supported
Guatemala,,,Nueva Providencia,GT906,2012,Complete,500,14.557115,-91.128731,Suspended Bridge,85,B2P Supported
Guatemala,,,Chiquijate,1002501,2013,Complete,700,15.013265,-90.739723,Suspended Bridge,21,B2P Supported
Guatemala,,,Las Vegas San Antonio,1002502,2013,Complete,2500,14.982222,-90.658056,Suspended Bridge,35,B2P Supported
Guatemala,,,El Arco,1002503,2013,Complete,3000,14.909105,-90.703473,Suspended Bridge,58,B2P Supported
Guatemala,,,Santa Elena,1002504,2013,Complete,3000,14.908795,-90.703885,Suspension Bridge,80,B2P Supported
Guatemala,,,Las Violetes,1002505,2014,Complete,2000,15.409947,-91.143547,Suspended Bridge,20,B2P Supported
Guatemala,,,Patio Bol,GT101,2015,Complete,2000,15.01575,-90.7,Suspended Bridge,37,B2P Supported
Guatemala,,,Coton,GT102,2015,Complete,1000,14.95,-90.645324,Suspended Bridge,62,B2P Supported
Guatemala,,,El Salitre,GT103,2015,Complete,4000,14.983056,-90.799472,Suspended Bridge,71,B2P Supported
Guatemala,,,Chuwitza?q,GT106,2016,Complete,400,15.083889,-90.797778,Suspended Bridge,18.5,B2P Supported
Guatemala,,,Trapachitos,GT105,2016,Complete,250,14.913889,-90.685833,Suspended Bridge,19,B2P Supported
Guatemala,,,Patzula,GT108,2016,Complete,1000,15.045278,-90.787778,Suspended Bridge,31,B2P Built
Guatemala,,,El Bosque,GT107,2016,Complete,600,14.991111,-90.835,Suspended Bridge,40,B2P Supported
Haiti,,,Ti Peligre,HT901,2011,Complete,1000,18.938396,-71.911644,Suspended Bridge,60,B2P Supported
Haiti,,,La Chambre,1002514,2012,Complete,10000,19.195566,-72.068458,Suspended Bridge,76,B2P Built
Haiti,,,Lougou,1002515,2013,Complete,5000,18.369519,-73.857231,Suspended Bridge,54,B2P Built
Haiti,,,Tierra Muskady,1002516,2013,Complete,5000,18.988286,-71.909631,Suspended Bridge,54,B2P Built
Haiti,,,Moron,1002517,2013,Complete,30000,18.574442,-74.228169,Suspended Bridge,110,B2P Built
Haiti,,,Garrate,HT101,2014,Complete,10000,18.358225,-73.826883,Suspended Bridge,59,B2P Built
Haiti,,,La Belle Mere,1002519,2014,Complete,12000,19.29397,-72.118959,Suspended Bridge,60,B2P Built
Haiti,Centre,Cerca-la-Source,Cerca la Source,HT103,2016,Complete,5400,19.168081,-71.798531,Suspended Bridge,75,B2P Built
Haiti,Grand'Anse,Jérémie,Gelin,HT105,2016,Complete,20000,18.595722,-74.170389,Suspended Bridge,95,B2P Built
Honduras,,,Nueva Esperanza,HN905,2008,Complete,700,14.49223,-88.61082,Suspended Bridge,31,B2P Built
Honduras,,,Piedra Gorda,HN904,2008,Complete,800,15.229811,-87.192563,Suspended Bridge,32,B2P Built
Honduras,,,Mezcalillo,HN906,2008,Complete,216,14.455994,-88.539351,Suspended Bridge,45,B2P Built
Honduras,,,Las Vegas,HN901,2008,Complete,2000,15.00177,-87.43373,Suspended Bridge,68,B2P Built
Honduras,,,La Borrera,HN903,2008,Complete,300,13.570412,-87.047617,Suspension Bridge,51,B2P Built
Honduras,,,Bocuire,1002529,2009,Complete,991,13.544401,-87.066483,Suspended Bridge,25,B2P Supported
Honduras,,,La Hacienda,HN907,2009,Complete,800,14.69209,-87.708193,Suspended Bridge,32,B2P Built
Honduras,,,Pena Blanca,HN910,2009,Complete,100,14.456419,-88.589616,Suspended Bridge,34,B2P Built
Honduras,,,Puente Fuego,HN909,2009,Complete,991,13.504695,-87.116784,Suspended Bridge,35,B2P Built
Honduras,,,Jack S. Kenyon Memorial,HN908,2009,Complete,3000,14.505062,-88.524949,Suspended Bridge,85,B2P Supported
Honduras,,,Agua Caliente,1002534,2010,Complete,1000,14.861594,-89.119769,Suspension Bridge,40,B2P Built
Kenya,,,Segera Mission,KE901,2011,Complete,250,0.147877,36.888612,Suspended Bridge,30,B2P Supported
Kenya,,,Galana River Community,KE902,2011,Complete,5000,-3.087904,39.480739,Suspension Bridge,112,B2P Supported
Mozambique,,,Nchmekah/Bandar,1002537,2014,Complete,5000,-13.152083,38.905778,Suspended Bridge,33,B2P Supported
Nepal,,,Marsyangdi Khola,NP902,2002,Complete,1000,28.237992,84.379656,Suspended Bridge,110,B2P Supported
Nepal,,,Kamro Khola,NP901,2002,Complete,500,28.304605,84.253743,Suspended Bridge,75,B2P Supported
Nicaragua,Matagalpa,Matagalpa,Guadalupe Dos,NI902,2011,Complete,2500,12.8923,-85.8548,Simple Span Bridge,10,B2P Built
Nicaragua,Carazo,Jinotepe,El Panama,1002541,2011,Complete,250,11.769355,-86.243324,Suspended Bridge,36,B2P Supported
Nicaragua,Matagalpa,San Ramón,Guadalupe,NI912,2011,Complete,2500,12.884767,-85.857633,Suspended Bridge,37,B2P Built
Nicaragua,Matagalpa,Matagalpa,Barrio Lucidia Mantilla,NI901,2011,Complete,5000,12.91515,-85.939183,Suspended Bridge,45,B2P Supported
Nicaragua,Matagalpa,Matiguás,Gavilan Patastule,NI909,2011,Complete,220,12.783431,-85.468587,Suspended Bridge,67,B2P Built
Nicaragua,Managua,Villa El Carmen,San Diego,NI910,2011,Complete,1000,11.920383,-86.548583,Suspended Bridge,124,B2P Built
Nicaragua,Matagalpa,Matagalpa,Samulali,NI906,2012,Complete,700,12.860967,-85.876767,Suspended Bridge,25,B2P Built
Nicaragua,Estelí,,San Francisco,NI904,2012,Complete,2500,13.177793,-86.427462,Suspended Bridge,40,B2P Built
Nicaragua,Matagalpa,,Jucuapa Occidental,NI913,2012,Complete,4339,12.868665,-85.95843,Suspension Bridge,40,B2P Built
Nicaragua,Estelí,Condega,Santa Lucia,NI914,2012,Complete,2000,13.347247,-86.41514,Suspension Bridge,40,B2P Built
Nicaragua,Estelí,Condega,El Rodeo,NI903,2012,Complete,1000,13.285863,-86.440208,Suspension Bridge,53,B2P Built
Nicaragua,Matagalpa,Matagalpa,El Trentino,1002553,2013,Complete,483,12.908276,-85.827921,Suspended Bridge,40,B2P Built
Nicaragua,Estelí,Condega,Santa Teresa,1002554,2013,Complete,800,13.309461,-86.437182,Suspended Bridge,40,B2P Supported
Nicaragua,Carazo,La Conquista,El Sol,1002555,2013,Complete,1500,11.716448,-86.132616,Suspended Bridge,42,B2P Supported
Nicaragua,Carazo,Santa Teresa,Ochomogo,1002556,2013,Complete,800,11.690833,-86.1551,Suspended Bridge,42,B2P Supported
Nicaragua,Matagalpa,Esquipulas,Jicaro,NI907,2013,Complete,1200,12.634938,-85.870172,Suspended Bridge,64,B2P Built
Nicaragua,Estelí,,El Dorado,1002558,2013,Complete,1200,13.166582,-86.373158,Suspension Bridge,50,B2P Built
Nicaragua,Estelí,Condega,San Jose de Pire,1002559,2013,Complete,2000,13.286319,-86.448056,Suspension Bridge,57,B2P Built
Nicaragua,Estelí,Condega,Ducuale Grande,1002560,2013,Complete,1000,13.384172,-86.410594,Suspension Bridge,67,B2P Built
Nicaragua,Matagalpa,Rancho Grande,Las Carpas,NI103,2014,Complete,500,13.277395,-85.543963,Suspended Bridge,30,B2P Built
Nicaragua,Carazo,La Conquista,Las Trancas,NI106,2014,Complete,2000,11.727089,-86.209208,Suspended Bridge,30,B2P Supported
Nicaragua,Matagalpa,San Ramón,Corner of Love,NI102,2014,Complete,300,12.923182,-85.828756,Suspended Bridge,40,B2P Built
Nicaragua,Carazo,,Mata de Tules,NI105,2014,Complete,500,11.712794,-86.13355,Suspended Bridge,41,B2P Supported
Timor-Leste,,,Emera 1,GO103,2015,Complete,1000,-8.860278,125.321389,Suspended Bridge,53,B2P Supported
Timor-Leste,,,Emera 2,GO104,2015,Complete,,-8.864167,125.322778,Suspended Bridge,102,B2P Supported
United States,,,Foxfire Mountain,1002662,2011,Complete,0,35.8296429,-83.3925274,Suspended Bridge,95,B2P Supported
Nicaragua,Matagalpa,Ciudad Darío,Las Pencas,NI132,2017,Complete,1078,12.669167,-86.2807,Suspended Bridge,119.3,B2P Built
Panama,Ngäbe-Buglé,,Bajo Maiz,PA119,2017,Complete,,8.345612,-81.832723,Suspended Bridge,76,B2P Built
Rwanda,Southern Province,Muhanga,Budende,RW120,2017,Complete,8520,-1.87583,29.80681,Suspension Bridge,58,B2P Built
Bolivia,Cochabamba,Esteban Arce,Chilcani,BO121,2017,Complete,45,-17.815053,-66.013833,Suspended Bridge,38,B2P Built
Bolivia,Cochabamba,Ayopaya,Tetillas,BO116,2017,Complete,875,-16.79589,-66.666221,Suspended Bridge,101,B2P Built
Nicaragua,León,San José de Achuapa,Monte Frio,NI133,2017,Complete,1855,13.050516,-86.656911,Suspension Bridge,81,B2P Built
Nicaragua,Matagalpa,El Tuma-La Dalia,Quililon,NI131,2017,Complete,2000,13.083617,-85.582783,Suspension Bridge,87.1,B2P Built
Nicaragua,Madriz,Palacagüina,Monte Verde,NI129,2017,Complete,167,13.4262,-86.3864,Suspension Bridge,97,B2P Built
Panama,Veraguas,Cañazas District,Bajo Cobre,PA118,2017,Complete,400,8.356306,-81.481472,Suspension Bridge,63,B2P Built
Rwanda,Southern Province,Muhanga,Kumusenyi,RW119,2017,Complete,8500,-1.827389,29.67125,Suspended Bridge,62,B2P Built
Rwanda,Kigali,Gasabo,Nyirakibehe,RW124,2017,Complete,10000,-1.848167,30.097,Suspension Bridge,60,B2P Built
Rwanda,Southern Province,Muhanga,Rutaka,RW118,2017,Complete,10000,-2.041333,29.69886,Suspended Bridge,40,B2P Built
Rwanda,Southern Province,Nyaruguru,Uwimpfizi,RW123,2017,Complete,2000,-2.621,29.4405,Suspended Bridge,64,B2P Built
Nicaragua,Matagalpa,Esquipulas,Cinta Verde,NI104,2014,Complete,300,12.664636,-85.759522,Suspended Bridge,50,B2P Built
Nicaragua,Madriz,Somoto,Las Papayas,NI101,2014,Complete,5000,13.458166,-86.719899,Suspended Bridge,90,B2P Built
Nicaragua,Matagalpa,Esquipulas,El Limon,1002567,2014,Complete,300,12.663856,-85.758397,Suspension Bridge,35,B2P Built
Nicaragua,Estelí,Condega,Paso Real,NI107,2014,Complete,19000,13.381258,-86.38179,Suspension Bridge,105.1,B2P Built
Nicaragua,Estelí,Pueblo Nuevo,Mata Palo,NI115,2015,Complete,600,13.376861,-86.525694,Suspended Bridge,36,B2P Built
Nicaragua,Carazo,,Amayito,NI119,2015,Complete,1000,11.718618,-86.32842,Suspended Bridge,42,B2P Built
Nicaragua,Estelí,La Trinidad,Oyanca,NI113,2015,Complete,1650,12.928833333,-86.2613,Suspended Bridge,57,B2P Built
Nicaragua,Boaco,Boaco,El Pueblito,NI111,2015,Complete,850,12.606944,-85.549444,Suspended Bridge,100,B2P Built
Nicaragua,Estelí,Condega,Jocote Arriba,NI108,2015,Complete,620,13.359572,-86.261927,Suspension Bridge,41,B2P Built
Nicaragua,Matagalpa,Muy Muy,Rancheria,NI114,2015,Complete,350,12.772057,-85.569327,Suspension Bridge,53,B2P Built
Nicaragua,Matagalpa,Esquipulas,Las Calderas,NI110,2015,Complete,780,12.654567,-85.645633,Suspension Bridge,64,B2P Built
Nicaragua,Estelí,Pueblo Nuevo,Rio Abajo,NI109,2015,Complete,3000,13.371667,-86.45906,Suspension Bridge,81,B2P Built
Nicaragua,Nueva Segovia,El Jícaro,Terrero Sur,NI121,2016,Complete,710,13.668067,-86.193133,Suspended Bridge,51.7,B2P Built
Nicaragua,Carazo,La Conquista,Los Encuentros,NI118,2016,Complete,800,11.709885,-86.24231,Suspended Bridge,68,B2P Built
Nicaragua,Nueva Segovia,El Jícaro,San Albino,NI123,2016,Complete,1150,13.695472,-86.097222,Suspended Bridge,82.5,B2P Built
Nicaragua,Matagalpa,San Dionisio,El Corozo,NI125,2016,Complete,2100,12.79225,-85.855083,Suspension Bridge,43,B2P Built
Nicaragua,Matagalpa,El Tuma-La Dalia,El Triangulo,NI120,2016,Complete,4500,13.178417,-85.602083,Suspension Bridge,48,B2P Built
Nicaragua,Estelí,San Juan de Limay,La Brisa,NI126,2016,Complete,640,13.182472,-86.560056,Suspension Bridge,56,B2P Built
Nicaragua,Matagalpa,San Dionisio,El Zarzal,NI122,2016,Complete,630,12.787806,-85.879472,Suspension Bridge,58,B2P Built
Nicaragua,Estelí,Condega,Arenales,NI127,2017,Complete,3300,13.31865,-86.36002,Suspension Bridge,129.5,B2P Built
Nicaragua,Matagalpa,San Ramón,El Libico,NI128,2017,Complete,588,13.00545,-85.78975,Suspension Bridge,61,B2P Built
Nicaragua,Matagalpa,Matiguás,El Jobo,NI130,2017,Complete,2178,12.894667,-85.61118,Suspension Bridge,36,B2P Built
Panama,Veraguas,,Río Grande,PA121,2017,Complete,200,7.714056,-81.334556,Suspension Bridge,47,B2P Built
Panama,Veraguas,Las Palmas District,Seguidules,PA120,2017,Complete,200,8.078,-81.390694,Suspension Bridge,41,B2P Built
Panama,Bocas del Toro,,Filo Verde,1002588,2013,Complete,1372,9.013478,-82.334532,Suspended Bridge,46,B2P Supported
Panama,Coclé,Penonomé District,Caimital,PA101,2014,Complete,1000,8.573796,-80.365607,Suspended Bridge,76.2,B2P Built
Panama,,,Vallecito,PA102,2014,Complete,4000,8.930656,-80.150094,Suspended Bridge,40,B2P Built
