Ranking,Location,Year,Average,Median,Lower,Upper
1,India,2019,83.2,83.1,76.1,90.7
2,Nepal,2019,83.1,82.3,62.9,106.6
3,Niger,2019,80.1,75.8,42.2,144.9
4,Qatar,2019,76,75.3,59.2,96.6
5,Nigeria,2019,70.4,68.5,45.4,105.2
6,Egypt,2019,67.9,67.2,47.8,92.8
7,Mauritania,2019,66.8,63.8,37.6,107.6
8,Cameroon,2019,64.5,63.3,43.8,92.6
9,Bangladesh,2019,63.4,63.1,55.1,73.8
10,Pakistan,2019,62.6,62.2,49.9,77.5
11,Saudi Arabia,2019,61.5,61.2,47.5,78.9
12,Kuwait,2019,61,60.8,51.6,71.8
13,Mali,2019,60.6,57.6,33.7,103.2
14,Senegal,2019,60.2,58.2,38.1,94.2
15,Chad,2019,59.3,57.7,34.5,93.4
16,Bahrain,2019,59.2,58.6,46.8,75
17,Gambia,2019,58.1,56.4,35,92.6
18,C̫te d'Ivoire,2019,55.6,54.1,32.7,90.3
19,Sudan,2019,54.7,53.2,31.5,89
20,Guinea-Bissau,2019,54.1,51.8,30.9,90.3
21,Ghana,2019,54,52.8,34.9,80.3
22,Burkina Faso,2019,53.7,51.5,30.9,85.7
23,Guinea,2019,52.5,50.7,32,84.5
24,Afghanistan,2019,52.4,50.9,33.3,78
25,Cabo Verde,2019,51.1,50.4,34,73.2
25,Sierra Leone,2019,51.1,49.4,29.8,83
27,Liberia,2019,50.6,49.6,31.8,76.4
28,Iraq,2019,48.5,47.8,35.7,64.6
29,China,2019,47.7,47.7,46.1,49.3
30,Benin,2019,46.9,45.7,28.6,72.1
31,Central African Republic,2019,46.4,43.7,23.1,83.5
32,Togo,2019,46.2,45.3,29.1,70.2
33,Equatorial Guinea,2019,45.3,43.2,23,78.9
34,Oman,2019,44.6,43.7,31.6,62
35,Yemen,2019,44.5,42.9,26.3,69.1
36,Democratic People's Republic of Korea,2019,44.3,43.9,32.4,59.3
37,Eritrea,2019,44.1,42.7,24.1,74.1
38,United Arab Emirates,2019,43.7,42.9,33.1,57.7
39,Djibouti,2019,43.2,41,22,76.5
40,Bhutan,2019,40.3,40.1,34.6,47.3
41,Congo,2019,39.3,37.3,21.3,68.2
42,Libya,2019,38.6,37.9,26.1,54.9
43,Tajikistan,2019,38.3,36.4,19,70
44,Mongolia,2019,38.1,37.5,27.1,51.4
