Country,2011-07-01,2012-01-01,2012-07-01,2013-01-01,2013-07-01,2014-01-01,2014-07-01,2015-01-01,2015-07-01,2016-01-01,2016-07-01,2017-01-01,2017-07-01,2018-01-01,2018-07-01,2019-01-01,2019-07-09,2020-01-14
Euro area,4.73,4.28,4.21,4.54,4.37,4.52,4.46,4.05,3.91,3.74,3.94,3.83,4.12,4.36,4.15,4.15,4.12,4.22
Hong Kong,4.43,4.03,3.98,4.28,4.12,4.24,4.44,4.02,3.91,3.74,4.27,4.16,4.46,4.72,4.52,4.53,4.46,4.53
Hungary,3.36,3.17,3.17,3.39,3.25,3.28,3.39,3.06,3.00,2.79,3.07,2.97,3.21,3.38,3.25,3.15,3.23,3.32
India,2.70,2.63,2.67,2.84,2.72,2.69,2.90,2.60,2.58,2.34,2.65,2.55,2.76,2.90,2.68,2.63,2.75,2.77
Indonesia,2.80,2.71,2.74,2.93,2.80,2.78,2.99,2.67,2.65,2.41,2.72,2.62,2.84,2.98,2.76,2.71,2.82,2.84
Israel,4.26,3.90,3.85,4.20,4.03,4.15,4.31,3.98,3.81,3.64,3.99,3.88,4.21,4.44,4.28,4.28,4.24,4.27
Japan,5.07,4.55,4.46,4.79,4.61,4.79,4.88,4.04,3.79,3.60,3.87,3.77,4.28,4.52,4.20,4.20,4.16,4.18
Malaysia,3.11,2.96,2.97,3.22,3.08,3.09,3.29,2.95,2.90,2.68,2.96,2.86,3.08,3.23,3.01,2.96,3.05,3.11
Mexico,3.17,3.01,3.02,3.22,3.09,3.10,3.28,2.95,2.89,2.67,2.94,2.84,3.06,3.20,2.99,2.94,3.04,3.06
New Zealand,4.46,4.06,4.00,4.36,4.19,4.32,4.52,4.12,4.05,3.86,4.05,3.95,4.20,4.49,4.33,4.34,4.27,4.25
Norway,7.43,6.48,6.26,7.07,6.82,7.23,7.20,6.47,5.89,5.82,5.55,5.44,5.74,5.89,5.72,5.80,5.60,5.79
Pakistan,2.69,2.62,2.66,2.83,2.71,2.67,2.89,2.59,2.57,2.33,2.64,2.54,2.75,2.89,2.67,2.61,2.73,2.75
Peru,2.92,2.81,"
",3.03,2.91,2.90,3.12,2.79,2.75,2.51,2.82,2.72,2.94,3.10,2.88,2.83,2.93,2.96
Philippines,2.74,2.66,2.70,2.88,2.75,2.73,2.95,2.65,2.62,2.38,2.70,2.60,2.81,2.95,2.73,2.67,2.79,2.81
Poland,3.33,3.14,3.14,3.37,3.23,3.25,3.39,3.06,3.02,2.81,3.08,2.98,3.20,3.36,3.18,3.14,3.21,3.28
Russia,3.22,3.05,3.06,3.35,3.21,3.23,3.45,3.11,2.97,2.74,2.94,2.84,3.06,3.21,3.04,3.01,3.10,3.12
Saudi Arabia,3.60,3.36,3.35,3.71,3.56,3.62,3.94,3.51,3.37,3.17,3.41,3.31,3.54,3.71,3.48,3.45,3.49,3.58
Singapore,5.08,4.57,4.47,4.94,4.76,4.95,5.19,4.69,4.48,4.33,4.68,4.57,4.85,5.13,5.00,5.03,5.00,5.14
South Africa,3.04,2.90,2.92,3.13,3.00,3.00,3.16,2.80,2.75,2.52,2.81,2.71,2.92,3.06,2.86,2.81,2.91,2.93
South Korea,3.80,3.52,3.50,3.76,3.61,3.68,3.83,3.55,3.50,3.30,3.66,3.56,3.81,4.02,3.85,3.83,3.82,3.95
Sweden,5.41,4.83,4.72,5.31,5.11,5.34,5.25,4.80,4.56,4.42,4.56,4.45,4.72,5.05,4.82,4.83,4.72,4.75
Switzerland,6.46,5.68,5.52,6.43,6.20,6.55,6.32,5.71,5.56,5.44,5.79,5.67,5.98,6.32,5.96,6.02,5.79,5.85
Taiwan,3.68,3.43,3.41,3.66,3.51,3.57,3.73,3.36,3.31,3.10,3.47,3.37,3.60,3.80,3.62,3.59,3.62,3.64
Thailand,2.91,2.80,2.83,3.01,2.89,2.87,3.07,2.76,2.71,2.49,2.81,2.71,2.92,3.08,2.88,2.83,2.93,2.97
Turkey,3.22,3.05,3.06,3.23,3.10,3.11,3.30,2.96,2.89,2.66,2.96,2.86,3.08,3.30,3.04,3.00,3.08,3.05
United States,5.32,4.76,4.65,4.90,4.72,4.90,5.11,4.61,4.42,4.26,4.80,4.69,4.96,5.33,5.08,5.12,4.99,5.08
