TerminalID,ProjectID,ComboID,Facility,Country,Region,Wiki,Name,Other Names,Owner,Status,StartYear1,StartYear2,StartYear3,StopYear,Capacity,Capacity Unit,mtpa,Location,Prefecture/District,State/Province,Latitude,Longitude,Accuracy,Floating,Pre-FID,FID Year
T0214,0,T02140,Import,USA,North America,https://www.gem.wiki/Cameron_LNG_Terminal,Cameron LNG Import Terminal,,"Sempra Energy, 50.20%, Total S.A., 16.60%, Mitsui Group, 16.60%, Mitsubishi, 11.60%, JXTG Holdings, 5.00%",Mothballed,2009,,,,11.40,mtpa,11.40,Hackberry,,Louisiana,30.035471,-93.3383568,exact,no,,
T0214,1,T02141,Export,USA,North America,https://www.gem.wiki/Cameron_LNG_Terminal,Cameron LNG Export Terminal T1,,"Sempra Energy, 50.20%, Total S.A., 16.60%, Mitsui Group, 16.60%, Mitsubishi, 11.60%, JXTG Holdings, 5.00%",Operating,2019,,,,4.50,mtpa,4.50,Hackberry,,Louisiana,30.035471,-93.3383568,exact,no,,
T0214,2,T02142,Export,USA,North America,https://www.gem.wiki/Cameron_LNG_Terminal,Cameron LNG Export Terminal T2,,"Sempra Energy, 50.20%, Total S.A., 16.60%, Mitsui Group, 16.60%, Mitsubishi, 11.60%, JXTG Holdings, 5.00%",Operating,2019,,,,4.50,mtpa,4.50,Hackberry,,Louisiana,30.035471,-93.3383568,exact,no,,
T0214,3,T02143,Export,USA,North America,https://www.gem.wiki/Cameron_LNG_Terminal,Cameron LNG Export Terminal T3,,"Sempra Energy, 50.20%, Total S.A., 16.60%, Mitsui Group, 16.60%, Mitsubishi, 11.60%, JXTG Holdings, 5.00%",Operating,2020,,,,4.50,mtpa,4.50,Hackberry,,Louisiana,30.035471,-93.3383568,exact,no,FID,
T0214,4,T02144,Export,USA,North America,https://www.gem.wiki/Cameron_LNG_Terminal,Cameron LNG Export Terminal T4,,"Sempra Energy, 50.20%, Total S.A., 16.60%, Mitsui Group, 16.60%, Mitsubishi, 11.60%, JXTG Holdings, 5.00%",Proposed,2026,,,,5.00,mtpa,5.00,Hackberry,,Louisiana,30.035471,-93.3383568,exact,no,Pre-FID,2021
T0214,5,T02145,Export,USA,North America,https://www.gem.wiki/Cameron_LNG_Terminal,Cameron LNG Export Terminal T5,,"Sempra Energy, 50.20%, Total S.A., 16.60%, Mitsui Group, 16.60%, Mitsubishi, 11.60%, JXTG Holdings, 5.00%",Proposed,2026,,,,5.00,mtpa,5.00,Hackberry,,Louisiana,30.035471,-93.3383568,exact,no,Pre-FID,2021
T0215,1,T02151,Export,USA,North America,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal T1,,"Commonwealth LNG, 100.00%",Proposed,2024,,,,1.40,mtpa,1.40,Cameron Parish,,Louisiana,29.777124,-93.362767,approximate,no,Pre-FID,2021
T0215,2,T02152,Export,USA,North America,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal T2,,"Commonwealth LNG, 100.00%",Proposed,2024,,,,1.40,mtpa,1.40,Cameron Parish,,Louisiana,29.777124,-93.362767,approximate,no,Pre-FID,2021
T0215,3,T02153,Export,USA,North America,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal T3,,"Commonwealth LNG, 100.00%",Proposed,2024,,,,1.40,mtpa,1.40,Cameron Parish,,Louisiana,29.777124,-93.362767,approximate,no,Pre-FID,2021
T0215,4,T02154,Export,USA,North America,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal T4,,"Commonwealth LNG, 100.00%",Proposed,2024,,,,1.40,mtpa,1.40,Cameron Parish,,Louisiana,29.777124,-93.362767,approximate,no,Pre-FID,2021
T0215,5,T02155,Export,USA,North America,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal T5,,"Commonwealth LNG, 100.00%",Proposed,2024,,,,1.40,mtpa,1.40,Cameron Parish,,Louisiana,29.777124,-93.362767,approximate,no,Pre-FID,2021
T0215,6,T02156,Export,USA,North America,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal T6,,"Commonwealth LNG, 100.00%",Proposed,2024,,,,1.40,mtpa,1.40,Cameron Parish,,Louisiana,29.777124,-93.362767,approximate,no,Pre-FID,2021
T0215,7,T02157,Export,USA,North America,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal T7,,"Commonwealth LNG, 100.00%",Proposed,2024,,,,1.40,mtpa,1.40,Cameron Parish,,Louisiana,29.777124,-93.362767,approximate,no,Pre-FID,2021
T0215,8,T02158,Export,USA,North America,https://www.gem.wiki/Commonwealth_LNG_Terminal,Commonwealth LNG Terminal T8,,"Commonwealth LNG, 100.00%",Proposed,2024,,,,1.40,mtpa,1.40,Cameron Parish,,Louisiana,29.777124,-93.362767,approximate,no,Pre-FID,2021
T0216,1,T02161,Export,USA,North America,https://www.gem.wiki/Corpus_Christi_LNG,Corpus Christi LNG Terminal T1,,"Cheniere Energy, 100.00%",Operating,2018,,,,5.00,mtpa,5.00,Corpus Christi,,Texas,27.91354225,-97.28656287,exact,no,,
T0216,10,T021610,Export,USA,North America,https://www.gem.wiki/Corpus_Christi_LNG,Corpus Christi LNG Terminal T10,,"Cheniere Energy, 100.00%",Proposed,2024,,,,1.64,mtpa,1.64,Corpus Christi,,Texas,27.91354225,-97.28656287,exact,no,Pre-FID,2021
T0216,2,T02162,Export,USA,North America,https://www.gem.wiki/Corpus_Christi_LNG,Corpus Christi LNG Terminal T2,,"Cheniere Energy, 100.00%",Operating,2019,,,,5.00,mtpa,5.00,Corpus Christi,,Texas,27.91354225,-97.28656287,exact,no,,
T0216,3,T02163,Export,USA,North America,https://www.gem.wiki/Corpus_Christi_LNG,Corpus Christi LNG Terminal T3,,"Cheniere Energy, 100.00%",Construction,2021,,,,5.00,mtpa,5.00,Corpus Christi,,Texas,27.91354225,-97.28656287,exact,no,,
T0216,4,T02164,Export,USA,North America,https://www.gem.wiki/Corpus_Christi_LNG,Corpus Christi LNG Terminal T4,,"Cheniere Energy, 100.00%",Proposed,2024,,,,1.64,mtpa,1.64,Corpus Christi,,Texas,27.91354225,-97.28656287,exact,no,Pre-FID,2021
T0216,5,T02165,Export,USA,North America,https://www.gem.wiki/Corpus_Christi_LNG,Corpus Christi LNG Terminal T5,,"Cheniere Energy, 100.00%",Proposed,2024,,,,1.64,mtpa,1.64,Corpus Christi,,Texas,27.91354225,-97.28656287,exact,no,Pre-FID,2021
T0216,6,T02166,Export,USA,North America,https://www.gem.wiki/Corpus_Christi_LNG,Corpus Christi LNG Terminal T6,,"Cheniere Energy, 100.00%",Proposed,2024,,,,1.64,mtpa,1.64,Corpus Christi,,Texas,27.91354225,-97.28656287,exact,no,Pre-FID,2021
T0216,7,T02167,Export,USA,North America,https://www.gem.wiki/Corpus_Christi_LNG,Corpus Christi LNG Terminal T7,,"Cheniere Energy, 100.00%",Proposed,2024,,,,1.64,mtpa,1.64,Corpus Christi,,Texas,27.91354225,-97.28656287,exact,no,Pre-FID,2021
T0216,8,T02168,Export,USA,North America,https://www.gem.wiki/Corpus_Christi_LNG,Corpus Christi LNG Terminal T8,,"Cheniere Energy, 100.00%",Proposed,2024,,,,1.64,mtpa,1.64,Corpus Christi,,Texas,27.91354225,-97.28656287,exact,no,Pre-FID,2021
T0216,9,T02169,Export,USA,North America,https://www.gem.wiki/Corpus_Christi_LNG,Corpus Christi LNG Terminal T9,,"Cheniere Energy, 100.00%",Proposed,2024,,,,1.64,mtpa,1.64,Corpus Christi,,Texas,27.91354225,-97.28656287,exact,no,Pre-FID,2021
T0217,0,T02170,Import,USA,North America,https://www.gem.wiki/Cove_Point_LNG,Cove Point LNG Import Terminal,,"Dominion Energy, 50.00%, Brookfield Infrastructure Partners, 25.00%, Berkshire Hathaway, 25.00%",Operating,1978,2003,2018,,13.70,mtpa,13.70,Lusby,,Maryland,38.3913422,-76.4045082,exact,no,,
T0217,1,T02171,Export,USA,North America,https://www.gem.wiki/Cove_Point_LNG,Cove Point LNG Export Terminal,,"Dominion Energy, 50.00%, Brookfield Infrastructure Partners, 25.00%, Berkshire Hathaway, 25.00%",Operating,2018,,,,5.25,mtpa,5.25,Lusby,,Maryland,30.366324,-81.626135,exact,no,,
T0218,1,T02181,Export,USA,North America,https://www.gem.wiki/Delfin_LNG_Terminal,Delfin LNG Terminal T1,,"Fairwood Group, 100.00%",Proposed,2024,,,,3.00,mtpa,3.00,"Port Delfin, Cameron Parish",,Louisiana,29.074272,-92.834569,approximate,yes,Pre-FID,
