project,owner,status,countries,type,geom,pci,capacity,capacity_unit,lat,lng,route,url
Crotone–Maida Santa Eufemia Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"38.859, 16.3646: 38.8441, 16.4181: 38.8386, 16.4421: 38.8146, 16.4624: 38.7998, 16.4791: 38.7832, 16.4994: 38.7795, 16.5289: 38.7832, 16.5455: 38.8128, 16.5732: 38.8441, 16.6046: 38.8718, 16.6599: 38.9014, 16.7005: 38.9161, 16.7393: 38.9272, 16.7744: 38.9383, 16.8058: 38.9438, 16.8371: 38.9457, 16.8574: 38.9475, 16.8833: 38.9494, 16.9331: 38.9512, 16.9793: 38.942, 16.9922: 38.9549, 17.0254: 38.9752, 17.0402: 39.014, 17.0494: 39.049, 17.0512: 39.079, 17.1139",https://gem.wiki/Crotone–Maida_Santa_Eufemia_Gas_Pipeline
Cupello–Biccari Gas Pipeline,,operating,Italy,Gas Pipeline,line,,,,,,"42.0248, 14.8014: 41.9211, 14.8455: 41.784, 14.9409: 41.605, 15.1103: 41.397, 15.1954",https://gem.wiki/Cupello–Biccari_Gas_Pipeline
Cupello–Vastogirardi Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"41.7746, 14.2607: 41.7946, 14.273: 41.7913, 14.3153: 41.7924, 14.3309: 41.8258, 14.3799: 41.8325, 14.3966: 41.8213, 14.4444: 41.8213, 14.4934: 41.8425, 14.5413: 41.8915, 14.608: 41.9438, 14.7015: 42.0248, 14.8014",https://gem.wiki/Cupello–Vastogirardi_Gas_Pipeline
Foligno–Gallese Civita Cast Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"42.3731, 12.4024: 42.4251, 12.4201: 42.4318, 12.4556: 42.4859, 12.4606: 42.5112, 12.4995: 42.5636, 12.4877: 42.6565, 12.5552: 42.6801, 12.5502: 42.7511, 12.4995: 42.773, 12.5012: 42.7967, 12.5063: 42.8153, 12.5147: 42.8305, 12.5721: 42.844, 12.5975: 42.8811, 12.6144: 42.8997, 12.6127: 42.9303, 12.6905: 42.9485, 12.7",https://gem.wiki/Foligno–Gallese_Civita_Cast_Gas_Pipeline
Gagliano Sparacollo–Calderari Enna Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"37.6848, 14.6527: 37.6605, 14.5815: 37.6446, 14.5634: 37.5604, 14.3661",https://gem.wiki/Gagliano_Sparacollo–Calderari_Enna_Gas_Pipeline
Gallese Civita Cast–Oricola Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"42.3731, 12.4024: 42.2499, 12.4902: 42.2455, 12.5147: 42.2432, 12.5581: 42.2299, 12.5948: 42.1865, 12.6393: 42.1798, 12.6493: 42.1943, 12.6971: 42.1854, 12.7527: 42.191, 12.7861: 42.2132, 12.8217: 42.2254, 12.8673: 42.2343, 12.8717: 42.1976, 12.9062: 42.172, 12.9196: 42.1498, 12.9207: 42.1287, 12.9207: 42.1042, 12.9274: 42.0842, 12.9452: 42.0653, 12.973: 42.0475, 13.0041: 42.0651, 13.0496",https://gem.wiki/Gallese_Civita_Cast–Oricola_Gas_Pipeline
GALSI Pipeline,"Sonatrach, Edison S.p.A., Enel, Hera Group, Government of Sardinia ",proposed,"Algeria, Italy",Gas Pipeline,line,,8.0,bcm/year,,,"42.9568, 10.6023: 42.8375, 10.6027: 42.7834, 10.6065: 42.7445, 10.6065: 42.6886, 10.5536: 42.6652, 10.5552: 42.6171, 10.5256: 42.5704, 10.4821: 42.5207, 10.4635: 42.4679, 10.42: 42.427, 10.3679: 42.3428, 10.2808: 42.3007, 10.2267: 42.2436, 10.1996: 42.1865, 10.0884: 42.1444, 10.0373: 42.0813, 10.0193: 41.9851, 9.9742: 41.931, 9.9471: 41.8649, 9.9201: 41.7777, 9.881: 41.7146, 9.8569: 41.6517, 9.8593: 41.4291, 9.8854: 41.3244, 9.8953: 41.2622, 9.8887: 41.2033, 9.8723: 41.1084, 9.8462: 41.1018, 9.8331: 41.056, 9.7873: 41.0102, 9.7349: 40.9284, 9.6465: 40.804, 9.473: 40.768, 9.4109: 40.7418, 9.3192: 40.7353, 9.2799: 40.696, 9.221: 40.6567, 9.1621: 40.5847, 9.0672: 40.5421, 9.0116: 40.5127, 8.9461: 40.4701, 8.9265: 40.4211, 8.8708: 40.3065, 8.861: 40.2672, 8.8545: 40.2312, 8.7955: 40.1821, 8.7988: 40.1527, 8.8381: 40.1036, 8.8741: 40.0414, 8.8806: 39.9792, 8.8806: 39.9465, 8.8512: 39.8876, 8.8217: 39.7305, 8.789: 39.6683, 8.7955: 39.6192, 8.8283: 39.5112, 8.8381: 39.4653, 8.8577: 39.4097, 8.8806: 39.3115, 8.9036: 39.2395, 8.7759: 39.2133, 8.717: 39.2068, 8.6515: 39.1511, 8.5403: 39.1086, 8.5075: 39.0464, 8.5304: 38.9548, 8.5926: 38.8886, 8.5432: 38.8419, 8.5004: 38.7893, 8.4868: 38.7329, 8.4829: 38.5058, 8.4653: 38.3859, 8.4575: 38.3416, 8.4419: 38.2842, 8.4236: 38.2269, 8.4158: 38.1226, 8.408: 38.06, 8.4027: 38, 8.3949: 37.8957, 8.3715: 37.8358, 8.3558: 37.7784, 8.348: 37.6741, 8.3428: 37.6115, 8.3402: 37.5453, 8.3392: 37.4498, 8.3356: 37.3853, 8.3243: 37.3348, 8.2907: 37.2422, 8.2261: 37.1889, 8.2037: 37.0766, 8.1504: 37.0374, 8.1083: 36.9925, 8.0634: 36.9532, 8.0494: 36.8666, 7.9457: 36.8351, 7.9185",https://www.gem.wiki/GALSI_Pipeline
Grumento–Moliterno Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"40.243, 15.8653: 40.3163, 15.9047; 40.3135, 15.8991: 40.3163, 15.9047: 40.6264, 15.9854",https://gem.wiki/Grumento–Moliterno_Gas_Pipeline
Grumento–Montesano Sulla Marcellana Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"40.2818, 15.6673: 40.3136, 15.8991",https://gem.wiki/Grumento–Montesano_Sulla_Marcellana_Gas_Pipeline
Istrana–Mira Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"45.4276, 12.1314: 45.7153, 12.0721",https://gem.wiki/Istrana–Mira_Gas_Pipeline
Larino-Chieti Gas Pipeline,Gasdotti Italia S.p.A.,construction,Italy,Gas Pipeline,line,,247.2,MMcf/d,,,"42.3595, 14.1416: 42.3533, 14.1561: 42.3562, 14.1766: 42.3566, 14.1844: 42.3495, 14.1989: 42.3443, 14.2055: 42.3406, 14.2267: 42.338, 14.2338: 42.3332, 14.2364: 42.3254, 14.2371: 42.3157, 14.2371: 42.3075, 14.239: 42.2904, 14.2487: 42.2823, 14.2606: 42.2811, 14.2717: 42.2752, 14.2821: 42.2696, 14.2929: 42.2678, 14.3022: 42.2626, 14.3044: 42.2611, 14.3241: 42.2577, 14.3327: 42.2473, 14.3501: 42.2406, 14.3643: 42.2109, 14.3951: 42.2053, 14.3981: 42.1997, 14.3988: 42.1927, 14.4107: 42.1923, 14.4185: 42.1823, 14.4301: 42.1499, 14.4765: 42.1417, 14.478: 42.1287, 14.4821: 42.1239, 14.4882: 42.1232, 14.5149: 42.1205, 14.5252: 42.1061, 14.5505: 42.0897, 14.5937: 42.0883, 14.6108: 42.0753, 14.63: 42.0767, 14.6443: 42.0773, 14.6587: 42.0719, 14.671: 42.0678, 14.6875: 42.063, 14.6991: 42.0486, 14.7183: 42.0376, 14.7409: 42.0219, 14.7498: 42.0123, 14.7553: 41.9249, 14.8417: 41.8026, 14.9271",https://www.gem.wiki/Larino-Chieti_Pipeline
Latiano–Brindisi Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"40.5508, 17.7178: 40.5936, 17.8601",https://gem.wiki/Latiano–Brindisi_Gas_Pipeline
Lauria–Morano Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"40.0502, 15.8404: 40.0197, 15.8848: 40.0143, 15.8969: 40.012, 15.9005: 40.0077, 15.9045: 40.0049, 15.9103: 40.0007, 15.9162: 39.9973, 15.9219: 39.9927, 15.93: 39.9902, 15.933: 39.9877, 15.9344: 39.9819, 15.9352: 39.9763, 15.9363: 39.9733, 15.9364: 39.9698, 15.9336: 39.9686, 15.9325: 39.963, 15.9325: 39.9552, 15.9364: 39.9527, 15.942: 39.9466, 15.9568: 39.9443, 15.9597: 39.9404, 15.9597: 39.9351, 15.96: 39.9294, 15.9654: 39.922, 15.9685: 39.9166, 15.9682: 39.9131, 15.9654: 39.9085, 15.9632: 39.9056, 15.9654: 39.9014, 15.9732: 39.8985, 15.9795: 39.8929, 15.9824: 39.8914, 15.9831: 39.8866, 15.9852: 39.8836, 15.9864: 39.882, 15.9879: 39.8794, 15.9896: 39.8779, 15.9915: 39.8775, 15.9933: 39.8777, 15.9981: 39.8784, 16.002: 39.8792, 16.0067: 39.8798, 16.0083: 39.8818, 16.0103: 39.8839, 16.0125: 39.886, 16.0203: 39.8869, 16.0232: 39.889, 16.0288: 39.8896, 16.0403: 39.8875, 16.0457: 39.884, 16.0498: 39.8825, 16.056: 39.879, 16.0598: 39.8772, 16.0669: 39.8728, 16.0731: 39.8677, 16.0802: 39.8654, 16.0832: 39.8645, 16.0885: 39.866, 16.095: 39.8677, 16.0994: 39.8435, 16.136",https://gem.wiki/Lauria–Morano_Gas_Pipeline
MaidaSEufemia–Reggio Calabria Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"38.859, 16.3646: 38.7128, 16.1815: 38.6981, 16.1936: 38.4163, 15.8755; 38.859, 16.3646: 38.6819, 16.1678: 38.6793, 16.1738: 38.6758, 16.1775: 38.6708, 16.1825: 38.666, 16.1861: 38.6617, 16.1884: 38.6582, 16.1895: 38.6539, 16.1898: 38.6501, 16.1884: 38.6458, 16.1856: 38.6388, 16.1793: 38.6346, 16.1743: 38.632, 16.1695: 38.6295, 16.165: 38.6259, 16.1618: 38.6194, 16.1588: 38.6153, 16.156: 38.612, 16.1521: 38.6062, 16.1478: 38.6039, 16.1456: 38.5966, 16.1391: 38.5946, 16.138: 38.5922, 16.1372: 38.5849, 16.1353: 38.5814, 16.1321: 38.576, 16.1186: 38.5737, 16.1077: 38.5731, 16.0948: 38.5708, 16.0894: 38.5657, 16.0842: 38.5637, 16.0802: 38.5619, 16.0736: 38.5585, 16.0699: 38.5522, 16.0687: 38.547, 16.0673: 38.5364, 16.0569: 38.5318, 16.0521: 38.5284, 16.0518: 38.5243, 16.0524: 38.5209, 16.0529: 38.516, 16.0503: 38.5094, 16.0437: 38.5054, 16.0377: 38.5011, 16.0297: 38.4994, 16.0237: 38.4977, 16.0176: 38.4945, 16.0113: 38.4905, 16.0087: 38.487, 16.0064: 38.4847, 16.003: 38.4773, 16.0005: 38.474, 15.999: 38.4702, 15.9929: 38.4656, 15.9847: 38.4626, 15.98: 38.4575, 15.975: 38.4542, 15.9713: 38.4495, 15.9653: 38.4465, 15.9545: 38.4438, 15.9509: 38.4391, 15.9435: 38.4374, 15.9368: 38.4351, 15.9331: 38.4271, 15.9254: 38.4241, 15.9238: 38.4167, 15.9214: 38.4127, 15.9184: 38.4083, 15.9151: 38.4043, 15.909: 38.4003, 15.9067: 38.3943, 15.906: 38.3872, 15.8986: 38.3845, 15.8943: 38.3826, 15.8872: 38.3826, 15.8808: 38.3803, 15.8759: 38.3769, 15.8718: 38.3729, 15.8677: 38.3701, 15.8657: 38.3678, 15.865: 38.364, 15.865: 38.3606, 15.8647: 38.3576, 15.8647: 38.3558, 15.866: 38.3528, 15.8688: 38.3501, 15.8701: 38.3456, 15.8698: 38.3436, 15.8691: 38.3354, 15.8613: 38.3324, 15.8586: 38.3314, 15.8555: 38.3293, 15.8494: 38.3259, 15.8456: 38.3229, 15.8429: 38.3205, 15.8419: 38.3143, 15.8426: 38.3086, 15.8446: 38.3035, 15.8436: 38.2953, 15.8415: 38.2902, 15.8358: 38.2868, 15.8293: 38.2837, 15.8225: 38.28, 15.8157: 38.2756, 15.8119: 38.2725, 15.8092: 38.2701, 15.8021: 38.2643, 15.7854: 38.262, 15.7789: 38.2558, 15.7704: 38.258, 15.7535",https://gem.wiki/MaidaSEufemia–Reggio_Calabria_Gas_Pipeline
Matagiola-Massafra Gas Pipeline,Snam,proposed,Italy,Gas Pipeline,line,,,,,,"40.581604,17.119015:40.631403,17.938596",https://www.gem.wiki/Matagiola-Massafra_Gas_Pipeline
Melizzano–Benevento Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"41.1617, 14.5054: 41.1798, 14.5608: 41.1779, 14.7143: 41.1289, 14.7819",https://gem.wiki/Melizzano–Benevento_Gas_Pipeline
Menfi–Mazara Del Vallo Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"37.6023, 12.9687: 37.6159, 12.9361: 37.6187, 12.9239: 37.6237, 12.9024: 37.6245, 12.8931: 37.6259, 12.863: 37.6273, 12.8293: 37.6302, 12.7985: 37.6323, 12.7676: 37.6359, 12.7246: 37.6453, 12.6479: 37.6554, 12.5976",https://gem.wiki/Menfi–Mazara_Del_Vallo_Gas_Pipeline
Messina–Montalbano Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"38.2721, 15.5888: 38.2173, 15.4784: 38.1847, 15.4241: 38.1706, 15.4014: 38.1598, 15.346: 38.1576, 15.3178: 38.1153, 15.2483: 38.1044, 15.2136: 38.0979, 15.1886: 38.0664, 15.1702: 38.0447, 15.1637: 38.0284, 15.142: 38.0165, 15.1181: 38.01, 15.0942: 38.0165, 15.0725: 38.0208, 15.041: 38.0228, 15.013",https://gem.wiki/Messina–Montalbano_Gas_Pipeline
Methanization of Sardinia Project,ENURA S.p.A,proposed,Italy,Gas Pipeline,line,,,,,,"40.9194, 9.6339: 40.8413, 9.4821: 40.8167, 9.4298: 40.789, 9.3836: 40.7736, 9.319: 40.7613, 9.2544: 40.7305, 9.2082: 40.7059, 9.1559: 40.669, 9.1098: 40.6321, 9.0728: 40.5921, 9.0205: 40.5674, 8.9805: 40.5459, 8.919: 40.4967, 8.9036: 40.4597, 8.8605: 40.3797, 8.8544: 40.3213, 8.8328: 40.2782, 8.799: 40.2536, 8.759: 40.1951, 8.7559: 40.152, 8.7836: 40.1244, 8.8267: 40.0751, 8.8451: 40.029, 8.8421: 39.9767, 8.8421: 39.9397, 8.8021: 39.8874, 8.7836: 39.752, 8.7559: 39.6966, 8.7436: 39.6505, 8.7682: 39.6105, 8.7928: 39.5613, 8.799: 39.512, 8.7959: 39.472, 8.8021: 39.432, 8.8359: 39.3828, 8.8513: 39.3366, 8.8636: 39.2966, 8.8636: 39.2843, 8.8205: 39.2751, 8.7528: 39.2505, 8.7128: 39.2443, 8.6421: 39.2105, 8.5959: 39.1951, 8.5313: 39.1551, 8.4913: 39.1059, 8.482: 39.0139, 8.6311: 38.9584, 8.5935; 39.082, 9.013: 39.1229, 8.9834: 39.1732, 8.9724: 39.2124, 8.943: 39.2381, 8.9248: 39.2523, 8.8991: 39.2966, 8.8636; 39.2966, 8.8636: 39.2514, 8.9001: 39.2388, 8.9246: 39.231, 8.9651: 39.2239, 8.997: 39.2339, 9.0309: 39.242, 9.0573: 39.2155, 9.0746: 39.2165, 9.1213; 40.1952, 8.7559: 40.1782, 8.8642: 40.1729, 8.904: 40.1765, 8.9335: 40.1874, 8.9599: 40.178, 9.0035: 40.1835, 9.0361: 40.1998, 9.0688: 40.1983, 9.1085: 40.2123, 9.145: 40.2255, 9.1754: 40.2364, 9.2127: 40.2543, 9.2399: 40.2753, 9.2586: 40.2784, 9.2983: 40.3196, 9.3356; 40.2535, 8.7589: 40.2439, 8.7181: 40.2386, 8.6791: 40.2379, 8.6415: 40.2265, 8.6046; 40.2536, 8.7592: 40.2917, 8.731: 40.34, 8.7328: 40.3837, 8.7103: 40.4209, 8.6755: 40.4612, 8.6478: 40.5111, 8.6431: 40.5483, 8.6011: 40.5855, 8.5813: 40.6195, 8.5331: 40.659, 8.4888: 40.6928, 8.4481: 40.7298, 8.4049: 40.8335, 8.397; 40.6485, 8.5011: 40.6451, 8.4441: 40.6386, 8.4056: 40.5592, 8.3223; 40.6485, 8.5007: 40.7225, 8.5622; 39.7886, 8.7634: 39.7673, 8.6829: 39.7706, 8.6516: 39.7772, 8.6148; 39.5809, 8.7965: 39.5524, 8.7497: 39.5318, 8.7185: 39.5062, 8.6943",https://www.gem.wiki/Methanization_of_Sardinia_Project
Minerbio–Parma Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"44.6157, 11.498: 44.6716, 11.2865: 44.6693, 11.1673: 44.6379, 11.1178: 44.6176, 11.0728: 44.6289, 10.9334: 44.6513, 10.8524: 44.6828, 10.7512: 44.7458, 10.6545: 44.7503, 10.632: 44.7368, 10.5915: 44.7571, 10.533: 44.8155, 10.4251: 44.8425, 10.3734: 44.9217, 10.3111: 44.9249, 10.3064",https://gem.wiki/Minerbio–Parma_Gas_Pipeline
Minerbio–Ravenna Terra Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"44.4167, 12.3065: 44.4549, 12.2294: 44.4613, 12.1814: 44.4986, 12.1121: 44.536, 11.9893: 44.5573, 11.9018: 44.5744, 11.7695: 44.5936, 11.6618: 44.6128, 11.5657: 44.6157, 11.498: 44.6158, 11.498: 44.7123, 11.6308: 44.7845, 11.6745: 44.8524, 11.7468: 44.8732, 11.7665: 44.9115, 11.7851: 44.9247, 11.8125: 44.9476, 11.8399: 44.9783, 11.8661: 44.9947, 11.8924: 45.0002, 11.9242: 45.0111, 11.9581: 45.0473, 12.0019: 45.1337, 12.0802",https://gem.wiki/Minerbio–Ravenna_Terra_Gas_Pipeline
Mira–Campagna Lupia Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"45.3534, 12.0973: 45.4276, 12.1314",https://gem.wiki/Mira–Campagna_Lupia_Gas_Pipeline
Moliterno–Montesano Sulla Marcellana Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"40.2818, 15.6673: 40.2314, 15.712: 40.2314, 15.7619: 40.243, 15.8653",https://gem.wiki/Moliterno–Montesano_Sulla_Marcellana_Gas_Pipeline
Montalbano–Gagliano Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"38.0228, 15.013: 38.0222, 14.9346: 38.0169, 14.9038: 38.0041, 14.885: 37.9921, 14.8738: 37.9771, 14.8693: 37.9485, 14.87: 37.9155, 14.8678: 37.8997, 14.8678: 37.8704, 14.858: 37.8486, 14.8445: 37.826, 14.8257: 37.808, 14.8091: 37.793, 14.7956: 37.775, 14.7821: 37.7697, 14.7543: 37.7689, 14.737: 37.7659, 14.7303: 37.7622, 14.7242: 37.7524, 14.7115: 37.7254, 14.6777: 37.6848, 14.6527",https://gem.wiki/Montalbano–Gagliano_Gas_Pipeline
Montesano Sulla Marcellana–Melizzano Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"40.2818, 15.6673: 40.3623, 15.5724: 40.4401, 15.5153: 40.4907, 15.4834: 40.5066, 15.4712: 40.5638, 15.3766: 40.5825, 15.3522: 40.6322, 15.2997: 40.6509, 15.281: 40.6818, 15.2679: 40.724, 15.2444: 40.7793, 15.221: 40.8046, 15.2173: 40.814, 15.2027: 40.8115, 15.1217: 40.8099, 15.0754: 40.809, 15.0489: 40.8115, 15.0159: 40.8239, 14.9787: 40.8338, 14.9497: 40.8471, 14.915: 40.852, 14.8976: 40.8653, 14.8819: 40.8727, 14.8687: 40.8818, 14.8249: 40.9107, 14.7744: 40.9339, 14.7281: 40.9628, 14.7066: 40.9843, 14.6512: 40.9951, 14.6057: 41.0182, 14.5512: 41.0587, 14.5106: 41.0951, 14.5082: 41.1332, 14.5057: 41.1621, 14.5057",https://gem.wiki/Montesano_Sulla_Marcellana–Melizzano_Gas_Pipeline
Morano–Tarsia Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"39.8435, 16.1359: 39.7958, 16.1564: 39.7878, 16.18: 39.7712, 16.2072: 39.7566, 16.2097: 39.7284, 16.2122: 39.7128, 16.2178: 39.7007, 16.2248: 39.6912, 16.2308: 39.6806, 16.2344: 39.6761, 16.2323: 39.6675, 16.2253: 39.662, 16.2228: 39.6519, 16.2193: 39.6424, 16.2203: 39.6373, 16.2218: 39.6303, 16.2248: 39.6172, 16.2323: 39.6112, 16.2364: 39.5976, 16.2474: 39.5899, 16.2511",https://gem.wiki/Morano–Tarsia_Gas_Pipeline
Mortara–Alessandria Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"44.9001, 8.6095: 45.012, 8.6242: 45.0428, 8.6663: 45.1269, 8.6803: 45.2279, 8.7168: 45.2522, 8.7375",https://gem.wiki/Mortara–Alessandria_Gas_Pipeline
Oricola–Ciciliano Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"41.9579, 12.9414: 41.9755, 12.9579: 41.9751, 13.0015: 42.0057, 13.013: 42.036, 13.0486: 42.0651, 13.0496",https://gem.wiki/Oricola–Ciciliano_Gas_Pipeline
Oricola–Sulmona Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"42.0651, 13.0496: 42.0783, 13.1439: 42.03, 13.2216: 42.0027, 13.2594: 42.0006, 13.3203: 42.0048, 13.4379: 42.0111, 13.5219: 42.0111, 13.5807: 42.0069, 13.6164: 41.988, 13.6437: 41.988, 13.671: 42.0515, 13.8534: 42.0503, 13.9293",https://gem.wiki/Oricola–Sulmona_Gas_Pipeline
Palagiano–Bernalda Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"40.4121, 16.6888: 40.4118, 16.7405: 40.4476, 16.7966: 40.4637, 16.7864: 40.5318, 16.8689: 40.559, 16.9166: 40.5709, 16.9557: 40.5784, 17.0382",https://gem.wiki/Palagiano–Bernalda_Gas_Pipeline
Palagiano–Latiano Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"40.5784, 17.0382: 40.5508, 17.7178",https://gem.wiki/Palagiano–Latiano_Gas_Pipeline
Palmi–Messina Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"38.4163, 15.8755: 38.4295, 15.8168: 38.4332, 15.7719: 38.4304, 15.7545: 38.4249, 15.7344: 38.4029, 15.7033: 38.3599, 15.6401: 38.3361, 15.5998: 38.3032, 15.5843: 38.2721, 15.5888",https://gem.wiki/Palmi–Messina_Gas_Pipeline
Parma–Pontremoli Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"44.925, 10.3062: 44.8392, 10.2376: 44.7514, 10.1687: 44.744, 10.1633: 44.7386, 10.1543: 44.73, 10.1388: 44.7203, 10.116: 44.7145, 10.1074: 44.7103, 10.1028: 44.7052, 10.1004: 44.6992, 10.0911: 44.6942, 10.0861: 44.6913, 10.0841: 44.688, 10.0835: 44.6851, 10.0822: 44.6806, 10.0769: 44.677, 10.0684: 44.675, 10.0643: 44.6682, 10.0601: 44.6584, 10.0532: 44.6545, 10.0456: 44.6502, 10.0412: 44.6489, 10.0392: 44.6448, 10.0396: 44.6417, 10.0392: 44.6374, 10.0332: 44.6347, 10.0272: 44.6318, 10.0223: 44.6306, 10.0184: 44.63, 10.0118: 44.6293, 10.0085: 44.6267, 10.0027: 44.623, 9.9988: 44.6195, 9.9971: 44.6168, 9.9947: 44.6164, 9.9914: 44.6158, 9.9858: 44.6149, 9.9817: 44.6112, 9.978: 44.6063, 9.9749: 44.5969, 9.9616: 44.5953, 9.9572: 44.5901, 9.9472: 44.5868, 9.9426: 44.5831, 9.9404: 44.5785, 9.9422: 44.5764, 9.9436: 44.5736, 9.9445: 44.5714, 9.9447: 44.5672, 9.9432: 44.566, 9.9421: 44.5637, 9.9383: 44.5611, 9.9354: 44.5569, 9.9317: 44.5537, 9.9301: 44.5475, 9.9357: 44.5443, 9.94: 44.5401, 9.9426: 44.5377, 9.9432: 44.5364, 9.9452: 44.5347, 9.9458: 44.5335, 9.948: 44.5322, 9.9496: 44.531, 9.9512: 44.5297, 9.9529: 44.5274, 9.955: 44.5242, 9.9555: 44.522, 9.9553: 44.5209, 9.9556: 44.5191, 9.9586: 44.5177, 9.9622: 44.5159, 9.9633: 44.5141, 9.9621: 44.5125, 9.9605: 44.5109, 9.9586: 44.5097, 9.9569: 44.5089, 9.9556: 44.5087, 9.9532: 44.5086, 9.951: 44.5077, 9.9492: 44.5059, 9.9482: 44.5051, 9.9479: 44.5041, 9.9477: 44.5035, 9.9484: 44.503, 9.9492: 44.5028, 9.9507: 44.5026, 9.9516: 44.5022, 9.9526: 44.5016, 9.9529: 44.4997, 9.9521: 44.4997, 9.9516: 44.4986, 9.9516: 44.4948, 9.9492: 44.4907, 9.9457: 44.4834, 9.9358: 44.4792, 9.9342: 44.4739, 9.9334: 44.4672, 9.9325: 44.4604, 9.931: 44.4562, 9.9307: 44.4534, 9.9314: 44.4496, 9.9317: 44.4399, 9.9126: 44.4396, 9.9072: 44.4408, 9.9013: 44.4406, 9.8971: 44.4373, 9.891: 44.4356, 9.8879: 44.4335, 9.8868: 44.43, 9.8865: 44.4262, 9.886: 44.4241, 9.8846: 44.4215, 9.882: 44.4199, 9.8785: 44.4178, 9.875: 44.4168, 9.8738: 44.4142, 9.8717: 44.4084, 9.8672: 44.4039, 9.8623: 44.4004, 9.8592: 44.3964, 9.8545: 44.3938, 9.8508: 44.3919, 9.8491: 44.39, 9.8487: 44.3886, 9.8489: 44.3865, 9.8494: 44.3844, 9.8501: 44.382, 9.8513: 44.3809, 9.8524: 44.3797, 9.8538: 44.3785, 9.8555: 44.3773, 9.8576: 44.3771, 9.8588: 44.3766, 9.86: 44.3762, 9.8611: 44.3759, 9.8618: 44.3757, 9.8637: 44.3754, 9.8651: 44.3754, 9.8663: 44.3752, 9.8677: 44.3752, 9.8708: 44.375, 9.8724: 44.3747, 9.8748: 44.3747, 9.8771: 44.3745, 9.8797: 44.3743, 9.8804: 44.3729, 9.8814",https://gem.wiki/Parma–Pontremoli_Gas_Pipeline
Pinto–Roccasecca Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"41.55, 13.66: 41.6069, 13.6462: 41.6669, 13.6222: 41.703, 13.6102: 41.7905, 13.5004: 41.8093, 13.4575: 41.8471, 13.4318: 41.8985, 13.4077: 41.9208, 13.4043: 41.9363, 13.4077: 41.9586, 13.4249: 41.9826, 13.4661: 41.9946, 13.4969: 41.9998, 13.5484: 41.9998, 13.5947: 41.998, 13.6153: 41.9809, 13.6513: 41.9929, 13.6908: 42.0649, 13.7337: 42.101, 13.7354: 42.1198, 13.7337: 42.1538, 13.774: 42.1602, 13.8165: 42.1496, 13.8441: 42.1432, 13.8717: 42.175, 13.912: 42.2005, 13.9396: 42.2196, 13.9799: 42.226, 14.0075: 42.243, 14.0309: 42.2642, 14.0606: 42.3003, 14.1137: 42.3321, 14.1222: 42.3703, 14.1243: 42.4191, 14.1094: 42.4743, 14.1094: 42.5083, 14.0797: 42.6063, 14.0674",https://gem.wiki/Pinto–Roccasecca_Gas_Pipeline
Poggio Renatico–Cortemaggiore Gas Pipeline,Snam,operating,Italy,Gas Pipeline,line,,,,,,"44.9911, 9.9209: 44.9823, 10.178: 44.9462, 10.4077: 44.9125, 10.5413: 44.8921, 10.7349: 44.874, 10.848: 44.8608, 10.9502: 44.8488, 11.026: 44.8295, 11.0789: 44.8175, 11.1391: 44.7898, 11.2317: 44.7648, 11.4864",https://gem.wiki/Poggio_Renatico–Cortemaggiore_Gas_Pipeline
