project,owner,status,countries,type,geom,pci,capacity,capacity_unit,lat,lng,route,url
West Burton power station C,EDF Energy,proposed,United Kingdom,Gas Power Plant,point,,299,MW,53.3622,-0.8076,,https://www.gem.wiki/West_Burton_power_station
Vazzio power station,EDF PEI,proposed,France,Gas Power Plant,point,,250,MW,41.9321,8.7204,,https://www.gem.wiki/Vazzio_power_station
Altomonte power station,Edison SpA,operating,Italy,Gas Power Plant,point,,808,MW,39.7118,16.215,,https://www.gem.wiki/Altomonte_power_station
Azotati power station,Edison SpA,operating,Italy,Gas Power Plant,point,,236,MW,45.4511,12.2239,,https://www.gem.wiki/Azotati_power_station
Candela power station,Edison SpA,operating,Italy,Gas Power Plant,point,,401,MW,41.2014,15.4762,,https://www.gem.wiki/Candela_power_station
Cologno Monzese power station,Edison SpA,operating,Italy,Gas Power Plant,point,,50,MW,45.5336,9.2631,,https://www.gem.wiki/Cologno_Monzese_power_station
San Quirico power station,Edison SpA,operating,Italy,Gas Power Plant,point,,137,MW,44.9247,10.303,,https://www.gem.wiki/San_Quirico_power_station
Sesto San Giovanni power station 1,Edison SpA,operating,Italy,Gas Power Plant,point,,55,MW,45.5417,9.2539,,https://www.gem.wiki/Sesto_San_Giovanni_power_station
Sesto San Giovanni power station 2,Edison SpA,operating,Italy,Gas Power Plant,point,,56,MW,45.5417,9.2539,,https://www.gem.wiki/Sesto_San_Giovanni_power_station
Simeri Crichi power station,Edison SpA,operating,Italy,Gas Power Plant,point,,885,MW,38.8759,16.6569,,https://www.gem.wiki/Simeri_Crichi_power_station
Terni power station,Edison SpA,operating,Italy,Gas Power Plant,point,,95,MW,42.554,12.6176,,https://www.gem.wiki/Terni_power_station
Torviscosa power station,Edison SpA,operating,Italy,Gas Power Plant,point,,830,MW,45.817,13.2891,,https://www.gem.wiki/Torviscosa_power_station
Sarmato power station,Edison SpA,operating,Italy,Gas Power Plant,point,,180,MW,45.0522,9.5072,,https://www.gem.wiki/Sarmato_power_station
Bussi power station,Edison SpA,operating,Italy,Gas Power Plant,point,,122,MW,42.2002,13.8398,,https://www.gem.wiki/Bussi_power_station
Presenzano Edison power station,Edison SpA,proposed,Italy,Gas Power Plant,point,,850,MW,41.376,14.078,,https://www.gem.wiki/Presenzano_Edison_power_station
Barilla power station,Fenice SpA,operating,Italy,Gas Power Plant,point,,35,MW,44.824,10.376,,https://www.gem.wiki/Barilla_power_station
Melfi Fiat Sata power station,Fenice SpA,operating,Italy,Gas Power Plant,point,,32,MW,41.0759,15.7141,,https://www.gem.wiki/Melfi_Fiat_Sata_power_station
Atessa Fiat Sevel power station,Fenice SpA,operating,Italy,Gas Power Plant,point,,32,MW,42.1482,14.4451,,https://www.gem.wiki/Atessa_Fiat_Sevel_power_station
Angleur power station 31,Luminus,operating,Belgium,Gas Power Plant,point,,25,MW,50.6177,5.5837,,https://www.gem.wiki/Angleur_power_station
Angleur power station 32,Luminus,operating,Belgium,Gas Power Plant,point,,25,MW,50.6177,5.5837,,https://www.gem.wiki/Angleur_power_station
Angleur power station 41,Luminus,operating,Belgium,Gas Power Plant,point,,64,MW,50.6177,5.5837,,https://www.gem.wiki/Angleur_power_station
Angleur power station 42,Luminus,operating,Belgium,Gas Power Plant,point,,64,MW,50.6177,5.5837,,https://www.gem.wiki/Angleur_power_station
Ham (Gent) power station 1,Luminus,operating,Belgium,Gas Power Plant,point,,58,MW,51.0596,3.7364,,https://www.gem.wiki/Ham_(Gent)_power_station
Ham (Gent) power station 2,Luminus,operating,Belgium,Gas Power Plant,point,,58,MW,51.0596,3.7364,,https://www.gem.wiki/Ham_(Gent)_power_station
Jemeppe-sur-Sambre power station,Luminus,operating,Belgium,Gas Power Plant,point,,106,MW,50.4477,4.6612,,https://www.gem.wiki/Jemeppe-sur-Sambre_power_station
Ringvaart power station,Luminus,operating,Belgium,Gas Power Plant,point,,365,MW,51.1049,3.7257,,https://www.gem.wiki/Ringvaart_power_station
Seraing power station,Luminus,operating,Belgium,Gas Power Plant,point,,470,MW,50.603,5.4917,,https://www.gem.wiki/Seraing_power_station
Sloe power station,"EDF, PZEM",operating,Netherlands,Gas Power Plant,point,,435,MW,51.4482,3.6928,,https://www.gem.wiki/Sloe_power_station
Sloe power station,"EDF, PZEM",operating,Netherlands,Gas Power Plant,point,,435,MW,51.4482,3.6928,,https://www.gem.wiki/Sloe_power_station
Aghada power station AT 1,Electricity Supply Board (ESB),operating,Ireland,Gas Power Plant,point,,90,MW,51.8347,-8.2362,,https://www.gem.wiki/Aghada_power_station
Aghada power station AT 2,Electricity Supply Board (ESB),operating,Ireland,Gas Power Plant,point,,90,MW,51.8347,-8.2362,,https://www.gem.wiki/Aghada_power_station
Aghada power station AT 4,Electricity Supply Board (ESB),operating,Ireland,Gas Power Plant,point,,90,MW,51.8347,-8.2362,,https://www.gem.wiki/Aghada_power_station
Aghada power station Unit 2,Electricity Supply Board (ESB),operating,Ireland,Gas Power Plant,point,,431,MW,51.8347,-8.2362,,https://www.gem.wiki/Aghada_power_station
Poolbeg power station A,Electricity Supply Board (ESB),operating,Ireland,Gas Power Plant,point,,238,MW,53.3396,-6.1867,,https://www.gem.wiki/Poolbeg_power_station
Poolbeg power station B,Electricity Supply Board (ESB),operating,Ireland,Gas Power Plant,point,,230,MW,53.3396,-6.1867,,https://www.gem.wiki/Poolbeg_power_station
Carrington power station 1 & 2,Electricity Supply Board (ESB),operating,United Kingdom,Gas Power Plant,point,,910,MW,53.4377,-2.4101,,https://www.gem.wiki/Carrington_power_station
Coolkeeragh power station,Electricity Supply Board (ESB),operating,United Kingdom,Gas Power Plant,point,,413,MW,55.0437,-7.2487,,https://www.gem.wiki/Coolkeeragh_power_station
Corby power station,Electricity Supply Board (ESB),operating,United Kingdom,Gas Power Plant,point,,407,MW,52.5104,-0.6814,,https://www.gem.wiki/Corby_power_station
Dublin Bay power station,Synergen,operating,Ireland,Gas Power Plant,point,,405,MW,53.34,-6.2049,,https://www.gem.wiki/Dublin_Bay_power_station
Energiaki Thessaloniki complex power station,Elpedison,proposed,Greece,Gas Power Plant,point,,826,MW,40.6872,22.8831,,https://www.gem.wiki/Energiaki_Thessaloniki_complex_power_station
Emmtec power station,Emmtec Industry & Business Park,operating,Netherlands,Gas Power Plant,point,,26,MW,52.7761,6.9077,,https://www.gem.wiki/Emmtec_power_station
Escatrón Peaker A.I.E. power station,Empresarios Agrupados A.I.E.,operating,Spain,Gas Power Plant,point,,275,MW,41.2977,-0.3376,,https://www.gem.wiki/Escatrón_Peaker_A.I.E._power_station
RDK (Karlsruhe) power station RDK 4S,EnBW Energie Baden-Württemberg AG,operating,Germany,Gas Power Plant,point,,353,MW,49.0125,8.3028,,https://www.gem.wiki/RDK_(Karlsruhe)_power_station
Altbach power station GT A,EnBW Energie Baden-Württemberg AG,operating,Germany,Gas Power Plant,point,,50,MW,48.7172,9.3708,,https://www.gem.wiki/Altbach_power_station
Altbach power station GT B,EnBW Energie Baden-Württemberg AG,operating,Germany,Gas Power Plant,point,,57,MW,48.7172,9.3708,,https://www.gem.wiki/Altbach_power_station
Altbach power station GT C,EnBW Energie Baden-Württemberg AG,operating,Germany,Gas Power Plant,point,,81,MW,48.7172,9.3708,,https://www.gem.wiki/Altbach_power_station
Altbach power station GT E,EnBW Energie Baden-Württemberg AG,operating,Germany,Gas Power Plant,point,,65,MW,48.7172,9.3708,,https://www.gem.wiki/Altbach_power_station
Stuttgart-Gaisburg power station 3,EnBW Energie Baden-Württemberg AG,operating,Germany,Gas Power Plant,point,,29,MW,48.7828,9.2293,,https://www.gem.wiki/Stuttgart-Gaisburg_power_station
Lausward power station E1,Stadtwerke Düsseldorf AG,operating,Germany,Gas Power Plant,point,,66.7,MW,51.2214,6.7313,,https://www.gem.wiki/Lausward_power_station
