ProjectID,Fuel,StartCountry,EndCountry,Countries,Wiki,Name,OtherNames,Owner,Status, CostUSD ,StartYear1,StartYear2,StartYear3,RetiredYear,Capacity,CapacityUnit,CapacityBOEd,KnownKm,EstimateKm,MergedKm,Lengthmi,Diameter (inch),Source,StartLocation,StartPrefecture/District,StartState/Province,StartRegion,EndLocation,EndPrefecture/District,EndState/Province,EndRegion,Expansions,Mainline,Route
P0022,Oil,Canada,Canada,Canada,https://www.gem.wiki/Heartland_Oil_Pipeline,Heartland Oil Pipeline,,"TC Energy, 100.00%",Cancelled," $889,900,000.00 ",,,,,"900,000.00",bpd,"900,000.00",200.00,177.82,200.00,124.27,,Alberta,Edmonton,,Alberta,North America,,,Alberta,North America,,,"53.697441,-113.20748:53.759403,-112.77642:53.574088,-112.33534:53.443170,-111.95723:53.096827,-111.75086:52.804155,-111.33556"
P0023,Oil,Canada,Canada,Canada,https://www.gem.wiki/Horizon_Crude_Oil_Pipeline,Horizon Crude Oil Pipeline,,"Pembina Pipeline Corporation, 100.00%",Operating,,2008,,,,"250,000.00",bpd,"250,000.00",513.00,438.61,513.00,318.76,,Alberta,Fort McMurray,,Alberta,North America,,,Alberta,North America,,,"57.371222,-111.75785:57.043918,-111.59049:53.796597,-113.09180:53.597800,-113.32573"
P0024,Oil,Canada,USA,"Canada, USA",https://www.gem.wiki/Keystone_Oil_Pipeline,Keystone Oil Pipeline,,"TC Energy, 100.00%",Operating,,2010,,,,"700,000.00",bpd,"700,000.00","3,461.70","4,167.03","3,461.70","2,151.00",,Alberta,Hardisty,,Alberta,North America,,,Texas,North America,,,"52.674837,-111.303819:50.929135,-110.007432:50.221012,-104.618638:49.662460,-97.587388:40.037194,-97.022476:35.980949,-96.765238;40.037194,-97.022476:38.760876,-89.108024;35.980949,-96.765238:30.091144,-94.758643;30.091144,-94.758643:29.735237,-95.417823;30.091144,-94.758643:29.880617,-93.929176"
P0025,Oil,Canada,USA,"Canada, USA",https://www.gem.wiki/Keystone_XL_Oil_Pipeline,Keystone XL Oil Pipeline,KXL Oil Pipeline,"TC Energy, 100.00%",Construction," $7,000,000,000.00 ",2023,,,,"830,000.00",bpd,"830,000.00","1,897.00","6,090.45","1,897.00","1,178.74",36,Alberta,Hardisty,,Alberta,North America,,,Nebraska,North America,,,"52.988879,-111.263788:50.792003,-110.277792:49.386341,-97.952848:43.645568,-97.870681:41.957718,-97.350295:39.021506,-96.994241:36.024579,-97.02163:35.669366,-97.103796:35.46886,-97.076407:35.111169,-96.720353:34.096732,-96.692965:32.471222,-96.391688:31.425445,-96.364299:31.050759,-96.145189:30.391502,-95.980857:29.941594,-95.926079:29.51348,-95.871302:29.250958,-95.761747:28.891886,-95.570025:28.843916,-95.268749;39.021506,-96.966852:38.915033,-95.89869:38.787054,-94.994861:38.573245,-93.378924:38.423199,-92.666816:38.337318,-92.173818:38.16525,-91.489099:38.014357,-90.913935:37.863152,-90.475715:37.819894,-89.051499;52.972389,-111.263788:50.688007,-110.277792:50.30471,-109.839572:49.207729,-108.442745:48.468642,-107.456749:47.663324,-106.498143:46.601306,-105.293037:45.824271,-104.55354:45.383558,-104.142709:45.036237,-103.978376:44.667319,-103.403212:43.645568,-102.006385:43.267824,-101.45861:43.08807,-100.965612:42.907786,-100.308282:42.464867,-99.924839:41.978083,-99.514007:41.671938,-98.884066:41.425969,-98.33629:41.137823,-97.815904:40.786223,-97.295517:40.328433,-97.131185:39.804422,-97.131185"
P0026,Oil,Canada,Canada,Canada,https://www.gem.wiki/Lloydminster-Hardisty_Oil_Pipeline,Lloydminster-Hardisty Oil Pipeline,,"Husky Energy, 100.00%",Operating,,,,,,"90,573.00",bpd,"90,573.00",80.00,111.98,80.00,49.71,,"Tucker Oil Sands Project, near Cold Lake, Alberta",Lloydminster,,Alberta,North America,,,Alberta,North America,,,"53.305092,-110.00539:52.674213,-111.30450"
P0027,Oil,Canada,Canada,Canada,https://www.gem.wiki/Norman_Wells_Oil_Pipeline,Norman Wells Oil Pipeline,Enbridge Line 21,"Enbridge, 100.00%",Idle,,1985,,,,"45,000.00",bpd,"45,000.00",870.00,807.60,870.00,540.59,12,Norman Wells oil field,Norman Wells,,Northwest Territories,North America,,,Alberta,North America,,,"65.293978,-126.76400:64.911557,-125.50868:63.213231,-123.41066:61.878559,-121.33034:59.153710,-118.69294"
P0029,Oil,Canada,Canada,Canada,https://www.gem.wiki/Saskatchewan_Oil_Pipeline,Saskatchewan Oil Pipeline,"Line 23, 24, 26, EPSI, Westpur Oil Pipeline, Weyburn Oil Pipeline, Virden Oil Pipeline","Enbridge, 100.00%",Operating,,,,,,"175,000.00",bpd,"175,000.00",547.00,188.54,547.00,339.89,,,Weyburn,,Saskatchewan,North America,,,Manitoba,North America,,,"49.671583,-103.847377:49.731683,-101.235280"
P0030,Oil,USA,USA,USA,https://www.gem.wiki/SEKCO_Oil_Pipeline,SEKCO Oil Pipeline,,"Genesis Energy, 100.00%",Operating,,2014,,,,"115,000.00",bpd,"115,000.00",239.80,46.36,239.80,149.00,,Lucius Oil Field,,,,North America,,,,North America,,,"28.882873,-92.090912:29.299034,-92.138810"
P0031,Oil,Canada,USA,"Canada, USA",https://www.gem.wiki/Southern_Access_Crude_Oil_Pipeline,Southern Access Crude Oil Pipeline,Line 63,"Enbridge, 100.00%",Operating,,2010,,,,"300,000.00",bpd,"300,000.00",,"2,657.34","2,657.34","1,651.19",,Rockies and Alberta,Edmonton,,Alberta,North America,,,Illinois,North America,,,"53.597950,-113.48574:52.671507,-111.31102:50.438396,-104.63134:49.732793,-101.23562:47.696407,-95.426326:46.693264,-92.078869:43.123554,-89.332287:38.756847,-89.084476"
P0032,Oil,Canada,Canada,Canada,https://www.gem.wiki/Trans_Mountain_Oil_Pipeline,Trans Mountain Oil Pipeline,,"Canada Development Investment Corporation, 100.00%",Operating,,1953,,,,"300,000.00",bpd,"300,000.00","1,150.00","1,097.37","1,150.00",714.58,,Alberta,Edmonton,,Alberta,North America,,,British Columbia,North America,Trans Mountain Oil Pipeline Expansion,,"49.27049125,-122.978471:49.26034217,-122.906413:49.24411348,-122.849802:49.20216634,-122.83171:49.18765886,-122.703882:49.15303426,-122.585573:49.12191456,-122.432969:49.07860057,-122.248515:49.07003439,-122.150688:49.08057152,-122.047431:49.10893657,-122.041319:49.12141347,-121.943307:49.15468889,-121.862876:49.1985246,-121.741841:49.24464853,-121.688999:49.28580054,-121.678989:49.3298866,-121.620696:49.35400634,-121.572131:49.36483836,-121.513592:49.36187042,-121.431416:49.36805461,-121.348493:49.3905513,-121.308169:49.42582303,-121.313503:49.43962624,-121.287607:49.44856631,-121.255226:49.47412907,-121.247586:49.48611819,-121.198408:49.48788617,-121.172106:49.53385504,-121.118612:49.57167262,-121.093313:49.62522025,-120.997643:49.75168555,-121.016938:49.78789006,-120.950141:49.84511973,-120.900761:49.89458472,-120.911572:49.92355317,-120.918685:49.98549423,-120.893724:50.01488227,-120.86471:50.07121091,-120.769306:50.09286283,-120.732567:50.11753698,-120.746973:50.21748751,-120.609605:50.22038379,-120.524359:50.24720403,-120.457679:50.32271531,-120.42384:50.4424978,-120.361806:50.51003057,-120.356537:50.58506959,-120.395356:50.63818938,-120.420984:50.69547394,-120.370452:50.73397778,-120.358219:50.75336734,-120.333818:50.78214113,-120.29019:50.81336558,-120.302532:50.86349895,-120.258104:50.91128992,-120.244833:50.99183271,-120.235276:51.06536131,-120.213702:51.1347068,-120.181196:51.17908781,-120.152602:51.18710478,-120.123478:51.23253248,-120.159848:51.28451222,-120.175762:51.42281394,-120.202743:51.49342825,-120.216844:51.53442775,-120.172817:51.55883304,-120.154648:51.57415719,-120.100387:51.59285343,-120.079926:51.60795744,-120.062677:51.62960184,-120.024782:51.63061195,-119.964816:51.59155626,-119.907718:51.57187651,-119.82581:51.5728648,-119.747377:51.58087209,-119.699494:51.61166302,-119.678988:51.63596708,-119.679143:51.65180026,-119.638883:51.65337468,-119.57453:51.64995338,-119.485067:51.65647525,-119.408724:51.66937568,-119.367287:51.69298068,-119.353129:51.73161362,-119.321499:51.76022907,-119.313868:51.79099714,-119.293112:51.81461164,-119.278898:51.90337192,-119.294229:51.95421153,-119.318355:52.02155014,-119.316201:52.11114164,-119.271195:52.15630592,-119.237096:52.22155371,-119.191913:52.28324397,-119.168682:52.35069961,-119.147599:52.42105475,-119.127567:52.44835239,-119.128604:52.47133181,-119.118599:52.48925156,-119.08317:52.51299591,-119.106322:52.54817808,-119.077448:52.5812775,-119.099485:52.65111213,-119.177988:52.67990551,-119.207885:52.73460797,-119.247783:52.78283674,-119.252201:52.80947929,-119.27664:52.8469266,-119.272189:52.89518634,-119.314475:52.93769901,-119.316725:52.98887832,-119.26548:53.00759409,-119.187424:53.01620245,-119.133883:53.00461773,-119.091542:52.99730266,-119.022446:52.96176155,-118.918976:52.93987949,-118.825546:52.90153279,-118.777966:52.8623311,-118.697081:52.83157622,-118.581741:52.86713022,-118.491224:52.8876133,-118.418624:52.86090402,-118.295521:52.8448943,-118.171774:52.85723065,-118.091461:52.87835846,-118.033189:52.91935574,-118.024562:52.94706622,-118.062986:52.98329529,-118.085676:53.01815849,-118.117341:53.0591988,-118.108751:53.0941507,-118.060066:53.12977758,-118.006843:53.16573165,-117.991562:53.19283075,-117.954083:53.20969326,-117.903372:53.22277759,-117.837054:53.25525997,-117.763511:53.32833393,-117.704529:53.38445807,-117.615563:53.41418483,-117.559747:53.45127525,-117.516018:53.50411013,-117.344724:53.54130432,-117.258045:53.54830707,-117.189179:53.53199529,-117.112121:53.5382742,-117.047773:53.54321814,-116.992461:53.53915467,-116.829478:53.54690158,-116.689634:53.56302396,-116.619164:53.60755668,-116.520349:53.6080179,-116.43021:53.59358577,-116.358803:53.59749735,-116.265129:53.60781445,-116.168861:53.61385677,-115.947711:53.61633541,-115.682755:53.6097278,-115.505099:53.59754204,-114.833119:53.59754491,-114.691108:53.5793489,-114.619234:53.58396228,-114.559155:53.58134796,-114.411728:53.5650879,-114.104288:53.54805429,-113.971666:53.53732264,-113.836294:53.53503952,-113.755387:53.52591525,-113.705525:53.50449703,-113.656808:53.50247264,-113.547766"
