source,source_iso,source_lat,source_lng,target,target_iso,target_lat,target_lng,project_name,project_id,project_lat,project_lng,dollars,megawatts,year,era,institution,sponsor,url,phase,construction,generator,turbine,boiler
China,CN,35.86166,104.195397,United States,US,37.09024,-95.712891,LS Power Sandy Creek Power Plant Refinancing (108MW),212,31.47475,-96.9592,200330000,108,2013,current,Industrial and Commercial Bank of China (ICBC),Sandy Creek Energy Associates,,PH212.01,,,,IHI
China,CN,35.86166,104.195397,Indonesia,ID,-0.789275,113.921327,Sumsel 5 Coal-Fired Power Plant (300MW),151,-2.014,103.862,318000000,300,2013,current,China Development Bank,"Sinar Mas Group, PT DIAN SWASTATIKA SENTOSA TBK",http://bit.ly/1UdVqx8,PH151.01,Shanxi Electric Power Construction No 3 Engineering Corp (SEPCC3),,,Dongfang Electric Corp (DONGFANG)
China,CN,35.86166,104.195397,Indonesia,ID,-0.789275,113.921327,Teluk Sirih Coal-Fired Power Plant (224MW),157,-1.07655,100.3724,94000000,224,2013,current,China Development Bank,PT PLN Persero,http://bit.ly/1hJHuRt,PH157.01,,,,
South Korea,KR,35.907757,127.766922,Vietnam,VN,14.058324,108.277199,Thai Binh 2 Coal Power Plant (1200MW),159,20.48284,106.5633,600000000,1200,2013,current,Export-Import Bank of Korea (Kexim),Daelim Industrial,http://bit.ly/1dEThpk,PH159.01,,,,
Japan,JP,36.204824,138.252924,Vietnam,VN,14.058324,108.277199,Thai Binh 2 Coal Power Plant (1200MW),159,20.48284,106.5633,85000000,1200,2013,current,Japan Bank for International Cooperation (JBIC),PETROVIETNAM POWER CORP,http://bit.ly/1dEThpk,PH159.01,,Toshiba Manufacturing Co (TOSHIBA),Toshiba Manufacturing Co (TOSHIBA),
Japan,JP,36.204824,138.252924,Vietnam,VN,14.058324,108.277199,Thai Binh 2 Coal Power Plant (1200MW),159,20.48284,106.5633,56000000,1200,2013,current,Nippon Export and Investment Insurance (NEXI),PETROVIETNAM POWER CORP,http://bit.ly/1dEThpk,PH159.01,Daelim/PetroVeitnam Construction JSC (DAE/PVC),Toshiba Manufacturing Co (TOSHIBA),Toshiba Manufacturing Co (TOSHIBA),Babcock & Wilcox Beijing (BWBC)
China,CN,35.86166,104.195397,Vietnam,VN,14.058324,108.277199,Thai Binh 2 Coal Power Plant (1200MW),159,20.48284,106.5633,27892857.14,1200,2013,current,China Development Bank,EVN,http://bit.ly/1dEThpk,PH159.01,,,,
China,CN,35.86166,104.195397,India,IN,20.593684,78.96288,Tiroda Thermal Power Project Units 4 and 5 (1320 MW),165,21.4125,79.96731,160000000,1320,2013,current,China Development Bank,Adani Power,http://bit.ly/1iDdlbs,PH165.01,,,,
China,CN,35.86166,104.195397,India,IN,20.593684,78.96288,Tiroda Thermal Power Project Units 4 and 5 (1320 MW),165,21.4125,79.96731,160000000,1320,2013,current,Industrial and Commercial Bank of China (ICBC),Adani Power,http://bit.ly/1iDdlbs,PH165.01,,,,
China,CN,35.86166,104.195397,Serbia,RS,44.016521,21.005859,Kostolac B3 mine expansion and power plant (350MW),81,44.72367,21.17161,715000000,350,2014,current,Export Import Bank of China (Chexim),"Elektroprivreda Srbije, a Serbian electricity conglomerate; China Machinery and Engineering Corp (CMEC - Sinomach)",https://www.gem.wiki/Kostolac_power_station,PH081.01,China Machinery and Engineering Corp (CMEC - Sinomach),,,
China,CN,35.86166,104.195397,Cambodia,KH,12.565679,104.990963,Sihanoukville CEL power station Units 1-2 (100MW),221,10.74021,103.5808,35000000,100,2014,current,Bank of China (BOC),"Cambodia International
 Investment Development
 Group (CIIDG) and Leader Universal Holdings
 Berhad",https://bit.ly/2tkEMSL,PH221.01,,,,
China,CN,35.86166,104.195397,Morocco,MA,31.791702,-7.09262,Jerada Coal-Fired Power Plant (350),73,34.3095,-2.19045,300000000,350,2014,current,Export Import Bank of China (Chexim),Office National de l’Electricité,http://bit.ly/1howpx9,PH073.01,,,,
Japan,JP,36.204824,138.252924,India,IN,20.593684,78.96288,Kudgi Super Thermal Power Project (2400MW),83,16.49955,75.83463,210000000,2400,2014,current,Japan Bank for International Cooperation (JBIC),NTPC LTD,http://bit.ly/18mduIt,PH083.01,,Toshiba Japan Steel Works Turbine & Generator Pvt Ltd (TOSH-JSW),Toshiba Japan Steel Works Turbine & Generator Pvt Ltd (TOSH-JSW),Doosan Power Systems India (DPSI)
Japan,JP,36.204824,138.252924,India,IN,20.593684,78.96288,Kudgi Super Thermal Power Project (2400MW),83,16.49955,75.83463,140000000,2400,2014,current,Nippon Export and Investment Insurance (NEXI),NTPC LTD,http://bit.ly/18mduIt,PH083.01,Sumitomo Mitsui Banking Corporation,Toshiba Japan Steel Works Turbine & Generator Pvt Ltd (TOSH-JSW),Toshiba Japan Steel Works Turbine & Generator Pvt Ltd (TOSH-JSW),Doosan Power Systems India (DPSI)
Germany,DE,51.165691,10.451526,India,IN,20.593684,78.96288,Kudgi Super Thermal Power Project (2400MW),83,16.49955,75.83463,20231720.64,2400,2014,current,Euler Hermes,NTPC LTD,http://bit.ly/18mduIt,PH083.01,"HuDe GmbH, Erkelenz",Toshiba Japan Steel Works Turbine & Generator Pvt Ltd (TOSH-JSW),,Doosan Power Systems India (DPSI)
Japan,JP,36.204824,138.252924,India,IN,20.593684,78.96288,Meja Supercritical Coal-fired Power Plant (1320MW),103,25.14587,81.9401,851375600,1320,2014,current,Nippon Export and Investment Insurance (NEXI),"The Bank of Tokyo-Mitsubishi UFJ, Ltd",http://bit.ly/Uq07Xt,PH103.01,,,Toshiba Japan Steel Works Turbine & Generator Pvt Ltd (TOSH-JSW),BGR Turbines Co (BGR-HIT)
Japan,JP,36.204824,138.252924,India,IN,20.593684,78.96288,Meja Supercritical Coal-fired Power Plant (1320MW),103,25.14587,81.9401,89063400,1320,2014,current,Japan Bank for International Cooperation (JBIC),State Bank of India,http://bit.ly/Uq07Xt,PH103.01,,,Toshiba Japan Steel Works Turbine & Generator Pvt Ltd (TOSH-JSW),BGR Turbines Co (BGR-HIT)
China,CN,35.86166,104.195397,Indonesia,ID,-0.789275,113.921327,Pangkalan Susu Units 1 and 2 Coal Power Plant (400MW),122,4.12071,98.25823,373009532,400,2014,current,Export Import Bank of China (Chexim),PT PLN Persero,http://bit.ly/Q7lp9y,PH122.01,,,,
Japan,JP,36.204824,138.252924,Morocco,MA,31.791702,-7.09262,Safi Coal-Fired Power Plant (1386MW),141,32.14912,-9.28229,906675800,1386,2014,current,Japan Bank for International Cooperation (JBIC),Safi Energy Company S.A. AND Nareva Holding S.A. (Nareva),http://bit.ly/1wLW44Y,PH141.01,,,Hitachi Ltd (HITACHI),Ishikawajima-Harima Heavy Industries (IHI)
Japan,JP,36.204824,138.252924,Morocco,MA,31.791702,-7.09262,Safi Coal-Fired Power Plant (1386MW),141,32.14912,-9.28229,483630308,1386,2014,current,Nippon Export and Investment Insurance (NEXI),"The Bank of Tokyo-Mitsubishi UFJ, Ltd., Sumitomo Mitsui Banking Corporation, The Mizuho Bank Ltd., Sumitomo Mitsui Trust Bank, Limited, and Islamic Development Bank",http://bit.ly/1wLW44Y,PH141.01,,,Hitachi Ltd (HITACHI),Ishikawajima-Harima Heavy Industries (IHI)
China,CN,35.86166,104.195397,Vietnam,VN,14.058324,108.277199,Thang Long Power Plant (600MW),161,21.02184,107.0482,919000000,600,2014,current,China Export & Credit Insurance Corporation (Sinosure),THANG LONG THERMO POWER JSC,http://bit.ly/1i5ON8h,PH161.01,"Wuhan Kaidi Electric Power Engineering, Dongfang Electric Corp (DONGFANG), Alstom",Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG),Wuhan Boiler Co Ltd (WUHAN)
China,CN,35.86166,104.195397,Vietnam,VN,14.058324,108.277199,Thang Long Power Plant (600MW),161,21.02184,107.0482,,600,2014,current,China Development Bank,THANG LONG THERMO POWER JSC,http://bit.ly/1i5ON8h,PH161.01,"Wuhan Kaidi Electric Power Co Ltd (KAIDI), Dongfang Electric Corp (DONGFANG), Alstom SA (ALSTOM)",Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG),Wuhan Boiler Co Ltd (WUHAN)
China,CN,35.86166,104.195397,Vietnam,VN,14.058324,108.277199,Vinh Tan 1 Coal-Fired Thermal Power Plant (1200MW),172,11.32082,108.8063,234000000,1200,2014,current,China Export & Credit Insurance Corporation (Sinosure),"China Power International Development Limited Company, Power Corporation (Vietnam National Coal-Natural Industries Corporation)",http://bit.ly/1i5QJ0p,PH172.01,China Southern Power Grid Co,,,Babcock & Wilcox Beijing (BWBC)
China,CN,35.86166,104.195397,Vietnam,VN,14.058324,108.277199,Vinh Tan 1 Coal-Fired Thermal Power Plant (1200MW),172,11.32082,108.8063,234000000,1200,2014,current,Export Import Bank of China (Chexim),"China Power International Development Limited Company, Power Corporation (Vietnam National Coal-Natural Industries Corporation)",http://bit.ly/1i5QJ0p,PH172.01,China Southern Power Grid Co,,,
China,CN,35.86166,104.195397,Vietnam,VN,14.058324,108.277199,Vinh Tan 1 Coal-Fired Thermal Power Plant (1200MW),172,11.32082,108.8063,234000000,1200,2014,current,China Development Bank,"China Power International Development Limited Company, Power Corporation (Vietnam National Coal-Natural Industries Corporation)",http://bit.ly/1i5QJ0p,PH172.01,China Southern Power Grid Co,,,Babcock & Wilcox Beijing (BWBC)
China,CN,35.86166,104.195397,Vietnam,VN,14.058324,108.277199,Vinh Tan 1 Coal-Fired Thermal Power Plant (1200MW),172,11.32082,108.8063,234000000,1200,2014,current,Bank of China (BOC),"China Power International Development Limited Company, Power Corporation (Vietnam National Coal-Natural Industries Corporation)",http://bit.ly/1i5QJ0p,PH172.01,China Southern Power Grid Co,,,Babcock & Wilcox Beijing (BWBC)
China,CN,35.86166,104.195397,Vietnam,VN,14.058324,108.277199,Vinh Tan 1 Coal-Fired Thermal Power Plant (1200MW),172,11.32082,108.8063,234000000,1200,2014,current,China Construction Bank (CCB),"China Power International Development Limited Company, Power Corporation (Vietnam National Coal-Natural Industries Corporation)",http://bit.ly/1i5QJ0p,PH172.01,China Southern Power Grid Co,,,
China,CN,35.86166,104.195397,Vietnam,VN,14.058324,108.277199,Vinh Tan 1 Coal-Fired Thermal Power Plant (1200MW),172,11.32082,108.8063,234000000,1200,2014,current,Industrial and Commercial Bank of China (ICBC),"China Power International Development Limited Company, Power Corporation (Vietnam National Coal-Natural Industries Corporation)",http://bit.ly/1i5QJ0p,PH172.01,Dongfang Electric Corp (DONGFANG),,,Babcock & Wilcox Beijing (BWBC)
South Korea,KR,35.907757,127.766922,Vietnam,VN,14.058324,108.277199,Vinh Tan 4 Coal-Fired Thermal Power Plant (1200MW),172,11.317,108.808,455000000,1200,2014,current,Export-Import Bank of Korea (Kexim),Doosan Heavy Industries and Construction,http://bit.ly/1i5QJ0p,PH172.04,Doosan Engineering & Construction (DOOSAN/Pacific Corp,Toshiba Manufacturing Co (TOSHIBA),Toshiba Manufacturing Co (TOSHIBA),Doosan Engineering & Construction (DOOSAN)
Japan,JP,36.204824,138.252924,Vietnam,VN,14.058324,108.277199,Vinh Tan 4 Coal-Fired Thermal Power Plant (1200MW),172,11.317,108.808,202000000,1200,2014,current,Japan Bank for International Cooperation (JBIC),Vietnam Electricity (EVN),http://bit.ly/1i5QJ0p,PH172.04,,"Doosan Engineering & Construction (DOOSAN), Toshiba Manufacturing Co (TOSHIBA)",Toshiba Manufacturing Co (TOSHIBA),Doosan Engineering & Construction (DOOSAN)
Japan,JP,36.204824,138.252924,Vietnam,VN,14.058324,108.277199,Vinh Tan 4 Coal-Fired Thermal Power Plant (1200MW),172,11.317,108.808,135000000,1200,2014,current,Nippon Export and Investment Insurance (NEXI),"The Bank of Tokyo-Mitsubishi UFJ, Ltd",http://bit.ly/1i5QJ0p,PH172.04,Doosan Engineering & Construction (DOOSAN)/Pacific Corp,Toshiba Manufacturing Co (TOSHIBA),Toshiba Manufacturing Co (TOSHIBA),Doosan Engineering & Construction (DOOSAN)
South Korea,KR,35.907757,127.766922,Vietnam,VN,14.058324,108.277199,Vinh Tan 4 Coal-Fired Thermal Power Plant (1200MW),172,11.317,108.808,455000000,1200,2014,current,Korea Trade Insurance Corporation (K-sure),Doosan Heavy Industries and Construction,http://bit.ly/1i5QJ0p,PH172.04,Doosan Engineering & Construction (DOOSAN)/Pacific Corp,Toshiba Manufacturing Co (TOSHIBA),Toshiba Manufacturing Co (TOSHIBA),Doosan Engineering & Construction (DOOSAN)
China,CN,35.86166,104.195397,Indonesia,ID,-0.789275,113.921327,Takalar Steam Coal-Fired Power Plant (200MW),153,-5.62363,119.5508,240983000,200,2014,current,Export Import Bank of China (Chexim),Indonesian State Electricity Company,http://bit.ly/1Q1Br2T,PH153.01,,,,
Russia,RU,61.52401,105.318756,Mongolia,MN,46.862496,103.846656,Ulaanbaatar CHP4 Power Plant (570MW),170,47.8938,106.8036,20000000,570,2015,current,Russian Development Bank (VEB),Mongolian Development Bank,http://bit.ly/1rFGTdR,PH170.01,,,Tubrbomotornyj Zavod (TMZ),Barnaul'skij Energomashinostroitel'nyj Zavod (BARNAUL)
Japan,JP,36.204824,138.252924,Vietnam,VN,14.058324,108.277199,Duyen Hai Plant 3 (1905MW),49,9.58517,106.5281,409910000,1905,2015,current,Japan Bank for International Cooperation (JBIC),Vietnam Electricity (EVN),http://bit.ly/1fzuXQK,PH049.01,,,Toshiba Manufacturing Co (TOSHIBA),Babcock & Wilcox Beijing (BWBC)
Japan,JP,36.204824,138.252924,Vietnam,VN,14.058324,108.277199,Duyen Hai Plant 3 (1905MW),49,9.58517,106.5281,274000000,1905,2015,current,Nippon Export and Investment Insurance (NEXI),Vietnam Electricity (EVN),http://bit.ly/1fzuXQK,PH049.01,,,Toshiba Manufacturing Co (TOSHIBA),Babcock & Wilcox Beijing (BWBC)
China,CN,35.86166,104.195397,Vietnam,VN,14.058324,108.277199,Hai Duong Coal-Fired Power Plant (1200MW),62,21.0335,106.4122,467330000,1200,2015,current,Export Import Bank of China (Chexim),JAKS Resources and China Power Engineering Consulting Group (EnergyChina),http://bit.ly/1ocbv6b,PH062.01,,,Harbin Electrical Equipment (HARBIN),
China,CN,35.86166,104.195397,Vietnam,VN,14.058324,108.277199,Hai Duong Coal-Fired Power Plant (1200MW),62,21.0335,106.4122,467330000,1200,2015,current,China Construction Bank (CCB),JAKS Resources and China Power Engineering Consulting Group (EnergyChina),http://bit.ly/1ocbv6b,PH062.01,,,Harbin Electrical Equipment (HARBIN),
China,CN,35.86166,104.195397,Vietnam,VN,14.058324,108.277199,Hai Duong Coal-Fired Power Plant (1200MW),62,21.0335,106.4122,467330000,1200,2015,current,Industrial and Commercial Bank of China (ICBC),JAKS Resources and China Power Engineering Consulting Group (EnergyChina),http://bit.ly/1ocbv6b,PH062.01,,,Harbin Electrical Equipment (HARBIN),
Italy,IT,41.87194,12.56738,Dominican Republic,DO,18.735693,-70.162651,Punta Catalina Coal-Fired Power Plant (770MW),133,18.23264,0,632000000,770,2015,current,Servizi Assicurativi del Commercio Estero (SACE),#REF!,http://bit.ly/1jYkDHh,PH133.01,,,General Electric (GE),Babcock & Wilcox (BW)
China,CN,35.86166,104.195397,Indonesia,ID,-0.789275,113.921327,Celukan Bawang 3,18,-8.19629,114.8516,880000000,380,2015,current,China Development Bank,General Energy Bali (China Huadian),http://bit.ly/1gCeDSK,PH018.01,Shanghai Electric Power Construction (SEPC),Shanghai Electric Group (SHANGHAI),Shanghai Electric Group (SHANGHAI),
China,CN,35.86166,104.195397,Indonesia,ID,-0.789275,113.921327,Kendari-3 Power Station (100MW),76,-4.04118,122.6592,150000000,100,2015,current,China Development Bank,Sinar Mas Group,http://bit.ly/1LAE3vW,PH076.01,,,,
China,CN,35.86166,104.195397,Zambia,ZM,-13.133897,27.849332,Maamba Coal-Fired Power Plant Phase I (300MW),95,-17.3527,27.18594,365000000,300,2015,current,China Export & Credit Insurance Corporation (Sinosure),Nava Bharat and ZCCM,http://bit.ly/1enlzD0,PH095.01,Shandong No 2 Electric Power Construction (SEPCO 2),Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG)
China,CN,35.86166,104.195397,Zambia,ZM,-13.133897,27.849332,Maamba Coal-Fired Power Plant Phase I (300MW),95,-17.3527,27.18594,91250000,300,2015,current,Bank of China (BOC),Nava Bharat and ZCCM,http://bit.ly/1enlzD0,PH095.01,Shandong No 2 Electric Power Construction (SEPCO 2),Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG)
South Africa,ZA,-30.559482,22.937506,Zambia,ZM,-13.133897,27.849332,Maamba Coal-Fired Power Plant Phase I (300MW),95,-17.3527,27.18594,75000000,300,2015,current,Development Bank of Southern Africa,Nava Bharat (65%); ZCCM Investment Holdings (35%),http://bit.ly/1enlzD0,PH095.01,Shandong No 2 Electric Power (SEPCO2),Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG)
South Africa,ZA,-30.559482,22.937506,Zambia,ZM,-13.133897,27.849332,Maamba Coal-Fired Power Plant Phase I (300MW),95,-17.3527,27.18594,75000000,300,2015,current,Industrial Development Corporation of South Africa,Nava Bharat (65%); ZCCM Investment Holdings (35%),http://bit.ly/1enlzD0,PH095.01,Shandong No 2 Electric Power (SEPCO2),Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG)
China,CN,35.86166,104.195397,Zambia,ZM,-13.133897,27.849332,Maamba Coal-Fired Power Plant Phase I (300MW),95,-17.3527,27.18594,91250000,300,2015,current,Industrial and Commercial Bank of China (ICBC),Nava Bharat and ZCCM,http://bit.ly/1enlzD0,PH095.01,Shandong No 2 Electric Power Construction (SEPCO 2),Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG)
China,CN,35.86166,104.195397,Indonesia,ID,-0.789275,113.921327,Morowali Industrial Park Coal Plant (300MW) Phase II,191,-2.82738,122.1553,185000000,300,2015,current,Industrial and Commercial Bank of China (ICBC),Sulawesi Mining Investment,https://bit.ly/2OTnA2W,PH191.01,,,,
China,CN,35.86166,104.195397,Indonesia,ID,-0.789275,113.921327,PT.GCNS ferronickel smelter and 2×150MW thermal power plant (300MW),131,-2.82738,122.1553,1850000000,300,2015,current,Bank of China (BOC),"Indonesia Guang Ching Nickel & Stainless Steel Industry/
 Guangdong Guangxin Holdings Group
 Guangdong Guangxin Holdings Group",http://bit.ly/1HL2Vzp,PH131.01,,,,
China,CN,35.86166,104.195397,Indonesia,ID,-0.789275,113.921327,PT.GCNS ferronickel smelter and 2×150MW thermal power plant (300MW),131,-2.82738,122.1553,330000000,300,2015,current,Export Import Bank of China (Chexim),"Indonesia Guang Ching Nickel & Stainless Steel Industry/
 Guangdong Guangxin Holdings Group
 Guangdong Guangxin Holdings Group",http://bit.ly/1HL2Vzp,PH131.01,,,,
Japan,JP,36.204824,138.252924,Vietnam,VN,14.058324,108.277199,Thai Binh 1 Coal Plant & Transmission (600MW),160,20.481,106.5605,307397175.6,600,2015,current,Japan International Cooperation Agency (JICA),ELECTRICITY OF VIETNAM (EVN),http://bit.ly/1dEThpk,PH160.01,Marubeni Corp (MARUBENI),Fuji Electric Co Ltd (FUJI),Fuji Electric Co Ltd (FUJI),Foster Wheeler Energy Corp (FW)
Japan,JP,36.204824,138.252924,Vietnam,VN,14.058324,108.277199,Thai Binh 1 Coal Plant & Transmission (600MW),160,20.481,106.5605,78412530,600,2015,current,Japan International Cooperation Agency (JICA),Government of Vietnam,http://bit.ly/1dEThpk,PH160.02,,Fuji Electric Co Ltd (FUJI),Fuji Electric Co Ltd (FUJI),Foster Wheeler Energy Corp (FW)
China,CN,35.86166,104.195397,United Kingdom,GB,55.378051,-3.435973,Drax Coal Power Plant (3960MW),187,53.73583,-0.99639,36360000,3960,2015,current,Industrial and Commercial Bank of China (ICBC),Capture Power Limited,https://bit.ly/2zh2p11,PH187.01,,,,
China,CN,35.86166,104.195397,Bangladesh,BD,23.684994,90.356331,Barapukuria Coal Plant Unit 3 (275MW),195,25.5537569,88.94863,228591701,275,2015,current,Industrial and Commercial Bank of China (ICBC),Bangladesh Power Development Board,https://bit.ly/2SwdIyQ,PH195.01,GE and China National Machinery and Equipment Import and Export Corporation,,,
China,CN,35.86166,104.195397,Pakistan,PK,30.375321,69.345116,Port Qasim EPC Coal Plant (1320MW),352,24.7845,67.36939,1563750000,1320,2015,current,Export Import Bank of China (Chexim),Port Qasim Electric Power Company (PowerChina),https://www.gem.wiki/Port_Qasim_EPC_power_station#cite_note-ieefa2017-13,PH352.01,,,,
China,CN,35.86166,104.195397,Indonesia,ID,-0.789275,113.921327,Sumsel 8 Coal-Fired Power Plant (1320MW),154,-3.734,103.759,1200000000,1320,2015,current,Export Import Bank of China (Chexim),Bukit Asam and China Huadian Corporation Power Operation Company,http://bit.ly/1T6bjFd,PH154.01,China Huadian Engineering Co Ltd (CHEC),Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG),Dongfang Electric Corp (DONGFANG)
China,CN,35.86166,104.195397,Australia,AU,-25.274398,133.775136,Millmerran Coal-fired Power Plant Refinancing,213,-27.9606961,151.2793,23130000,850,2015,current,Industrial and Commercial Bank of China (ICBC),"InterGen, GE Capital, Tohoku Electric Power, and Marubeni",https://bit.ly/2E8nuOY,PH213.01,,,,
China,CN,35.86166,104.195397,Australia,AU,-25.274398,133.775136,Millmerran Coal-fired Power Plant Refinancing,213,-27.9607,151.2793,19270000,850,2015,current,Agricultural Bank of China (ABC),"InterGen, GE Capital, Tohoku Electric Power, and Marubeni",https://bit.ly/2E8nuOY,PH213.01,,,,
China,CN,35.86166,104.195397,Australia,AU,-25.274398,133.775136,Millmerran Coal-fired Power Plant Refinancing,213,-27.9606961,151.2793,15420000,850,2015,current,Bank of China (BOC),"InterGen, GE Capital, Tohoku Electric Power, and Marubeni",https://bit.ly/2E8nuOY,PH213.01,,,,
China,CN,35.86166,104.195397,Australia,AU,-25.274398,133.775136,Millmerran Coal-fired Power Plant Refinancing,213,-27.9606961,151.2793,16190000,850,2015,current,Bank of Communications,"InterGen, GE Capital, Tohoku Electric Power, and Marubeni",https://bit.ly/2E8nuOY,PH213.01,,,,
South Korea,KR,35.907757,127.766922,Kazakhstan,KZ,48.019573,66.923684,Balkhash Coal-fired Power Plant (1320MW),7,45.20742,73.95757,,1320,2016,current,Korea Trade Insurance Corporation (K-sure),KEPCO /JSC BALKHASH TPP,http://bit.ly/1vm4sLx,PH007.01,Samsung C&T Corp (SAMSUNG),,,
China,CN,35.86166,104.195397,Indonesia,ID,-0.789275,113.921327,Cilacap Sumber Unit 4 (1000MW),20,-7.68324,109.0964,1000000000,1000,2016,current,Bank of China (BOC),PT SUMBER SEGARA PRIMADAYA,https://bit.ly/2WWxTo1,PH020.02,CHENGDA,,Shanghai Electric Power,DONGFANG
Japan,JP,36.204824,138.252924,Indonesia,ID,-0.789275,113.921327,Expansion of Lontar Coal-Fired Power Plant Unit 4 (315MW),54,-6.05887,106.4643,189300000,315,2016,current,Japan Bank for International Cooperation (JBIC),PT PLN (Persero),http://bit.ly/1MjlIcn,PH054.01,,Toshiba Manufacturing Co (TOSHIBA),Toshiba Manufacturing Co (TOSHIBA),Ishikawajima-Harima Heavy Industries (IHI)
Japan,JP,36.204824,138.252924,Indonesia,ID,-0.789275,113.921327,Expansion of Lontar Coal-Fired Power Plant Unit 4 (315MW),54,-6.05887,106.4643,127000000,315,2016,current,Nippon Export and Investment Insurance (NEXI),PT PLN (Persero),http://bit.ly/1MjlIcn,PH054.01,,Toshiba Manufacturing Co (TOSHIBA),Toshiba Manufacturing Co (TOSHIBA),Ishikawajima-Harima Heavy Industries (IHI)
China,CN,35.86166,104.195397,United Arab Emirates,AE,23.424076,53.847818,Hassyan Coal‐Fired Power Plant Phase 1 (2400MW),64,24.91152,54.91549,208100000,2400,2016,current,Industrial and Commercial Bank of China (ICBC),"ACWA Power, Harbin Electric Corporation, and Dubai Electricity & Water Authority",https://bit.ly/2A4ZGJt,PH064.01,,Alstom SA (ALSTOM),Alstom SA (ALSTOM),
China,CN,35.86166,104.195397,United Arab Emirates,AE,23.424076,53.847818,Hassyan Coal‐Fired Power Plant Phase 1 (2400MW),64,24.91152,54.91549,127800000,2400,2016,current,China Silk Road Fund,"ACWA Power, Harbin Electric Corporation, and Dubai Electricity & Water Authority",http://bit.ly/Z6srk9,PH064.01,Harbin Electrical Equipment (HARBIN),Alstom SA (ALSTOM),Alstom SA (ALSTOM),Alstom SA (ALSTOM)
