"�..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"AFG26851","18-October-2019",2019,"Explosions/Remote violence","Suicide bomb","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Muslim Group (Afghanistan); Teachers (Afghanistan); Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Nangarhar","Deh Bala","","Jow Darah",34.085,70.48,"TOLO News; New York Times; AP","National-International","On October 18 2019, at least 73 civilians including dozens of children were killed and 36 were wounded by a suicide bomber inside a mosque in the Jow Darah area of Dih Bala (Haska Mina) district, Nangarhar. 2 teachers and the village's only doctor were among the fatalities. It's unclear who was behind the attack. Taliban condemned it. Total fatalities coded as 74 (including the suicide bomber).",74
"AFG42266","26-December-2019",2019,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan); Government of Afghanistan (2014-2021)","Caucasus and Central Asia","Afghanistan","Urozgan","Tirinkot","","Garm Ab",32.554,65.993,"New York Times; Pajhwok Afghan News; Paiwastoon Radio","National-International","On 26 December 2019, 2-3 civilians were killed and 3 were wounded including the Uruzgan health department director in the Garm Ab (Garam Ab Manda) area of Tarinkot city, Urozgan. It's unclear who planted the bomb.",2
"AFG45552","09-May-2020",2020,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Afghanistan (2014-2021)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Wardak","Chak-e-Wardak","","Chaki Wardak",34.106,68.579,"Afghan Islamic Press News Agency; Voice of Jihad","Other-National","On 9 May 2020, some health workers and patients were wounded after shelling by Afghan military forces hit a hospital, in Chak-e-Wardak district (coded as Chaki Wardak), Wardak. Taliban claim the shelling killed 2 civilians and wounded 2. Fatalities coded as 0 (VoJ reported 2).",0
"AFG45659","16-May-2020",2020,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan); Government of Afghanistan (2014-2021)","Caucasus and Central Asia","Afghanistan","Khost","Khost","","Khost",33.34,69.92,"Pajhwok Afghan News","National","On 16 May 2020, 6 civilians including the deputy director of the Public Health Department were wounded when a roadside bomb targeted his vehicle in Khost city. It's unclear who planted the bomb.",0
"AFG45825","18-May-2020",2020,"Explosions/Remote violence","Air/drone strike","NATO: North Atlantic Treaty Organization","Military Forces of the United States (2017-2021); Military Forces of Afghanistan (2014-2021)","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Ghazni","Giro","","Pana",33.1,68.312,"Voice of Jihad","Other","On 18 May 2020, airstrikes by US and Afghan military forces hit the CHC heath center, while there were civilians inside, in Giro district, Ghazni. Casualties unknown.",0
"AFG45717","19-May-2020",2020,"Explosions/Remote violence","Air/drone strike","NATO: North Atlantic Treaty Organization","Military Forces of the United States (2017-2021); Military Forces of Afghanistan (2014-2021)","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kunduz","Chahar Darah","","Chahar Darah",36.691,68.796,"Voice of Jihad","Other","On 19 May 2020, airstrikes by US and Afghan military forces hit a hospital, killing 2 patients, in Chardara district, Kunduz. Fatalities coded as 0 (VoJ reported 2).",0
"AFG46752","28-July-2020",2020,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Afghanistan (2014-2021)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Farah","Bala Buluk","","Bala Buluk",32.636,62.465,"Voice of Jihad","Other","On 28 July 2020, Afghan military forces shelled civilian compounds in Bala Buluk district, Farah, killing 1 doctor. Fatalities coded as 0 (VoJ reported 1 fatality).",0
"AFG47151","20-August-2020",2020,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Afghanistan (2014-2021)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Wardak","Jaghatu","","Jaghatu",33.934,68.391,"Voice of Jihad","Other","Around 20 August 2020 (as reported), Afghan military forces shelled a school and a hospital in Jaghatu district, Wardak, causing losses among civilians. It is unclear if fatalities or injuries occurred.",0
"AFG47272","25-August-2020",2020,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Paktia","Gardez","","Gardez",33.597,69.226,"Pajhwok Afghan News","National","On 25 August 2020, 1 civilian, the son of a Jirga (elderly assembly) member was killed and 1 doctor was wounded by a bomb inside their clinic in Paktia province. It's unclear who planted the bomb. The son died on 27 August.",1
"AFG60691","08-September-2020",2020,"Explosions/Remote violence","Remote explosive/landmine/IED","Taliban","","Military Forces of Afghanistan (2014-2021)","Civilians (Afghanistan); Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Balkh","Mazar-e-Sharif","","Mazar-e-Sharif",36.709,67.111,"Undisclosed Source","Local partner-Other","On 8 September 2020, a security forces' doctor and his child were injured in two back to back explosions by Taliban militants in Khabarnegaran Square in Balkh province (coded as Mazar-e Sharif in Mazar-e-Sharif district).",0
"AFG50955","24-November-2020",2020,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Afghanistan (2014-2021)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Faryab","Almar","","Almar",35.846,64.531,"Voice of Jihad","Other","On 24 November 2020, Afghan forces shelled a clinic in Almar district, Faryab. No casualties occurred.",0
"AFG50165","22-December-2020",2020,"Explosions/Remote violence","Remote explosive/landmine/IED","Islamic State (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kabul","Kabul","","Kabul",34.517,69.183,"Pajhwok Afghan News; AFP; AP","National-International","On 22 December 2020, 5 people including 3 prison doctors were killed when their car was hit by an Islamic State-planted roadside IED blast in Dogh Abad area of PD7, Kabul city.",5
"AFG50796","16-January-2021",2021,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Khost","Khost","","Khost",33.34,69.92,"Pajhwok Afghan News","National","On 16 January 2021, a doctor and his brother were wounded in an unidentified IED blast in Khost city.",0
"AFG52217","02-March-2021",2021,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Nangarhar","Shinwar","","Ghani Khel",34.188,70.823,"Twitter; Shamshad TV","New media-National","Around 2 March 2021 (as reported), a doctor and his two sons were wounded after their car was hit by an unidentified militants planted IED blast in Ghani Khel area of Shinwar district, Nangarhar province.",0
"AFG52208","04-March-2021",2021,"Explosions/Remote violence","Remote explosive/landmine/IED","Islamic State (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Nangarhar","Jalalabad","","Jalalabad",34.426,70.452,"AP; New York Times; Pajhwok Afghan News; Afghan Islamic Press News Agency","National-International","On 4 March 2021, 1 female doctor was killed when an IS-planted sticky bomb attached to a rickshaw exploded in PD3 of Jalalabad city. 1 girl was also wounded. IS claimed she worked for NDS.",1
"AFG52455","07-March-2021",2021,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kunar","Sawkai","","Sawkai",34.693,70.926,"New York Times; Afghan Islamic Press News Agency","National-International","On 7 March 2021, a public health doctor was killed in an unidentified militants planted IED blast in Chalas area of Chawkay (Sokai) district, Kunar province.",1
"AFG60740","07-March-2021",2021,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kunar","Noorgal","","Noorgal",34.613,70.765,"Undisclosed Source","Local partner-Other","On 7 March 2021, 1 doctor was killed by an IED in Noorgal district, Kunar. It's unclear who planted it.",1
"AFG52500","13-March-2021",2021,"Explosions/Remote violence","Air/drone strike","Military Forces of Afghanistan (2014-2021)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Faryab","Almar","","Almar",35.846,64.531,"Voice of Jihad","Other","On 13 March 2021, Afghan military forces bombed and destroyed a health clinic in an airstrike operation in Almar district, Faryab province. No information on casualties.",0
"AFG53655","31-March-2021",2021,"Explosions/Remote violence","Shelling/artillery/missile attack","Taliban","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Logar","Baraki Barak","","Baraki Barak",33.969,68.945,"Undisclosed Source","Local partner-Other","On 31 March 2021, at least 20 civilians were wounded when Taliban militants shelled a health clinic in Baraki Barak district, Logar.",0
"AFG61071","18-April-2021",2021,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Nangarhar","Jalalabad","","Jalalabad",34.426,70.452,"Undisclosed Source","Local partner-Other","On 18 April 2021, a sticky bomb attached to the entrance door of a doctor's house exploded in PD3 of Jalalabad city, Nangarhar. No casualties occurred.",0
"AFG54176","05-May-2021",2021,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kabul","Kalakan","","Kalakan",34.784,69.15,"New York Times; Xinhua; Afghan Islamic Press News Agency; Pajhwok Afghan News","National-International","On 5 May 2021, at least 1 civilian was killed and 10 were wounded when a vehicle carrying health workers was hit by a bomb in Kalakan district, Kabul. It's unclear who planted it.",1
"AFG54486","16-May-2021",2021,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Aid Workers (Afghanistan); UN: United Nations; Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Nangarhar","Bati Kot","","Bati Kot",34.243,70.728,"Afghan Islamic Press News Agency; Liveuamap; Twitter; Aid Worker Security Database","Local partner-Other","On 16 May 2021, 4 civilians, including a doctor, were killed, and 5 others were wounded, after their car hit an IED in the Bara Kala area of the Bati Kot district, Nangarhar. 1 of the victims was a UN worker. It's unclear who set the explosive.",3
"AFG54513","18-May-2021",2021,"Explosions/Remote violence","Air/drone strike","Military Forces of Afghanistan (2014-2021)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Baghlan","Baghlan-e-Jadeed","","Baghlani Jadid",36.12,68.682,"Voice of Jihad; New York Times; Undisclosed Source","Local partner-Other","On 18 May 2021, Afghan military airstrikes hit a clinic in Baghlan-e-Jadeed district (coded as Baghlani Jadid), Baghlan. 0-1 civilian was killed and 4-8 others, including health workers were wounded. Local officials said the clinic treats Taliban militants.",0
"ALG2057","15-July-2008",2008,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Algeria)","","Civilians (Algeria)","Health Workers (Algeria)","Northern Africa","Algeria","Boumerdes","Tidjelabine","","Tidjelabine",36.73,3.495,"El Watan (Algeria)","National","Homemade bomb exploded under an ambulance on National Road 5. A police car passed by the road directly before the ambulance, and may have been the target. Three civilians in the vehicle were wounded: the driver, one pregnant woman, and another civilian.",0
"BGD9301","05-November-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Dhaka","Dhaka","","Dhaka",23.71,90.407,"United News of Bangladesh","National","On Nov 5, two nurses were injured in a bomb explosion at a nursery near Kamalpur Railway Hospital, Dhaka, by unidentified militants.",0
"MMR71","23-July-2010",2010,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Myanmar (1988-2011)","","Civilians (Myanmar)","Health Workers (Myanmar)","Southeast Asia","Myanmar","Kayin","Hpapun","Hpapun","Hpapun",18.065,97.445,"Democratic Voice of Burma","National","On 23 July 2010, the Myanmar army fired artillery at Dutado village in Hpapun township, Karen State. One KNLA medic was killed.",1
"MMR8242","27-June-2019",2019,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Myanmar)","","Civilians (Myanmar)","Aid Workers (Myanmar); Health Workers (Myanmar)","Southeast Asia","Myanmar","Rakhine","Mrauk-U","Kyauktaw","Kyauktaw",20.844,92.973,"Irrawaddy","National","On 27 June 2019, in Kyauktaw Township, in Rakhine State, one of the trucks in an aid convoy was hit by a roadside bomb while it was traveling to Maungdaw Township. The trucks were carrying aid supplies and were contracted to a private company by the International Committee of the Red Cross (ICRC). It was unknown which group attacked the convoy. No one was injured during the bomb blast.",0
"MMR20954","01-August-2021",2021,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Myanmar)","","Civilians (Myanmar)","Health Workers (Myanmar); Government of Myanmar (2021-) State Administration Council","Southeast Asia","Myanmar","Yangon","Yangon-West","Mayangone","Mayangone",16.866,96.143,"Eleven Media Group","National","On 1 August 2021, in Mayangone township (Yangon-West district, Yangon region), an unknown man threw a grenade at the Ward 1 Administrative office, where health workers were administering vaccine shots for the coronavirus to the people at the office. Four people including a volunteer were injured.",0
"MMR24939","05-November-2021",2021,"Explosions/Remote violence","Remote explosive/landmine/IED","Kanbalu UG: Kanbalu Underground Warriors","","Civilians (Myanmar)","Health Workers (Myanmar)","Southeast Asia","Myanmar","Sagaing","Kanbalu","Kanbalu","Kyar Bet Kan",22.975,95.588,"Democratic Voice of Burma","National","On 5 November 2021, in Kyar Bet Kan village, Kanbalu township (Kanbalu District, Sagaing Region), KBU-UG claimed the killing of an alleged military informant at around 4 pm. An ambulance carrying the victim's body was also subsequently attacked using landmine.",1
"BUR5455","24-March-2016",2016,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Burundi)","","Civilians (Burundi)","Military Forces of Burundi (2005-); Health Workers (Burundi)","Eastern Africa","Burundi","Bujumbura Mairie","Mukaza","n.a. (6)","Bujumbura",-3.377,29.358,"AP","International","At least four injured after two grenades exploded outside army hospital.",0
"CEN2536","19-September-2014",2014,"Explosions/Remote violence","Grenade","Anti-Balaka","","Civilians (Central African Republic)","Health Workers (Central African Republic)","Middle Africa","Central African Republic","Ombella-M'Poko","Bimbo","Bimbo","Bimbo",4.33,18.523,"RCA (Central African Republic)","National","Following the robbery of Guitangola health centre the previous day by Anti-Balaka, in which one of them was shot and killed, they returned the following evening, fired shots and detonated a grenade at the health centre. A bystander was killed, and many were injured.",1
"CHA892","07-July-2019",2019,"Explosions/Remote violence","Remote explosive/landmine/IED","Islamic State (West Africa) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad","","Civilians (Chad)","Health Workers (Chad)","Middle Africa","Chad","Lac","Mamdi","Bol","Melea",13.529,14.571,"Alwihda (Chad); Toumai Web Medias","National","On July 7, an IED struck an ambulance arriving to the scene of an attack to aid wounded in Melea, no casualties reported.",0
"COL8985","17-October-2021",2021,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Colombia)","","Civilians (Colombia)","Health Workers (Colombia)","South America","Colombia","Norte de Santander","Ocana","","Ocana",8.248,-73.356,"La Opinion (Colombia); UNOCHA","Other-Subnational","On 17 October 2021, in Ocana (Norte de Santander), an unidentified individual on a motorcycle threw an explosive device at a local health center. The blast injured four civilians who were near the area, one of the victims later died in a local hospital due to the severity of his injuries. It was presumed that the attack was directed at the health center due to extortion by an armed group, but the management of the institution denied having received any extortion threats. Although responsibility for the attack has not been confirmed, the area is known for the presence of armed groups such as the EPL. 1 fatality.",1
"DRC3355","20-March-2007",2007,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of the Democratic Republic of Congo (2001-2019)","","Civilians (Democratic Republic of Congo)","Health Workers (Democratic Republic of Congo)","Middle Africa","Democratic Republic of Congo","Kinshasa","","","Kinshasa",-4.325,15.322,"Local Source; All Africa","Subnational-Regional","Reports of civilian deaths during the fighting in the capital, numbers unverified. Rockets landed in the Kinshasa General Hospital and in surrounding streets.",0
"DRC3357","21-March-2007",2007,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of the Democratic Republic of Congo (2001-2019)","","Civilians (Democratic Republic of Congo)","Health Workers (Democratic Republic of Congo)","Middle Africa","Democratic Republic of Congo","Kinshasa","","","Kinshasa",-4.325,15.322,"Local Source; All Africa","Subnational-Regional","Reports of civilian deaths during the fighting in the capital, numbers unverified. Rockets landed in the Kinshasa General Hospital and in surrounding streets.",0
"CYP774","15-February-2021",2021,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Cyprus)","","Civilians (Cyprus)","Health Workers (Cyprus)","Europe","Cyprus","Nicosia","","","Nicosia",35.175,33.364,"Cyprus Mail","National","Around 15 February 2021 (month of), unidentified assailants placed a camping gas canister at the Latsia health center in the outskirts of Nicosia, which was being used for coronavirus vaccinations, causing a blast that damaged the building.",0
"PSE3836","04-October-2018",2018,"Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2009-2021)","","Civilians (Palestine)","Health Workers (Palestine)","Middle East","Palestine","Gaza Strip","Khan Yunis","","Khan Yunis",31.34,34.306,"Ma'an News Agency","National","On Oct 4, Israeli air forces carried out an airstrike targeting a medical point in the southern Gaza Strip with a missile. No injuries were reported, only material damage.",0
"PSE9136","17-May-2021",2021,"Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2009-2021)","","Civilians (Palestine)","Health Workers (Palestine); Aid Workers (Palestine)","Middle East","Palestine","Gaza Strip","Gaza City","","Gaza",31.5,34.467,"Palestine News and Information Agency","National","On 17 May 2021, Israeli warplanes struck and destroyed the Qatar Red Crescent Society office in Gaza, killing 2 Palestinians and injuring 10 more.",2
"IND51395","10-April-2016",2016,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (India)","","Civilians (India)","Health Workers (India)","South Asia","India","Manipur","Imphal West","Lamphelpat","Imphal",24.791,93.93,"South Asia Terrorism Portal","Other","On April 10, a bomb was exploded by unidentified persons at the residence of the medical superintendent of the Regional Institute for Medical Studies in Imphal. No one was injured.",0
"IND51413","26-April-2016",2016,"Explosions/Remote violence","Grenade","Unidentified Armed Group (India)","","Civilians (India)","Health Workers (India)","South Asia","India","Manipur","Imphal West","Lamphelpat","Imphal",24.791,93.93,"South Asia Terrorism Portal","Other","On April 26, a powerful hand grenade was lobbed at the Regional Institute of Medical Sciences in Imphal by unidentified people. No one was injured.",0
"IND26422","25-January-2018",2018,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (India)","","Civilians (India)","Health Workers (India)","South Asia","India","Madhya Pradesh","Sagar","Sagar","Makronia",23.848,78.799,"Times of India","National","A doctor was killed and 2 others injured when a bomb concealed in a radio was delivered to their house in Makronia via post on 25 January 2018.",1
"IND52401","24-April-2019",2019,"Explosions/Remote violence","Grenade","Unidentified Armed Group (India)","","Civilians (India)","Health Workers (India)","South Asia","India","Manipur","Imphal West","Lamphelpat","Imphal",24.791,93.93,"Nagaland Post","National","On April 24, suspected militants threw a hand grenade at the residence of a doctor, in Thangmeiband area of Imphal city (Imphal West, Manipur). There were damages to the main entrance gate and a car parked in the front courtyard, but no one was injured.",0
"IND54126","18-May-2019",2019,"Explosions/Remote violence","Grenade","Unidentified Armed Group (India)","","Civilians (India)","Health Workers (India)","South Asia","India","Manipur","Imphal West","Lamphelpat","Imphal",24.791,93.93,"Morung Express","National","On May 18, unidentified people hurled a hand grenade at the residence of a doctor in Thangmeiband area in Imphal city (Imphal West, Manipur). A dog was injured by the impact of the blast, but no human casualty or damage of property was reported.",0
"IRQ15543","09-March-2016",2016,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Iraq)","","Civilians (Iraq)","Health Workers (Iraq)","Middle East","Iraq","Babil","Al Mussyab","Jurf Al Sakhar","Musayab",32.766,44.281,"National Iraqi News Agency","National","On Mar 09, an unidentified IED planted on a civilian vehicle exploded near the al-Musayb hospital, Babylon province, killing 2 doctors and 1 driver.",3
"IRQ16268","09-May-2016",2016,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Iraq)","","Civilians (Iraq)","Government of Iraq (2014-2018); Health Workers (Iraq)","Middle East","Iraq","Baghdad","Al Kadhmiyah","Al Taji","Sabaa Al Bour",33.461,44.156,"Al Maloomah","National","Reported on 9 May 2016, an employee of the Ministry of Health was killed when a sticky bomb attached to their car by an unidentified armed group detonated in Sabaa al Bour in Baghdad.",1
"IRQ10009","06-June-2016",2016,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Iraq)","","Civilians (Iraq)","Health Workers (Iraq)","Middle East","Iraq","Baghdad","Al Karkh","Al Mansour","Baghdad - Al Rashid",33.236,44.343,"Iraqi News","National","On June 6, two civilians were killed and five others wounded by the explosion of an IED in the Baya area (Rashid district) of Baghdad. In another attack on the same day, a sticky bomb planted on a vehicle carrying three employees of the Baghdad health directorate exploded in the Furat area (Rashid district) of Baghdad, killing one and wounding the tow others.",3
"IRQ17411","30-August-2016",2016,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Iraq)","","Civilians (Iraq)","Government of Iraq (2014-2018); Health Workers (Iraq)","Middle East","Iraq","Baghdad","Al Madain","Markaz Al Madain","Madain",33.101,44.582,"Al Maloomah","National","On Aug 30, an employee in the health ministry was killed as an unidentified IED was planted on his car at it passed through al-Madain area, east of Baghdad.",1
"IRQ18772","12-December-2016",2016,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Iraq)","","Civilians (Iraq)","Government of Iraq (2014-2018); Health Workers (Iraq)","Middle East","Iraq","Baghdad","Al Mahmoudiya","Al Yousifya","Al Latifiyah",33.024,44.178,"Al Maloomah","National","On December 12 2016, an employee at the Ministry of Health was killed by the explosion of a sticky bomb under his vehicle in Al Latifiyah, south Baghdad.",1
"IRQ4705","20-November-2017",2017,"Explosions/Remote violence","Remote explosive/landmine/IED","Islamic State (Iraq)","","Civilians (Iraq)","Government of Iraq (2014-2018); Health Workers (Iraq)","Middle East","Iraq","Al Anbar","Ana","Rawa","Rawah",34.469,41.916,"Al Sumaria TV","National","An employee at the Ministry of Health and his son were killed by an explosion as they entered the emergency building at the Rawa General Hospital, the building was booby-trapped presumably by Islamic State militants.",2
