"ï..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"BGD7636","13-February-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","BNP: Bangladesh Nationalist Party","South Asia","Bangladesh","Khulna","Jessore","Sharsha","Sharsha",23.066,88.97,"United News of Bangladesh","National","On Feb 13, a local BNP leader was seriously injured in a bomb attack at Navaron in Sharsha upazila by unidentified armed men.",0
"BGD15086","13-February-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Khulna","Jhenaidah","Kotchandpur","Kotchandpur",23.402,89.014,"South Asia Terrorism Portal","Other","On Feb 13, unidentified militants exploded two bombs in front of an electricity office at Kotchandpur sub-district of Jhenidah District, injuring two civilians.",0
"BGD15089","23-February-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","JCD: Bangladesh Jatiotabadi Chatra Dal","Students (Bangladesh)","Civilians (Bangladesh)","Former Government of Bangladesh (2009-); BNP: Bangladesh Nationalist Party","South Asia","Bangladesh","Dhaka","Dhaka","Gulshan","Dhaka - Gulshan",23.79,90.41,"South Asia Terrorism Portal","Other","On Feb 23, two bombs exploded in front of former Prime Minister and BNP Chairperson Khaleda Zia's Gulshan office in Dhaka.The Police arrested an activist of Jatiyatabadi Chhatra Dal, in relation to the blast.",0
"BGD7754","26-February-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Fishermen (Bangladesh)","South Asia","Bangladesh","Khulna","Khulna","Phultala","Phultala",22.975,89.458,"United News of Bangladesh","National","On Feb 26, a fish trader was killed in a bomb attack at Uttar Alkapur village in Fultala upazila by unidentified militants.",1
"BGD7792","04-March-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Khulna","Chuadanga","Alamdanga","Jadabpur",23.779,88.904,"Daily Star (Bangladesh)","National","On 4 Mar 2010, in Jadabpur (Alamdanga, Chuadanga, Khulna), unidentified armed men lobbed a bomb at a businessman's residence, injuring him.",0
"BGD7813","09-March-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Dhaka","Dhaka","","Dhaka",23.71,90.407,"Daily Star (Bangladesh)","National","Assumed on 9 Mar 2010, in Dhaka City (Dhaka, Dhaka), a bomb planted by unidentified armed men exploded at the Shaheed Nagar slum, injuring three civilians.",0
"BGD7936","23-March-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","BNP: Bangladesh Nationalist Party","South Asia","Bangladesh","Rajshahi","Pabna","Santhia","Santhia",24.053,89.562,"United News of Bangladesh","National","On Mar 23, in Santhia upazila, unidentified armed men hurled a bomb at the house of local BNP leader leaving him seriously injured.",0
"BGD8008","30-March-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","BCL: Bangladesh Chhatra League; Students (Bangladesh)","South Asia","Bangladesh","Rajshahi","Rajshahi","Boalia","Rajshahi",24.374,88.601,"Right Vision News","Regional","At least 5 BCL activists were critically injured in a bomb explosion at Bangabandhu Sheikh Mujibur Rahman hall of Rajshahi University (RU) on March 30.",0
"BGD8060","06-April-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Police Forces of Bangladesh (2009-)","","South Asia","Bangladesh","Khulna","Chuadanga","Damurhuda","Damurhuda",23.61,88.78,"Right Vision News","Regional","Unidentified activists hurled three bombs at the patrol police of Jagannathpur police camp in Damurhuda upazila of Chuadanga on Tuesday night (April 6).",0
"BGD8209","07-May-2010",2010,"Explosions/Remote violence","Grenade","PBCP-ML(J): Purba Bangler Communist Party-Marxist-Leninist (Janajuddha)","","PBCP-ML: Purba Bangler Communist Party-Marxist-Leninist","","South Asia","Bangladesh","Rajshahi","Pabna","Pabna Sadar","Ataikula",24.032,89.408,"United News of Bangladesh","National","On May 7, a PBCP-ML leader was killed after PBCP-J activists hurled a bomb at him over a longstanding enmity between the two outfits over establishing supremacy in Ataikula upazila (Pabna).",1
"BGD8300","08-June-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","BNP: Bangladesh Nationalist Party","South Asia","Bangladesh","Khulna","Jessore","Sharsha","Benapole",23.047,88.906,"United News of Bangladesh","National","On June 8, unidentified armed persons attacked the residence of a local BNP leader by hurling a bomb at it while he was present in the house, in Jessore's Benapole area.",0
"BGD8396","30-June-2010",2010,"Explosions/Remote violence","Grenade","Singnagar Communal Militia (Bangladesh)","","Private Security Forces (Bangladesh)","Jubo League","South Asia","Bangladesh","Khulna","Chuadanga","Chuadanga Sadar","Chuadanga",23.643,88.853,"Daily Star (Bangladesh)","National","Unidentified men threw bombs at the guards of Singnagar water body near Chuadanga city on 30 June 2010. The two guards were wounded. The attack is suspected to be linked to control over the water body, which had been leased from the government by an influential member of the Jubo League.",0
"BGD8415","01-July-2010",2010,"Explosions/Remote violence","Grenade","Majhpara Communal Militia (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Khulna","Chuadanga","Alamdanga","Alamdanga",23.763,88.942,"Daily Star (Bangladesh)","National","Unidentified men threw bombs at a villager's house at Majhpara in Alamdanga upazila, Chuadanga district on 1 July 2010. At least eight people were wounded. The attack is suspected to be linked to control over water bodies, which had been leased by the victim from the government.",0
"BGD8481","07-July-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Jubo League","South Asia","Bangladesh","Khulna","Jhenaidah","Jhenaidah Sadar","Jhenaidah",23.542,89.175,"Daily Star (Bangladesh)","National","A Jubo League leader of Ganna Union was seriously wounded as unidentified assailants hurled bombs at him near Kashimnagar village, Jhenidah Sadar on 7 July 2010. The victim died in hospital on 11 July 2010.",1
"BGD8495","10-July-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Dhaka","Dhaka","Kadamtali","Dhaka - Shyampur",23.685,90.446,"United News of Bangladesh","National","On July 10, a trader was injured in a bomb attack by unidentified militants in Shyampur area of Dhaka city. The trader was returning home when militants hurled a bomb at him. Reason of attack is unknown.",0
"BGD8691","03-August-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Dhaka","Dhaka","Motijheel","Dhaka - Motijheel",23.736,90.418,"United News of Bangladesh","National","On Aug 3, a woman was injured in a bomb blast in front of Dilkusha club at Motijheel, Dhaka. The culprits and reason behind the blast is unknown.",0
"BGD15149","04-August-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","PBCP-ML(J): Purba Bangler Communist Party-Marxist-Leninist (Janajuddha)","","Civilians (Bangladesh)","BNP: Bangladesh Nationalist Party","South Asia","Bangladesh","Khulna","Meherpur","Gangni","Gangni",23.817,88.729,"South Asia Terrorism Portal","Other","On Aug 4, a local BNP leader was critically injured in a bomb attack in Gangni sub-district of Meherpur District. Police arrested cadres of PBCP-J for the attack.",0
"BGD8712","06-August-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","AL: Bangladesh Awami League","","","","South Asia","Bangladesh","Dhaka","Munshiganj","Munshiganj Sadar","Amghata",23.468,90.532,"Daily Star (Bangladesh)","National","Supporters of former union parishad chairman (Mostafa Mollah) and district Awami League vice-president (Shah Alam) detonated several bombs in Amghata village, Munshiganj Sadar, Munshiganj district on 6 Aug 2010 over establishing supremacy in the village ahead of union parishad election. No casualties reported.",0
"BGD8814","15-August-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","AL: Bangladesh Awami League","South Asia","Bangladesh","Khulna","Jhenaidah","Jhenaidah Sadar","Jhenaidah",23.542,89.175,"Daily Star (Bangladesh)","National","Unidentified assailants hurled bombs at former chairman and Awami League president of Kumrabaria union (Shamsul Haq) in Shailmari village, Jhenaidah Sadar on 15 Aug 2010. The victim was gravely wounded.",0
"BGD15157","22-August-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","AL: Bangladesh Awami League","","Civilians (Bangladesh)","Government of Bangladesh (2009-)","South Asia","Bangladesh","Khulna","Magura","Magura Sadar","Magura",23.487,89.416,"South Asia Terrorism Portal","Other","On Aug 22, a bomb exploded near the residence of Magura District-1 constituency-l MP at Mahila College road in the town. The explosion happened while a meeting was being held but no one was injured. An AL cadre has been picked in connection to the blast.",0
"BGD8998","20-September-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Dhaka","Narayanganj","Araihazar","Araihazar",23.794,90.658,"United News of Bangladesh","National","On September 20, a woman was injured in an explosion when a pile of straw in her home exploded, Mardasadi village, Araihajar Upazila (Narayanganj district, Dhaka). The police could not confirm if the explosion was caused by a bomb.",0
"BGD9154","14-October-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Khulna","Chuadanga","Alamdanga","Alamdanga",23.763,88.942,"United News of Bangladesh","National","Two boys were wounded in a bomb explosion at Ershadpur area in Alamdanga upazila town, Chuadanga district on 14 Oct 2010. The police recovered two more live bombs from the area.",0
"BGD9170","18-October-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Islamist Militia (Bangladesh)","","South Asia","Bangladesh","Dhaka","Narayanganj","Narayanganj Sadar","Fatullah",23.638,90.48,"Xinhua","International","On 18 Oct, six people were injured in a bomb blast at a house in Bangladesh's central Narayanganj district. The injured were alleged to be affiliated with an Islamic jihad group.",0
"BGD9165","18-October-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Dhaka","Narayanganj","Narayanganj Sadar","Narayanganj",23.613,90.503,"United News of Bangladesh","National","Six people were critically injured by a bomb that exploded at a house at Gabtali Natun Bazar of Fatulla thana, Narayanganj city on 18 Oct 2010. Three of them later died in hospital on 24 Oct 2010. The bomb is suspected to have been planted by a militant group.",3
"BGD15179","20-October-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","PBCP-ML(J): Purba Bangler Communist Party-Marxist-Leninist (Janajuddha)","","South Asia","Bangladesh","Rajshahi","Pabna","Pabna Sadar","Ataikula",24.032,89.408,"South Asia Terrorism Portal","Other","On Oct 20, a member of PBCP-Janajudha was killed in a bomb blast by unidentified men in Ataikula, Pabna.",1
"BGD9228","28-October-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","","","South Asia","Bangladesh","Dhaka","Dhaka","","Dhaka",23.71,90.407,"Daily Star (Bangladesh)","National","An unidentified group detonated a bomb targeting the offices of a television channel (Desh TV) and a daily paper (Bhorer Kagoj) at Malibagh area, Dhaka on 28 Oct 2010. No casualties reported.",0
"BGD9256","31-October-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Labour Group (Bangladesh); Government of Bangladesh (2009-)","South Asia","Bangladesh","Dhaka","Dhaka","Jatrabari","Dhaka - Jatrabari",23.707,90.432,"Daily Star (Bangladesh)","National","On 31 Oct, a Dhaka City Corporation (DCC) worker was critically injured when a bomb exploded while she was cleaning a dustbin at Dhalpur in Jatrabari thana, Dhaka city.",0
"BGD9297","04-November-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Farmers (Bangladesh)","South Asia","Bangladesh","Khulna","Meherpur","Gangni","Gangni",23.817,88.729,"Daily Star (Bangladesh)","National","On 4 Nov, five farmers were injured when a bomb exploded as they were working on crops at Mothurapur village in Gangni upazila (Meherpur, Khulna).",0
"BGD9303","05-November-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Labour Group (Bangladesh)","South Asia","Bangladesh","Dhaka","Dhaka","Sabujbagh","Dhaka - Sabujbagh",23.741,90.428,"Daily Star (Bangladesh)","National","On 5 Nov, two day labours were injured when a petrol bomb exploded as they dug at a nursery at Kamlapur in Sabujbagh thana (Dhaka city).",0
"BGD9301","05-November-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Health Workers (Bangladesh)","South Asia","Bangladesh","Dhaka","Dhaka","","Dhaka",23.71,90.407,"United News of Bangladesh","National","On Nov 5, two nurses were injured in a bomb explosion at a nursery near Kamalpur Railway Hospital, Dhaka, by unidentified militants.",0
"BGD9343","12-November-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","AL: Bangladesh Awami League; Government of Bangladesh (2009-)","South Asia","Bangladesh","Khulna","Kushtia","Daulatpur","Daulatpur",24.005,88.876,"United News of Bangladesh","National","On Nov 12, three persons were killed and several others injured in a bomb explosion by unknown militants at the Daulatpur house of an AL MP.",3
"BGD9368","13-November-2010",2010,"Explosions/Remote violence","Suicide bomb","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","AL: Bangladesh Awami League; Government of Bangladesh (2009-)","South Asia","Bangladesh","Dhaka","Manikganj","Daulatpur","Daulatpur",23.973,89.838,"AFP","International","A possible suicide bomb attack on a lawmaker in western Bangladesh killed at least two people and critically injured one other Saturday. Police said Afaz Uddin, a member of parliament for the ruling Awami League party, escaped unhurt after a bomb was set off in his home at Doulatpur town.",2
"BGD15188","13-November-2010",2010,"Explosions/Remote violence","Suicide bomb","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","AL: Bangladesh Awami League; Government of Bangladesh (2009-)","South Asia","Bangladesh","Khulna","Kushtia","Kushtia Sadar","Kushtia",23.903,89.119,"South Asia Terrorism Portal","Other","On Nov 13, a failed suicide bomb attack on a lawmaker of the AL at Taragunia in Kushtia District killed three persons, including the two attackers who carried the bomb, and injured another civilian.",3
"BGD9373","14-November-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Cattle Traders (Bangladesh)","South Asia","Bangladesh","Dhaka","Dhaka","","Dhaka",23.71,90.407,"United News of Bangladesh","National","On Nov 14, at least four people were injured in a bomb blast at a cattle haat (market) at Nayabazar in Dhaka city by unidentified militants.",0
"BGD9371","14-November-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Dhaka","Dhaka","Bangshal","Dhaka - Bangshal",23.715,90.406,"Daily Star (Bangladesh)","National","On 14 Nov, four people were injured when bombs were thrown at the Naya bazar cattle market in Bangshal thana (Dhaka city) by unidentified persons.",0
"BGD9448","22-November-2010",2010,"Explosions/Remote violence","Grenade","AL: Bangladesh Awami League","","Civilians (Bangladesh)","BNP: Bangladesh Nationalist Party","South Asia","Bangladesh","Khulna","Jhenaidah","Jhenaidah Sadar","Jhenaidah",23.542,89.175,"United News of Bangladesh","National","On Nov 22, a bomb was thrown by suspected AL activists into the residence of a Union Parishad and BNP leader in Jhenaidah town. No one was injured in the attack. The attack was premeditated.",0
"BGD9469","27-November-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","AL: Bangladesh Awami League","South Asia","Bangladesh","Khulna","Chuadanga","Chuadanga Sadar","Chuadanga",23.643,88.853,"United News of Bangladesh","National","On Nov 27, a shop of a local Awami League leader came under bomb attack by unidentified militants at Hasadah Bazar in Jibon Nagar upazila, Chuadanga, leaving three people injured.",0
"BGD9485","28-November-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Khulna","Jessore","Keshabpur","Keshabpur",22.907,89.22,"United News of Bangladesh","National","On Nov 28, unidentified militants attacked and hurled bombs on a house at Komorpol village in Keshabpur upazila, Jessore, injuring one.",0
"BGD9720","28-December-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Jubo League","South Asia","Bangladesh","Khulna","Khulna","Khulna Sadar","Khulna",22.81,89.564,"United News of Bangladesh","National","On December 28, in Khulna city (Khulna, Khulna), unidentified actors threw a bomb at a Jubo League activist while he was riding his motorcycle, for unknown reasons, leaving him seriously injured.",0
"BGD9732","30-December-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","AL: Bangladesh Awami League","South Asia","Bangladesh","Khulna","Khulna","Khulna Sadar","Khulna",22.81,89.564,"Financial Express (Bangladesh)","National","A local Awami League leader was critically injured in a bomb attack at Goalkhali in Khulna city Thursday night. Witnesses said some actors hurled a bomb at no-9 ward AL president Khasrur Alam on his way back home from Daulatpur near his house, leaving him seriously wounded.",0
"BGD9927","06-February-2011",2011,"Explosions/Remote violence","Remote explosive/landmine/IED","BNP: Bangladesh Nationalist Party","","Civilians (Bangladesh)","Students (Bangladesh)","South Asia","Bangladesh","Dhaka","Dhaka","Shahbagh","Dhaka - Shahbagh",23.741,90.394,"United News of Bangladesh","National","On February 6, in Shahbagh area of Dhaka city (Dhaka, Dhaka), a bomb planted by BNP activists detonated and injured two students at Dhaka University.",0
"BGD10053","02-March-2011",2011,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Students (Bangladesh)","South Asia","Bangladesh","Dhaka","Dhaka","","Dhaka",23.71,90.407,"United News of Bangladesh","National","On March 2, in Sadapur village in Savar Upazila (Dhaka, Dhaka), a bomb planted by an unidentified group exploded and injured three primary school students.",0
"BGD10138","21-March-2011",2011,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","BNP: Bangladesh Nationalist Party","South Asia","Bangladesh","Khulna","Meherpur","Mujib Nagar","Mujibnagar",23.649,88.592,"Daily Star (Bangladesh)","National","On 21 March 2011, one BNP activist was killed and two injured when unidentified men hurled a bomb at him in Mujibnagar upazila (Meherpur, Khulna).",1
"BGD15212","01-April-2011",2011,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Government of Bangladesh (2009-)","South Asia","Bangladesh","Khulna","Meherpur","Meherpur Sadar","Meherpur",23.777,88.63,"South Asia Terrorism Portal","Other","On Apr 1, five persons including two Municipal Councilors were injured in a bomb attack by unidentified militants in Meherpur of Kushtia District.",0
"BGD10216","01-April-2011",2011,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Khulna","Meherpur","Meherpur Sadar","Meherpur",23.777,88.63,"United News of Bangladesh","National","On April 1, in Meherpur town (Meherpur, Khulna), unidentified actors threw bombs at a store owned by municipal councilors, leaving 5 people critically injured and one person dead.",1
"BGD10332","22-April-2011",2011,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Barisal","Pirojpur","Mathbaria","Mathbaria",22.287,89.967,"United News of Bangladesh","National","On April 22, in Mathbaria Upazila (Pirojpur, Barisal), an explosive planted by an unidentified actor detonated, injuring three children and a vendor.",0
"BGD10355","26-April-2011",2011,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","","","South Asia","Bangladesh","Khulna","Chuadanga","Damurhuda","Damurhuda",23.61,88.78,"United News of Bangladesh","National","On April 26, in Majanpur village in Damurhuda Upazila (Chuadanga, Khulna), a bomb planted by unidentified actors exploded near the house of a UP member. There were no injuries.",0
"BGD10448","15-May-2011",2011,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","AL: Bangladesh Awami League","South Asia","Bangladesh","Khulna","Khulna","Phultala","Phultala",22.975,89.458,"United News of Bangladesh","National","On May 15, in Phultala Upazila (Khulna, Khulna), unidentified armed actors threw six bombs at an AL leader and his grandson for unknown reasons, seriously injuring both people.",0
"BGD10496","28-May-2011",2011,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","","","South Asia","Bangladesh","Rajshahi","Chapai Nababganj","Nawabganj Sadar","Chapai Nababganj",24.59,88.274,"United News of Bangladesh","National","On May 28, in Sundarpur Bagdanga village in Chapai Nawabganj Upazila (Nawabganj, Rajshahi), two bombs planted by two unidentified men exploded at a house, but there were no injuries.",0
"BGD10553","05-June-2011",2011,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","","","South Asia","Bangladesh","Dhaka","Dhaka","","Dhaka",23.71,90.407,"Gulf News (UAE)","International","Two bomb blasts planted by unidentified assailants occurred near the headquarters of the Bangladesh Nationalist Party (BNP) in Dhaka city on June 5, day 1 of the hartal, which called the strike in protest at a government move to change the country's election system.",0
"BGD10647","13-June-2011",2011,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Dhaka","Dhaka","Shahbagh","Dhaka - Shahbagh",23.741,90.394,"United News of Bangladesh","National","On June 13, in the Shahbagh area of Dhaka city (Dhaka, Dhaka), two explosives were thrown inside of the residence of the vice chancellor of Dhaka University. They did not detonate.",0
"BGD10646","13-June-2011",2011,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Dhaka","Dhaka","Shahbagh","Dhaka - Shahbagh",23.741,90.394,"United News of Bangladesh","National","On June 13, in the Shahbagh area of Dhaka city (Dhaka, Dhaka), an explosive detonated and injured three people.",0
