"character","char_popular","costume","rank","issue","char_costume","parameter","value"
"Gambit = Name Unknown","Gambit","costumed",4,120,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,120,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,120,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,120,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,121,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,121,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,121,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,121,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,122,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,122,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,122,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,122,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,123,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,123,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,123,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,123,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,124,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,124,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,124,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,124,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,125,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,125,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,125,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,125,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,126,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,126,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,126,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,126,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,127,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,127,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,127,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,127,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,128,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,128,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,128,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,128,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,129,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,129,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,129,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,129,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,130,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,130,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,130,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,130,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,131,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,131,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,131,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,131,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,132,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,132,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,132,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,132,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,133,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,133,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,133,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,133,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,134,"Gambit (costumed)   ","speech",0
