from,to,value
Sub-Saharan Africa,BEN,143896.397
Sub-Saharan Africa,BFA,326654.12
Sub-Saharan Africa,BWA,7493.66
Sub-Saharan Africa,CAF,54977.553
Sub-Saharan Africa,CIV,309683.741
Sub-Saharan Africa,CMR,305639.009
Sub-Saharan Africa,COD,1946357.389
Sub-Saharan Africa,COG,66421.615
Sub-Saharan Africa,COM,6833.119
Sub-Saharan Africa,CPV,1304.576
Sub-Saharan Africa,DJI,2966.162
Sub-Saharan Africa,ERI,45915.978
Sub-Saharan Africa,ETH,1118603.761
Sub-Saharan Africa,GAB,14266.604
Sub-Saharan Africa,GHA,202402.298
Sub-Saharan Africa,GIN,183009.681
Sub-Saharan Africa,GMB,32910.586
Sub-Saharan Africa,GNB,20636.628
Sub-Saharan Africa,GNQ,18782.839
Sub-Saharan Africa,KEN,406898.943
Sub-Saharan Africa,LBR,56625.145
Sub-Saharan Africa,LSO,9261.403
Sub-Saharan Africa,MDG,272874.609
Sub-Saharan Africa,MLI,439618.981
Sub-Saharan Africa,MOZ,494449.331
Sub-Saharan Africa,MRT,43278.215
Sub-Saharan Africa,MUS,1516.497
Sub-Saharan Africa,MWI,253962.591
Sub-Saharan Africa,MYT,2172.262
Sub-Saharan Africa,NAM,14805.545
Sub-Saharan Africa,NER,846356.311
Sub-Saharan Africa,NGA,2962068.638
Sub-Saharan Africa,REU,1448.354
Sub-Saharan Africa,RWA,94687.584
Sub-Saharan Africa,SEN,199288.746
Sub-Saharan Africa,SHN,5.601
Sub-Saharan Africa,SLE,76745.119
Sub-Saharan Africa,SOM,337843.131
Sub-Saharan Africa,SSD,156493.829
Sub-Saharan Africa,STP,1940.066
Sub-Saharan Africa,SWZ,6386.183
Sub-Saharan Africa,SYC,128.345
Sub-Saharan Africa,TCD,341363.006
Sub-Saharan Africa,TGO,76218.764
Sub-Saharan Africa,TZA,932748.567
Sub-Saharan Africa,UGA,977999.356
Sub-Saharan Africa,ZAF,127879.827
Sub-Saharan Africa,ZMB,258471.958
Sub-Saharan Africa,ZWE,131166.483
Western Asia,ARE,20122.335
Western Asia,ARM,3538.165
Western Asia,AZE,15189.815
Western Asia,BHR,3209.317
Western Asia,CYP,2017.928
Western Asia,GEO,5412.147
Western Asia,IRQ,389579.495
Western Asia,ISR,28003.298
Western Asia,JOR,46130.225
Western Asia,KWT,9024.66
Western Asia,LBN,8521.59
Western Asia,OMN,13318.66
Western Asia,PSE,44476.397
Western Asia,QAT,5298.907
Western Asia,SAU,82248.381
Western Asia,SYR,85834.615
Western Asia,TUR,131796.686
Western Asia,YEM,239993.727
Western Europe,AUT,11897.835
Western Europe,BEL,18711.694
Western Europe,CHE,14677.508
Western Europe,DEU,103076.144
Western Europe,FRA,107770.527
Western Europe,LIE,65.049
Western Europe,LUX,1381.16
Western Europe,MCO,79.893
Western Europe,NLD,24297.438
