"category","meta_cat","group_num","year","gross_inv"
"Total digital infrastructure","Total infrastructure",1,1972,9070
"Total digital infrastructure","Total infrastructure",1,1973,11060
"Total digital infrastructure","Total infrastructure",1,1974,12089
"Total digital infrastructure","Total infrastructure",1,1975,11903
"Total digital infrastructure","Total infrastructure",1,1976,13209
"Total digital infrastructure","Total infrastructure",1,1977,16661
"Total digital infrastructure","Total infrastructure",1,1978,18685
"Total digital infrastructure","Total infrastructure",1,1979,21123
"Total digital infrastructure","Total infrastructure",1,1980,23953
"Total digital infrastructure","Total infrastructure",1,1981,25970
"Total digital infrastructure","Total infrastructure",1,1982,27039
"Total digital infrastructure","Total infrastructure",1,1983,25930
"Total digital infrastructure","Total infrastructure",1,1984,26540
"Total digital infrastructure","Total infrastructure",1,1985,27511
"Total digital infrastructure","Total infrastructure",1,1986,30894
"Total digital infrastructure","Total infrastructure",1,1987,31905
"Total digital infrastructure","Total infrastructure",1,1988,34587
"Total digital infrastructure","Total infrastructure",1,1989,34647
"Total digital infrastructure","Total infrastructure",1,1990,35200
"Total digital infrastructure","Total infrastructure",1,1991,34232
"Total digital infrastructure","Total infrastructure",1,1992,38887
"Total digital infrastructure","Total infrastructure",1,1993,41498
"Total digital infrastructure","Total infrastructure",1,1994,46742
"Total digital infrastructure","Total infrastructure",1,1995,51500
"Total digital infrastructure","Total infrastructure",1,1996,58988
"Total digital infrastructure","Total infrastructure",1,1997,67018
"Total digital infrastructure","Total infrastructure",1,1998,74298
"Total digital infrastructure","Total infrastructure",1,1999,97947
"Total digital infrastructure","Total infrastructure",1,2000,129559
"Total digital infrastructure","Total infrastructure",1,2001,118777
"Total digital infrastructure","Total infrastructure",1,2002,86928
"Total digital infrastructure","Total infrastructure",1,2003,77463
"Total digital infrastructure","Total infrastructure",1,2004,83146
"Total digital infrastructure","Total infrastructure",1,2005,87383
"Total digital infrastructure","Total infrastructure",1,2006,105465
"Total digital infrastructure","Total infrastructure",1,2007,118955
"Total digital infrastructure","Total infrastructure",1,2008,113590
"Total digital infrastructure","Total infrastructure",1,2009,99854
"Total digital infrastructure","Total infrastructure",1,2010,118921
"Total digital infrastructure","Total infrastructure",1,2011,121567
"Total digital infrastructure","Total infrastructure",1,2012,124585
"Total digital infrastructure","Total infrastructure",1,2013,139464
"Total digital infrastructure","Total infrastructure",1,2014,147350
"Total digital infrastructure","Total infrastructure",1,2015,156560
"Total digital infrastructure","Total infrastructure",1,2016,173308
"Total digital infrastructure","Total infrastructure",1,2017,197236
"Private","Total infrastructure",2,1947,4310
"Private","Total infrastructure",2,1948,5428
"Private","Total infrastructure",2,1949,5576
"Private","Total infrastructure",2,1950,6055
"Private","Total infrastructure",2,1951,6818
"Private","Total infrastructure",2,1952,7565
"Private","Total infrastructure",2,1953,8195
"Private","Total infrastructure",2,1954,8005
"Private","Total infrastructure",2,1955,7919
"Private","Total infrastructure",2,1956,9672
"Private","Total infrastructure",2,1957,10784
"Private","Total infrastructure",2,1958,10019
"Private","Total infrastructure",2,1959,10114
"Private","Total infrastructure",2,1960,11037
"Private","Total infrastructure",2,1961,11051
"Private","Total infrastructure",2,1962,11662
"Private","Total infrastructure",2,1963,12001
"Private","Total infrastructure",2,1964,13111
"Private","Total infrastructure",2,1965,14822
"Private","Total infrastructure",2,1966,16753
"Private","Total infrastructure",2,1967,18427
"Private","Total infrastructure",2,1968,20548
"Private","Total infrastructure",2,1969,23054
"Private","Total infrastructure",2,1970,25864
"Private","Total infrastructure",2,1971,27663
"Private","Total infrastructure",2,1972,30067
"Private","Total infrastructure",2,1973,34166
"Private","Total infrastructure",2,1974,36766
"Private","Total infrastructure",2,1975,38665
"Private","Total infrastructure",2,1976,42696
"Private","Total infrastructure",2,1977,48472
"Private","Total infrastructure",2,1978,52988
"Private","Total infrastructure",2,1979,59068
"Private","Total infrastructure",2,1980,66199
"Private","Total infrastructure",2,1981,73779
"Private","Total infrastructure",2,1982,79322
"Private","Total infrastructure",2,1983,78699
"Private","Total infrastructure",2,1984,87195
"Private","Total infrastructure",2,1985,95298
"Private","Total infrastructure",2,1986,96265
"Private","Total infrastructure",2,1987,102608
"Private","Total infrastructure",2,1988,103200
"Private","Total infrastructure",2,1989,107856
"Private","Total infrastructure",2,1990,115492
"Private","Total infrastructure",2,1991,114834
"Private","Total infrastructure",2,1992,122282
"Private","Total infrastructure",2,1993,131464
"Private","Total infrastructure",2,1994,132639
"Private","Total infrastructure",2,1995,144285
"Private","Total infrastructure",2,1996,157032
"Private","Total infrastructure",2,1997,171244
"Private","Total infrastructure",2,1998,191155
"Private","Total infrastructure",2,1999,217950
"Private","Total infrastructure",2,2000,268451
"Private","Total infrastructure",2,2001,264986
"Private","Total infrastructure",2,2002,238781
"Private","Total infrastructure",2,2003,236738
"Private","Total infrastructure",2,2004,240804
"Private","Total infrastructure",2,2005,262495
"Private","Total infrastructure",2,2006,300482
"Private","Total infrastructure",2,2007,356012
"Private","Total infrastructure",2,2008,371039
"Private","Total infrastructure",2,2009,344069
"Private","Total infrastructure",2,2010,348690
"Private","Total infrastructure",2,2011,358325
"Private","Total infrastructure",2,2012,397105
"Private","Total infrastructure",2,2013,411186
"Private","Total infrastructure",2,2014,435589
"Private","Total infrastructure",2,2015,444751
"Private","Total infrastructure",2,2016,465874
"Private","Total infrastructure",2,2017,500900
"Federal","Total infrastructure",2,1947,456
"Federal","Total infrastructure",2,1948,702
"Federal","Total infrastructure",2,1949,932
"Federal","Total infrastructure",2,1950,929
"Federal","Total infrastructure",2,1951,916
"Federal","Total infrastructure",2,1952,924
"Federal","Total infrastructure",2,1953,860
"Federal","Total infrastructure",2,1954,744
"Federal","Total infrastructure",2,1955,631
"Federal","Total infrastructure",2,1956,734
"Federal","Total infrastructure",2,1957,877
"Federal","Total infrastructure",2,1958,961
"Federal","Total infrastructure",2,1959,1090
"Federal","Total infrastructure",2,1960,1199
"Federal","Total infrastructure",2,1961,1372
"Federal","Total infrastructure",2,1962,1491
"Federal","Total infrastructure",2,1963,1575
"Federal","Total infrastructure",2,1964,1652
"Federal","Total infrastructure",2,1965,1790
"Federal","Total infrastructure",2,1966,1906
"Federal","Total infrastructure",2,1967,1643
"Federal","Total infrastructure",2,1968,1615
"Federal","Total infrastructure",2,1969,1480
"Federal","Total infrastructure",2,1970,1685
"Federal","Total infrastructure",2,1971,1990
"Federal","Total infrastructure",2,1972,2144
"Federal","Total infrastructure",2,1973,2357
"Federal","Total infrastructure",2,1974,2689
"Federal","Total infrastructure",2,1975,3309
"Federal","Total infrastructure",2,1976,3549
"Federal","Total infrastructure",2,1977,4002
"Federal","Total infrastructure",2,1978,4967
"Federal","Total infrastructure",2,1979,5143
"Federal","Total infrastructure",2,1980,5651
"Federal","Total infrastructure",2,1981,6100
"Federal","Total infrastructure",2,1982,5603
"Federal","Total infrastructure",2,1983,5444
"Federal","Total infrastructure",2,1984,5580
"Federal","Total infrastructure",2,1985,5358
"Federal","Total infrastructure",2,1986,5274
"Federal","Total infrastructure",2,1987,5841
"Federal","Total infrastructure",2,1988,5249
"Federal","Total infrastructure",2,1989,5254
"Federal","Total infrastructure",2,1990,5635
"Federal","Total infrastructure",2,1991,6112
"Federal","Total infrastructure",2,1992,7286
"Federal","Total infrastructure",2,1993,7779
"Federal","Total infrastructure",2,1994,7565
"Federal","Total infrastructure",2,1995,7634
"Federal","Total infrastructure",2,1996,7184
"Federal","Total infrastructure",2,1997,6427
"Federal","Total infrastructure",2,1998,6040
"Federal","Total infrastructure",2,1999,5952
"Federal","Total infrastructure",2,2000,5876
"Federal","Total infrastructure",2,2001,5896
"Federal","Total infrastructure",2,2002,6941
"Federal","Total infrastructure",2,2003,6624
"Federal","Total infrastructure",2,2004,6276
"Federal","Total infrastructure",2,2005,5484
"Federal","Total infrastructure",2,2006,5868
"Federal","Total infrastructure",2,2007,6386
"Federal","Total infrastructure",2,2008,6636
"Federal","Total infrastructure",2,2009,8371
"Federal","Total infrastructure",2,2010,10389
"Federal","Total infrastructure",2,2011,11475
"Federal","Total infrastructure",2,2012,9659
"Federal","Total infrastructure",2,2013,8782
"Federal","Total infrastructure",2,2014,8972
"Federal","Total infrastructure",2,2015,9851
"Federal","Total infrastructure",2,2016,9538
"Federal","Total infrastructure",2,2017,8926
"S&L","Total infrastructure",2,1947,2236.724
"S&L","Total infrastructure",2,1948,3296.545
"S&L","Total infrastructure",2,1949,4323.88
"S&L","Total infrastructure",2,1950,4787.336
"S&L","Total infrastructure",2,1951,5573.984
"S&L","Total infrastructure",2,1952,5890.726
"S&L","Total infrastructure",2,1953,6465.333
"S&L","Total infrastructure",2,1954,7780.497
"S&L","Total infrastructure",2,1955,8531.483
"S&L","Total infrastructure",2,1956,9591.031
"S&L","Total infrastructure",2,1957,10550.032
"S&L","Total infrastructure",2,1958,11388.91
"S&L","Total infrastructure",2,1959,11717.966
"S&L","Total infrastructure",2,1960,11591.718
"S&L","Total infrastructure",2,1961,12560.704
"S&L","Total infrastructure",2,1962,13029.927
"S&L","Total infrastructure",2,1963,14674.632
"S&L","Total infrastructure",2,1964,15804.88
"S&L","Total infrastructure",2,1965,17366.881
"S&L","Total infrastructure",2,1966,19271.627
"S&L","Total infrastructure",2,1967,20814.136
"S&L","Total infrastructure",2,1968,22723.572
"S&L","Total infrastructure",2,1969,22390.866
"S&L","Total infrastructure",2,1970,22803.258
"S&L","Total infrastructure",2,1971,23823.669
"S&L","Total infrastructure",2,1972,24425.823
"S&L","Total infrastructure",2,1973,25932.41
"S&L","Total infrastructure",2,1974,30838.921
"S&L","Total infrastructure",2,1975,32939.631
"S&L","Total infrastructure",2,1976,33105.186
"S&L","Total infrastructure",2,1977,31985.249
"S&L","Total infrastructure",2,1978,37445.158
"S&L","Total infrastructure",2,1979,43068.445
"S&L","Total infrastructure",2,1980,48560.36
"S&L","Total infrastructure",2,1981,48431.665
"S&L","Total infrastructure",2,1982,47512.404
"S&L","Total infrastructure",2,1983,47557.666
"S&L","Total infrastructure",2,1984,53858.696
"S&L","Total infrastructure",2,1985,60259.923
"S&L","Total infrastructure",2,1986,65881.926
"S&L","Total infrastructure",2,1987,69733.22
"S&L","Total infrastructure",2,1988,74867.939
"S&L","Total infrastructure",2,1989,77900.83
"S&L","Total infrastructure",2,1990,86178.71
"S&L","Total infrastructure",2,1991,90214.641
"S&L","Total infrastructure",2,1992,91150.036
"S&L","Total infrastructure",2,1993,91551.044
"S&L","Total infrastructure",2,1994,95210.438
"S&L","Total infrastructure",2,1995,101082.276
"S&L","Total infrastructure",2,1996,107855.012
"S&L","Total infrastructure",2,1997,117017.884
"S&L","Total infrastructure",2,1998,125111.539
"S&L","Total infrastructure",2,1999,136619.389
"S&L","Total infrastructure",2,2000,148948.61
"S&L","Total infrastructure",2,2001,164177.382
"S&L","Total infrastructure",2,2002,173123.648
"S&L","Total infrastructure",2,2003,179646.967
"S&L","Total infrastructure",2,2004,186703.255
"S&L","Total infrastructure",2,2005,197932.485
"S&L","Total infrastructure",2,2006,216334.466
"S&L","Total infrastructure",2,2007,233322.435
"S&L","Total infrastructure",2,2008,245002.548
"S&L","Total infrastructure",2,2009,248960.836
"S&L","Total infrastructure",2,2010,242031.996
"S&L","Total infrastructure",2,2011,237494.273
"S&L","Total infrastructure",2,2012,231847.393
"S&L","Total infrastructure",2,2013,227879.393
"S&L","Total infrastructure",2,2014,234384.195
"S&L","Total infrastructure",2,2015,247243.108
"S&L","Total infrastructure",2,2016,255565.846
"S&L","Total infrastructure",2,2017,258988.308
"Private","Total basic infrastructure",3,1947,2736
"Private","Total basic infrastructure",3,1948,3519
"Private","Total basic infrastructure",3,1949,3844
"Private","Total basic infrastructure",3,1950,4208
"Private","Total basic infrastructure",3,1951,4744
"Private","Total basic infrastructure",3,1952,5191
"Private","Total basic infrastructure",3,1953,5742
"Private","Total basic infrastructure",3,1954,5457
"Private","Total basic infrastructure",3,1955,5214
"Private","Total basic infrastructure",3,1956,6121
"Private","Total basic infrastructure",3,1957,6999
"Private","Total basic infrastructure",3,1958,6420
"Private","Total basic infrastructure",3,1959,6363
"Private","Total basic infrastructure",3,1960,6486
"Private","Total basic infrastructure",3,1961,6049
"Private","Total basic infrastructure",3,1962,5998
"Private","Total basic infrastructure",3,1963,6004
"Private","Total basic infrastructure",3,1964,6521
"Private","Total basic infrastructure",3,1965,7314
"Private","Total basic infrastructure",3,1966,8352
"Private","Total basic infrastructure",3,1967,9548
"Private","Total basic infrastructure",3,1968,10794
"Private","Total basic infrastructure",3,1969,11176
"Private","Total basic infrastructure",3,1970,11951
"Private","Total basic infrastructure",3,1971,12696
"Private","Total basic infrastructure",3,1972,14121
"Private","Total basic infrastructure",3,1973,15806
"Private","Total basic infrastructure",3,1974,17024
"Private","Total basic infrastructure",3,1975,18811
"Private","Total basic infrastructure",3,1976,20683
"Private","Total basic infrastructure",3,1977,22588
"Private","Total basic infrastructure",3,1978,23745
"Private","Total basic infrastructure",3,1979,26010
"Private","Total basic infrastructure",3,1980,28046
"Private","Total basic infrastructure",3,1981,30524
"Private","Total basic infrastructure",3,1982,29424
"Private","Total basic infrastructure",3,1983,27918
"Private","Total basic infrastructure",3,1984,34108
"Private","Total basic infrastructure",3,1985,40523
"Private","Total basic infrastructure",3,1986,37377
"Private","Total basic infrastructure",3,1987,39457
"Private","Total basic infrastructure",3,1988,35176
"Private","Total basic infrastructure",3,1989,38170
"Private","Total basic infrastructure",3,1990,41829
"Private","Total basic infrastructure",3,1991,42205
"Private","Total basic infrastructure",3,1992,42667
"Private","Total basic infrastructure",3,1993,45600
"Private","Total basic infrastructure",3,1994,42079
"Private","Total basic infrastructure",3,1995,48495
"Private","Total basic infrastructure",3,1996,49376
"Private","Total basic infrastructure",3,1997,47800
"Private","Total basic infrastructure",3,1998,54450
"Private","Total basic infrastructure",3,1999,55683
"Private","Total basic infrastructure",3,2000,68211
"Private","Total basic infrastructure",3,2001,71357
"Private","Total basic infrastructure",3,2002,68204
"Private","Total basic infrastructure",3,2003,68820
"Private","Total basic infrastructure",3,2004,61256
"Private","Total basic infrastructure",3,2005,67035
"Private","Total basic infrastructure",3,2006,79524
"Private","Total basic infrastructure",3,2007,106258
"Private","Total basic infrastructure",3,2008,121477
"Private","Total basic infrastructure",3,2009,117806
"Private","Total basic infrastructure",3,2010,110116
"Private","Total basic infrastructure",3,2011,115043
"Private","Total basic infrastructure",3,2012,141553
"Private","Total basic infrastructure",3,2013,138482
"Private","Total basic infrastructure",3,2014,157080
"Private","Total basic infrastructure",3,2015,150940
"Private","Total basic infrastructure",3,2016,151166
"Private","Total basic infrastructure",3,2017,154815
"Federal","Total basic infrastructure",3,1947,304
"Federal","Total basic infrastructure",3,1948,452
"Federal","Total basic infrastructure",3,1949,509
"Federal","Total basic infrastructure",3,1950,524
"Federal","Total basic infrastructure",3,1951,643
"Federal","Total basic infrastructure",3,1952,685
"Federal","Total basic infrastructure",3,1953,676
"Federal","Total basic infrastructure",3,1954,586
"Federal","Total basic infrastructure",3,1955,494
"Federal","Total basic infrastructure",3,1956,575
"Federal","Total basic infrastructure",3,1957,691
"Federal","Total basic infrastructure",3,1958,787
"Federal","Total basic infrastructure",3,1959,819
"Federal","Total basic infrastructure",3,1960,886
"Federal","Total basic infrastructure",3,1961,1012
"Federal","Total basic infrastructure",3,1962,1107
"Federal","Total basic infrastructure",3,1963,1150
"Federal","Total basic infrastructure",3,1964,1226
"Federal","Total basic infrastructure",3,1965,1311
"Federal","Total basic infrastructure",3,1966,1404
"Federal","Total basic infrastructure",3,1967,1202
"Federal","Total basic infrastructure",3,1968,1146
"Federal","Total basic infrastructure",3,1969,1036
"Federal","Total basic infrastructure",3,1970,1145
"Federal","Total basic infrastructure",3,1971,1353
"Federal","Total basic infrastructure",3,1972,1465
"Federal","Total basic infrastructure",3,1973,1597
"Federal","Total basic infrastructure",3,1974,1754
"Federal","Total basic infrastructure",3,1975,2083
"Federal","Total basic infrastructure",3,1976,2262
"Federal","Total basic infrastructure",3,1977,2476
"Federal","Total basic infrastructure",3,1978,3051
"Federal","Total basic infrastructure",3,1979,3175
"Federal","Total basic infrastructure",3,1980,3421
"Federal","Total basic infrastructure",3,1981,3674
"Federal","Total basic infrastructure",3,1982,3344
"Federal","Total basic infrastructure",3,1983,3295
"Federal","Total basic infrastructure",3,1984,2845
"Federal","Total basic infrastructure",3,1985,3292
"Federal","Total basic infrastructure",3,1986,2719
"Federal","Total basic infrastructure",3,1987,3064
"Federal","Total basic infrastructure",3,1988,3230
"Federal","Total basic infrastructure",3,1989,3239
"Federal","Total basic infrastructure",3,1990,2996
"Federal","Total basic infrastructure",3,1991,3280
"Federal","Total basic infrastructure",3,1992,3864
"Federal","Total basic infrastructure",3,1993,3875
"Federal","Total basic infrastructure",3,1994,3871
"Federal","Total basic infrastructure",3,1995,3889
"Federal","Total basic infrastructure",3,1996,3190
"Federal","Total basic infrastructure",3,1997,2683
"Federal","Total basic infrastructure",3,1998,2673
"Federal","Total basic infrastructure",3,1999,2916
"Federal","Total basic infrastructure",3,2000,3075
"Federal","Total basic infrastructure",3,2001,3436
"Federal","Total basic infrastructure",3,2002,3981
"Federal","Total basic infrastructure",3,2003,4424
"Federal","Total basic infrastructure",3,2004,4403
"Federal","Total basic infrastructure",3,2005,4190
"Federal","Total basic infrastructure",3,2006,4586
"Federal","Total basic infrastructure",3,2007,4470
"Federal","Total basic infrastructure",3,2008,4770
"Federal","Total basic infrastructure",3,2009,5722
"Federal","Total basic infrastructure",3,2010,7435
"Federal","Total basic infrastructure",3,2011,7640
"Federal","Total basic infrastructure",3,2012,6016
"Federal","Total basic infrastructure",3,2013,5400
"Federal","Total basic infrastructure",3,2014,5950
"Federal","Total basic infrastructure",3,2015,7057
"Federal","Total basic infrastructure",3,2016,6800
"Federal","Total basic infrastructure",3,2017,6102
"S&L","Total basic infrastructure",3,1947,1934.662
"S&L","Total basic infrastructure",3,1948,2515.77
"S&L","Total basic infrastructure",3,1949,3023.143
"S&L","Total basic infrastructure",3,1950,3211.959
"S&L","Total basic infrastructure",3,1951,3574.233
"S&L","Total basic infrastructure",3,1952,3831.59
"S&L","Total basic infrastructure",3,1953,4360.356
"S&L","Total basic infrastructure",3,1954,5235.156
"S&L","Total basic infrastructure",3,1955,5660.955
"S&L","Total basic infrastructure",3,1956,6619.822
"S&L","Total basic infrastructure",3,1957,7245.069
