Date,Dy,Location,Mo,Month New,Name,Name - Split 2,YEAR,Year & Name (Combined) (group),Year & Name (Combined) (group) 1,# Missing,# of Deaths,# of Injuries,Calculation2,Damage in Millions,Damages Dollars,Day New,Houses Damaged,Houses Destroyed,Hr,Latitude,Longitude,Magnitude,Magnitude Category,Mn,Number of Records,Sec,TOTAL DEATHS AND INJURIES
1/1/1918,,IRAN,,1,IRAN: BAJESTAN,BAJESTAN,1918,Other,Other,,,,0.195567118,,,1,,,,34.5,58.2,,9,,1,,
1/1/1919,1,PHILIPPINES,1,1,PHILIPPINES: MINDANAO ISLAND,MINDANAO ISLAND,1919,Other,Other,,,,0.963613049,,,1,,,1,8,126,7.4,7,33,1,42,
1/1/1919,1,FIJI ISLANDS,1,1,FIJI ISLANDS,,1919,Other,Other,,,,0.852580468,,,1,,,2,-19.5,-176.5,8.3,8,59,1,57,
4/27/1919,27,PHILIPPINES,4,4,"PHILIPPINES: NW PANAY, SW TABLAS, CARABAO I","NW PANAY, SW TABLAS, CARABAO I",1919,Other,Other,,,,0.075617621,,,27,,,0,12,122,,9,22,1,,
4/28/1919,28,EL SALVADOR,4,4,EL SALVADOR: SAN SALVADOR,SAN SALVADOR,1919,Other,Other,,,,0.899721080,,,28,,,6,13.69,-89.19,5.9,5,45,1,45,
4/30/1919,30,TONGA ISLANDS,4,4,TONGA ISLANDS,,1919,Other,Other,,,,0.466142704,,,30,,,7,-18.352,-172.515,8.1,8,17,1,17.3,
5/3/1919,3,JAPAN,5,5,JAPAN: OFF EAST COAST HONSHU,OFF EAST COAST HONSHU,1919,Other,Other,,,,0.020566364,,,3,,,0,40.5,145.5,7.6,7,52,1,,
5/6/1919,6,PAPUA NEW GUINEA,5,5,PAPUA NEW GUINEA: SOLOMON ISLANDS,SOLOMON ISLANDS,1919,Other,Other,,,,0.375634031,,,6,,,19,-4.852,153.714,7.8,7,41,1,14.3,
6/29/1919,29,ITALY,6,6,ITALY: N,N,1919,Other,Other,,,,0.412655212,,,29,,,15,44,11.5,6.2,6,6,1,12,
6/29/1919,29,NICARAGUA,6,6,NICARAGUA: GULF OF FONSECA,GULF OF FONSECA,1919,Other,Other,,,,0.593569548,,,29,,,23,12.33,-88.291,6.6,6,14,1,13.4,
8/19/1919,19,LARA,8,8,LARA,,1919,Other,Other,,,,0.458948564,,,19,,,,,,,9,,1,,
10/3/1919,3,FIJI ISLANDS,10,10,"FIJI ISLANDS: RABI,TUNULOA MISSION,SUVASAVU","RABI,TUNULOA MISSION,SUVASAVU",1919,Other,Other,,,,0.940237116,,,3,,,9,-16.5,180,6.9,6,37,1,20,
10/22/1919,22,ITALY,10,10,ITALY: TYRRHENIAN SEA,TYRRHENIAN SEA,1919,Other,Other,,,,0.412920112,,,22,,,6,41.4,12.6,5.6,5,6,1,,
10/31/1919,31,ITALY,10,10,ITALY: CENTRAL,CENTRAL,1919,Other,Other,,,,0.935728742,,,31,,,7,43.5,12.1,,9,53,1,,
11/21/1919,21,INDONESIA,11,11,INDONESIA: IRIAN JAYA REGION,IRIAN JAYA REGION,1919,Other,Other,,,,0.259559976,,,21,,,,-2.55,140.75,,9,,1,,
11/29/1919,29,ITALY,11,11,ITALY: S,S,1919,Other,Other,,,,0.535366172,,,29,,,0,41.6,14.2,,9,33,1,,
12/22/1919,22,GREECE-ALBANIA,12,12,"GREECE-ALBANIA: IOANNINA,KONITSA","IOANNINA,KONITSA",1919,Other,Other,,,,0.626471038,,,22,,,,39.4,20.5,,9,,1,,
1/3/1920,3,MEXICO,1,1,"MEXICO: VERACRUZ: COZAUTLAN, PUEBLA: PATLANALA",VERACRUZ,1920,Other,Other,,648,167,0.606829956,,,3,,,21,19.26,-96.97,7.8,7,48,1,3,815
1/29/1920,29,INDONESIA,1,1,INDONESIA: N. MOLUCCAS ISLANDS,N. MOLUCCAS ISLANDS,1920,Other,Other,,,,0.693298904,,,29,,,,0.87,122.92,,9,,1,,
2/2/1920,2,PAPUA NEW GUINEA,2,2,PAPUA NEW GUINEA: NEW BRITAIN,NEW BRITAIN,1920,Other,Other,,,,0.963466753,,,2,,,11,-6.5,150,7.7,7,22,1,18,
2/20/1920,20,GEORGIA,2,2,"GEORGIA: CAUCASUS: GORI, TIFLIS",CAUCASUS,1920,Other,Other,,,,0.022654011,,,20,,,11,42,44.1,6.2,6,44,1,25,
6/5/1920,5,TAIWAN,6,6,TAIWAN,,1920,Other,Other,,5,20,0.777126914,,,5,,273,4,23.5,122.7,8,8,21,1,28,25
8/20/1920,20,CHILE,8,8,CHILE: OFF COAST CENTRAL,OFF COAST CENTRAL,1920,Other,Other,,,,0.100600923,,,20,,,16,-38,-73.5,7,7,15,1,38,
9/7/1920,7,ITALY,9,9,"ITALY: CARRARA,GARFAGNANA","CARRARA,GARFAGNANA",1920,Other,Other,,1400,,0.187069089,,,7,,,5,44.3,10.3,5.8,5,55,1,40,
9/20/1920,20,NEW CALEDONIA,9,9,NEW CALEDONIA: LOYALTY ISLANDS,LOYALTY ISLANDS,1920,Other,Other,,,,0.616811655,,,20,,,14,-19.919,168.53,7.8,7,39,1,,
11/26/1920,26,ALBANIA,11,11,"ALBANIA: TEPELENE, DRAGOTI, PESHTANI, MARICAJ","TEPELENE, DRAGOTI, PESHTANI, MARICAJ",1920,Other,Other,,200,,0.773491848,,,26,,,8,40.2,20,6.2,6,51,1,7,
12/16/1920,16,CHINA,12,12,"CHINA: GANSU PROVINCE, SHANXI PROVINCE","GANSU PROVINCE, SHANXI PROVINCE",1920,Other,Other,,200000,,0.975961744,25,25000000,16,,,12,36.601,105.317,8.3,8,5,1,54.7,
12/17/1920,17,ARGENTINA,12,12,ARGENTINA: MENDOZA,MENDOZA,1920,Other,Other,,400,,0.586828517,,,17,,,18,-32.7,-68.4,6,6,59,1,49,
12/18/1920,18,ALBANIA,12,12,"ALBANIA: ELBASAN, PEQIN","ELBASAN, PEQIN",1920,Other,Other,,,,0.093449607,,,18,,,2,40.5,19.5,5.6,5,1,1,57,
1/13/1921,13,ITALY,1,1,ITALY: N,N,1921,Other,Other,,,,0.862409860,,,13,,,17,44.3,11.9,,9,42,1,,
2/4/1921,4,GUATEMALA,2,2,GUATEMALA,,1921,Other,Other,,,,0.082276626,,,4,,,8,15,-91,7.5,7,22,1,44,
4/30/1921,30,MEXICO,4,4,MEXICO: NEAR COAST OF JALISCO,NEAR COAST OF JALISCO,1921,Other,Other,,,,0.817687295,,,30,,,11,19.7,-104.3,7.7,7,4,1,,
5/14/1921,14,INDONESIA,5,5,"INDONESIA: SANGKULIRANG,RENDING,KARIORANG,SEKURAN","SANGKULIRANG,RENDING,KARIORANG,SEKURAN",1921,Other,Other,,,,0.584963923,,,14,,,11,0.7,117.9,6.2,6,17,1,45,
8/4/1921,4,CHINA,8,8,"CHINA: LIAONING PROVINCE: XIAOSI, DANDONG",LIAONING PROVINCE,1921,Other,Other,,,,0.585757975,,,4,,,,40.13,124.38,,9,,1,,
8/14/1921,14,ETHIOPIA,8,8,ETHIOPIA: MESEWA (MASSAUA),MESEWA (MASSAUA),1921,Other,Other,,,,0.168814850,,,14,,,13,15.6,39.6,5.9,5,15,1,28,
9/11/1921,11,INDONESIA,9,9,INDONESIA: S OF JAVA,S OF JAVA,1921,Other,Other,,,,0.248318508,,,11,,,4,-11,111,7.5,7,1,1,38,
9/16/1921,16,CENTRAL AFRICAN REPUBLIC,9,9,CENTRAL AFRICAN REPUBLIC: NOLA,NOLA,1921,Other,Other,,,,0.605348599,,,16,,,0,3.8,16.3,4.8,4,51,1,,
9/24/1921,24,ITALY,9,9,ITALY: CENTRAL,CENTRAL,1921,Other,Other,,,,0.756058599,,,24,,,1,43.2,13.2,,9,15,1,,
10/10/1921,10,INDONESIA,10,10,INDONESIA: NEW GUINEA: IRIAN JAYA: SENTANI,NEW GUINEA,1921,Other,Other,,,,0.352757001,,,10,,,,-2.3,138.8,,9,,1,,
11/7/1921,7,PHILIPPINES,11,11,PHILIPPINES: E MINDANAO: MANAY,E MINDANAO,1921,Other,Other,,,,0.566829285,,,7,,,16,7,126,,9,2,1,,
11/11/1921,11,PHILIPPINES,11,11,PHILIPPINES: MINDANAO: E,MINDANAO,1921,Other,Other,,,,0.635483945,,,11,,,18,8,127,7.5,7,36,1,8,
11/15/1921,15,AFGHANISTAN,11,11,AFGHANISTAN: HINDU KUSH,HINDU KUSH,1921,Other,Other,,,,0.174236846,,,15,,,20,36.5,70.5,7.8,7,36,1,,
12/1/1921,1,ITALY,12,12,ITALY: CENTRAL,CENTRAL,1921,Other,Other,,,,0.782261816,,,1,,,14,42.7,12,,9,25,1,,
12/18/1921,18,PERU,12,12,PERU,,1921,Other,Other,,,,0.209810447,,,18,,,15,-2.5,-71,7.6,7,29,1,,
1/6/1922,6,PERU,1,1,PERU,,1922,Other,Other,,,,0.804611084,,,6,,,14,-16.5,-73,7.2,7,11,1,2,
1/16/1922,16,COLOMBIA,1,1,"COLOMBIA: CAQUETA, PUTUMAYO","CAQUETA, PUTUMAYO",1922,Other,Other,,,,0.162808442,,,16,,,22,2.5,-71,7.6,7,50,1,24,
1/17/1922,17,PERU,1,1,PERU,,1922,Other,Other,,,,0.725793379,,,17,,,3,-2.5,-71,7.6,7,50,1,33,
1/19/1922,19,PAPUA NEW GUINEA,1,1,PAPUA NEW GUINEA: BISMARCK SEA,BISMARCK SEA,1922,Other,Other,,,,0.024502935,,,19,,,21,-7,143,7.5,7,58,1,50,
1/27/1922,27,PHILIPPINES,1,1,PHILIPPINES: CEBU I: CEBU; MACTAN I,CEBU I,1922,Other,Other,,,,0.814695517,,,27,,,20,10.2,123.5,,9,41,1,,
1/31/1922,31,CALIFORNIA,1,1,CALIFORNIA: NORTHERN,NORTHERN,1922,Other,Other,,,,0.437212542,,,31,,,13,41,-125.5,7.6,7,17,1,,
2/16/1922,16,NICARAGUA,2,2,NICARAGUA,,1922,Other,Other,,,,0.109624331,,,16,,,3,11.7,-70.85,6.4,6,14,1,48,
2/22/1922,22,INDONESIA,2,2,INDONESIA: BANDA,BANDA,1922,Other,Other,,,,0.459175067,,,22,,,,-3.3,128.9,,9,,1,,
2/27/1922,27,PHILIPPINES,2,2,"PHILIPPINES: CEBU ISLAND, MACTAN ISLAND","CEBU ISLAND, MACTAN ISLAND",1922,Other,Other,,5,,0.324397534,,,27,,,20,10.2,124.1,6.3,6,39,1,50,
3/1/1922,1,PHILIPPINES,3,3,"PHILIPPINES: SIATON,ZAMBOANGUITA","SIATON,ZAMBOANGUITA",1922,Other,Other,,,,0.206706582,,,1,,,9,9,123.25,6,6,10,1,23,
3/24/1922,24,BALKANS NW,3,3,BALKANS NW: SERBIA,SERBIA,1922,Other,Other,,,,0.848979147,,,24,,,12,44.4,20.4,6,6,22,1,,
4/10/1922,10,SW. SUMATRA,4,4,SW. SUMATRA,,1922,Other,Other,,,,0.665351609,,,10,,,,-1,100.35,,9,,1,,
5/27/1922,27,ITALY,5,5,ITALY: N,N,1922,Other,Other,,,,0.084519634,,,27,,,2,45.2,12.7,,9,35,1,,
7/8/1922,8,"LHOKNGA, ACEH",7,7,"LHOKNGA, ACEH",,1922,Other,Other,,,,0.953587847,,,8,,,,5.5,95.2,,9,,1,,
8/25/1922,25,ALGERIA,8,8,"ALGERIA: BORDJ ABOU EL HASEN, DAHRA","BORDJ ABOU EL HASEN, DAHRA",1922,Other,Other,,,,0.666583160,,,25,,,11,36.3,1.3,5.1,5,47,1,49,
9/1/1922,1,TAIWAN,9,9,TAIWAN,,1922,Other,Other,,5,7,0.051921235,,,1,,139,19,24.5,122,7.6,7,16,1,6,12
10/11/1922,11,PERU,10,10,PERU: CARAVELI,CARAVELI,1922,Other,Other,,,,0.984015380,,,11,,,14,-16,-72.5,7.4,7,49,1,50,
10/24/1922,24,RUSSIA,10,10,RUSSIA: KURIL ISLANDS,KURIL ISLANDS,1922,Other,Other,,,,0.339566963,,,24,,,21,47,151.8,7.5,7,21,1,,
11/7/1922,7,CHILE,11,11,CHILE: NORTHERN,NORTHERN,1922,Other,Other,,,,0.093585649,,,7,,,23,-28,-72,,9,0,1,9,
11/11/1922,11,CHILE,11,11,CHILE: ATACAMA,ATACAMA,1922,"(1922, CHILE: ATACAMA), (1946, ALASKA: UNIMAK ISLAND), (1950, INDIA-CHINA) and 3 more",Other,,700,,0.780140606,,,11,,,4,-28.553,-70.755,8.7,8,32,1,36,
12/6/1922,6,AFGHANISTAN,12,12,AFGHANISTAN: HINDU KUSH,HINDU KUSH,1922,Other,Other,,,,0.640414315,,,6,,,13,36.5,70.5,7.5,7,55,1,,
12/7/1922,7,JAPAN,12,12,JAPAN: KYUSHU,KYUSHU,1922,Other,Other,,,,0.358816525,,,7,,,16,32.7,130.3,,9,50,1,,
12/25/1922,25,SE. NEW ZEALAND,12,12,SE. NEW ZEALAND,,1922,Other,Other,,,,0.479000372,,,25,,,3,-43,173,6.3,6,33,1,10,
1/22/1923,22,CALIFORNIA,1,1,CALIFORNIA: NORTHERN,NORTHERN,1923,Other,Other,,,,0.739044097,,,22,,,9,40.8,-124.5,7.2,7,4,1,18,
2/3/1923,3,RUSSIA,2,2,RUSSIA: KAMCHATKA,KAMCHATKA,1923,Other,Other,,3,,0.298481427,1.5,1500000,3,,,16,54,161,8.3,8,1,1,41,
2/4/1923,4,IRAN,2,2,IRAN: BODZHNURD,BODZHNURD,1923,Other,Other,,,,0.531660806,,,4,,,,37.6,57.3,5.5,5,,1,,
2/24/1923,24,ECUADOR,2,2,ECUADOR,,1923,Other,Other,,,,0.330828888,,,24,,,0,-0.4,-78.3,6.8,6,25,1,,
2/24/1923,24,RUSSIA,2,2,RUSSIA: KAMCHATKA PENINSULA,KAMCHATKA PENINSULA,1923,Other,Other,,,,0.502227647,,,24,,,7,55,162.4,7.7,7,34,1,,
3/2/1923,2,PHILIPPINES,3,3,PHILIPPINES: MINDANAO ISLAND,MINDANAO ISLAND,1923,Other,Other,,,,0.333898584,,,2,,,16,6.5,124,7.2,7,48,1,52,
3/15/1923,15,BALKANS NW,3,3,BALKANS NW: CROATIA: PODGORA,CROATIA,1923,Other,Other,,,,0.535612346,,,15,,,,43.2,17.1,,9,,1,,
3/24/1923,24,CHINA,3,3,CHINA: SICHUAN PROVINCE,SICHUAN PROVINCE,1923,Other,Other,,4800,,0.002042909,,,24,,,12,31.5,101,7.3,7,40,1,6,
4/13/1923,13,RUSSIA,4,4,RUSSIA: NEAR KAMCHATKA,NEAR KAMCHATKA,1923,Other,Other,,18,,0.358280271,,,13,,,15,56.5,162.5,7.2,7,31,1,2,
5/4/1923,4,CHILE,5,5,CHILE: VALLENAR,VALLENAR,1923,Other,Other,,,,0.082650480,,,4,,,22,-28.75,-71.75,7,7,26,1,45,
5/9/1923,9,ITALY,5,5,ITALY: CENTRAL,CENTRAL,1923,Other,Other,,,,0.049383997,,,9,,,9,43.7,12,,9,,1,,
5/15/1923,15,INDONESIA,5,5,INDONESIA: JAVA: MAOS,JAVA,1923,Other,Other,,,,0.580438591,,,15,,,,-7.7,109.2,,9,,1,,
5/25/1923,25,IRAN,5,5,IRAN: TURBAT-HAKLARI,TURBAT-HAKLARI,1923,Other,Other,,,,0.883995274,,,25,,,22,35.2,59.2,5.7,5,21,1,,
6/1/1923,1,"KASHIMA, JAPAN",6,6,"KASHIMA, JAPAN",,1923,Other,Other,,,,0.872131360,,,1,,,17,35.4,141.8,,9,24,1,,
7/18/1923,18,PHILIPPINES,7,7,"PHILIPPINES: BUTUAN, CAMIGUIN ISLAND","BUTUAN, CAMIGUIN ISLAND",1923,Other,Other,,,,0.879031601,,,18,,,2,9.3,125,5.5,5,24,1,19,
8/12/1923,12,CHILE,8,8,CHILE: NORTHERN,NORTHERN,1923,Other,Other,,,,0.437693196,,,12,,,12,-18.5,-70.3,,9,11,1,,
9/1/1923,1,JAPAN,9,9,"JAPAN: TOKYO, YOKOHAMA","TOKYO, YOKOHAMA",1923,Other,Other,43476,142807,47000,0.142480029,600,600000000,1,,695000,2,35.1,139.5,7.9,7,58,1,37,189807
9/2/1923,2,JAPAN,9,9,JAPAN: NEAR S COAST HONSHU,NEAR S COAST HONSHU,1923,Other,Other,,,,0.400098309,,,2,,,2,34.9,140.2,7.7,7,46,1,40,
9/17/1923,17,IRAN,9,9,IRAN: QALEH JAQ KMEN: BODZHNURD,QALEH JAQ KMEN,1923,Other,Other,,157,,0.322297785,,,17,,,7,37.2,57.7,6.4,6,9,1,7,
9/22/1923,22,IRAN,9,9,IRAN: SIRJAN,SIRJAN,1923,Other,Other,,290,,0.880936899,,,22,,,20,29.2,56.9,6.9,6,47,1,43,
10/7/1923,7,INDONESIA,10,10,INDONESIA: DJAILOLO GILOLO,DJAILOLO GILOLO,1923,Other,Other,,,,0.276500893,,,7,,,3,-1.75,128.75,7.5,7,29,1,34,
11/2/1923,2,PAPUA NEW GUINEA,11,11,PAPUA NEW GUINEA: BISMARCK ARCHIPELAGO,BISMARCK ARCHIPELAGO,1923,Other,Other,,,,0.263644139,,,2,,,21,-4.5,151.5,7.2,7,8,1,6,
11/4/1923,4,PAPUA NEW GUINEA,11,11,PAPUA NEW GUINEA: BISMARCK ARCHIPELAGO,BISMARCK ARCHIPELAGO,1923,Other,Other,,,,0.326784602,,,4,,,0,-5,152,7.2,7,4,1,30,
12/14/1923,14,COLOMBIA,12,12,COLOMBIA: IPIALES,IPIALES,1923,Other,Other,,,,0.315416836,,,14,,,10,1,-77.5,5.3,5,31,1,,
12/15/1923,15,ITALY,12,12,ITALY: S,S,1923,Other,Other,,,,0.676736584,,,15,,,18,41.7,13.5,,9,59,1,,
12/22/1923,22,COLOMBIA,12,12,"COLOMBIA: GACHALA,GACHETA,UBALA,MEDINA","GACHALA,GACHETA,UBALA,MEDINA",1923,Other,Other,,,,0.088759497,,,22,,,9,5.2,-73.2,,9,55,1,,
1/15/1924,15,JAPAN,1,1,JAPAN: SAGAMI,SAGAMI,1924,Other,Other,,,,0.754007393,,,15,,,,35.5,139.5,,9,,1,,
3/3/1924,3,ECUADOR,3,3,ECUADOR,,1924,Other,Other,,,,0.552494005,,,3,,,8,-1.6,-78.6,6.9,6,1,1,,
3/15/1924,15,RUSSIA,3,3,RUSSIA: SAKHALIN ISLAND,SAKHALIN ISLAND,1924,Other,Other,,,,0.674732130,,,15,,,10,49.179,142.436,6.8,6,31,1,24.1,
3/16/1924,16,ALGERIA,3,3,ALGERIA: BATNA,BATNA,1924,Other,Other,,,,0.768354134,,,16,,,,35.1,5.2,5.6,5,,1,,
4/14/1924,14,PHILIPPINES,4,4,"PHILIPPINES: E MINDANAO: MATI,SURIGA",E MINDANAO,1924,Other,Other,,,,0.445020518,,,14,,,16,6.5,126.5,8.3,8,20,1,23,
5/6/1924,6,PHILIPPINES,5,5,PHILIPPINES: AGNO,AGNO,1924,Other,Other,,,,0.890865482,,,6,,,16,16,118,6.5,6,9,1,20,
5/13/1924,13,TURKEY,5,5,TURKEY: ERZURUM,ERZURUM,1924,Other,Other,,50,,0.487987934,,,13,,,1,39.7,42.8,5.3,5,52,1,33,
6/26/1924,26,AUSTRALIA,6,6,AUSTRALIA: MACQUARIE ISLAND,MACQUARIE ISLAND,1924,Other,Other,,,,0.640107001,,,26,,,1,-56,157.5,7.8,7,37,1,34,
6/30/1924,30,RUSSIA,6,6,RUSSIA: KURIL ISLANDS,KURIL ISLANDS,1924,Other,Other,,,,0.858608978,,,30,,,15,44.737,147.416,7.6,7,44,1,25.8,
7/3/1924,3,CHINA,7,7,CHINA: XINJIANG,XINJIANG,1924,Other,Other,,100,,0.264919766,,,3,,,4,36.8,83.8,7.3,7,40,1,10,
7/24/1924,24,AUSTRALIA,7,7,AUSTRALIA: MACQUARIE ISLAND: NORTH OF,MACQUARIE ISLAND,1924,Other,Other,,,,0.926681051,,,24,,,4,-49.5,159,7.5,7,55,1,,
8/28/1924,28,ICELAND,8,8,ICELAND: REYKJAVIK,REYKJAVIK,1924,Other,Other,,,,0.094487388,,,28,,,,64.15,-21.95,,9,,1,,
8/30/1924,30,PHILIPPINES,8,8,"PHILIPPINES: MINDANAO: SURIGAO,BUTUAN",MINDANAO,1924,Other,Other,,,,0.997810799,,,30,,,3,8.5,126.5,7.3,7,4,1,57,
9/13/1924,13,TURKEY,9,9,TURKEY: ERZURUM,ERZURUM,1924,Other,Other,,60,,0.818695034,,,13,,380,14,40,42,6.8,6,34,1,5,
10/24/1924,24,ITALY,10,10,ITALY: CENTRAL,CENTRAL,1924,Other,Other,,,,0.549729212,,,24,,,2,43.8,13.2,,9,,1,,
11/12/1924,12,INDONESIA,11,11,INDONESIA: JAVA,JAVA,1924,Other,Other,,,,0.363809913,,,12,,,,-7.3,109.8,,9,,1,,
11/28/1924,28,ITALY,11,11,ITALY: CENTRAL,CENTRAL,1924,Other,Other,,,,0.887240742,,,28,,,8,42.5,12.7,,9,45,1,,
12/2/1924,2,INDONESIA,12,12,INDONESIA: JAVA: WONOSOBO,JAVA,1924,Other,Other,,,,0.793942537,,,2,,,,-7.3,109.9,,9,,1,,
1/8/1925,8,INDONESIA,1,1,INDONESIA: BANDA SEA,BANDA SEA,1925,Other,Other,,,,0.967586548,,,8,,,,-8,115,,9,,1,,
1/9/1925,9,TURKEY,1,1,TURKEY: ARDAHAN,ARDAHAN,1925,Other,Other,,200,,0.970698845,,,9,,,17,41.2,42.8,5.8,5,38,1,24,
2/23/1925,23,ALASKA,2,2,ALASKA: GULF OF ALASKA,GULF OF ALASKA,1925,Other,Other,,,,0.573083800,,,23,,,23,60,-146,6.8,6,54,1,,
3/1/1925,1,ITALY,3,3,ITALY: N,N,1925,Other,Other,,,,0.208475893,,,1,,,23,46.1,12.2,,9,42,1,,
3/16/1925,16,CHINA,3,3,CHINA: YUNNAN PROVINCE: TALIFU,YUNNAN PROVINCE,1925,Other,Other,,5000,,0.668698084,,,16,,,14,25.7,100.4,7,7,42,1,12,
3/20/1925,20,ITALY,3,3,ITALY: CENTRAL,CENTRAL,1925,Other,Other,,,,0.150336105,,,20,,,2,43.2,10.9,,9,,1,,
3/22/1925,22,VANUATU ISLANDS,3,3,VANUATU ISLANDS,,1925,Other,Other,,,,0.500866510,,,22,,,8,-18.5,168.5,7.6,7,41,1,,
5/5/1925,5,"W. LUZON ISLAND, PHILIPPINES",5,5,"W. LUZON ISLAND, PHILIPPINES",,1925,Other,Other,,17,,0.472763861,,,5,,,10,9.3,122.7,6.8,6,6,1,6,
5/7/1925,7,ITALY,5,5,ITALY: CENTRAL,CENTRAL,1925,Other,Other,,,,0.664711934,,,7,,,4,43.2,10.8,,9,30,1,,
5/15/1925,15,CHILE,5,5,CHILE: NORTHERN,NORTHERN,1925,Other,Other,,,,0.984203939,,,15,,,11,-26,-71.5,7.1,7,56,1,57,
5/23/1925,23,JAPAN,5,5,JAPAN: HONSHU: TAJIMA,HONSHU,1925,Other,Other,,395,,0.846369705,,,23,,3333,2,35.75,134.75,6.8,6,9,1,45,
5/25/1925,25,PHILIPPINES,5,5,PHILIPPINES: LUZON: W,LUZON,1925,Other,Other,,,,0.352158200,,,25,,,3,12.2,122.1,6.3,6,43,1,6,
6/28/1925,28,MONTANA,6,6,MONTANA: CLARKSTON VALLEY,CLARKSTON VALLEY,1925,Other,Other,,,,0.980976043,0.15,150000,28,,,1,46.4,-111.24,6.7,6,21,1,5,
6/29/1925,29,CALIFORNIA,6,6,CALIFORNIA: SANTA BARBARA,SANTA BARBARA,1925,Other,Other,,13,,0.358894910,8,8000000,29,,,14,34.418,-120.196,6.8,6,42,1,26.2,
7/19/1925,19,ITALY,7,7,ITALY: S,S,1925,Other,Other,,,,0.588747156,,,19,,,5,40.2,16.1,,9,,1,,
8/7/1925,7,TURKEY,8,8,TURKEY: DINAR,DINAR,1925,Other,Other,,3,,0.893295936,,,7,,2043,6,38,30.5,5.9,5,46,1,37,
10/5/1925,5,NICARAGUA,10,10,NICARAGUA: MANAGUA,MANAGUA,1925,Other,Other,,,,0.423187444,,,5,,,1,12.2,-85.2,6.7,6,9,1,,
