source,target,type,size
61,62,BORDER_WITH,668
60,63,BORDER_WITH,126
59,63,BORDER_WITH,644
62,63,BORDER_WITH,877
148,64,BORDER_WITH,451
66,64,BORDER_WITH,730
54,64,BORDER_WITH,623
32,64,BORDER_WITH,57
22,64,BORDER_WITH,620
144,65,BORDER_WITH,430
64,65,BORDER_WITH,488
36,66,BORDER_WITH,3400
35,66,BORDER_WITH,1224
66,67,BORDER_WITH,1643
36,68,BORDER_WITH,861
35,68,BORDER_WITH,5150
67,69,BORDER_WITH,1496
68,69,BORDER_WITH,160
66,69,BORDER_WITH,1560
36,69,BORDER_WITH,900
125,70,BORDER_WITH,933
70,71,BORDER_WITH,169
77,71,BORDER_WITH,290
111,74,BORDER_WITH,523
73,74,BORDER_WITH,201
113,74,BORDER_WITH,1903
72,74,BORDER_WITH,467
130,75,BORDER_WITH,1840
130,76,BORDER_WITH,967
75,76,BORDER_WITH,1360
73,76,BORDER_WITH,1376
132,79,BORDER_WITH,457
20,79,BORDER_WITH,410
94,81,BORDER_WITH,1051
95,82,BORDER_WITH,1161
142,82,BORDER_WITH,1206
81,82,BORDER_WITH,870
154,82,BORDER_WITH,414
144,83,BORDER_WITH,35
144,84,BORDER_WITH,164
64,84,BORDER_WITH,573
148,84,BORDER_WITH,334
83,84,BORDER_WITH,41
65,84,BORDER_WITH,740
87,86,BORDER_WITH,25
134,86,BORDER_WITH,172
85,86,BORDER_WITH,225
85,87,BORDER_WITH,932
144,88,BORDER_WITH,330
87,88,BORDER_WITH,670
65,88,BORDER_WITH,232
145,88,BORDER_WITH,102
91,90,BORDER_WITH,141
89,90,BORDER_WITH,339
90,92,BORDER_WITH,453
91,92,BORDER_WITH,502
64,93,BORDER_WITH,73
148,93,BORDER_WITH,138
22,93,BORDER_WITH,148
81,95,BORDER_WITH,1099
142,95,BORDER_WITH,137
94,95,BORDER_WITH,2203
144,96,BORDER_WITH,362
148,96,BORDER_WITH,646
149,96,BORDER_WITH,658
144,97,BORDER_WITH,91
145,97,BORDER_WITH,677
96,97,BORDER_WITH,215
149,97,BORDER_WITH,444
47,100,BORDER_WITH,381
99,100,BORDER_WITH,1782
100,103,BORDER_WITH,506
102,103,BORDER_WITH,803
105,103,BORDER_WITH,1754
104,103,BORDER_WITH,1800
101,104,BORDER_WITH,193
102,105,BORDER_WITH,541
104,105,BORDER_WITH,235
61,107,BORDER_WITH,610
53,108,BORDER_WITH,813
107,108,BORDER_WITH,330
109,108,BORDER_WITH,419
58,108,BORDER_WITH,740
29,108,BORDER_WITH,338
52,109,BORDER_WITH,1376
60,109,BORDER_WITH,1000
107,109,BORDER_WITH,858
61,109,BORDER_WITH,532
109,110,BORDER_WITH,821
59,110,BORDER_WITH,266
121,110,BORDER_WITH,354
52,110,BORDER_WITH,956
60,110,BORDER_WITH,628
59,112,BORDER_WITH,773
110,112,BORDER_WITH,1497
111,112,BORDER_WITH,1690
111,113,BORDER_WITH,298
111,114,BORDER_WITH,189
113,114,BORDER_WITH,350
72,115,BORDER_WITH,1577
70,115,BORDER_WITH,765
73,115,BORDER_WITH,2511
74,115,BORDER_WITH,2410
71,115,BORDER_WITH,217
77,115,BORDER_WITH,233
76,116,BORDER_WITH,233
115,116,BORDER_WITH,1930
75,116,BORDER_WITH,2
73,116,BORDER_WITH,1110
78,116,BORDER_WITH,837
126,116,BORDER_WITH,338
131,116,BORDER_WITH,419
117,118,BORDER_WITH,79
133,119,BORDER_WITH,181
117,119,BORDER_WITH,238
132,119,BORDER_WITH,744
117,120,BORDER_WITH,358
119,120,BORDER_WITH,97
52,121,BORDER_WITH,982
117,122,BORDER_WITH,266
121,122,BORDER_WITH,1115
120,122,BORDER_WITH,11
123,122,BORDER_WITH,1273
121,123,BORDER_WITH,383
72,123,BORDER_WITH,483
112,124,BORDER_WITH,87
121,124,BORDER_WITH,1055
110,124,BORDER_WITH,1175
111,124,BORDER_WITH,1094
72,124,BORDER_WITH,1197
123,124,BORDER_WITH,1360
70,126,BORDER_WITH,396
115,126,BORDER_WITH,459
131,126,BORDER_WITH,756
71,126,BORDER_WITH,217
78,126,BORDER_WITH,475
125,126,BORDER_WITH,769
77,126,BORDER_WITH,451
127,128,BORDER_WITH,58
125,128,BORDER_WITH,682
127,129,BORDER_WITH,109
123,129,BORDER_WITH,605
78,131,BORDER_WITH,1569
130,131,BORDER_WITH,491
132,133,BORDER_WITH,814
136,135,BORDER_WITH,148
137,135,BORDER_WITH,246
134,135,BORDER_WITH,151
136,137,BORDER_WITH,494
134,137,BORDER_WITH,282
80,138,BORDER_WITH,787
80,139,BORDER_WITH,164
138,139,BORDER_WITH,322
117,140,BORDER_WITH,76
119,140,BORDER_WITH,375
118,140,BORDER_WITH,375
133,140,BORDER_WITH,605
136,141,BORDER_WITH,240
139,141,BORDER_WITH,252
133,141,BORDER_WITH,352
140,141,BORDER_WITH,822
137,141,BORDER_WITH,206
80,141,BORDER_WITH,268
143,141,BORDER_WITH,499
142,143,BORDER_WITH,936
80,143,BORDER_WITH,35
133,143,BORDER_WITH,1458
138,143,BORDER_WITH,611
148,144,BORDER_WITH,784
87,145,BORDER_WITH,329
144,145,BORDER_WITH,366
145,146,BORDER_WITH,443
98,146,BORDER_WITH,450
136,146,BORDER_WITH,608
146,147,BORDER_WITH,476
136,147,BORDER_WITH,318
134,147,BORDER_WITH,115
87,147,BORDER_WITH,241
86,147,BORDER_WITH,203
145,147,BORDER_WITH,151
135,147,BORDER_WITH,221
85,147,BORDER_WITH,302
91,149,BORDER_WITH,407
148,149,BORDER_WITH,456
92,149,BORDER_WITH,91
138,150,BORDER_WITH,284
94,150,BORDER_WITH,6846
90,150,BORDER_WITH,217
106,150,BORDER_WITH,3485
45,150,BORDER_WITH,196
92,150,BORDER_WITH,227
149,150,BORDER_WITH,206
139,150,BORDER_WITH,723
91,150,BORDER_WITH,959
89,150,BORDER_WITH,294
44,150,BORDER_WITH,1340
49,150,BORDER_WITH,19
146,151,BORDER_WITH,531
145,151,BORDER_WITH,103
97,151,BORDER_WITH,97
91,151,BORDER_WITH,891
98,151,BORDER_WITH,939
150,151,BORDER_WITH,1576
149,151,BORDER_WITH,526
104,152,BORDER_WITH,1463
48,152,BORDER_WITH,605
101,152,BORDER_WITH,4053
152,153,BORDER_WITH,2912
142,153,BORDER_WITH,2430
143,153,BORDER_WITH,909
81,154,BORDER_WITH,858
104,154,BORDER_WITH,2185
51,154,BORDER_WITH,1236
142,154,BORDER_WITH,76
105,154,BORDER_WITH,423
106,154,BORDER_WITH,4677
150,154,BORDER_WITH,4250
94,154,BORDER_WITH,1533
153,154,BORDER_WITH,523
152,154,BORDER_WITH,3380
49,154,BORDER_WITH,1416
48,154,BORDER_WITH,470
154,155,BORDER_WITH,1281
105,155,BORDER_WITH,2130
102,155,BORDER_WITH,1228
115,156,BORDER_WITH,628
123,156,BORDER_WITH,1937
125,156,BORDER_WITH,232
70,156,BORDER_WITH,435
72,156,BORDER_WITH,682
156,157,BORDER_WITH,883
125,157,BORDER_WITH,861
128,157,BORDER_WITH,1600
123,157,BORDER_WITH,723
129,157,BORDER_WITH,912
127,157,BORDER_WITH,349
