date,hour,day,weekend,week,month,quarter,value
2020-12-26T14:00Z,6,Saturday,Weekend,52,December,Q4: Oct - Dec,23888
2020-12-26T13:00Z,5,Saturday,Weekend,52,December,Q4: Oct - Dec,23273
2020-12-26T12:00Z,4,Saturday,Weekend,52,December,Q4: Oct - Dec,23103
2020-12-26T11:00Z,3,Saturday,Weekend,52,December,Q4: Oct - Dec,23256
2020-12-26T10:00Z,2,Saturday,Weekend,52,December,Q4: Oct - Dec,23700
2020-12-26T09:00Z,1,Saturday,Weekend,52,December,Q4: Oct - Dec,24501
2020-12-26T08:00Z,0,Saturday,Weekend,52,December,Q4: Oct - Dec,25678
2020-12-26T07:00Z,23,Friday,Weekday,52,December,Q4: Oct - Dec,27227
2020-12-26T06:00Z,22,Friday,Weekday,52,December,Q4: Oct - Dec,28570
2020-12-26T05:00Z,21,Friday,Weekday,52,December,Q4: Oct - Dec,29275
2020-12-26T04:00Z,20,Friday,Weekday,52,December,Q4: Oct - Dec,29851
2020-12-26T03:00Z,19,Friday,Weekday,52,December,Q4: Oct - Dec,30506
2020-12-26T02:00Z,18,Friday,Weekday,52,December,Q4: Oct - Dec,30534
2020-12-26T01:00Z,17,Friday,Weekday,52,December,Q4: Oct - Dec,28066
2020-12-26,16,Friday,Weekday,52,December,Q4: Oct - Dec,26213
2020-12-25T23:00Z,15,Friday,Weekday,52,December,Q4: Oct - Dec,25127
2020-12-25T22:00Z,14,Friday,Weekday,52,December,Q4: Oct - Dec,24527
2020-12-25T21:00Z,13,Friday,Weekday,52,December,Q4: Oct - Dec,24124
2020-12-25T20:00Z,12,Friday,Weekday,52,December,Q4: Oct - Dec,24296
2020-12-25T19:00Z,11,Friday,Weekday,52,December,Q4: Oct - Dec,24706
2020-12-25T18:00Z,10,Friday,Weekday,52,December,Q4: Oct - Dec,25301
2020-12-25T17:00Z,9,Friday,Weekday,52,December,Q4: Oct - Dec,25858
2020-12-25T16:00Z,8,Friday,Weekday,52,December,Q4: Oct - Dec,26028
2020-12-25T15:00Z,7,Friday,Weekday,52,December,Q4: Oct - Dec,25702
2020-12-25T14:00Z,6,Friday,Weekday,52,December,Q4: Oct - Dec,24765
2020-12-25T13:00Z,5,Friday,Weekday,52,December,Q4: Oct - Dec,24183
2020-12-25T12:00Z,4,Friday,Weekday,52,December,Q4: Oct - Dec,24188
2020-12-25T11:00Z,3,Friday,Weekday,52,December,Q4: Oct - Dec,24552
2020-12-25T10:00Z,2,Friday,Weekday,52,December,Q4: Oct - Dec,25174
2020-12-25T09:00Z,1,Friday,Weekday,52,December,Q4: Oct - Dec,25961
2020-12-25T08:00Z,0,Friday,Weekday,52,December,Q4: Oct - Dec,27304
2020-12-25T07:00Z,23,Thursday,Weekday,52,December,Q4: Oct - Dec,28782
2020-12-25T06:00Z,22,Thursday,Weekday,52,December,Q4: Oct - Dec,30183
2020-12-25T05:00Z,21,Thursday,Weekday,52,December,Q4: Oct - Dec,31016
2020-12-25T04:00Z,20,Thursday,Weekday,52,December,Q4: Oct - Dec,31887
2020-12-25T03:00Z,19,Thursday,Weekday,52,December,Q4: Oct - Dec,32850
2020-12-25T02:00Z,18,Thursday,Weekday,52,December,Q4: Oct - Dec,33380
2020-12-25T01:00Z,17,Thursday,Weekday,52,December,Q4: Oct - Dec,30903
2020-12-25,16,Thursday,Weekday,52,December,Q4: Oct - Dec,29379
2020-12-24T23:00Z,15,Thursday,Weekday,52,December,Q4: Oct - Dec,28714
2020-12-24T22:00Z,14,Thursday,Weekday,52,December,Q4: Oct - Dec,28315
2020-12-24T21:00Z,13,Thursday,Weekday,52,December,Q4: Oct - Dec,28610
2020-12-24T20:00Z,12,Thursday,Weekday,52,December,Q4: Oct - Dec,29655
2020-12-24T19:00Z,11,Thursday,Weekday,52,December,Q4: Oct - Dec,30402
2020-12-24T18:00Z,10,Thursday,Weekday,52,December,Q4: Oct - Dec,30424
2020-12-24T17:00Z,9,Thursday,Weekday,52,December,Q4: Oct - Dec,29738
2020-12-24T16:00Z,8,Thursday,Weekday,52,December,Q4: Oct - Dec,28886
2020-12-24T15:00Z,7,Thursday,Weekday,52,December,Q4: Oct - Dec,27867
2020-12-24T14:00Z,6,Thursday,Weekday,52,December,Q4: Oct - Dec,26290
2020-12-24T13:00Z,5,Thursday,Weekday,52,December,Q4: Oct - Dec,25400
2020-12-24T12:00Z,4,Thursday,Weekday,52,December,Q4: Oct - Dec,25147
2020-12-24T11:00Z,3,Thursday,Weekday,52,December,Q4: Oct - Dec,25457
2020-12-24T10:00Z,2,Thursday,Weekday,52,December,Q4: Oct - Dec,26009
2020-12-24T09:00Z,1,Thursday,Weekday,52,December,Q4: Oct - Dec,27127
2020-12-24T08:00Z,0,Thursday,Weekday,52,December,Q4: Oct - Dec,28729
2020-12-24T07:00Z,23,Wednesday,Weekday,52,December,Q4: Oct - Dec,30728
2020-12-24T06:00Z,22,Wednesday,Weekday,52,December,Q4: Oct - Dec,32675
2020-12-24T05:00Z,21,Wednesday,Weekday,52,December,Q4: Oct - Dec,33798
2020-12-24T04:00Z,20,Wednesday,Weekday,52,December,Q4: Oct - Dec,34554
2020-12-24T03:00Z,19,Wednesday,Weekday,52,December,Q4: Oct - Dec,35119
2020-12-24T02:00Z,18,Wednesday,Weekday,52,December,Q4: Oct - Dec,34799
2020-12-24T01:00Z,17,Wednesday,Weekday,52,December,Q4: Oct - Dec,32679
2020-12-24,16,Wednesday,Weekday,52,December,Q4: Oct - Dec,29671
2020-12-23T23:00Z,15,Wednesday,Weekday,52,December,Q4: Oct - Dec,28643
2020-12-23T22:00Z,14,Wednesday,Weekday,52,December,Q4: Oct - Dec,28424
2020-12-23T21:00Z,13,Wednesday,Weekday,52,December,Q4: Oct - Dec,28524
2020-12-23T20:00Z,12,Wednesday,Weekday,52,December,Q4: Oct - Dec,29093
2020-12-23T19:00Z,11,Wednesday,Weekday,52,December,Q4: Oct - Dec,29852
2020-12-23T18:00Z,10,Wednesday,Weekday,52,December,Q4: Oct - Dec,30554
2020-12-23T17:00Z,9,Wednesday,Weekday,52,December,Q4: Oct - Dec,30904
2020-12-23T16:00Z,8,Wednesday,Weekday,52,December,Q4: Oct - Dec,30511
2020-12-23T15:00Z,7,Wednesday,Weekday,52,December,Q4: Oct - Dec,29383
2020-12-23T14:00Z,6,Wednesday,Weekday,52,December,Q4: Oct - Dec,27356
2020-12-23T13:00Z,5,Wednesday,Weekday,52,December,Q4: Oct - Dec,25940
2020-12-23T12:00Z,4,Wednesday,Weekday,52,December,Q4: Oct - Dec,25434
2020-12-23T11:00Z,3,Wednesday,Weekday,52,December,Q4: Oct - Dec,25612
2020-12-23T10:00Z,2,Wednesday,Weekday,52,December,Q4: Oct - Dec,26018
2020-12-23T09:00Z,1,Wednesday,Weekday,52,December,Q4: Oct - Dec,26897
2020-12-23T08:00Z,0,Wednesday,Weekday,52,December,Q4: Oct - Dec,28244
2020-12-23T07:00Z,23,Tuesday,Weekday,52,December,Q4: Oct - Dec,30265
2020-12-23T06:00Z,22,Tuesday,Weekday,52,December,Q4: Oct - Dec,32210
2020-12-23T05:00Z,21,Tuesday,Weekday,52,December,Q4: Oct - Dec,33504
2020-12-23T04:00Z,20,Tuesday,Weekday,52,December,Q4: Oct - Dec,34303
2020-12-23T03:00Z,19,Tuesday,Weekday,52,December,Q4: Oct - Dec,34877
2020-12-23T02:00Z,18,Tuesday,Weekday,52,December,Q4: Oct - Dec,34709
2020-12-23T01:00Z,17,Tuesday,Weekday,52,December,Q4: Oct - Dec,31634
2020-12-23,16,Tuesday,Weekday,52,December,Q4: Oct - Dec,29754
2020-12-22T23:00Z,15,Tuesday,Weekday,52,December,Q4: Oct - Dec,28858
2020-12-22T22:00Z,14,Tuesday,Weekday,52,December,Q4: Oct - Dec,28332
2020-12-22T21:00Z,13,Tuesday,Weekday,52,December,Q4: Oct - Dec,28369
2020-12-22T20:00Z,12,Tuesday,Weekday,52,December,Q4: Oct - Dec,28882
2020-12-22T19:00Z,11,Tuesday,Weekday,52,December,Q4: Oct - Dec,29474
2020-12-22T18:00Z,10,Tuesday,Weekday,52,December,Q4: Oct - Dec,30084
2020-12-22T17:00Z,9,Tuesday,Weekday,52,December,Q4: Oct - Dec,30810
2020-12-22T16:00Z,8,Tuesday,Weekday,52,December,Q4: Oct - Dec,30516
2020-12-22T15:00Z,7,Tuesday,Weekday,52,December,Q4: Oct - Dec,29174
2020-12-22T14:00Z,6,Tuesday,Weekday,52,December,Q4: Oct - Dec,26989
2020-12-22T13:00Z,5,Tuesday,Weekday,52,December,Q4: Oct - Dec,25533
2020-12-22T12:00Z,4,Tuesday,Weekday,52,December,Q4: Oct - Dec,25083
2020-12-22T11:00Z,3,Tuesday,Weekday,52,December,Q4: Oct - Dec,25115
2020-12-22T10:00Z,2,Tuesday,Weekday,52,December,Q4: Oct - Dec,25693
2020-12-22T09:00Z,1,Tuesday,Weekday,52,December,Q4: Oct - Dec,26593
2020-12-22T08:00Z,0,Tuesday,Weekday,52,December,Q4: Oct - Dec,28064
2020-12-22T07:00Z,23,Monday,Weekday,52,December,Q4: Oct - Dec,30067
2020-12-22T06:00Z,22,Monday,Weekday,52,December,Q4: Oct - Dec,32080
2020-12-22T05:00Z,21,Monday,Weekday,52,December,Q4: Oct - Dec,33395
2020-12-22T04:00Z,20,Monday,Weekday,52,December,Q4: Oct - Dec,34355
2020-12-22T03:00Z,19,Monday,Weekday,52,December,Q4: Oct - Dec,34967
2020-12-22T02:00Z,18,Monday,Weekday,52,December,Q4: Oct - Dec,35053
2020-12-22T01:00Z,17,Monday,Weekday,52,December,Q4: Oct - Dec,32127
2020-12-22,16,Monday,Weekday,52,December,Q4: Oct - Dec,30286
2020-12-21T23:00Z,15,Monday,Weekday,52,December,Q4: Oct - Dec,29371
2020-12-21T22:00Z,14,Monday,Weekday,52,December,Q4: Oct - Dec,28925
2020-12-21T21:00Z,13,Monday,Weekday,52,December,Q4: Oct - Dec,28769
2020-12-21T20:00Z,12,Monday,Weekday,52,December,Q4: Oct - Dec,29045
2020-12-21T19:00Z,11,Monday,Weekday,52,December,Q4: Oct - Dec,29569
2020-12-21T18:00Z,10,Monday,Weekday,52,December,Q4: Oct - Dec,30122
2020-12-21T17:00Z,9,Monday,Weekday,52,December,Q4: Oct - Dec,30794
2020-12-21T16:00Z,8,Monday,Weekday,52,December,Q4: Oct - Dec,30725
2020-12-21T15:00Z,7,Monday,Weekday,52,December,Q4: Oct - Dec,29370
2020-12-21T14:00Z,6,Monday,Weekday,52,December,Q4: Oct - Dec,27070
2020-12-21T13:00Z,5,Monday,Weekday,52,December,Q4: Oct - Dec,25435
2020-12-21T12:00Z,4,Monday,Weekday,52,December,Q4: Oct - Dec,24755
2020-12-21T11:00Z,3,Monday,Weekday,52,December,Q4: Oct - Dec,24738
2020-12-21T10:00Z,2,Monday,Weekday,52,December,Q4: Oct - Dec,25081
2020-12-21T09:00Z,1,Monday,Weekday,52,December,Q4: Oct - Dec,25928
2020-12-21T08:00Z,0,Monday,Weekday,52,December,Q4: Oct - Dec,27253
2020-12-21T07:00Z,23,Sunday,Weekend,51,December,Q4: Oct - Dec,29161
2020-12-21T06:00Z,22,Sunday,Weekend,51,December,Q4: Oct - Dec,30947
2020-12-21T05:00Z,21,Sunday,Weekend,51,December,Q4: Oct - Dec,31991
2020-12-21T04:00Z,20,Sunday,Weekend,51,December,Q4: Oct - Dec,32691
2020-12-21T03:00Z,19,Sunday,Weekend,51,December,Q4: Oct - Dec,32890
2020-12-21T02:00Z,18,Sunday,Weekend,51,December,Q4: Oct - Dec,32452
2020-12-21T01:00Z,17,Sunday,Weekend,51,December,Q4: Oct - Dec,29254
2020-12-21,16,Sunday,Weekend,51,December,Q4: Oct - Dec,27004
2020-12-20T23:00Z,15,Sunday,Weekend,51,December,Q4: Oct - Dec,25493
2020-12-20T22:00Z,14,Sunday,Weekend,51,December,Q4: Oct - Dec,24810
2020-12-20T21:00Z,13,Sunday,Weekend,51,December,Q4: Oct - Dec,24674
2020-12-20T20:00Z,12,Sunday,Weekend,51,December,Q4: Oct - Dec,24908
2020-12-20T19:00Z,11,Sunday,Weekend,51,December,Q4: Oct - Dec,25351
2020-12-20T18:00Z,10,Sunday,Weekend,51,December,Q4: Oct - Dec,26175
2020-12-20T17:00Z,9,Sunday,Weekend,51,December,Q4: Oct - Dec,27043
2020-12-20T16:00Z,8,Sunday,Weekend,51,December,Q4: Oct - Dec,27097
2020-12-20T15:00Z,7,Sunday,Weekend,51,December,Q4: Oct - Dec,26572
2020-12-20T14:00Z,6,Sunday,Weekend,51,December,Q4: Oct - Dec,26073
2020-12-20T13:00Z,5,Sunday,Weekend,51,December,Q4: Oct - Dec,25510
2020-12-20T12:00Z,4,Sunday,Weekend,51,December,Q4: Oct - Dec,25335
2020-12-20T11:00Z,3,Sunday,Weekend,51,December,Q4: Oct - Dec,25501
2020-12-20T10:00Z,2,Sunday,Weekend,51,December,Q4: Oct - Dec,26094
2020-12-20T09:00Z,1,Sunday,Weekend,51,December,Q4: Oct - Dec,27047
2020-12-20T08:00Z,0,Sunday,Weekend,51,December,Q4: Oct - Dec,28302
2020-12-20T07:00Z,23,Saturday,Weekend,51,December,Q4: Oct - Dec,30002
2020-12-20T06:00Z,22,Saturday,Weekend,51,December,Q4: Oct - Dec,31460
2020-12-20T05:00Z,21,Saturday,Weekend,51,December,Q4: Oct - Dec,32333
2020-12-20T04:00Z,20,Saturday,Weekend,51,December,Q4: Oct - Dec,33038
2020-12-20T03:00Z,19,Saturday,Weekend,51,December,Q4: Oct - Dec,33484
2020-12-20T02:00Z,18,Saturday,Weekend,51,December,Q4: Oct - Dec,33052
2020-12-20T01:00Z,17,Saturday,Weekend,51,December,Q4: Oct - Dec,29559
2020-12-20,16,Saturday,Weekend,51,December,Q4: Oct - Dec,27029
2020-12-19T23:00Z,15,Saturday,Weekend,51,December,Q4: Oct - Dec,25363
2020-12-19T22:00Z,14,Saturday,Weekend,51,December,Q4: Oct - Dec,24784
2020-12-19T21:00Z,13,Saturday,Weekend,51,December,Q4: Oct - Dec,24718
2020-12-19T20:00Z,12,Saturday,Weekend,51,December,Q4: Oct - Dec,25175
2020-12-19T19:00Z,11,Saturday,Weekend,51,December,Q4: Oct - Dec,26026
2020-12-19T18:00Z,10,Saturday,Weekend,51,December,Q4: Oct - Dec,27010
2020-12-19T17:00Z,9,Saturday,Weekend,51,December,Q4: Oct - Dec,28202
2020-12-19T16:00Z,8,Saturday,Weekend,51,December,Q4: Oct - Dec,28489
2020-12-19T15:00Z,7,Saturday,Weekend,51,December,Q4: Oct - Dec,27835
2020-12-19T14:00Z,6,Saturday,Weekend,51,December,Q4: Oct - Dec,26613
2020-12-19T13:00Z,5,Saturday,Weekend,51,December,Q4: Oct - Dec,25761
2020-12-19T12:00Z,4,Saturday,Weekend,51,December,Q4: Oct - Dec,25552
2020-12-19T11:00Z,3,Saturday,Weekend,51,December,Q4: Oct - Dec,25808
2020-12-19T10:00Z,2,Saturday,Weekend,51,December,Q4: Oct - Dec,26500
2020-12-19T09:00Z,1,Saturday,Weekend,51,December,Q4: Oct - Dec,27495
2020-12-19T08:00Z,0,Saturday,Weekend,51,December,Q4: Oct - Dec,28760
2020-12-19T07:00Z,23,Friday,Weekday,51,December,Q4: Oct - Dec,30637
2020-12-19T06:00Z,22,Friday,Weekday,51,December,Q4: Oct - Dec,32488
2020-12-19T05:00Z,21,Friday,Weekday,51,December,Q4: Oct - Dec,33481
2020-12-19T04:00Z,20,Friday,Weekday,51,December,Q4: Oct - Dec,34253
2020-12-19T03:00Z,19,Friday,Weekday,51,December,Q4: Oct - Dec,34827
2020-12-19T02:00Z,18,Friday,Weekday,51,December,Q4: Oct - Dec,34580
