"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Dominican Republic","Import","Fish","49055","F","53649","F","66452","","52035","","56218","","66388","","72553","","78779","","101613","","110297","","118318","","132536","F","144004","F","116039","F","126104","F","133886","F"
"Ecuador","Export","Crustaceans","279596","","291524","","260954","","283213","","339528","","456446","","601073","","606933","","685768","","661517","","838499","","1186235","","1290807","","1805654","","2600534","","2318003",""
"Ecuador","Export","Fish","287126","","351201","","424337","","473626","","434083","","517998","","687257","","718676","","996648","","860228","","838783","","1171667","","1425459","","1619623","","1535196","","1183046",""
"Ecuador","Import","Crustaceans","102","","308","","416","","1011","","1754","","1395","","390","","451","","551","","295","","548","","796","","4979","","4631","","3683","","179",""
"Ecuador","Import","Fish","1147","","3941","","22913","","27682","","17950","","3684","","7018","","52208","","226466","","217229","","219728","","282524","","181349","","111442","","123505","","83586",""
"El Salvador","Export","Crustaceans","19829","","20651","","12608","","15154","","9942","","12257","","11591","","13387","","4387","","7775","","4563","","788","","458","","928","","731","","542",""
"El Salvador","Export","Fish","6737","","3967","","8978","","18219","","39039","","61589","","56441","","95807","","113002","","84024","","70474","","75949","","103122","","114621","","103124","","80747",""
"El Salvador","Import","Crustaceans","1139","","562","","786","","1238","","1654","","1964","","3295","","5495","","3942","","7794","","3991","","2587","","2652","","2310","","1923","","2608",""
"El Salvador","Import","Fish","6672","","7585","","5197","","8259","","15215","","43699","","32873","","48045","","24801","","68628","","38197","","28283","","40986","","58396","","47775","","33475",""
"Falkland Is.(Malvinas)","Export","Fish","21340","","23190","","26090","","27470","F","36710","F","36915","","40320","","31000","","52210","","55880","","88975","","78358","","29364","","71040","","49300","","26286",""
"Falkland Is.(Malvinas)","Import","Crustaceans","16","F","15","F","18","F","48","F","25","F","54","F","72","F","66","F","79","F","56","F","59","F","71","F","14","F","7","F","4","F","15","F"
"Falkland Is.(Malvinas)","Import","Fish","163","F","141","F","13","F","43","F","158","F","135","F","143","","67","F","104","F","160","F","152","F","188","F","154","F","134","F","255","F","174","F"
"Greenland","Export","Crustaceans","194902","","179059","","172987","","218835","","220302","","238169","","211035","","149918","","255712","","203627","","207600","","265117","","252152","","240591","","247474","","173216",""
"Greenland","Export","Fish","66766","","54561","","68533","","127154","","114484","","120712","","134268","","140170","","160239","","113961","","146304","","183476","","179000","","209160","","270003","","211790",""
"Greenland","Import","Crustaceans","337","","489","","803","","707","","677","","513","","1736","","363","","754","","2990","","1565","","1012","","808","","897","","1858","","2561",""
"Greenland","Import","Fish","814","","875","","987","","2059","","2789","","2295","","2741","","1848","","3531","","3127","","3248","","4036","","3793","","7893","","3863","","3311",""
"Grenada","Export","Crustaceans","19","","109","","7","","67","","114","","182","","80","","7","","23","","91","F","45","F","63","F","94","F","81","F","117","F","153","F"
