internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName
136000,Pseudophilautus maia,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,maia
136163,Pseudophilautus pardus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,pardus
158037164,Pycnandra micrantha,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Pycnandra,micrantha
10946,Juscelinomys candango,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Juscelinomys,candango
13484053,Nactus soniae,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Nactus,soniae
11410,Leiolopisma mauritiana,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Leiolopisma,mauritiana
16925,Phelsuma gigas,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Phelsuma,gigas
22607,Madatyphlops cariei,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,TYPHLOPIDAE,Madatyphlops,cariei
6331,Deloneura immaculata,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Deloneura,immaculata
11537,Lepidochrysops hypopolia,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Lepidochrysops,hypopolia
169838762,Schizothorax saltans,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Schizothorax,saltans
44791445,Ameles fasciipennis,ANIMALIA,ARTHROPODA,INSECTA,MANTODEA,MANTIDAE,Ameles,fasciipennis
177653,Leiorhagium solemi,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,TATEIDAE,Leiorhagium,solemi
103823595,Hemignathus lucidus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Hemignathus,lucidus
