"source","target","value"
"ZAF","AUS",33
"RUS","AUS",53
"RWA","AUS",90
"SLV","AUS",10
"SAU","AUS",198
"SGP","AUS",6
"SLE","AUS",25
"SLB","AUS",23
"SOM","AUS",531
"VNM","AUS",282
"SDN","AUS",546
"SSD","AUS",9
"SYR","AUS",629
"TZA","AUS",10
"THA","AUS",16
"TLS","AUS",6
"TON","AUS",31
"TUN","AUS",5
"TUR","AUS",826
"ARE","AUS",6
"UGA","AUS",59
"UKR","AUS",24
"USA","AUS",17
"UZB","AUS",25
"VEN","AUS",127
"YEM","AUS",87
"ZMB","AUS",8
"ZWE","AUS",501
"XXA","AUS",4705
"TIB","AUS",10
,"AUS",895
"AFG","AUT",38371
"ALB","AUT",66
"DZA","AUT",35
"AGO","AUT",57
"EGY","AUT",222
"ARM","AUT",406
"AZE","AUT",204
"BDI","AUT",15
"BEN","AUT",5
"BGD","AUT",328
"BFA","AUT",8
"BLR","AUT",41
"BOL","AUT",6
"BIH","AUT",72
"CAN","AUT",5
"CHN","AUT",661
"CMR","AUT",197
"COG","AUT",103
"COD","AUT",361
"CUB","AUT",13
"ERI","AUT",430
"ETH","AUT",226
"GAB","AUT",5
"GMB","AUT",126
"GEO","AUT",363
"GHA","AUT",17
"GNB","AUT",5
"GTM","AUT",6
"GIN","AUT",145
"CIV","AUT",69
"IND","AUT",42
"IRN","AUT",6606
"IRQ","AUT",8769
"ISR","AUT",11
"JOR","AUT",77
"KAZ","AUT",115
"KEN","AUT",27
"KGZ","AUT",161
"KWT","AUT",9
"LBR","AUT",10
"LBY","AUT",135
"LBN","AUT",108
"LKA","AUT",67
"MDG","AUT",5
"MRT","AUT",5
"MKD","AUT",21
"MDA","AUT",35
"MLI","AUT",13
"MNG","AUT",128
"MAR","AUT",37
"MNE","AUT",5
"MMR","AUT",35
"NPL","AUT",22
"NIC","AUT",5
"NGA","AUT",422
"PAK","AUT",328
"PHL","AUT",15
"ROU","AUT",5
"ZAF","AUT",5
"RUS","AUT",8080
"RWA","AUT",17
"SAU","AUT",6
"SRB","AUT",644
"SEN","AUT",14
"SLE","AUT",23
"SOM","AUT",7843
"VNM","AUT",5
"SDN","AUT",341
"SSD","AUT",6
"SYR","AUT",53015
"TJK","AUT",241
"TKM","AUT",7
"TGO","AUT",7
"TUN","AUT",7
"TUR","AUT",573
"UGA","AUT",28
"UKR","AUT",252
"USA","AUT",5
"UZB","AUT",58
"VEN","AUT",43
"YEM","AUT",325
"ZMB","AUT",5
"ZWE","AUT",8
"XXA","AUT",2162
,"AUT",4422
"AFG","AZE",645
"PSE","AZE",5
"IRN","AZE",45
"IRQ","AZE",5
"LBY","AZE",5
"PAK","AZE",18
"RUS","AZE",357
"SYR","AZE",25
"UKR","AZE",5
"YEM","AZE",11
"IRQ","BHR",242
"YEM","BHR",9
"COD","BDI",76330
"MLI","BDI",12
"RWA","BDI",519
"SOM","BDI",5
"UGA","BDI",14
"AFG","BEL",4945
"ALB","BEL",706
"DZA","BEL",73
"AGO","BEL",97
"EGY","BEL",115
"ARM","BEL",163
"AZE","BEL",101
"BDI","BEL",1404
"BEN","BEL",40
"BGD","BEL",29
"BFA","BEL",101
"BLR","BEL",43
"BRA","BEL",8
"BIH","BEL",60
"BGR","BEL",18
"KHM","BEL",10
"CAF","BEL",60
"TCD","BEL",32
"CHN","BEL",1241
"CHL","BEL",42
"CMR","BEL",521
"COG","BEL",26
"COD","BEL",1478
"COL","BEL",82
"CUB","BEL",9
"CZE","BEL",6
"DJI","BEL",378
"ERI","BEL",2622
"ETH","BEL",165
"GAB","BEL",26
"GMB","BEL",25
"PSE","BEL",839
"GEO","BEL",104
"GHA","BEL",30
"GNB","BEL",9
"GTM","BEL",34
"GIN","BEL",3489
"HTI","BEL",5
"HND","BEL",17
"HRV","BEL",5
"HUN","BEL",36
"CIV","BEL",212
"IND","BEL",18
"IRN","BEL",1691
"IRQ","BEL",5398
"ISR","BEL",5
"JAM","BEL",5
"JOR","BEL",23
"KAZ","BEL",55
"KEN","BEL",20
"KGZ","BEL",68
"PRK","BEL",32
"KWT","BEL",6
"LAO","BEL",10
"LBR","BEL",11
"LBY","BEL",95
"LBN","BEL",115
"LKA","BEL",342
"LTU","BEL",5
"MDG","BEL",5
"MRT","BEL",264
"MKD","BEL",144
"MDA","BEL",5
"MLI","BEL",103
"MAR","BEL",151
"MNE","BEL",9
"MMR","BEL",6
"NPL","BEL",8
"NER","BEL",128
"NIC","BEL",9
"NGA","BEL",65
"PAK","BEL",322
"POL","BEL",117
"ROU","BEL",37
"ZAF","BEL",5
"RUS","BEL",2664
"RWA","BEL",806
"SLV","BEL",389
"SAU","BEL",8
"SRB","BEL",178
"SEN","BEL",403
"SLE","BEL",27
"SOM","BEL",2054
"VNM","BEL",30
"SDN","BEL",255
"SSD","BEL",5
"SYR","BEL",16555
"TZA","BEL",52
"TJK","BEL",13
"TKM","BEL",5
"TGO","BEL",181
"TUN","BEL",54
"TUR","BEL",1973
"ARE","BEL",5
"UGA","BEL",20
"UKR","BEL",254
"UZB","BEL",40
"VEN","BEL",273
"YEM","BEL",51
"XXA","BEL",260
,"BEL",5944
"BDI","BEN",7
"CAF","BEN",996
"TCD","BEN",8
"CMR","BEN",20
"COD","BEN",11
"ERI","BEN",5
"CIV","BEN",167
"LKA","BEN",5
"MLI","BEN",33
"PAK","BEN",5
"SEN","BEN",5
"SDN","BEN",6
"SYR","BEN",12
"TUR","BEN",10
"YEM","BEN",11
"MMR","BGD",860416
"SOM","BGD",11
"YEM","BGD",5
"COL","BHS",5
"CUB","BHS",5
"BDI","BFA",28
"CAF","BFA",192
"TCD","BFA",82
"CMR","BFA",7
"COG","BFA",27
"COD","BFA",33
"CIV","BFA",5
"MLI","BFA",19416
"RWA","BFA",16
"SYR","BFA",5
"TGO","BFA",14
"TUR","BFA",13
"AFG","BLR",220
"EGY","BLR",5
"ARM","BLR",5
"AZE","BLR",5
"ETH","BLR",5
"PSE","BLR",5
"GEO","BLR",52
"IRN","BLR",6
"IRQ","BLR",13
"LBY","BLR",8
"SYR","BLR",64
"TJK","BLR",11
"TUR","BLR",5
"UKR","BLR",2394
"YEM","BLR",25
"ARG","BOL",13
"COL","BOL",206
"CUB","BOL",48
"ECU","BOL",5
"CIV","BOL",5
"IRQ","BOL",16
"NER","BOL",5
"PAK","BOL",5
"PER","BOL",517
"RUS","BOL",14
"SYR","BOL",21
"UKR","BOL",5
"URY","BOL",10
"VEN","BOL",176
"BDI","BWA",73
"COD","BWA",153
"ERI","BWA",5
"ETH","BWA",5
"KEN","BWA",5
"RWA","BWA",18
"SOM","BWA",303
"SDN","BWA",5
"UGA","BWA",18
"ZWE","BWA",304
"AFG","BRA",132
"DZA","BRA",7
"AGO","BRA",1143
"EGY","BRA",48
"ARG","BRA",6
"ARM","BRA",5
"BDI","BRA",46
"BGD","BRA",15
"BTN","BRA",30
"BFA","BRA",5
"BOL","BRA",153
"BIH","BRA",5
"CAF","BRA",5
"CHN","BRA",9
"CHL","BRA",21
"CMR","BRA",70
"COG","BRA",20
"COD","BRA",1644
"COL","BRA",1295
"CUB","BRA",279
"DOM","BRA",5
"ECU","BRA",58
"ERI","BRA",25
"ETH","BRA",27
"GMB","BRA",6
"PSE","BRA",570
"GEO","BRA",10
"GHA","BRA",34
"GNB","BRA",24
"GIN","BRA",104
"GUY","BRA",5
"HTI","BRA",8
"HND","BRA",5
"HRV","BRA",5
"HUN","BRA",5
"CIV","BRA",54
"IND","BRA",8
"IRN","BRA",67
"IRQ","BRA",303
"JOR","BRA",10
"KEN","BRA",9
"LBR","BRA",259
"LBY","BRA",5
"LBN","BRA",411
"LKA","BRA",18
"MRT","BRA",50
"MKD","BRA",6
"MEX","BRA",6
"MLI","BRA",91
"MAR","BRA",17
"NPL","BRA",12
"NGA","BRA",137
"PAK","BRA",345
"PRY","BRA",5
"PER","BRA",46
"ZAF","BRA",5
"RUS","BRA",13
"RWA","BRA",18
"SLV","BRA",56
"SRB","BRA",92
"SEN","BRA",14
"SLE","BRA",161
"SOM","BRA",48
"VNM","BRA",5
"SDN","BRA",73
"SYR","BRA",3814
"TZA","BRA",8
"TGO","BRA",49
"TUN","BRA",5
"TUR","BRA",6
"UGA","BRA",5
"UKR","BRA",17
"VEN","BRA",38387
"ZWE","BRA",5
"HRV","BIH",5116
"IRN","BIH",5
"MKD","BIH",5
"SRB","BIH",59
"SYR","BIH",23
"TUR","BIH",30
"AFG","BGR",244
"EGY","BGR",14
"ARM","BGR",14
"BGD","BGR",9
"COG","BGR",9
"ERI","BGR",12
"ETH","BGR",11
"GIN","BGR",5
"CIV","BGR",5
"IND","BGR",5
"IRN","BGR",81
"IRQ","BGR",1269
"JOR","BGR",6
"LBN","BGR",27
"MLI","BGR",5
"MAR","BGR",5
"PAK","BGR",24
"SOM","BGR",50
"SDN","BGR",14
"SYR","BGR",17832
"TUN","BGR",5
"TUR","BGR",11
"YEM","BGR",14
"XXA","BGR",1000
"HND","BLZ",5
"SLV","BLZ",24
"AFG","CAN",2145
"ALB","CAN",793
"DZA","CAN",507
"AGO","CAN",261
"ATG","CAN",112
"EGY","CAN",2693
"ARM","CAN",51
"AZE","CAN",586
"BHR","CAN",55
"BRB","CAN",240
"BDI","CAN",2669
"BEL","CAN",5
"BEN","CAN",51
"BGD","CAN",1165
"BHS","CAN",333
"BFA","CAN",108
"BLR","CAN",52
"BOL","CAN",35
"BWA","CAN",169
"BRA","CAN",113
"BGR","CAN",124
"BLZ","CAN",19
"KHM","CAN",43
"CAF","CAN",29
"TCD","CAN",536
"CHN","CAN",6289
"CHL","CAN",76
"CMR","CAN",944
"COG","CAN",260
"COD","CAN",902
"COM","CAN",5
"COL","CAN",5281
"CRI","CAN",13
"CUB","CAN",586
"CZE","CAN",378
"DNK","CAN",5
"DJI","CAN",1128
"DMA","CAN",7
"DOM","CAN",116
"ECU","CAN",43
"GNQ","CAN",19
"ERI","CAN",1922
"EST","CAN",5
"ETH","CAN",1224
"FJI","CAN",20
"GAB","CAN",33
"GMB","CAN",90
"PSE","CAN",1626
"GEO","CAN",357
"GHA","CAN",311
"GNB","CAN",8
"GRD","CAN",26
"GTM","CAN",447
"GIN","CAN",375
"GUY","CAN",131
"HTI","CAN",6687
"HND","CAN",922
"HRV","CAN",269
"HUN","CAN",3853
"ISL","CAN",5
"CIV","CAN",150
"IND","CAN",1498
"IDN","CAN",109
"IRN","CAN",4353
"ISR","CAN",190
"JAM","CAN",888
"JOR","CAN",163
"KAZ","CAN",159
"KEN","CAN",157
"KGZ","CAN",68
"KOR","CAN",62
"PRK","CAN",412
"LBR","CAN",24
"LBY","CAN",1590
"LCA","CAN",784
"LBN","CAN",601
"LKA","CAN",2278
"LTU","CAN",17
"LVA","CAN",70
"MDG","CAN",19
"MRT","CAN",151
"MKD","CAN",19
"MDA","CAN",103
"MEX","CAN",3362
"MLI","CAN",168
"MWI","CAN",16
"MNG","CAN",154
"MAR","CAN",125
"MLT","CAN",5
"MUS","CAN",11
"NAM","CAN",270
"NLD","CAN",8
"NER","CAN",66
"NIC","CAN",262
"NGA","CAN",7604
"PAK","CAN",5464
"PAN","CAN",27
"PRY","CAN",21
"PER","CAN",163
"PHL","CAN",64
"PNG","CAN",5
"POL","CAN",61
"PRT","CAN",5
"ROU","CAN",429
"RUS","CAN",697
"RWA","CAN",859
"SLV","CAN",1570
"SAU","CAN",383
"SRB","CAN",231
"SEN","CAN",215
"SYC","CAN",5
"SGP","CAN",13
"SLE","CAN",33
"SOM","CAN",2067
"ESP","CAN",16
"KNA","CAN",44
"SDN","CAN",1556
"SUR","CAN",5
"SSD","CAN",9
"SVK","CAN",1190
"SVN","CAN",7
"SWZ","CAN",121
"TZA","CAN",137
"TJK","CAN",32
"TKM","CAN",23
"TLS","CAN",5
"TGO","CAN",89
"TTO","CAN",85
"TUN","CAN",171
"TUR","CAN",6167
"UGA","CAN",574
"UKR","CAN",1209
"UZB","CAN",150
"VCT","CAN",868
"VEN","CAN",3347
"YEM","CAN",1810
"ZWE","CAN",750
"XXA","CAN",43
,"CAN",2149
"AGO","CAF",13
"BDI","CAF",22
"TCD","CAF",1703
"CMR","CAF",18
"COG","CAF",15
"COD","CAF",4459
"GIN","CAF",6
"CIV","CAF",6
"LBR","CAF",5
"RWA","CAF",212
"SDN","CAF",385
"SSD","CAF",1803
"TUR","CAF",5
"UGA","CAF",7
"CUB","CYM",38
"BDI","TCD",5
"CAF","TCD",93507
"CMR","TCD",6
"COG","TCD",11
"COD","TCD",242
"ERI","TCD",6
"ETH","TCD",18
"CIV","TCD",5
"IRN","TCD",5
"LBY","TCD",24
"MLI","TCD",7
"NER","TCD",654
"NGA","TCD",13947
"RWA","TCD",13
"SOM","TCD",7
"SDN","TCD",363597
"SSD","TCD",9
"SYR","TCD",40
"YEM","TCD",5
"AFG","CHN",20
"BDI","CHN",7
"CMR","CHN",5
"COD","CHN",10
"ERI","CHN",9
"PSE","CHN",13
"IRN","CHN",5
"IRQ","CHN",17
"PAK","CHN",27
"SOM","CHN",113
"VNM","CHN",303095
"SYR","CHN",41
"UGA","CHN",5
"YEM","CHN",21
"ZWE","CHN",5
"AFG","CHL",13
"COG","CHL",8
"COD","CHL",5
"COL","CHL",1231
"CRI","CHL",5
"CUB","CHL",19
"ECU","CHL",23
"PSE","CHL",15
"HND","CHL",5
"KEN","CHL",5
"LKA","CHL",5
"PER","CHL",113
"RUS","CHL",5
"SLV","CHL",9
"SEN","CHL",5
"SYR","CHL",113
"TUR","CHL",27
"VEN","CHL",14
,"CHL",433
"AGO","CMR",5
"BDI","CMR",68
"KHM","CMR",5
"CAF","CMR",296190
"TCD","CMR",1612
"COG","CMR",54
"COD","CMR",528
"GIN","CMR",14
"CIV","CMR",72
"IRN","CMR",5
"LBR","CMR",9
"MRT","CMR",5
"MLI","CMR",18
"MAR","CMR",7
"NGA","CMR",115774
"RWA","CMR",329
"SDN","CMR",102
"SSD","CMR",13
"SYR","CMR",24
"TGO","CMR",17
"YEM","CMR",5
"AGO","COG",14
"BDI","COG",66
"CAF","COG",16021
"TCD","COG",26
"CMR","COG",5
"COD","COG",9715
"CIV","COG",5
"MRT","COG",5
"MLI","COG",5
"RWA","COG",811
"SDN","COG",29
"AGO","COD",510
"BDI","COD",48582
"CAF","COD",172162
"TCD","COD",5
"COG","COD",704
"ERI","COD",6
"CIV","COD",7
"LBR","COD",5
"RWA","COD",214473
"SOM","COD",14
"SDN","COD",32
"SSD","COD",89058
"SYR","COD",8
"UGA","COD",20
"AFG","COL",9
"BOL","COL",5
"CUB","COL",73
"ECU","COL",8
"ERI","COL",5
"ETH","COL",17
"HND","COL",5
"HUN","COL",5
"IRQ","COL",9
"NIC","COL",14
"ROU","COL",7
"SLV","COL",11
"SRB","COL",7
"SLE","COL",5
"SOM","COL",11
"SYR","COL",8
"TUR","COL",5
"VEN","COL",444
,"COL",5
"BDI","CRI",5
"COD","CRI",12
"COL","CRI",2327
"CUB","CRI",391
"ETH","CRI",5
"GTM","CRI",25
"HTI","CRI",12
"HND","CRI",199
"IDN","CRI",5
"IRN","CRI",5
"IRQ","CRI",5
"MEX","CRI",13
"NIC","CRI",3397
"NGA","CRI",17
"PAK","CRI",5
"PAN","CRI",5
"PER","CRI",13
"RUS","CRI",25
"SLV","CRI",1318
"SOM","CRI",7
"SYR","CRI",5
"UKR","CRI",13
"USA","CRI",5
"VEN","CRI",906
"AFG","CUB",36
"ERI","CUB",13
"ETH","CUB",6
"HTI","CUB",5
"IRN","CUB",10
"SDN","CUB",10
"SYR","CUB",40
"ESH","CUB",100
"YEM","CUB",15
"AFG","CYP",16
"DZA","CYP",8
"EGY","CYP",118
"ARM","CYP",28
"BGD","CYP",5
"BIH","CYP",15
"CHN","CYP",5
"CMR","CYP",78
"COG","CYP",10
"COD","CYP",25
"ERI","CYP",53
"ETH","CYP",10
"GMB","CYP",5
"PSE","CYP",2076
"GEO","CYP",132
"GIN","CYP",5
"CIV","CYP",5
"IND","CYP",8
"IRN","CYP",571
"IRQ","CYP",931
"JOR","CYP",38
"KAZ","CYP",5
"KGZ","CYP",5
"LBY","CYP",11
"LBN","CYP",52
"LKA","CYP",27
"MDA","CYP",18
"NGA","CYP",14
"PAK","CYP",19
"PHL","CYP",12
"RUS","CYP",77
"RWA","CYP",5
"SRB","CYP",59
"SLE","CYP",24
"SOM","CYP",283
"SDN","CYP",13
"SYR","CYP",7859
"TUR","CYP",225
"UKR","CYP",30
"UZB","CYP",5
"YEM","CYP",26
"XXA","CYP",56
"AFG","CZE",46
"EGY","CZE",9
"ARM","CZE",29
"AZE","CZE",22
"BDI","CZE",5
"BLR","CZE",178
"BIH","CZE",5
"CHN","CZE",33
"CMR","CZE",5
"COD","CZE",8
"CUB","CZE",47
"ERI","CZE",13
"ETH","CZE",5
"GEO","CZE",15
"GIN","CZE",5
"IRN","CZE",6
"IRQ","CZE",148
"KAZ","CZE",111
"KGZ","CZE",22
"LBY","CZE",23
"LBN","CZE",5
"LKA","CZE",7
"MDA","CZE",18
"MNG","CZE",7
"MAR","CZE",5
"MMR","CZE",146
"NGA","CZE",8
"PAK","CZE",14
"RUS","CZE",184
"SAU","CZE",6
"SRB","CZE",9
"SLE","CZE",5
"SOM","CZE",14
"VNM","CZE",14
"SDN","CZE",11
"SYR","CZE",423
"TKM","CZE",7
"TGO","CZE",5
"TUR","CZE",11
"UGA","CZE",5
"UKR","CZE",310
"UZB","CZE",55
"YEM","CZE",23
"XXA","CZE",99
"AFG","DNK",2372
"EGY","DNK",16
"ARM","DNK",74
"AZE","DNK",36
"BDI","DNK",5
"BGD","DNK",18
"BLR","DNK",5
"BIH","DNK",5
"CHN","DNK",18
"CMR","DNK",7
"COG","DNK",5
"COD","DNK",73
"COL","DNK",5
"ERI","DNK",5380
"ETH","DNK",95
"GMB","DNK",5
"PSE","DNK",14
"GHA","DNK",5
"GNB","DNK",5
"CIV","DNK",14
"IND","DNK",5
"IRN","DNK",3134
"IRQ","DNK",298
"KEN","DNK",5
"KGZ","DNK",5
"PRK","DNK",7
"LBY","DNK",5
"LBN","DNK",27
"LKA","DNK",49
"MAR","DNK",9
"MMR","DNK",24
"NPL","DNK",5
"NIC","DNK",6
"NGA","DNK",9
"PAK","DNK",65
"RUS","DNK",801
"RWA","DNK",14
"SLV","DNK",5
"SOM","DNK",1305
"SDN","DNK",63
"SYR","DNK",19964
"TZA","DNK",5
"THA","DNK",5
"TJK","DNK",5
"TUR","DNK",15
"UGA","DNK",74
"UKR","DNK",28
"UZB","DNK",9
"VEN","DNK",5
"YEM","DNK",5
"ZMB","DNK",5
"ZWE","DNK",8
"XXA","DNK",2936
,"DNK",13
"ERI","DJI",434
"ETH","DJI",595
"IRQ","DJI",15
"PHL","DJI",5
"SOM","DJI",13399
"SDN","DJI",7
"SYR","DJI",10
"YEM","DJI",5401
"HTI","DOM",162
"AFG","ECU",150
"ALB","ECU",6
"AGO","ECU",5
"BGD","ECU",5
"BRA","ECU",5
"CHN","ECU",12
"CHL","ECU",7
"CMR","ECU",18
"COG","ECU",5
"COD","ECU",8
"COL","ECU",103464
"CUB","ECU",214
"DOM","ECU",5
"ERI","ECU",11
"ETH","ECU",5
"PSE","ECU",9
"GHA","ECU",5
"GIN","ECU",9
"HTI","ECU",21
"IND","ECU",5
"IRN","ECU",62
"IRQ","ECU",62
"LBR","ECU",6
"LBY","ECU",6
"LBN","ECU",19
"LKA","ECU",18
"MKD","ECU",14
"MLI","ECU",5
"MAR","ECU",5
"NPL","ECU",5
"NIC","ECU",5
"NGA","ECU",37
"PAK","ECU",29
"PER","ECU",82
"RUS","ECU",35
"RWA","ECU",5
"SLV","ECU",35
"SAU","ECU",8
"SOM","ECU",8
"ESP","ECU",5
"VNM","ECU",5
"SDN","ECU",5
"SYR","ECU",153
"TUR","ECU",5
"UKR","ECU",14
"USA","ECU",7
"UZB","ECU",5
"VEN","ECU",416
"ESH","ECU",5
"YEM","ECU",113
"ZWE","ECU",5
,"ECU",27
"ETH","ERI",15
"SOM","ERI",78
"SDN","ERI",99
"SSD","ERI",7
"AFG","EST",8
"EGY","EST",5
"AZE","EST",5
"ERI","EST",7
"GEO","EST",5
"IRQ","EST",22
"LKA","EST",5
"PAK","EST",5
"RUS","EST",31
"SRB","EST",6
"SDN","EST",17
"SYR","EST",104
"TUR","EST",22
"UKR","EST",45
"YEM","EST",5
"EGY","ETH",5
"BDI","ETH",46
"COD","ETH",736
"CUB","ETH",5
"DJI","ETH",49
"ERI","ETH",176556
"CIV","ETH",5
"IRQ","ETH",10
"KEN","ETH",4033
"RWA","ETH",11
"SOM","ETH",200390
"SDN","ETH",42658
"SSD","ETH",344275
"UGA","ETH",7
"YEM","ETH",1969
"AFG","FJI",8
"PAK","FJI",6
"AFG","FIN",3310
"ALB","FIN",5
"DZA","FIN",12
"AGO","FIN",99
"EGY","FIN",26
"AZE","FIN",62
"BDI","FIN",5
"BGD","FIN",29
"BFA","FIN",5
"BLR","FIN",15
"BRA","FIN",5
"KHM","FIN",5
"CAF","FIN",5
"CHN","FIN",190
"CMR","FIN",114
"COG","FIN",8
"COD","FIN",117
"CUB","FIN",5
"DOM","FIN",5
"ERI","FIN",855
"ETH","FIN",147
"GMB","FIN",29
"GEO","FIN",5
"GHA","FIN",48
"GTM","FIN",5
"GIN","FIN",24
"HND","FIN",29
"CIV","FIN",8
"IND","FIN",5
"IDN","FIN",5
"IRN","FIN",959
"IRQ","FIN",8965
"JOR","FIN",5
"KAZ","FIN",14
"KEN","FIN",16
"KGZ","FIN",19
"LBR","FIN",5
"LBY","FIN",29
"LBN","FIN",13
"LKA","FIN",48
"MDA","FIN",6
"MLI","FIN",6
"MAR","FIN",43
"MMR","FIN",33
"NIC","FIN",38
"NGA","FIN",157
"PAK","FIN",76
"RUS","FIN",863
"RWA","FIN",30
"SLV","FIN",10
"SRB","FIN",56
"SEN","FIN",5
"SLE","FIN",6
"SOM","FIN",2752
"VNM","FIN",5
"SDN","FIN",51
"SSD","FIN",8
"SYR","FIN",2604
"TZA","FIN",5
"TJK","FIN",5
"TGO","FIN",5
"TUN","FIN",5
"TUR","FIN",668
"UGA","FIN",34
"UKR","FIN",11
"UZB","FIN",10
"VEN","FIN",7
"YEM","FIN",289
"ZWE","FIN",6
"XXA","FIN",427
,"FIN",142
"AFG","FRA",27199
"ALB","FRA",6040
"DZA","FRA",2067
"AGO","FRA",3719
"EGY","FRA",1093
"ARG","FRA",5
"ARM","FRA",4256
"AZE","FRA",2925
"BHR","FRA",10
"BDI","FRA",1231
"BEN","FRA",89
"BGD","FRA",6251
"BTN","FRA",125
"BFA","FRA",306
"BLR","FRA",526
"BOL","FRA",38
"BRA","FRA",23
"BIH","FRA",4115
"BGR","FRA",70
"KHM","FRA",10972
"CAF","FRA",3498
"TCD","FRA",2012
"CHN","FRA",8031
"CHL","FRA",66
"CMR","FRA",1627
"COG","FRA",3752
"COD","FRA",17822
"COM","FRA",668
"COL","FRA",608
"CRI","FRA",5
"CUB","FRA",201
