Partner,HS Code,Product,2015,2016,2017,2018,2019,2020
Mexico,709700010,ORG SPINACH FR/C,"3,898","4,531","4,589","5,381","14,361","14,672"
Mexico,808300010,ORG PEARS,"12,943","13,452","11,309","11,172","19,180","13,191"
Mexico,705190040,ORG LETTUCE X HD,574,206,91,440,"6,115","11,778"
Mexico,806100010,ORG GRAPES FRESH,"27,138","22,991","10,609","16,256","23,774","8,553"
Mexico,706103030,ORG CARROT NESOI,108,272,342,494,"1,166","3,133"
Mexico,901210010,ORG COFFE RST ND,"11,194","11,137","5,507","2,342","2,869","3,021"
Mexico,703100010,ORG ONION SET FR,"10,644","9,233","14,944","12,592","24,943","2,551"
Mexico,809301000,"ORG PEACH,NCTR","2,619","6,190","9,172","11,901","11,128","2,474"
Mexico,706103020,ORG CARROT <11CM,319,"1,603","1,485","1,733","1,950","1,707"
Mexico,810100010,ORG STRAWBERS FR,"3,115","6,290","4,056","3,482","2,426","1,682"
Mexico,705190020,ORG LETTUCE <1KG,"2,948","2,233","2,048","2,648","3,332","1,168"
Mexico,705110010,ORG HD LETTUCE,"2,056","2,582","2,656","2,283",807,626
Mexico,704100010,ORG CAULFLOWR FR,53,190,118,551,140,584
Mexico,704902010,ORG CABBAGE,380,416,434,361,353,482
Mexico,805502010,ORG LEMONS FR/D,182,510,458,385,798,406
Mexico,809290010,ORG CHER N/SR FR,185,504,"1,402",914,"1,420",398
Mexico,702000015,ORG CHERRY TOMAT,"6,219",434,457,147,91,292
Mexico,704904025,ORG BROCCOLI FR,432,642,151,229,126,245
Mexico,805400010,ORG GRAPEFRUIT,68,90,170,133,579,191
Mexico,709400010,ORG CELERY FR/CH,416,120,102,132,134,150
Mexico,702000035,ORG TOMATO OTHER,"4,919",66,91,96,83,147
Mexico,709600010,ORG PEPPERS FR/C,311,188,323,456,475,133
Mexico,2103204010,ORG TMTO SAUC NE,"1,362",567,246,229,114,128
Mexico,702000025,ORG ROMA PLM TOM,703,173,88,382,176,81
Mexico,709202000,ORG ASPARAGUS FC,0,17,38,74,54,74
Mexico,708101000,ORG PEAS FC,44,373,178,59,0,58
Mexico,810202000,ORG BERRIES,"1,350","1,320","1,662","2,077",0,32
Mexico,805100045,ORG ORANGES FR/D,23,945,"1,521",794,486,18
Mexico,701900070,ORG POTATO XSD,5,268,245,709,82,16
Mexico,705190030,ORG LETTUCE >1KG,48,0,0,0,6,16
Mexico,707000010,ORG CUCMBERS,0,11,82,0,12,14
Mexico,807111000,ORG WATERMELON,0,104,103,197,94,10
Mexico,706903100,ORG BEET FC,0,0,0,0,0,4
Mexico,805505010,ORG LIMES FD,0,8,0,10,37,0
Mexico,810400026,ORG CULT BLUEBER,10,0,0,11,193,0
Mexico,2005100010,"VEG ORG,NT/FRZ",0,0,93,179,169,0
Japan,806100010,ORG GRAPES FRESH,"4,873","6,435",725,"3,930","8,077","10,770"
Japan,805502010,ORG LEMONS FR/D,127,"1,296",139,"3,834","11,171","8,042"
Japan,810100010,ORG STRAWBERS FR,85,"6,200","6,731","7,650","6,711","6,378"
Japan,704904025,ORG BROCCOLI FR,653,269,13,214,"3,536","4,321"
Japan,809290010,ORG CHER N/SR FR,392,98,0,"3,869","5,344","4,184"
Japan,704100010,ORG CAULFLOWR FR,"9,795","8,075","3,814","6,219","3,482","2,969"
Japan,810202000,ORG BERRIES,"7,503","3,230","2,870","3,859","3,558","2,577"
Japan,901210010,ORG COFFE RST ND,433,371,407,669,750,"1,582"
Japan,2103204010,ORG TMTO SAUC NE,"1,738","1,319","1,746",955,"1,445","1,383"
Japan,805505010,ORG LIMES FD,0,5,660,192,310,642
Japan,705110010,ORG HD LETTUCE,13,788,"1,362","2,352",517,585
Japan,705190040,ORG LETTUCE X HD,0,"2,662","1,532",579,36,503
Japan,805100045,ORG ORANGES FR/D,113,391,538,801,"1,421",157
Japan,704902010,ORG CABBAGE,0,460,92,234,185,146
Japan,702000015,ORG CHERRY TOMAT,15,14,3,102,28,139
Japan,805400010,ORG GRAPEFRUIT,434,"1,687",897,"2,065","2,280",125
Japan,708101000,ORG PEAS FC,0,6,48,30,30,119
Japan,810400026,ORG CULT BLUEBER,"1,082",139,180,540,239,91
Japan,709202000,ORG ASPARAGUS FC,0,106,66,328,582,41
Japan,709400010,ORG CELERY FR/CH,54,"1,546",74,118,34,40
Japan,808100010,ORG APPLES FRESH,0,8,7,12,44,25
Japan,807111000,ORG WATERMELON,50,140,46,3,3,25
Japan,705190020,ORG LETTUCE <1KG,0,333,249,395,0,20
Japan,703100010,ORG ONION SET FR,0,128,5,81,12,16
Japan,706103020,ORG CARROT <11CM,0,7,8,3,0,3
Japan,709600010,ORG PEPPERS FR/C,0,0,0,0,0,3
Japan,702000035,ORG TOMATO OTHER,183,125,0,108,177,0
Japan,705190030,ORG LETTUCE >1KG,0,0,0,6,0,0
Japan,706103030,ORG CARROT NESOI,41,0,5,11,6,0
Japan,809301000,"ORG PEACH,NCTR",0,0,0,0,28,0
Japan,2005100010,"VEG ORG,NT/FRZ",0,0,0,0,22,0
"Korea, South",806100010,ORG GRAPES FRESH,620,"7,846","4,901","18,852","11,427","14,058"
"Korea, South",809290010,ORG CHER N/SR FR,991,359,"2,954","6,382","2,478","6,601"
"Korea, South",705190040,ORG LETTUCE X HD,0,"1,476",7,350,92,"4,042"
"Korea, South",805100045,ORG ORANGES FR/D,0,35,642,0,42,"2,970"
"Korea, South",901210010,ORG COFFE RST ND,763,608,"1,969","5,390","1,959","2,895"
"Korea, South",810400026,ORG CULT BLUEBER,339,109,"2,798","1,271","1,780","1,525"
"Korea, South",805400010,ORG GRAPEFRUIT,"1,808","2,768","4,542","2,094","1,337","1,176"
"Korea, South",2103204010,ORG TMTO SAUC NE,882,724,"1,112","1,041",756,"1,129"
"Korea, South",708101000,ORG PEAS FC,0,160,358,386,839,375
"Korea, South",805502010,ORG LEMONS FR/D,23,"2,314","2,520",963,618,153
"Korea, South",2005100010,"VEG ORG,NT/FRZ",0,0,45,69,0,132
"Korea, South",702000015,ORG CHERRY TOMAT,0,111,0,0,417,131
"Korea, South",705110010,ORG HD LETTUCE,6,"1,492","1,484",881,421,87
"Korea, South",704902010,ORG CABBAGE,0,107,22,0,0,54
"Korea, South",703100010,ORG ONION SET FR,0,7,76,22,0,39
"Korea, South",704100010,ORG CAULFLOWR FR,0,18,45,17,0,15
"Korea, South",702000025,ORG ROMA PLM TOM,0,0,0,0,0,0
"Korea, South",702000035,ORG TOMATO OTHER,20,0,0,13,0,0
"Korea, South",705190020,ORG LETTUCE <1KG,0,0,90,53,0,0
"Korea, South",706103030,ORG CARROT NESOI,0,0,0,3,0,0
"Korea, South",706903100,ORG BEET FC,3,0,22,29,0,0
"Korea, South",709202000,ORG ASPARAGUS FC,0,17,11,0,0,0
"Korea, South",709600010,ORG PEPPERS FR/C,368,30,0,0,0,0
"Korea, South",805505010,ORG LIMES FD,0,0,0,0,0,0
"Korea, South",807111000,ORG WATERMELON,0,"1,403",120,0,0,0
"Korea, South",808100010,ORG APPLES FRESH,0,0,9,4,0,0
"Korea, South",808300010,ORG PEARS,0,0,0,0,634,0
"Korea, South",809301000,"ORG PEACH,NCTR",0,0,0,0,21,0
"Korea, South",810100010,ORG STRAWBERS FR,0,154,0,0,5,0
Taiwan,705110010,ORG HD LETTUCE,0,"7,591","7,487","6,769","6,681","6,521"
Taiwan,808100010,ORG APPLES FRESH,"2,716","3,647","5,598","5,845","6,689","6,378"
Taiwan,806100010,ORG GRAPES FRESH,845,"2,014","1,719","1,399","1,807","4,447"
Taiwan,809301000,"ORG PEACH,NCTR","1,092","1,458","2,220","1,488",616,"3,197"
Taiwan,901210010,ORG COFFE RST ND,698,68,92,590,"2,420","2,574"
Taiwan,709400010,ORG CELERY FR/CH,"2,088","3,677","2,685","2,370","1,592","1,804"
Taiwan,704100010,ORG CAULFLOWR FR,"2,961","4,170","3,242","2,334","1,778","1,398"
Taiwan,809290010,ORG CHER N/SR FR,284,154,947,237,241,"1,089"
Taiwan,702000015,ORG CHERRY TOMAT,0,0,4,0,0,667
Taiwan,2103204010,ORG TMTO SAUC NE,162,64,193,210,160,296
Taiwan,810400026,ORG CULT BLUEBER,150,22,51,44,28,258
Taiwan,805100045,ORG ORANGES FR/D,427,"1,091",492,552,270,87
Taiwan,705190040,ORG LETTUCE X HD,237,59,34,8,9,61
Taiwan,704902010,ORG CABBAGE,0,99,22,30,10,31
Taiwan,703100010,ORG ONION SET FR,0,29,44,64,0,20
Taiwan,709202000,ORG ASPARAGUS FC,0,6,0,22,141,19
Taiwan,701900070,ORG POTATO XSD,85,61,0,26,0,0
Taiwan,704904025,ORG BROCCOLI FR,"4,252","3,787","2,111",18,0,0
Taiwan,705190020,ORG LETTUCE <1KG,0,25,0,34,13,0
Taiwan,705190030,ORG LETTUCE >1KG,4,3,0,0,0,0
Taiwan,706103020,ORG CARROT <11CM,0,0,0,17,9,0
Taiwan,706103030,ORG CARROT NESOI,41,84,10,3,0,0
Taiwan,708101000,ORG PEAS FC,64,0,14,0,3,0
Taiwan,805400010,ORG GRAPEFRUIT,0,0,30,0,9,0
Taiwan,805502010,ORG LEMONS FR/D,6,0,0,16,10,0
Taiwan,805505010,ORG LIMES FD,0,0,0,3,0,0
Taiwan,807111000,ORG WATERMELON,0,0,0,0,19,0
Taiwan,808300010,ORG PEARS,18,0,26,0,0,0
Taiwan,810100010,ORG STRAWBERS FR,0,11,0,0,10,0
Taiwan,810202000,ORG BERRIES,0,0,4,12,10,0
Hong Kong,806100010,ORG GRAPES FRESH,0,"3,630","1,597",53,"1,958","4,588"
Hong Kong,810202000,ORG BERRIES,755,645,552,"2,154","3,223","2,356"
Hong Kong,805100045,ORG ORANGES FR/D,"1,528",799,"2,824",266,119,"1,096"
Hong Kong,704100010,ORG CAULFLOWR FR,0,5,38,53,0,777
Hong Kong,709400010,ORG CELERY FR/CH,319,675,450,380,222,670
Hong Kong,808100010,ORG APPLES FRESH,886,909,303,"2,850","1,614",623
Hong Kong,702000015,ORG CHERRY TOMAT,130,0,0,0,0,296
Hong Kong,709600010,ORG PEPPERS FR/C,8,0,0,42,93,165
Hong Kong,809301000,"ORG PEACH,NCTR",18,14,210,0,169,130
Hong Kong,809290010,ORG CHER N/SR FR,180,65,220,61,489,115
Hong Kong,810400026,ORG CULT BLUEBER,283,945,448,43,44,34
Hong Kong,2005100010,"VEG ORG,NT/FRZ",0,0,6,0,12,27
Hong Kong,901210010,ORG COFFE RST ND,125,423,287,238,209,24
Hong Kong,709202000,ORG ASPARAGUS FC,0,3,92,25,55,22
Hong Kong,705110010,ORG HD LETTUCE,0,5,35,0,0,15
Hong Kong,705190040,ORG LETTUCE X HD,16,649,416,405,237,13
Hong Kong,701900070,ORG POTATO XSD,33,0,0,0,0,0
Hong Kong,702000025,ORG ROMA PLM TOM,0,6,0,0,0,0
Hong Kong,702000035,ORG TOMATO OTHER,0,0,0,0,0,0
Hong Kong,705190020,ORG LETTUCE <1KG,13,0,4,0,0,0
Hong Kong,705190030,ORG LETTUCE >1KG,12,0,0,0,0,0
Hong Kong,706103020,ORG CARROT <11CM,0,44,0,0,0,0
Hong Kong,706103030,ORG CARROT NESOI,0,80,450,224,0,0
Hong Kong,707000010,ORG CUCMBERS,0,101,0,0,0,0
Hong Kong,708101000,ORG PEAS FC,101,0,31,0,0,0
Hong Kong,805400010,ORG GRAPEFRUIT,339,66,161,0,0,0
Hong Kong,805502010,ORG LEMONS FR/D,54,451,690,0,0,0
Hong Kong,808300010,ORG PEARS,465,94,93,0,0,0
Hong Kong,810100010,ORG STRAWBERS FR,"5,496","1,342",45,255,464,0
Hong Kong,2103204010,ORG TMTO SAUC NE,73,38,109,136,3,0
Dominican Republic,705190030,ORG LETTUCE >1KG,0,0,819,"1,736","4,420","4,508"
Dominican Republic,808100010,ORG APPLES FRESH,22,199,"1,439","1,447","1,158","2,961"
Dominican Republic,806100010,ORG GRAPES FRESH,118,57,401,125,52,507
Dominican Republic,703100010,ORG ONION SET FR,0,31,0,4,0,86
Dominican Republic,808300010,ORG PEARS,0,0,141,55,6,85
Dominican Republic,704100010,ORG CAULFLOWR FR,3,4,0,0,9,81
Dominican Republic,705190040,ORG LETTUCE X HD,47,20,13,8,6,66
Dominican Republic,805100045,ORG ORANGES FR/D,0,0,36,0,0,64
Dominican Republic,2005100010,"VEG ORG,NT/FRZ",0,0,11,125,96,64
Dominican Republic,805502010,ORG LEMONS FR/D,0,0,24,12,32,60
Dominican Republic,809301000,"ORG PEACH,NCTR",3,0,49,20,3,46
Dominican Republic,709202000,ORG ASPARAGUS FC,3,0,29,51,30,29
Dominican Republic,708101000,ORG PEAS FC,65,31,78,0,175,26
Dominican Republic,706103030,ORG CARROT NESOI,0,0,0,0,0,13
Dominican Republic,705110010,ORG HD LETTUCE,0,11,19,3,0,11
Dominican Republic,901210010,ORG COFFE RST ND,0,7,64,74,0,4
Dominican Republic,701900070,ORG POTATO XSD,93,37,35,71,0,0
Dominican Republic,702000015,ORG CHERRY TOMAT,0,0,51,440,74,0
Dominican Republic,702000025,ORG ROMA PLM TOM,10,5,12,0,0,0
Dominican Republic,702000035,ORG TOMATO OTHER,14,0,0,0,0,0
Dominican Republic,705190020,ORG LETTUCE <1KG,0,13,344,97,0,0
Dominican Republic,709400010,ORG CELERY FR/CH,0,0,0,5,0,0
Dominican Republic,709600010,ORG PEPPERS FR/C,0,0,0,0,0,0
Dominican Republic,805400010,ORG GRAPEFRUIT,0,0,0,0,3,0
Dominican Republic,809290010,ORG CHER N/SR FR,0,3,0,0,0,0
Dominican Republic,810100010,ORG STRAWBERS FR,0,13,18,0,0,0
Dominican Republic,810202000,ORG BERRIES,7,6,3,4,16,0
Dominican Republic,810400026,ORG CULT BLUEBER,0,6,0,0,0,0
Dominican Republic,2103204010,ORG TMTO SAUC NE,5,0,0,0,11,0
Vietnam,806100010,ORG GRAPES FRESH,65,597,884,938,"2,253","5,858"
Vietnam,809290010,ORG CHER N/SR FR,4,22,185,0,41,"1,084"
Vietnam,808100010,ORG APPLES FRESH,788,697,"1,053",848,547,675
Vietnam,702000015,ORG CHERRY TOMAT,42,0,0,0,0,346
Vietnam,810400026,ORG CULT BLUEBER,0,0,15,0,220,294
Vietnam,810100010,ORG STRAWBERS FR,0,0,0,0,0,43
Vietnam,704904025,ORG BROCCOLI FR,0,0,0,0,0,39
Vietnam,708101000,ORG PEAS FC,0,0,0,0,0,31
Vietnam,808300010,ORG PEARS,0,0,0,0,5,15
Vietnam,709202000,ORG ASPARAGUS FC,0,0,0,0,6,0
Vietnam,709600010,ORG PEPPERS FR/C,0,14,0,0,0,0
Vietnam,805100045,ORG ORANGES FR/D,84,0,0,34,30,0
Vietnam,805502010,ORG LEMONS FR/D,0,0,392,0,0,0
Vietnam,809301000,"ORG PEACH,NCTR",0,0,12,28,0,0
Vietnam,810202000,ORG BERRIES,3,0,0,0,0,0
Vietnam,901210010,ORG COFFE RST ND,0,0,36,28,0,0
Vietnam,2005100010,"VEG ORG,NT/FRZ",0,0,3,0,0,0
United Arab Emirates,810100010,ORG STRAWBERS FR,"1,113","2,853","2,404","3,574","2,087","2,998"
United Arab Emirates,810202000,ORG BERRIES,"2,442","1,763","2,656","3,703","3,586","1,722"
United Arab Emirates,706103030,ORG CARROT NESOI,0,448,806,583,513,399
United Arab Emirates,810400026,ORG CULT BLUEBER,112,555,"1,222","1,748","1,132",293
United Arab Emirates,808300010,ORG PEARS,344,80,37,0,0,224
United Arab Emirates,2103204010,ORG TMTO SAUC NE,248,219,419,51,49,176
United Arab Emirates,706103020,ORG CARROT <11CM,0,0,53,109,168,170
United Arab Emirates,901210010,ORG COFFE RST ND,64,21,313,221,259,100
United Arab Emirates,709202000,ORG ASPARAGUS FC,0,5,0,3,329,98
United Arab Emirates,806100010,ORG GRAPES FRESH,"4,216",3,0,0,17,94
United Arab Emirates,809301000,"ORG PEACH,NCTR",0,0,5,0,65,58
United Arab Emirates,808100010,ORG APPLES FRESH,"5,573",90,173,426,23,35
United Arab Emirates,805502010,ORG LEMONS FR/D,0,0,0,0,0,16
United Arab Emirates,709600010,ORG PEPPERS FR/C,3,3,3,20,20,3
United Arab Emirates,701900070,ORG POTATO XSD,0,0,0,0,0,0
United Arab Emirates,702000035,ORG TOMATO OTHER,0,0,0,10,0,0
United Arab Emirates,704904025,ORG BROCCOLI FR,0,4,0,0,0,0
United Arab Emirates,705190040,ORG LETTUCE X HD,0,0,16,10,0,0
United Arab Emirates,708101000,ORG PEAS FC,0,74,5,0,0,0
United Arab Emirates,805100045,ORG ORANGES FR/D,232,0,0,0,0,0
United Arab Emirates,809290010,ORG CHER N/SR FR,24,0,0,0,0,0
United Arab Emirates,2005100010,"VEG ORG,NT/FRZ",0,0,0,0,4,0
Australia(*),806100010,ORG GRAPES FRESH,"4,148",238,679,545,404,"1,518"
Australia(*),809301000,"ORG PEACH,NCTR",683,146,272,"1,913","1,678","1,298"
Australia(*),2103204010,ORG TMTO SAUC NE,69,137,538,617,481,535
Australia(*),810400026,ORG CULT BLUEBER,272,248,493,554,505,360
Australia(*),805100045,ORG ORANGES FR/D,587,0,54,7,0,200
Australia(*),703100010,ORG ONION SET FR,0,375,156,20,0,173
Australia(*),805502010,ORG LEMONS FR/D,237,464,115,15,0,107
Australia(*),805400010,ORG GRAPEFRUIT,8,24,4,0,42,84
Australia(*),709202000,ORG ASPARAGUS FC,0,66,291,795,613,64
Australia(*),805505010,ORG LIMES FD,0,0,0,0,0,39
Australia(*),901210010,ORG COFFE RST ND,22,180,154,312,10,35
Australia(*),809290010,ORG CHER N/SR FR,199,0,10,5,119,31
Australia(*),702000015,ORG CHERRY TOMAT,62,6,0,0,0,16
Australia(*),704902010,ORG CABBAGE,0,0,0,0,0,3
Australia(*),702000035,ORG TOMATO OTHER,0,0,0,0,0,0
Australia(*),704100010,ORG CAULFLOWR FR,0,0,0,4,0,0
Australia(*),704904025,ORG BROCCOLI FR,4,0,0,0,0,0
Australia(*),706103030,ORG CARROT NESOI,0,3,5,0,5,0
Australia(*),708101000,ORG PEAS FC,0,0,65,0,0,0
Australia(*),810100010,ORG STRAWBERS FR,0,0,13,0,50,0
Australia(*),810202000,ORG BERRIES,89,0,301,0,7,0
Australia(*),2005100010,"VEG ORG,NT/FRZ",0,0,0,4,0,0
China,808100010,ORG APPLES FRESH,"1,160","1,036",609,669,91,"1,342"
China,809290010,ORG CHER N/SR FR,"2,218","1,335","3,044","1,863",60,922
China,702000015,ORG CHERRY TOMAT,221,4,3,0,0,848
China,2103204010,ORG TMTO SAUC NE,0,30,55,5,234,735
China,805100045,ORG ORANGES FR/D,"1,173","3,194",728,180,0,156
China,901210010,ORG COFFE RST ND,153,49,382,277,124,111
China,806100010,ORG GRAPES FRESH,793,873,7,46,12,94
China,706103020,ORG CARROT <11CM,14,0,0,8,92,56
China,2005100010,"VEG ORG,NT/FRZ",0,0,45,4,3,41
China,708101000,ORG PEAS FC,"1,458",0,3,0,0,15
China,808300010,ORG PEARS,0,206,6,0,34,6
China,809301000,"ORG PEACH,NCTR",0,0,56,0,38,5
China,709700010,ORG SPINACH FR/C,0,3,0,0,0,3
China,701900070,ORG POTATO XSD,0,0,0,0,26,0
China,702000035,ORG TOMATO OTHER,0,547,0,0,0,0
China,704100010,ORG CAULFLOWR FR,0,4,0,8,0,0
China,706103030,ORG CARROT NESOI,0,33,0,177,190,0
China,709400010,ORG CELERY FR/CH,0,14,12,0,0,0
China,805400010,ORG GRAPEFRUIT,0,0,0,0,0,0
China,805502010,ORG LEMONS FR/D,336,407,50,6,0,0
China,805505010,ORG LIMES FD,0,7,26,80,0,0
United Kingdom,808100010,ORG APPLES FRESH,24,"1,762",673,"4,384",389,"1,509"
United Kingdom,810202000,ORG BERRIES,170,100,258,533,688,881
United Kingdom,810100010,ORG STRAWBERS FR,10,94,39,0,80,348
United Kingdom,708101000,ORG PEAS FC,0,0,570,635,918,316
United Kingdom,901210010,ORG COFFE RST ND,516,204,326,245,777,205
United Kingdom,709202000,ORG ASPARAGUS FC,32,0,9,21,143,58
United Kingdom,703100010,ORG ONION SET FR,0,757,288,511,94,47
United Kingdom,2103204010,ORG TMTO SAUC NE,79,115,146,192,125,35
United Kingdom,706103030,ORG CARROT NESOI,8,23,0,0,0,33
United Kingdom,809290010,ORG CHER N/SR FR,0,0,0,808,324,33
United Kingdom,709600010,ORG PEPPERS FR/C,118,0,0,18,0,15
United Kingdom,702000015,ORG CHERRY TOMAT,0,3,0,0,0,0
United Kingdom,702000035,ORG TOMATO OTHER,0,0,0,3,0,0
United Kingdom,704100010,ORG CAULFLOWR FR,3,18,0,0,0,0
United Kingdom,704902010,ORG CABBAGE,0,0,3,0,0,0
United Kingdom,704904025,ORG BROCCOLI FR,43,0,0,0,0,0
United Kingdom,705110010,ORG HD LETTUCE,0,0,0,29,0,0
United Kingdom,705190020,ORG LETTUCE <1KG,0,0,4,0,0,0
United Kingdom,705190040,ORG LETTUCE X HD,0,104,"2,750",435,0,0
United Kingdom,709700010,ORG SPINACH FR/C,0,43,26,0,0,0
United Kingdom,805400010,ORG GRAPEFRUIT,0,0,6,6,0,0
United Kingdom,806100010,ORG GRAPES FRESH,"1,353",34,0,0,981,0
United Kingdom,808300010,ORG PEARS,0,27,15,0,0,0
United Kingdom,809301000,"ORG PEACH,NCTR",0,6,0,0,0,0
United Kingdom,810400026,ORG CULT BLUEBER,"1,289",0,0,0,0,0
United Kingdom,2005100010,"VEG ORG,NT/FRZ",0,0,19,50,0,0
Netherlands,810100010,ORG STRAWBERS FR,13,19,0,0,346,834
Netherlands,709202000,ORG ASPARAGUS FC,0,0,15,52,746,730
Netherlands,706103030,ORG CARROT NESOI,0,645,969,887,675,422
Netherlands,901210010,ORG COFFE RST ND,30,0,25,366,556,382
Netherlands,805502010,ORG LEMONS FR/D,0,0,0,0,0,326
Netherlands,810202000,ORG BERRIES,0,0,12,0,0,143
Netherlands,704904025,ORG BROCCOLI FR,0,0,57,21,37,54
Netherlands,805100045,ORG ORANGES FR/D,0,0,0,0,14,38
Netherlands,808100010,ORG APPLES FRESH,0,0,0,0,0,13
Netherlands,2103204010,ORG TMTO SAUC NE,45,0,0,7,0,7
Netherlands,703100010,ORG ONION SET FR,0,0,6,0,0,7
Netherlands,702000015,ORG CHERRY TOMAT,0,0,0,124,0,0
Netherlands,702000035,ORG TOMATO OTHER,0,3,0,0,0,0
Netherlands,704100010,ORG CAULFLOWR FR,3,0,27,0,0,0
Netherlands,704902010,ORG CABBAGE,0,0,11,0,0,0
Netherlands,705110010,ORG HD LETTUCE,0,47,11,0,0,0
Netherlands,705190040,ORG LETTUCE X HD,0,10,354,0,0,0
Netherlands,708101000,ORG PEAS FC,109,0,0,36,0,0
Netherlands,709600010,ORG PEPPERS FR/C,6,0,49,0,4,0
Netherlands,709700010,ORG SPINACH FR/C,0,9,0,0,0,0
Netherlands,805400010,ORG GRAPEFRUIT,73,0,0,0,0,0
Netherlands,805505010,ORG LIMES FD,0,0,0,67,0,0
Netherlands,808300010,ORG PEARS,129,0,0,0,0,0
Netherlands,809290010,ORG CHER N/SR FR,0,0,0,0,28,0
Netherlands,810400026,ORG CULT BLUEBER,6,431,0,0,0,0
Saudi Arabia,901210010,ORG COFFE RST ND,177,211,869,399,789,"1,151"
Saudi Arabia,810202000,ORG BERRIES,"1,996",601,779,442,68,"1,009"
Saudi Arabia,705190040,ORG LETTUCE X HD,0,"1,592","1,675","1,994","1,295",327
Saudi Arabia,2103204010,ORG TMTO SAUC NE,102,33,111,0,10,85
Saudi Arabia,810100010,ORG STRAWBERS FR,"1,536",876,141,48,52,84
Saudi Arabia,706103030,ORG CARROT NESOI,0,32,78,64,45,10
Saudi Arabia,709600010,ORG PEPPERS FR/C,0,0,0,3,0,8
Saudi Arabia,705190020,ORG LETTUCE <1KG,0,15,0,16,0,7
Saudi Arabia,705110010,ORG HD LETTUCE,0,0,0,0,0,6
Saudi Arabia,705190030,ORG LETTUCE >1KG,0,0,0,0,0,3
Saudi Arabia,704100010,ORG CAULFLOWR FR,0,0,3,3,0,0
Saudi Arabia,704904025,ORG BROCCOLI FR,6,0,0,0,0,0
Saudi Arabia,706103020,ORG CARROT <11CM,0,3,0,52,28,0
Saudi Arabia,708101000,ORG PEAS FC,370,14,3,0,21,0
Saudi Arabia,709202000,ORG ASPARAGUS FC,0,0,4,5,0,0
