Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1970,0.09,0.22,0.08,0.09,-0.05,-0.03,-0.04,-0.11,0.11,0.05,0.01,-0.13
1971,-0.02,-0.2,-0.18,-0.09,-0.06,-0.18,-0.12,-0.03,-0.01,-0.05,-0.04,-0.08
1972,-0.24,-0.17,0.02,-0.01,-0.03,0.04,0.02,0.18,0.03,0.09,0.03,0.18
1973,0.28,0.3,0.26,0.25,0.26,0.16,0.09,0.02,0.06,0.12,0.06,-0.06
1974,-0.14,-0.28,-0.05,-0.1,-0.01,-0.05,-0.03,0.12,-0.12,-0.07,-0.07,-0.09
1975,0.07,0.07,0.14,0.06,0.16,-0.02,-0.03,-0.2,-0.03,-0.09,-0.16,-0.17
1976,0,-0.06,-0.21,-0.1,-0.23,-0.15,-0.12,-0.18,-0.09,-0.26,-0.06,0.09
1977,0.18,0.2,0.25,0.27,0.3,0.25,0.23,0.19,0.02,0.04,0.2,0.05
1978,0.08,0.14,0.21,0.15,0.07,-0.03,0.07,-0.18,0.05,0,0.16,0.11
1979,0.14,-0.09,0.19,0.13,0.06,0.14,0.03,0.14,0.27,0.26,0.29,0.47
1980,0.3,0.42,0.29,0.32,0.34,0.16,0.28,0.24,0.21,0.2,0.3,0.21
1981,0.56,0.41,0.48,0.32,0.25,0.31,0.35,0.35,0.17,0.13,0.21,0.4
1982,0.09,0.14,-0.01,0.1,0.16,0.05,0.13,0.08,0.15,0.13,0.14,0.43
1983,0.52,0.4,0.42,0.3,0.35,0.18,0.15,0.3,0.38,0.15,0.3,0.17
1984,0.3,0.17,0.29,0.08,0.33,0.04,0.16,0.15,0.2,0.15,0.04,-0.06
1985,0.21,-0.06,0.17,0.11,0.17,0.17,0,0.15,0.14,0.11,0.09,0.15
1986,0.3,0.39,0.29,0.26,0.26,0.12,0.13,0.12,0.02,0.14,0.11,0.16
1987,0.36,0.46,0.17,0.24,0.26,0.36,0.46,0.28,0.39,0.32,0.25,0.47
1988,0.57,0.42,0.49,0.45,0.44,0.42,0.35,0.46,0.42,0.4,0.13,0.34
1989,0.16,0.35,0.36,0.33,0.17,0.15,0.34,0.36,0.37,0.32,0.21,0.37
1990,0.41,0.41,0.76,0.55,0.46,0.38,0.44,0.3,0.3,0.43,0.46,0.42
1991,0.42,0.51,0.36,0.53,0.39,0.54,0.51,0.42,0.5,0.32,0.31,0.33
1992,0.45,0.42,0.47,0.24,0.32,0.24,0.13,0.1,0.01,0.11,0.04,0.22
1993,0.37,0.39,0.36,0.28,0.26,0.24,0.28,0.13,0.11,0.24,0.07,0.19
1994,0.3,0.04,0.26,0.41,0.29,0.42,0.32,0.23,0.32,0.42,0.46,0.36
1995,0.5,0.77,0.45,0.47,0.29,0.45,0.49,0.48,0.34,0.49,0.45,0.3
1996,0.27,0.5,0.34,0.38,0.3,0.27,0.37,0.49,0.27,0.2,0.42,0.41
1997,0.33,0.37,0.52,0.38,0.39,0.55,0.35,0.43,0.56,0.64,0.66,0.6
1998,0.61,0.9,0.63,0.64,0.71,0.78,0.71,0.68,0.45,0.47,0.5,0.56
1999,0.48,0.66,0.34,0.34,0.33,0.37,0.41,0.34,0.43,0.43,0.42,0.46
2000,0.26,0.58,0.6,0.59,0.4,0.44,0.42,0.43,0.42,0.3,0.34,0.3
2001,0.44,0.46,0.58,0.52,0.59,0.55,0.61,0.49,0.56,0.52,0.7,0.55
2002,0.75,0.76,0.91,0.58,0.65,0.54,0.62,0.55,0.65,0.57,0.59,0.43
2003,0.73,0.55,0.57,0.55,0.62,0.49,0.55,0.66,0.66,0.75,0.55,0.75
2004,0.59,0.71,0.64,0.62,0.42,0.43,0.26,0.45,0.53,0.66,0.72,0.52
2005,0.72,0.58,0.69,0.69,0.65,0.67,0.66,0.63,0.78,0.8,0.76,0.68
2006,0.57,0.7,0.63,0.5,0.47,0.64,0.54,0.72,0.64,0.69,0.72,0.77
2007,0.96,0.7,0.7,0.76,0.67,0.58,0.62,0.6,0.64,0.6,0.57,0.5
2008,0.24,0.36,0.73,0.53,0.51,0.48,0.6,0.44,0.65,0.67,0.66,0.54
2009,0.62,0.53,0.53,0.61,0.65,0.65,0.72,0.66,0.7,0.64,0.77,0.65
2010,0.73,0.78,0.92,0.87,0.75,0.64,0.62,0.65,0.61,0.71,0.79,0.49
2011,0.51,0.53,0.64,0.65,0.53,0.59,0.73,0.73,0.56,0.66,0.56,0.54
2012,0.46,0.49,0.58,0.69,0.76,0.62,0.57,0.63,0.76,0.78,0.75,0.53
2013,0.68,0.55,0.66,0.52,0.61,0.65,0.59,0.66,0.78,0.69,0.81,0.67
2014,0.73,0.51,0.77,0.78,0.87,0.66,0.57,0.82,0.9,0.85,0.67,0.79
2015,0.81,0.86,0.9,0.74,0.78,0.78,0.71,0.78,0.81,1.06,1.04,1.11
2016,1.17,1.35,1.3,1.09,0.93,0.76,0.83,0.98,0.87,0.89,0.93,0.81
