2019 ranking,Country,Code,Status,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000 people)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000 people)",Access to clean fuels and technology for cooking (% of pop.),"Homicide rate (deaths/100,000 people)",Perceived criminality (1=low; 5=high),Political killings and torture (0=low freedom; 1=high freedom),"Traffic deaths (deaths/100,000 people)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (distance from parity),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Access to online governance (0=low; 1=high),Media censorship (0=frequent; 4=rare),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000 people)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000 people)",Greenhouse gas emissions (CO2 equivalents/GDP),Biome protection,Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no rights; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (1=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
29,Malta,MLT,Ranked,82.63,92.99,87.95,66.95,97.72,99.99,91.59,82.67,94.37,89.34,83.42,84.68,88.89,79.53,70.77,28.61,2.5,11.46,6.4,3.012,21.1401,100,100,99.956,0,100,4.91195,0.278692,100,0.935419,,0.934,4.07157,93.3074,97.8867,89.481,1.04234,3.771,140.369,80.0714,0.8483,3.656,23.5639,216.462,89.608,3.716,21.8601,121.433,17,35,0.872,3.181,0.955,4.705,9.835,0,78.8,54,83.9712,3.3,2.212,3.283,2.578,2.35341,11,0,0
138,Mauritania,MRT,Ranked,42.45,53.37,45.51,28.45,64.06,47.34,50.90,51.20,50.62,49.76,51.75,29.92,46.21,37.44,24.22,5.95,11.3,427.032,79,29.243,203.093,70.6962,52.2783,48.4355,58.4498,42.9123,2.0934,48.3215,46.56,9.94169,4,0.388,24.2148,,76.607,25.1972,0.95831,0.32,92.1717,20.801,0.1798,2.721,18.8858,364.774,56.078,0.921,34.5662,6508.53,0.628828,11,0.651,0.937,0.251,4.035,52.81,29,30,27,3.1323,7,1.296,0.854,1.07,0.27811,3.5,0,0
44,Mauritius,MUS,Ranked,74.88,91.30,72.60,60.75,91.37,98.76,91.70,83.38,91.03,76.51,66.91,55.94,91.49,68.02,60.06,23.41,5.8,55.09,13.1,14.28,35.3143,99.8663,99.8581,95.5048,0.220899,98.0314,5.45915,3.42627,93.34,1.82194,2,0.927,12.0403,93.1578,98.8997,84.5372,1.07121,3.327,145.399,55.5567,0.691,3.11,20.5651,410.928,71.651,3.199,44.6034,333.708,5.57895,37,0.914,3.621,0.892,4.677,16.259,7,54.7,51,44.2916,3.8,2.895,2.101,2.317,1.94219,9.1,0,0
55,Mexico,MEX,Ranked,71.51,82.31,74.67,57.54,92.53,95.71,87.33,53.68,81.93,81.37,65.26,70.13,77.68,60.59,48.62,43.27,3.8,44.367,13.4,13.389,34.0148,99.3182,95.9977,91.1831,3.21272,100,4.86841,10.8321,85.35,19.264,4,0.556,16.7756,94.8596,99.2191,77.6726,1.08827,1.23,88.5154,63.8522,0.9438,2.989,21.9111,276.909,70.477,1.563,30.1243,327.224,13.8285,27,0.859,3.846,0.401,4.622,26.819,19,80.6,28,58.1631,6.6,1.631,1.768,2.65,1.99409,8.4,25,25
70,Moldova,MDA,Ranked,67.58,82.36,69.31,51.09,92.85,81.77,86.59,68.22,87.69,82.01,59.44,48.09,80.92,59.81,36.17,27.46,,18.494,15.5,8.194,33.4417,89.0557,66.1406,76.3082,0.233333,100,4.3302,9.42044,92.19,3.19415,4,0.806,11.1647,99.1383,90.8523,77.8548,0.99347,2.841,90.4166,76.1245,0.8596,2.753,19.3452,499.004,72.601,2.264,39.1715,846.921,3.52106,24,0.745,3.475,0.816,4.778,34.255,12,65.8,33,4.4619,7,1.44,1.71,2.345,1.92539,11.5,0,0
83,Mongolia,MNG,Ranked,65.60,72.16,65.82,58.81,86.80,56.82,69.61,75.40,91.01,69.46,50.58,52.26,89.54,62.26,51.77,31.68,18.7,42.675,17.2,15.577,39.8955,83.3131,25.1296,58.4794,30.2016,85.8697,3.97534,34.2808,42.8,5.65592,2,0.83,17.1959,98.257,99.4153,,1.07284,2.868,126.353,23.7143,0.736,3.145,17.4486,716.331,65.653,2.572,46.0786,1294.78,13.1723,36,0.906,3.825,0.731,4.817,48.905,5,70.5,37,6.0838,3.2,2.154,2.366,2.387,3.15438,10.6,0,0
58,Montenegro,MNE,Ranked,71.16,84.95,76.88,51.66,96.61,94.67,82.38,66.14,95.33,78.02,68.62,65.54,74.72,66.89,34.31,30.71,2.5,7.223,3.5,9.674,9.78657,97.0421,84.8794,97.7739,0.156716,100,4.57021,17.1768,69.35,4.45562,4,0.704,8.18923,98.4422,97.345,89.3596,0.99579,3.631,166.096,71.2723,0.7416,2.113,19.9412,418.034,80.717,3.261,29.6105,476.862,12.2371,23,0.638,3.719,0.69,4.248,13.267,2,45.7,45,12.5287,8.5,1.548,1.748,2.023,2.91179,10.7,0,0
82,Morocco,MAR,Ranked,66.04,84.15,65.95,48.02,87.66,81.17,93.40,74.36,72.43,75.89,56.22,59.26,62.72,62.14,35.32,31.92,3.9,133.518,23.3,16.285,51.2819,86.7785,78.0037,88.5036,18.8575,100,5.57973,2.32525,96.75,1.23839,3,0.856,21.2044,69.4254,97.5033,63.3132,0.8948,1.465,122.878,61.7622,0.7753,1.983,19.8494,460.646,61.125,1.863,63.171,421.994,16.9854,14,0.661,1.435,0.865,4.192,48.816,11,73.9,43,7.207,8.5,1.79,1.469,2.422,1.70348,4.5,5,35
135,Mozambique,MOZ,Ranked,45.39,46.01,51.77,38.39,55.36,38.56,34.46,55.68,58.44,39.94,40.38,68.34,65.44,30.12,53.47,4.55,30.5,210.748,72.4,37.016,639.313,55.694,35.5672,29.3603,38.0066,27.4255,2.97187,111.126,3.69,3.40431,4,0.489,29.6827,56.039,87.5371,18.8837,0.90514,1.937,40.0269,20.774,0.4438,2.56,15.5681,581.326,45.86,1.382,13.5432,1218.43,16.6318,19,0.679,3.753,0.67,2.508,83.086,41,51.4,23,33.9281,5.6,1.809,2.588,2.905,0.34681,2.5,0,0
113,Myanmar,MMR,Ranked,52.65,62.22,56.43,39.29,74.54,62.47,51.22,60.66,72.04,48.65,48.60,56.42,52.95,55.65,37.61,10.94,10.5,211.086,48.6,31.403,150.632,81.774,24.5527,64.3327,12.9607,69.8148,2.72499,72.5826,18.4,2.26531,4,0.533,22.3146,75.5512,97.7122,59.4518,1.09599,1.042,89.8372,30.6782,0.1348,2.272,18.0513,510.164,58.385,1.152,38.2994,449.144,6.15462,13,0.546,2.262,0.495,3.293,59.545,13,76.2,29,33.7881,9.8,2.039,1.682,1.849,0.82697,4.9,0,0
