supplier,recipient,no_ordered,weapon_designation,weapon_description,year_of_order,year_of_delivery,no_delivered,comments
China,Pakistan,-100,Yu-4 533mm,AS torpedo,-2015,,,For 6 Type-041 submarines
China,Pakistan,-200,LY-80,SAM,-2017,,,For Type-054A/P frigates
China,Pakistan,4,Type-054A,Frigate,2017,,,Type-54A/P version; delivery planned 2021-2022
China,Pakistan,-48,Wing Loong-2,Armed UAV,-2018,,,
China,Pakistan,5,YLC-18,Air search radar,-2018,,,$25 m deal; YLC-18A version
China,Pakistan,,CH-4,Armed UAV,2019,,,
China,Pakistan,-100,VT-4,Tank,2019,2020,-4,
China,Saudi Arabia,-50,Wing Loong-2,Armed UAV,2017,2017-2020,-35,
China,Serbia,-9,CH-92,Armed UAV,2019,2020,-9,Possibly $30 m deal (incl technology transfers for development of Serbian Pegasus UAV); CH-92A version
China,Serbia,-50,FT-8,ASM,2019,2020,-50,FT-8C version; for CH-92A UAV
China,Thailand,. .,WS-3A 300mm,Guided rocket,-2012,2015-2020,-132,For WS-1 (DTi-1) MRL
China,Thailand,-58,VT-4,Tank,2016,2017-2019,48,THB9.2 b ($300 m) deal; delivery probably planned by end-2021
China,Thailand,,C-708UNA,Anti-ship missile,2017,,,For S26T submarines
China,Thailand,1,S26T,Submarine,2017,,,THB13.5 b ($390 m) deal; delivery planned 2023
China,Thailand,,Yu-8 533mm,AS/ASW torpedo,2017,,,For S26T submarine; designation uncertain (reported as 'torpedo')
China,Thailand,12,PLL-05 120mm,Self-propelled mortar,2019,2020,-4,Part of THB2.3 b ($74 m) deal; delivery planned 2020-2021
China,Thailand,26,Type-07,APC,2019,2020,-10,"Part of THB2.3 b ($74 m) deal; incl 9 ARV, 12 command post, 3 ambulance and 2 maintenance versions; delivery probably planned by 2020-2021"
China,Thailand,1,Type-071,AALS,2019,,,THB4-6.1 b ($130-200 m) deal; delivery planned 2023
China,Thailand,3,Type-07P,IFV,2019,,,Part of THB2.3 b ($74 m) deal; delivery probably planned 2021
China,Thailand,3,ZTD-05,Light tank,2020,,,THB398 m ($13 m) deal
China,UAE,-500,Blue Arrow-7,Anti-tank missile,2017,2017-2020,-500,For Wing Loong-2 UCAV
China,UAE,-5,SR-5,Self-propelled MRL,-2018,2020,-5,
China,Unknown recipient(s),,CR500 Golden Eagle,Armed UAV,-2019,,,
China,Unknown recipient(s),,FTC-2000G,Trainer/combat ac,2020,,,For South East Asian state (probably Cambodia or Myanmar); delivery planned from 2021
China,Venezuela,-20,C-802,Anti-ship missile,2017,,,For POVZEE (Avante-2200 or Guaiquerí) OPV
China,Zambia,-6,CS/VP3,APC,-2020,2020,-6,For police
Colombia,Guatemala,1,BAL-C,Landing craft,-2020,,,
Colombia,Peru,1,An-32,Transport aircraft,2019,2020,1,Second-hand; $3.1 m deal; An-32B version
Czechia,Indonesia,,RM-70 Vampire 122mm,Self-propelled MRL,-2020,,,Assembled or produced under licence in Indonesia; selected but not yet ordered by end-2020
Czechia,Brazil,-45,T3-928,Diesel engine,-2013,2017-2020,-40,T3C-928-90 version; for 45 ASTROS-2 Mk-6 MLR (AV-LMU) produced in Brazil (on T815-7 6x6 wheeled chassis from Czechia)
Czechia,Denmark,18,T3-928,Diesel engine,-2017,2019,2,For 18 CAESAR self-propelled guns from France
