supplier,recipient,no_ordered,weapon_designation,weapon_description,year_of_order,year_of_delivery,no_delivered,comments
Israel,Brazil,10,RecceLite,Aircraft recce system,2006,2014-2020,-8,Part of $50 m deal; for modernized AMX (A-1) combat aircraft
Israel,Brazil,-12,EL/M-2032,Combat ac radar,2009,2015-2020,-9,For modernization of 12 A-4KU (AF-1) combat aircraft
Israel,Brazil,4,Air refuel system,Air refuel system,-2014,,,For modernization of 4 C-1 transport aircraft to KC-2 tanker/transport aircraft
Israel,Brazil,1,EL/M-2022,MP aircraft radar,-2014,2020,1,EL/M-2022A(V)3 version for 1 C295 (SC-105A) transport/SAR aircraft from Spain
Israel,Brazil,. .,Spike-ER,Anti-tank missile,-2020,,,For Super Lynx (AH-11B) helicopters; for anti-ship role; selected 2020 but possibly not yet ordered by end-2020
Israel,Canada,16,EL/M-2022,MP aircraft radar,2017,2019-2020,-3,For 16 C-295W maritime patrol aircraft
Israel,Cote d'Ivoire,2,OPV-45,Patrol craft,2019,,,
Israel,Czechia,-150,I-Derby,BVRAAM/SAM,-2020,,,For SPYDER-SR SAM systems
Israel,Czechia,-150,Python-5,BVRAAM,-2020,,,For SPYDER-SR SAM systems
Israel,Czechia,-4,SPYDER-SR,SAM system,-2020,,,Selected 2020 but not yet ordered by end-2020
Israel,Denmark,-15,CARDOM 120mm,Mortar,2015,2018-2020,-12,For Piranha-5 from Switzerland; delivery planned 2018-2021
Israel,Estonia,,Spike-MR/LR,Anti-tank missile,2019,,,From German EuroSpike production line
Israel,Finland,-50,Gabriel-5 ANAM,Anti-ship missile,2018,2020,-15,"EUR162 m deal (EUR193 m option on more); Gabriel-5 version; Finnish designation SSM-2020, for Hamina FAC and Pohjanmaa (Squadron 2020) corvettes and coastal defence systems"
Israel,Finland,,EL/M-2311,Air search radar,2019,,,Delivery planned 2021
Israel,Germany,-5,Heron-TP,Armed UAV,-2018,,,$600m 9-year lease (via German company)
Israel,Greece,2,Heron,MP UAV,2020,,,$39 m 3-year lease
Israel,India,-40,EL/M-2032,Combat ac radar,-2007,2016-2020,-20,For 40 Tejas (LCA) Mk-1 combat aircraft produced in India
Israel,India,5,Barak-MX,Naval SAM system,-2009,2014-2016,3,For 3 Kolkata (Project-15A) destroyers and 1 Vikrant (IAC) aircraft carrier produced in India and for modernization of 1 Vikramaditya (Gorshkov) aircraft carrier
Israel,India,-4,EL/M-2221 STGR,Fire control radar,-2010,2014-2020,4,For 4 Kamorta (Project-28) frigates produced in India
Israel,India,4,EL/M-2248 MF-STAR,Multifuntion radar,-2013,,,For 4 Visakhapatnam (Project-15B) destroyers produced in India
Israel,India,-8,EL/M-2221 STGR,Fire control radar,-2014,,,For 4 Visakhapatnam (Project-15B) destroyers produced in India
Israel,India,1,EL/M-2248 MF-STAR,Multifuntion radar,-2015,,,For 1 Vikrant aircraft carrier produced in India
Israel,India,4,EL/M-2083 APR,Air search radar,-2016,2019,-1,
Israel,India,131,Barak-1,SAM,-2017,,,INR4.6 b ($72 m) deal; selected but not yet ordered by end-2020
Israel,India,2,EL/W-2090,AEW radar,-2017,,,For 2 A-50EhI AEW&C aircraft from Russia; selected but not yet ordered by end-2020
Israel,India,-36,Litening,Aircraft EO system,-2017,,,Litening-4I version; for Rafale combat aircraft
Israel,India,10,Heron-TP,Armed UAV,-2018,,,$400 m deal; Heron-TP-XP version; selected but probably not yet ordered by end-2020
Israel,India,260,Spike-MR/LR,Anti-tank missile,2019,2019,210,Spike-LR version; deal incl 12 launchers
Israel,India,4,Heron-TP,Armed UAV,-2020,,,Lease; selected 2020 but not yet ordered by end-2020
Israel,India,,SPICE,Guided bomb,2020,,,Part of $200 m deal
Israel,India,-300,Spike-MR/LR,Anti-tank missile,2020,,,Part of $200 m deal; Spike-LR version
Israel,Italy,800,Spike-MR/LR,Anti-tank missile,2019,,,Deal also incl 126 launchers; incl Spike-MR and Spike-LR versions; incl for Freccia IFV; delivery from 2021
Israel,Lithuania,86,Samson RCWS-30,IFV turret,2016,2019,-15,Samson Mk-2 version for 86 Boxer IFV from FRG
Israel,Lithuania,-1000,Spike-MR/LR,Anti-tank missile,-2016,2019,-150,Spike-LR version; for Boxer IFV; from German production line
Israel,Myanmar,-10,Amir,APC/APV,-2019,,,
Israel,Philippines,14,Amir,APC/APV,2018,,,For PNP-SAF (police); delivery probably planned 2021
Israel,Philippines,44,ORCWS,APC turret,2018,,,For modernization of 44 M-113A2 APC
Israel,Philippines,9,Hermes-900,UAV,2019,2019-2020,-9,Part of 3 Hermes-900 systems
Israel,Philippines,-100,I-Derby-ER,BVRAAM,2019,,,For SPYDER-ER SAM systems
Israel,Philippines,-125,Python-5,BVRAAM,2019,,,For SPYDER-ER SAM systems
Israel,Philippines,3,SPYDER-SR,SAM system,2019,,,PHP6.4 b ($125 m) deal; delivery planned 2021
Israel,Philippines,12,ATMOS-2000 155mm,Self-propelled gun,2020,,,PHP2.4 b ($47 m) deal; delivery planned from 2022
Israel,Philippines,8,Sabrah,Tank,-2020,,,Part of $172 m 'Light Tank Acquisition Project' (incl 10 Sabrah AFSC version on Pandur-2 APC chassis)
Israel,Philippines,10,Sabrah,AFSV,-2020,,,Part of $172 m 'Light Tank Acquisition Project' (incl 8 Sabrah tank version on ASCOD APC chassis)
Israel,Romania,,UT-25/UT-30,IFV turret,2018,2020,-30,UT-30MK2 version; for Piranha-5 IFV from Switzerland
Israel,Senegal,3,Shaldag,Patrol craft,2019,2019-2020,3,Shaldag Mk-2 version; Senegalese designation Anambe
Israel,Senegal,1,Shaldag Mk-5,Patrol craft,2019,2020,1,Senegalese designation Cachouane
Israel,Singapore,,Samson RCWS-30,IFV turret,-2017,2019-2020,-60,Samson Mk-2 version; for Hunter IFV produced in Singapore
Israel,South Korea,1,EL/M-2248 MF-STAR,Multifuntion radar,-2015,,,For 1 Dokdo (Marado) AALS produced in South Korea
Israel,South Korea,2,EL/M-2080 Green Pine,Air search radar,-2019,,,KRW330 m ($292 m) deal; Green Pine Block-C version
Israel,South Korea,20,EL/M-2032,Combat ac radar,-2020,,,For 20 TA-50 trainer/combat aircraft produced in South Korea
Israel,Switzerland,6,Hermes-900,UAV,2015,2019,-1,CHF250 m ($260-280 m) 'ADS-15' ('UAS-15') programme; delivery planned 2019-2021
Israel,Thailand,-14,EL/M-2032,Combat ac radar,2017,2019-2020,-7,Part of THB3.2 b ($93 m) deal for modernization of 14 F-5E combat aircraft
Israel,Thailand,-14,Litening,Aircraft EO system,2017,2019-2020,-7,Litening-3 version; for modernized F-5E combat aircraft
Israel,Thailand,6,ATMOS-2000 155mm,Self-propelled gun,2018,,,$26 m deal; assembled in Thailand
Israel,Thailand,3,Dominator-2,UAV,2018,2020,-1,$27 m deal
Israel,Thailand,18,ATMOS-2000 155mm,Self-propelled gun,-2019,,,Assembled in Thailand
Israel,Thailand,12,EL/M-2032,Combat ac radar,2019,2020,-4,For upgrade of 12 T-50 trainer/combat aircraft from South Korea
Israel,Thailand,-100,Spike-MR/LR,Anti-tank missile,2020,2020,-100,
Israel,United States,-29,F-16A,FGA aircraft,2019,,,Second-hand; for US company for training of US armed forces; delivery planned 2021
Israel,United States,2,Iron Dome,SAM system,2019,2020,1,$373 m deal; delivery planned 2020-2021
Israel,United States,,Spike-NLOS,SSM/ASM,2019,,,For AH-64E combat helicopter
Israel,United States,-480,Tamir,SAM,2019,2020,-240,For Iron Dome SAM system
Israel,Unknown recipient(s),-1,Blackfish,ASW sonar,2016,,,Recipient probably South Korea
Israel,Unknown recipient(s),1,Blackfish,ASW sonar,2019,,,For Asian recipient (probably South Korea); for 1 frigate
Israel,Unknown recipient(s),,Harop,Loitering munition,-2020,,,Recipient is Asian state; selected but not yet ordered by end-2020
Israel,Unknown recipient(s),,Harop,Loitering munition,-2020,,,Naval version; recipient is 'Asian state'; selected but not yet ordered by end-2020
Israel,Unknown recipient(s),-2,Heron-TP,Armed UAV,-2020,,,Recipient is a Central Asian country
Israel,Unknown recipient(s),,ROTEM,Loitering munition,-2020,,,Selected but not yet ordered by end-2020
Israel,Unknown recipient(s),,Samson RCWS-30,IFV turret,-2020,,,Samson-30 Integrated RCWS version
Israel,Viet Nam,3,Heron,UAV,2018,,,$120-160 m deal; incl for maritime patrol; delivery delayed from 2020 to 2021 due to the COVID-19 pandemic
Italy,Botswana,-45,HITFIST,IFV turret,2016,2019-2020,-23,For 45 Piranha-3 IFV from Switzerland
Italy,Greece,10,M-346 Master,Trainer/combat ac,-2020,,,Part of $1.7 b deal with Israeli company for training center for Greece; selected but not yet ordered by end-2020
Italy,Portugal,5,AW119 Koala,Light helicopter,2018,2019-2020,-5,EUR20 m deal; option on 2 more; from US production line; AW119Kx version
Italy,Saudi Arabia,3,Super Rapid 76mm,Naval gun,2015,,,For 3 Combattante FS-56 FAC from France
Italy,Saudi Arabia,-4,Super Rapid 76mm,Naval gun,-2017,,,For 4 MMSC frigates from USA
Italy,Saudi Arabia,5,Super Rapid 76mm,Naval gun,-2018,,,For 5 Avante-2200 frigates from Spain
Italy,Brazil,-14,SCP-01 Scipio,Combat ac radar,2004,2013-2020,-8,Designed for Brazil for modernization of 14 AMX (A-1) combat aircraft to A-1M (incl production of components in Brazil)
Italy,Brazil,-1580,VBTP Guarani,APC,2009,2012-2020,-454,"Original BRL6 b (EUR2.5 b) deal for 2044 but in 2018 reduced to 1580; incl command post, ambulance, ARV and 120mm mortar carrier versions; delivery planned 2012-2038"
Italy,France,4,Vulcano,Supply ship,2019,,,EUR1.7 b 'BRF' programme; produced under licence in France; French designation Jacques Chevalier; delivery planned 2023-2029
Italy,India,4,Super Rapid 76mm,Naval gun,-2003,2014-2020,4,For 4 Kamorta (Project-28) frigates produced in India
Italy,India,-4,Super Rapid 76mm,Naval gun,-2010,,,For 1 Vikrant (IAC or Project-71) aircraft carrier produced in India
Italy,India,5,Super Rapid 76mm,Naval gun,-2011,,,For 5 Shachi (Project-21) OPV produced in India
Italy,India,13,127/64LW 127mm,Naval gun,-2020,,,For 7 Shivalik frigates and 6 Delhi destroyers produced in India; produced under licence in India; selected but not yet ordered by end-2020
Italy,Norway,6,NH-90 NFH,ASW helicopter,2001,2019-2020,2,Part of $425 m deal (offsets incl production of components in Norway)
Italy,Turkey,6,ATR-72MP,ASW aircraft,2005,2020,1,'Meltem-3' or 'Uzun Ufuk' programme; assembled in Turkey; ATR-72-600 TMPA version; delivery planned 2020-2022
Italy,Turkey,50,A-129C Mangusta,Combat helicopter,-2008,2016-2020,-42,Part of $2.7 b 'ATAK' programme; T-129B version; produced under licence in Turkey; option on 32 more
Italy,Turkey,9,A-129C Mangusta,Combat helicopter,2017,,,T-129B version; produced under licence in Turkey; for Ministry of Interior; delivery planned from 2021
Italy,Turkey,15,A-129C Mangusta,Combat helicopter,-2017,2018-2019,-6,T-129B version; produced under licence in Turkey; for gendarmerie; option on 3 more
Italy,United States,-234,ACV-1.1,APC,2018,,,'ACV-1.1' (formerly 'MPC') programme; produced under licence in USA
Italy,United States,84,AW139,Helicopter,2018,2019,1,$2.4 b deal (incl assembly and production of components in USA); MH-139 version
Italy,United States,-130,AW119 Koala,Light helicopter,2020,,,$648 m deal; produced under licence in USA; for training; TH-119 version; US designation TH-73A; delivery planned from 2020
Italy,Algeria,-1,MCMV-2010,MCM ship,-2015,2020,1,MHMR version
Italy,Austria,3,RAT-31DL,Air search radar,-2018,2020,1,
Italy,Austria,18,AW169,Helicopter,2020,,,EUR300 m deal; AW169M version; delivery planned from 2022
Italy,Bahrain,6,Orion RTN-25X,Fire control radar,2015,2018-2019,-4,For modernization of 6 Bahraini navy ships
Italy,Bangladesh,,Kronos,Air search radar,2019,,,Kronos-Land version
Italy,Brazil,-36,Skyward,Aircraft IRST,-2014,,,For 36 Gripen-E (Gripen-NG) combat aircraft from Sweden
Italy,Brazil,32,LMV,APV,2019,2020,1,BRL68 m ($16 m) deal; part of 'VBMT-LSR' programme; delivery planned 2020-2022
Italy,Brazil,-4,Super Rapid 76mm,Naval gun,-2020,,,For 4 MEKO-A100 (Tamandare) frigates from Germany
Italy,Cameroon,4,A-109K,Light helicopter,-2017,,,AW-109E version
Italy,Czechia,80,LMV,APV,-2018,2020,-20,CZK5.1 b ($233 m) deal; modified to NBC reconnaissance version in Czechia; delivery planned 2020-2022
Italy,Ecuador,1,SEADAR,Sea search radar,-2020,,,For 1 MPV70 Mk-2 OPV/transport ship from Germany
Italy,Ecuador,1,Super Rapid 76mm,Naval gun,-2020,,,For 1 MPV70 Mk-2 OPV/transport ship from Germany
Italy,Egypt,4,Super Rapid 76mm,Naval gun,2014,2017,1,For 4 Gowind frigates from France
Italy,Egypt,32,AW149,Helicopter,2019,2020,5,EUR871 m deal; incl 24 AW149 and 8 AW189 versions
Italy,Egypt,-50,ASTER-15 SAAM,SAM,2020,2020,-25,For FREMM frigates from Italy
Italy,Egypt,2,FREMM,Frigate,2020,2020,1,Originally produced for Italy but sold to Egypt; delivery planned 2020-2021
Italy,France,8,Super Rapid 76mm,Naval gun,2006,2012-2019,6,EUR40 m deal; for 8 Aquitaine (FREMM) frigates produced in France
Italy,France,5,Super Rapid 76mm,Naval gun,-2017,,,For 5 FTI frigates produced in France
Italy,Germany,5,127/64LW 127mm,Naval gun,2007,2012-2020,-3,EUR70 m deal; for 4 Baden-Wuerttemberg (F-125) frigates produced in FRG and 1 for training
Italy,Germany,7,Super Rapid 76mm,Naval gun,2018,,,For 5 Braunschweig (K-130) frigates produced in FRG
Italy,Greece,2,Super Rapid 76mm,Naval gun,-2008,2020,1,For 2 Super Vita (Roussen) FAC from UK
Italy,India,1,RAN-40L,Air search radar,-2011,,,For 1 Vikrant (IAC or Project-71) aircraft carrier produced in India
Italy,Indonesia,1,RAT-31DL,Air search radar,2020,,,
Italy,Israel,12,AW119 Koala,Light helicopter,2019,,,For training; Israeli designation Sayfan
Italy,Kenya,3,C-27J Spartan,Transport aircraft,2017,2020,3,
Italy,Kenya,-3,AW139,Helicopter,-2018,2019,-2,$59 m deal; probably incl 1 for VIP transport
Italy,Kuwait,28,Typhoon Block-20,FGA aircraft,2016,,,EUR7-8 b deal; delivery planned 2021-2023
Italy,Kuwait,,Marte-ER,Anti-ship missile,-2019,,,For Typhoon combat aircraft
Italy,Malaysia,12,TMX,Fire control radar,-2014,,,For 6 Gowind frigates from France
Italy,Malaysia,3,AW139,Helicopter,-2020,,,AW139HOM version; probably selected 2020 but not yet ordered by end-2020
Italy,Malta,1,CNV-1800,OPV,2018,,,EUR49 m deal (75% funded by EU 'ISF' aid); designation uncertain (reported as '1800t OPV')
Italy,Netherlands,-625,MTV,APV/APC,2019,,,'Voertuig 12kN' programme; incl ambulance version; delivery planned 2023-2026
Italy,Netherlands,4,127/64LW 127mm,Naval gun,2020,,,For modernization of 4 LCF frigates; delivery by 2026
Italy,Nigeria,6,A-109K,Light helicopter,-2018,2019-2020,4,Armed AW109M version; delivery planned 2019-2021
Italy,Pakistan,-245,M-109A1 155mm,Self-propelled gun,2015,2017-2019,-151,Second-hand; M-109L version
Italy,Pakistan,4,Super Rapid 76mm,Naval gun,-2018,,,For 4 MilGem frigates from Turkey
Italy,Philippines,2,Orion RTN-25X,Fire control radar,-2017,2020,1,NA-25X version; for 2 HHI-2600 (Rizal) frigates from South Korea
Italy,Philippines,2,Super Rapid 76mm,Naval gun,-2017,2020,1,For 2 HHI-2600 (Rizal) frigates from South Korea
Italy,Poland,4,M-346 Master,Trainer/combat ac,2018,2020,4,EUR115 m deal (option on 4 more)
Italy,Qatar,-86,ASTER-30,SAM,-2016,,,ASTER-30 Block-1 version
Italy,Qatar,1,BDSL,AALS,2016,,,Part of EUR4 b deal; delivery planned by 2024
Italy,Qatar,4,Fincantieri-3000,Frigate,2016,,,Part of EUR4 b deal; Qatari designation Al Zubarah; delivery planned 2021-2024
Italy,Qatar,2,Fincantieri-700,Corvette,2016,,,Part of EUR4 b deal; Qatari designation Musherib; delivery planned 2022-2023/2024
Italy,Qatar,,Marte-ER,Anti-ship missile,2016,,,For Exocet coastal defence systems from France
Italy,Qatar,-50,Marte-ER,Anti-ship missile,2018,,,For NH-90 NFH helicopters
Italy,Qatar,12,NH-90 NFH,ASW helicopter,2018,,,Part of EUR3 b deal; delivery planned 2021-2025
Italy,Qatar,-4,AW169,Helicopter,-2019,2020,-4,For training
Italy,Slovenia,-2,C-27J Spartan,Transport aircraft,-2020,,,Selected but not yet ordered by end-2020
Italy,Spain,5,127/64LW 127mm,Naval gun,2019,,,For F-110 frigates produced in Spain
Italy,Sweden,-60,Skyward,Aircraft IRST,2014,,,Skyward-G version; for 60 Gripen-E combat aircraft produced in Sweden
Italy,Taiwan,-6,Super Rapid 76mm,Naval gun,-2018,,,For 3 Tuo Jiang corvettes produced in Taiwan
Italy,Thailand,1,RAT-31DL,Air search radar,2019,,,
Italy,Turkey,-4,Super Rapid 76mm,Naval gun,-2019,,,For 4 TF-100 (I or MilGem-G) frigates produced in Turkey
Italy,UAE,2,Super Rapid 76mm,Naval gun,-2019,,,For 2 Gowind-2500 frigates from France
Italy,Unknown recipient(s),6,M-346FA,FGA aircraft,2019,,,"M-346FT and M-346FA versions; recipient possibly Azerbaijan, Nigeria or Turkmenistan"
Italy,Unknown recipient(s),,X-TAR,Air search radar,2019,,,Delivery by 2022; for use with Skymaster air defence system
Italy,Unknown recipient(s),,C-27J Spartan,Transport aircraft,2020,,,C-27J-NG version; delivery planned from 2021
Italy,Uruguay,2,Bell-412,Helicopter,-2017,2020,1,Second-hand; AB-412HP version; delivery planned 2020-2021
Italy,Venezuela,8,Compact 76mm,Naval gun,-2006,2009-2020,8,For 4 POVZEE (Caribé) and 4 BVL (Guaicamacuto) OPV from Spain
Japan,Philippines,4,J/FPS-3,Air search radar,2020,,,$104 m 'Air Surveillance Radar System' programme; delivery planned from 2022
Jordan,Austria,3,S-70/UH-60L,Helicopter,2020,,,Second-hand; EUR60 m deal; delivery planned 2021
Jordan,Myanmar,2,C-295,Transport aircraft,-2020,,,Second-hand; status uncertain
Jordan,Philippines,-60,M-113,APC,-2018,,,Second-hand; aid
Jordan,United States,2,Mirage F-1C,FGA aircraft,-2019,2020,2,Second-hand; Mirage- F-1DJ trainer version; for US company for training of US armed forces
(multiple sellers),Brazil,100,Meteor,BVRAAM,2019,,,EUR200 m deal; for Gripen-E combat aircraft
(multiple sellers),South Korea,,Meteor,BVRAAM,-2019,,,For KF-X combat aircraft; selected 2019 but not yet ordered by end-2020
Netherlands,Nigeria,2,FCS-3307,Patrol craft,2019,,,From Vietnamese production line
Netherlands,Pakistan,2,OPV-1900,OPV,2017,2020,2,From Romanian production line; Pakistani designation Yarmook
Netherlands,India,7,LW-08,Air search radar,-2006,2014-2016,3,For 3 Kolkata (Project-15A) and 4 Visakhapatnam (Project-15B) destroyers produced in India; Indian designation RAWL-02 Mk-3
Netherlands,Mexico,1,SIGMA-105,Frigate,-2016,2020,1,'POLA' programme; produced in Mexico; Mexican designation Reformador
Netherlands,South Africa,3,SP-6211,OPV,2018,,,'Mission Inshore Patrol Vessels' programme (part of 'Project Biro'); produced under licence in South Africa; delivery planned from 2021
Netherlands,United States,-58,Stan Patrol-4708,Patrol craft,2009,2012-2020,40,For coast guard
Netherlands,Belgium,6,NS-50,multi-function radar,-2020,,,For 6 MCM-2730 MCM ships from France
Netherlands,Bulgaria,2,Tripartite,MCM ship,2019,2020,2,Second-hand
Netherlands,Egypt,4,SMART,Air search radar,-2014,2017,1,SMART-S Mk-2 version; for 4 Gowind frigates from France
Netherlands,Egypt,4,STING,Fire control radar,-2014,2017,1,For 4 Gowind frigates from France
Netherlands,Egypt,,SMART,Air search radar,2019,,,Designation uncertain; for 1 MEKO-200 frigate from Germany
Netherlands,Egypt,,STING,Fire control radar,2019,,,
Netherlands,Finland,100,Leopard-2A6,Tank,2014,2015-2020,-100,Second-hand; EUR200 m deal
Netherlands,Finland,-8,PiPz-1,AEV,2017,2019-2020,-8,Second-hand; part of EUR8.2 m deal
Netherlands,France,5,STIR,Fire control radar,-2017,,,STIR-1.2 EO Mk-2 version; for 5 FTI frigates produced in France
Netherlands,France,2,STIR,Fire control radar,-2018,,,STIR-EO Mk-2 version; for 2 Aquitaine (FREMM) frigates produced in France
Netherlands,Germany,10,MIRADOR,EO search/fire control,-2017,,,For 5 K130 frigates produced in FRG
Netherlands,Germany,4,APAR,Multi-function radar,-2020,,,Part of EUR1.5 b deal for combat and radar systems for 4 MKS-180 frigates produced in Germany; APAR-BI2 version
Netherlands,Greece,2,MIRADOR,EO search/fire control,-2008,2020,1,For 2 Super Vita (Roussen) FAC from UK
Netherlands,Greece,2,MW-08,Air search radar,-2008,2020,1,For 2 Super Vita (Roussen) FAC from UK
Netherlands,Greece,2,Scout,Sea search radar,-2008,2020,1,Scout Mk-2 version; for 2 Super Vita (Roussen) FAC from UK
Netherlands,Greece,2,STING,Fire control radar,-2008,2020,1,For 2 Super Vita (Roussen) FAC from UK
Netherlands,Indonesia,1,SMART,Air search radar,2020,,,SMART-S Mk-2 version; for modernization of 1 Bung Tomo (Brunei) frigate; delivery planned 2023
Netherlands,Indonesia,1,STIR,Fire control radar,2020,,,STIR-EO Mk-2 version; for modernization of 1 Bung Tomo (Brunei) frigate; delivery planned 2023
Netherlands,Jamaica,1,FCS-5009,Transport ship,-2019,2020,1,Jamaican designation Nanny of the Maroons
Netherlands,Malaysia,24,SQUIRE,Ground surv radar,-2011,2017-2020,-21,For 24 Pars (AV-8) APC from Turkey
Netherlands,Malaysia,6,SMART,Air search radar,2014,,,Smart-S Mk-2 version for 6 Gowind frigates from France; assembled in Malaysia
Netherlands,New Zealand,2,SMART,Air search radar,2014,2020,1,SMART-S Mk-2 version; for modernization of 2 MEKO-200 (Anzac) frigates
Netherlands,Nigeria,1,LST-100,Landing ship,2019,,,From UAE production line; delivery planned 2022
Netherlands,Thailand,2,Napa-1,Recce satellite,2018,,,Delivery planned 2021-2022
Netherlands,Turkey,1,SMART,Air search radar,-2015,,,SMART-S Mk-2 version; for 1 BPE (Anadolu) AALS from Spain
Netherlands,Turkey,4,SMART,Air search radar,-2016,,,SMART-S Mk-2 version; for 4 TF-100 (I or MilGem-G) frigates produced in Turkey
Netherlands,Turkey,8,STING,Fire control radar,-2016,,,Sting-EO Mk-2 version; for 4 TF-100 (I or MilGem-G) frigates produced in Turkey
Netherlands,United Kingdom,5,MIRADOR,EO search/fire control,2020,,,For 5 Type-31 frigates produced in UK
Netherlands,United Kingdom,5,NS200,Air search radar,2020,,,For 5 Type-31 frigates produced in UK
Netherlands,Venezuela,8,MIRADOR,EO search/fire control,2006,2009-2020,8,For 4 POVZEE (Caribé) and 4 BVL (Guaicamacuto) OPV from Spain
Netherlands,Venezuela,8,Scout,Sea search radar,2006,2009-2020,8,For 4 POVZEE (Caribé) and 4 BVL (Guaicamacuto) OPV from Spain
Netherlands,Venezuela,8,STING,Fire control radar,2006,2009-2020,8,For 4 POVZEE (Caribé) and 4 BVL (Guaicamacuto) OPV from Spain
Netherlands,Venezuela,4,Variant,Air/sea search radar,2006,2009-2020,4,For 4 BVL (Guaicamacuto) OPV from Spain
New Zealand,Indonesia,-1,Klewang,FAC,2014,,,Produced under licence in Indonesia; status uncertain
New Zealand,Peru,5,SH-2G Super Seasprite,ASW helicopter,2014,2018,1,Second-hand (incl 4 modernized in Canada and USA before delivery); $30 m deal; delivery planned 2021
Norway,Australia,,NASAMS-2,SAM system,2019,,,AUD2 b ($1.5 b) 'Joint Project-117' or 'GBADWS' programme; incl production of components in Australia
Norway,United States,-1500,Protector,APC turret,-2015,2017-2020,-185,For M-1A2 SEPV-3 (M-1V3) tank; produced under licence in USA
Norway,United States,,Protector,APC turret,2020,,,XM-914 version; produced under licence in USA; for MADIS Inc-1 air-defence systems (based on JLTV APC) produced in USA
Norway,United States,-150,Protector MC,IFV turret,2020,,,MCT-30 version; produced under licence in USA; for ACV-30 IFV produced in USA
Norway,Canada,,Protector,APC turret,2020,,,NOK500 m deal; for ACSV (Piranha-6) APC produced in Canada
Norway,Estonia,35,CV-90,APC,2016,,,Second-hand CV-9030N version without armament; to be modified to several versions in Estonia; EUR0.6 m deal
Norway,Germany,10,Protector,APC turret,2019,,,NOK250 m deal; version with 40mm grenade-launcher for anti-UAV role
Norway,Hungary,-4,NASAMS-2,SAM system,2020,,,$1 b deal
Norway,India,,NASAMS-2,SAM system,-2018,,,$1 b deal; selected 2018 but not yet ordered by end-2020
Norway,Indonesia,-2,NASAMS-2,SAM system,2017,2020,-1,$77 m deal
Norway,Ireland,-65,Protector,APC turret,2014,2019-2020,-65,For modernization of 65 Piranha-3 APC
Norway,Japan,,JSM,ASM,2019,,,For F-35 combat aircraft; delivery planned from 2021 or 2022
Norway,Kuwait,-218,Protector,APC turret,-2016,,,For modernization of 218 Kuwaiti M-1A2 tanks; probably from US production line
Norway,Lithuania,2,NASAMS-2,SAM system,-2016,2020,1,EUR100 m deal; NASAMS-2 version; delivery planned 2020-2021
Norway,Malaysia,-100,NSM,Anti-ship missile,2018,,,EUR124 m deal; for Combat Gowind (SGVP-LCS) frigates
Norway,New Zealand,2,B33:45,Diesel engine,2016,2020,2,B33:45L9P version; for 1 Aoteoroa support ship from South Korea
Norway,Poland,-50,NSM,Anti-ship missile,2014,2017-2020,-50,For NSM coastal defence systems
Norway,Qatar,,NASAMS-2,SAM system,2019,,,Part of $2 b deal
Norway,Romania,-50,NSM,Anti-ship missile,-2020,,,For NSM coastal defence systems
Norway,Sweden,2,ST-2400,ASW sonar,2017,2020,-2,For modernization of 2 Göteborg corvettes
Norway,United Kingdom,-127,Protector,APC turret,2015,2018-2020,-8,GBP61 m ($93 m) deal; for Scout-SV PMRS (Ares) APC from Spain
Norway,United Kingdom,,Protector,APC turret,2020,,,NOK1 b ($118 m) deal; Protector RS4 version; for Boxer APC from Germany
Norway,United States,,NSM,Anti-ship missile,2018,2019,-12,For LCS frigates; US designation RGM-184A
Norway,United States,,NSM,Anti-ship missile,-2020,,,For coastal defence systems; selected but not yet ordered by end-2020
Pakistan,Nigeria,3,JF-17 Thunder/FC-1,FGA aircraft,-2016,,,$184 m deal; delivery planned 2021
Pakistan,Turkey,52,MFI-17 Supporter,Trainer aircraft,2017,,,$50 m deal; Super Mushshak version
Panama,France,1,Fokker-100,Transport aircraft,-2020,,,Second-hand; for military flight test centre (DGA-EV)
Poland,Ukraine,37,BMP-1,IFV,2019,2020,37,Second-hand; BVP-1 version
Portugal,Romania,5,F-16C,FGA aircraft,2020,2020,4,Second-hand; EUR150 m deal; F-16AM version; delivery planned 2020-2021
Russia,India,-250,YaMZ-238,Diesel engine,2016,2017-2020,-242,For 250 Casspir-6 (MPV) APC from South Africa
Russia,China,-8,AK-176 76mm,Naval gun,-2005,2007-2019,-6,Chinese-produced H/PJ-26 version for 8 Type-071 (Yuzhao) AALS produced in China
Russia,China,-72,AK-176 76mm,Naval gun,-2010,2013-2020,-70,Chinese-produced H/PJ-26 version for 72 Type-056 (Jiangdao) frigates produced in China
Russia,India,-400,PJ-10 BrahMos,Anti-ship MI/SSM,-1998,2006-2020,-205,Officially joint venture for development but mainly using Russian technology from Yakhont (SS-N-26) anti-ship missile; produced under licence in India; incl for NGMMCB coastal defence systems
Russia,India,-426,PJ-10 BrahMos,SSM,1998,2006-2020,-340,Officially joint venture for development but mainly using Russian technology from Yakhont (SS-N-26) anti-ship missile; produced under licence in India
Russia,India,140,Su-30MK,FGA aircraft,-2001,2005-2020,-140,$3-5.4 b deal; Su-30 MKI version; produced under licence in India
Russia,India,8,RBU-6000,ASW MRL,-2003,2014-2020,8,For 4 Kamorta (Project-28) frigates produced in India
