"group","yfield","xfield"
"Portugal",428,1559
"Great Britain",0,1559
"France",0,1559
"Spain",427,1559
"Netherlands",0,1559
"U.S.A.",0,1559
"Denmark/Baltic",0,1559
"Portugal",428,1560
"Great Britain",0,1560
"France",0,1560
"Spain",427,1560
"Netherlands",0,1560
"U.S.A.",0,1560
"Denmark/Baltic",0,1560
"Portugal",2454,1561
"Great Britain",0,1561
"France",0,1561
"Spain",2337,1561
"Netherlands",0,1561
"U.S.A.",0,1561
"Denmark/Baltic",0,1561
"Portugal",2462,1562
"Great Britain",0,1562
"France",0,1562
"Spain",2337,1562
"Netherlands",0,1562
"U.S.A.",0,1562
"Denmark/Baltic",0,1562
"Portugal",2471,1563
"Great Britain",300,1563
"France",0,1563
"Spain",2337,1563
"Netherlands",0,1563
"U.S.A.",0,1563
"Denmark/Baltic",0,1563
"Portugal",2480,1564
"Great Britain",0,1564
"France",0,1564
"Spain",2337,1564
"Netherlands",0,1564
"U.S.A.",0,1564
"Denmark/Baltic",0,1564
"Portugal",2489,1565
"Great Britain",400,1565
"France",0,1565
"Spain",2337,1565
"Netherlands",0,1565
"U.S.A.",0,1565
"Denmark/Baltic",0,1565
"Portugal",1580,1566
"Great Britain",0,1566
"France",0,1566
"Spain",1415,1566
"Netherlands",0,1566
"U.S.A.",0,1566
"Denmark/Baltic",0,1566
"Portugal",1591,1567
"Great Britain",423,1567
"France",0,1567
"Spain",1415,1567
"Netherlands",0,1567
"U.S.A.",0,1567
"Denmark/Baltic",0,1567
"Portugal",1603,1568
"Great Britain",468,1568
"France",0,1568
"Spain",1415,1568
"Netherlands",0,1568
"U.S.A.",0,1568
"Denmark/Baltic",0,1568
"Portugal",1615,1569
"Great Britain",0,1569
"France",0,1569
"Spain",1415,1569
"Netherlands",0,1569
"U.S.A.",0,1569
"Denmark/Baltic",0,1569
"Portugal",1629,1570
"Great Britain",0,1570
"France",0,1570
"Spain",1415,1570
"Netherlands",0,1570
"U.S.A.",0,1570
"Denmark/Baltic",0,1570
"Portugal",1545,1571
"Great Britain",0,1571
"France",66,1571
"Spain",1317,1571
"Netherlands",0,1571
"U.S.A.",0,1571
"Denmark/Baltic",0,1571
"Portugal",1560,1572
"Great Britain",0,1572
"France",0,1572
"Spain",1317,1572
"Netherlands",0,1572
"U.S.A.",0,1572
"Denmark/Baltic",0,1572
"Portugal",1577,1573
"Great Britain",0,1573
"France",0,1573
"Spain",1317,1573
"Netherlands",0,1573
"U.S.A.",0,1573
"Denmark/Baltic",0,1573
"Portugal",1594,1574
"Great Britain",0,1574
"France",0,1574
"Spain",1317,1574
"Netherlands",0,1574
"U.S.A.",0,1574
"Denmark/Baltic",0,1574
"Portugal",1613,1575
"Great Britain",0,1575
"France",0,1575
"Spain",1317,1575
"Netherlands",0,1575
"U.S.A.",0,1575
"Denmark/Baltic",0,1575
"Portugal",1607,1576
"Great Britain",0,1576
"France",0,1576
"Spain",1291,1576
"Netherlands",0,1576
"U.S.A.",0,1576
"Denmark/Baltic",0,1576
"Portugal",1628,1577
"Great Britain",0,1577
"France",0,1577
"Spain",1291,1577
"Netherlands",0,1577
"U.S.A.",0,1577
"Denmark/Baltic",0,1577
"Portugal",1651,1578
"Great Britain",0,1578
"France",0,1578
"Spain",1291,1578
"Netherlands",0,1578
"U.S.A.",0,1578
"Denmark/Baltic",0,1578
"Portugal",1675,1579
"Great Britain",0,1579
"France",0,1579
"Spain",1291,1579
"Netherlands",0,1579
"U.S.A.",0,1579
"Denmark/Baltic",0,1579
"Portugal",1900,1580
"Great Britain",0,1580
"France",0,1580
"Spain",1291,1580
"Netherlands",0,1580
"U.S.A.",0,1580
"Denmark/Baltic",0,1580
"Portugal",2853,1581
"Great Britain",0,1581
"France",0,1581
"Spain",2198,1581
"Netherlands",0,1581
"U.S.A.",0,1581
"Denmark/Baltic",0,1581
"Portugal",2902,1582
"Great Britain",0,1582
"France",0,1582
"Spain",2198,1582
"Netherlands",0,1582
"U.S.A.",0,1582
"Denmark/Baltic",0,1582
"Portugal",2955,1583
"Great Britain",237,1583
"France",0,1583
"Spain",2198,1583
"Netherlands",0,1583
"U.S.A.",0,1583
"Denmark/Baltic",0,1583
"Portugal",3011,1584
"Great Britain",0,1584
"France",0,1584
"Spain",2198,1584
"Netherlands",0,1584
"U.S.A.",0,1584
"Denmark/Baltic",0,1584
"Portugal",3072,1585
"Great Britain",0,1585
"France",0,1585
"Spain",2198,1585
"Netherlands",0,1585
"U.S.A.",0,1585
"Denmark/Baltic",0,1585
"Portugal",3481,1586
"Great Britain",0,1586
"France",0,1586
"Spain",2541,1586
"Netherlands",0,1586
"U.S.A.",0,1586
"Denmark/Baltic",0,1586
"Portugal",3551,1587
"Great Britain",0,1587
"France",0,1587
"Spain",2541,1587
"Netherlands",0,1587
"U.S.A.",0,1587
"Denmark/Baltic",0,1587
"Portugal",3628,1588
"Great Britain",0,1588
"France",0,1588
"Spain",2541,1588
"Netherlands",0,1588
"U.S.A.",0,1588
"Denmark/Baltic",0,1588
"Portugal",3709,1589
"Great Britain",0,1589
"France",0,1589
"Spain",2541,1589
"Netherlands",0,1589
"U.S.A.",0,1589
"Denmark/Baltic",0,1589
"Portugal",3797,1590
"Great Britain",0,1590
"France",0,1590
"Spain",2541,1590
"Netherlands",0,1590
"U.S.A.",0,1590
"Denmark/Baltic",0,1590
"Portugal",2394,1591
"Great Britain",0,1591
"France",0,1591
"Spain",1043,1591
"Netherlands",0,1591
"U.S.A.",0,1591
"Denmark/Baltic",0,1591
"Portugal",2496,1592
"Great Britain",0,1592
"France",0,1592
"Spain",1043,1592
"Netherlands",0,1592
"U.S.A.",0,1592
"Denmark/Baltic",0,1592
"Portugal",2607,1593
"Great Britain",0,1593
"France",0,1593
"Spain",1043,1593
"Netherlands",0,1593
"U.S.A.",0,1593
"Denmark/Baltic",0,1593
"Portugal",2726,1594
"Great Britain",0,1594
"France",0,1594
"Spain",1043,1594
"Netherlands",0,1594
"U.S.A.",0,1594
"Denmark/Baltic",0,1594
"Portugal",6099,1595
"Great Britain",0,1595
"France",0,1595
"Spain",4289,1595
"Netherlands",0,1595
"U.S.A.",0,1595
"Denmark/Baltic",0,1595
"Portugal",6420,1596
