"group","yfield","xfield"
"Denmark/Baltic",0,1829
"Portugal",57893,1830
"Great Britain",0,1830
"France",9890,1830
"Spain",20100,1830
"Netherlands",0,1830
"U.S.A.",0,1830
"Denmark/Baltic",0,1830
"Portugal",6813,1831
"Great Britain",0,1831
"France",1609,1831
"Spain",16931,1831
"Netherlands",0,1831
"U.S.A.",0,1831
"Denmark/Baltic",0,1831
"Portugal",11249,1832
"Great Britain",0,1832
"France",0,1832
"Spain",18078,1832
"Netherlands",0,1832
"U.S.A.",0,1832
"Denmark/Baltic",0,1832
"Portugal",16548,1833
"Great Britain",0,1833
"France",0,1833
"Spain",17673,1833
"Netherlands",0,1833
"U.S.A.",0,1833
"Denmark/Baltic",0,1833
"Portugal",23305,1834
"Great Britain",0,1834
"France",0,1834
"Spain",23227,1834
"Netherlands",0,1834
"U.S.A.",0,1834
"Denmark/Baltic",0,1834
"Portugal",46529,1835
"Great Britain",0,1835
"France",0,1835
"Spain",34723,1835
"Netherlands",0,1835
"U.S.A.",0,1835
"Denmark/Baltic",0,1835
"Portugal",70784,1836
"Great Britain",0,1836
"France",0,1836
"Spain",31528,1836
"Netherlands",0,1836
"U.S.A.",0,1836
"Denmark/Baltic",0,1836
"Portugal",76951,1837
"Great Britain",0,1837
"France",0,1837
"Spain",26412,1837
"Netherlands",0,1837
"U.S.A.",0,1837
"Denmark/Baltic",0,1837
"Portugal",70883,1838
"Great Britain",0,1838
"France",0,1838
"Spain",29567,1838
"Netherlands",0,1838
"U.S.A.",0,1838
"Denmark/Baltic",0,1838
"Portugal",72697,1839
"Great Britain",0,1839
"France",0,1839
"Spain",25700,1839
"Netherlands",0,1839
"U.S.A.",0,1839
"Denmark/Baltic",0,1839
"Portugal",43067,1840
"Great Britain",0,1840
"France",0,1840
"Spain",22011,1840
"Netherlands",0,1840
"U.S.A.",0,1840
"Denmark/Baltic",0,1840
"Portugal",32886,1841
"Great Britain",0,1841
"France",0,1841
"Spain",18431,1841
"Netherlands",0,1841
"U.S.A.",0,1841
"Denmark/Baltic",0,1841
"Portugal",31084,1842
"Great Britain",0,1842
"France",0,1842
"Spain",6853,1842
"Netherlands",0,1842
"U.S.A.",0,1842
"Denmark/Baltic",0,1842
"Portugal",45025,1843
"Great Britain",0,1843
"France",0,1843
"Spain",10022,1843
"Netherlands",0,1843
"U.S.A.",0,1843
"Denmark/Baltic",0,1843
"Portugal",36510,1844
"Great Britain",0,1844
"France",0,1844
"Spain",12276,1844
"Netherlands",0,1844
"U.S.A.",0,1844
"Denmark/Baltic",0,1844
"Portugal",28832,1845
"Great Britain",0,1845
"France",0,1845
"Spain",4999,1845
"Netherlands",0,1845
"U.S.A.",0,1845
"Denmark/Baltic",0,1845
"Portugal",66191,1846
"Great Britain",0,1846
"France",0,1846
"Spain",1518,1846
"Netherlands",0,1846
"U.S.A.",0,1846
"Denmark/Baltic",0,1846
"Portugal",80156,1847
"Great Britain",0,1847
"France",0,1847
"Spain",4083,1847
"Netherlands",0,1847
"U.S.A.",0,1847
"Denmark/Baltic",0,1847
"Portugal",81241,1848
"Great Britain",0,1848
"France",0,1848
"Spain",5049,1848
"Netherlands",0,1848
"U.S.A.",0,1848
"Denmark/Baltic",0,1848
"Portugal",74150,1849
"Great Britain",0,1849
"France",0,1849
"Spain",10907,1849
"Netherlands",0,1849
"U.S.A.",0,1849
"Denmark/Baltic",0,1849
"Portugal",41004,1850
"Great Britain",0,1850
"France",0,1850
"Spain",5325,1850
"Netherlands",0,1850
"U.S.A.",0,1850
"Denmark/Baltic",0,1850
"Portugal",7555,1851
"Great Britain",0,1851
"France",0,1851
"Spain",9246,1851
"Netherlands",0,1851
"U.S.A.",0,1851
"Denmark/Baltic",0,1851
"Portugal",1234,1852
"Great Britain",0,1852
"France",0,1852
"Spain",9308,1852
"Netherlands",0,1852
"U.S.A.",0,1852
"Denmark/Baltic",0,1852
"Portugal",0,1853
"Great Britain",0,1853
"France",0,1853
"Spain",17802,1853
"Netherlands",0,1853
"U.S.A.",0,1853
"Denmark/Baltic",0,1853
"Portugal",0,1854
"Great Britain",0,1854
"France",0,1854
"Spain",14819,1854
"Netherlands",0,1854
"U.S.A.",0,1854
"Denmark/Baltic",0,1854
"Portugal",0,1855
"Great Britain",0,1855
"France",0,1855
"Spain",6396,1855
"Netherlands",0,1855
"U.S.A.",0,1855
"Denmark/Baltic",0,1855
"Portugal",520,1856
"Great Britain",0,1856
"France",0,1856
"Spain",8160,1856
"Netherlands",0,1856
"U.S.A.",0,1856
"Denmark/Baltic",0,1856
"Portugal",0,1857
"Great Britain",0,1857
"France",0,1857
"Spain",15225,1857
"Netherlands",0,1857
"U.S.A.",0,1857
"Denmark/Baltic",0,1857
"Portugal",0,1858
"Great Britain",0,1858
"France",0,1858
"Spain",19286,1858
"Netherlands",0,1858
"U.S.A.",350,1858
"Denmark/Baltic",0,1858
"Portugal",0,1859
"Great Britain",0,1859
"France",0,1859
"Spain",34785,1859
"Netherlands",0,1859
"U.S.A.",0,1859
"Denmark/Baltic",0,1859
"Portugal",0,1860
"Great Britain",0,1860
"France",0,1860
"Spain",26605,1860
"Netherlands",0,1860
"U.S.A.",126,1860
"Denmark/Baltic",0,1860
"Portugal",0,1861
"Great Britain",0,1861
"France",0,1861
"Spain",24395,1861
"Netherlands",0,1861
"U.S.A.",0,1861
"Denmark/Baltic",0,1861
"Portugal",0,1862
"Great Britain",0,1862
"France",0,1862
"Spain",14227,1862
"Netherlands",0,1862
"U.S.A.",0,1862
"Denmark/Baltic",0,1862
"Portugal",0,1863
"Great Britain",0,1863
"France",0,1863
"Spain",7774,1863
"Netherlands",0,1863
"U.S.A.",0,1863
"Denmark/Baltic",0,1863
"Portugal",0,1864
"Great Britain",0,1864
"France",0,1864
"Spain",4653,1864
"Netherlands",0,1864
"U.S.A.",0,1864
"Denmark/Baltic",0,1864
"Portugal",0,1865
"Great Britain",0,1865
"France",0,1865
"Spain",2265,1865
"Netherlands",0,1865
"U.S.A.",0,1865
"Denmark/Baltic",0,1865
"Portugal",0,1866
"Great Britain",0,1866
"France",0,1866
"Spain",877,1866
"Netherlands",0,1866
"U.S.A.",0,1866
"Denmark/Baltic",0,1866
