"year","count","cc"
"1982",0,"LU"
"1983",2,"LU"
"1985",0,"LU"
"1986",0,"LU"
"1987",0,"LU"
"1988",0,"LU"
"1989",0,"LU"
"1991",0,"LU"
"1994",0,"LU"
"1998",0,"LU"
"1999",0,"LU"
"2000",0,"LU"
"2001",0,"LU"
"2003",1,"LU"
"2006",0,"LU"
"2007",0,"LU"
"2008",0,"LU"
"2014",0,"LU"
"1984",0,"LU"
"1993",3,"LU"
"2011",1,"LU"
"2012",0,"LU"
"1990",0,"LU"
"1981",0,"LU"
"2015",0,"LU"
"1992",0,"LV"
"1995",0,"LV"
"1996",0,"LV"
"1997",0,"LV"
"2002",0,"LV"
"2004",0,"LV"
"2005",1,"LV"
"2009",0,"LV"
"2010",1,"LV"
"2013",0,"LV"
"1980",0,"LV"
"1982",0,"LV"
"1983",0,"LV"
"1985",0,"LV"
"1986",0,"LV"
"1987",0,"LV"
"1988",0,"LV"
"1989",0,"LV"
"1991",0,"LV"
"1994",0,"LV"
"1998",0,"LV"
"1999",0,"LV"
"2000",0,"LV"
"2001",0,"LV"
"2003",0,"LV"
"2006",0,"LV"
"2007",0,"LV"
"2008",0,"LV"
"2014",0,"LV"
"1984",0,"LV"
"1993",0,"LV"
"2011",0,"LV"
"2012",0,"LV"
"1990",0,"LV"
"1981",1,"LV"
"2015",0,"LV"
"1992",3,"ME"
"1995",0,"ME"
"1996",0,"ME"
"1997",0,"ME"
"2002",0,"ME"
"2004",0,"ME"
"2005",0,"ME"
"2009",1,"ME"
"2010",2,"ME"
"2013",0,"ME"
"1980",0,"ME"
"1982",0,"ME"
"1983",0,"ME"
"1985",0,"ME"
"1986",0,"ME"
"1987",0,"ME"
"1988",0,"ME"
"1989",0,"ME"
"1991",0,"ME"
"1994",0,"ME"
"1998",0,"ME"
"1999",0,"ME"
"2000",1,"ME"
"2001",0,"ME"
"2003",0,"ME"
"2006",0,"ME"
"2007",1,"ME"
"2008",0,"ME"
"2014",0,"ME"
"1984",0,"ME"
"1993",0,"ME"
"2011",0,"ME"
"2012",0,"ME"
"1990",0,"ME"
"1981",0,"ME"
"2015",0,"ME"
"1992",0,"MK"
"1995",1,"MK"
"1996",0,"MK"
"1997",0,"MK"
"2002",1,"MK"
"2004",1,"MK"
"2005",1,"MK"
"2009",0,"MK"
"2010",0,"MK"
"2013",1,"MK"
"1980",0,"MK"
"1982",0,"MK"
"1983",0,"MK"
"1985",0,"MK"
"1986",0,"MK"
"1987",0,"MK"
"1988",0,"MK"
"1989",0,"MK"
"1991",0,"MK"
"1994",0,"MK"
"1998",0,"MK"
"1999",0,"MK"
"2000",0,"MK"
"2001",0,"MK"
"2003",2,"MK"
"2006",1,"MK"
"2007",0,"MK"
"2008",0,"MK"
"2014",0,"MK"
"1984",0,"MK"
"1993",0,"MK"
"2011",0,"MK"
"2012",0,"MK"
"1990",0,"MK"
"1981",0,"MK"
"2015",0,"MK"
"1992",0,"NL"
"1995",1,"NL"
"1996",0,"NL"
"1997",0,"NL"
"2002",0,"NL"
"2004",0,"NL"
"2005",0,"NL"
"2009",0,"NL"
"2010",0,"NL"
"2013",0,"NL"
"1980",0,"NL"
"1982",0,"NL"
"1983",0,"NL"
"1985",0,"NL"
"1986",0,"NL"
"1987",0,"NL"
"1988",0,"NL"
"1989",0,"NL"
"1991",0,"NL"
"1994",0,"NL"
"1998",0,"NL"
"1999",0,"NL"
"2000",0,"NL"
"2001",0,"NL"
"2003",2,"NL"
"2006",0,"NL"
"2007",0,"NL"
"2008",0,"NL"
"2014",0,"NL"
"1984",0,"NL"
"1993",1,"NL"
"2011",1,"NL"
"2012",0,"NL"
"1990",0,"NL"
"1981",0,"NL"
"2015",0,"NL"
"1992",14,"NO"
"1995",6,"NO"
"1996",10,"NO"
"1997",13,"NO"
"2002",7,"NO"
"2004",7,"NO"
"2005",10,"NO"
"2009",5,"NO"
"2010",7,"NO"
"2013",4,"NO"
"1980",6,"NO"
"1982",11,"NO"
"1983",18,"NO"
"1985",11,"NO"
"1986",9,"NO"
"1987",7,"NO"
"1988",12,"NO"
"1989",10,"NO"
"1991",7,"NO"
"1994",9,"NO"
"1998",6,"NO"
"1999",12,"NO"
"2000",22,"NO"
"2001",6,"NO"
"2003",4,"NO"
"2006",10,"NO"
"2007",13,"NO"
"2008",10,"NO"
"2014",4,"NO"
"1984",7,"NO"
"1993",9,"NO"
"2011",16,"NO"
"2012",2,"NO"
"1990",13,"NO"
"1981",11,"NO"
"2015",0,"NO"
"1992",2,"PL"
"1995",2,"PL"
"1996",7,"PL"
"1997",57,"PL"
"2002",4,"PL"
"2004",30,"PL"
"2005",6,"PL"
"2009",24,"PL"
"2010",131,"PL"
"2013",0,"PL"
"1980",50,"PL"
"1982",19,"PL"
"1983",3,"PL"
"1985",7,"PL"
"1986",1,"PL"
"1987",16,"PL"
"1988",0,"PL"
"1989",0,"PL"
"1991",1,"PL"
"1994",0,"PL"
"1998",5,"PL"
"1999",11,"PL"
"2000",2,"PL"
"2001",96,"PL"
"2003",12,"PL"
"2006",4,"PL"
"2007",11,"PL"
"2008",7,"PL"
"2014",0,"PL"
"1984",0,"PL"
"1993",0,"PL"
"2011",4,"PL"
"2012",0,"PL"
"1990",0,"PL"
"1981",2,"PL"
"2015",0,"PL"
"1992",0,"PT"
"1995",0,"PT"
"1996",3,"PT"
"1997",2,"PT"
"2002",1,"PT"
"2004",0,"PT"
"2005",0,"PT"
"2009",0,"PT"
"2010",1,"PT"
"2013",1,"PT"
"1980",0,"PT"
"1982",0,"PT"
"1983",2,"PT"
"1985",0,"PT"
"1986",0,"PT"
"1987",2,"PT"
"1988",0,"PT"
"1989",4,"PT"
"1991",0,"PT"
"1994",0,"PT"
"1998",0,"PT"
"1999",0,"PT"
"2000",1,"PT"
"2001",3,"PT"
"2003",2,"PT"
"2006",2,"PT"
"2007",0,"PT"
"2008",1,"PT"
"2014",0,"PT"
"1984",0,"PT"
"1993",0,"PT"
"2011",0,"PT"
"2012",0,"PT"
"1990",0,"PT"
"1981",1,"PT"
"2015",0,"PT"
"1992",0,"RO"
"1995",2,"RO"
"1996",0,"RO"
