Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Asia,º Asia,1972,EFConsTotGHA,84694420.49055408,922175683.0846014,668832129.415828,134152273.66098145,487650933.8436978,175307149.51604262,2472812590.011704,,null
Asia,º Asia,1973,BiocapTotGHA,91138673.1093069,0,663003170.4623768,335003548.521031,642917761.3679054,186920067.5702383,1918983221.030858,,null
Asia,º Asia,1973,EFConsTotGHA,91138673.1093069,1018435532.4026024,717424048.6528022,141607230.31985798,504418712.4732955,174503544.1817713,2647527741.139635,,null
Asia,º Asia,1974,BiocapTotGHA,92616395.81685099,0,655795088.5687935,336119685.56967324,639929228.552531,189817896.05749685,1914278294.5653467,,null
Asia,º Asia,1974,EFConsTotGHA,92616395.81685099,1016594052.9853672,709032995.3637547,143791040.95218682,507142311.22963595,165880985.532332,2635057781.8801293,,null
Asia,º Asia,1975,BiocapTotGHA,98437570.32871997,0,693943719.0757763,335945378.5612818,637958992.8204708,191854422.68973517,1958140083.4759834,,null
Asia,º Asia,1975,EFConsTotGHA,98437570.32871997,1053948770.0740457,744677988.3566163,139747150.9151206,503107625.39333355,173985122.65408754,2713904227.7219195,,null
Asia,º Asia,1976,BiocapTotGHA,102379772.674692,0,712670033.916911,335707549.0870345,632408032.5655034,190463851.73574743,1973629239.9798877,,null
Asia,º Asia,1976,EFConsTotGHA,102379772.674692,1105433422.0109406,757735964.3350658,139162486.54699877,523187880.41835105,181787805.8745895,2809687331.8606377,,null
Asia,º Asia,1977,BiocapTotGHA,102923151.47818175,0,713851989.356427,337193774.6801001,627984181.8165206,193660644.71737552,1975613742.0486054,,null
Asia,º Asia,1977,EFConsTotGHA,102923151.47818175,1187686583.3467965,765917796.1028302,142471627.78614655,526382756.9133303,184102599.47566468,2909484515.1029496,,null
Asia,º Asia,1978,BiocapTotGHA,113127301.49386084,0,762812526.2245507,337690243.223609,622862852.3105605,196086230.52848178,2032579153.7810616,,null
Asia,º Asia,1978,EFConsTotGHA,113127301.49386084,1265090095.2595332,817787417.0061362,139503378.22829103,532806421.2532574,186590183.31799322,3054904796.5590744,,null
Asia,º Asia,1979,BiocapTotGHA,119289393.81176138,0,780084754.1386657,338380978.0540878,621340662.0766602,198044289.53898355,2057140077.6201591,,null
Asia,º Asia,1979,EFConsTotGHA,119289393.81176138,1336364258.787119,843989621.2928629,144189419.98247004,544763801.2620851,193124113.03872225,3181720608.1750174,,null
Asia,º Asia,1980,BiocapTotGHA,116025874.95287028,0,763639244.8360987,345937928.8175269,614126111.0003834,199766988.9654523,2039496148.5723324,,null
Asia,º Asia,1980,EFConsTotGHA,116025874.95287028,1305063212.9886255,829169137.444596,147230779.98746192,541853201.8237283,191137305.1885866,3130479512.3858676,,null
Asia,º Asia,1981,BiocapTotGHA,124038855.02460827,0,807786040.81605,352447198.39216006,612499484.7699375,203651400.49649167,2100422979.4992495,,null
Asia,º Asia,1981,EFConsTotGHA,124038855.02460827,1287668173.9750595,877788069.8506095,149445364.3034901,535280008.2438463,201592125.60810035,3175812597.00571,,null
Asia,º Asia,1982,BiocapTotGHA,130247539.97688916,0,844244545.2570431,350538579.9412659,608707842.4800017,204379590.26365238,2138118097.9188528,,null
Asia,º Asia,1982,EFConsTotGHA,130247539.97688916,1325337192.0949588,914789058.9320068,155177729.9340045,543221937.4998702,206193896.6022891,3274967355.040017,,null
Asia,º Asia,1983,BiocapTotGHA,138053300.27110383,0,906423348.0159161,349710469.15856063,603915676.7923235,205717238.366171,2203820032.604075,,null
Asia,º Asia,1983,EFConsTotGHA,138053300.27110383,1376208898.485092,981665817.1553555,157817927.84269896,549186968.7098675,209174145.85460597,3412107058.3187227,,null
Asia,º Asia,1984,BiocapTotGHA,143272049.3521648,0,949455998.0497993,353059465.5827591,599612753.6330783,205409931.62254885,2250810198.24035,,null
Asia,º Asia,1984,EFConsTotGHA,143272049.3521648,1462080791.3986437,1024037489.9492962,161329049.26197895,557061991.7510476,207942780.94689876,3555724152.6600337,,null
Asia,º Asia,1985,BiocapTotGHA,139110679.3557584,0,946871078.9537644,351219272.57305086,596967619.0402157,207287886.51644883,2241456536.439238,,null
Asia,º Asia,1985,EFConsTotGHA,139110679.3557584,1477892240.0717826,1007325258.0620658,164365997.03230977,553793457.8656044,212541399.66924036,3555029032.0567575,,null
Asia,º Asia,1986,BiocapTotGHA,143667838.26206023,0,970980091.1447544,348822476.18324214,593029591.0737455,208336398.30990377,2264836394.9737062,,null
Asia,º Asia,1986,EFConsTotGHA,143667838.26206023,1548683874.7227519,1028302756.5840997,173571083.82720822,562096417.9126849,215755248.02321717,3672077219.3320236,,null
Asia,º Asia,1987,BiocapTotGHA,149728108.63777816,0,993855162.8012466,348321804.24573404,589483258.4181459,211105419.85513774,2292493753.9580436,,null
Asia,º Asia,1987,EFConsTotGHA,149728108.63777816,1649026877.6815906,1072859461.0438917,184879036.9441669,575561680.6172236,224222865.0090919,3856278029.9337444,,null
Asia,º Asia,1988,BiocapTotGHA,150283729.74529034,0,1006512498.1810164,347577061.0161433,588177792.0337374,212361512.7143301,2304912593.6905174,,null
Asia,º Asia,1988,EFConsTotGHA,150283729.74529034,1780144417.5561934,1091207565.4776058,192727168.173657,580886042.199539,225062988.58177394,4020311911.7340612,,null
Asia,º Asia,1989,BiocapTotGHA,155555725.5516913,0,1028696771.4792094,347145837.0895955,588161529.6956533,214833176.48428532,2334393040.3004346,,null
Asia,º Asia,1989,EFConsTotGHA,155555725.5516913,1883675246.315937,1113333684.30044,197253184.3628052,584369784.6713938,223363093.17823738,4157550718.3805094,,null
Asia,º Asia,1990,BiocapTotGHA,166425146.82522148,0,1081577191.970929,347786669.4831134,587726523.3419406,216742922.57031196,2400258454.191517,,null
Asia,º Asia,1990,EFConsTotGHA,166425146.82522148,1972412904.752593,1164903403.9676826,207038193.49761087,586081857.5627495,220524009.89746138,4317385516.503315,,null
Asia,º Asia,1991,BiocapTotGHA,167452873.94795036,0,1080186806.5556972,347255995.63470423,589795071.6049792,216536552.66977575,2401227300.413106,,null
Asia,º Asia,1991,EFConsTotGHA,167452873.94795036,2086944524.9875138,1160595875.2167416,219471778.55185312,588282120.5709109,232336062.8047393,4455083236.079705,,null
Asia,º Asia,1992,BiocapTotGHA,176065775.73400858,0,1140547646.2140408,352861681.5008379,605812249.5637383,269055568.9445776,2544342921.9571977,,null
Asia,º Asia,1992,EFConsTotGHA,176065775.73400858,2359042020.9386744,1223649054.0709693,233145065.12796348,605117662.9965185,255239350.25697535,4852258929.125107,,null
Asia,º Asia,1993,BiocapTotGHA,181970043.99094066,0,1157146185.7893393,352880081.98194236,607093989.8099974,269994056.3562458,2569084357.9284697,,null
