Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Oceania,º Oceania,1983,EFConsTotGHA,825069.1902266734,60948453.84506778,25490251.54259269,1173097.584157554,13378714.385601005,26475580.976127647,128291167.52377304,,null
Oceania,º Oceania,1984,BiocapTotGHA,720875.7045606489,0,35707165.64644984,76210764.6280135,49283530.557595015,167752597.1773809,329674933.7139994,,null
Oceania,º Oceania,1984,EFConsTotGHA,720875.7045606489,61120301.21515948,18528575.109277338,1244946.623940027,14992493.88884647,29709150.94273602,126316343.48451991,,null
Oceania,º Oceania,1985,BiocapTotGHA,695770.1635620777,0,33173134.52970072,75812738.39997515,49201212.57422192,167240673.83171988,326123529.49917954,,null
Oceania,º Oceania,1985,EFConsTotGHA,695770.1635620777,63222951.015962854,6469643.421968973,1382158.1084181329,16642325.761173885,30508836.439574357,118921684.91065998,,null
Oceania,º Oceania,1986,BiocapTotGHA,720015.481122531,0,33043841.45974185,75296175.91609502,49083295.5910761,159697127.3571221,317840455.8051571,,null
Oceania,º Oceania,1986,EFConsTotGHA,720015.481122531,63083743.6218564,6992371.19634038,1501502.059152649,16616836.416104427,25124394.895095166,114038863.66967146,,null
Oceania,º Oceania,1987,BiocapTotGHA,674769.0067694985,0,29292675.587400563,75198009.75965786,49150981.23429565,160761420.08656988,315077855.6746935,,null
Oceania,º Oceania,1987,EFConsTotGHA,674769.0067694985,65657617.74142476,6020678.621232889,1722310.3994505599,16358401.981148817,17145041.182490572,107578818.9325171,,null
Oceania,º Oceania,1988,BiocapTotGHA,772400.5715632995,0,30955168.731899347,75037149.93399723,49232684.35863588,161286128.11630487,317283531.71240056,,null
Oceania,º Oceania,1988,EFConsTotGHA,772400.5715632995,70164851.64727241,12238048.256152816,1816271.8416162129,17543053.694921914,17236258.85296714,119770884.86449334,,null
Oceania,º Oceania,1989,BiocapTotGHA,820729.7699659036,0,31152475.73416101,74944054.5659171,49272478.753515646,159564763.11083248,315754501.93439126,,null
Oceania,º Oceania,1989,EFConsTotGHA,820729.7699659036,76369065.82044514,14252996.059118655,2151251.0965522816,17686617.363702606,24823276.32937649,136103936.43916065,,null
Oceania,º Oceania,1990,BiocapTotGHA,850839.7977373993,0,30798199.48601738,75077055.96066427,49135900.57911495,159103637.24442843,314965633.067963,,null
Oceania,º Oceania,1990,EFConsTotGHA,850839.7977373993,74398915.39906791,12287526.248396808,2822012.17667606,17752157.522967495,30275630.84009334,138387081.98493946,,null
Oceania,º Oceania,1991,BiocapTotGHA,780775.6921976673,0,28464094.549104623,74961557.7258842,49217893.04760511,158185794.1147661,311610115.1295574,,null
Oceania,º Oceania,1991,EFConsTotGHA,780775.6921976673,71503229.17011578,9040264.85280356,2734517.390278672,16479436.64634939,30923580.07063405,131461803.82237901,,null
Oceania,º Oceania,1992,BiocapTotGHA,1021768.1040655081,0,35008768.849846646,75635088.64738253,49953653.08322182,161112318.1039686,322731596.78848493,,null
Oceania,º Oceania,1992,EFConsTotGHA,1021768.1040655081,72595116.86891182,19394229.528281868,2531809.729665633,16710230.486532597,17555042.325262837,129808197.04272074,,null
Oceania,º Oceania,1993,BiocapTotGHA,1039895.5339345376,0,37176257.966011904,75638169.62195897,49968385.824647725,158683254.68436325,322505963.63091725,,null
Oceania,º Oceania,1993,EFConsTotGHA,1039895.5339345376,74149454.88992865,19305120.90103286,2347698.396120736,18305966.574701376,18180667.346999906,133328803.64271799,,null
Oceania,º Oceania,1994,BiocapTotGHA,692622.8992525296,0,25158855.19126969,75486991.77688237,50083166.85876718,161332125.79080534,312753762.51697713,,null
Oceania,º Oceania,1994,EFConsTotGHA,692622.8992525296,76577801.26636234,2374708.956931895,2493850.598992681,19096477.510847934,18459142.446527384,119694603.67891437,,null
Oceania,º Oceania,1995,BiocapTotGHA,1147714.9162970448,0,39631915.34952792,75249041.91963218,50170744.20131547,159131179.6635953,325330596.05036855,,null
Oceania,º Oceania,1995,EFConsTotGHA,1147714.9162970448,78831500.47866426,23782470.95667477,2357771.963335073,20809072.225526884,19139101.831514772,146067632.37201247,,null
Oceania,º Oceania,1996,BiocapTotGHA,1255816.4083246845,0,48846230.07940394,75170013.82507752,50178469.81992982,158776464.10203552,334226994.234772,,null
Oceania,º Oceania,1996,EFConsTotGHA,1255816.4083246845,82303045.48512137,21238137.721872788,2203400.707028999,19782018.206064604,18831927.048410203,145614345.57682273,,null
Oceania,º Oceania,1997,BiocapTotGHA,1057891.0858686136,0,44151130.96964298,75147009.12644102,50144428.10385259,157047883.88812742,327548343.173933,,null
Oceania,º Oceania,1997,EFConsTotGHA,1057891.0858686136,84424264.20581612,11372698.947499659,2354083.7759850007,20245513.868536007,15583850.990570989,135038302.87427583,,null
Oceania,º Oceania,1998,BiocapTotGHA,1162257.4172783429,0,49324725.8874536,75149591.98294762,50186081.71100141,157475339.64722425,333297996.6459047,,null
Oceania,º Oceania,1998,EFConsTotGHA,1162257.4172783429,88348716.81297876,19555461.47752678,2554195.010841831,21730184.253267866,21197964.95153207,154548779.9234252,,null
Oceania,º Oceania,1999,BiocapTotGHA,1187233.1832769576,0,53481420.64418704,75178825.37573478,50108192.41775707,153315445.06656364,333271116.687519,,null
Oceania,º Oceania,1999,EFConsTotGHA,1187233.1832769576,89034125.52237576,19313052.39812648,3084519.278126389,21268466.79435833,18637447.693011835,152524844.86927557,,null
Oceania,º Oceania,2000,BiocapTotGHA,1122854.137394955,0,51045375.436069705,75272890.9402819,50090737.84410714,153960325.74571922,331492184.1035732,,null
Oceania,º Oceania,2000,EFConsTotGHA,1122854.137394955,93733060.65679027,15595134.157006027,3304523.212890104,24105549.147638064,17074289.312521655,154935410.6242415,,null
Oceania,º Oceania,2001,BiocapTotGHA,1103596.0207714166,0,51269578.87146637,75392131.21918574,49959569.35594254,154018567.38260648,331743442.84997237,,null
Oceania,º Oceania,2001,EFConsTotGHA,1103596.0207714166,92366886.2191585,18707896.108389135,3197870.9702514443,22580221.565844994,17081331.524355732,155037802.40877143,,null
Oceania,º Oceania,2002,BiocapTotGHA,1212139.3343505717,0,54781133.92519647,75352551.5088487,50127573.73429013,150997448.8679632,332470847.37064904,,null
Oceania,º Oceania,2002,EFConsTotGHA,1212139.3343505717,93288253.26704475,23754558.07020542,3209753.82483197,22457858.83089442,22597475.382147085,166520038.7094743,,null
Oceania,º Oceania,2003,BiocapTotGHA,682234.9737662134,0,29491185.650430333,74979531.09804034,49957484.775882125,147759205.18468612,302869641.6828047,,null
Oceania,º Oceania,2003,EFConsTotGHA,682234.9737662134,101489450.23487858,9056299.777656553,3375899.507821175,23685671.228450656,27502043.596149407,165791599.31872186,,null
Oceania,º Oceania,2004,BiocapTotGHA,1144788.977886122,0,54638959.08484123,74902553.47932392,49613219.07019812,130901640.69351119,311201161.3057606,,null
Oceania,º Oceania,2004,EFConsTotGHA,1144788.977886122,108000022.59434237,19732716.665961683,3646818.5797752547,24503371.939659458,23043239.61634545,180070958.3739708,,null
Oceania,º Oceania,2005,BiocapTotGHA,1011175.8111605617,0,48556052.63078048,74607736.15308054,49458560.995325394,135566506.28109452,309200031.87144166,,null
Oceania,º Oceania,2005,EFConsTotGHA,1011175.8111605617,111426561.62204592,20099432.830078743,3266100.012387438,24669706.243252214,22765051.399511557,183238027.91843644,,null
Oceania,º Oceania,2006,BiocapTotGHA,1252484.7384169763,0,54662000.04527011,74464756.87726268,49183628.853516236,135747131.8009141,315310002.3153791,,null
Oceania,º Oceania,2006,EFConsTotGHA,1252484.7384169763,116408816.99588256,24428864.877336536,3283930.207646611,24137809.89766403,19724778.138680313,189236684.8556272,,null
Oceania,º Oceania,2007,BiocapTotGHA,675664.7529030775,0,27271596.345402587,74347168.21763422,48798465.627209954,132043260.23082028,283136155.1739697,,null
Oceania,º Oceania,2007,EFConsTotGHA,675664.7529030775,121889265.19934978,12204963.31756386,3058866.633367036,24657541.883866347,19278476.544755038,181764778.33180568,,null
Oceania,º Oceania,2008,BiocapTotGHA,883168.6856262131,0,36617483.861512005,74599906.10186233,48300905.65390749,128990758.72207622,289392223.0249846,,null
Oceania,º Oceania,2008,EFConsTotGHA,883168.6856262131,124935482.32709679,17679621.757342387,3044398.968106259,26167796.673636943,18629895.097299673,191340363.50910738,,null
Oceania,º Oceania,2009,BiocapTotGHA,982638.7113738945,0,45187816.97310374,74949728.53101604,47749079.506295815,126696648.27306905,295565911.9948589,,null
Oceania,º Oceania,2009,EFConsTotGHA,982638.7113738945,118542229.34943563,18436251.813503448,3076571.554938937,22376528.383192923,19750171.839765918,183164391.6522104,,null
Oceania,º Oceania,2010,BiocapTotGHA,1112034.0449961142,0,47710542.84503103,74758116.18269137,47390816.93501307,124127592.8377193,295099102.8454502,,null
Oceania,º Oceania,2010,EFConsTotGHA,1112034.0449961142,122289526.72097132,17198612.25348149,2966212.9174303836,23576480.657437604,16859536.937952988,184002403.53227007,,null
Oceania,º Oceania,2011,BiocapTotGHA,1054940.1317866866,0,54679621.28096454,74441248.49829139,47248474.55452139,128409385.44436152,305833669.90992635,,null
Oceania,º Oceania,2011,EFConsTotGHA,1054940.1317866866,121608015.61413047,22451162.301653106,3377123.881598669,23581244.695313103,25458754.832504362,197531241.4569868,,null
Oceania,º Oceania,2012,BiocapTotGHA,1158930.384450565,0,59462097.91474843,74352106.83614713,47161800.349992506,125100889.48744467,307235824.97278315,,null
Oceania,º Oceania,2012,EFConsTotGHA,1158930.384450565,118955362.06713654,15878923.794117745,3774264.5472629583,21303831.254569452,21674180.290587682,182745492.3381243,,null
Oceania,º Oceania,2013,BiocapTotGHA,1012165.4956773294,0,50244015.58859843,74534015.45887274,47175880.06960013,120141273.18539815,293107349.798146,,null
Oceania,º Oceania,2013,EFConsTotGHA,1012165.4956773294,115975017.6699,13443277.812324861,3492720.313137074,19374347.496902574,17699916.546900738,170997445.3348426,,null
Oceania,º Oceania,2014,BiocapTotGHA,1036591.8844530002,0,51786274.63421769,74696105.93621767,47212895.122424595,121093006.56288365,295824874.1401971,,null
Oceania,º Oceania,2014,EFConsTotGHA,1036591.8844530002,111420082.95539814,16684330.737865161,4037941.79045936,20847939.935079277,4923179.358483389,158950066.66173908,,null
Oceania,º Oceania,2015,BiocapTotGHA,1007364.0465828517,0,48834723.79974383,74921231.79785801,47066913.87922188,112448549.24813154,284278782.77153814,,null
Oceania,º Oceania,2015,EFConsTotGHA,1007364.0465828517,111022026.76944003,13064995.024105344,3498779.744908886,21783415.281012367,2203009.833330926,152579590.69938037,,null
Oceania,º Oceania,2016,BiocapTotGHA,1024292.8828659699,0,47543610.19240604,74523464.7184234,46974945.82377163,110794309.49158135,280860623.1090482,,null
Oceania,º Oceania,2016,EFConsTotGHA,1024292.8828659699,112774661.53179792,13542720.61143877,3506319.195824534,22655804.342642628,4042565.091445187,157546363.6560153,,null
Oceania,º Oceania,2017,BiocapTotGHA,1424396.2871894499,0,67047403.96961979,74524097.25744843,47050164.01509608,120915218.32163487,310961279.8509888,,null
Oceania,º Oceania,2017,EFConsTotGHA,1424396.2871894499,110170180.34803711,34022548.41131672,3374617.955181031,24308004.19934785,7060812.322693097,180360559.52376544,,null
