FID,AREA,PERIMETER,NSUADMIN4L,NSUADMIN40,COUNTY,PAYAM,REGION,PCODE,Shape__Area,Shape__Length
193,0.248,2.08,13,0,Ruweng,Gumriak,Upper Nile,SU071902,3114905910.26587,233215.077386009
194,0.123,1.506,50,0,Tonga,Tonga,Upper Nile,SU072208,1550807176.25977,168745.846156636
195,0.036,1.312,3,0,Tonga,Panyidwai,Upper Nile,SU072206,452453623.071533,147526.093294611
196,0.057,1.333,3,0,Tonga,Pakang,Upper Nile,SU072205,722276232.099854,150036.883183284
197,0.206,2.185,50,0,Atar,Wunlam,Upper Nile,SU070203,2587944298.60742,244615.039041652
198,0.622,3.98,8,0,Sobat,Sobat,Upper Nile,SU072001,7811950637.32764,446633.277394823
199,0.131,1.645,3,0,Fashoda,Dethwok,Upper Nile,SU070502,1653611220.26611,184180.953829958
200,0.058,1.367,3,0,Fashoda,Kodok,Upper Nile,SU070503,732480236.288818,152807.388977743
201,0.156,1.757,3,0,Fashoda,Wij-Rek,Upper Nile,SU070506,1968373763.04419,196841.607007978
202,0.04,1.365,3,0,Tonga,Dhothim,Upper Nile,SU072201,496622102.691162,153324.414381975
203,0.019,0.967,3,0,Tonga,Lello,Upper Nile,SU072203,238585380.79126,108773.283363372
204,0.051,1.171,3,0,Fashoda,Kwojo,Upper Nile,SU070504,638731263.64917,131164.710710099
205,2.622,8.35,2,0,Renk,Renk,Upper Nile,SU071701,33049556528.2156,939599.132393411
206,0.377,4.098,2,0,Fashoda,Mwomo,Upper Nile,SU070505,4764207093.07422,461225.98608204
207,0.037,1.017,3,0,Tonga,Konam,Upper Nile,SU072202,466488020.396729,113798.951688515
208,0.039,0.816,3,0,Fashoda,Athidwoi,Upper Nile,SU070501,497302102.935059,91533.072736873
209,0.028,0.997,9,0,Ruweng,Kuel mol piny,Upper Nile,SU071903,351514275.488525,111759.301463702
