id,name,geometry/type,geometry/coordinates/0,geometry/coordinates/1,total,data/0/name,data/0/value,data/1/name,data/1/value,data/2/name,data/2/value,data/3/name,data/3/value
FRB,Centre - Val de Loire,Point,3694815.4980900423,2742752.1090329145,837.28,Circulatory,197.43,Cancer,253.11,Respiratory,50.56,Other,336
DEB,Rheinland-Pfalz,Point,4169442.885150689,2935098.0196793764,1014.35,Circulatory,392.56,Cancer,252.52,Respiratory,70.73,Other,299
ITC,Nord-Ovest,Point,4221022.946763466,2461753.9606651235,820.47,Circulatory,271.55,Cancer,252.13,Respiratory,62.11,Other,235
ES1,Noroeste (ES),Point,2884667.601294486,2360473.3234310998,847.33,Circulatory,251.89,Cancer,251.4,Respiratory,88.3,Other,256
AT1,Ostösterreich,Point,4758174.986829367,2799385.971558217,976.67,Circulatory,423.11,Cancer,250.86,Respiratory,48.95,Other,254
EL5,Voreia Ellada,Point,5442365.378361132,2065544.2869476567,966.12,Circulatory,372,Cancer,249.66,Respiratory,91.87,Other,253
DEG,Thüringen,Point,4392874.383300686,3088609.382126443,1068.75,Circulatory,439.48,Cancer,249.5,Respiratory,75.16,Other,305
UKI,London,Point,3621046.4093641853,3193411.8612769577,859.7,Circulatory,233.5,Cancer,246.8,Respiratory,119.69,Other,260
FRI,Nouvelle-Aquitaine,Point,3570894.350017166,2533989.9414267675,814.19,Circulatory,198.3,Cancer,246.42,Respiratory,51.71,Other,318
FRG,Pays-de-la-Loire,Point,3510244.416018554,2768171.628885035,803.88,Circulatory,196.73,Cancer,245.27,Respiratory,50,Other,312
PT1,Continente,Point,2787139.506756302,2026417.628343902,990.53,Circulatory,291.6,Cancer,243.89,Respiratory,118.72,Other,336
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Point,3923950.090484876,3096274.4497277895,944.6,Circulatory,249.49,Cancer,243.11,Respiratory,104.27,Other,348
FRC,Bourgogne - Franche-Comté,Point,3927898.7340130294,2693348.128779107,856.18,Circulatory,200.86,Cancer,242.58,Respiratory,53.35,Other,359
BG3,Severna i yugoiztochna Bulgaria,Point,5605781.407665308,2363817.299013435,1660.37,Circulatory,1142.42,Cancer,242.45,Respiratory,54.11,Other,221
NO0,Norge,Point,4400360.071669444,4290749.169586167,894.88,Circulatory,245.99,Cancer,242.23,Respiratory,98.71,Other,308
ES2,Noreste (ES),Point,3397745.779931127,2156360.8143977476,794.09,Circulatory,218.11,Cancer,241.85,Respiratory,76.29,Other,258
DE7,Hessen,Point,4252501.337858381,3054765.3466161764,978.57,Circulatory,371.99,Cancer,241.07,Respiratory,70.41,Other,295
ITI,Centro (IT),Point,4496355.22884418,2206734.949682473,825.05,Circulatory,287.12,Cancer,239.94,Respiratory,62.18,Other,236
DED,Sachsen,Point,4554599.918862585,3110553.267159746,1001.66,Circulatory,439.43,Cancer,239.6,Respiratory,49.62,Other,273
EL4,"Nisia Aigaiou, Kriti",Point,5675209.74892754,1482963.8355375738,925.16,Circulatory,308.85,Cancer,239.22,Respiratory,110.9,Other,266
ITH,Nord-Est,Point,4444950.76940331,2488906.2226129146,808.22,Circulatory,270.93,Cancer,236.34,Respiratory,59.65,Other,241
ITG,Isole,Point,4691645.376436951,1620552.1456962926,890.34,Circulatory,326.09,Cancer,235.81,Respiratory,61.46,Other,267
LU0,Luxembourg,Point,4039761.2858585436,2969522.592701002,904.72,Circulatory,298.15,Cancer,235.45,Respiratory,71.41,Other,300
AT2,Südösterreich,Point,4670832.517941102,2673778.3513223273,932.64,Circulatory,392.18,Cancer,235.44,Respiratory,49.23,Other,256
BE2,Vlaams Gewest,Point,3970052.6950160656,3122054.03208919,889.05,Circulatory,254.33,Cancer,234.52,Respiratory,91.38,Other,309
FRJ,Occitanie,Point,3687580.8601490455,2321866.953183975,807.1,Circulatory,192.58,Cancer,233.73,Respiratory,54.58,Other,326
FRK,Auvergne - Rhône-Alpes,Point,3896492.6185135,2478658.6567373993,791.09,Circulatory,186.66,Cancer,233.54,Respiratory,52.85,Other,318
EL6,Kentriki Ellada,Point,5378336.392421039,1858445.1035335895,943.78,Circulatory,346.94,Cancer,233.24,Respiratory,109.6,Other,254
ES7,Canarias,Point,1713197.800617423,1034217.2750386917,871,Circulatory,252.98,Cancer,232.92,Respiratory,115.38,Other,270
DE2,Bayern,Point,4425132.034864687,2871469.4046510654,972.21,Circulatory,379.47,Cancer,232.5,Respiratory,67.35,Other,293
ITF,Sud,Point,4795297.089358328,1981527.6410189911,894.91,Circulatory,347.63,Cancer,232.2,Respiratory,63.58,Other,252
SE2,Södra Sverige,Point,4555213.704192007,3817580.933897731,899.76,Circulatory,313.95,Cancer,231.91,Respiratory,65.1,Other,289
ES4,Centro (ES),Point,2979933.43386502,2081159.0440715565,806.29,Circulatory,221.35,Cancer,231.76,Respiratory,98.81,Other,254
TRA,Kuzeydogu Anadolu,Point,6960118.907804989,2450172.8889626698,1175.89,Circulatory,477.6,Cancer,228.98,Respiratory,174.29,Other,295
SE3,Norra Sverige,Point,4693406.169645865,4725110.203655545,978.41,Circulatory,352.7,Cancer,228.4,Respiratory,60.72,Other,337
FR1,Île de France,Point,3771751.3564317776,2873030.031617859,745.12,Circulatory,158.6,Cancer,227.87,Respiratory,51.49,Other,307
ES5,Este (ES),Point,3655959.920806215,2117953.672794677,825.66,Circulatory,231.34,Cancer,227.65,Respiratory,84.41,Other,282
TR1,Istanbul,Point,5856247.248854402,2201720.6384335947,1188.98,Circulatory,469.33,Cancer,226.88,Respiratory,161,Other,332
ES6,Sur (ES),Point,3058664.233440575,1722356.8343914484,934.78,Circulatory,301.23,Cancer,226.22,Respiratory,102.27,Other,305
SE1,Östra Sverige,Point,4685153.047810704,4034490.197813195,886.45,Circulatory,302.32,Cancer,225.68,Respiratory,61.08,Other,297
DE1,Baden-Württemberg,Point,4250882.1287708385,2824981.8374329214,942.59,Circulatory,342.64,Cancer,223.99,Respiratory,58.74,Other,317
FRL,Provence-Alpes-Côte d'Azur,Point,4004555.265419601,2325331.2576461476,802.7,Circulatory,170.97,Cancer,223.36,Respiratory,55.02,Other,353
TR2,Bati Marmara,Point,5816849.482283216,2033564.6920407626,1275.75,Circulatory,609.07,Cancer,222.19,Respiratory,146.45,Other,298
MT0,Malta,Point,4724721.257566071,1436760.1477476999,881.82,Circulatory,332.74,Cancer,220.95,Respiratory,95.07,Other,233
AT3,Westösterreich,Point,4490987.677951175,2687766.4317561607,886.83,Circulatory,364.57,Cancer,220.53,Respiratory,56.55,Other,245
FRM,Corse,Point,4246122.323787348,2114068.200135833,781.38,Circulatory,192.05,Cancer,220.45,Respiratory,46.96,Other,322
FI1,Manner-Suomi,Point,5099820.00929246,4690366.602963888,974.4,Circulatory,359.26,Cancer,219.31,Respiratory,38.14,Other,358
BG4,Yugozapadna i yuzhna tsentralna Bulgaria,Point,5490962.590923204,2224025.112251139,1529.8,Circulatory,1041.22,Cancer,218.9,Respiratory,75.68,Other,194
TR4,Dogu Marmara,Point,6047172.270448001,2138289.7047051415,1281.42,Circulatory,580.57,Cancer,217.14,Respiratory,155.58,Other,328
CH0,Schweiz/Suisse/Svizzera,Point,4184861.91581372,2650672.968982267,806.09,Circulatory,260.51,Cancer,215.31,Respiratory,51.84,Other,278
ES3,Comunidad de Madrid,Point,3160248.5142888273,2039150.2629652102,710.51,Circulatory,177.43,Cancer,205.06,Respiratory,101.34,Other,227
FRY,RUP FR - Régions ultrapériphériques françaises,Point,-2638134.614972216,778289.5374086602,858.9,Circulatory,219.21,Cancer,200.76,Respiratory,58.41,Other,381
TR3,Ege,Point,5967718.149790756,1897589.6387739908,1225.66,Circulatory,544.62,Cancer,198.16,Respiratory,164.82,Other,318
TR5,Bati Anadolu,Point,6278598.316694245,2008176.7631300394,1140.07,Circulatory,489.03,Cancer,198.04,Respiratory,139.32,Other,314
LI0,Liechtenstein,Point,4287093.991729773,2669517.9342253134,891.57,Circulatory,353.35,Cancer,197.37,Respiratory,113.61,Other,227
TR7,Orta Anadolu,Point,6505595.332196582,2154840.8148825774,1231.46,Circulatory,525.91,Cancer,194.89,Respiratory,189.92,Other,321
CY0,Kypros,Point,6422725.970065843,1649752.350576063,966.21,Circulatory,331.55,Cancer,193.8,Respiratory,95.64,Other,345
TRB,Ortadogu Anadolu,Point,7115459.724619516,2322049.719513328,1099.96,Circulatory,484.44,Cancer,188.7,Respiratory,150.75,Other,276
TR8,Bati Karadeniz,Point,6356047.472971512,2323702.4823900335,1201.09,Circulatory,556.09,Cancer,186.43,Respiratory,163.03,Other,296
TR9,Dogu Karadeniz,Point,6763236.812042372,2451586.085144408,1022.85,Circulatory,436.57,Cancer,183.93,Respiratory,137.67,Other,265
TR6,Akdeniz,Point,6405011.160474715,1819848.3749145993,1174.63,Circulatory,538.97,Cancer,171.34,Respiratory,139.97,Other,324
TRC,Güneydogu Anadolu,Point,6911273.627536284,2127717.6596096316,1117.85,Circulatory,521.54,Cancer,151.2,Respiratory,144.58,Other,301
AL0,,Point,5167330.646069116,2060760.7661302658,,Circulatory,,Cancer,,Respiratory,,Other,
ME0,,Point,5079740.841358178,2231888.587498815,,Circulatory,,Cancer,,Respiratory,,Other,
MK0,,Point,5295559.177001531,2130780.666441309,,Circulatory,,Cancer,,Respiratory,,Other,
RS1,,Point,5113884.868260734,2520004.2033068263,,Circulatory,,Cancer,,Respiratory,,Other,
RS2,,Point,5216263.191572618,2356197.7482354236,,Circulatory,,Cancer,,Respiratory,,Other,
